"its","яго"
"Would you like to overwrite it?","Перазапісаць?"
"Save","Захаваць"
"What would you like to name this timeline?","Як назавяце гэтую шкалу часу?"
"Saves starting here will be grouped on the","Захаванні, якія пачынаюцца тут, будуць згрупаваны па"
"title screen, with their own active save.","тытульны экран, з уласным актыўным захаваннем."
"What would you like to name this manual","Як бы вы хацелі назваць гэты дапаможнік"
"save?  It will never be overwritten,","захаваць? Ён ніколі не будзе перазапісаны,"
"but you can delete it while loading.","але вы можаце выдаліць яго падчас загрузкі."
"Really retire?  The world will be saved but","Выйсці? Свет будзе захаваны, але"
"you will need to unretire the fort to play","вам трэба будзе вярнуцца ў форт, каб гуляць"
"here again.","зноў тут."
"Retire","У адстаўку"
"Really quit without saving?","Выйсці без захавання?"
"All of your progress since the last","Увесь ваш прагрэс з апошняга"
"save will be lost.","захавання будзе страчаны."
"Quit","Выйсці"
"Really quit?  The fort will be saved but","Сапраўды выйсці? Форт будзе захаваны, але"
"you will need to reclaim the fort to play","вам трэба будзе вярнуць форт, каб гуляць"
"Abandon","Пакінуць"
"Save and return to title menu","Захаваць і выйсці ў галоўнае меню"
"Save and continue playing","Захаваць і працягваць гуляць"
"Retire the fortress (for the time being)","Кінуць крэпасць (на час)"
"Abandon the fortress to ruin","Пакінуць крэпасць на волю лёсу"
"Quit without saving","Выйсці без захавання"
"Succumb to the invasion","Паддацца ўварванню"
"Settings","Наладкі"
"Return to game","Працягваць гуляць"
"Save world and return to title menu","Захаваць свет і выйсці ў галоўнае меню"
"Return to title menu","У галоўнае меню"
"Continue","Працягнуць"
"Save to this timeline","Захаваць на гэтай часовай шкале"
"Save to timeline folder: ","Захаваць у тэчку часовай шкалы: "
"Save to new timeline","Захаваць у новую часовую шкалу"
"Save to new folder (same timeline)","Захаваць у новую тэчку (тая ж шкала часу)"
"May interfere with existing saves.","Можа канфліктаваць з існуючымі захаваннямі."
"Do this if you want to keep the old save.","Пакінуць старое захаванне."
"Recommended!","Рэкамендуецца!"
"Multiple copies of the timeline found.","Знойдзена некалькі копій часовай шкалы."
"Mountainhome","Горная Сталіца"
"Track playing: ","Бягучы трэк: "
"Last track: ","Апошні трэк: "
"Dolomite","Даламіт"
"Obsidian","абсідыяну"
"Interlude playing: ","Бягучая інтэрлюдыя: "
"Last interlude: ","Апошняя інтэрлюдыя: "
"The game is open-ended and you can do whatever you choose.  If you'd like a goal, try to become a barony, then a Mountainhome. ","Dwarf Fortress - гульня адкрытая, і вы можаце рабіць усё, што хочаце. Калі вы жадаеце дасягнуць мэты, паспрабуйце стаць баронам, а потым разгарнуцца да Горнай Сталіцы. "
"More likely, your dwarves will starve, unless you read the first few guides here! ","Хутчэй за ўсё, вашыя дворфы будуць галадаць, калі толькі вы не прачытаеце некалькі першых падручнікаў тут! "
"And remember: [C:2:0:1]Losing is fun![C:7:0:0]","І памятайце: [C:2:0:1]Прайграваць весела![C:7:0:0]"
"Abandoned","Пакінутая"
"Your settlement has been abandoned.","Ваша паселішча закінута."
"Retired","У адстаўцы"
"Your fortress has settled into the rhythm of day-to-day living, beyond your meticulous concern.","Ваша крэпасць усталявалася ў рытме паўсядзённага жыцця, і не патрабуе клопатаў."
"Conquered","Заваявана"
"Your strength has been broken.","Ваша воля была зламаная."
"Withered","Ссохлы"
"Your settlement has crumbled to its end.","Ваша паселішча канчаткова разбурылася."
"Start tutorial","Пачаць навучанне"
"Skip tutorial","Прапусціць"
"Move the camera","Рухайце камеру"
"Move the camera up","Рухайце камеру ўверх"
"Move the camera down","Рухайце камеру ўніз"
"Zoom in","Прыблізіць"
"Zoom out","Аддаліць"
"Open mining mode","Адкрыйце ""Здабычу"""
"Start stairway","Пачаць лесвіцу"
"End stairway","Скончыць лесвіцу"
"Unpause","Працягнуць"
"Finish mining","Скончыць здабычу"
"Room completed (","Пакой завершаны ("
" of 20)"," з 20)"
"Open stockpile mode","Адкрыйце ""Склады"""
"Place All stockpile","Змясціце агульны склад"
"Open tree-felling mode","Адкрыйце ""Валка лесу"""
"Designate tree","Абазначце дрэва"
"Chop down tree","Зрубіце дрэва"
"Stockpile wood","Складзіце дрэва"
"Open building mode","Адкрыйце меню Будаўніцтва"
"Place carpenter's workshop","Размясціце майстэрню цесляра"
"Construct workshop","Пабудуйце майстэрню"
"Click workshop","Націсніце на майстэрню"
"Add a ""Make bed"" task","Дадайце загад: ""Зрабіць ложак"""
"Make the bed","Зрабіць ложак"
"Place a bed","Размясціць ложак"
"Click a citizen or creature","Выберыце жыхара або істоту"
"Close the information sheet","Закрыць інфармацыйны ліст"
"Dismiss the large red alert","Адхіліце чырвоную абвестку"
"Click the help button","Націсніце кнопку ""Дапамога"""
"Don't show again","Не паказваць зноў"
"Okay","Добра"
"Next","Далей"
"Welcome to Dwarf Fortress","Вітаем у Dwarf Fortress!"
"Prepare to guide your stout charges to fortune in a world fraught with many perils. ","Рыхтуйцеся весці сваіх адважных падапечных да росквіту, у гэтым багатым на небяспеку свеце. "
"You'll begin by creating your world and watching the region's history unfold. ","Вы пачнеце са стварэння свайго свету і назірання за развіццём падзей. "
"Once this process is complete, you can prepare a group and send them out to seek wealth deep in the mountains. ","Пасля завяршэння, вы можаце падрыхтаваць групу і адправіць іх шукаць багацця глыбока ў гарах. "
"As you dig deeper and more citizens take up residence in your outpost, your doings will attract attention, both wanted and unwanted. ","Па меры таго, як вы будзеце капаць глыбей і ўсё больш грамадзян будзе жыць у вашым фарпосце, вашыя справы будуць прыцягваць увагу, як пажаданую, так і не. "
"Deal with challenges as they arise, and you might one day find that your humble settlement has grown to become a Mountainhome, the center of your civilization.","Вырашайце праблемы па меры іх узнікнення, і аднойчы выявіце, што ваша сціплае паселішча ператварылася ў Горную Сталіцу, цэнтр вашай цывілізацыі."
"Quick start and short tutorial?","Хуткі пачатак і кароткае навучанне?"
"Would you like your fortress located in a forested mineral-rich region of this world where you can play through a short tutorial? ","Хочаце, каб ваша крэпасць знаходзілася ў лясным, багатым мінераламі рэгіёне свету, дзе вы можаце прайсці праз кароткае навучанне? "
"Non-interactive help will be available whatever you decide.","Неінтэрактыўная дапамога будзе даступная незалежна ад вашага рашэння."
"On your own!","Паводле свайго меркавання!"
"If this is your first time playing, please heed the embark warnings about aquifers, saltwater, and other hazards. ","Калі вы ўпершыню гуляеце, калі ласка, прыслухайцеся да папярэджанняў аб ваданосных пластах, салёнай вадзе і іншых небяспеках. "
"Some locations are challenging even for experienced players, and it will be a very short game indeed if you don't know how to deal with them!","Некаторыя лакацыі з'яўляюцца складанымі нават для дасведчаных гульцоў, і гульня будзе вельмі кароткай, калі вы не ведаеце, як з імі змагацца!"
"After you embark, help is available by pressing the help button in the top right corner, including all of the tutorials.","Пасля таго, як вы пачнеце, вы можаце атрымаць дапамогу, націснуўшы кнопку даведкі ў правым верхнім куце, у тым ліку ўсе падручнікі."
" (1 of 8)"," (1 з 8)"
"Your view is focused on one elevation at a time.  To move the camera around, press ","Ваша камера засяроджана на адной вышыні за раз. Каб перамясціць камеру, націсніце "
"] or hold the middle mouse button and drag the view.","] або ўтрымлівайце сярэднюю кнопку мышы і перацягніце выгляд."
"To change the camera's elevation, press ","Каб змяніць вышыню камеры, націсніце "
"] and ","] і "
"] or [C:2:0:1]roll the mouse wheel[C:7:0:0].  Hold shift to move faster.","] ілі [C:2:0:1]пракруціце кола мышкі[C:7:0:0]. Утрымлівайце shift, каб рухацца хутчэй."
"When your view is in the air above other tiles, you can see them below, but you can only interact with objects in your current elevation.","Калі ваша камера знаходзіцца ў паветры над іншымі пластамі, вы можаце бачыць іх унізе, але ўзаемадзейнічаць, магчыма толькі з аб'ектамі на вашай бягучай вышыні."
"The view will be dark underground until you begin mining.  You can move the camera to the surface with the surface button (highlighted.)  The ","Выгляд будзе цёмны пад зямлёй, пакуль вы не пачнеце капаць. Вы можаце перамясціць камеру на паверхню з дапамогай кнопкі ""Паверхня"" (выдзелена.) "
"] hotkey will recenter on your wagon.","] гарачая клавіша цэнтравання на вашай калёсы."
"You can zoom in and out of the play area using ","Вы можаце павялічваць і памяншаць маштаб гульнявай зоны "
"], [C:2:0:1]Ctrl+mouse wheel[C:7:0:0], or the indicated buttons.","], [C:2:0:1]Ctrl + кола мышы[C:7:0:0] або пазначаныя кнопкі."
" (2 of 8)"," (2 з 8)"
"It's time to get to work!  Let's start by digging a stairwell into the ground.  ","Час брацца за працу! Пачнем з таго, што выкапаем лесвіцу. "
"There may be plenty of hillside to dig into, but you'll want to seek wealth below the surface.","Ёсць шмат схілаў/гораў, у якіх можна пакапацца, але лепш шукаць багацце пад зямлёю."
"Mining tasks are designated on the play area.  Begin by clicking the highlighted [C:5:0:1]Mining[C:7:0:0] button.","Загады па здабычы пазначаны на гульнявой пляцоўцы. Пачніце з націску на вылучаную кнопку [C:5:0:1]Здабыча[C:7:0:0]."
"There are several ways to mine.  Stairwells (selected) start at one elevation and are completed at ","Ёсць некалькі спосабаў капання. Лесвічныя шляхі (выбраныя) пачынаюцца на адной вышыні і заканчваюцца на "
"the next.  [C:2:0:1]Click[C:7:0:0] the surface, [C:2:0:1]move the camera down one level[C:7:0:0], and [C:2:0:1]click[C:7:0:0] the underground.  Reversing the ","наступнай. [C:2:0:1]Націсніце[C:7:0:0] на паверхню, [C:2:0:1]перамясціце камеру на адзін узровень уніз[C:7:0:0] і [C:2:0:1]націсніце[C:7:0:0] на ўзроўні ніжэй. Загад у адваротным парадку "
"order also works.","таксама працуе."
"Now we'll unpause the game and let the miner finish the task.  Press ","Цяпер мы працягнем гульню і дазволім гарняку скончыць загад. Націсніце "
"to unpause or use the highlighted controls at the top of the screen.  You should pause regularly starting out.","каб аднавіць гульню, або скарыстайцеся вылучанымі элементамі кіравання ў верхняй правай частцы экрана. Калі вы толькі пачынаеце, тады лепш рабіць паўзы рэгулярна."
"Let's make a safe place to work.  Select [C:5:0:1]Regular Mining[C:7:0:0] mode, to the left of [C:5:0:1]Stair Mining[C:7:0:0] mode.","Давайце зробім бяспечнае месца для працы. Выберыце [C:5:0:1]Звычайная здабыча[C:7:0:0], злева ад [C:5:0:1]Капанне лесвіцы[C:7:0:0]."
"Dig a rectangle underground big enough for a large [C:6:0:0]Stockpile[C:7:0:0] and some [C:6:0:0]Workshops[C:7:0:0].  ","Выкапайце пад зямлёй прамавугольнік, дастаткова вялікі для прасторнага [C:6:0:0]Склада[C:7:0:0] і некалькіх [C: 6:0:0]Майстэрняў[C:7:0:0]. "
"Consider that most [C:6:0:0]Workshops[C:7:0:0] are 3x3 squares.  Mining through the stone layers further down may take longer, ","Майце на ўвазе, што большасць [C:6:0:0]Майстэрняў[C:7:0:0] - гэта квадрат 3x3. Капанне каменных пластоў ніжэй можа заняць больш часу, "
"but it leaves [C:6:0:1]Boulders[C:7:0:0] which are an essential building material.","але пакідае [C:6:0:1]Валуны[C:7:0:0], якія з'яўляюцца неабходным будаўнічым матэрыялам."
"Later you can consider making a [C:3:0:0]Meeting Area[C:7:0:0] ","Пазней вы можаце разгледзець стварэнне [C:3:0:0]Зоны сустрэч[C:7:0:0] "
"from the [C:5:0:1]Zones[C:7:0:0] menu. Otherwise your citizens will continue to gather by the [C:6:0:0]Wagon[C:7:0:0] outside.","з меню [C:5:0:1]Зоны[C:7:0:0]. У адваротным выпадку вашы жыхары будуць працягваць збірацца каля [C:6:0:0]Калёсаў[C:7:0:0] звонку."
" (3 of 8)"," (3 з 8)"
"The supplies on the wagon are in danger of being carried off by wild creatures!  ","Запасы ў калёсах знаходзяцца пад пагрозай, іх могуць скрасці дзікія істоты! "
"It's time to build a [C:6:0:0]Stockpile[C:7:0:0] underground to unload them.  [C:6:0:0]Stockpiles[C:7:0:0] are crucial to moving ","Прыйшоў час пабудаваць [C:6:0:0]Склады[C:7:0:0] пад зямлёй, каб іх разгрузіць. [C:6:0:0]Склады[C:7:0:0] маюць вырашальнае значэнне для перасоўвання "
"supplies around your fortress where they are needed.","запасы вакол вашай крэпасці, дзе яны неабходныя."
"[C:6:0:0]Stockpiles[C:7:0:0] are placed with the [C:5:0:1]Stockpile[C:7:0:0] button (highlighted.)  Click it now.","[C:6:0:0]Склады[C:7:0:0] размяшчаюцца кнопкай [C:5:0:1]Склад[C:7:0:0] (выдзелена). Пстрыкніце яе цяпер."
"Click the add button, and click two corners of a rectangle somewhere safe ","Націсніце кнопку дадаць і пстрыкніце два вуглы прамавугольніка ў бяспечным месцы "
"to place your pile.  [C:6:0:0]Stockpiles[C:7:0:0] can be placed both on the surface and underground.  ","каб зацвердзіць зону. [C:6:0:0]Склады[C:7:0:0] можна размяшчаць як на паверхні, так і пад зямлёй. "
"Once the pile is placed, click [C:5:0:1]Accept[C:7:0:0] and select the [C:5:0:1]All[C:7:0:0] option.","Пасля акрэслення зоны складу націсніце [C:5:0:1]Прыняць[C:7:0:0] і абярыце опцыю [C:5:0:1]Усё[C:7:0:0]."
"If unpaused, your workers should start unloading the wagon into the [C:6:0:0]Stockpile[C:7:0:0].  ","Калі не на паўзе, вашы працоўнікі павінны пачаць разгружаць рэчы з калёсаў на [C:6:0:0]Склад[C:7:0:0]. "
"Later you may want to customize your [C:6:0:0]Stockpiles[C:7:0:0] by clicking on them and pressing the [C:5:0:1]Custom[C:7:0:0] ","Пазней вы можаце наладзіць свае [C:6:0:0]Склады[C:7:0:0], клікнуў па іх і націснуўшы [C:5:0:1]Прыватны[C:7:0:0] "
"button to forbid certain categories, like [C:5:0:1]Refuse[C:7:0:0] for example.  A separate [C:6:0:0]Refuse Stockpile[C:7:0:0] is a ","кнопка, каб забараніць пэўныя катэгорыі, напрыклад, [C:5:0:1]Смецце[C:7:0:0]. Асобны [C:6:0:0]Склад смецця[C:7:0:0] - гэта "
"good idea to keep your fortress clean.","добрая ідэя падтрымліваць сваю крэпасць у чысціні."
"If the [C:5:0:1]Stockpile[C:7:0:0] menu is still open, you can close it now by right-clicking.  Right-clicking can ","Калі меню [C:5:0:1]Склады[C:7:0:0] усё яшчэ адкрыта, вы можаце закрыць яго, пстрыкнуўшы правай кнопкай мышы. Клік правай кнопкай мышы можа "
"always be used to close most menus, as well as ","заўсёды выкарыстоўваецца для закрыцця большасці меню, таксама як і "
" (4 of 8)"," (4 з 8)"
"With shelter ready underground, it's time to build.  ","З гатовым падземным прытулкам, прыйшоў час будаваць. "
"First you need building materials, like [C:6:0:1]Wood[C:7:0:0] or [C:6:0:1]Boulders[C:7:0:0].  ","Спачатку вам патрэбны будаўнічыя матэрыялы, напрыклад [C:6:0:1]Дрэва[C:7:0:0] або [C:6:0:1]Валуны[C:7:0:0]. "
"Before you start chopping down trees you may want to create a dedicated [C:6:0:0]Wood Stockpile[C:7:0:0].  ","Перш чым пачаць секчы дрэвы, вы можаце стварыць спецыяльны [C:6:0:0]Склад дрэва[C:7:0:0]. "
"[C:2:0:0]Haulers[C:7:0:0] will also drop [C:6:0:1]Wood[C:7:0:0] in your [C:6:0:0]All Stockpile[C:7:0:0] unless you turn it off in the [C:5:0:1]Custom Stockpile Menu[C:7:0:0].","[C:2:0:0]Грузчыкі[C:7:0:0] будуць пераносіць[C:6:0:1]Дрэва[C:7:0:0] у ваш [C:6:0:0]Агульны склад[C:7:0:0], пакуль вы не адключыце яго ў [C:5 :0:1]Наладках склада[C:7:0:0]."
"When you are ready, open the [C:5:0:1]Woodcutting[C:7:0:0] menu and designate the trunk of a tree on the surface.  ","Калі вы будзеце гатовыя, адкрыйце меню [C:5:0:1]Высечкі[C:7:0:0] і пазначце ствол дрэва на паверхні. "
"Make sure your woodcutter can walk to the designated location.","Пераканайцеся, што ваш дрывасек можа дайсці да прызначанага месца."
"Now we just need to wait for the woodcutter to chop down the tree.  ","Цяпер застаецца толькі чакаць, пакуль дрывасек ссячэ дрэва. "
"If the fallen logs are accessible, everyone will help store them in the [C:6:0:0]Stockpile[C:7:0:0].  ","Калі паваленыя бярвёны даступныя, кожны можа скласці іх у [C:6:0:0]Склад[C:7:0:0]. "
"You can right click to close [C:5:0:1]Woodcutting[C:7:0:0] mode.  Right clicking closes most menus.","Вы можаце пстрыкнуць правай кнопкай мышы, каб закрыць рэжым [C:5:0:1]Высечкі[C:7:0:0]. Пстрычка правай кнопкай мышы закрывае большасць меню."
"If all of your [C:6:0:0]Stockpiles[C:7:0:0] are full, go ahead and place another one.","Калі ўсе вашы [C:6:0:0]Склады[C:7:0:0] запоўненыя, пастаўце яшчэ адзін."
" (5 of 8)"," (5 з 8)"
"Now that you have the building materials it's time to start building.  ","Цяпер, калі ў вас ёсць будаўнічыя матэрыялы, пара пачынаць будаўніцтва. "
"[C:6:0:0]Workshops[C:7:0:0] are one of many buildings you can place with the highlighted [C:5:0:1]Build[C:7:0:0] button.  Click it now.","[C:6:0:0]Майстэрні[C:7:0:0] з'яўляюцца адным з многіх будынкаў, якія вы можаце размясціць з дапамогай вылучанай кнопкі [C:5:0:1]Будаваць[C:7:0:0]. Націсніце яе."
"Most [C:6:0:0]Workshops[C:7:0:0] require building material, such as [C:6:0:1]Wood[C:7:0:0] or [C:6:0:1]Boulders[C:7:0:0].  ","Для большасці [C:6:0:0]Майстэрняў[C:7:0:0] неабходны будаўнічы матэрыял, напрыклад [C:6:0:1]Дрэва[C:7:0:0] або [C:6:0:1]Валуны[C:7:0:0]. "
"If you have some [C:6:0:1]Wood[C:7:0:0] stockpiled, you'll be able to place a [C:6:0:0]Carpenter's Workshop[C:7:0:0].  ","Калі ў вас ёсць запасы [C:6:0:1]Дрэва[C:7:0:0], вы зможаце размясціць [C:6:0:0]Майстэрню цесляра[C:7:0:0]. "
"Click [C:5:0:1]Workshops[C:7:0:0] -> [C:5:0:1]Carpenter[C:7:0:0] and place the shop in an empty area on the surface or underground.","Націсніце [C:5:0:1]Майстэрні[C:7:0:0] -> [C:5:0:1]Цясляр[C:7:0:0] і размесціце краму ў пустым месцы на паверхні або пад зямлёй."
"When unpaused, a worker should now build the [C:6:0:0]Workshop[C:7:0:0].","Пасля зняцця з паўзы, працаўнік павінен пабудаваць [C:6:0:0]Майстэрню[C:7:0:0]."
"Once the worker is done, click on the building to select it.","Калі рабочы скончыць, націсніце на будынак, каб выбраць яго."
"Your industrious citizens will perform any task added to the [C:6:0:0]Workshop[C:7:0:0].  ","Вашы працавітыя жыхары выканаюць любы загад, дададзены ў [C:6:0:0]Майстэрні[C:7:0:0]. "
"Most objects that are placed, like [C:6:0:1]Doors[C:7:0:0] and [C:6:0:1]Furniture[C:7:0:0], must first be built in a [C:6:0:0]Workshop[C:7:0:0].  ","Большасць размешчаных аб'ектаў, такіх як [C:6:0:1]Дзверы[C:7:0:0] і [C:6:0:1]Мэбля[C:7:0:0], спачатку павінны быць пабудаваныя ў [C:6:0:0]Майстэрні[C:7:0:0]. "
"[C:6:0:1]Furniture[C:7:0:0] created at the [C:6:0:0]Carpenter's Workshop[C:7:0:0] usually takes one [C:6:0:1]Wood[C:7:0:0] to build.  Add a task and make a [C:6:0:1]Bed[C:7:0:0].  ","[C:6:0:1]Мэбля[C:7:0:0], створаная ў [C:6:0:0]Цеслярскай майстэрні[C:7:0:0], звычайна патрабуе [C:6:0:1]Дрэва[C:7:0:0]. Дадайце загад і зрабіце [C:6:0:1]Ложак[C:7:0:0]. "
"Chop down more trees if necessary.  Unpause and wait for the [C:6:0:1]Bed[C:7:0:0] to be completed.","Пры неабходнасці высякайце больш дрэў. Скасуйце паўзу і дачакайцеся стварэння[C:6:0:1]Ложка[C:7:0:0]."
"Now that you have a [C:6:0:1]Bed[C:7:0:0] you can place in it the fortress.  ","Цяпер, калі ў вас ёсць [C:6:0:1]Ложак[C:7:0:0], вы можаце размясціць яго ў крэпасці. "
"Use the [C:5:0:1]Build[C:7:0:0] menu to place it in a room underground, just like the [C:6:0:0]Workshop[C:7:0:0].  Dig a new room first if you like.  ","Выкарыстоўвайце меню [C:5:0:1]Будаваць[C:7:0:0], каб размясціць яго ў пакоі пад зямлёй, як рабілі з [C:6:0:0]Майстэрняй[C:7:0:0]. Спачатку выкапайце новы пакой, калі хочаце. "
"[C:5:0:1]Beds[C:7:0:0] are found in the [C:5:0:1]Furniture[C:7:0:0] category.  Unlike [C:6:0:0]Workshops[C:7:0:0], [C:6:0:0]Beds[C:7:0:0] must be placed underground.","[C:5:0:1]Ложкі[C:7:0:0] знаходзяцца ў катэгорыі [C:5:0:1]Мэбля[C:7:0:0]. У адрозненне ад [C:6:0:0]Майстэрняў[C:7:0:0], [C:6:0:0]Ложкі[C:7:0:0] павінны размяшчацца пад зямлёй."
"With a [C:6:0:0]Bed[C:7:0:0] placed, your workers will have somewhere to sleep.  Later you can create a ","Размясціўшы [C:6:0:0]Ложак[C:7:0:0] вашым жыхарам будзе дзе спаць. Пазней вы можаце стварыць "
"room with a [C:6:0:0]Door[C:7:0:0] and use the [C:5:0:1]Zones[C:7:0:0] menu to assign an official [C:3:0:0]Bedroom[C:7:0:0] for each resident.","пакой з [C:6:0:0]Дзвярамі [C:7:0:0]. Выкарыстоўвайце меню [C:5:0:1]Зоны[C:7:0:0], каб прызначыць [C:3:0:0]Спальню[C:7:0:0] для кожнага жыхара."
" (6 of 8)"," (6 з 8)"
"The rest of the interface is now enabled.","Астатні інтэрфейс цяпер уключаны."
"You can click on [C:2:0:0]Creatures[C:7:0:0] and [C:6:0:1]Items[C:7:0:0] just as you can click on [C:6:0:0]Buildings[C:7:0:0] to get more information about them. ","Вы можаце націснуць на [C:2:0:0]Істоту[C:7:0:0] ці [C:6:0:1]Рэч[C:7:0:0] гэтак жа, як вы можаце націснуць на [C:6:0:0]Будынак[C:7:0:0], каб атрымаць больш інфармацыя. "
"Click on a [C:2:0:0]Resident[C:7:0:0] to see their needs, inventory, thoughts, relations, and more. ","Націсніце на [C:2:0:0]Жыхара[C:7:0:0], каб убачыць патрэбы, інвентар, думкі, адносіны і іншае. "
"You can also access information from the [C:5:0:1]Citizens[C:7:0:0] button.","Вы таксама можаце атрымаць доступ да інфармацыі з дапамогай кнопкі [C:5:0:1]Жыхары[C:7:0:0]."
"Feel free to pause and check out the information.","Вы можаце рабіць паўзу калі хочаце, каб  праверыць інфармацыю."
"Right click to dismiss the information sheet.","Пстрыкніце правай кнопкай мышы, каб закрыць інфармацыйнае вакно."
" (7 of 8)"," (7 з 8)"
"This is an example urgent alert!  These are very important.  Ignore them at your peril.","Гэта прыклад тэрміновай абвесткі! Яны вельмі важныя. Ігнаруйце такія толькі на свой страх і рызыка."
"Important and sometimes urgent information is given as alerts on the left side of the screen. ","Важная і часам тэрміновая інфармацыя паказваецца ў выглядзе абвестак у левай частцы экрана. "
"There have been several already!","Было ўжо нейкае!"
"There have been a few already!","Было ўжо некалькі!"
"There has been one already!","Адно ўжо было!"
"Hover over an alert icon to see the information. ","Навядзіце курсор на значок абвесткі, каб убачыць інфармацыю. "
"Left click on an alert for recentering options, and right click to dismiss an alert.","Пстрыкніце левай кнопкай мышы на абвестку, каб убачыць варыянты цэнтравання на падзее, і правай кнопкай мышы, каб адхіліць."
"Preparing for the Caravan","Падрыхтоўка да прыбыцця каравану."
" (8 of 8)"," (8 з 8)"
"You may need supplies before the coming of winter. ","Магчыма, вам спатрэбяцца запасы да надыходу зімы. "
"To trade with the autumn caravan, you must build a [C:6:0:0]Trade Depot[C:7:0:0] from the [C:5:0:1]Build[C:7:0:0] menu.","Каб гандляваць з восеньскім караванам, трэба  пабудаваць [C:6:0:0]Гандлёвае дэпо[C:7:0:0] з меню [C:5:0:1]Будаваць[C:7:0:0]."
"You need something of value to trade. ","Вам трэба нешта каштоўнае для гандлю. "
"[C:6:0:1]Crafts[C:7:0:0] are an easy way to make a lot of trade goods quickly. ","[C:6:0:1]Рамёства[C:7:0:0] - гэта просты спосаб хутка зрабіць шмат гандлёвых тавараў. "
"Make the appropriate workshop with [C:5:0:1]Workshops[C:7:0:0] -> [C:5:0:1]Crafts[C:7:0:0]. ","Зрабіце адпаведную майстэрню праз [C:5:0:1]Майстэрні[C:7:0:0] -> [C:5:0:1]Рамёствы[C:7:0:0]. "
"An obvious material to use to make the crafts is rock. ","Відавочным матэрыялам для вырабу рэчаў з'яўляецца камень. "
"If you dig down enough layers you will find a near infinite amount of [C:6:0:1]Boulders[C:7:0:0] of various ","Калі вы раскапаеце дастатковую колькасць пластоў уніз, вы знойдзеце амаль бясконцую колькасць розных [C:6:0:1]Валуноў[C:7:0:0], "
"kinds as well as some [C:6:0:1]Rough Gems[C:7:0:0] if you are lucky.","а таксама некаторыя [C:6:0:1]Неапрацаваныя самацветы[C:7:0:0], калі вам пашанцуе."
"[C:6:0:1]Gems[C:7:0:0] can be [C:3:0:1]Cut[C:7:0:0] at the [C:6:0:0]Jeweler's Workshop[C:7:0:0].  [C:3:0:1]Encrust[C:7:0:0] them on [C:6:0:1]Crafts[C:7:0:0] and other items to add even more value.","[C:6:0:1]Самацветы[C:7:0:0] можна [C:3:0:1]Аграніць[C:7:0:0] у [C:6:0:0]Ювелірнай майстэрні[C:7:0:0]. [C:3:0:1]Інкрустуйце[C:7:0:0] йімі [C:6:0:1]Вырабы[C:7:0:0] і іншыя прадметы, каб дадаць йім большую каштоўнасць."
"Just the beginning","Толькі пачатак"
"There's a lot more to learn!","Ёсць яшчэ чаму вучыцца!"
"As you enter new menus, there will be information and tips.","Кожнае меню мае інфармацыю і парады."
"The [C:5:0:1]Help[C:7:0:0] button at the top of the screen contains more guides. ","Кнопка [C:5:0:1]Дапамогі[C:7:0:0] у верхняй частцы экрана змяшчае дадатковыя падказкі. "
"Click it now, and this tutorial will be concluded.","Націсніце яго цяпер, і гэтае навучанне будзе скончана."
"In order to keep your citizens alive in the unforgiving wilderness they will need shelter, drink, and food.","Каб захаваць жыццё вашых жыхароў у няўмольным асяроддзі, ім спатрэбіцца прытулак, пітво і ежа."
"Use the arrow at the top of this window to minimize the tutorial when it obscures your view. ","Выкарыстоўвайце стрэлку ў верхняй частцы гэтага акна, каб згарнуць падручнік, калі ён закрывае вам агляд. "
"[C:7:0:1]Shelter[C:7:0:0]","[C:7:0:1]Прытулак[C:7:0:0]"
"By now you should have a room underground where your residents can hide from the creatures above. ","Цяпер у вас павінна быць месца пад зямлёй, дзе вашы жыхары могуць схавацца ад істот вышэй. "
"To make sure they spend their free time down there you will need to use the [C:5:0:1]Zones[C:7:0:0] menu to create a [C:3:0:0]Meeting Area[C:7:0:0]. ","Каб пераканацца, што яны праводзяць там свой вольны час, вам трэба будзе выкарыстоўваць меню [C:5:0:1]Зоны[C:7:0:0], каб стварыць [C:3:0:0]Зону сустрэч[C:7:0:0]. "
"Later you may try the [C:5:0:1]Burrows[C:7:0:0] menu to create a safe place for your civilians to hide when real trouble comes.","Пазней вы можаце паспрабаваць меню [C:5:0:1]Сховішчы[C:7:0:0], каб стварыць бяспечнае месца для вашых жыхароў, дзе яны могуць схавацца, калі наступіць сапраўдная бяда."
"[C:7:0:1]Labor[C:7:0:0]","[C:7:0:1]Праца[C:7:0:0]"
"Some essential tasks must be assigned from the [C:5:0:1]Labor[C:7:0:0] menu. ","Некаторыя асноўныя задачы павінны быць прызначаныя з меню [C:5:0:1]Праца[C:7:0:0]. "
"Click here and make sure you have a [C:2:0:0]","Націсніце тут і пераканайцеся, што ў вас ёсць [C:2:0:0]"
"Miner","Гарняк"
"Woodcutter","Дрывасек"
"[C:7:0:0], and [C:2:0:0]","[C:7:0:0] і [C:2:0:0]"
"Fisherdwarf","Рыбалоў"
"If you haven't suffered any casualties, you should have these labors assigned already. ","Калі ў вас усё атрымалася правільна, працаўнікі павінны быць прызначаныя. "
"But if one of these brave workers falls, you'll need to assign somebody to these duties.","Але калі адзін з гэтых адважных работнікаў упадзе, вам трэба будзе прызначыць каго - небудзь для выканання гэтых абавязкаў."
