"more presumptious","domìçlivØjç¡"
" refusal to identify to "," odm¡tnut¡ identifikovat se "
" in search of adventure"," pýi hled n¡ dobrodru§stv¡"
" (improper building)"," (nevhodn  budova)"
"a room","pokoj"
"Acknowledge lack of loneliness","Konstatovat nepý¡tomnost osamØlosti"
"loathing","odpor"
"Storage path decrease (bucket combine)","Sn¡§en¡ cesty skladu (sluŸov n¡ kbel¡k…)"
"Carpentry Pit","Tesaýsk  j ma"
" religious opposition to the adversary's inherent association with "," n bo§enskì odpor k vrozen‚mu spojen¡ protivn¡ka s "
"community bonds","komunitn¡ vazby"
"Imported clothing market","Trh s dov §enìm obleŸen¡m"
" stinks!"," smrd¡!"
"gaiety","vesel¡"
"Each line has ","Ka§dì verç m  "
" gouges"," vyrìv "
"work pits (50,30,20)","pracovn¡ j my (50,30,20)"
"greeting ","pozdrav "
"realized","naplnØno"
"faraway","dalekì"
"Catch live land animal","Chytit §iv‚ suchozemsk‚ zv¡ýe"
"underworld","podsvØt¡"
"The dancers perform ","vystupuj¡c¡ taneŸn¡ci "
" must pay homage to "," mus¡ vzd t poctu "
"Loading active historical figures...","NaŸ¡t n¡ aktivn¡ch historickìch postav..."
"Default high traffic path cost","Vìchoz¡ cena cesty pro vysokì provoz"
"Gleeful","Rozjaýenì"
"condensed.","zkondenzovali."
"Hide an item or building from your view.  Citizens will still use it.","Skrìt pýedmØt nebo stavbu z tv‚ho pohledu. ObŸan‚ je budou nad le pou§¡vat."
"being tormented in nightmares by a dead friend","bìt v noŸn¡ch m…r ch trìznØn mrtvìm pý¡telem"
"philosophy:metaphysics:time","filozofie:metafyzika:Ÿas"
"Well, let's see...","No, pod¡vejme se..."
"Rough ","Hrub‚ "
"Move selector right","Posunout vìbØr doprava"
" considers tranquility preferable to tumult, conceptually"," pova§uje klid za lepç¡ ne§ zmatek, alespoå konceptu lnØ"
".  You are a stranger here.",". Jsi tu cizincem."
"Tropical Saltwater Lake","Tropick‚ slan‚ jezero"
"zealous","horlivì"
"no sphere","bez sf‚ry"
"work if suited","pracovat, pokud se hod¡"
" all of the time"," poý d"
"Ask about listener's family","Zeptat se na posluchaŸovu rodinu"
"slower and slower ","st le pomaleji "
" has revealed the presence of "," odhalil(a) pý¡tomnost "
"current events","souŸasn‚ ud losti"
"Seek Food Item","Hledat j¡dlo"
"Arena: Create creature","Ar‚na: Vytvoýit tvora"
"I was considering the demands I've made.","Pýemìçlel jsem o svìch po§adavc¡ch."
"is tiny yet incredibly muscular and lardy","je titØrnì, ale neuvØýitelnØ svalnatì a obalenì tukem"
"vessel","plavidlo"
" strings"," struny"
"A foolish builder defaced a ","Hloupì stavitel poçkodil "
"Affection","N klonnost"
"is very long and frail","je velmi dlouhì a kýehkì"
"was willing to accept eventual death and refused","byl ochotnì pýijmout smrt a odm¡tl"
"To the southeast","Na jihovìchod"
"Highly Loyal","Vysoce loaj ln¡"
"inspiringly led","inspirativnØ veden‚"
"members of ","Ÿlenov‚ "
"All of the pipes are single reed.  ","Vçechny p¡çœaly jsou jazìŸkov‚.  "
"Ask about somebody (new menu)","Zeptat se na nØkoho (nov‚ menu)"
"Armor ","Zbroj "
"stammers when ","zadrh v , kdy§ "
"Constant training","Nepýetr§itì vìcvik"
"be stately","bìt vzneçenì"
"a series of ","ýada "
"food storage ","skladov n¡ j¡dla "
"is fat and very tall","je tlustì a velmi vysokì"
" stanza"," m¡stnost"
"was crushed under a collapsing ceiling","byl rozdrcen zý¡cenìm stropem"
"The beats are named ","Rytmy se jmenuj¡ "
"Soil","P…da"
"boiling filth","vý¡c¡ çp¡na"
"Change the frequency that the conditions are checked.","ZmØnit frekvenci kontrolov n¡ podm¡nek."
"broke even","skonŸilo na nule"
"I had a bath with soap!","MØl jsem koupel s mìdlem!"
"rumored flatterer","pochybnì lichotn¡k"
"stopped being the father of","pýestal bìt otcem "
"Collect clay","SbØr j¡lu"
"discourse on the nature of time","diskuze o povaze Ÿasu"
"[C:7:0:1]Crutch required","[C:7:0:1]Vy§aduje berli"
"Chain Drives","üetØzov‚ pýevody"
"You no longer assume a submissive posture.","U§ nezauj¡m ç podý¡zenì postoj."
"is selected","vybr n"
"geography:theory:origin of rainfall from evap condense","geografie:teorie:p…vod sr §ek z odpaýov n¡ a kondenzace"
"SMALL ISLAND","MALí OSTROV"
"[C:6:0:1]Placed in traction","[C:6:0:1]Um¡stØn do trakce"
"Refuse ","Odpad "
" corrupted "," zkorumpoval "
"most high priests","nejvyçç¡ knØ§¡"
"slightly sunken","lehce zaboýen‚"
"Strike","éder"
" grotesque"," groteskn¡ch"
"Ice Upward Track (NEW)","Ledov  stoupaj¡c¡ cesta (S-V-Z)"
":strings:strings",":struny:struny"
"the water cycle","kolobØh vody"
"been found dead, badly crushed.","byl nalezen mrtvì, oçklivØ rozdrcen."
" with a shameworthy performance."," s ostudnìm vìkonem"
"very long ","velmi dlouh  "
"Attribute cap perc less than 100, set to 100","Maxim ln¡ procento atributu menç¡ ne§ 100, nastaveno na 100"
"Bled to death","Vykrv cel"
"No charge attack: target is on the ground","Nelze prov‚st vìpad: c¡l je na zemi"
"State feelings of frustration","Vyj dýit frustraci"
"The written portion consists of ","Psan  Ÿ st se skl d  z "
"started working at","zaŸal pracovat v"
"is long with a frail body","je dlouhì s kýehkìm tØlem"
" (to "," (na "
"finely-crafted","jemnØ zpracovan‚"
"Resentful","RozhoýŸenì"
" is conflicted by this for more than one reason"," je t¡m rozpolcen z v¡ce ne§ jednoho d…vodu"
"the concealment of ","ukryt¡ "
"could afford to learn a lesson or two, though open conflict would be unwise.","by si zaslou§ili nauŸit se jednu Ÿi dvØ lekce, aŸkoli otevýenì konflikt by byl nerozumnì."
"punished somebody with tool","potrestal nØkoho n strojem"
"at "," pýi "
"I am consumed by hatred.","Jsem pohlcen nen vist¡."
"more fearless","neboj cnØjç¡"
"passage","pas §e"
", but now this stands between us.",", ale teÔ mezi n mi stoj¡ tohle."
"Land's status elevated","Status £zem¡ povìçen"
"State minor feeling of repentance","Vyj dýit m¡rn‚ pok n¡"
"Mouse-context scrollbar up","Posuvn¡k nahoru (myç)"
"Pet loses dead owner","Mazl¡Ÿek ztr c¡ mrtv‚ho majitele"
"known preserver of knowledge","znal  studnice vØdØn¡"
"medicine:method:autopsy","medic¡na:metoda:pitva"
"Forest region count fails by ","PoŸet lesn¡ch region… nesplnØn o "
"Humorless","Bez smyslu pro humor"
" was"," byl"
"How may I serve you?","Jak ti mohu slou§it?"
"Site Cap After Civ Creation","Limit s¡del po vytvoýen¡ civilizace"
"Enjoyment","PotØçen¡"
"is consumed by overpowering feelings of jealousy","je stravov n ohromuj¡c¡ § rlivost¡"
"the end of the former membership of","konec bìval‚ho Ÿlenstv¡ "
"a storyteller, or at least tells stories","vypravØŸ, nebo alespoå vypr v¡ pý¡bØhy"
"No relationships","¦ dn‚ vztahy"
"considering demand","zva§uje po§adavek"
"[C:6:0:0].Moderate bruising","[C:6:0:0].Stýedn¡ pohmo§dØn¡"
"No witnesses","¦ dn¡ svØdci"
"I was unable to request weapon production.","Nemohl jsem po§ dat o vìrobu zbran¡."
"Finish setting tree chopping orders.","DokonŸit nastaven¡ pý¡kaz… ke k cen¡."
"near favorite animal","v bl¡zkosti obl¡ben‚ho zv¡ýete"
"Terrarium","Ter rium"
"Must be inside","Mus¡ bìt uvnitý"
"statue","socha"
"Foiled Bribery Conspiracy","Zmaýen‚ £platk ýsk‚ spiknut¡"
"Subterranean Magma","Podzemn¡ magma"
"Number of beasts","PoŸet besti¡"
"is short and very skinny","je malì a velmi hubenì"
"Toggle cloud view.","Pýepnout zobrazen¡ mrak…."
"There is a long-ranging patrol ","Je zde hl¡dka s dlouhìm dosahem "
"Fail the struggle against great horror","Selhat v boji proti velk‚ hr…ze"
"on the floor ","na podlaze "
"Ah, wonderful.  Thank you for your business.","Ach, skvØl‚. DØkuji za obchod."
"Change standard selections to blueprints.","ZmØnit standardn¡ vìbØry na pl ny."
"Dismiss minor feeling of anguish","Ignorovat m¡rnì pocit £zkosti"
"sharing a personal insight with an acquaintance","sd¡len¡ osobn¡ho postýehu se zn mìm"
"entertaining citizens and visitors.","z bavy obŸan… a n vçtØvn¡k…."
"unmet needs","potýebuje"
"State minor feeling of gaiety","Vyj dýit m¡rnou veselost"
"You can also demand your opponent yield using a conversation option. ","M…§eç tak‚ po§adovat, aby se protivn¡k vzdal, pomoc¡ volby v rozhovoru. "
", moving ",", pohybuj¡c¡ se "
"Evil cloud","Zlovolnì mrak"
" yoke.]"," jhu.]"
" to the living world"," k §ivouc¡mu svØtu"
"Unknown convict.","Nezn mì pachatel."
"Deceased","Zesnulì"
"ABORT NOW and I'll look over my parameters.","PüERUæIT NYNÖ a zkontroluji sv‚ parametry."
"I was cried on by an unhappy citizen.","Plakal na mØ neçœastnì obŸan."
"ethics as applied to war","etika aplikovan  na v lku"
"Types of Muscles","Typy sval…"
"deeply sunken","hluboce zaboýen‚"
"Acknowledge lack of aggravation","Konstatovat nepý¡tomnost podr §dØn¡"
" Winter"," zimy"
"Monster slayer","Zabij k monster"
"Assume Control","Pýevz¡t kontrolu"
"Major River: ","Velk  ýeka: "
"Affects response to jokes.","Ovlivåuje reakci na vtipy."
"[C:3:0:1]Stunned","[C:3:0:1]Omr Ÿenì"
"number","Ÿ¡slo"
"is impervious to the effects of stress","je zcela odolnì v…Ÿi stresu"
"raucous","chraplavì"
"handler","styŸnì agent"
"It's such a pleasure to serve you.","Je mi potØçen¡m ti slou§it."
"There's nothing to be indignant about.","Nen¡ d…vod k rozhoýŸen¡."
"situation","situace"
"was killed by spikes","byl zabit hroty"
"Outdoor access","Pý¡stup ven"
"due to a shared scholarly interest","kv…li sd¡len‚mu uŸeneck‚mu z jmu"
"This is truly horrifying.","Tohle je skuteŸnØ dØsiv‚."
"You can recognize a high priest when this is a temple complex.","VeleknØze m…§eç uznat, jakmile je toto chr movì komplex."
"Types of Nerves","Typy nerv…"
"in order to pursue scholarship","aby se vØnoval uŸenosti"
"fathom you ending up with the items you desire.","pýedstavit, §e se domluv¡me k vaç¡ spokojenosti."
"There is a great keep there","Je tam velk  pevnost"
"treachery","zrada"
" numerous series of"," Ÿetn‚ s‚rie"
"I am so grateful!","Jsem tak vdØŸnì!"
"Verbally struggle against terror","SlovnØ bojovat proti dØsu"
"added a masterful handle","pýidal mistrovskou rukojeœ"
"Blood of the living (sensed)","Krev §ivìch (vyc¡tØn )"
"You can place floors for functional reasons or to enhance the appearance of the fortress.  Requires boulder, block, or wood.","M…§eç umisœovat podlahy z praktickìch d…vod… nebo pro zlepçen¡ vzhledu pevnosti.  Vy§aduje balvan, blok nebo dýevo."
"been found solidified.","byli nalezeni ztuhl¡."
"Don't update","Neaktualizovat"
"Placing megabeasts...","Umisœov n¡ megabesti¡..."
"It is noon.","Je poledne."
"clear glass","Ÿir‚ sklo"
"exec burned alive","up len¡"
"the dissolution of ","rozpad "
"the display of war and hunting trophies","vystavov n¡ v leŸnìch a loveckìch trofej¡"
"Spread rumor of the insurrection","æ¡ýit povØst o povst n¡"
"covering","pokryt¡"
"[C:7:0:1]Shelter[C:7:0:0]","[C:7:0:1]Pý¡stýeç¡[C:7:0:0]"
"Very Low","Velmi n¡zk "
"The sun will set soon.  Be careful that the bogeyman doesn't get you.","Slunce brzy zapadne.  D vej pozor, aœ tØ nedostane bub k."
"You have discovered a river.","Objevil jsi ýeku."
" through "," skrz "
"sharing one of mother's personal insight","sd¡len¡ jednoho z osobn¡ch postýehu matky"
"Set hunter ammunition","Nastavit munici lovce"
"Wind Instrumentalist","Hr Ÿ na dechovì n stroj"
"examples of triples of small whole numbers which, when taken together, are the lengths of the sides of a right triangle","pý¡klady trojic malìch celìch Ÿ¡sel, kter  tvoý¡ d‚lky stran pravo£hl‚ho troj£heln¡ka"
"Infamous enemy fighter","Proslulì nepý telskì bojovn¡k"
"torturing ","muŸen¡ "
"famous protector of the weak","skvØlì ochr nce slabìch"
"You butcher ","Tv…j ýezn¡k "
"an initial caesura","poŸ teŸn¡ c‚zuru"
"Background","Pozad¡"
" planted"," zasazeno"
"Finish Game","UkonŸit hru"
"the water-powered sawmill","vodou poh nØn  pila"
"Do this by selecting [C:5:0:1]Workshops[C:7:0:0] -> [C:5:0:1]Farming[C:7:0:0] -> [C:5:0:1]Fishery[C:7:0:0].","UdØl ç to vìbØrem [C:5:0:1]D¡lny[C:7:0:0] - [C:5:0:1]ZemØdØlstv¡[C:7:0:0] - [C:5:0:1]Ryb rna[C:7:0:0]."
" since "," proto§e "
"Dismount","Sesednout"
"Alternatively, you can reduce the number of mid-level elevation squares required.","AlternativnØ m…§eç sn¡§it poŸet po§adovanìch stýednØ vysokìch pol¡."
"bruising","modýiny"
"hated","nen vidØl"
"mud","bl to"
" broke up"," se rozeçli"
"the burning of ","sp len¡ "
"Unknown book","Nezn m  kniha"
"been found boiled.","byli nalezeni uvaýen¡."
"Former prisoner","Bìvalì vØzeå"
"Do this if you want to keep the old save.","UdØlejte to, pokud chcete zachovat star‚ ulo§en‚ pozice."
" reciting nonsensical words and sounds"," recituj¡c¡ nesmysln  slova a zvuky"
"Bowmaking Workshop","Lukostýeleck  d¡lna"
"is stout","je podsaditì"
"housekeepers","hospodynØ (pl.)"
"town yards (100,50,10)","mØstsk‚ dvory (100,50,10)"
"begins to talk in a monotone when ","zaŸne mluvit monot¢nnØ, kdy§ "
" of 20)"," z 20)"
"is long and very fat","je dlouhì a velmi tlustì"
"shadow clocks","st¡nov‚ hodiny"
"When speaking to somebody, you'll choose what to say, and then time will pass while you are speaking and waiting for a reply.  ","Pýi rozhovoru si zvol¡ç, co ý¡ci, a pot‚ plyne Ÿas, zat¡mco mluv¡ç a Ÿek ç na odpovØÔ.  "
"Affects attacks with hand-like appendages.","Ovlivåuje £toky ruk m podobnìmi konŸetinami."
"This is distressing.","Tohle je znepokojiv‚."
" was recognized and arrested"," byl rozpozn n a zatŸen"
"[B]The ","[B] "
"has a strong sense of duty","m  silnì smysl pro povinnost"
"Accept the loss and move on.","Pýijmi ztr tu a pokraŸuj d l."
"You are a wanderer of the wilderness.","Jsi poutn¡k v divoŸinØ."
"Load ballista","Nab¡t balistu"
" plotted to abduct "," zosnoval(a) £nos "
"Overall, the choreography is not awful, but not very good either","CelkovØ choreografie nen¡ hrozn , ale ani pý¡liç dobr "
"is a complete scatterbrain, unable to focus on a single matter for more than a passing moment","je naprostì roztØkanec, neschopnì soustýedit se na jednu vØc d‚le ne§ okam§ik"
"Toggle whether the stockpile allows plant and animal-based objects, regardless of other settings.","Pýepni, zda sklad povoluje pýedmØty rostlinn‚ho a §ivoŸiçn‚ho p…vodu bez ohledu na ostatn¡ nastaven¡."
" is conflicted by this part of "," je t¡mto aspektem "
"Provide the location of specific place","Uv‚st um¡stØn¡ konkr‚tn¡ho m¡sta"
"Accept background","Potvrdit pozad¡"
"Click a tile to be a corner of the ","Klikni na dla§dici, kter  bude rohem "
"Here you can create squads, fill their positions, assign equipment and schedules, and give specific orders.","Zde m…§eç vytv ýet odd¡ly, obsazovat jejich pozice, pýiýazovat vìstroj a rozvrhy a vyd vat konkr‚tn¡ rozkazy."
"Back to title menu","ZpØt do hlavn¡ho menu"
"In the ","V "
"nobody to punish for failed mandate","nikdo k potrest n¡ za nesplnØnì mand t"
"Head for Edge","M¡ýit k okraji"
"ripped","roztr§eno"
"Your strength has been broken.","Vaçe s¡la byla zlomena."
"Invite listener to join ","Pozvat posluchaŸe do "
"Spouse: ","Choœ: "
"confidence","sebejistota"
"being forced to eat vermin to survive","bìt donucen sn¡st çk…dce, aby pýe§il"
"Learn ","UŸ se "
"  Perhaps some of your friends here can remind you.","  Mo§n  v m nØkteý¡ z vaçich pý tel mohou pýipomenout."
"After a scale is constructed, notes are named according to degree.  ","Po vytvoýen¡ stupnice jsou t¢ny pojmenov ny podle stupnØ.  "
"Normal","Norm ln¡"
"0 = Can use any shop","0 = M…§e pou§¡t jakoukoli d¡lnu"
"I was beat somebody with the hammer.","Bil jsem nØkoho kladivem."
"an infamous thug","proslulì n siln¡k"
"even-even","sudì-sudì"
"This visitor has come ","Tento n vçtØvn¡k pýiçel "
"has a long, thin frame with little fat","m  dlouhou, hubenou postavu s m lo tukem"
"present different views of the same subject","pýedstavuj¡ r…zn‚ pohledy na stejn‚ t‚ma"
"cunning","lst¡"
"has a very broad body but it is frail with very little fat on it","m  velmi çirok‚ tØlo, ale je kýehkì a m  velmi m lo tuku"
"Low","N¡zk "
"Sea Foam","Moýsk  pØna"
", Crafts",", ýemesla"
"boss","ç‚f"
"Each passage","Ka§d  pas §"
" shakes"," se týese"
"State feelings of zeal","Vyj dýit nadçen¡"
"This work order is ready to activate.","Tento pracovn¡ pý¡kaz je pýipraven k aktivaci."
"filth","çp¡na"
"harmonic minor","harmonick  moll"
"is very short yet muscular and fat","je velmi malì, ale svalnatì "
"the passing of corruptly-obtained funds by ","pýed v n¡ korupŸnØ z¡skanìch prostýedk… ze strany "
"We should be making better progress.","MØli bychom dØlat lepç¡ pokrok."
"near hated vermin","v bl¡zkosti nen vidØn‚ havØti"
"Uhh...  nevermind.","Eh... to je jedno."
"We can no longer travel together.","U§ nem…§eme cestovat spolu."
" is a waste of time."," je ztr ta Ÿasu."
"dull","mdlì"
"a table of chord lengths indexed by angle","tabulka d‚lek tØtiv podle £hlu"
"is very fat","je velmi tlustì"
"Handwear","Rukavice"
"Well dry","Studna je such "
"nevermind","to je jedno"
"limb/body ","konŸetina/tØlo "
"Some migrants have arrived at this unhappy place.","NØkteý¡ migranti dorazili na toto neçœastn‚ m¡sto."
"surveying by triangulation for the purpose of allocating land","triangulaŸn¡ mØýen¡ pro £Ÿely rozdØlov n¡ pozemk…"
"Do not keep everything for yourself.","Neschov vej si vçe pro sebe."
"Buildings...","Budovy..."
"Finalizing material templates...","DokonŸuji çablony materi l…..."
"rant","chv st n¡"
"coating","vrstva"
"Flee from Opponent (Climb)","Ut‚ct pýed protivn¡kem (çplh)"
"Throw by ","Hodit pomoc¡ "
" has cooked a masterpiece!"," uvaýil mistrovsk‚ d¡lo!"
" level"," uroveå"
"was too ambitious to accept death and agreed","byl pý¡liç ambici¢zn¡, aby pýijal smrt, a souhlasil"
", the door on your left",", dveýe po tv‚ levici"
"This is such an outrage!","To je takov  nehor znost!"
"is at a free tempo","m  voln‚ tempo"
"waste (0,20,0)","pustina (0,20,0)"
".   Perhaps I'll finally make my fortune!",".   Mo§n  koneŸnØ zbohatnu!"
"empathetic","empatickì"
", Paste",", pasta"
"Sorting text...","Tý¡dØn¡ textu..."
"Usable armor","Pou§iteln‚ brnØn¡"
"** Loading Fortress **","** NaŸ¡t n¡ pevnosti **"
"You can see how many worshippers of each deity live in your fortress by scrolling over their names. ","PoŸet uct¡vaŸ… jednotlivìch bo§stev zjist¡ç pýejet¡m kurzoru pýes jejich jm‚na. "
"State feelings of great annoyance","Vyj dýit velkou otr venost"
"Artifacts completed","Artefakty dokonŸeny"
"is broad-bodied, though weak and skinny","m  çirok‚ tØlo, ale je slabì a hubenì"
"Negotiator","VyjednavaŸ"
" leather/dye available"," k…§e/barviva k dispozici"
"biography","biografie"
"Block","Blok"
"attacked","napaden"
"Land holder production trigger ","ProdukŸn¡ spouçtØŸ dr§itele p…dy "
"smashed","rozbito"
"The sky above you is completely gray, with dark cloud pillars pressing through it.","Nebe nad tebou je zcela çed‚, s temnìmi sloupy mrak… pror §ej¡c¡mi skrz nØj."
"passing a portion of corruptly-obtained funds","pýed vat Ÿ st korupŸnØ z¡skanìch prostýedk…"
"Your bookkeeper needs to work in an office to improve precision","V ç £Ÿetn¡ mus¡ pracovat v kancel ýi, aby se zvìçila pýesnost"
"This artwork appears on a ","Toto umØleck‚ d¡lo se objevuje na "
"Easier throw","Snazç¡ hod"
"[C:6:0:0].Minor blistering","[C:6:0:0].Lehk‚ puchìýe"
"selected positions.","vybran‚ pozice."
", originating in ",", poch zej¡c¡ z "
"You fill your ","Pln¡ç sv…j "
"Make the bed","Vyrobit postel"
" is made from "," je vyrobeno z "
"Historical Cycles","Historick‚ cykly"
"the Economy","Ekonomika"
"shocked","çokovanì"
"has a very thin, frail body without visible traces of fat","m  velmi huben‚, kýehk‚ tØlo bez viditelnìch stop tuku"
"gloomy","ponurì"
"crossbow","kuçe"
"angry","naçtvanì"
"consumed","spotýebov no"
"Animals, Trainer","Zv¡ýata: CviŸitel"
"the construction and use of surgical needles","stavba a pou§it¡ chirurgickìch jehel"
"The","Tento"
"From there, you can build your wealth, export goods, and attract more migrants until ","Odtud m…§eç budovat bohatstv¡, vyv §et zbo§¡ a pýitahovat dalç¡ migranty, dokud "
"An Ocean Wave","Moýsk  vlna"
"interacted with community pillar","interagoval s pil¡ýem komunity"
"has no sense of vengeance or retribution","nem  § dnì smysl pro pomstu Ÿi odplatu"
"the Region","Region"
"Endgame event 2","Koncov  ud lost 2"
"On display","Vystaveno"
" dye"," barviva"
"stabbed","probodnuto"
"I feel no terror.","Nec¡t¡m § dnou hr…zu."
"Survival","Pýe§it¡"
"Strange mood","Podivn  n lada"
"How great it is to be surrounded by family!","Je skvØl‚ bìt obklopen rodinou!"
"was too proud to accept death and agreed","byl pý¡liç pyçnì, aby pýijal smrt, a souhlasil"
"Misrepresented","Zkreslil(a)"
"revenge","pomsta"
"What will you say about your family?","Co ýekneç o sv‚ rodinØ?"
"embezzling funds from position","defraudace prostýedk… z funkce"
"Dyer","Barv¡ý"
"pending","Ÿekaj¡c¡"
"Food","J¡dlo"
"  Get away from me!","  Jdi ode mØ!"
"I am not exhilarated.","Nejsem vzruçenì."
"I don't feel like telling you about it.","Nechce se mi o tom mluvit."
"Statue","Socha"
"the method of comparing and contrasting different cultures","metoda porovn v n¡ a kontrastov n¡ r…znìch kultur"
"Multiple orders","V¡ce rozkaz…"
"No access","¦ dnì pý¡stup"
"What is the meaning of it all?!","Jakì to m  vçechno smysl?!"
"sketches","kresl¡"
"If it were in a cage of some kind...  As it stands, I can't accept something that wriggles and writhes so.","Kdyby byl v nØjak‚ kleci... Za souŸasn‚ho stavu nemohu pýijmout nØco, co se tak krout¡ a krout¡."
"there was a competition","probØhla soutØ§"
"Amber","Jantar"
"Cave-in","Zý¡cen¡"
"You are currently yielded.  Click to stop yielding.","Moment lnØ ses vzdal. Kliknut¡m pýestaneç ustupovat."
"sleeping without a proper room","sp t bez ý dn‚ho pokoje"
"by achieving higher and higher harmonics","dosahov n¡m vyçç¡ch harmonickìch t¢n…"
"pressed grime","lisovan  çp¡na"
"the use of specialized surgical instruments","pou§it¡ specializovanìch chirurgickìch n stroj…"
"this spire","tento çt¡t / vØ§ice"
"The topic being considered is ","Prob¡ran‚ t‚ma je "
"Read","¬ti"
"Skill 8","Dovednost 8"
"How annoying!","Jak otravn‚!"
"Several major structures were destroyed","NØkolik vìznamnìch staveb bylo zniŸeno"
"Values harmony","Cen¡ si harmonie"
"is a friendly individual","je pý telskì jedinec"
"show","uk zat"
"Nickname position (legends mode)","Pozice pýezd¡vky (re§im legend)"
"Guided by ","ü¡d¡ se "
"Leave menu and recenter the view on the time.","Opustit nab¡dku a vycentrovat pohled na Ÿas."
"the establishment of a guildhall for ","zý¡zen¡ guildovn¡ s¡nØ pro "
"arrived at person","dorazil k osobØ"
"food import store (128,192,128), border (128,128,128)","obchod s dovozem potravin (128,192,128), okraj (128,128,128)"
"Fill ","Naplnit "
"Peace/","M¡r/"
"Most property was confiscated","VØtçina majetku byla zabavena"
" laughs very loudly whenever "," se velmi hlasitØ smØje poka§d‚, kdy§ "
", no workers",", § dn¡ pracovn¡ci"
"Preparing material data...","Pýipravuji materi lov  data..."
"Use the gear assembly to connect axles and machinery together.  Gear assemblies can be disengaged temporarily by linking them to levers.","Pou§ij ozubenou sestavu k propojen¡ hý¡del¡ a stroj….  Ozuben‚ sestavy lze doŸasnØ odpojit propojen¡m s p kami."
"Seek Bad Mood Building","Hledat budovu pro çpatnou n ladu"
"Aging items","St rnut¡ pýedmØt…"
"chemistry:laboratory:glass vial","chemie:laboratoý:sklenØn  lahviŸka"
"State feelings of confusion","Vyj dýit zmatek"
"[C:7:0:1]Has been sutured","[C:7:0:1]Bylo seçito"
" keyboard allows the musician to select the pitch of the instrument.]"," klaviatura umo§åuje hudebn¡kovi volit vìçku t¢nu n stroje.]"
" forward bend"," pýedklon"
"Historical figure deaths","émrt¡ historickìch postav"
"Clothesmaking","vyr bØn¡ odØv…"
"Everything is all piling up at once!","Vçechno se na mØ val¡ najednou!"
"economic cartography","ekonomick  kartografie"
" the poem to life with this flawless recitation."," b seå o§ila dokonalou recitac¡."
"synthesis","synt‚zy"
" and am returning to "," a vrac¡m se do "
"Wild animal gave birth","Divok‚ zv¡ýe porodilo"
"The musician blows through a double reed in each pipe","Hudebn¡k fouk  skrz dvojitì jazìŸek v ka§d‚ p¡çœale"
"Nest Box","Hn¡zdn¡ budka"
" need to match perfectly"," dokonale ladit"
"I can accept this.","Mohu to pýijmout."
"I admire this.","Obdivuji to."
"Swamp region count fails by ","PoŸet ba§inovìch region… nesplnØn o "
"finds blind honesty foolish","pova§uje slepou poctivost za poçetilou"
"Place item in tomb","Um¡stit polo§ku do hrobky"
"The partnership is one-sided.","Partnerstv¡ je jednostrann‚."
" struck by a ball of flames!"," zasa§en ohnivou koul¡!"
"appointed by ","jmenovanì "
"Finish setting hauling routes.","DokonŸit nastaven¡ pýepravn¡ch tras."
"the Shrubland","Kýovinatou krajinou"
"respects the development of skill","respektuje rozvoj dovednost¡"
"Relieved","Ulevilo se mu"
"A day's travel","Den cesty"
"It was fantastic.","Bylo to fantastick‚."
"Easy throw","Snadnì hod"
"State minor feeling of satisfaction","Vyj dýit m¡rn‚ uspokojen¡"
"is in ","je v "
"Keep building after placement","PokraŸovat ve stavbØ po um¡stØn¡"
"(Charge) Collision","(Vìpad) Sr §ka"
" engraving "," ryje "
"--- Logging Sound ","--- Z znam zvuku "
"              --> Intemperate","              --> Neum¡rnØnì"
"the reunion of ","shled n¡ "
"offered revenge upon ","nab¡dl pomstu proti "
"logs","kmeny"
"two thousand","dva tis¡ce"
"A section of the cavern has collapsed!","¬ st jeskynØ se zý¡tila!"
"Accuse the speaker of being a troublemaker","Obvinit mluvŸ¡ho, §e je pot¡§ista"
"No precise attack: enraged","¦ dnì pýesnì £tok: rozzuýenì"
"seized livestock from","zabavil dobytek od"
"has no ambition whatsoever","nem  v…bec § dn‚ ambice"
"hospital","nemocnice"
"Feared as a murderer","Ob vanì jako vrah"
"I'm a true ","Jsem pravì "
"hypothetical syllogisms","hypotetick‚ sylogismy"
"really susceptible to disease","velmi n chylnì k nemocem"
"I am wracked by doubts!","S§¡raj¡ mØ pochybnosti!"
"I murdered ","Zavra§dil jsem "
"I don't have enough weapon racks.","Nem m dost stojan… na zbranØ."
"disgusted","znechucenì"
"has a small build and is weak and skinny","m  malou postavu a je slabì a hubenì"
"'s surprised, "," je pýekvapenì, "
"How will you respond to this dismissal?","Jak odpov¡ç na toto odm¡tnut¡?"
"Others were too nervous to make the journey to this unhappy fortress.","Ostatn¡ byli pý¡liç nerv¢zn¡, aby se vydali do t‚to neçœastn‚ pevnosti."
"Death...","Smrt..."
"the relationship between the length of the altitude of a right triangle and the lengths of the segments into which it divides the hypotenuse","vztah mezi d‚lkou vìçky pravo£hl‚ho troj£heln¡ka a d‚lkami £sek…, na kter‚ rozdØluje pýeponu"
" (no burrow)"," (§ dn  nora)"
" has been missing for a week."," je nezvØstnì u§ tìden."
"Cull dead units at","Odstranit mrtv‚ jednotky pýi poŸtu"
"is full of force","je plnì s¡ly"
"talking with mother","mluvil s matkou"
"the fatal illness of ","smrteln  nemoc "
"Reclaim/unretire","Znovu z¡skat/obnovit"
