"its","jego"
"Inattentive","Nieuwa¾ny"
"Intolerant","nietolerancyjny "
"Unswayed by emotions","Niewzruszony emocjami"
"Not altruistic","Nie altruistyczny"
"Distrustful","Nieufny"
"Values truth","Ceni prawd©"
"Values tradition","Ceni tradycj©"
"Stressed","Zestresowany"
"Starving","Gˆoduj¥cy"
"Hungry","Gˆodny"
"Dehydrated","Odwodniony"
"Thirsty","Spragniony"
"Very drowsy","Bardzo spragniony"
"Drowsy","Senny"
"Unconscious","Nieprzytomny"
"Paralyzed","Sparali¾owany"
"Partially paralyzed","Cz©˜ciowo sparali¾owany"
"Sluggish","—lamazarny"
"Stunned","Oszoˆomiony"
"Dizzy","Odurzony"
"Exhausted","Wyczerpany"
"Over-exerted","Przem©czony"
"Tired","Zm©czony"
"Extreme pain","Ekstremalny b¢l"
"Pain","B¢l"
"Pale","Blady"
"Fever","Gor¥czka"
"Heavy bleeding","Mocno krwawi"
"Bleeding","Krwawi"
"Webbed","Spl¥tany w sieci"
"Seriously injured","Powa¾nie zraniony"
"Injured","Zraniony"
"Healthy","Zdrowy"
"Needs ","Potrzebuje "
"None","½aden"
"Distracted!","Rozproszony!"
"Distracted","Rozproszony"
"Drink alcohol","Wypij alkohol "
"Uphold tradition","Podtrzymuj¥cy tradycj©"
"Craft object","Tw¢rz obiekt"
"Martial training","Trening sztuk walki"
"Fight","Walcz"
"Cause trouble","Powodowa† problemy"
"Think abstractly","My˜li abstrakcyjnie"
"Wounds","Rany"
"Treatment","Leczenie"
"History","Historia"
"Combat","Walka"
"Philosophy","Filozofia"
"Mathematics","Matematyka"
"Astronomy","Astronomia"
"Chemistry","Chemia"
"Geography","Geografia"
"Medicine","Medycyna"
"Engineering","In¾ynieria"
"Manual","Podr©cznik"
"Guide","Przewodnik"
"Chronicle","Kronika"
"Short story","Kr¢tka historia"
"Novel","Powie˜†"
"Biography","Biografia"
"Autobiography","Autobiografia"
"Poem","Poemat"
"Letter","List"
"Essay","Esej"
"Choreography","Choreografia"
"Genealogy","Genealogia"
"Encyclopedia","Encyklopedia"
"Workshops","Warsztaty "
"Performer","Wykonawca"
"Scholar","Uczony"
"Scribe","Pisarz"
"Mercenary","Najemnik"
"Surgeon","Chirurg"
"Pet","Ulubieniec"
"Pet owner","Wˆa˜ciciel Ulubieäca"
"Spouse","Wsp¢ˆmaˆ¾onek"
"Mother","Matka"
"Father","Ojciec"
"Lover","Kochanek/ka:"
"Child","Dziecko"
"Friend","Przyjaciel"
"Grudge","Uraza"
"Hated","Znienawidzony"
"Disliked","Nielubiany"
"Force","Siˆa"
"Hero","Bohater"
"Intruder","Intruz"
"Master","Mistrz"
"Companion","Towarzysz"
"Treasure hunter","owca skarb¢w"
"Thief","Zˆodziej"
"No groups","Brak grupy"
"Civilization","Cywilizacja"
"Religion","Religia"
"Outcast","Wygnaniec"
" guild"," gildia"
"Legendary intruder","Legendarny intruz"
"Former ","Byˆy "
"Enemy","Wr¢g"
"Criminal","Kryminalny"
"Citizen","Obywatel"
"Member","Czˆonek"
"Former member","Byˆy czˆonek"
"Prisoner","Wi©zieä"
"Worker","Pracownik"
"Former worker","Byˆy pracownik"
"Squad","Dru¾yna"
"Kills","Zab¢jstwa"
"No squad assigned","Brak przypisanego oddziaˆu"
"No orders","Brak rozkaz¢w"
"Memories","Wspomnienia"
"Traits","Cechy"
"Values","Warto˜ci"
"Preferences","Preferencje"
"Needs","Potrzeby"
"Waiting for construction...","Czekam na budow©..."
"Construction initiated.","Budowa rozpocz©ta."
"Partially constructed.","Cz©˜ciowo zbudowany."
"Construction nearly done.","Budowa prawie skoäczona."
"Construction suspended.","Budowa wstrzymana."
"Construction inactive.","Budowa nieaktywna."
"Resume construction","Wzn¢w budow©"
"Suspend construction","Zawieszenie budowy"
"Cancel construction","Anuluj budow©"
"Remove building","Usuä budowl©"
"This building has","Ten budynek jest"
"death","˜mier†"
"of metal","z metalu "
"Tasks","Zadania"
"Workers","Pracownicy"
"Back","Wstecz"
"Add new task","Nowe zadanie"
"will only do assigned tasks","b©dzie wykonywaˆ tylko powierzone zadania"
"There is no bucket.","Brak wiadra."
"Active","Aktywny"
"Not ready to be split","Nie gotowy do podziaˆu"
"Aquarium","Akwarium"
"DOOR TAKEN BY INVADERS","DRZWI ZAJ¨TE  PRZEZ NAJEDCàW "
"DOOR USED BY INTRUDER","DRZWI U½YTE PRZEZ INTRUZA "
"Open","Otw¢rz"
" items"," Przedmioty"
"Trade","Handluj"
"Nothing","Nic"
"Meat","Mi©so"
"Fish","Ryby"
"(now)","(teraz)"
"Show items","Poka¾ przedmioty"
" at "," na "
"this","to"
"he","on"
"she","ona"
"is ","jest "
"is in ","jest w "
"sad","smutny"
"love","zakochany"
"angry","w˜ciekˆy"
"bored","znudzony "
"irritated","poirytowany"
"patient","cierpliwy"
"proud","dumny"
"rejected","odrzucony"
"resentful","obra¾ony"
"terrified","przera¾ony "
"zealous","gorliwy"
"anything","cokolwiek"
"Building","Budowla"
" is "," jest "
"guide","przewodnik"
"novel","powie˜†"
"biography","biografia"
"autobiography","autobiografia"
"play","gra†"
"letter","list"
"essay","esej"
"genealogy","genealogia"
"encyclopedia","encyklopedia"
"dictionary","sˆownik"
"Squad Order","Rozkazy dla Dru¾yny"
"A day's travel","Dzieä drogi"
"Population: >10000","Populacja: >10000"
"Population: ~10000","Populacja: ~10000"
"Population: ~7500","Populacja: ~7500"
"Population: ~6000","Populacja: ~6000"
"Population: ~4000","Populacja: ~4000"
"Population: ~1000","Populacja: ~1000"
"Population: ~100","Populacja: ~100"
"Population: ~10","Populacja: ~10"
"Population: <10","Populacja: <10"
"War","Wojna"
"Prisoners","Wi©«niowie"
"Unnamed ","Bez nazwy "
"Death","—mier†"
"Rescue ","Ratunek "
"Pillage ","Pl¥drowa† "
"no","brak"
" messenger"," posˆaniec"
" here"," tu"
" traveling"," podr¢¾uje"
"and more...","i wi©cej..."
"nd","gi"
"rd","ci"
"th","ty"
"Missions","Misje"
"Artifacts","Artefakty"
"Done","Got¢w"
"his","jego"
"her","jej"
" in "," w "
" was conquered"," zostaˆo zdobyte "
" by "," przez "
" from "," od "
" (hidden)"," (ukryty)"
"Saving game","Zapisywanie gry"
"Opening file...","Otwieranie pliku..."
"Saving coin information...","Zapisywanie informacji o monecie..."
"Closing file...","Zamykanie pliku..."
"Finishing...","Koäczenie..."
"Camera controls","Ustawienia kamery"
"Mining","G¢rnictwo"
"Stockpiles","Zapasy"
"Alerts","Ostrze¾enia"
"[Completed]","[Ukoäczone]"
"Planting","Sadzenie"
"Save","Zapis"
"Really quit without saving?","Wyj˜† z gry bez zapisania?"
"save will be lost.","zapis zostanie utracony."
"Quit","Wyj˜cie"
"Abandon","Opu˜†"
"Save and return to title menu","Zapisz i przejd« do menu gˆ¢wnego"
"Save and continue playing","Zapisz i kontynuuj gr©"
"Quit without saving","Wyjd« z gry bez zapisania"
"Settings","Ustawienia"
"Return to game","Wr¢† do gry"
"Save world and return to title menu","Zapisz ˜wiat i przejd« do menu gˆ¢wnego"
"Return to title menu","Przejd« do menu gˆ¢wnego"
"Continue","Kontynuuj"
"Recommended!","Zalecane!"
"Start tutorial","Rozpocznij samouczek"
"Skip tutorial","Pomiä samouczek"
"Move the camera","Poruszaj kamer¥"
"Move the camera up","Przesuä kamer© do g¢ry"
"Move the camera down","Przesuä kamer© w d¢ˆ"
"Zoom in","Przybli¾"
"Zoom out","Oddal"
"Unpause","Wzn¢w"
"Make the bed","Stw¢rz ˆ¢¾ko"
"Place a bed","Poˆ¢¾ ˆ¢¾ko"
"Click the help button","Kliknij przycisk pomocy"
"Don't show again","Nie pokazuj wi©cej"
"Okay","Ok"
"Next","Nast©pne"
"Welcome to Dwarf Fortress","Witaj w Dwarf Fortress"
" (1 of 8)"," (1 z 8)"
"] and ","] i "
" (2 of 8)"," (2 z 8)"
" (3 of 8)"," (3 z 8)"
"always be used to close most menus, as well as ","zawsze sˆu¾y do zamykania wi©kszo˜ci menu, a tak¾e "
" (4 of 8)"," (4 z 8)"
" (5 of 8)"," (5 z 8)"
" (6 of 8)"," (6 z 8)"
" (7 of 8)"," (7 z 8)"
" (8 of 8)"," (8 z 8)"
"Zones","Strefy"
"Stocks","Zapasy"
"Squads","Dru¾yna"
"This is the squad menu. ","To jest menu dru¾yny. "
"The World","—wiat"
" praying"," modli si©"
" weeping"," ˆkaj¥cy"
" cringing"," wzdryga si©"
" screaming"," krzyczy"
" being tortured"," jest torturowany"
" committing a depraved act"," dopuszcza si© niemoralnego aktu"
" making a submissive gesture"," wykonuje ulegˆy gest"
" in a fetal position"," w pozycji pˆodowej"
" smeared out into a spiral"," rozmazany w spiral©"
" falling"," spada"
" dead"," martwy"
" laughing"," ˜mieje si©"
" being shot"," jest ostrzeliwany"
" making a plaintive gesture"," wykonuje ¾aˆosny gest"
" melting"," roztapia"
" burning"," spala"
" suffering"," cierpi"
" withering away"," wi©dnie"
" striking a menacing pose"," staj¥c w gro«nej pozie"
" striking a triumphant pose"," staj¥c w triumfalnej pozie"
" laboring"," pracuj¥cych"
" contemplating"," kontempluje"
" cooking"," gotuje"
" engraving"," graweruje"
" unnaturally contorted"," nienaturalnie skr©cone"
" being flayed"," jest rozpruwany przez"
" being mutilated"," okaleczony przez"
" torturing "," torturuje "
" committing a depraved act upon "," dopuszcza si© niemoralnego aktu "
" devouring "," pochˆania† "
" admiring "," podziwia "
" burning "," spala "
" shooting "," strzela "
" surrounded by "," otoczony przez "
" massacring "," masakruje "
" fighting with "," walczy† z "
" greeting "," pozdrawia "
" refusing "," odmawia "
" speaking with "," rozmawia z "
" embracing "," obejmuje "
" striking down "," uderza "
" raising "," wychowanie "
" hiding "," ukrywa si© "
" praying to "," modli si© do "
" contemplating "," kontempluje "
" cooking "," gotuje "
" engraving "," graweruje "
" impaled on "," nadziany na "
" being flayed by "," jest rozpruwany przez "
" hanging from "," zwisa z "
" being mutilated by "," okaleczony przez "
"Tree","Drzewo"
"Artifact","Artefakt"
"Choose X: ","Wybierz X: "
"Choose Y: ","Wybierz Y: "
"religion","religia"
"group","grupa"
"Spikes","Kolce"
"Image","Obraz"
"For ","Dla "
"wood","drewno"
"tooth","Z¥b"
" draws "," rysuje "
" drinks "," napoje "
"Normal","Normalne"
"Text entry","Wpis tekstowy"
"General","Gˆ¢wne"
"Use ","U¾yj "
"Windowed","W oknie"
"Fullscreen","Peˆny ekran"
"Resolution:","Rozdzielczo˜†:"
"Detect","Wykryto"
"Video","Grafika"
"Audio","D«wi©k"
"Game","Gra"
"Keybindings","Skr¢ty"
"Difficulty","Poziom trudno˜ci"
"No","Nie"
"Yes","Tak"
"Autosave frequency","Cz©stotliwo˜† autozapisu"
"Pause after every autosave","Wstrzymaj gr© po ka¾dym autozapisie"
"Pause after loading","Wstrzymaj gr© po wczytaniu"
"Never","Nigdy"
"Always","Zawsze"
"Enable temperature","Wˆ¥cz temperatur©"
"Enable weather","Wˆ¥cz pogod©"
"Replace all","Zast¥p wszystko"
"Disabled","Wyˆ¥czony"
" met with "," spotka† z "
", where the latter",", gdzie ten ostatni"
" to a meeting with "," na spotkanie z "
"offered a bribe","zaoferowaˆ ˆap¢wk©"
" using the position "," u¾ywaj¥c swojej pozycji "
"made a blackmail threat, due to embezzlement","groziˆ szanta¾em z powodu defraudacji"
"a jealous grudge, ","zazdrosna uraza, "
"could not accept the uncertainty following death and agreed","nie m¢gˆ zaakceptowa† niepewno˜ci po ˜mierci i zgodziˆ si©"
"was too unsettled by death to face it and agreed","byˆ zbyt zaniepokojony ˜mierci¥, by stawi† temu czoˆa i zgodziˆ si©"
"hatred of","nienawi˜† do"
"lack of loyalty toward","brak lojalno˜ci wobec"
"distrust of","nieufno˜† do"
"loathing the powerful","nienawidz¥c pot©¾nych"
"spurned the law and agreed willingly","odrzuciˆ prawo i ch©tnie si© zgodziˆ"
"lack of respect of","brak szacunku"
"lack of fear toward","brak strachu przed"
"being unafraid","nie boj¥c si©"
"being unafraid of death","nie boj¥c si© ˜mierci"
"a business rival,","biznesowy rywal,"
"was too afraid not to comply","za bardzo si© baˆam, ¾eby nie zastosowa† si© do tego"
"was too vain to accept death and agreed","byˆ zbyt pr¢¾ny, by zaakceptowa† ˜mier† i zgodziˆ si©"
"All visitors welcome","Zapraszamy wszystkich odwiedzaj¥cych"
"Citizens and long-term residents only","Tylko obywatele i rezydenci dˆugoterminowi"
"Shrine, ","Relikwiarz, "
" (next at "," (nast©pny w "
"Total number of each to scribe: ","Caˆkowita liczba ka¾dego do napisania: "
"Writing Material (Desired): ","Materiaˆ pi˜mienny (po¾¥dany): "
"Chairs: ","Krzesˆa: "
"Written objects (incl. copies): ","Obiekty pisane (w tym kopie): "
"No members","Brak czˆonk¢w"
"No workers","Brak pracownik¢w"
"Author: ","Autorzy: "
"Unknown author","Nieznany autor"
"Version: ","Wersja: "
"Steam title: ","Tytuˆ Steam: "
"Steam changelog: ","Lista zmian wersji Steam: "
"Conflicts with ","Konflikt z "
"Uploading mod","Przesyˆanie moda"
"Installed","Zainstalowano"
"Languages...","J©zyki..."
"Music...","Muzyka..."
"Sound...","D«wi©k..."
"Items...","Przedmioty..."
"Adventurer","Poszukiwacz przyg¢d"
"late ","p¢«ne/a "
"early ","wczesne/a "
"winter","zima"
"autumn","jesieä"
"summer","lato"
"spring","wiosna"
"Are you sure you want to delete this game?","Jeste˜ pewien ¾e chcesz usun¥† t© gr©?"
"Autosave","Autozapis"
"Manual save","R©czny zapis"
"Active save","Obecny zapis"
"Mods","Mody"
"About DF","O DF"
"Loading...","adowanie..."
"poetry","poezja"
"to the ","do "
"There are partner changes ","Zmiany partner¢w "
"There is a basic movement ","Podstawowe ruchy "
"This","To"
" of the music.  "," muzyki. "
"chorus","ch¢r"
"synthesis","synteza"
"fifteen","pi©tna˜cie"
"sixteen","szesna˜cie"
"thirteen","trzyna˜cie"
"eleven","jedena˜cie"
"twelve","dwana˜cie"
"nine","dziewi©†"
"ten","dziesi©†"
"seven","siedem"
"eight","osiem"
"five","pi©†"
"six","sze˜†"
"three","trzy"
"four","cztery"
"one","jeden"
"two","dwa"
"negative ","negatyw "
"twenty","dwadzie˜cia"
"nineteen","dziewi©tna˜cie"
" billion"," miliard"
"seventeen","siedemna˜cie"
"eighteen","osiemna˜cie"
"Sixth","Sz¢sty"
"Eighteenth","Osiemnasty"
"Fifteenth","Pi©tnasty"
"Sixteenth","Szesnasty"
"Seed text","Tekst «r¢dˆowy"
"humanoid","Humanoidalna"
"lord","pan"
"lords","lord¢w"
"lady","dama"
"ladies","damy"
"lord consort","maˆ¾onka lorda"
"lords consort","maˆ¾onka lorda"
"lady consort","maˆ¾onek damy"
"ladies consort","maˆzonkowie dam"
"hearthperson","poplecznik"
"hearthpeople","poplecznicy"
" pass"," podawa†"
" lured "," zwabiony "
", while completely misreading the situation, ",", caˆkowicie bˆ©dnie odczytuj¥c sytuacj©, "
"made a threat","grozi†"
"made flattering remarks","zrobiˆ pochlebne uwagi"
"pulled rank","dostaˆem rang©"
" as "," jako "
"played for sympathy","graˆ o wsp¢ˆczucie"
" by appealing to a shared worship of "," odwoˆuj¥c si© do wsp¢lnego kultu "
"offered revenge upon ","zaoferowaˆ zemst© "
"the tormentor ","oprawca "
"the persecutor ","prze˜ladowca "
"a grudge, ","uraza, "
"the sacrilegious","˜wi©tokradczy"
"offered immortality","oferowana nie˜miertelno˜†"
"gave in to fear of death","poddaˆ si© strachowi przed ˜mierci¥"
"succumbed to vanity","ulegˆ pr¢¾no˜ci"
"was overcome by greed","zostaˆ pokonany przez chciwo˜†"
"was swayed by the emotional appeal","zostaˆ zachwycony emocjonalnym apelem"
"desired vengeance and willingly complied","upragnion¥ zemst© i ch©tnie speˆnion¥"
"was too envious of others to face death and agreed","byˆ zbyt zazdrosny o innych, by stawi† czoˆa ˜mierci i zgodziˆ si©"
"was too ambitious to accept death and agreed","byˆ zbyt ambitny, by zaakceptowa† ˜mier† i zgodziˆ si©"
"was too proud to accept death and agreed","byˆ zbyt dumny, by zaakceptowa† ˜mier† i zgodziˆ si©"
", despite ",", mimo "
"valuing the law","warto˜ciowanie prawa"
"the efforts of surrounding allies to stop the plot","wysiˆki okolicznych sojusznik¢w, aby powstrzyma† spisek"
"accepted in admiration of power","przyj©ty z podziwem dla wˆadzy"
"being unafraid in the moment","nie boisz si© w tej chwili"
"being unaffected by the comments","bycie niewra¾liwym na komentarze"
"feeling no avarice","nie czuj© sk¥pstwa"
"being unswayed by the emotional appeal","bycie niewzruszonym przez emocjonalny"
"a lack of desire for vengeance","brak ch©ci zemsty"
"being willing to accept death","gotowo˜† do zaakceptowania ˜mierci"
"respected","szanowany"
"complied out of fear of","przestrzegane ze strachu przed"
"agreed for love of","zgodziˆ si© z miˆo˜ci do"
"accepted out of loyalty to","akceptowanie lojalno˜ci wobec"
"trusted","zaufany"
" and agreed"," i zgodziˆ si©"
"  Effective pressure to comply came from co-conspirators surrounding "," Skuteczna presja, by si© podporz¥dkowa†, pochodziˆa od otaczaj¥cych wsp¢ˆspisk¢w "
"  The plan worked."," Plan zadziaˆaˆ."
"was unafraid in the moment","nie baˆ si© w tej chwili"
"did not fear death and refused","nie baˆ si© ˜mierci i odm¢wiˆ"
"was not afraid and refused","nie baˆ si© i odm¢wiˆ"
"was unaffected by the comments and refused","nie miaˆ wpˆywu na komentarze i odm¢wiˆ"
"felt no avarice and refused","nie czuˆ chciwo˜ci i odm¢wiˆ"
"was unswayed by the emotional appeal and refused","byˆ niewzruszony emocjonalnym apelem i odm¢wiˆ"
"lacked a desire for vengeance and refused","brakowaˆo mu ch©ci zemsty i odm¢wiˆ"
"was willing to accept eventual death and refused","byˆ got¢w zaakceptowa† ewentualn¥ ˜mier† i odm¢wiˆ"
"admiration of power","podziw wˆadzy"
"disdaining the law","lekcewa¾enie prawa"
"respect of","szacunek do"
"fear of","strach przed"
"love of","miˆo˜† do"
"loyalty toward","lojalno˜† wobec"
"trust of","zaufanie do"
"the efforts of co-conspirators to further the plot","wysiˆki wsp¢ˆkonspirator¢w, aby kontynuowa† spisek"
"loathed abuses of power and refused","nienawidziˆ nadu¾y† wˆadzy i odmawiaˆ"
"valued the law and refused","ceniˆ prawo i odmawiaˆ"
"fearing of death","strach przed ˜mierci¥"
"being afraid","bycie przera¾onym "
"feelings of vanity","uczucia pr¢¾no˜ci"
"feelings of greed","uczucie chciwo˜ci"
"being swayed by the emotional appeal","bycie zachwyconym emocjonalnym apelem"
"a desire for vengeance","pragnienie zemsty"
"an unwillingness to accept death","niech©† do zaakceptowania ˜mierci"
"had no respect for","nie miaˆ szacunku dla"
"was unafraid of","nie baˆ si©"
"hated","znienawidzony"
"felt no loyalty to","nie czuˆem lojalno˜ci wobec"
"distrusted","nieufny"
"and refused","i odm¢wiˆ"
"  Allies surrounding "," Otaczaj¥cy sojusznik¢w "
" raised their suspicions and the plan was foiled."," wzbudzili podejrzenia i plan zostaˆ udaremniony."
"  The plan failed."," Plan zawi¢dˆ."
", as ",", jako "
" attempted to corrupt "," pr¢bowaˆ zepsu† "
" subordinated "," podporz¥dkowany "
" corrupted "," zepsuty "
"spouse ","wsp¢ˆmaˆ¾onek "
"lover ","kochanek "
"childhood friend ","przyjaciel z dzieciästwa "
"comrade-in-arms ","Towarzysz w ramionach "
"fellow scholar ","kolega uczony "
"fellow artist ","kolega artysta "
"fellow athlete ","kolega sportowiec "
"mother ","mama "
"father ","ojciec "
"master ","mistrz "
"apprentice ","uczeä "
"companion ","towarzysz "
"ex-spouse ","byˆy maˆ¾onek "
"guildmate ","kolega z gildii "
"fellow company member ","towarzysz dru¾yny "
"troupemate ","kolega "
"fellow order member ","kolega z zakonu "
"fellow believer ","wsp¢ˆwierz¥cy "
"neighbor ","s¥siad "
" in order to secure embezzled funds in "," w celu zabezpieczenia zdefraudowanych ˜rodk¢w w "
" in order to have someone to act on plots and schemes in "," aby mie† kogo˜ do dziaˆania na spiskach i zmowach w "
" in order to have law enforcement look the other way in "," aby organy ˜cigania odwr¢ciˆy wzrok "
" as a member of "," jako czˆonek "
" toward the fulfillment of plots and schemes in "," w kierunku realizacji spisk¢w i intryg w "
" in order to have an agent in "," aby mie† agenta w "
"the wilds","dzikie"
"the corruption of ","zepsucie "
"the failed attempt by ","nieudana pr¢ba przez "
" to corrupt "," psu† "
"Subject revealed that in ","Tester ujawniˆ, ¾e w "
"an unknown party","nieznana dru¾yna"
", and ",", i "
" for "," dla "
"production order violation","naruszenie zlecenia produkcyjnego"
"export prohibition violation","naruszenie zakazu eksportu"
"job order violation","naruszenie zlecenia pracy"
"murder","morderstwo"
"disorderly conduct","nieuporz¥dkowane zachowanie"
"building destruction","zniszczenie budynku"
"bribery","przekupstwo"
"embezzlement","sprzeniewierzenie"
"vandalism","wandalizm"
"theft","kradzie¾"
"robbery","rabunek"
"espionage","szpiegostwo"
"treason","zdrada"
"attempted murder","usiˆowanie morderstwa"
"kidnapping","porywanie"
" promised "," przysi¥gˆ "
" to give "," da† "
" a position"," pozycja"
" began "," zacz¥ˆ "
".  The ritual took place in ","Rytuaˆ miaˆ miejsce w "
" to study"," studiowa†"
", becoming a citizen of ","stawa† si© mieszkaäcem "
" as a guide"," jako przewodnik"
" to find "," znale˜† "
"a temple","˜wi¥tynia"
" to assassinate "," zamordowa† "
" to steal "," ukra˜† "
" of"," z"
"Nameless","Bezimienny"
"Unidentified","Niezidentyfikowany"
"the murder","morderstwo"
"Loading buildings...","adowanie budynk¢w..."
"the Wound","rana"
"high ","wysoka "
"exalted ","egzaltowany "
"high priest","arcykapˆan"
"high priests","arcykapˆani"
"holy ","˜wi©ty "
"sacred ","po˜wi©cony "
"priest","kapˆan"
"priests","kapˆani"
"very slowly ","bardzo wolno "
"sand bags","worki z piaskiem "
"Wood","Drewno"
"Amber","Bursztyn"
"Well-crafted","Dobrze wykonane"
"You honor ","Zaszczycasz "
" with the presentation of "," z prezentacj¥ "
"Villains!  The seizure of ","Zˆoczyäcy! Zaj©cie "
" will not go unanswered."," nie pozostanie bez odpowiedzi."
" is a great treasure.  We respect that this is no mere trade."," to wielki skarb. Szanujemy, ¾e to nie jest zwykˆy handel."
"Wild Animal","Dzikie Zwierz©"
"Undead","Nieumarˆy"
"Merchant","Kupiec"
"Guest / ","Go˜† / "
"Visitor","Odwiedzaj¥cy"
"Missing","Zaginiony"
"Food","Jedzenie"
"Corpses","Ciaˆa"
"Refuse","—mieci"
"Coins","Monety"
"Gems","Kamienie szlachetne"
"Cloth","Materiaˆy"
"Egg","Jajo"
"Body parts","Cz©˜ci ciaˆa"
"Skulls","Czaszki"
"Bones","Ko˜ci"
"Teeth","Z©by"
"Metal","Metal "
"Weapons","Bronie"
"Body","Ciaˆo"
"Head","Gˆowa"
"Feet","Stopy"
"Hands","R©ce"
"Legs","Nogi"
"Greetings.  The ","Pozdrowienia. "
"ship of the ","statek "
" is unparalleled.  Let's make a deal!"," jest niezr¢wnany. Dobijmy Targu!"
"your more ethical works.  We've come to trade.","twoje bardziej etyczne prace. Przyszli˜my handlowa†."
"A hairy drunkard has come hither to once more disrespect the sanctity of life, I see.","Widz©, ¾e przybyˆ tu wˆochaty pijak, aby raz jeszcze zlekcewa¾y† ˜wi©to˜† ¾ycia."
"What do you want?","Czego chcesz?"
"You are too kind.","Jeste˜ zbyt miˆy."
"You wish to make an offering to our leader?  ","Chcesz zˆo¾y† dar naszemu liderowi? "
"This would please us greatly.  What do you offer?","To by nas bardzo ucieszyˆo. Co oferujesz? "
"You wish to make an offering?  We love gifts.","Chcesz zˆo¾y† dary? Kochamy prezenty."
"[Laughs uproariously]  You had me ","[—mieje si© gˆo˜no] Miaˆe˜ mnie. "
"[Chuckles]  How droll.","[Chichocze] Jak ˜miesznie."
"wish to trade or to make an offering to our leader?","chcesz handlowa† lub zˆo¾y† ofert© naszemu liderowi? "
"You truly despise life, don't you?  ","Naprawd© gardzisz ¾yciem, prawda? "
"Once a beautiful tree, and now?  ","Kiedy˜ pi©kne drzewo, a teraz? "
"I see your low race still revels in death.  ","Widz©, ¾e twoja niska rasa wci¥¾ upaja si© ˜mierci¥. "
" seems "," wydaje si© "
"ecstatic with the trading","peˆen zachwytu podczas handlu"
"very happy about the trading","bardzo zadowolony z handlu "
"pleased with the trading","zadowolony z handlu"
"willing to trade","ch©tny do handlu"
"to be rapidly losing patience","szybko traci† cierpliwo˜†"
"not going to take much more of this","nie zajmie si© tym wi©cej"
"unwilling to trade","niech©tny do handlu"
"Trader Profit: ","Zysk Handlarza: "
"Trader Loss: ","Strata Handlarza: "
"Allowed Weight: ","Dozwolona Waga: "
"Excess Weight: ","Nadwy¾ka Wagi: "
" shop"," sklep"
"at least","co najmniej"
"at most","najwy¾ej"
"greater than","lepszy ni¾"
"less than","mniej ni¾"
"not","nie"
"One-time order","Jednorazowe Polecenie"
" max"," maks"
"Handling dangerous creature","Prowadzenie niebezpiecznej istoty"
"Others","Inne"
"A few facts","Kilka fakt¢w"
"Good","Dobrze "
" task"," zadanie"
"Hospital","Szpital"
"Library","Biblioteka"
"Tavern","Karczma"
"Temple","—wi¥tynia"
"Unknown location","Nieznana lokacja"
"Water source","r¢dˆo wody"
"Sand","Piasek"
"Bedroom","Sypialnia "
"Office","Biuro"
" available"," dost©pny"
"Lost pick","Zgubiono pik© "
" Guildhall"," Ratusz"
" member"," czˆonek"
"No established guild","Brak ustanowionej gildii"
" worker"," robotnik"
"Dedicated to ","Przeznaczone dla "
"No particular deity","Brak konkretnego b¢stwa"
"Only members can visit (if guild established)","Tylko czˆonkowie mog¥ odwiedza† (je˜li gildia zostaˆa zaˆo¾ona)"
"Only members can visit","Tylko czˆonkowie mog¥ odwiedza†"
"Citizens only","Tylko obywatele"
"Grand Guildhall, ","Wielka Gildia, "
"Guildhall, ","Ratusz, "
"Meeting place, ","Miejsce spotkania, "
"Agreed to build guildhall","Zgodziˆ si© zbudowa† gildi©"
"Agreed to build grand guildhall","Zgodziˆ si© zbudowa† wielk¥ gildi©"
"Bookcases: ","Biblioteczki: "
"Tables: ","Stoˆy: "
"Goblets (Desired): ","Kielichy (po¾¥dane): "
"Stored Instruments (Desired): ","Instrumenty przechowywane (po¾¥dane): "
"Dance floor in common area: ","Parkiet taneczny w cz©˜ci wsp¢lnej: "
"Rented rooms (Total): ","Wynajmowane pokoje (og¢ˆem): "
"Temple Complex, ","Kompleks ˜wi¥tynny, "
"Temple, ","—wi¥tynia, "
"Priest: ","Kapˆan: "
"High priest: ","Arcykapˆan: "
" worshipper"," wielbiciel"
" needed"," potrzebne"
"Agreed to build temple","Zgodziˆ si© na budow© ˜wi¥tyni"
"Agreed to build temple complex","Zgodziˆ si© na budow© kompleksu ˜wi¥tynnego"
"Tavern Keeper","Karczmarz"
"Monster Slayer","owca Potwor¢w"
"New hospital","Nowy szpital"
"Jeweler","Jubiler"
"Kiln","Piec do wypalania cegˆy"
"Smelter","Huta"
"Loom","Warsztat Tkacki"
"Still","Destylarnia"
"Tanner","Garbarz"
"Fishery","owisko"
"Kitchen","Kuchnia"
"Quern","½arna"
"Hive","Ul"
"Bed","¢¾ko"
"Table","St¢ˆ"
"Cabinet","Szafka"
"Slab","Pˆyta"
"Statue","Statua"
"Door","Drzwi"
"Wall","—ciana"
"Floor","Podˆoga"
"Ramp","Rampa"
"Bridge","Most"
"Fortification","Fortyfikacja"
"Support","Podpora"
"Lever","D«wignia"
"Well","Studnia"
"Floodgate","—luza"
"Windmill","Mˆyn"
"Millstone","Kamieä Mˆyäski"
"Cage","Klatka"
"Weapon","Broä"
"Ballista","Balista"
"Catapult","Katapulta"
"Cannot build at highest level","Nie mo¾na budowa† na najwy¾szym poziomie"
"No mud/soil for farm","Brak bˆota/gleby pod upraw©"
"to","do"
