"more presumptious","mais presunáoso"
"conical water clocks","rel¢gios de †gua cìnicas"
"parabolas","par†bolas"
"a demand of unconditional surrender","uma exigància de rendiá∆o incondicional"
"The bond is broken!  Return to the Underworld and trouble us no more!","O laáo Ç quebrado!  Retornar para o submundo e chega a incomodar-nos!"
"looks offended"," parece ofendido"
"a tomb","um t£mulo"
" sky"," cÇu "
" gives"," A †rea emite uma luz doentia."
"(Strange mood) Building claimed","(Estado estranho) Construá∆o reivindicada"
"is tiny, skinny and weak","Ç pequeno, magro e fraco"
"graphics","gr†ficos"
"mercy","miseric¢rdia"
"mixed with","misturado com"
"I'd like my room for another night.","Eu gostaria de manter meu quarto por mais uma noite."
"would be very thin but bears an enormous lardy burden","seria muito fina, mas carrega uma enorme carga gorduroso"
"totem","Totem"
"I was near to a caged ","Eu estava perto de um enjaulado "
"I don't remember what I believe...","Eu n∆o me lembro em que eu acredito..."
"a counting house","uma casa de contagem"
"Grimly Satisfied","Sombrio, mas satisfeito "
"Dump item","Jogar item fora"
"The voice stays in the ","A voz fica no "
"Opening Ceremony","Cerimìnia de abertura"
"lightning","relÉmpago"
"A thief has stolen ","Um ladrao roubou "
"Retire at this location (or rest a while)","Aposentar-se neste local (ou descansar um pouco)"
" leaps at "," saltos em "
"cut gems","gemas lapidadas"
"State feelings of great resentment","Sentimentos de ressentimento grande do estado"
"travelers","viajantes"
"Tribute is being unloaded.  (A report is available.)","Tributo est† sendo descarregado. (Um relat¢rio est† dispon°vel.)"
" as the latter prefers to work alone"," j† que este prefere trabalhar sozinho"
" partially realized"," parcialmente realizado"
"Overcome paralysis","Superar a paralisia"
"Room completed (","Aposento conclu°do ("
"thought of as two disjoint chords spanning a tritone and a perfect fourth","pensado como dois acordes disjuntos abrangendo um tr°tono e uma quarta perfeita"
"State feelings of great aggravation","Sentimentos de grande agravamento do estado"
"mathematics:numbers:division algorithm","matem†tica:n£meros:algoritmo de divis∆o"
"Furrowed ","Arada "
"Your wanderings have led you to ","Suas andanáas levaram vocà para "
"the use of shadows to tell direction and time","o uso das sombras para dizer a direá∆o e o tempo"
"Parry ","esquiva "
"The world is safer for travelers when night creatures no longer stalk the darkness.","O mundo est† mais seguro para os viajantes quando criaturas da noite j† n∆o espreitar a escuridao."
"Squad Move","Esquadr∆o Mova"
"is private to the point of paranoia, unwilling to reveal even basic information about ","Ç privado ao ponto da paranoia, relutante em revelar atÇ informaá‰es b†sicas sobre "
"is gigantic","Gigantic"
"Arena side","Lado da arena"
"Ask for currency","Pedir moeda"
"been encased in cooling lava.","foi envolto em lava arrefecida."
"a leather shop","uma loja de couro"
"tribrachic","tribr†quico"
"Add uniform","Adicionar uniforme "
"irritated","irritado"
"months ago","meses atr†s"
"Claimed by local ","Reivindicado pelo local "
" and minerals..."," e minerais..."
"hospitality","hospitalidade"
"congruent triangles","triÉngulos congruentes"
"chain drives","transmiss∆o por corrente"
"State feelings of righteous indignation","Sentimentos de indignaáao do estado"
"You are a newly-minted ","Vocà Ç um recÇm-nomeado "
" dye mix"," mistura de corantes"
"the condensation of ","a condensaá∆o de "
" is speaking"," falando com"
"rule the world","dominar o mundo"
"the adversary's refusal to form treaties","recusa do advers†rio aos tratados de forma"
"quickly ","rapidamente "
"after being unable to pray","depois de ter sido impossibilitado(a) de rezar"
"cleaned self with soap","Se limpou com sab∆o"
"many ","v†rios "
"Some surfaces like walls can be also climbed, but these require climbing skill to hold reliably.  ","Algumas superf°cies como paredes tambÇm podem ser escaladas, mas exigem habilidade para segurar firmemente. "
"the Verge Escapement","a fuga da beira"
"Waxing and Waning","crescente e minguante"
"the Dioptra","a Dioptra"
"Draw item","Sacar item"
"Acknowledge lack of emptiness","Reconhecer a falta de vazio"
"Fill waterskin","Encher odre"
" at "," em "
" on behalf of "," em nome de "
"Claim a forbidden item or building so it will be used by your citizens.","Reivindica um item ou construá∆o proibida para que possam ser usados por seus cidad∆os."
"These require a [C:6:0:1]Weapon[C:7:0:0], [C:6:0:1]Cage[C:7:0:0], or [C:6:0:1]Boulder[C:7:0:0] to function. ","Estes requerem uma [C:6:0:1]Arma[C:7:0:0], [C:6:0:1]Jaula[C:7:0:0], ou [C:6:0:1]Rocha[C:7:0:0] para funcionar. "
"Poetic form","Forma poÇtica"
" branches"," Ramos"
"views competition as a crucial driving force in the world","và a competiá∆o como uma foráa motriz crucial no mundo"
"State feelings of great anger","Sentimentos de grande raiva do estado"
"The world isn't always safe.  I can see the value in martial training, the beauty even, but it shouldn't be exalted.","O mundo n∆o Ç sempre um lugar seguro. Eu entendo o mÇrito do treinamento marcial, a beleza atÇ, mas n∆o concordo com sua exaltaá∆o."
"Corpse","Cad†ver"
"""Congratulations, my faithful chosen!  There are other ways you can serve, if you offer your service again.  You may also live your life as you see fit now if you choose.  You have done well.""","""ParabÇns, meu escolhido fiel! Existem outras formas de servir, se vocà oferecer seu serviáo novamente. Vocà tambÇm pode viver sua vida como achar melhor agora, se assim desejar. Vocà fez um bom trabalho."" "
"law","lei "
" sent "," enviado. "
"This is the wrestling menu.  Here you can grab creatures and then execute a variety of wrestling moves.  You can also initiate defensive actions here.  ","Este Ç o menu de luta corporal. Aqui vocà pode agarrar criaturas e executar v†rios movimentos de luta. TambÇm pode iniciar aá‰es defensivas aqui. "
"was rescued","foi resgatado"
"ferocious wild animal","animal selvagem feroz "
"Allow Necromancer Experiments","Permitir experimentos de necromantes"
"the process of the formation of deltas at the mouths of rivers","o processo de formaá∆o de deltas na foz dos rios"
"No longer stunned","N∆o est† mais atordoado"
"source reliability","confiabilidade da fonte"
"State that they are outlaws","Afirmar que eles s∆o foras da lei "
"Economy trade trigger 3","Gatilho de comÇrcio econìmico 3"
"medicine:theory:specialized surgical instruments","medicina:teoria:instrumentos cir£rgicos especializados"
"'s mandate has ended.","do mandato terminou."
"is average in size","Ç a mÇdia de tamanho"
"Lethal","Letal"
"must first be completed","precisam primeiro ser completadas"
"The world generator is having trouble placing farming civilizations.  ","O gerador mundial est† tendo problemas para colocar civilizaá‰es agr°colas. "
"adopting a new pet","adotando um novo animal de estimaá∆o"
"Ice Upward Track (SEW)","Pista de gelo para cima (costurar)"
"Dedicated to ","Dedicado para "
"Once the pile is placed, click [C:5:0:1]Accept[C:7:0:0] and select the [C:5:0:1]All[C:7:0:0] option.","Assim que a pilha estiver colocada, clique [C:5:0:1]Aceitar[C:7:0:0] e selecione a opá∆o [C:5:0:1]Todos[C:7:0:0]."
"Year to Begin Checking Megabeast Percentage","Ano para comeáar a verificar a porcentagem de Megabeast"
"Move secondary selector up","Mova o seletor secund†rio"
"was taken by a fell mood","foi tomado(a) por um esp°rito decadente"
" officials"," oficiais"
"Prepare easy meal","Prepare uma refeiá∆o f†cil"
"orderly","ordenadamente"
" been knocked unconscious!"," est† desacordado!"
"Offering place","Lugar de oferta"
"buried at site","enterrado no local"
"always scratches ","arranh∆o permanente "
"justiciar","juiz"
"Associated Plot: ","Trama associada: "
"I feel enthusiastic!","Sinto-me entusiasmado!"
"hack","golpear "
"Verifying terrain...","Verificando o terreno..."
" frame.]"," quadro.]"
"Release grip of ","Aperto de liberaáao de "
"First you need building materials, like [C:6:0:1]Wood[C:7:0:0] or [C:6:0:1]Boulders[C:7:0:0].  ","Primeiro vocà precisa de materiais de construá∆o, como [C:6:0:1]Madeira[C:7:0:0] ou [C:6:0:1]Pedregulhos[C:7:0:0]. "
" the outfit."," a roupa."
"was curious about ","estava curioso(a) sobre "
"Bone doctor","MÇdico de ossos"
" has arrived."," chegou."
"mathematics:geometry:similar and congruent triangles","matem†tica:geometria:triÉngulos semelhantes e congruentes"
"List available services","Listar serviáos dispon°veis "
" faithful"," fiel "
"I hear that a group calling itself ","Ouvi dizer que um grupo que se autodenomina "
"Yielded","Produziu "
"bring nightmares into reality","torna pesadelos realidade"
"I guess I should be feeling ambivalent right now.","Acho que eu deveria estar sentindo ambivalente agora."
"been beheaded.","foi decapitado."
"I dislike this.","Eu n∆o gosto disso."
"fellow athlete ","colega atleta "
"Identifier ","Identificador "
"the construction and use of the scalpel","a construá∆o e uso do bisturi"
" steps in a square pattern"," anda em um padrao de quadrado"
"infamous murderer","assassino infame"
" groups fled."," grupos fugiram."
"Popup: Perform","Janela: Performar"
"well-crafted ","bem-feito "
"gem","gema"
"State minor feeling of bitterness","Estado o menor sentimento de amargura"
" rejected an offer of peace from "," rejeitou uma oferta de paz de "
"There is also ","H† tambÇm "
"will without fail turn any conversation to ","sem falha transformar† qualquer conversa "
"Macro, Break","Macro, pausa"
"Exact matches only","Apenas correspondàncias exatas"
"grime paste","colar de sujeira"
"transformed into a ","transformado em um "
"Considered a thief","Considerado um ladr∆o"
"became the former spouse of","tornou-se o ex-cìnjuge de"
"works, darkly brooding...","trabalha, sombriamente calado..."
"Move down to the east.","Mover em direá∆o ao leste."
"Are you hunting for treasure?","Vocà est† caáando tesouros?"
"Affects charging, your combat opportunities, and enemy combat opportunities.","Afeta investidas, suas oportunidades de combate e as oportunidades de combate inimigas. "
"liquid cooking","l°quido de cozimento"
"Cases","Casos"
"the Revolt","a Revolta"
"Loading identities...","Carregar as identidades..."
"the wheel-and-axle","a roda-e-eixo"
"sharing one of the spouse's personal insight","compartilhando uma das percepá‰es pessoais do cìnjuge"
"ores","minÇrios"
"Mental Illness","Doenáa Mental"
"respects fair-dealing and fair-play","respeita a honestidade e jogo limpo"
"Routine:","Rotina:"
"Broker requested at depot","Corretor solicitado no entreposto"
"It really gets me down sometimes.","Isso realmente me deixa para baixo Ös vezes."
"I had an intellectual discussion with somebody.","Eu tive uma discuss∆o intelectual com alguÇm."
"vague ","Vagueza "
"Loading general information...","Carregando informaá‰es gerais..."
"prostrating ","Prostrando "
"Entombed","Sepultado"
"the pike","o pique"
"Bottomless Pit","Poáo sem fundo"
"Limestone","Calc†rio"
"the army on the march","o exÇrcito em marcha"
"Impossible","Imposs°vel"
"vehicle","Ve°culo:"
"Orreries","Planet†rios"
" tercet"," terceto"
"a great dancer","um grande danáarino"
"insufficient progress toward goal","insuficiente progresso em direá∆o a meta"
" but the shot is blocked!"," Mas o tiro est† bloqueado!"
"Acknowledge lack of terror","Reconhecer a falta de terror"
"their use of ","seu uso de "
"is dramatic","Ç dram†tico"
"Straight ","direita "
"Disorderly conduct","Conduta desordeira"
" as a poetic form"," como uma forma poÇtica"
"Click to rescue (creates new mission)","Clique para resgatar (criar nova miss∆o)"
"Wilderness Roamer","Roamer deserto"
"is trusting","Ç confiante"
"surgical scissors","tesouras cir£rgicas"
"miserable","Miser†vel!"
"is thin and very muscular","Ç fina e muito musculoso"
"the Notes","As Anotaá‰es "
"the classification of stars according to color","a classificaá∆o das estrelas de acordo com a cor"
", becoming a resident of ",", tornando-se um residente de "
"plant","planta"
"strongly values tranquility and quiet","valoriza fortemente a tranquilidade e o sossego"
" can start in the indicated locations above."," pode comeáar nos locais indicados acima. "
"Say that you have no family","Dizer que vocà nao tem fam°lia"
"Acknowledge lack of fright","Reconhecer a falta de medo"
" directed toward the worship of "," direcionado para o culto de "
" despite the latter's wounds"," Apesar das feridas do £ltimo"
"conical","c¢nica"
"claim","queixa"
"Bash down ","Derrubar "
"Click a target or move the cursor and press ","Clique em um alvo ou mova o cursor e pressione "
"hate propensity","propens∆o ao ¢dio"
", range ","Faixa "
"tenderness","maciez"
"I feel so free.","Sinto-me tao livre."
"Reader","Leitor"
"the Process","o processo"
"is skinny and very long","Ç muito longo e magro"
"Pale","P†lido"
"You cannot jump while prone.","Vocà nao pode pular enquanto propenso."
"personality","personalidade "
"'s mandates have ended.","de mandatos terminaram."
"threw hauled item in tantrum","jogou item que estava transportando num ataque de f£ria"
"comply","obedecer"
"scraping","raspagem"
"Magma smelter","Fundidora de magma"
"that weapons be made","que armas sejam feitas"
"very wide-set","conjunto muito largo"
"finds introspection to be a waste of time","acha a introspecá∆o uma perda de tempo"
"starts to whisper when ","comeáa a sussurrar quando "
" against an obstacle, causing immediate death"," contra um obst†culo, causando morte imediata"
"Argue","Argumentar"
"haunted in dreams","assombrado em sonhos"
" descended upon "," desceu sobre "
" contemplating "," contemplando "
"the agreement by "," o acordo por "
"Specific person","Pessoa espec°fica "
"I was caught in smoke underground.","Foi apanhado em fumo no subsolo."
"is small and fat","Ç pequeno e gordo"
"Subject revealed that ","Assunto revelou que "
" wants "," quer "
".  What can I do for you?",". O que posso fazer por vocà?"
" concluded"," Conclu°do"
"You put the ","Vocà colocou o "
"the scuttling of ","o afundamento da "
"believes that the creation and appreciation of artwork is one of the highest ideals","acredita que a criaá∆o e apreciaá∆o de obras de arte Ç um dos mais altos ideais"
"Accept the compliment","Aceitar os elogios"
"on","em "
"I don't know anything else about them.","N∆o sei nada sobre eles."
" was a time after civilization had"," foi um tempo depois de civilizaá∆o"
"Considered an intruder","Considerado um intruso"
"You have are injured.  View your status for more information.","Vocà est† ferido. Verifique seu status para mais informaá‰es. "
"after making merry","depois de fazer feliz"
"Recenter on the linked building.","Centralizar na construá∆o vinculada."
"Vertical Axle","Eixo Vertical"
"It's wonderful to be out exploring the wilds!","ê uma maravilha explorar a vida selvagem!"
"State minor feeling of jubilation","Estado a menor sensaáao de j£bilo"
"A beast horrible beyond imagining threatens us.","Uma besta horr°vel alÇm da imaginaá∆o que nos ameaáa."
"began dreaming of bringing peace to the world","comeáou a sonhar de trazer a paz ao mundo"
" Upward Track (NSW)"," Faixa ascendente (NSW)"
"State minor feeling of grouchiness","Menor sensaáao de irritaáao do estado"
" passes"," passa"
"a gem cutter's shop","uma loja de corte de gemas"
"Not enough medium altitude locations after erosion","N∆o Ç suficiente locais de altitude mÇdia ap¢s a eros∆o"
" fought with "," lutou com "
"[C:7:0:1]Guildhalls[C:7:0:0]","[C:7:0:1]Guilda[C:7:0:0]"
"codices","c¢dices"
"You must reveal the truth.","Vocà deve revelar a verdade. "
"spurning the value of harmony","rejeitando o valor da harmonia"
"Precession","Precess∆o"
"Secret Library","Livraria Secreta"
"Maximum key repeat acceleration multiplier","Multiplicador m†ximo da aceleraá∆o de repetiá∆o de tecla"
"You draw ","Desenhas "
"You stand up.","Vocà se levanta."
"Claim your death items","Reivindique seus itens de morte"
"famous bard","famoso(a) bardo(a)"
"Some abilities, like the flight of winged creatures, can just be used during regular movement without needing this menu. ","Algumas habilidades, como o voo de criaturas aladas, podem ser usadas durante o movimento normal sem precisar deste menu. "
"a few weeks ago","H† algumas semanas atr†s"
"order also works.","ordem tambÇm funciona."
"Officers may opt for physical punishment if they cannot carry out custodial sentences.","Oficiais podem optar por puniá‰es f°sicas se eles n∆o puderem cumprir sentenáas custodiais."
"being beaten","sendo surrado "
" corpses"," cad†veres"
"engineering:machine:screw","engenharia:m†quina:parafuso"
"is weak, skinny and very short","Ç fraco, magro e muito curto"
"Click workshop","Clique na oficina"
" block"," bloco"
"tends to think before acting","tende a pensar antes de agir"
"Only","Sinto-me s¢ desprezo."
"I am separated from ","Estou separada "
"Plural Noun","Substantivo no plural"
"hard work","trabalho duro"
"performance troupe","grupo de atuaá∆o"
" (invalid location)"," (localizaá∆o inv†lida)"
"Glassmaker","Vidraceiro(a)"
"the Music","A Musica "
"Killed by a trap","Morto por uma armadilha"
"All counts accurate","Todas as contagens precisas"
"No Quarters","Alojamento dos Nobres"
"Hunt Vermin","Caáar vermes"
" values quiet so, at least in the abstract"," valores de silàncio, pelo menos em abstracto"
"Finalizing plants...","Finalizando as plantas..."
"crushed an insurrection","esmagou uma insurreiá∆o"
"I am sorry.  I do not think there is room for me.","Desculpa.  N∆o acha que h† espaáo para mim."
"Intelligent wilderness creature","Criatura inteligente da natureza "
"Seasonal","Sazonal"
"Pillage (openly attack)","Pilhagem (atacar abertamente)"
"danced","danáou"
"There is writing on the slab, but you cannot read.","Tem algo escrito sobre a laje, mas vocà n∆o pode ler."
"clothing rots away","roupa apodrece"
"Over-exerted","Excesso de esforáo"
"Stress","Estresse"
" hold of the "," as maos do "
" distinct parts: "," partes distintas: "
"so very brave","Vocà Ç muito corajoso."
" point of view in a discussion"," ponto de vista em uma discuss∆o"
"                  --> Dutiful","                  --> Cumpridor do dever"
"Masterwork architecture lost","Obra-prima da arquitetura perdida"
" shooting "," atirando "
"legwear","equipamento de perna "
" in an undedicated temple"," em um templo n∆o dedicado"
"You are enraged.","Vocà est† enfurecido. "
"Normal difficulty","Dificuldade normal "
"Star chart","Gr†fico estrela"
"Spare me the compliments.","Poupe-me dos elogios."
"Nest box unclaimed","Caixa de ninho n∆o reclamada"
"Ice Upward Track (NSEW)","Pista de gelo para cima (NSEW)"
"[C:7:0:1]Gathering[C:7:0:0]","[C:7:0:1]Coleta[C:7:0:0]."
" frame"," Enquadro"
"natural history","hist¢ria natural"
" no longer infected."," n∆o est† mais infectado. "
"Former member","Ex-membro"
"This can done at the [C:6:0:0]Smelter[C:7:0:0] which can be found under [C:5:0:1]Workshops[C:7:0:0] -> [C:5:0:1]Furnaces[C:7:0:0] -> [C:5:0:1]Smelter[C:7:0:0]. ","Isso pode ser feito na [C:6:0:0]Fundiá∆o[C:7:0:0] que pode ser encontrada em [C:5:0:1]Oficinas[C:7:0:0] -> [C:5:0:1]Fornalhas[C:7:0:0] -> [C:5:0:1]Fundiá∆o[C:7:0:0]. "
"was burned to death by ","foi queimada atÇ a morte por "
"slows down and dies away as it draws to a close","desacelera e morre quando chega ao fim"
" striking a triumphant pose"," fazendo uma pose triunfante"
"being flayed","sendo esfolado"
"Name the location","Nomear o local"
" Track (W)"," Trilho (W)"
"I don't remember what I was going to say...","Eu n∆o lembro o que ia dizer..."
" Cabinet"," Arm†rio"
"the coda","o arremate"
"Final desert region count fails by ","Falha de contagem final regiao desÇrtica por "
"is bored by reality and would rather disappear utterly and forever into a world of made-up fantasy","est† entediado pela realidade e prefiro desaparecer completamente e para sempre em um mundo de fantasia inventada"
" caught in a lava mist!"," capturado em uma nÇvoa de lava!"
"I had to eat my beloved pet to survive.","Tive de comer meu amado animal de estimaá∆o para sobreviver."
"Tower Treasury","Tesouro da Torre"
"This place has been conquered","Este lugar foi conquistado"
"a fine dish","um prato bem"
"Disdains eloquence","Desdenha de eloquencia"
"In the [C:6:0:1]Temple Info Menu[C:7:0:0] you can see the value of the [C:1:0:1]Temple[C:7:0:0].  Sometimes the worshippers will demand ","No [C:6:0:1]Menu de Informaá‰es do Templo[C:7:0:0], vocà pode ver o valor do [C:1:0:1]Templo[C:7:0:0]. ∑s vezes os adoradores exigir∆o "
"Parts","Partes"
"The three main methods of attacking are striking, wrestling, and shooting.  Items can also be thrown, and there are creatures ","Os tràs mÇtodos principais de ataque s∆o golpes, agarr‰es e disparos. Itens tambÇm podem ser arremessados, e h† criaturas "
"as an heirloom of the ","como uma heranáa do(a) "
"suffering the travesty of art defacement","sofrendo a farsa da desfiguraá∆o da arte"
"Flux Stone Layer","Pedras de Fluxo"
"mathematics:method:exhaustion","matem†tica:mÇtodo:exaust∆o"
"The signs lead northwest.","Os sinais levam a noroeste."
"Your childish games have made me tired.  Perhaps next time I visit you'll take this seriously.","Suas brincadeiras infantis me cansaram. Talvez da pr¢xima vez que eu visitar vocà leve isso a sÇrio."
"Break of dawn","Aurora"
"This isn't irritating.","N∆o Ç irritante."
"[C:4:0:1]Heavy bleeding","[C:4:0:1]Sangrando muito "
"sleeping on ice","dormindo no gelo"
"former member","ex-membro"
"grazing rights","direitos de pastoreio"
"I'm very grateful.","Estou muito grato."
"Land gains a status","Terreno ganha um status"
"Commerce","ComÇrcio"
"plaster-containing ","gesso, contendo "
"the Company","a Companhia"
"Outdoor Animal Populations (Including Undead)","Populaá‰es de animais ao ar livre (incluindo mortos-vivos)"
"We shall bring ","Traremos "
"the fall of ","Vocà emaranhado juntos e caia em cima! "
"be lively","seja v°vido "
"The remnants of creation, ","Os remanescentes da criaá∆o, "
"My sibling discussed their problems with me.","Meu irm∆o discutiu seus problemas comigo."
"being incinerated","sendo incinerado"
"Verbally struggle, shaken","Verbalmente, luta, abalada"
"Dye thread","Tingir fio"
"In order to keep your citizens alive in the unforgiving wilderness they will need shelter, drink, and food.","Para manter seus cidad∆os vivos no deserto implac†vel, eles precisar∆o de abrigo, bebida e comida."
"What will you say about tribute agreement?","O que dir† sobre acordo de tributo?"
"Reset Priority Goal","Reinicie a Prioridade do Objetivo"
"Schedule","Programaá∆o"
" pulls off"," tira"
"Considers monster","Considera monstro"
"goat","Cabra"
"I gelded a creature.","Eu castrei uma criatura."
"less curious","menos curioso"
"generally acts with a narrow focus on the current activity","geralmente age com um foco estreito sobre a atividade atual"
"Relapse","Reca°da"
"Make metal bars from ore here.  Can also refine coal into usable fuel or make alloys.  All tasks require fuel.","Faáa barras de metais aqui. Vocà tambÇm pode refinar carv∆o em combust°vel ou fazer liga de metais. Todas tarefas necessitam de combust°vel."
"trickery","malandragem"
"Migrants refused to journey to such a dangerous and miserable fortress this season.","Os migrantes se recusaram a viajar para uma fortaleza t∆o perigosa e miser†vel nesta temporada."
"Hillocks","Outeiros"
"I'm uneasy.","Estou inquieto."
" begins to speak very deliberately"," comeáa a falar muito deliberadamente"
"loss of life.","perda de vida."
" has been elected to the position of "," foi eleito para o cargo de "
"We haven't performed for some time.","N¢s n∆o se apresentamos por algum tempo."
"Stratus (rain)","Estrato (chuva)"
"Go to Beating Target","V† para Bater no Alvo"
"Soon the world will be set right.","Em breve o mundo ser† definido certo."
"having an intellectual discussion with mother","Tendo uma conversa intelectual com sua m∆e"
"Update stockpile records","Atualizar registros de estoque"
" punishment delayed"," puniá∆o adiada"
"values cooperation","valoriza a cooperaá∆o"
"these catacombs","essas catacumbas"
"has a hint of viciousness to it","tem uma pitada de maldade a ele"
"Sew ","Costurar "
"double-acting piston bellows","fole pistao de dupla aá∆o"
" is conflicted by this as "," est† em conflito por isso como "
"blight","praga"
"Not responsible for trade","N∆o nos responsabilizamos por comÇrcio"
"the nervous system","o sistema nervoso"
"the cave","a caverna"
"Medium Precision","Precis∆o MÇdia"
"by restricting air flow out of the bell","restringindo o fluxo de ar para fora do sino"
"reeking","fedido"
"after taking it easy","depois de pegar leve"
"Failed!","Falhou!"
" is with "," Ç com "
"an incident involving a trade caravan","um incidente envolvendo uma caravana de comÇrcio"
"[C:4:0:1].Broken apart","[C:4:0:1].parte quebrada"
"died in magma","morreu em magma"
"grotesque","grotesco"
"I love reflective poetry.","Eu amo poemas reflexivos "
"The love overwhelms me!","O amor me domina!"
"joining an existing conflict","juntar-se a um conflito existente"
"Suspicion","Suspeita"
"is seeking information","est† buscando informaá‰es"
"This problem cannot be resolved by continuing, so you should either abort or skip all rejects for a legends-only game.  ","Este problema n∆o pode ser resolvido, continuando, entao vocà deve abortar ou ignorar todos os rejeitados por um jogo apenas lendas. "
"a temple","um templo"
" plotted to assassinate "," conspirou para assassinar "
"The following fortress goods","Os seguintes produtos da fortaleza "
"believes the truth is inviolable regardless of the cost","acredita que a verdade Ç inviol†vel, independentemente do custo"
"Minimum Natural Cave Size","Tamanho m°nimo Natural caverna"
"kidnapping","sequestro"
"I discussed my problems with my father.","Eu discuti meus problemas com meu pai."
"was","era "
"Temperate Ocean","Oceano de clima temperado"
" is empty."," vazio"
"the settlements","os assentamentos"
" raised right arm"," ergueu o braáo direito"
"This dance is a refined artform, with ","Esta danáa Ç uma forma de arte refinada "
"a known thug","um bandido conhecido"
"Seek Building For Item Drop","Busca Construá∆o Para Deixar Item"
"The defenseless are safer from outlaws.","Os indefesos est∆o mais seguros dos bandidos."
"Make charcoal and ash from wood here.  Does not require fuel.","Faáa carv∆o vegetal e cinzas aqui. N∆o necessita de combust°vel."
"Economy production trigger 5","Gatilho econìmico de produá∆o 5"
"You can zoom in and out of the play area using ","Vocà pode aproximar e afastar a cÉmera na †rea de jogo usando "
"solid","s¢lido"
"Killed by a flying object","Morto por um objeto voador"
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: The world is the same as ever.","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: O mundo Ç o mesmo de sempre."
" abilities when undertaking specific ventures"," habilidades quando encarrega-se de riscos espec°ficos"
"Finish setting wall orders.","Termine de definir as ordens das paredes."
"Meat/Fish Recipes","Receitas de carne/peixe"
"Engraving smoothed floors and walls","Entalhar pisos e paredes lisas"
"It's also generally wise to try to sleep in friendly places, but you might need to obtain permission. ","TambÇm Ç geralmente s†bio tentar dormir em lugares amig†veis, mas vocà pode precisar obter permiss∆o. "
"Models and Templates","Modelos e modelos"
" life"," vida"
"You cannot read.","Nao Ç Poss°vel Ler."
" playing the "," tocando o "
"accept","Aceita"
"the Table","a Mesa"
"cup-bearers","copeiros"
"naturalist","naturalista"
"is muscular and very thin","Ç muito fina e muscular"
"a blacksmith's shop","loja de ferraria"
"It's such a joy to be with people.","ê uma alegria estar com pessoas."
"You need to be holding an axe.","Vocà precisa estar segurando um machado. "
" looks less pained."," parece sentir menos dor. "
"Well over a hundred live there","Bem mais de cem moram l† "
"empirical observation","observaá∆o emp°rica"
"Acknowledge lack of interest","Reconhecer a falta de interesse"
"the angles of triangles inscribed in a circle with one edge on the diameter","os Éngulos dos triÉngulos inscritos em um c°rculo com uma aresta no diÉmetro"
"I shared a personal insight with my father.","Eu compartilhei uma percepá∆o pessoal com meu pai."
"the open war","a guerra aberta"
"the acceptance of a petition for a guildhall for ","a aceitaá∆o de uma petiá∆o para uma guildhall para "
"adoration","Adorador"
"In the midst of conflict...","No meio do conflito..."
"a modest bard","um cantor modesto"
", having completely forgotten the words.",", tendo esquecido as palavras completamente."
"Wood Furnace","Fornalha de Madeira"
"It's not perfect, but it's good enough.  Why fret about it?","N∆o Ç perfeito, mas Ç bom o suficiente.  Por que se preocupar com isso?"
" shrine"," santu†rio"
"is short and skinny","Ç curto e fino"
"Ice Downward Track (NSW)","Pista de gelo para baixo (NSW)"
"the process of surveying land","o processo de topografia "
"Who?","Quem?"
"Partially constructed.","Parcialmente constru°do."
"mechanical","mecÉnico "
"State feelings of disgust","Declara sentimentos de desgosto"
"Yes, you'd make a fantastic ","Sim, vocà faria uma fant†stica "
" has occupied "," tem ocupado "
"Come to Job Building","Vem para a Construá∆o de Trabalho"
"  You should report the task as complete."," Vocà deve relatar a tarefa como conclu°da. "
"Thread (Yarn)","Fio (L∆)"
"Lye Making","Fabricaá∆o de Barrela"
"The world generator is having trouble placing tundra regions.  ","O gerador do mundo est† com problemas, colocando a regioes de tundra. "
"are ","tem "
" performed in succession"," realizada em sucess∆o"
"Leave this menu and view this creature's sheet.","Saia deste menu e veja a ficha desta criatura."
"Obstinate","Obstinado"
"This is driving me to agitation.","Isso est† me deixando para a agitaá∆o."
" by a dead pet"," por um animal de estimaá∆o morto"
"to attain rank in society","alcanáar posiá∆o na sociedade"
" and even forget"," e atÇ mesmo esquecer"
"armored ","equipado com armadura "
"I've been on a long patrol.","Eu estive em uma longa patrulha."
"There is a heavy blanket of fog enveloping everything.","Uma espessa camada de nÇvoa envolve tudo. "
"methods of empirical observation in astronomy","mÇtodos de observaá∆o emp°rica na astronomia"
"!  Praise the miners!","!  Viva os mineiros!"
"Engraving ","Entalhando "
"somebody first","alguÇm primeiro"
"doesn't feel strongly about the law","n∆o se sente fortemente sobre a lei"
"Population: ~4000","Populaá∆o: ~4000"
"the end of the imprisonment of","o fim da detená∆o dos"
"armorsmith's shop sign","placa da forjaria de armaduras"
"Good memory","Boa mem¢ria"
"Colors...","Cores..."
"I drank water mixed with ichor.","Eu bebi †gua misturada com exsudado."
"a peace agreement","um acordo de paz"
"history:theory:historical cycles","hist¢ria:teoria:ciclos hist¢ricos"
"relax","relaxar"
"withered ","desbotado "
"I feel ","sente "
"Outcomes","Resultados"
"Cannot travel through site","Imposs°vel atravessar o local"
"You are too injured to climb.","Vocà est† muito ferido para escalar."
