"its","それの"
"leopard gecko men","ヤモリ男"
"leopard gecko woman","ヤモリ女"
"leopard gecko women","ヤモリ女"
"A person with the head and fingers of a gecko.","ヤモリのような頭と指を持つ人間だ. "
"giant leopard gecko","巨大ヤモリ"
"giant leopard geckos","巨大ヤモリ"
"A large monster in the shape of a gecko.","ヤモリのような姿をした巨大な怪物だ. "
"A tiny shelled reptile that lives in the desert.","砂漠に住む亀だ. "
"desert tortoise","砂漠亀"
"desert tortoises","砂漠亀"
"desert tortoise man","砂漠亀男"
"desert tortoise men","砂漠亀男"
"desert tortoise woman","砂漠亀女"
"desert tortoise women","砂漠亀女"
"A reptile person with the head and tail of a desert tortoise.","砂漠亀の頭と尾を持つ爬虫類人だ. "
"giant desert tortoise","巨大砂漠亀"
"giant desert tortoises","巨大砂漠亀"
"giant desert tortoise hatchling","巨大砂漠亀の幼生"
"giant desert tortoise hatchlings","巨大砂漠亀の幼生の"
"A large monster in the form of a desert tortoise.","砂漠亀のような姿をした巨大な怪物だ. "
"A small venomous lizard.","毒を持った小さなトカゲだ. ."
"gila monster","ドクトカゲ"
"gila monsters","ドクトカゲ"
"gila monster hatchling","ドクトカゲの雛"
"gila monster hatchlings","ドクトカゲの雛の"
"frozen gila monster venom","凍ったドクトカゲの毒液"
"gila monster venom","ドクトカゲの毒液"
"boiling gila monster venom","蒸気化したドクトカゲの毒液"
"gila monster bite","ドクトカゲの噛みつき"
"gila monster man","ドクトカゲ男"
"gila monster men","ドクトカゲ男"
"gila monster woman","ドクトカゲ女"
"gila monster women","ドクトカゲ女"
"A venomous person with the head and tail of a gila monster.","ドクトカゲの頭と尻尾を持つ毒性人間だ. "
"giant gila monster","巨大ドクトカゲ"
"giant gila monsters","巨大ドクトカゲ"
"giant gila monster hatchling","ドクトカゲの幼生"
"giant gila monster hatchlings","ドクトカゲの幼生の"
"A huge beast in the form of a gila monster.","ドクトカゲのような姿をした怪物だ. "
"A medium-sized highly social mammalian carnivore.  It has a keen sense of smell.  It can be trained to obey commands.","中型で社会性の強い, 肉食哺乳類だ. 匂いに敏感で, 調教することができる. "
"dog","犬"
"dogs","犬"
"canine","犬の"
"loyalty","忠誠心"
"puppy","子犬"
"puppies","子犬の"
"ears","耳"
"tail","尾"
"front paws","前足"
"rear paws","後足"
"A small mammalian carnivore.  It is usually domestic and hunts vermin.","小さな肉食哺乳類. ペットとなり, 害虫を捕まえる. "
"cat","猫"
"cats","猫"
"feline","猫の"
"aloofness","よそよそしい"
"kitten","子猫"
"kittens","子猫の"
"lick","叩く"
"licks","叩く"
"lick each other","叩いた"
"Head bump","頭突き"
"head-bump","頭突き"
"head-bumps","頭突き"
"bump heads","頭突きした"
"A compact offspring of horse and donkey, bred to be a beast of burden.","馬とロバのあいの子で, 荷物運びの家畜になる. "
"mule","ラバ"
"mules","ラバ"
"mule foal","子ラバ"
"mule foals","子ラバの"
"stubborness","頑固"
"A medium-sized, hooved herbivore.  Some are domesticated as beasts of burden.","中型の草食動物. 荷物運びの家畜にできる. "
"donkey","ロバ"
"donkeys","ロバ"
"asinine","ロバの"
"donkey foal","子ロバ"
"donkey foals","子ロバの"
"frozen donkey's milk","凍ったロバのミルク"
"donkey's milk","ロバのミルク"
"boiling donkey's milk","蒸気化したロバのミルク"
"donkey cheese","ロバのチーズ"
"donkey cheese powder","ロバのチーズ粉末"
"melted donkey cheese","溶けたロバのチーズ"
"boiling donkey cheese","蒸気化したロバのチーズ"
"A large hooved, maned herbivore.  They can run swiftly and many are domesticated as steeds.","ひづめのある大型草食動物. 家畜にして, 人を乗せて早く駆けることができる. "
"horse","馬"
"horses","馬"
"equine","馬の"
"strength","力強い"
"horse foal","子馬"
"horse foals","子馬の"
"frozen horse's milk","凍った馬のミルク"
"horse's milk","馬のミルク"
"boiling horse's milk","蒸気化した馬のミルク"
"horse cheese","馬のチーズ"
"horse cheese powder","馬のチーズ粉末"
"melted horse cheese","溶けた馬のチーズ"
"boiling horse cheese","蒸気化した馬のチーズ"
"A large mammalian herbivore.  They often bear large horns and the males are ill-tempered.  They are domesticated for milk and meat.","大型の草食哺乳類. 雄は大きな角を持ち, 気性が荒い. ミルクと肉を採るための家畜にできる. "
"cow","牛"
"cows","牛"
"bovine","牛の"
"haunting moos","モーモー鳴く"
"vellum","犢皮紙"
"gore","角で突いた"
"gores","角で突いた"
"cow calf","子牛"
"cow calves","子牛の"
"frozen cow's milk","凍った牛のミルク"
"cow's milk","牛のミルク"
"boiling cow's milk","蒸気化した牛のミルク"
"cow cheese","牛のチーズ"
"cow cheese powder","牛のチーズ粉末"
"melted cow cheese","溶けた牛のチーズ"
"boiling cow cheese","蒸気化した牛のチーズ"
"bull","雄牛"
"bulls","雄牛"
"bull calf","雄牛の子供"
"bull calves","雄牛の子供"
"A medium-sized herding animal.  It is prized for its thick wool coat.","中型の草食動物. 家畜にでき, 特に羊毛は価値が高い. "
"sheep","羊"
"ovine","羊の"
"lamb","子羊"
"lambs","子羊の"
"tendency to flock","群れを作る"
"wool","毛"
"ewe","雌羊"
"ewes","雌羊"
"frozen sheep's milk","凍った羊のミルク"
"sheep's milk","羊のミルク"
"boiling sheep's milk","蒸気化した羊のミルク"
"sheep cheese","羊のチーズ"
"sheep cheese powder","羊のチーズ粉末"
"melted sheep cheese","溶けた羊のチーズ"
"boiling sheep cheese","蒸気化した羊のチーズ"
"ram","雄羊"
"rams","雄羊"
"A medium-sized domestic animal.  It has a distinctive snout and corkscrew tail.  It is thought by some to be intelligent.","中型の家畜. 独特な形の鼻と巻きバネのような形の尾をもつ. 稀に賢い個体もいる. "
"pig","豚"
"pigs","豚"
"porcine","豚の"
"piglet","子豚"
"piglets","子豚の"
"snorts","鼻を鳴らす"
"sense of smell","匂いを嗅ぎ分ける"
"sow","雌豚"
"sows","雌豚"
"frozen pig's milk","凍った豚のミルク"
"pig's milk","豚のミルク"
"boiling pig's milk","蒸気化した豚のミルク"
"pig cheese","豚のチーズ"
"pig cheese powder","豚のチーズ粉末"
"melted pig cheese","溶けた豚のチーズ"
"boiling pig cheese","蒸気化した豚のチーズ"
"boar","雄豚"
"boars","雄豚"
"A medium-sized herding animal.  It is known for its short horns and beard.","A中型の草食動物. 短い角とあごひげが特徴. "
"goat","ヤギ"
"goats","ヤギ"
"hircine","ヤギの"
"goat kid","子ヤギ"
"goat kids","子ヤギの"
"eating habits","食習慣"
"nanny goat","雌ヤギ"
"nanny goats","雌ヤギ"
"frozen goat's milk","凍ったヤギのミルク"
"goat's milk","ヤギのミルク"
"boiling goat's milk","蒸気化したヤギのミルク"
"goat cheese","ヤギのチーズ"
"goat cheese powder","ヤギのチーズ粉末"
"melted goat cheese","溶けたヤギのチーズ"
"boiling goat cheese","蒸気化したヤギのチーズ"
"billy goat","雄ヤギ"
"billy goats","雄ヤギ"
"beard","ひげ"
"A small domestic bird capable of flying short distances.  It is prized for its tasty eggs.","短い距離を飛ぶことができる家禽. 卵が美味しい. "
"chicken","鶏"
"chickens","鶏"
"chick","ひよこ"
"chicks","ひよこの"
"clucking","コケコッコーと鳴く"
"scratching","ひっかく"
"hen","雌鶏"
"hens","雌鶏"
"rooster","雄鶏"
"roosters","雄鶏"
"cavy","テンジクネズミ"
"cavies","テンジクネズミ"
"cavy pup","テンジクネズミの子供"
"cavy pups","テンジクネズミの子供の"
"three toes","三つ踵"
"adorable call","愛らしい鳴き声"
"cavy sow","雌テンジクネズミ"
"cavy sows","雌テンジクネズミ"
"cavy boar","雄テンジクネズミ"
"cavy boars","雄テンジクネズミ"
"A small water bird.  It has a long neck and powerful legs meant for swimming and diving.","小さな水鳥. 首が長く, 泳ぎが上手い. "
"duck","雁"
"ducks","雁"
"duckling","雁の雛"
"ducklings","雁の雛の"
"quacks","クワっと鳴く"
"drake","雄雁"
"drakes","雄雁"
"A large mammalian herbivore.  It is powerfully built and has long curved horns.","大型草食哺乳類. 力がとても強く, 長くて曲がった角を持つ. "
"water buffalo","水牛"
"water buffalos","水牛"
"water buffalo calf","水牛の雌"
"water buffalo calves","水牛の雌の"
"water wallowing","水辺に棲む"
"water buffalo cow","水牛の子供"
"water buffalo cows","水牛の子供"
"frozen water buffalo's milk","凍った水牛のミルク"
"water buffalo's milk","水牛のミルク"
"boiling water buffalo's milk","蒸気化した水牛のミルク"
"water buffalo cheese","水牛のチーズ"
"water buffalo cheese powder","水牛のチーズ粉末"
"melted water buffalo cheese","溶けた水牛のチーズ"
"boiling water buffalo cheese","蒸気化した水牛のチーズ"
"water buffalo bull","水牛の雄"
"water buffalo bulls","水牛の雄"
"A large mammalian herbivore living in cold climates.  It has large antlers and sought-after fur.","A large mammalian herbivore living in cold climates.  It has large 角s and sought-after ふさふさ."
"reindeer","トナカイ"
"reindeer calf","トナカイの仔"
"reindeer calves","トナカイの仔の"
"antler","角"
"reindeer cow","トナカイの雌"
"reindeer cows","トナカイの雌"
"frozen reindeer's milk","凍ったトナカイのミルク"
"reindeer's milk","トナカイのミルク"
"boiling reindeer's milk","蒸気化したトナカイのミルク"
"reindeer cheese","トナカイのチーズ"
"reindeer cheese powder","トナカイのチーズ粉末"
"melted reindeer cheese","溶けたトナカイのチーズ"
"boiling reindeer cheese","蒸気化したトナカイのチーズ"
"reindeer bull","トナカイの雄"
"reindeer bulls","トナカイの雄"
"goose","雁の雄"
"geese","雁の雄"
"gosling","雁の雛"
"goslings","雁の雛の"
"formation flying","編隊飛行"
"gander","雁の雌"
"ganders","雁の雌"
"A large mammalian herbivore.  It has long fur and curving horns.  It can be found in the mountains.","長い毛と曲がった角を持つ大型草食哺乳類. 山岳に棲息. "
"yak","ヤク"
"yaks","ヤク"
"yak calf","ヤクの仔"
"yak calves","ヤクの仔の"
"shaggy hair","もじゃもじゃの毛"
"yak cow","ヤクの雌"
"yak cows","ヤクの雌"
"frozen yak's milk","凍ったヤクのミルク"
"yak's milk","ヤクのミルク"
"boiling yak's milk","蒸気化したヤクのミルク"
"yak cheese","ヤクのチーズ"
"yak cheese powder","ヤクのチーズ粉末"
"melted yak cheese","溶けたヤクのチーズ"
"boiling yak cheese","蒸気化したヤクのチーズ"
"yak bull","ヤクの雄"
"yak bulls","ヤクの雄"
"llama","ラマ"
"llamas","ラマ"
"baby llama","ラマの仔"
"baby llamas","ラマの仔の"
"jutting teeth","突き出た歯"
"frozen llama's milk","凍ったラマのミルク"
"llama's milk","ラマのミルク"
"boiling llama's milk","蒸気化したラマのミルク"
"llama cheese","ラマのチーズ"
"llama cheese powder","ラマのチーズ粉末"
"melted llama cheese","溶けたラマのチーズ"
"boiling llama cheese","蒸気化したラマのチーズ"
"A large domestic animal with a long neck.  It has been bred for its valuable hair.","首の長い大型草食哺乳類. 長い毛のために飼育されている. "
"alpaca","アルパカ"
"alpacas","アルパカ"
"baby alpaca","アルパカの仔"
"baby alpacas","アルパカの仔の"
"resemblance to a miniature llama","ラマを小さくしたような姿"
"frozen alpaca's milk","凍ったアルパカのミルク"
"alpaca's milk","アルパカのミルク"
"boiling alpaca's milk","蒸気化したアルパカのミルク"
"alpaca cheese","アルパカのチーズ"
"alpaca cheese powder","アルパカのチーズ粉末"
"melted alpaca cheese","溶けたアルパカのチーズ"
"boiling alpaca cheese","蒸気化したアルパカのチーズ"
"A small ground-dwelling bird.  It has a featherless head and eats seeds and insects.  It moves about in groups.","全長50センチほどの地上に住む鳥だ. 頭に毛がないのが特徴. 群れを作り, 昆虫や植物を食べる. "
"guineafowl","ホロホロ鳥"
"guineafowls","ホロホロ鳥"
"keet","ホロホロ鳥の雛"
"keets","ホロホロ鳥の雛の"
"guineahen","ホロホロ鳥の雌"
"guineahens","ホロホロ鳥の雌"
"guineacock","ホロホロ鳥の雄"
"guineacocks","ホロホロ鳥の雄"
"A small forest bird.  The male's tail creates an extravagant display for females.  At night, they roost in the trees.","森に棲息する鳥. 雄の尾羽は, メスを惹きつけるためにとても派手で美しい色合いをしている. "
"blue peafowl","クジャク"
"blue peafowls","クジャク"
"blue peachick","クジャクの雛"
"blue peachicks","クジャクの雛の"
"enormous fan tails","巨大な飾り羽"
"blue peahen","クジャクの雌"
"blue peahens","クジャクの雌"
"blue peacock","クジャクの雄"
"blue peacocks","クジャクの雄"
"A small forest bird known for the distinctive flaps of skin hanging from its face.  It is prized for its meat.","森に棲む地表性の鳥. 顔からぶら下がる独特の肉房が特徴. 肉の価値が高い. "
"turkey","七面鳥"
"turkeys","七面鳥"
"poult","七面鳥の雛"
"poults","七面鳥の雛の"
"wattle","肉垂"
"snood","スヌード"
"gobble","食欲旺盛"
"turkey hen","七面鳥の雌"
"turkey hens","七面鳥の雌"
"turkey gobbler","七面鳥の雄"
"turkey gobblers","七面鳥の雄"
"A small lagomorph with long ears.  It has powerful hind legs which it uses to swiftly avoid predators.  It can be found anywhere from forests to deserts.","耳の長い小さな哺乳類. 後ろ足が大きく, 敵から素早く逃げるのに使われる. 森から砂漠まで, 様々な気候に棲息. "
"rabbit","ウサギ"
"rabbits","ウサギ"
"bunny","ウサギの仔"
"bunnies","ウサギの仔の"
"ability to burrow","巣穴を掘る"
"doe rabbit","ウサギの雌"
"doe rabbits","ウサギの雌"
"buck rabbit","ウサギの雄"
"buck rabbits","ウサギの雄"
"A rolling platform for carrying passengers or cargo.","乗客や荷物を運ぶための貨車. "
"wagon","荷車"
"wagons","荷車"
"wood","木"
"wooden","木製の"
"chimera","キメラ"
"chimeras","キメラ"
"chimeric","キメラの"
"terrifying features","恐ろしい機能"
"centaur","ケンタウルスの雄"
"centaurs","ケンタウルスの雄"
"centauress","ケンタウルスの雌"
"centauresses","ケンタウルスの雌"
"griffon","グリフォン"
"griffons","グリフォン"
"A tiny flying insect found around rotting meat and garbage.  These bugs are widely considered to be a nuisance.","ゴミや腐った肉の周りに沸く, 小さな空飛ぶ昆虫. 不快害虫. "
"fly","蠅"
"flies","蠅"
"ability to annoy","鬱陶しい"
"fly man","蠅男"
"fly men","蠅男"
"fly woman","蠅女"
"fly women","蠅女"
"A person with the wings and head of a fly.","蠅の頭と翼を持つ人間だ. "
"giant fly","巨大蠅"
"giant flies","巨大蠅"
"A large monster in the shape of a fly.","蠅のような姿をした巨大な怪物だ. "
"A small insect that seeks out unwatched food and garbage.  They fear light.","食べ物やごみを探す小さな害虫. 光から逃げる習性がある. "
"large roach","ゴキブリ"
"large roaches","ゴキブリ"
"ability to disgust","気持ち悪い"
"roach man","ゴキブリ男"
"roach men","ゴキブリ男"
"roach woman","ゴキブリ女"
"roach women","ゴキブリ女"
"A person with the wings and head of a roach.","ゴキブリの頭と翼を持つ人間だ. "
"giant roach","巨大ゴキブリ"
"giant roaches","巨大ゴキブリ"
"A large monster in the shape of a roach.","ゴキブリのような姿をした巨大な怪物だ. "
"A tiny insect that can be found almost anywhere outside.","野外のどこにでもいる小さな昆虫だ. "
"beetle","甲虫"
"beetles","甲虫"
"protective shells","甲殻"
"beetle man","甲虫男"
"beetle men","甲虫男"
"beetle woman","甲虫女"
"beetle women","甲虫女"
"A person with the carapace and head of a beetle.","甲虫の頭と甲殻を持つ人間だ. "
"giant beetle","巨大甲虫"
"giant beetles","巨大甲虫"
"A large monster in the shape of a beetle.","甲虫のような姿をした巨大な怪物だ. "
"This tiny insect can be found in huge colonies in the dirt.  They overwhelm their enemies with swarms.  Some have poison bites.","土の中に巨大な巣を作る小さな昆虫. 群れで敵を襲い, 毒を持つ種もいる. "
"ant","蟻"
"ants","蟻"
"propensity to dig","巣穴を掘る"
"worker ant","働き蟻"
"worker ants","働き蟻"
"soldier ant","兵隊蟻"
"soldier ants","兵隊蟻"
"drone ant","羽蟻"
"drone ants","羽蟻"
"queen ant","女王蟻"
"queen ants","女王蟻"
"A small insect with large orange wings.  It is admired for its beauty.","広い羽根を持つ小さなオレンジ色の昆虫だ. とても美しい"
"monarch butterfly","蝶"
"monarch butterflies","蝶"
"monarch butterfly man","蝶男"
"monarch butterfly men","蝶男"
"monarch butterfly woman","蝶女"
"monarch butterfly women","蝶女"
"A person with the wings and head of a monarch butterfly.","蝶の頭と翼を持つ人間だ. "
"giant monarch butterfly","巨大蝶"
"giant monarch butterflies","巨大蝶"
"A large monster in the shape of a monarch butterfly.","蝶のような姿をした巨大な怪物だ. "
"A tiny flying insect that can be seen at night by its glowing tail.","夜行性の飛ぶ昆虫. 尻を光らせることができる. "
"firefly","蛍"
"fireflies","蛍"
"enchanting glow","幻想的な輝き"
"firefly man","蛍男"
"firefly men","蛍男"
"firefly woman","蛍女"
"firefly women","蛍女"
"A person with the wings and head of a firefly.","蛍の頭と翼を持つ人間だ. "
"giant firefly","巨大蛍"
"giant fireflies","巨大蛍"
"A large monster in the shape of a firefly.","蛍のような姿をした巨大な怪物だ. "
"A relatively large insect found in swamps and marshland.","水辺や湿地帯でみられる大きい昆虫. "
"dragonfly","トンボ"
"dragonflies","トンボ"
"faceted eyes","顔一面の眼"
"dragonfly man","トンボ男"
"dragonfly men","トンボ男"
"dragonfly woman","トンボ女"
"dragonfly women","トンボ女"
"A person with the wings and head of a dragonfly.","トンボの頭と翼を持つ人間だ. "
"giant dragonfly","巨大トンボ"
"giant dragonflies","巨大トンボ"
"A large monster in the shape of a dragonfly.","トンボのような姿をした巨大な怪物だ. "
"honey bee","ミツバチ"
"honey bees","ミツバチ"
"busy nature","働き者"
"buzzing","にぎやか"
"ability to organize","整理する能力"
"honey bee wax","蜜蝋"
"honey bee wax cake","蜜蝋の固まり"
"melted honey bee wax","溶けた蜜蝋"
"boiling honey bee wax","蒸気化した蜜蝋"
"frozen honey bee royal jelly","凍ったミツバチロイヤルゼリー"
"honey bee royal jelly","ミツバチロイヤルゼリー"
"boiling honey bee royal jelly","蒸気化したミツバチロイヤルゼリー"
"frozen honey bee honey","凍ったミツバチの蜂蜜"
"honey bee honey","ミツバチの蜂蜜"
"boiling honey bee honey","蒸気化したミツバチの蜂蜜"
"frozen mead","凍った蜂蜜酒"
"mead","蜂蜜酒"
"boiling mead","蒸気化した蜂蜜酒"
"frozen honey bee venom","凍ったミツバチの毒液"
"honey bee venom","ミツバチの毒液"
"boiling honey bee venom","蒸気化したミツバチの毒液"
"honey bee sting","ミツバチの尾針"
"honey bee worker","働きミツバチ"
"honey bee workers","働きミツバチ"
"honey bee drone","雄ミツバチ"
"honey bee drones","雄ミツバチ"
"honey bee queen","女王ミツバチ"
"honey bee queens","女王ミツバチ"
"A small woolly insect that lives in hive colonies.  It has an annoying sting which it rarely uses.","群れで巣を作る毛深い昆虫. めったに使わないが, 毒針を持つ"
"bumblebee","マルハナバチ"
"bumblebees","マルハナバチ"
"woolly appearance","羊毛のような見た目"
"bumblebee wax","マルハナバチの蜜蝋"
"bumblebee wax cake","マルハナバチの蜜蝋の固まり"
"melted bumblebee wax","溶けたマルハナバチの蜜蝋"
"boiling bumblebee wax","蒸気化したマルハナバチの蜜蝋"
"frozen bumblebee royal jelly","凍ったマルハナバチロイヤルゼリー"
"bumblebee royal jelly","マルハナバチロイヤルゼリー"
"boiling bumblebee royal jelly","蒸気化したマルハナバチロイヤルゼリー"
"frozen bumblebee honey","凍ったマルハナバチの蜂蜜"
"bumblebee honey","マルハナバチの蜂蜜"
"boiling bumblebee honey","蒸気化したマルハナバチの蜂蜜"
"frozen bumblebee mead","凍ったマルハナバチの蜂蜜酒"
"bumblebee mead","マルハナバチの蜂蜜酒"
"boiling bumblebee mead","蒸気化したマルハナバチの蜂蜜酒"
"frozen bumblebee venom","凍ったマルハナバチの毒液"
"bumblebee venom","マルハナバチの毒液"
"boiling bumblebee venom","蒸気化したマルハナバチの毒液"
"bumblebee sting","マルハナバチ sting"
"bumblebee worker","働きマルハナバチ"
"bumblebee workers","働きマルハナバチ"
"bumblebee drone","雄マルハナバチ"
"bumblebee drones","雄マルハナバチ"
"bumblebee queen","女王マルハナバチ"
"bumblebee queens","女王マルハナバチ"
"A medium-sized herbivore that lives in the high mountains, able to navigate the slopes despite its hooved feet.","高山に生息する中型の草食動物で, ひづめのある足にもかかわらず崖を移動することができます. "
"mountain goat","シロイワヤギ"
"mountain goats","シロイワヤギ"
"mountain goat kid","シロイワヤギの子供"
"mountain goat kids","シロイワヤギの子供の"
"beards","ひげ"
"long horns","長い角"
"surefootedness","転ばない"
"mountain goat man","シロイワヤギ男"
"mountain goat men","シロイワヤギ男"
"mountain goat woman","シロイワヤギ女"
"mountain goat women","シロイワヤギ女"
"A horned person with the head of a mountain goat.","シロイワヤギの頭と角を持つ人間だ. "
"giant mountain goat","巨大シロイワヤギ"
"giant mountain goats","巨大シロイワヤギ"
"giant mountain goat kid","巨大シロイワヤギの子供"
"giant mountain goat kids","巨大シロイワヤギの子供の"
"A huge monster in the form of a mountain goat.","シロイワヤギのような姿をした巨大な怪物だ. "
"hoary marmot","マーモット"
"hoary marmots","マーモット"
"hoary marmot pup","マーモットの子供"
"hoary marmot pups","マーモットの子供の"
"whistles","口笛のような鳴き声"
"hoary marmot man","マーモット男"
"hoary marmot men","マーモット男"
"hoary marmot woman","マーモット女"
"hoary marmot women","マーモット女"
"A person with the head and fur of a hoary marmot.","マーモットの頭と毛皮を持つ人間だ. "
"giant hoary marmot","巨大マーモット"
"giant hoary marmots","巨大マーモット"
"giant hoary marmot pup","巨大マーモットの子供"
"giant hoary marmot pups","巨大マーモットの子供の"
"A large creature the shape of a hoary marmot.","マーモットのような姿をした巨大な怪物だ. "
"mountain gnome","山ノーム"
"mountain gnomes","山ノーム"
"ability to hold liquor","大酒呑み"
"Spit","唾を吐いた"
"lips","唇"
"nose bridge","鼻軟骨"
"eyebrows","眉毛"
"dark gnome","ダークノーム"
"dark gnomes","ダークノーム"
"A huge aquatic mammal with giant tusks and dense whiskers.  They are thick and blubbery and live almost exclusively on mussels.","大きな牙とひげが特徴の大型水生哺乳類. 貝類が主食. "
"walrus","セイウチ"
"walruses","セイウチ"
"walrus calf","セイウチの仔"
"walrus calves","セイウチの仔の"
"tusks","牙"
"whiskers","ひげ"
"walrus man","セイウチ男"
"walrus men","セイウチ男"
"walrus woman","セイウチ女"
"walrus women","セイウチ女"
"giant walrus","巨大セイウチ"
"giant walruss","巨大セイウチ"
"giant walrus pup","巨大セイウチの子供"
"giant walrus pups","巨大セイウチの子供の"
"A giant monster in the form of a walrus.","セイウチのような姿をした巨大な怪物だ. "
"A small oceanic eel-like creature that latches onto the side of its victim and tears into them.","死体に吸い付いて食べる, 小さなウナギのような生物だ. "
"sea lamprey","ウミヤツメ"
"sea lampreys","ウミヤツメ"
"larval sea lamprey","ウミヤツメの稚魚"
"larval sea lampreys","ウミヤツメの稚魚の"
"suckers","吸い付く"
"A giant oceanic fish with rows and rows of razor-sharp pointed teeth.","剃刀のように鋭い歯を持つ, 巨大な海洋魚だ. "
"great white shark","ホホジロザメ"
"great white sharks","ホホジロザメ"
"great white shark pup","ホホジロザメの稚魚"
"great white shark pups","ホホジロザメの稚魚の"
"ability to make one afraid to go into the water","水に入るのを恐れさせる"
"A large eel-like fish found in coastal waters.","沿岸に棲む大きなウナギのような魚. "
"frill shark","ラブカ"
"frill sharks","ラブカ"
"frill shark pup","ラブカの稚魚"
"frill shark pups","ラブカの稚魚の"
"needle teeth","針状の歯"
"frilled gill slits","ひらひらしたえら"
"A large fish found in coastal temperate waters.","温暖な沿岸海域でみられる大きな魚. "
"spiny dogfish","アブラツノザメ"
"spiny dogfish pup","アブラツノザメの稚魚"
"spiny dogfish pups","アブラツノザメの稚魚の"
"dorsal spines","背びれ"
"A huge fish covered with growths and spots it uses to hide on the sea bed.  It is not usually aggressive.","海底に棲む, 反転のある巨大魚. 穏やかな性格. "
"spotted wobbegong","クモハダオオセ"
"spotted wobbegongs","クモハダオオセ"
"spotted wobbegong pup","クモハダオオセの稚魚"
"spotted wobbegong pups","クモハダオオセの稚魚の"
"A gigantic filter-feeding fish found in tropical oceans.","熱帯の海に棲息する, とても巨大な濾過摂食魚. "
"whale shark","ジンベイザメ"
"whale sharks","ジンベイザメ"
"whale shark pup","ジンベイザメの稚魚"
"whale shark pups","ジンベイザメの稚魚の"
"gentle nature","穏やか"
"basking shark","ウバザメ"
"basking sharks","ウバザメ"
"basking shark pup","ウバザメの子供"
"basking shark pups","ウバザメの子供の"
"giant open mouths","大きく開く口"
"A large nocturnal bottom-dwelling fish.  It is sluggish in movement and found in near-tropical shores.","夜行性の大型底生魚. 動きが遅く, 熱帯の沿岸に棲息. "
"nurse shark","コモリザメ"
"nurse sharks","コモリザメ"
"nurse shark pup","コモリザメの稚魚"
"nurse shark pups","コモリザメの稚魚の"
"tenacity","粘り強い"
"A large, aggressive, oceanic fish with a mouth full of pointed teeth.  It is capable of great speed.","尖った歯をたくさん持つ, 獰猛な海洋魚. とても速く泳ぐ. "
"shortfin mako shark","アオザメ"
"shortfin mako sharks","アオザメ"
"shortfin mako shark pup","アオザメの稚魚"
"speed","速い"
"A large fish which scavenges along tropical and temperate coastal waters.","熱帯および温帯の沿岸水域に棲息する, 腐肉食の巨大魚"
"longfin mako shark","バケアオザメ"
"longfin mako sharks","バケアオザメ"
"longfin mako shark pup","バケアオザメの子供"
"A giant, striped, oceanic fish known to devour anything in its path.","縞模様のある巨大海洋魚. とても獰猛で, あらゆるものを食い尽くす. "
"tiger shark","イタチザメ"
"tiger sharks","イタチザメ"
"tiger shark pup","イタチザメの稚魚"
"tiger shark pups","イタチザメの稚魚の"
"stripes","縞模様"
"A medium-sized, aggressive, territorial fish.  It can be found in shallow oceanic waters, and has also been known to travel up large rivers.","獰猛な中型魚類. 浅い海域に棲み, 川を遡上することもある. "
"bull shark","オオメジロザメ"
"bull sharks","オオメジロザメ"
"bull shark pup","オオメジロザメの稚魚"
"bull shark pups","オオメジロザメの稚魚の"
"aggressive nature","獰猛"
"A medium-sized fish found in shallow oceanic waters.","浅瀬に棲息する中型のサメ. "
"blacktip reef shark","ツマグロ"
"blacktip reef sharks","ツマグロ"
"blacktip reef shark pup","ツマグロの稚魚"
"blacktip reef shark pups","ツマグロの稚魚の"
"A medium-sized fish which shelters in caves on the shallow sea floor.  It hunts for food in packs but is not aggressive.","浅い海底の洞窟に潜む中型の魚. 群れた魚を食べるが, 獰猛ではない. "
"whitetip reef shark","ネムリブカ"
"whitetip reef sharks","ネムリブカ"
"whitetip reef shark pup","ネムリブカの稚魚"
"whitetip reef shark pups","ネムリブカの稚魚の"
"distinctive dorsal fin","特徴的な背びれ"
"A large, dangerous fish found hunting in packs in any ocean.","全世界の海に棲息する, 群れを作る獰猛で大きな肉食魚だ. "
"blue shark","ヨシキリザメ"
"blue sharks","ヨシキリザメ"
"blue shark pup","ヨシキリザメの稚魚"
"blue shark pups","ヨシキリザメの稚魚の"
"hammerhead shark","シュモクザメ"
"hammerhead sharks","シュモクザメ"
"hammerhead shark pup","シュモクザメの稚魚"
"hammerhead shark pups","シュモクザメの稚魚の"
"oddly-shaped heads","奇妙な形の頭"
"A large, flat, camouflaged fish found on the sea floor in temperate waters.  It is quite passive.","温帯の海底に棲息する, 大きくて平べったく, 擬態しているサメだ. じっとして動かない. "
"angelshark","ホンカスザメ"
"angelsharks","ホンカスザメ"
"angelshark pup","ホンカスザメの稚魚"
"angelshark pups","ホンカスザメの稚魚の"
"ability to conceal themselves","擬態能力"
"A medium-sized, flat, bottom-dwelling fish.","海底に棲息する中型の魚. "
"common skate","ガンギエイ"
"common skates","ガンギエイ"
"common skate pup","ガンギエイの稚魚"
"common skate pups","ガンギエイ威厳の稚魚の"
"flat bodies","平たい体"
"A huge filter-feeding fish with great wings.  They travel the oceans and are curious and friendly.","大きな羽を持つ巨大なろ過摂食魚. 彼らは海を旅し, 好奇心旺盛で友好的です. "
"manta ray","マンタレイ"
"manta rays","マンタレイ"
"manta ray pup","マンタレイの稚魚"
"manta ray pups","マンタレイの稚魚の"
"majesty","威厳"
