"stuck on research topic","研究テーマに行き詰まる"
"tube","チューブ"
"Fortress guard","要塞の衛兵"
" a mockery of the "," を馬鹿にしたようなもの "
"destroyed ","破壊された "
" Table"," テーブル"
"reciting the poem ","詩の朗読 "
"mountain","山"
"has been cursed","呪われた"
"drink","飲み物"
"sewers","下水道"
"Truth","真実"
"window","窓"
"husband","夫"
"Wood ","木 "
" on the first theme"," 第一の主題における"
"weather","天候"
"I slept in the dirt.","泥の中で寝た"
" close."," 閉じる"
"Guildhall Offices","市庁舎のオフィス"
"Activity Event","活動イベント"
"is very skinny and extremely short","はとても痩せていて極端に背が低い"
" Support"," 土台"
"festivals","祭り"
" lay"," 横たえる"
" of the second theme"," 第二のテーマの"
" Weapon Rack"," 武器掛け"
" of "," の "
"Adding uniform","ユニフォームを加える"
"my ","私の "
"water","水"
"It has no pages.","それにはページがない"
"raised left arms","左手を挙げる"
"thunder","雷"
"It's boring.","それは退屈だ"
"beast","野獣"
"The oppressor has been overthrown!","圧制者は打倒された!"
"Competition","競争"
"Recite Poetry","詩を詠む"
"Harmony","調和"
"Wait for ","待つ "
"easily ","簡単に "
"Discuss ","議論 "
"a toy","おもちゃ"
"Glass Window","ガラス窓"
"storms","嵐"
"cut crystal glass gems","クリスタルジェムをカットする"
"Forging Pit","加熱炉職人取引場"
"more trusting","より信頼できる"
"barrel","樽"
"memorial","記念碑"
" has become a student of "," の学徒になった "
" has constructed a masterpiece!"," 傑作の構造物ができた!"
" grip"," グリップ"
" loses"," 失う"
"Clear glass","透明なガラス"
"coke","コークス"
"a boy","少年"
"You","あなたは"
"[C:4:0:1].Artery torn","[C:4:0:1].動脈破裂"
"less temperate","あまり穏やかではない"
" rhythm"," リズム"
"spins","回転"
"Perform Dance","踊る"
"Unnamed magma sea area","名前のないマグマの海エリア"
"theme","テーマ"
"treasure","財宝"
"trees","木"
"That's very amusing.","それはとても面白い"
"Track/Ramp (NEW)","トラック/ランプ (NEW)"
"cheese","チーズ"
"Settings","設定"
" Bars"," 棒"
"Family","家族"
"So disgusting...","とてもウンザリだ***"
"Amusing.","おもしろい"
"Craftsmanship","職人技"
" release"," リリースする"
"Walk","走る"
"is disgusted by tranquility and would that the world would constantly churn with noise and activity","静けさにうんざりしており, 世界が常に騒音と活動でかき回されることを望んでいます"
"more hopeful","より希望の持てる"
"I read ","私は読んだ "
"crystal glass","クリスタルのグラス"
"strong","強い"
"more ambitious","より野心的な"
"Go to Sparring Practice","戦闘訓練に行く"
"Legends","伝説"
"Track/Ramp (NE)","トラック/ランプ(NE)"
"lively","生き生きした"
" Rollers"," ローラー"
" make"," 作る"
"is quite cheerful","かなり楽しい"
"blocks","ブロック"
" has stolen "," 盗んだ "
"dining","食事をする"
"ballista arrow head","バリスタの矢尻"
"seeds","種"
"Construction","建築物"
"be graceful","優雅な"
" creature"," クリーチャー"
"large ","大きい "
"justice","正義"
"be moderately soft","ちょっと柔らかい"
"water clocks","水時計"
"Track (NE)","トラック(NE)"
"the crank","クランク"
"more polite","より礼儀正しい"
"I'm going to visit the shrine.","聖地を訪れるつもりだ"
" as well as "," 同様に "
"I'm so confused.","私はとても混乱している"
"Preach on ","説教する "
" strikes at "," 打つ "
"even ","さえ "
"Track (W)","トラック (W)"
"Unknown","不明"
"That's very annoying.","それはとても不快だ"
"an improvised dance, ","即興の踊り "
"dirty ","汚れ "
"*START REGION SAVE*","スタート地域のセーブ"
"rumors","うわさ"
"rebirth","復活"
"monster","モンスター"
"Exotic Clothing Shop","エキゾチックな衣料品店"
"Market Stall","屋台"
"I slept without a proper room.","適切な部屋なしに寝た"
" was the only great power in the world."," 世界のまだに偉大な力だった"
"less proud","あまり誇り高くない"
"Macro, Save","マクロ, セーブ"
"[C:4:0:1]Moderate fever","[C:4:0:1]熱が出ている"
"I wrote ","私は書いた "
"Floor Bars","床置き棒"
"Go to Sparring Match","練習試合へ行く"
", but the attack passes right through!","だが, 攻撃は空振った"
"less hopeful","より希望の持てない"
"strength","強さ"
"parent and spouse","親と配偶者"
"praying to ","祈り "
"factors","要素"
"Unsolved.","未解決だ"
"tame ","テイム "
"I feel somewhat sad.","なんとなく悲しい"
"branch","枝"
"We are going the wrong way.","道を間違えている. "
"factor","要素"
"cloth shop sign","布製品店の標識"
"tree","木"
" a lucid and powerful sermon."," 明快で力強い説法だ. "
"The music continues.","その音楽は続く"
"Weapon Rack","武器掛け"
"Toy","玩具"
" picks up "," 拾得 "
"Warm","暖かい"
"Stone-Fall Trap","落石の罠"
"Unknown artwork","未知の芸術品"
"often","よく"
"Power","力"
" members"," メンバー"
"Continue active game","ゲームを続ける"
"Number of Mountain Caves","山にある洞窟の数"
"Killed by a vehicle","乗り物に殺された"
"passive","受動的な"
" sloppily"," だらだらと"
" Window"," 窓"
"Track (NSEW)","トラック(NSEW)"
" bring"," 持参する"
"true","真実"
" delivering a virtuoso performance on the "," で名人芸を披露した "
"Spears/Spikes","スピア/スパイク"
"Rainfall","降雨量"
" Gear Assembly"," 歯車装置"
"Perform Music","音楽を演奏する"
"Track (NW)","トラック(NW)"
" coda"," 終結部分"
"Go to ","へ行く "
"be joyful","楽しい"
"Unknown underground area","未知の地下エリア"
"Animal Workshop","動物解体場"
"That was satisfying.","それは満足させた"
"Tradition","伝統"
"quiver","矢筒"
" playing make believe."," おままごと"
"ash paste","灰のペースト"
"Guard post","衛兵詰所"
"Create","作成"
"prefers a noisy, bustling life to boring days without activity","活動のない退屈な日々よりも, 騒がしく賑やかな生活を好む"
"the hourglass","砂時計"
"a verse","詩句"
" from behind"," の後ろから"
"lye slush","アクの泥"
"Tanning Workshop","皮なめし場"
" my "," 私の "
"yourself","あなた自身の"
"wind","風"
"be very soft","とても柔らかい"
"Armorsmithing Pit","防具職人取引場"
"Pond","池"
"be soft","柔らかい"
" Chain"," 鎖"
" on the theme"," そのテーマにおける"
"Saving tracking info...","トラックインフォメーションをセーブしています"
"Force","力"
"suicide","自殺"
"[C:4:0:0]Thirsty","[C:4:0:0]喉が渇いている"
" Rope"," ロープ"
" bells"," 鐘"
"is very short with well-defined muscular","はとても背が低いがすばらしい筋肉美だ"
" were unable to complete the "," 完成させるのは不可能だった: "
"Knowledge","知識"
" chop"," 肉のかたまり"
"Track/Ramp (NS)","トラック/ランプ(NS)"
"butcher","肉屋"
"a simple passage","単純な楽節"
"This is really exciting!","これは本当にエキサイティングだ!"
"half ","半分の "
"Tower","塔"
" wafers"," ウェーハー"
"the underworld","地下世界"
"Winter","冬"
"Decorum","礼節"
"Entrance","入口"
" adjust"," 調整する"
" lock"," 鍵をかける"
"pressed amber","潰された琥珀"
" forth an awe-inspiring sermon for the ages!"," 時代を超えて荘厳な説法を!"
"combat drills","戦闘訓練"
"the ","その "
"push","押す"
"drops any activity at the slightest hint of difficulty or even the suggestion of effort being required","ほんのわずかな困難のヒント, または努力が必要であるという示唆さえあれば, あらゆる活動をやめます"
"mountains","山"
" strike at "," 打つ "
"shield","盾"
"silence","沈黙"
"fish","魚"
"Calm yourself!","冷静に!"
" open."," 開く"
" of the theme"," のテーマ"
"silently ","静かに "
"metal furniture shop sign","金属家具屋の標識"
"the dungeon","ダンジョン"
"Bone Carving Workshop","骨細工作業場"
"ballista parts","バリスタのパーツ"
"Zoom Out","ズームアウト"
" and "," そして "
"I ate a meal.","食事をした"
" throw"," 投げる"
"pressed ash","潰された灰"
"cage","檻"
" voice"," 声"
"second ","2番目の "
"is fat and incredibly short","は太っていて信じられないくらい背が低い"
"Farm Plot","農場区画"
"rivers","川"
"The poem continues.","その詩は続く"
"mother and wife","母と妻"
"a poem","詩"
"The library","図書館"
"the last of the ","最後の "
"polite","礼儀正しい"
" opens."," 開く"
"Ghost","幽霊"
"is forceful","力強い"
"smoke","煙"
"MEDIUM ISLAND","中規模の島"
"I am wrathful.","怒ったぞ"
" pull"," 引く"
" has returned."," もどってきた"
"This organizational activity will branch into specific worship events.","この組織活動は, 特定の礼拝イベントに分岐します. "
" tangled up."," 絡まった"
"nearby ","近い "
"is incredibly short and skinny","は信じられないくらい背が低く痩せている"
"Listen to Music","音楽を聴く"
"I learned about ","私は学んだ "
"Track (SEW)","トラック(SEW)"
"Bowmaking Pit","弓職人取引場"
"seasons","季節"
"sing","歌う"
"Milliseconds interface shutdown after recenter","再接続後にミリ秒インタフェースはシャットダウンする"
" case"," ケース"
"dreams","夢"
"the introduction","イントロ部分"
" is dead."," 死んだ"
" day"," 日"
"less ambitious","あまり野心的ではない"
"grate","暖炉"
"library","図書館"
" with skill."," スキルで"
"It's astonishing, really.","それは本当に驚いた"
" closes."," 閉じた"
"of ","の "
" keyboards"," キーボード"
"the voice","そのクリーチャーは"
"clothing imports sign","輸入衣料品の標識"
"Gem ","宝石 "
"the story of ","の物語 "
"scepter","王錫"
"Introspection","内省"
"more lustful","より好色な"
"Skill","技術"
"singer","歌手"
" keyboard "," キーボード "
"I'm sorry.  My duty is here.","すまない. 私の仕事はここなんだ"
"carpenter's shop sign","大工店の標識"
" Box"," 箱"
"Your","あなたの"
"Leisure Time","レジャータイム"
"save","セーブ"
"Merriment","歓楽"
"Alias: ","別名: "
"Metal Crafting Workshop","金属加工場"
"View a detailed description of this activity.","このアクティビティの詳細な説明を表示します. "
"[C:4:0:1].Major artery torn","[C:4:0:1].大動脈破裂"
"Depot","倉庫"
"married","既婚の"
"Law","法"
"filth slush","汚物の泥"
"Gear Assembly","歯車装置"
"[C:3:0:1]Slightly numb","[C:3:0:1]少し凍えている"
"Armor Stand","鎧立て"
"Cloth ","布 "
"a sermon on ","についての説教 "
"the synthesis","総合体"
"agents","エージェント"
"blood","血"
"Glass Furnace","ガラスかまど"
"a chorus","コーラス"
"my own","私自身の"
"Chain ","鎖 "
"Socialize","交流"
"Swim","泳ぐ"
"[C:4:0:1]Thirsty!","[C:4:0:1]喉が渇いている!"
"hopelessly meanders","絶望的な迷走"
"The performers are finished.","そのパフォーマーたちは止めさせられた"
"trap component","罠の部品"
"doctors","医者"
"SMALL REGION","小さな地域"
"Detail","詳細"
"I feel loathing.","嫌な感じだ"
"trade","貿易"
"Smaller","さらに小さい"
" twigs"," 小枝"
"cut green glass gems","グリーングラスジェムをカットする"
"Gem Cutting Workshop","宝石加工職人作業場"
"more fearful","より恐ろしい"
"Meeting Hall","会議場"
"years","年"
" now."," 今"
"recite","朗唱する"
"No Cap","上限無し"
"creature","クリーチャー"
" catches"," つかむ"
"music","音楽"
" by the "," により "
"This is nice.","これはいいね"
"I'm anxious.","心配だ"
"500 years","500年"
"Perseverance","忍耐力"
"ammunition","弾薬"
"The dance enters a new section with ","その踊りは新しいパートに入る: "
" Archery Target"," 射的"
" not of the living."," 生きていない"
" Throne"," 玉座"
"laws","法"
"Ponder ","考えこむ "
"Weaponsmithing Workshop","武器職人仕事場"
"This is aggravating.","これは腹が立つ"
"pressed dirt","潰された土"
" paste"," ペースト"
"Actors","俳優"
"[C:6:0:1]Thirsty","[C:6:0:1]喉が渇いている"
"fame","名声"
"slowly ","遅い "
"building","建物"
" dance"," ダンス"
"the piston","ピストン"
"[C:4:0:1]Vision lost","[C:4:0:1]視力を失った"
"more zany","より面白い"
" dancing exceptionally."," 格別に踊る"
" just can't give a sermon very well."," 上手に説法をできない. "
" Coffin"," 棺"
" mumble"," つぶやく"
"doesn't","ない"
"Martial Prowess","武勇"
"Saving world","世界をセーブしています***"
"It's really boring.","それは本当に退屈だ"
"Saving civilized populations...","市民人口をセーブしています***"
"Some children","何人かの子供は"
"be melancholic","物悲しい"
"Up Stair","上階に上がる"
"An army is invading!","軍隊が侵略してきた!"
"Track (SW)","トラック (SW)"
"mead hall","饗宴館"
"fate","運命"
"potash","炭酸カリウム"
"frozen lye powder","凍ったアクの粉"
"Murder","殺人者"
"Activity Zone #","活動区域#"
"Worship","礼拝"
"Listen to Poetry","詩を聞く"
"bracelet","ブレスレット"
"Furniture ","家具 "
"very slowly ","とても遅い "
" roots"," 根"
"oceans","太陽"
"green glass","緑の草"
"Water Wheel","水車"
"Stoicism","忍苦"
"still ","いまだ "
"relaxed","リラックスした"
"Use Creature Seed","クリーチャーシードを使う"
" is absolutely flawless."," 絶対に完璧です"
"I slept on ice.","氷の上で寝た"
"raised arms","両手を挙げる"
"again ","もう一度 "
"[C:4:0:1]Starving","[C:4:0:1]飢えている"
"Individual Combat Drill","個人戦闘訓練"
"I visited ","私は訪問した "
"ring","指輪"
"Lead Combat Training","戦闘訓練をする"
" bend"," 曲げる"
"Simulate ","シミュレートする "
"powder","粉"
"Unnamed Underworld area","名前のない地下世界エリア"
"the sewers","下水道"
"molten salt","溶けた塩"
"grime","垢"
"itself","それ自体"
"I slept in a bedroom.","ベッドルームで寝た"
"Pause","ポーズ"
"[C:5:0:1].Gelded","[C:5:0:1].去勢されている"
" gem"," 宝石"
" hammerstrike"," ハンマーストライク"
" some of the words."," いくつかの言葉"
"POCKET ISLAND","極小の島"
"50 years","50年"
"Track/Ramp (S)","トラック/ランプ (S)"
"quern","石臼"
"Crafts Market","工芸市場"
"It","それは"
"The pages are blank.","ページは空っぽだ"
"Track/Ramp (E)","トラック/ランプ  (E)"
"I'm optimistic.","楽観している"
"Use Seed","シードを使う"
"There is a temple","寺院がある"
"[C:3:0:1]Paralyzed","[C:3:0:1]麻痺"
" Sarcophagus"," 石棺"
"bowyer's shop sign","弓屋の標識"
"caverns","洞窟"
"One member","1人のメンバー"
"Organizations","組織"
" was abandoned."," 放棄された"
"plants","植物"
"the powers of the world were fading","その世界の偉大な力は隠れてしまった"
" weave"," 織る"
"leaf or fruit","葉と果物"
"is skinny and incredibly short","は痩せていて信じられないくらい背が低い"
"spinning ","回転している "
" recite"," 暗唱する"
"family","家族"
"Update equipment","装備をアップデートする"
"a dungeon","ダンジョン"
"calm","冷静に"
"Ammo ","弾 "
"You continue the dance.","あなたは踊り続ける"
"You enter ","あなたは入る "
"I feel so anguished...","私はとても苦悩している***"
" empties "," 空にする "
"Unknown region","未知の地域"
" Door"," ドア"
"Treasury","宝物庫"
"Sheet ","シート "
"cut clear glass gems","クリアグラスジェムをカットする"
"A performance","パフォーマンス"
"millstone","道標"
"*START REGION GEOLOGY SAVE*","スタート地域の地質セーブ"
"untitled ","無題の "
" theme"," テーマ"
"SMALLER ISLAND","さらに小さな島"
