"more presumptious","более уверенный в себе"
"I'm not gleeful.","Я не рад."
" constant accompaniment.  "," постоянный аккомпанимент "
"Allow plant/animal","Разрешить растительное/животное"
"is extremely long with muscle and fat in equal measure","чрезвычайно высокий, мускулистый и жирный"
"What will you say about your master?","Что вы скажете о своем хозяине?"
"Methods","Методы"
"Needs ground or near machine","Нужна поверхность или машина рядом"
"cultural history","история культуры"
"stagnant pool","стоячий водоём"
"Acknowledge lack of elation","Признать недостаточный восторг"
"Ask for permission to stay for a day","Попросить разрешения остаться на день"
"You have my thanks.","Я благодарен вам."
"whip","кнут"
"Not visible","Не видно"
"Emotional obsessive","Навязчивый"
"visited","посетил"
" try"," попытайтесь"
"Increase the priority of the task in this workshop.","Повысить приоритет задачи в этой мастерской."
"the unexpected death of somebody","неожиданная смерть кого-то"
"It's my mess.","Это моя ошибка."
"Loading schedules...","Загрузка расписаний..."
"The world generator is having trouble placing low-lying caves.  ","Генератору мира не удалось разместить низлежащие пещеры.  "
"doesn't find power particularly praiseworthy","не считает власть чем-то заслуживающим похвалы"
"Midmap creation failure on graphical map export: ","Сбой при создании средней карты при экспорте графической карты: "
"massacring ","устраивают бойню "
"Cultural history","История культуры"
"drowsy","сонный"
"Acknowledge lack of unhappiness","Признать недостаток несчастья"
"more difficult","труднее"
"Envious","Завистливый"
"being away from animals for so long","быть вдали от животных так долго"
"stars","звёзды"
"a large deficit of willpower","большой дефицит воли"
"Comparative Anatomy","Сравнительная анатомия"
"vengeful","мстительность"
"overflows with sadness","наполняет грустью"
"If you are carrying too much, you'll see an encumbrance indicator above the inventory button.  Encumbrance can cause you to move very slowly and should be avoided if possible.  ","Если вы несёте слишком много, вы увидите индикатор перегрузки над кнопкой инвентаря.  Перегрузка может вас очень сильно замедлить, и её стоит избегать.  "
"Grand Master","Великий мастер"
"Infamous brigand","Печально известный разбойник"
"Go downward.","Двигаться вниз."
"is quick to anger","- вспыльчивая натура"
"I slept in the mud.","Я спал в грязи."
" was abandoned"," была заброшена"
"Not enough low-lying cave locations after location check","Не достаточно пещер в низменностях после проверки"
"sleeping on the floor","сна на полу"
"Roughly a hundred live there","Здесь живет примерно сто человек"
" is visiting."," посещает."
"died in a trap","умер в ловушке"
"elk","лось"
"Mercenary petitions: reject","Петиция наемника: отклонить"
"From beginning to end, when improvising","От начала до конца при импровизации"
"bed","кровать"
"File not found: ","Файл не найден: "
"disdains even the best advice of associates and family, relying strictly on ","пренебрегает даже лучшими советами товарищей и семьи, предпочитая полагаться исключительно на "
"will be ","будет "
"the compilation of many summaries into a single text","компиляция кратких изложений в один текст"
"processable ","перерабатываемый "
" years of membership"," лет членства"
"Removing stairs/ramp/constructions","Снос лестниц/пандусов/конструкций"
"I slaughtered an animal.","Я забил животное."
"History length","Длительность истории"
"Walking spreads spatter","Ходьба создаёт брызги"
"called the ","называется "
"The vegetation is bent here.","Растения погнуты."
"[C:3:0:0]Zones[C:7:0:0] are areas you designate where your citizens will work, socialize, rest, or perform specific duties. ","[C:3:0:0]Зоны[C:7:0:0] - это области, которые вы обозначили, где ваши жители смогут работать, общаться, отдыхать или выполнять определенные обязанности. "
"a raid","набег"
"Died after colliding with an obstacle","Умер от столкновения с препятствием"
"have small lobes","имеют маленькие мочки"
" half"," половина"
"the proclamation of a series of oppressive edicts upon ","провозглашение серии несправедливых указов на "
"High Master","Высший мастер"
"The easiest way to move is to left click in the play area.  Your character will path to the target tile if possible.","Простейший способ начать движение - кликнуть левой кнопкой мыши по игровой карте.  Ваш персонаж проложит путь к нужной точке, если она достижима."
"not going to take much more of this","больше не вынесет этого"
"philosophy:aesthetics:nature of beauty","философия:эстетика:природа красоты"
" get"," запутались"
"the path of the moon","путь луны"
"considering","оценивает"
"I yelled at somebody in charge.","Я наорал на кого-то."
"[C:5:0:1].Butchered","[C:5:0:1].Зарезанный"
"I had a nightmare about my deceased sibling.","Мне снился кошмар о моём умершем близком родственнике."
"is very long, muscular and fat","очень высокий, мускулистый и жирный"
"Self-control","Самоконтроль"
"Failed to find vanilla interface header.","Не найден заголовок оригинального интерфейса."
"greater than","больше, чем"
"add fills","добавлять заполнения"
"It has been long time since I've done something creative.","Я уже давно не занимался творческой работой."
"I'm not much of a decision maker.","Я не очень люблю принимать решения."
"You could not find a partner.","Вы не можете найти партнера."
"finds the idea of fair-dealing foolish and cheats when ","считает идею честного сотрудничества глупостью, и обманывает, когда "
" used poor tactics"," использовал плохую тактику"
"Disengaged","Незанятый"
"maintain balance in universe","поддерживать равновесие во вселенной"
"Nobody is free, and it is pointless to act as if you are.","Бессмысленно поступать так, будто бы ты свободен, потому что никто не свободен."
"the ghost of my child","призрак моего ребенка"
"be made with skill","исполняться с умением"
"That sounds just like the ","Это звучит как "
"The guilt is almost unbearable!","Это чувство вины просто невыносимо!"
" was a "," был "
"Huge Non-Prone Profile","Огромный прямой профиль"
"Agreement concluded","Договор заключен"
"Unnamed underground area","Безымянное подземелье"
" over the latter's romantic relationship"," по романтическим отношениям последнего"
"Merchant company","Торговая компания"
" adjusts"," улаживает"
"training","тренировочный"
"a legendary drink","легендарного напитка"
"You have selected a savage area.","Вы выбрали дикую местность."
" has sprung from ambush!"," выскочил из засады!"
"State opinion that this is the life for you","Сказать, что это ваша жизнь"
"Drain aquarium","Осушить аквариум"
"Biter","Кусатель"
"severity","суровость"
"Release choke of ","Освободить удушающий захват "
"Needs: ","Нужно: "
"I have fallen for ","Я упал на "
"A migrant has decided to brave this terrifying miserable place.","Мигрант решил отважиться прийти в это ужасающее жалкое место."
"the journey of ","путешествие "
"after taking heavy losses in battle","после принятия тяжелых потерь в бою"
"discourse on the nature of events","рассуждения о сущности событий"
"tallow ","смалец "
"torture","пыток"
"How will you respond to the invocation?","Что вы ответите на эту мольбу?"
".  This menu will also show you how stealthfully you are moving.",".  Это окно также показывает, насколько скрытно вы движетесь."
"torn out","вырвана"
"Doubt","Сомнение"
"warehouse","склад"
"I must withdraw!","Я вынужден отступить!"
"Grabbed their ","Хватает их "
"Pop","Нас"
"woodworker","мастер по дереву"
"Now we will live under ","Сейчас мы живём под "
"the construction and use of mural instruments","изготовлением и использованием инструментов для изготовления фресок"
"Untamed wilds","Дикие дебри"
"State feelings of great vengefulness","Выразить сильное чувство мстительности"
"Ha ha ha...  You're funny!","Ха-ха-ха... Вы смешной!"
"Give a sermon","Проповедовать"
"an infamous murderer","печально известный душегуб"
"Mountains and Valleys","Горы и долины"
"being reunited with a loved one","воссоединился со своей любовью"
"The musician blows through a double reed at one end","Музыкант дует через двойную трость на одном конце"
"Squad member","Член отряда"
"Track/Ramp (SE)","Спуск рельс (SE)"
"the World's Shape","Форма Вселенной"
"  After enduring an interrogation","  После проведения допроса"
"A diplomat could not complete a meeting and has left unhappy.","Дипломат не смог завершить встречу и ушел недовольным."
"happiness","счастьем"
"interrupts others during conversations when ","перебивает собеседника, когда "
"the Moving Sun","Движущееся Солнце"
"Do not avoid a necessary conflict today.","Не избегайте необходимого конфликта сегодня."
"Popup: Wrestle","Всплывающее окно: Борьба"
"proof by contradiction","доказательство от противного"
"more of a thrill seeker","более склонен к поиску острых ощущений"
"Overall, the poetry is masterful","В целом, стихи написаны мастерски"
"Sleep or wait a while.","Спать или ждать."
"Not enough mountain cave locations after location check","Не достаточно горных пещер после проверки"
"the imported clothing market","рынок импортной одежды"
"Bridge","Мост"
"Office","Кабинет"
"along a clockwise circle","вдоль окружности по часовой стрелке"
"Track/Ramp (N)","Спуск рельс (N)"
"Late ","конец "
"is a nervous wreck","испытывает нервное истощение"
"Please maintain your dignity.","Берегите честь смолоду."
"I had a drink without using a goblet.","Мне пришлось пить без кружки."
"Saving mandates...","Сохранение поручений..."
"being tormented in nightmares by a dead animal training partner","мучения кошмарами об умершем партнёре по тренировке животных"
"the Powers","Степени"
"is incredibly muscular and very thin","невероятно мускулистый и очень тонкий"
"Open the objects menu.","Объекты"
"the Temple","Храм"
"State minor feeling of pride","Выразить лёгкое чувство гордости"
"commonly winks as a form of greeting","часто подмигивает, вместо приветствия"
"crushed an insurrection in ","подавил восстание в "
"I'm concentrating on something.","Я сконцентрирован на чем-то."
"Through ","Сквозь "
"stone ","камень "
"is slow","медленно"
"becomes completely helpless in stressful situations","- сама беспомощность в стрессовых ситуациях"
"abducting somebody","похищать кого-то"
"being unable to be extravagant for so long","будучи не в состоянии быть экстравагантным так долго"
"gave in to fear of death","поддался страху смерти"
" the breath."," дыхание."
"the former apprenticeship of","бывшее ученичество"
"Construct building","Построить здание"
"Display Furniture","Показать Мебель "
"--- Logging Plant ","--- Регистрация растений "
"Doors/hatches","Двери/люки"
"  Allies surrounding "," Союзники окружают "
"another","другая"
"repeating in each stanza","повторяется в каждой строфе"
"not a half hour ago","меньше получаса назад"
"Suggest talking to ","Посоветовать поговорить с "
"Change tab or highlight selection","Переключить вкладку или выделение"
"less lustful","менее похотливый"
"full moon","полная луна"
"Text mode is not supported for now","Текстовый режим в данный момент не доступен"
"Second","Второй"
"waning crescent moon","убывающий серп луны"
"path","путь"
"the volcano","вулкан"
"Dioptras","Диоптры"
"I was far away.","Я был далеко."
"the Underground","Подземелье"
"alarm","тревога"
"slightly protruding","слегка выпуклые"
"rough gem graphics","грубая графика самоцветов"
"You last spoke ","В последний раз вы разговаривали "
"Promise of Position","Пообещать должность"
"Autosave the game after embark","Автосохранение игры после высадки"
"depravity","разврат"
":pipes:pipes",":трубки:трубки"
"Sluggish","Вялый"
"(Adventure) Awaken","(Приключение) пробуждение"
"Hold to hope when all else is lost.","Держитесь за надежду, когда все остальное потеряно."
" guildhall"," зал гильдии"
"both","оба"
"Enterprise","предприимчивости"
"the Caverns","Пещеры"
"Checking directory structure...","Проверка структуры каталогов..."
"Add new burrow","Создать нору"
"Popup: The world","Всплывающее окно: Мир"
"Wall","Стена"
"What will you say about the incident?","Что вы скажете об этом инциденте?"
"Advancing interactions","Продвижение взаимодействий"
"been found dead.","был найден мёртвым."
"Spread rumor of the occupation of ","Распространить слухи об оккупации "
"I'm confused.  Did you want something?","Я в замешательстве.  Вы что-то хотели?"
" suspended the construction of "," приостановили строительство "
"No Artifact/","Нет артефакта/"
"You must move away from surrounding obstacles such as the site's walls and rivers before you can travel.","Прежде чем путешествовать, нужно отойти от окружающих препятствий, таких как стены или реки."
"There are no named objects here.","В крепости нет названых объектов."
"Cunning","Хитрость"
"completely swollen","полностью распух"
" for "," для "
" are plagued by bandits.  The gang"," подвергаются нападениям бандитов. Банда"
"owner","владелец"
"the comparison of the anatomy of creatures","сравнение строения существ"
"folded sheet protector","свернутая обёрточная бумага"
"If you want to offer your condolences, ","Если хотите принести свои соболезнования, "
"prevented from leaving","не может уйти"
"State feelings of aversion","Выразить чувство отвращения"
"War buddy","Боевой приятель"
"terrific","ужасающе"
"Farming/Related","Сельское хозяйство/смежное"
"Skirmishing","перестреливаясь"
"mathematics:geometry:existence of incommensurable ratios","математика:геометрия:существование иррациональных чисел"
"Minecart rollers can vary in length.","Ролики для мини-карт могут быть разной длины."
"You were","Вы были"
"mathematics:geometry:area enclosed by line and parabola","математика:геометрия:площадь фигуры, образованной прямой и параболой"
"They suspected the involvement of ","Они подозревали причастность "
"build a fire","разжигать огонь"
"is utterly fearless when confronted with danger, to the point of lacking common sense","ведёт себя абсолютно бесстрашно перед любой опасностью, доходя порой до безрассудства"
"being near to a conflict","при нахождении рядом с конфликтом"
"Left click on an alert for recentering options, and right click to dismiss an alert.","Левый клик по предупреждению открывает окно перехода.  Правый клик закрывает предупреждение."
"southeast","юго-востока"
"[C:3:0:1]Cleaned","[C:3:0:1]Очищено"
"Unknown bar graphics material: ","Неизвестный материал барной графики: "
"Unit lists: Sort by job","Список юнитов: сортировать по работе"
"Personal freedom must be tempered by other considerations.","Личная свобода должна быть ограничена другими соображениями."
"boiling green glass","пары зелёного стекла"
"The world generator is having trouble placing forests.  ","Генератору мира не удалось разместить леса.  "
"Reputation:","Репутация:"
"Standing orders","Настройки работ"
"Gwargh!","Агррр!"
"Such a relief!","Какое облегчение!"
"the Cause of Twilight","Причина явления сумерек"
"Pillar","Колонна"
"You have a fever.","У вас жар."
"is muscular and extremely thin","мускулистый и чрезвычайно тонкий"
"Cloth (Silk)","Ткань (шёлковая)"
"Quit without saving","Выйти без сохранения"
"Not ambitious","Не амбициозный"
"unglazed ","неглазурованный "
"breaking away","отрывая"
" was seen being passed to a thief!"," по словам свидетелей, был передан вору!"
"Although my own insignificant beliefs lie elsewhere,","Хотя я всё ещё убеждён в другом,"
"very low","очень низкий"
" stops and pays attention to you."," останавливается и смотрит на вас."
"Jeweler","Ювелир"
"Values power","Уважает силу"
"Shot and killed","Застрелен"
"alliteration","аллитерация"
"Dirt road","Грунтовая дорога"
"Being traded","Быть проданным"
"Forbid your death items during sieges","Запретить собственные трофейные вещи во время осад"
"Select weapon.","Выберите оружие."
"doesn't really value independence one way or another","так или иначе по-настоящему не ценит независимость"
" empty "," опустошаете "
"Forbid other non-hunted dead","Запретить прочих, не добытых охотой, мертвецов"
"rumored intruder","известный по слухам злоумышленник"
" partner"," партнёр"
"defeated","поражение"
"exec crucified","распят"
"The vomit falls away into the underworld.","Рвоте уходит в подземный мир."
"Seems a pleasant enough ","Довольно комфортно "
"legendary flatterer","легендарный льстец"
"Beekeeper","Пчеловод"
"[C:7:0:0]Vision somewhat impaired","[C:7:0:0]Ухудшение зрения"
"This is so humiliating.","Это так унизительно..."
"Ignorance","Невежество"
"Saving interactions...","Сохранение взаимодействий..."
"Strangle ","Душить "
"You gain possession of the ","Вы восстанавливаете контроль над "
"[C:3:0:1].Slight numbness","[C:3:0:1].Лёгкое онемение"
"dining halls.","обеденный зал."
"twenty thousand","двадцать тысяч"
"Assign a station order.  The soldiers will stand near the point selected and engage any hostile creatures that come near.","Отдать приказ удержания позиции. Солдаты будут стоять рядом с выбранной точкой и вступать в бой с любыми враждебными существами, которые приблизятся."
"diagnostician","диагност"
"exceptionally prepared ","необыкновенного приготовления "
"Thread (silk)","Нить (шёлковая)"
"Site government","Местное правительство"
" into the "," в "
"are","-"
"Be with family","Быть с семьёй"
"surveying by triangulation","съёмка местности триангуляцией"
"is dour as a rule","как правило, сохраняет строгий нрав"
"Underworld spire","Шпиль подземного мира"
"the Ocean","Океан"
"Movement","Перемещение"
"Fortification carving blueprint","План вырезания бойниц"
" training methods."," методы тренировки."
"Retracted ","Убранный "
"Population: ~10","Население: ~10"
" fairly"," честно"
"the construction and use of the blast furnace","изготовлением и использованием доменной печи"
" pairs"," пары"
"Don't travel alone at night, or the bogeyman will get you.","Не путешествуйте в одиночку ночью, иначе бугимен схватит вас."
"acquired favorite animal as pet","приобретено любимое животное в качестве питомца"
"Tired","Устал"
"The throne room","Тронный зал"
"be broad","быть грубым"
" (Rusty)"," (Подзабыл)"
"the Grassland","Луга"
"knocked out by cavein","сбит с ног обвалом"
"star catalogues","каталоги звёзд"
"Dismiss minor existential crisis","Отклоните незначительного экзистенциального кризиса"
"What will you say?","Что вы скажете?"
"Conquer and occupy","Завоевать и оккупировать"
"A force of evil has arisen in the world.","Силы зла появились в мире."
" bed"," кровать"
"neither favored","ни один не одобрен"
"the reliability of sources","надёжность источников"
"Assume identity","Притвориться"
"Keybindings","Клавиатура"
"famous treasure hunter","знаменитый охотник за сокровищами"
"State that it is for the best","Сказать, что это к лучшему"
" appears to acquiesce.",", похоже, соглашается."
"the tower","башня"
"Legendary","Легендарный"
" ranged weapons"," оружие дальнего боя"
"Organize Combat Training","Организовывать боевую подготовку"
"Preliminary cleaning...","Предварительная очистка..."
"Rely on willpower to see you through.","Положитесь на силу воли, чтобы увидеть себя со стороны."
"Your unfortunate citizens are taken to the [C:1:0:1]Hospital[C:7:0:0] when injured.  There they will rest and given water until ","Ваши несчастные поселенцы будучи раненными попадают в [C:1:0:1]госпиталь[C:7:0:0].  Там они будут отдыхать и получать воду, пока "
" speaking with "," разговаривает с "
"Make sure your parameters and raw objects have adequate vegetation.  ","Убедитесь, что ваши параметры и raw-объекты содержат необходимые растения.  "
"bone doctor","костоправ"
"Thrower","Метатель"
"Vomit","Рвота"
"has a strong tendency toward privacy","очень склонен к скрытности"
" values romance"," ценит романтику"
"Grab Ammunition","присвоить амуницию"
"Imported food market","Рынок импортной еды"
"Generating items...","Генерация предметов..."
"No squads available","Нет доступных отрядов"
"is broad and muscular","коренастый и мускулистый"
"was not afraid and refused","не боялся и отказался"
"Could not remove destination directory when synchronizing save!","Не удалось удалить целевой каталог при синхронизации сохранений!"
"is broad and fat","коренастый и толстый"
"the Ice","Лёд"
"You can do this from the Nobles and Administrators menu.","Вы можете сделать это из меню ""Знать и администрация""."
"Intelligent wilderness creatures live in the indicated locations","Разумные дикие существа живут в указанных выше местах"
"Gastroliths seem to have correct format but could not find proper BPs in any caste, so not added","Гастролиты, похоже, имеют правильный формат, но не удалось найти подходящих ВР ни в одной касте, поэтому они не добавлены."
"That wasn't amazing.","Тут нет ничего удивительного."
"This work order is checking its conditions for activation.","Этот заказ на работу проверяет свои условия для активации."
"Normal strike","Нормальный удар"
"World name","Название"
"Your trap was robbed of the ","Из вашей ловушки забрали "
" religion of "," религия "
"astronomy:phases of the moon","астрономия:фазы луны"
"the Equinoxes","Равноденствия"
"the Theft","Кража"
"Scales are constructed from ","Музыкальный строй собирается из "
"in order to be rescued","для того, чтобы спастись"
"Polish stones","Полировать камни"
"Made","Применил"
", position ",", позиция "
"Axe","Топор"
" own"," собственный"
"willing to trade","готов торговать"
"surgeons","хирурги"
"the infiltration of ","проникновение "
" pitch.  "," тона. "
"The rhyme","Рифма"
"Grand Mausoleum","Величественный мавзолей"
"Save to timeline folder: ","Сохранить линию времени в папку: "
"The vomit burns away in the lava.","Рвота сгорает в лаве."
"I was cried on by an unhappy worshipper.","Мне поплакался несчастный поклонник."
"Others were too nervous to make the journey to this miserable fortress.","Другие слишком боялись отправиться в это убогое поселение."
"Terrified of you","В ужасе от вас"
"I'm ","Мне "
"Be playful today.","Веселитесь сегодня."
" in a rigid posture"," в оцепенении"
"[C:4:0:1]Autumn","[C:4:0:1]Осень"
"High stamina","Высокая выносливость"
"There are several kinds of [C:3:0:0]Zones[C:7:0:0], which you can see in the panel on the left.","Существует несколько видов [C:3:0:0]Зон[C:7:0:0], которые вы можете увидеть на панели слева."
" Upward Track (NE)"," подъём рельсов (NE)"
"less confident","менее уверенный в себе"
"Maximum Natural Cave Size","Максимальный размер природных пещер"
"'s abandonment"," исход"
"Assign messengers.","Назначить гонцов."
" member"," член"
"This is ","Это "
" is thinking about something"," думает о чём-то"
" by a "," с помощью "
"State feelings of great hope","Выразить чувство большой надежды"
"You are too kind.","Вы слишком добры."
"lust","похоть"
"Subterranean Water","Подземные воды"
"to refuse consolation","чтобы отказаться от утешения"
"What?","Что?"
"value ","цена "
" was most often depicted as a "," чаще всего изображается в виде "
"Popup: Stocks","Всплывающее окно: Склады"
"medicine:theory:prognosis","медицина:теория:прогнозирование"
"was killed by a vehicle","убит вагонеткой"
"is weak with little fat and just incredibly thin overall","слабый, с малым количеством жира и просто невероятно тощий"
"your more ethical works.  We've come to trade.","вашей высокоэтической работой.  Давайте торговать."
"Leave Vacant","Оставить пустым"
"Megabeast","Чудовище"
"member to give orders,","отряда для приказаний,"
" is throwing a tantrum!"," переживает нервный срыв!"
" crude"," грубый"
"tracheotomy surgery","трахеотомия"
"Water Source","Источник воды"
"State feelings of contempt","Выразить чувство презрения"
"Reaction","Реакция"
"Unnamed barracks","Безымянные бараки"
"plant part","часть растения"
"'s claim"," требование"
"Hopeful","Полный надежд"
"as a ","в качестве "
" is dead?"," мёртв?"
"Sorting creature bodies...","Сортировка тел существ..."
"Sabotage","Диверсия"
"Medical School","Медицинская школа"
"Let us leave as soon as possible.","Давайте отправимся как можно скорее."
"the keep","крепость"
"There are no fewer than ","Здесь не меньше "
"It's worrisome.","Это беспокоит."
"Range: ","Диапазон: "
"Gregarious","Общительный"
"has an incredibly short body but still manages to be very fat","имеет невероятно короткое тело, но при этом умудряется быть очень толстым"
"At your location","Там, где вы находитесь"
"an awful bedroom","ужасной спальне"
"somewhat short","довольно низкий"
"philosophy:logic:direct inference","философия:логика:прямое умозаключение"
"engineering:machine:camshaft","инженерия:машины:распределительный вал"
"nearly fuse-lobed","с почти слившимися мочками"
"Werebeast Attack Population Rating","Рейтинг популяции для нападения оборотней"
"discord","хаос"
"an enemy of","врагом"
"Skip tutorial","Пропустить"
" with a hundred or more others"," с сотней или более других"
"Create a performance troupe together (group naming menu)","Создать труппу вместе (меню названия группы)"
"Considers bully","Считает хулиганом"
" flattering remarks in order to elicit information."," лесть, чтобы получить нужную информацию."
"Rescue Agreement","Договор о спасении"
", including ",", включая "
"Forbid your citizens from using an item or building.","Запретить своим гражданам пользоваться каким-либо предметом или постройкой."
"Similar Triangles","Подобные треугольники"
" did not name "," не назвал "
"leather goods shop sign","знак лавки кожаных изделий"
"have no tomb","нет гробницы"
"the Staff","Оборудование"
", led by ",", во главе с "
"mathematics:geometry:area of circle","математика:геометрия:площадь круга"
"suffocated.","задохнулся."
" in which the former emerged victorious",", в которой первый вышел победителем"
"I'm so distressed about this!","Я очень огорчен!"
"myxolydian","миксолидийский"
"medicine:theory:pulmonary circulation","медицина:теория:циркуляция в лёгких"
"engineering:horology:water clock","инженерия:часовое дело:водяные часы"
"bitterness","горечь"
"[C:7:0:1].Moderate pain","[C:7:0:1].Умеренная боль"
"State that it is terrific","Сказать, что это ужасающе"
"surgical models","хирургические модели"
"Is it really you?","Это правда вы?"
"I really don't see this working out.","Я очень сомневаюсь, что это сработает."
" box"," сундук"
"in order to find sanctuary","чтобы найти храм"
"build as it proceeds","строиться по мере исполнения"
"relations","отношения"
"Beast guzzles drink","Животное пьёт"
"a murderer","душегуб"
"the grid and the months of the year are shown down the left side.  To assign different orders ","сетка, а слева внизу отображаются месяцы года. Чтобы назначить различные порядки "
"Saving art forms...","Сохранение форм искусства..."
"Working","Работа"
" Demonstration"," демонстрацию"
"Insufferable!","Это невыносимо!"
"Glassmaking","Стекловарение"
"does not care about fairness","не заботится о честности "
"the scarcity of cages and chains","дефицит клеток и цепей"
"DOOR USED BY INTRUDER","ДВЕРЬ ЗАНЯТА ЛАЗУЧИКОМ"
"the abandonment of ","покидание "
"incommensurable ratios","иррациональные числа"
"values self-control","ценит самоконтроль"
"Upright ","Выдвинутый "
"Values sacrifice","Ценит жертвенность"
"I feel no remorse.","Я не чувствую раскаяния."
"see the great natural sites","посетить природные достопримечательности"
"heirloom","фамильная ценность"
" stands"," стойки"
"Goals","Цели"
"finds ","считает "
"Track carving blueprint","План для вырезания рельс"
"The instrument has flue pipes and free reed pipes.  ","Инструмент имеет лабиальные и свободные язычковые трубки. "
"There is writing in the book, but you cannot read.","В книге что-то написано, но вы не умеете читать."
" recited "," декламировал "
"Refuse to share this information","Отказаться делиться этой информацией"
"State minor feeling of happiness","Выразить лёгкое чувство счастья"
"broad","широких"
"Seek Animal for Taming","Ищет животное для укрощения"
"I was accosted by ","Ко мне обратился "
"Nature","Природа"
"finds the humor in most situations","находит долю юмора в большинстве ситуаций"
"artwork defaced","произведение искусства испорчено"
"In Anguish","В страданиях"
" always "," всегда "
"more dutiful","более ответственный"
"Peddler","Разносчик "
"extremely short","чрезвычайно низкорослый"
"Offer listener your position as ","Предложить должность "
"Stay the course.","Следуйте курсу."
"Track/Spoor","Следить/выслеживать"
"This insidious evil is ","Это коварное зло "
"forced to drink bloody water","приходилось пить кровавую воду"
"Failed to find vanilla descriptors header.","Не найден заголовок оригинальных описателей."
" time"," времени"
"Where are their forces?  Are there patrols or guards?","Где их основные силы?  Есть ли патрули и стража?"
"the Sewers","Канализация"
"Invader death aversion (two deaths)","Захватчики: избегание смерти (2 смерти)"
"I chained up a creature.","Я сажаю существо на цепь."
"The world generator is having trouble placing mountain caves.  ","Генератору мира не удалось разместить горные пещеры.  "
"Paved Road","Мощёная дорога"
"Stray ","Ничей "
" sees these tendencies as an impediment to the quest for power"," считает эти склонности препятствием на пути к силе "
"Expulsion","Изгнание"
"a market square","рыночная площадь"
"I feel such unbearable sadness...","Я наполнен невыносимой печалью..."
"Brooding darkly...","Погружён в мрачные мысли..."
"pestered by flying micro vermin","отвлечен летающими микро вредителями"
"active sermon refuse value","отвергаемая ценность текущей проповеди"
" mind after forming an initial idea"," первоначальную точку зрения"
"cracks ","хрустит "
"At one with ","Любил "
"I made ","Я "
"There is no specific information for this activity.","Нет подробной информации об этой деятельности."
" has a well-defined multi-passage structure: "," имеет четко различимую структуру с несколькими проходами: "
"mathematics:geometry:properties of chords","математика:геометрия:свойства хорд"
"the impersonation of ","воплощение "
"Mill ","Молоть "
"after being unable to admire art","из-за невозможности любоваться произведениями искусства"
"destroyed building","разрушить постройку"
"you want to dump using the [C:5:0:1]Dump Designation[C:7:0:0] tool.","вы хотите создать свалку с помощью инструмента [C:5:0:1]Назначение свалки[C:7:0:0]."
"Grab Shear Unit","Захватить Ножны"
" sadism"," садизма"
" leg armor"," поножи"
"This is my fight too.","Это и мой бой тоже."
"How affectionate I am!","Я переполнен нежностью!"
"Replace all","Заменить всё"
"Bottom Layer (Forces Magma)","Нижний слой (создает магму)"
"No hate   <->    Hates easily","Нет ненависти <-> Легко ненавидит"
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]:  On behalf of the Merchants' Guild, let me extend greetings to your people.  There is much to discuss.","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]:  От имени Гильдии торговцев позвольте мне передать приветствие вашему народу.  Нам есть что обсудить."
"Affects attacks with mouths and teeth.","Влияет на атаки ртом и зубами."
"Acknowledge lack of suspicion","Признать недостаток подозрений"
"Tell a joke","Рассказать шутку"
"has a thin frame but it is loaded with muscles and great layers of fat","имеет худое телосложение, но очень мускулист и жирен"
"The struggle for power must be balanced by other considerations.","Борьба за власть должна компенсироваться другими соображениями."
"Chairs are required for offices to function, and a chair next to a table is the preferred dining arrangement.  A chair/throne object must be made before it can be placed.","Стулья необходимы для функционирования офисов, и стул рядом со столом является предпочтительным местом для обедов. Стул/трон должен быть изготовлен до того, как его можно будет разместить."
"Consoler","Утешитель"
"This object ","Этот предмет "
" pipes"," трубки"
"The musician uses a ","Исполнитель использует "
"Forbid floor/wall cleaning during sieges","Запретить мытье пола/стен во время осад"
"There's fighting!","Там сражение!"
"has a touch of humor","с долей юмора"
"From the [C:5:0:1]Library Info Menu[C:7:0:0] you can assign [C:5:0:0]Scholars[C:7:0:0] who discuss their interests with the inhabitants, ","Из [C:5:0:1]Информационного меню библиотеки[C:7:0:0] вы можете назначить [C:5:0:0]ученых[C:7:0:0], которые обсуждают свои интересы с жителями, "
"To the northwest","На северо-запад"
" imprisoned"," заключенный"
"I feel so restless!","Я очень обеспокоен!"
"Temple Complex, ","Храмовый комплекс, "
