"more presumptious","更加自以为是"
"Extracts","提取物"
"LACK OF LOW-LYING CAVES","缺乏低沉的洞穴"
"Confident","自信"
"  The defenders hired ","  捍卫者们雇用了 "
" has a simple structure: "," 结构简单: "
"The rest of the vomit splatters into the shallow puddle of water.","其余的呕吐物溅入浅水坑中. "
"Ice Track (NSW)","冰轨道(西南偏北)"
"frail","脆弱的"
"the Discovery","发现"
"This person is one of the ","此人是 "
"Other materials","其他材料"
"You cannot speak","你不能说话"
"spurned the law and agreed willingly","藐视法律并欣然同意"
"icicle","冰柱"
"holds high value","具有很高的价值"
"Acknowledge lack of despair","承认没有绝望"
"messenger","信使"
"Sorting creatures...","对生物进行排序......"
"Savage beasts call it their home.","野人野兽称之为家园. "
"raided","搜查"
" Until dawn"," 直到黎明"
"Lair Hunter","巢穴猎人"
" repeatedly when "," 反复的时候 "
"Meditate on ","冥想 "
"No stratus","无层云"
" well."," 好. "
"mathematics:algebra:finite summation formulas","数学:代数:有限求和公式"
" refrain occurs as lines "," 克制以线条出现 "
"Disconnected","断开的"
"Loyalty should be rewarded.","忠诚应该得到回报. "
" at the behest of "," 奉命于 "
"Standard","标准"
"Important and sometimes urgent information is given as alerts on the left side of the screen. ","重要且有时是紧急的信息会在屏幕左侧以警报的形式显示 "
" are my comrades"," 是我的同志们"
" have embarked on their journey."," 已经踏上了他们的旅程. "
"Such care for your happiness!","如此关心您的幸福!"
"Are you still dancing?","你还在跳舞吗?"
"is fat and has a very large body overall","很胖,而且有着非常大的体型"
"humorous","幽默风趣"
"restless","不安"
" Square Count"," 平方数"
"Rescue ","拯救 "
"incision","切口"
"marriage","婚姻"
"Slaughter any marked animal","宰杀任何有标记的动物"
"Loyalty has value, but you should always keep the broader picture in mind.","忠诚度具有价值,但您应始终牢记更广泛的情况. "
"Stay occupied","仍旧被占领"
"Disdains loyalty","鄙弃忠诚"
"Weapon traps use a weapon or trap component to strike intruders.  Can be used with ranged weapons and loaded with ammo.  Can use multiple weapons at once.","武器陷阱使用武器或陷阱组件来打击入侵者.  可以使用远程武器并装载弹药.  可以同时使用多种武器. "
" is hot enough already."," 已经够热了. "
"hanging from a ","挂在一个 "
"Serene","安详"
"octet","八位字节"
"Reveal All Historical Events","揭示所有历史事件"
"Insufficient resources were available to use additional parallelism.","现有资源不足以使用附加相似度"
"Metalcrafting","金属铸造"
" (holding another's goods)"," (拿着别人的货物)"
"more obsessive","更加痴迷"
"Change the amount of the item being checked.","更改要检查的物品的数量. "
"I had an intellectual discussion with my lover.","我和我的恋人进行了一次理智的讨论. "
"an absolute inability to understand social relationships","完全不知道社会关系为何物的水平"
" reclaimed "," 回收 "
"Popup: Work orders","弹窗:工作清单"
"Contains ","包含 "
"gopher","囊地鼠"
" has characters that can't be used in filename."," 有不能在文件名中使用的字符. "
"Such ","这样 "
"Headwear","头饰"
"bowman","弓手"
"Attribute range not in increasing order, repaired","属性范围不按递增顺序排列,已修复"
"rebuffed corruption","拒绝腐败"
"admire building","欣赏建筑"
"is utterly humorless","完全没有幽默感"
"the [C:6:0:0]Stoneworker's Shop[C:7:0:0] and the [C:6:0:0]Metalsmith's Forge[C:7:0:0].  [C:6:0:1]Bags[C:7:0:0] are created at the [C:6:0:0]Clothier's Shop[C:7:0:0] or the [C:6:0:0]Leatherworks[C:7:0:0]."," [C:6:0:0]石匠工坊[C:7:0:0] 和 [C:6:0:0] 锻造间[C:7:0:0].  [C:6:0:1] 口袋[C:7:0:0] 是由 [C:6:0:0]制衣工坊[C:7:0:0] 或 [C:6:0:0]皮匠[C:7:0:0]生产而来的."
" training!"," 训练!"
"surroundings","环境"
"What's this about proper living?","什么是适当的生活?"
"major","此项目中文部分转移至wiki,请移步翻译组群内进行汉化"
"after being exiled following a criminal conviction","在刑事定罪后被流放"
"debts","债务"
"State feelings of freedom","状态自由感"
"Not enough high altitude locations after erosion","侵蚀后的高海拔地点不够多"
" are made from "," 原料为 "
" for a mug."," 换一个杯子. "
"the Vessel","船"
"philosophy:aesthetics:value of art","哲学:美学:艺术的价值"
"tall","高"
"Ice Track (NEW)","冰道(新)"
"is weak and skinny","又弱又瘦的皮包骨"
"I'm ambivalent.","我很矛盾. "
" using "," 运用 "
"request ignored","请求被忽略"
"eating at crowded table","在拥挤的桌子吃饭"
"relation received personal chat","关系收到个人聊天"
"Set the camera to follow this creature.","使视角跟踪此生物. "
"State feelings of humiliation","陈述羞辱感"
"You may find very unpleasant environs here.","你会发现周遭环境令你不适"
"% respectively.  [C:4:0:1]This export agreement only applies to trades next year, not with any merchants currently present.","% 分别来说, [C:4:0:1]这项出口协议只适用于明年的贸易,与当前的商业活动无关. "
"Created Wealth:","生产总值:"
"Group Name","小组名字"
"Base flattery!","基本恭维!"
"narrow-chinned","狭长脸"
"Animal Dissection","动物解剖"
"chieftain","头目"
"Dealings","交易"
"after failing to create an artifact","无法创建工件后"
" toward "," 朝 "
"gather information","收集信息"
"Supernatural vengeance","灵异复仇"
"noted ally","著名的盟友"
"the construction and use of the balance wheel","摆轮的结构和使用"
"dimeter","双声部"
"crime of attempted murder","谋杀未遂罪"
"Fifth","五"
"Set bone","镶骨"
"I had an intellectual discussion with my friend.","我和我的朋友进行了一场理智的讨论. "
"a turn-around after ","转身之后 "
"Underground Pool","地下游泳池"
"Change it to [SOUND:YES] for audio.","把音频选项切换到 [SOUND:是]. "
"Heavily Forested","森林茂密"
"bruised","伤痕累累"
"Wedges","楔子"
"in a double circle","在一个双圈"
"Child does the expelling","子女执行驱逐"
"I'm so regretful.","我很后悔. "
"zombie ","僵尸 "
"dubious ","可疑的 "
" is injected into the "," 注入了 "
"Select memorized content or a form of prose.","选择背诵的内容或散文形式. "
"meandering","蜿蜒"
"Fail the struggle against great sadness","在与巨大悲伤的斗争中失败"
"A fair occurred in ","公平发生在 "
" claimed "," 声称 "
"Disgusted","反感"
" drinks "," 喝 "
"twenty","二十"
"laugh","笑"
"Equip/always","装备/始终"
"fourth eldest daughter","第四个大女儿"
"Agree completely","完全同意"
"Refuse listener work as ","拒绝侦听器工作 "
"badly distracted","非常分心"
"This might require an answer.","这可能需要一个答案. "
"strident","刺耳"
"tragic ","悲惨 "
"[C:7:0:1]Hospitals[C:7:0:0]","[C:7:0:1]医院[C:7:0:0]"
"a feast hall","一个节日大厅"
"makes","品牌"
"Move to ","移至 "
"Treatment","治疗"
" up the "," 向上 "
"Drop item","丢弃物品"
"less orderly","不太有序"
"Plans","计划"
"They consider you a key figure in the opposition.","他们认为你是反对派中的关键人物. "
"would not give","不会给"
"Verbally struggle against misery","与痛苦进行口头斗争"
"Chop down tree","砍树"
"more likely to brawl","容易与人争吵"
"Open your inventory.","打开您的库存. "
"suspicion","怀疑"
"Chosen","选择"
"[C:7:0:1].Partially impaired function","[C:7:0:1].部分功能受损"
"a killer","一个杀手"
"draining","排水"
" table"," 表"
"snatching","抢"
"the reasons why gears are effective","齿轮有效的原因"
"long-long","长长的"
"the Template","模板"
"Verbally struggle against great fright","与巨大的恐惧进行口头斗争"
"Society flourishes when law breakers are punished.","当违法者受到惩罚时,社会就会蓬勃发展. "
"Placing creatures","放置生灵"
"Kitchen, Brew","厨房, 冲泡"
", lost",", 丢失"
"I know you've seen your share of adventure, but be careful or the bogeyman may get you.","我知道你有丰富的冒险经验,但还是要小心,否则怪物可能会抓住你. "
"philosophy:logic:analogical inference","哲学:逻辑:类比推理"
"occupation and not return.  Your new holdings will","职业而不是回归. 你的新馆藏会"
"Designate an item for dumping in a dumping zone.","指定在抛弃区抛弃的物品"
"the Sand","沙漠"
"Fairness","公平"
"alarmed","惊慌"
"Channel mining","挖掘隧道"
"conflict","冲突"
" requested, priced at "," 要求,价格为 "
"due to a shared interest in ","由于共同的兴趣,在 "
"I lost some property to taxes.","我失去了一些房产税. "
"What will you say about the new leadership?","您对新领导层有什么看法?"
"The stockpile records are ","库存记录是 "
"Hardness","硬度"
" is to blame!"," 应该负责!"
" according to the practice of "," 根据 "
"the Wetland","湿地"
"Bring crutch","带上拐杖"
"prophet","预言家"
"Even with your combined trade goods, such as they are, I can't ","即使这些货物加在一起,就像这样,我也不能 "
"oil-bearing ","含油的 "
"There's some food on the embark [C:6:0:0]Wagon[C:7:0:0], and you can trade for food, but you can also grow your own. ","在启程的[C:6:0:0]马车[C:7:0:0]上有一些食物,并且你可以向商队购买食物,但你也可以自己种.  "
"make trills","做颤音"
"Why must they be so violent?","为什么他们必须如此暴力?"
"Only one pitch is ever played at a time.  ","一次只播放一个音高.  "
"monometer","单声部"
"Mourn","哀悼"
"is somewhat uncomfortable around those that appear unusual or live differently from ","对那些看似不寻常或与之不同的人来说,有点不舒服 "
"You heat the ","您加热 "
" implicated "," 牵涉到 "
"the Meaning","意义"
", although ",",虽然 "
"It is done.","它完成了. "
"the Group","群组"
"the ghost of my lover","我恋人的幽灵"
"pray to hf in dedicated temple","在专门的寺庙里祈祷"
"On ","上 "
"I feel so rejected.","我觉得很拒绝. "
"In existential crisis!","生死存亡之间!"
"strand body part","束身部分"
" a dramatic"," 戏剧性的"
"woodland (0,95,0)","林地(0,95,0)"
"Ice Downward Track (SW)","冰下行轨道(西南方向)"
"don't","别"
"Performance quality","性能质量"
"very smooth","非常顺利"
"Grassy Up/Down Stairway","草地上/下楼梯"
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: Let's discuss what we are willing to offer for your ","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: 让我们讨论一下,我们愿意为您提供什么,为了 "
"Oh, no,","不好了,"
"former prisoner","前囚犯"
"Words","话"
"noisy","嘈杂的"
"the Party","派对"
"The instrument rests flat as","仪器平放如"
" are dangerous outlaws."," 是危险的不法分子. "
"Allowed Weight: ","允许重量: "
"Prepare writing material and assign scholars to a library.","准备好书写材料,并将学者分配到图书馆. "
"Merchants have arrived and are unloading their goods.","商人们已经抵达,并正在卸载货物."
" said, ""Are you going to eat that?"""," 说道:""你准备吃那个吗?"""
"body part","身体部位"
"tends to stare unwaveringly when ","倾向于毫不动摇地盯着看当 "
"A small but organized military order have been causing us much hardship.","一个小规模但有组织的军事秩序一直给我们带来很多困难. "
"stay alive","活下去"
"a library","图书馆"
"Altruism","利他主义"
"pressed clear glass","压制透明玻璃"
"uneven-even","不均匀,甚至"
"a site was controlled","一个地点被控制"
"Asylum","疯人院"
"thinks romance is very important in life","认为浪漫在生活中非常重要"
"astronomy:geocentric model","天文学:地心模型"
"I had a nightmare about my deceased mother.","我对我已故的母亲做了一个噩梦. "
"Dwarves, for example, require non-evil, non-good, unsavage mountain squares that aren't surrounded by the ocean.  ","以矮人为例,他们需要非邪恶, 非善良, 非野蛮的, 没有被海洋包围的山间区块.  "
"hearthperson","炉卫"
"a poor memory","记忆力差"
"monkey","猴子"
"Move keyboard cursor up (z)","将键盘光标向上移动(z). "
" detriment"," 损害"
"The rest of the vomit falls away into the chasm.","其余的呕吐物掉进了深渊. "
"Vacant position","闲置的地点"
"That makes me angry.","这让我很生气. "
"is pretty tall but also very frail","个子很高,但也很瘦弱"
"Intimidator","威吓者"
"State feelings of great guilt","陈述极度内疚感"
"Our needs exceed your allowances.  Relax.  They're only trees.","我们需要的比你允许的更多. 放轻松吧,它们只是树而已. "
"You shouldn't whittle your life away on working.","你不应该在工作上贬低你的生活. "
" is a family heirloom, and I will not part with it."," 是传家宝,我不会割舍. "
"is broad yet weak","很巨大但很瘦弱"
"claim to ","声索 "
"after arriving at the destination","到达目的地后"
"Blocks: stone/clay","砖块:石材/黏土"
" leg lift"," 抬腿"
"I suppose this would be a joyous occasion.","我想这将是一个欢乐的时刻. "
"finds the notion that one would persevere through adversity completely abhorrent","认为人坚持挺过难关是彻头彻尾的恶心的一件事"
"value the law","看重律法"
"Verbally struggle against anguish","与痛苦进行口头斗争"
"extravagance","奢侈"
"feels best when everyone gets along without any strife or contention","每个人都和谐相处没有任何冲突或争执的感觉棒极了"
"Hunter of ","猎人之于 "
"astronomy:precession of equinoxes","天文学:赤道的衰退"
"Make mechanisms here which are used to make levers, pressure plates, and gears.  You can also use mechanisms to link levers and pressure plates to other machinery.","在这里用来制作杠杆, 压力板和齿轮.  你还可以用机械装置将杠杆和压力板与其他机械连接起来. "
"is weak and skinny with a very long body overall","很瘦弱,但身形很高大"
"is a narrative","是一个叙事性的"
" Denied"," 否认"
"Default low traffic path cost","默认的低流量路径成本"
", as ","作为 "
"Unbelievable.","难以置信. "
"plant ","厂 "
"is vengeful and never forgets or forgives past grievances","是复仇,永远不会忘记或原谅过去的不满"
"Tracker","追踪者"
"You might want to check your maximum elevation value and other elevation parameters.  ","你可能要检查你的最大海拔值和其他海拔参数.  "
" the "," 这 "
"The signs lead west.","路标指向西方. "
"hunting.","狩猎. "
"is incredibly long with impressive muscles and great sacks of lard","令人难以置信的修长,有令人印象深刻的肌肉和大袋的猪油"
"lines don't","线路不"
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: It's such a pleasant place you've carved out for yourselves...","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]:你们为自己开辟的地方是如此宜人......"
"feels ","感觉 "
"acquiesce","默许"
"Fresh raw hide","新鲜的生皮"
"Minimum Number of Mid-Elevation Squares","中高程广场的最小数量"
"square","正方形的"
"made complaint","投诉"
"Talented","天资聪颖的"
"member","会员"
"Grab Kill","抓住了"
"Letter","信"
"taught scholar flag","教过学者旗"
"Do not automate other shops","取消其他工坊自动化"
"minecarts","矿车"
"No, that's not annoying.","不,那不烦人. "
"wrongful ","不正当的 "
"sparring.","陪练. "
"refined","精制"
"painting","绘画"
"Saving buildings...","保存建筑......"
"Verbally struggle against horror","与恐怖进行口头斗争"
"a temple and priest","一个寺庙和祭司"
"Forge weapons and armor here, as well as most other metal objects from furniture to trap components.  Magma below the forge will power tasks.  You are responsible for placing the forge above the magma, but no other fuel is required.","在这里锻造武器和盔甲,以及家具和陷阱组件的大多数其他金属物品. 熔炉下方的岩浆将给工作提供动力. 你负责将熔炉放置在岩浆上方,但不需要任何燃料. "
"strings","琴弦"
"wrestling","摔跤"
"Tell the listener that ","告诉侦听者 "
"Some performers finish their act.","一些表演者完成了他们的演出. "
"Centered on first heard","以首次听到为中心"
"(Charge) (D) Tumble","(冲锋)(D) 翻滚"
"the Wedge","楔子"
"abduction","绑架"
"I'm quite optimistic.","我很乐观. "
"Acknowledge lack of awe","承认缺乏敬畏"
"has a very broad frame with very little fat on it","身材宽大,没有什么赘肉"
"is very muscular and just gigantic overall","肌肉非常发达,总体上是个大块头. "
"is a bit immature","有点不成熟"
"Gremlin opened cage","Gremlin 打开笼子"
"Specify type","指定类型"
"Agreement satisfied","协议满意"
" was the place for a good drink."," 是一个很好喝的地方. "
"starts to drone when ","嗡嗡作响,当 "
"Vomit blood","吐血"
"That was exasperating.","那令人生气. "
"[C:6:0:1]Buckets[C:7:0:0] (with a source of water), [C:6:0:1]Thread[C:7:0:0] for sutures, and [C:6:0:1]Cloth[C:7:0:0] for bandages. ","[C:6:0:1]水桶[C:7:0:0](有水源),[C:6:0:1]缝合用的线[C:7:0:0],以及[C:6:0:1]包扎用的布[C:7:0:0].  "
"views decorum as a high ideal and is deeply offended by those that fail to maintain it","将礼仪视为高尚的理想,并被那些未能维持它的人深深冒犯"
"A poetry recital","诗歌朗诵"
"Retake door to forbid it.","夺回门以阻止它"
" (cannot individually drill)"," (不能单独钻)"
"known enemy fighter","知名的斗士"
" throughout the form.  "," 整个表格.  "
"wild","野生"
"contemplating","深思"
"shop","店"
"heavily swollen","肿得厉害"
"them","他们"
"Unit has misaligned bp modifiers.  Adjusting.","军队有不一致的身体部件配置. 调整中. "
"spurning the law","藐视法律"
"is very short but covered with great amounts of lard and with huge muscles","很矮,但有大量的猪油和巨大的肌肉"
"Seek Station Flood","寻求洪水"
"Song file unrecognized: ","歌曲文件未识别: "
"Monster Slayer","怪物杀手"
"is not bothered in the slightest by deviations from the norm or even extreme differences in lifestyle or appearance","对生活方式或外貌上的偏差甚至极端的差异,难道一点也不感到困扰吗"
" strike"," 打"
"Give your opinion of ","请给出您的意见 "
"Flatterer","奉承者"
"aversion","厌恶"
"Forbidding items and buildings","禁止物体和建筑物"
"Pistons","活塞"
" entirely outwitted "," 完全被愚弄了 "
"I have confidence in your abilities.","我对你的能力充满信心. "
"I burn with such passion!","我以如此激情燃烧!"
"to the ","到了 "
"You have selected a large area.","你选择了一个很大的区域. "
"[C:1:0:0]Drowsy","[C:1:0:0]疲倦"
"If you accept the gift, one will be expected in return.","如果您接受礼物,将收到一份礼物. "
"I ","一世 "
"spoke","说了"
"the concept of war","战争的概念"
"Dirt","污垢"
"Change blueprints to standard selections.","将蓝图改为标准选择. "
"Poet","诗人"
" trees, butcher."," 颗树,屠夫."
"the Pyramid","金字塔"
"As you know, we are at war.  You might be able to strike our enemies where our armies cannot reach.","如你所知,我们处于战争状态. 你可能能够击中我们的军队无法到达的敌人. "
"  Are your farmplots working?  Make sure you are planting edible plants."," 你的耕地在工作吗?确保你种下的是可食用的植物. "
"be in whispered undertones","在低声的低调"
" to the ground from over-exertion."," 从过度劳累到地面. "
" things orderly"," 事情有序"
"the securing of ","确保 "
"Search found nothing","搜索未找到任何内容"
"You might want to adjust the parameters governing volcanism.  ","您可能想要调整控制火山活动的参数.  "
", and now we can all see why.",",现在我们都可以看到原因. "
" Floodgate"," 水闸"
"Apocalypse!  We are being judged by the gods!","天启!我们正在接受神的审判!"
"and now requires","现在则要求"
"Ice Downward Track (NEW)","冰下行道(新)"
"that ","那 "
" from paternal grandmother"," 来自奶奶"
"No trigger","没有触发器"
"I can scarcely believe this good news!  I have some recommendations.","我简直不敢相信这个好消息!我有一些建议. "
"harsh","苛刻"
" subtle"," 微妙"
"Migrants (danger)","移民(威胁)"
"tiny hand-held","小型手持式"
"Smooth floor","打磨地板"
"play","玩"
"Eggs","蛋"
"pressed potash","压制的钾肥"
"the insanity of","疯狂的"
"chemistry:laboratory:glass funnel","化学:实验室:玻璃漏斗"
"Abandoned","废弃"
"nightmares","噩梦"
"cry on boss","恳求老板"
" bowl is attached to the neck to provide additional overtones.  "," 碗与颈部相连,提供额外的泛音.  "
"haunted","闹鬼"
"leftward bends","向左弯曲"
"Climb or hold terrain.","攀爬或握住地形. "
"A demonstration of your skill might convince me.","演示你的技能可能会让我信服. "
"I need to perfect my skills.","我需要完善自己的技能. "
"State feelings of great acceptance","陈述非常接受的感觉"
"State feelings of great caring","陈述非常关心的情感"
"is weak and extremely long","软弱无力,时间极修长"
"source of funds","资金来源"
" choose"," 选择"
"clean-shaven","没有蓄须"
"be made expressively","要有表现力"
"Autosave frequency","自动保存频率"
"Forms of ","的形式 "
"the ghost of my animal training partner","我的动物训练伙伴的幽灵"
"Cause and Effect","因果关系"
"Apprentice","学徒"
"a weapon or technique","一种武器或技术"
"This is nothing.","这不重要. "
"item","物品"
"Wordsmith","语言大师"
"Rainfall and Rivers","降雨和河流"
"Number","数量"
"We had to pull out of ","我们不得不退出 "
" propelled away by the force of the blow!"," 被这一击的力量推开了!"
"Siege Engineering","攻城武器学"
"terrifying wilderness monster","可怕的荒野怪物"
"Max Megabeast Caves","最大巨兽洞穴"
"drinking pus","喝脓"
" splits in gore!"," 碎成小块!"
"diagonals","对角线"
"Children do chores","儿童做杂务"
" pump"," 泵"
"How embarrassing!","多么尴尬!"
"Designating restricted traffic area","标志禁止通过"
"very splayed out","很累赘"
"If you have found magma you can build a [C:6:0:0]Magma Smelter[C:7:0:0] directly over it, otherwise you need [C:6:0:1]Fuel[C:7:0:0]. ","如果你发现了岩浆,你可以直接在它上面建造一个[C:6:0:0]岩浆熔炼器[C:7:0:0],否则你需要[C:6:0:1]燃料[C:7:0:0].  "
"Job removed from unpowered building","从无动力建筑中移除的作业"
"Immobilize break","不可移动的断裂"
"the thievery","盗贼"
"Weapon Trap","武器陷阱"
" because you are starving to death."," 因为你快饿死了. "
"a legendary storyteller","一位传奇故事讲述者"
"Acknowledge lack of fear","承认没有恐惧"
" ransomed "," 赎回 "
"atmospheric refraction","大气折射"
"I prey on the blood of civilized creatures.","我以文明生物的血为食. "
"Strategems","谋略"
" clicks "," 滴答叫 "
"You can recenter on certain announcements.  Right click to close.","你可以重新定位某些通告. 点击右键关闭. "
"wrestler","摔跤手"
" brief"," 简短"
"No item to pick up","没有物品可取"
"complied out of fear of","遵从了,因为恐惧于"
"This creature is a mercenary.","该生物是一名雇佣兵. "
"Self-Examination","自我检查"
" Barrel"," 桶"
"died in a cage","死在笼子里"
"Praise listener for completing the task","表扬侦听器完成任务"
"unrotten ","未腐烂的 "
"I'm very averse to this.","我对此很反感. "
" is conflicted by "," 矛盾的是 "
"I laugh in the face of death!","面对死亡,我笑了!"
"After a long journey, you are here to meet your most trusted companion.  ","经过漫长的旅程,您在这里与您最信任的伴侣见面.  "
"Farming (Fields)","农业(领域)"
"is short and fat","又矮又胖"
"The lyrics of the accompaniment are so embarrassing!","伴奏的歌词太尴尬了!"
" tribute"," 贡"
"You might want to adjust the parameters governing elevation.  ","你可能想调整控制海拔的参数.  "
"You have nothing left to draw or put away.","你没有什么可以提取或存放的了. "
"Workers ignore refuse","工人无视垃圾"
"I'm not gleeful.","我不高兴. "
" constant accompaniment.  "," 不断的伴奏.  "
"Allow plant/animal","允许植物/动物"
"is extremely long with muscle and fat in equal measure","非常修长,肌肉和脂肪并重"
"What will you say about your master?","你会怎么说你的主人呢?"
"Methods","方法"
"Needs ground or near machine","需要地面或靠近机器"
"cultural history","文化史"
"stagnant pool","停滞不前的游泳池"
"Acknowledge lack of elation","承认缺乏兴高采烈"
"Ask for permission to stay for a day","请求允许逗留一天"
"You have my thanks.","你有我的谢意. "
"whip","鞭子"
"Not visible","不可见"
"Emotional obsessive","强迫症"
"visited","参观"
" try"," 尝试"
"Increase the priority of the task in this workshop.","提高该任务在这个工坊里的优先级. "
"the unexpected death of somebody","某人的意外死亡"
"It's my mess.","这是我的烂摊子. "
"Loading schedules...","正在加载时间表......"
"The world generator is having trouble placing low-lying caves.  ","世界生成器在放置低洼洞穴时遇到困难.  "
"doesn't find power particularly praiseworthy","不觉得权力有什么了不起的"
"Midmap creation failure on graphical map export: ","图形化地图导出时,中间图创建失败.  "
"massacring ","屠杀 "
"Cultural history","文化史"
"drowsy","昏昏欲睡"
"Acknowledge lack of unhappiness","承认没有不快乐"
"Envious","嫉妒的"
"being away from animals for so long","长时间远离动物"
"stars","星形"
"a large deficit of willpower","薄弱的毅力"
"Comparative Anatomy","比较解剖学"
"vengeful","复仇"
"overflows with sadness","满脸悲伤"
"Grand Master","泰斗级的"
"Infamous brigand","臭名昭著的强盗"
"Go downward.","向下. "
"is quick to anger","易被激怒"
"I slept in the mud.","我睡在泥里. "
" was abandoned"," 被抛弃"
"Not enough low-lying cave locations after location check","位置检查后没有足够的低洼洞穴位置"
"sleeping on the floor","睡在地板上"
" is visiting."," 正在参观. "
"died in a trap","陷入了陷阱"
"From beginning to end, when improvising","从头到尾,即兴创作时"
"disdains even the best advice of associates and family, relying strictly on ","甚至蔑视员工和家人的最佳建议,严格依赖 "
"will be ","将会 "
"the compilation of many summaries into a single text","将许多摘要汇编成单个文本"
"processable ","加工 "
" years of membership"," 会员年限"
"Removing stairs/ramp/constructions","移除楼梯/坡道/建筑物"
"I slaughtered an animal.","我屠杀了一只动物. "
"History length","历史长度"
"Walking spreads spatter","行走着散布飞溅物"
"called the ","叫做 "
"The vegetation is bent here.","这里的植被弯曲. "
"[C:3:0:0]Zones[C:7:0:0] are areas you designate where your citizens will work, socialize, rest, or perform specific duties. ","[C:3:0:0]区域[C:7:0:0]是你指定的一片区域,你的公民将在这里工作, 社交, 休息或履行特定职责.  "
"a raid","一次突袭"
"Died after colliding with an obstacle","与障碍物碰撞后死亡"
"have small lobes","有小叶子"
" half"," 半"
"the proclamation of a series of oppressive edicts upon ","宣布一系列压迫性的法令 "
"High Master","宗师级的"
"not going to take much more of this","不会采取更多这个"
"philosophy:aesthetics:nature of beauty","哲学:美学:美的本质"
" get"," 得到"
"the path of the moon","月径"
"considering","考虑"
"I yelled at somebody in charge.","我对负责人喊道. "
"[C:5:0:1].Butchered","[C:5:0:1].屠宰"
"I had a nightmare about my deceased sibling.","关于我已故的兄弟姐妹,我做了一个噩梦. "
"is very long, muscular and fat","身材颀修长,肌肉发达,身材肥胖"
"Self-control","克己"
"Failed to find vanilla interface header.","找不到vanilla接口头. "
"greater than","大于"
"add fills","添加填充"
"It has been long time since I've done something creative.","自从我做了一些有创意的事情以来,已经很久了. "
"I'm not much of a decision maker.","我不是一个决策者. "
"You could not find a partner.","你找不到伙伴. "
"finds the idea of fair-dealing foolish and cheats when ","找到了公平交易愚蠢和欺骗的想法 "
" used poor tactics"," 用过差的战术"
"Disengaged","脱离"
"maintain balance in universe","保持宇宙平衡"
"Nobody is free, and it is pointless to act as if you are.","没有人是自由的,像你一样行事毫无意义. "
"the ghost of my child","我孩子的幽灵"
"be made with skill","要有技巧"
"That sounds just like the ","听起来就像是 "
"The guilt is almost unbearable!","内疚几乎无法忍受!"
" was a "," 曾经是一个 "
"Huge Non-Prone Profile","巨大的非俯卧轮廓"
"Agreement concluded","已签订协议"
"Unnamed underground area","未命名的地下区域"
" over the latter's romantic relationship"," 对后者的恋爱关系"
"Merchant company","商行"
" adjusts"," 调整"
"a legendary drink","一份传说级的饮品"
"You have selected a savage area.","你选择了一块蛮荒的区域"
" has sprung from ambush!"," 从埋伏中涌现出来!"
"State opinion that this is the life for you","陈述这就是你的生活的观点"
"Drain aquarium","排出水族箱"
"Biter","撕咬者"
"Release choke of ","释放扼流圈 "
"Needs: ","需要: "
"I have fallen for ","我已经堕落了 "
"A migrant has decided to brave this terrifying miserable place.","一名移民决定勇敢面对这个可怕的悲惨地方. "
"the journey of ","的旅程 "
"after taking heavy losses in battle","在战斗中遭受重大损失后"
"discourse on the nature of events","关于事件性质的讨论"
"tallow ","脂油 "
"torture","拷打"
"How will you respond to the invocation?","您将如何响应调用?"
"torn out","挖出"
"Doubt","怀疑"
"warehouse","仓库"
"I must withdraw!","我必须撤退!"
"woodworker","木工"
"Now we will live under ","现在我们将生活在 "
"the construction and use of mural instruments","建筑和使用壁画乐器"
"Untamed wilds","未驯服的荒野"
"State feelings of great vengefulness","陈述巨大的复仇情绪"
"Ha ha ha...  You're funny!","哈哈哈...你真有意思!"
"Give a sermon","讲道"
"an infamous murderer","臭名昭着的凶手"
"Mountains and Valleys","山脉于山谷"
"being reunited with a loved one","与亲人团聚"
"The musician blows through a double reed at one end","乐师通过一端的双簧吹奏"
"Squad member","小队成员"
"Track/Ramp (SE)","轨道/坡道(东南)"
"the World's Shape","世界的形状"
"  After enduring an interrogation","  在经历了一次审讯后"
"A diplomat could not complete a meeting and has left unhappy.","一位外交官在外交失败后伤心的离开了"
"happiness","幸福"
"interrupts others during conversations when ","在谈话中打断别人的发言,当 "
"the Moving Sun","移动的太阳"
"Do not avoid a necessary conflict today.","今天不要避免必要的冲突. "
"proof by contradiction","矛盾证明"
"more of a thrill seeker","更多的寻求刺激的人"
"Overall, the poetry is masterful","总的来说,诗歌是高超的"
"Sleep or wait a while.","睡觉或等待一段时间. "
"Not enough mountain cave locations after location check","位置检查后没有足够的山洞位置"
"the imported clothing market","进口服装市场"
"Bridge","桥"
"Office","办公室"
"along a clockwise circle","沿着顺时针方向的圆圈"
"Track/Ramp (N)","轨道/坡道(北)"
"Late ","晚 "
"is a nervous wreck","是一个精神崩溃"
"Please maintain your dignity.","请保持尊严. "
"I had a drink without using a goblet.","我喝了一杯没有使用高脚杯. "
"Saving mandates...","保存任务......"
"being tormented in nightmares by a dead animal training partner","被一个死去的动物训练伙伴在恶梦中折磨着"
