"more presumptious","бўльш зухвалий"
" Autumn"," Осўнь"
"Enable testing arena (on next title)","Увўмкнути тестувальну арену (пўсля наступного запуску)"
"Empty animal traps","Порожнў пастки на тварин"
"Use leather tanned at the tanner's shop here to make clothing and tools, such as bags and waterskins.","Використовуйте шкўру, вичинену тут, у дубильнўй майстернў, для виготовлення одягу та знарядь, таких як торби та мўхи для води."
"gems","самоцвўти"
"My clothes are in tatters.","Мўй одяг перетворився на лахмўття."
"Musical form","Музична форма"
"Surgical Tools","Хўрургўчне приладдя"
" found a lasting home within "," знайшов постўйну домўвку в межах "
"Thrill-seeker","Шукач гострих вўдчуттўв"
"Little soil","Єрунт (мало)"
"Somebody refused to name themself","Хтось вўдмовився представитися"
"finds helping others very emotionally rewarding","вважаї допомогу ўншим дуже корисною для власного емоцўйного стану"
"solid ","твердий "
"Spring has arrived!","Весна прийшла!"
"Items...","Предмети..."
"Tower Dungeon","Вежа-пўдземелля"
"Bleeding","Кровотеча"
"Considers murderer","Вважаї душогубом"
"forms strong emotional bonds with others, at times to ","утворюї глибокў емоцўйнў прив'язаностў до ўнших, часом до "
"Child is not present","Дитина вўдсутня"
"Cage","Клўтка"
"Object","Об'їкт"
"I had an intellectual discussion with my mother.","Я мав ўнтелектуальну дискусўю з матўр'ю."
"Disdains friendship","Зневажаї дружбу"
"Do your duty.","Виконай свўй обов'язок"
"engineering:machine:mechanical compass","engineering:machine:механўчний компас"
"committing a depraved act","вчинення розпусного вчинку"
"Trap Occupied:","Пастку зайнято:"
"Your room is ","Ваша кўмната "
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: Remember, trade agreements strengthen bonds.  Please consider an import agreement next year.","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: Пам'ятайте, що торговў угоди змўцнюють зв'язки. Будь ласка, розгляньте можливўсть пўдписання угоди про ўмпорт наступного року."
" was the place for long-term scholarship."," було мўсцем для довгостроково∙ науково∙ роботи."
"Customize the squad's name.","Змўнити назву загону "
"Automatically weave all thread","Автоматично ткати всў нитки"
"I can take or leave merrymaking myself, but I don't begrudge people their enjoyment.","Я байдуже ставлюся до гулянок, але не маю нўчого проти чужих розваг."
"Hover over an alert icon to see the information. ","Наведўть курсор на пўктограму сповўщення, щоб побачити ўнформацўю. "
"Tranquility","Спокўй"
"pressed green glass","пресоване зелене скло"
"The counting house","Розрахункова палата"
"Very thirsty","Дуже хочу пити!"
"Pull the lever","Потягнўть важўль"
"discourse on the nature of causation","дискурс про природу причинностў"
"Unnamed archery range","Безўменне стрўльбище"
"Multiple copies of the timeline found.","Знайдено кўлька копўй часово∙ лўнў∙."
"Remove this worker from this occupation.","Звўльнити цього працўвника з цўї∙ посади."
" it"," ∙∙"
" striking a menacing pose"," приймаї загрозливу позу"
" have hatched."," вилупився."
"sometimes","ўнодў"
"Here you'll see a list of party members, companions, and pets, along with their general location if you know it.","Тут ви побачите список членўв групи, супутникўв та улюбленцўв, а також ∙хнї загальне мўсцезнаходження, якщо ви його знаїте."
" (7 of 8)"," (7 з 8)"
"Create new world","Створити новий свўт"
"Pure hate","Чиста ненависть"
"Avarice","Жадўбнўсть"
"Sunk into depression...","Поринув у депресўю..."
"the relationship between the lunar and solar year","спўввўдношення мўж мўсячним ў сонячним роком"
"a legendary villain","один ўз легендарних лиходў∙в"
"rumored brawler","за чутками забўяка"
"Greetings","Привўт"
"With ","З "
"Spar","Спаринг"
"I feel jovial.","Я почуваюся весело."
"minerals","мўнерали"
"Developed empathy","Розвинена емпатўя"
"W... worried?  Do I look worried?","С... схвильований? Хўба я виглядаю схвильованим?"
"Tent","Намет"
"second eldest son","другий син"
"Select [C:5:0:1]Farmplot[C:7:0:0] from the [C:5:0:1]Build[C:7:0:0] menu.  It's in [C:5:0:1]Workshops[C:7:0:0] -> [C:5:0:1]Farming[C:7:0:0] -> [C:5:0:1]Farmplot[C:7:0:0].  Place the [C:6:0:0]Farmplot[C:7:0:0] on the subterranean soil.","Виберўть [C:5:0:1]Грядку[C:7:0:0] з меню [C:5:0:1]Будувати[C:7:0:0]. Вона знаходиться в [C:5:0:1]Майстернў[C:7:0:0] -> [C:5:0:1]Сўльське господарство[C:7:0:0] -> [C:5:0:1]Грядка[C:7:0:0]. Розмўстўть [C:6:0:0]Грядку[C:7:0:0] на пўдземному єрунтў."
" and another small creature."," та ще одна маленька ўстота."
"These lyrics are simply unacceptable.","Цў слова просто неприйнятнў."
"Trained","Тренований"
"Mineral occurrence","Поява корисних копалин"
"Sorting languages...","Сортування мов..."
"Overcautious","Надзвичайно обережний"
" to view your log.  Your character generally starts with a variety of local knowledge, including a few places to have an adventure.  "," щоб переглянути ваш журнал. Ваш персонаж зазвичай починаї з рўзноманўтних локальних знань, включаючи кўлька мўсць для пригод. "
"Wait for Combat Training","Чекати на бойове тренування"
"You have discovered a cave entrance.","Ви знайшли вхўд до печери."
"Clear","Очистити"
"Forge weapons and armor here, as well as most other metal objects from furniture to trap components.  These tasks require fuel.","Куйте тут зброю та обладунки, а також бўльшўсть ўнших металевих предметўв - вўд меблўв до компонентўв пасток. Для цих завдань потрўбне паливо."
"I see your low race still revels in death.  ","Дивлюся, ваш мерзенний рўд ў надалў бенкетуї на смертў.  "
"Wilderness irritation minimum (less = sooner)","Мўнўмум роздратування дико∙ природи (менше = швидше)"
" Outpost:[C:7:0:0]  You have arrived.  After a journey from the Mountainhomes into the forbidding wilderness beyond, your harsh trek has finally ended.  Your party of seven is to make an outpost for the glory of all of "," Outpost:[C:7:0:0]  Ви прибули. Пўсля довго∙ мандрўвки з Гўрських Осель у непривўтну глушину за ∙хнўми межами, ваш важкий шлях нарештў закўнчився. Ваш загўн ўз сўмох дварфўв маї заснувати аванпост на славу всього "
"It is burning.","воно палаї"
"Clothing imports","Ўмпортувати одяг"
"Leadership","Лўдерство"
"armor stand","пўдставка для обладункўв"
" wood"," дерево"
"Rough gem","Необроблений самоцвўт"
" save"," збереження"
"Ransack Taxes","Розкрадання податкўв"
"the Rule","Закон"
"Saving local animal populations...","Збереження мўсцевих популяцўй тварин..."
"legendary enemy fighter","легендарний ворожий боїць"
", not consumed",", не спожито"
", ruling ",", який керуї "
"Thread (metal)","Нитка (металева)"
"training partner","партнер по навчанню"
"bone ","кўстка "
" Lever"," Важўль"
"[C:6:0:1]Writing Material[C:7:0:0] for the [C:5:0:0]Scribes[C:7:0:0] to write on. ","[C:6:0:1]Письмового матерўалу[C:7:0:0], на якому [C:5:0:0]Писарў[C:7:0:0] писатимуть. "
"For this reason, it's important to obtain better equipment when you can.  ","З цўї∙ причини важливо отримувати краще спорядження, коли це можливо. "
"the Formula","Формула"
"I'm curious.  Tell me everything!","Менў цўкаво. Розкажи все!"
"getting divorced","розлучення"
"Sometimes the adherents to a certain religion will demand that you build a [C:1:0:1]Temple[C:7:0:0] to their specific deity. ","Ўнодў послўдовники певно∙ релўгў∙ вимагатимуть, щоб ви побудували [C:1:0:1]Храм[C:7:0:0] для ∙хнього конкретного божества. "
"Automate other shops","Автоматизувати ўншў майстернў"
"Related to civilization or other group","Пов'язано з цивўлўзацўїю або ўншою групою"
"Insurrection with ","Повстання з "
"is very trusting","дуже довўрливий"
"glum","похмурий"
"You are not that hungry.","Ви не настўльки голоднў."
"Where?","Де?"
"Gather any products","Збирати будь-якў продукти"
"fishing","риболовля"
"This creature lives in ","Ця ўстота живе в "
"If points remain","Якщо залишилися бали"
"dungeon","пўдземелля"
"The door is operated by a remote mechanism.  You cannot proceed.","Цў дверў керуються дистанцўйним механўзмом. Ви не можете пройти далў"
"anguish","мука"
"Mead Hall","Корчма"
" to view other pages"," переглянути ўншў сторўнки"
"Perpendicularity","Перпендикулярнўсть"
"Here you can turn thread into cloth, whether it is thread from the farmer's workshop or spider silk gathered underground.","Тут ви можете перетворити нитки на тканину, будь то нитки з фермерсько∙ майстернў чи павутиння, зўбране пўд землею."
"Population: ~10000","Населення: ~10000"
"body level","рўвень тўла"
"Minerals","Мўнерали"
"Saving jobs...","Збереження робўт..."
"known killer","вўдомий вбивця"
"General Store","Унўвермаг"
"always","завжди"
"known poet","вўдомий поет"
"Has the aspect of one fey!","Маї вигляд надприродно∙ ўстоти!"
" a series of "," серўя "
" from the year "," вўд року "
" (3 of 3)"," (3 з 3)"
"I am a very, very important person.","Я ї дуже, дуже важлива персона."
"tribute","данина"
"If you have a law enforcement administrator like a [C:5:0:0]Sheriff[C:7:0:0] or [C:5:0:0]Captain of the Guard[C:7:0:0], witnesses of crimes will make reports, which find their way here. ","Якщо у вас ї адмўнўстратор правоохоронних органўв, наприклад [C:5:0:0]Шериф[C:7:0:0] або [C:5:0:0]Капўтан варти[C:7:0:0], свўдки злочинўв складатимуть звўти, якў потрапляють сюди. "
"Swimming","Плавання"
"This engraving appears on a floor ","Це вигравування знаходиться на пўдлозў "
"In order to pursue the wealth of the earth, you must dig deeper! ","Щоб здобути багатства землў, ви повиннў копати глибше! "
"Certain shapes and colors might not occur without full randomization.","Певнў форми та кольори можуть не з'явитися без повно∙ рандомўзацў∙."
"Unknown author","Невўдомий автор"
"  You are held in high regard.","  Вас дуже поважають."
"stone furniture shop (255,64,0)","майстерня кам'яних меблўв (255,64,0)"
"When deciding which guild to dedicate the [C:1:0:1]Guildhall[C:7:0:0] to, you can scroll over the names of the guilds ","Вирўшуючи, якўй гўльдў∙ присвятити [C:1:0:1]Гўльдўйську залу[C:7:0:0], ви можете навести курсор на назви гўльдўй "
"Meeting Location Building","Будўвля для зустрўчей"
"is strapped with massive amounts of muscle and lard","маї величезну масу м'язўв та пўдшкўрного жиру"
"Fellow athlete","Колега-атлет"
"Companion","Супутник"
"and certain [C:6:0:0]Workshop[C:7:0:0] tasks.  You may find water underground.","та деяких [C:6:0:0]Майстерень[C:7:0:0]. Ви можете знайти воду пўд землею."
"Pray to ","Молитися до "
" associating shoes out of range: "," Прив'язка взуття поза межами дўапазону: "
"a ranged weapon","далекобўйна зброя"
"Poor kinesthetic sense","Погане кўнестетичне вўдчуття"
"rarely make contact","рўдко йде на контакт"
"on the front of ","спереду "
"Economy population trigger 1","Тригер населення економўки 1"
" (2 of 8)"," (2 з 8)"
"stone carver","рўзьбяр по каменю"
"having to conduct an official meeting in a dining room","через те, що мусив проводити офўцўйну зустрўч в ∙дальнў"
"Weaponsmith's shop","Зброярська майстерня"
"cringing","уникнення"
"Health","Здоров'я"
"craftsman","майстер"
"SMALLER REGION","ДУЖЕ МАЛИЙ РЕГЎОН"
"flying ","летячи "
"infamous brigand","сумнозвўсний розбўйник"
"I'm feeling randy today!","Сьогоднў я вўдчуваю себе хтивим!"
"To do this select the [C:5:0:1]Nobles and administrators[C:7:0:0] menu and click the add button to assign somebody. ","Для цього виберўть меню [C:5:0:1]Знать та адмўнўстратори[C:7:0:0] ў натиснўть кнопку додавання, щоб призначити когось. "
"When your view is in the air above other tiles, you can usually see them below.  If you are indoors or in a cavern, your view might be blocked by the ceiling.","Коли ваш огляд знаходиться в повўтрў над ўншими клўтинками, ви зазвичай можете бачити ∙х унизу. Якщо ви знаходитесь у примўщеннў або в печерў, ваш огляд може блокуватися стелею."
"Famous preserver of the knowledge","Вўдомий зберўгач знань"
"Temperate Brackish Lake","Солонувате озеро помўрного поясу"
"Use a screw pump to move liquids upward from the elevation below the pump to the same elevation as the pump.","Використовуйте гвинтовий насос, щоб перекачувати рўдини вгору з рўвня нижче насоса на рўвень самого насоса."
"'s lack of possession of "," вўдсутнўсть володўння "
"Display worn clothing dyes (adv mode)","Показувати фарби на одягненому одязў (режим пригод)"
"Claimed by your local government","Заявлено вашим мўсцевим урядом"
"Courtyard","Внутрўшнўй двўр"
"lake","озерний"
"Baby+child cap","Лўмўт немовлят+дўтей"
"dark","темний"
" by "," "
"metal","метал"
"where","де"
"Histories","Розповўдў"
"medicine:method:surgery scraping","медицина:метод:хўрургўчне зшивання"
"Jealousy","Ревнощў"
"an agreement to construct a guildhall for ","угода про будўвництво гўльдў∙ для "
"'s "," "
"Name your group","Назвати свою групу"
"works furiously!","працюї шалено!"
"The world created at the beginning of the game is active, and others may take an interest in your outpost as it grows. ","Свўт, створений на початку гри, ї активним, ў ўншў можуть зацўкавитися вашим форпостом у мўру його зростання. "
"Singer","Спўвак"
"failed insurrection ","невдале повстання "
"We have been under siege by an ancient force of nature.","Ми опинилися в облозў прадавньо∙ сили природи."
"Build Structure","Побудувати споруду"
"Resists sickness","Стўйкий до хвороб"
"the relationship between the moon and the tides","зв'язок мўж Мўсяцем ў припливами"
"Finally, ","Нарештў, "
"Completely dismayed!","Цўлком приголомшений!"
"is quite comfortable with others that have a different appearance or culture","спокўйно ставиться до тих, хто маї ўнший вигляд чи культуру"
"speak","говорити"
"leading an unexciting life for so long","тривале нудне життя"
"The reunion of ","Возз'їднання "
"Clicking delete will instantly delete!","Натискання ""Видалити"" призведе до негайного видалення!"
"Portable mode","Портативний режим"
"humanoid","гумано∙д"
"Meet their needs by providing [C:3:0:0]Meeting Areas[C:7:0:0] and [C:1:0:1]Locations[C:7:0:0] for socializing, worship, and study. ","Задовольняйте ∙хнў потреби, надаючи [C:3:0:0]Мўсця зустрўчей[C:7:0:0] та [C:1:0:1]Локацў∙[C:7:0:0] для спўлкування, поклонўння та навчання. "
"Seed text","Текст насўння"
" pump is used to supply air to the instrument.]"," насос використовуїться для подачў повўтря в прилад.]"
"Autumn has arrived on the calendar.","За календарем настала осўнь."
"This is your traveling companion.","Це ваш супутник."
"Assigned to ","Призначено "
"gained relative","з'явився родич"
"looks terrified","виглядаї наляканим"
"tower","вежа"
"is appalled by merrymaking, parties and other such worthless activities","жаххаїться гулянь, вечўрок та ўнших подўбних нўкчемних занять"
"Announce that you are hunting in your lair","Оголошення про полювання у своїму лўгвў"
"Searching ","Йде пошук "
"Save to new folder (same timeline)","Зберегти в нову папку (та сама часова лўнўя)"
" relaxed"," розслаблений"
" is torn apart!"," розўрвана на частини!"
"Push Object","Штовхнути об'їкт"
"the Traveler","Мандрўвник"
"Invader death aversion (four deaths)","Небажання загарбникўв через смерть (чотири смертў)"
"noted dancer","вўдомий танцюрист"
" has discovered "," вўдкрив "
" playing with "," граї з "
"You first heard this ","Вперше ви почули це "
"Underground River","Пўдземна рўчка"
"legendary fighter","легендарний боїць"
"has a narrow, jutting","маї вузьке пўдборўддя, що виступаї"
"known protector of the weak","вўдомий захисник слабких"
"With them ","З ними "
" remains put off by deliberate merrymaking"," досў остерўгаїться навмисних гулянок"
"retrieve ","повернути "
"Population: ~400","Населення: ~400"
"Expel","Вигнати"
"shells","черепашки"
"weapon","зброя"
"general","головний"
", being the rightful heir, has inherited the position of ",", будучи законним спадкоїмцем, успадкував посаду "
"Animal trained","Тварину видресирувано"
"Overconfident","Самовпевнений"
"crime of theft","злочин крадўжки"
"Mining","Копання"
"This is your jailor.","Це ваш тюремник."
"Rough glass","Необроблене скло"
" hundred"," сотня"
"Spikes","Шипи"
"myself","мене"
"[C:3:0:0]Zones[C:7:0:0] can be assigned to special [C:1:0:1]Locations[C:7:0:0]. Usually one [C:3:0:0]Meeting Area[C:7:0:0] is sufficient, but [C:1:0:1]Locations[C:7:0:0] can span several [C:3:0:0]Zones[C:7:0:0]. ","[C:3:0:0]Зони[C:7:0:0] можна призначати спецўальним [C:1:0:1]Локацўям[C:7:0:0]. Зазвичай достатньо одного [C:3:0:0]Мўсця зустрўчей[C:7:0:0], але [C:1:0:1]Локацў∙[C:7:0:0] можуть охоплювати кўлька [C:3:0:0]Зон[C:7:0:0]. "
"Child: ","Дитина: "
"Track/Ramp (SEW)","Спуск колў∙ (Пвд-Сх-Зх)"
"stopped being the mother of","перестала бути матўр'ю"
"Member of hated group","Член ненависно∙ групи"
"], [C:2:0:1]Ctrl+mouse wheel[C:7:0:0], or the indicated buttons.","], [C:2:0:1]Ctrl+колўщатко мишў[C:7:0:0] або вказаних кнопок."
" torturing "," катуї "
"grown ","виращений "
"herself","себе"
"Total Power: ","Загальна потужнўсть: "
"grim satisfaction","похмуре задоволення"
"Thin mist","Легкий туман"
"clear glass gems","Криштали прозорого скла"
"Infamous killer","Сумнозвўсний вбивця"
"Beside ","Поза "
"Remove this route.","Видалити цей маршрут."
"(enter name here)","(введўть назву тут)"
" until "," доки не "
" by a trap"," через пастку"
"murder","вбивство"
"Be warned that shooting a projectile currently has a long recovery time, so you may be subject to attack after you fire.  ","Будьте попередженў, що стрўльба снарядом наразў маї тривалий час вўдновлення, тому ви можете пўддатися атацў пўсля того, як вистрўлите. "
"Fog/Rain/Snow","Туман/дощ/снўг"
"Once the first leader is assigned, subsequent [C:5:0:0]Captain[C:7:0:0] positions will appear. ","Пўсля призначення першого лўдера з'являться наступнў посади [C:5:0:0]Капўтан[C:7:0:0]. "
"Weapon rack","Пўдставка для збро∙"
"southern","пўвденний"
"Body detail plans...","Плани деталўзацў∙ тўла..."
"Decent","Непоганий"
"Keep working","Продовжувати роботу"
" and others have returned."," та ўншў повернулися."
" own dead mother"," власна покўйна мати"
"Fever","Лихоманка"
"milkable ","придатна для до∙ння "
" masterfully constructed by "," майстерно побудовано "
"No one even considered making the journey to such a cursed death-trap this season.","Жодна душа цього сезону не наважилася на подорож до цўї∙ проклято∙ смертогубки."
" messenger"," гўнець"
"the relationship between the area of a circle and its radius, involving the ratio of the circumference of the circle to its diameter","спўввўдношення мўж площею круга та його радўусом через вўдношення довжини кола до його дўаметра"
"a force","сила"
"Cloth shop","Майстерня одягу"
"Crawling around babbling!","Повзаї навколо, белькочучи!"
"Counting House Offices","Кабўнети розрахунково∙ палати"
"frightened","наляканий"
"cloth to","тканину на"
"rumored enemy fighter","за чутками ворожий боїць"
" line"," рядок"
"How can society function without loyalty?  We must be able to have faith in each other.","Як суспўльство може функцўонувати без вўрностў? Ми повиннў мати змогу вўрити одне в одного."
"the Blast Furnace","Доменна пўч"
"table","стўл"
"the feeding of ","годування "
"Patterns...","Вўзерунки..."
"hearthpeople","члени вогнищ"
".  How do you like the sound of that?",". Як вам це звучить?"
"Waiting for construction...","Очўкування будўвництва..."
" are"," ї"
"Tropical Brackish Pool","Солонувата водойма тропўчного поясу"
"Creating the world","Створити свўт"
"Org: ","Орг: "
"Make the appropriate workshop with [C:5:0:1]Workshops[C:7:0:0] -> [C:5:0:1]Crafts[C:7:0:0]. ","Створўть вўдповўдну майстерню через [C:5:0:1]Майстернў[C:7:0:0] -> [C:5:0:1]Ремўсничў вироби[C:7:0:0]. "
"my mother","моя мати"
"'s possession of "," володўння "
"Recovers quickly","Швидко одужуї"
"Leave/","Покинути/"
"a poor setting","бўднў умови"
" Language"," Мова"
"If you obtain any magical powers during your adventure, you will find them in this menu.  ","Якщо ви отримаїте будь-якў магўчнў сили пўд час свої∙ пригоди, ви знайдете ∙х у цьому меню. "
"hammer","молот"
"body of relation rotted","тўло родича згнило"
"Slated for removal","Заплановано до видалення"
"You worship this figure.","Ви поклоняїтеся цўй постатў."
"Bolts nearby and available: ","Болтўв поруч ў доступно: "
"Loading...","Завантаження..."
"This type is restricted from cooking.","Цей тип заборонено готувати."
"Performing social actions","Виконання соцўальних дўй"
"Be with friends","Бути з друзями"
"revolution","революцўя"
"Welcome to the arena!  Here you can test mods or just play around.","Ласкаво просимо на арену! Тут ви можете тестувати моди або просто погратися."
"At least ","Щонайменше "
" been stunned!"," оглушений!"
""", a ",""", "
"[C:3:0:1]Related Historical Figures[C:7:0:0][B]","[C:3:0:1]Пов'язанў ўсторичнў особистў сутностў[C:7:0:0][B]"
"Polite","Ввўчливий"
"I don't care one way or another.","Менў байдуже в будь-якому разў."
"or raise the [C:6:0:0]Bridge[C:7:0:0], locking you inside. ","або пўднўме [C:6:0:0]Мўст[C:7:0:0], замкнувши вас всерединў. "
" to be "," бути "
" takes"," забираї"
"Assign new display items","Призначити новў предмети для вўтрини"
"Chant","Спўвати речитативом"
" breaks"," звўльняїться"
"punished by beating","покараний побиттям"
"Workshop","Майстерня"
"Small","Малий"
"There's nothing like a great romance!","Немаї нўчого кращого за чудову романтику!"
"the Summit","Зустрўч"
"Finish setting plant gathering orders.","Завершўть налаштування наказўв на збўр рослин"
"Noted thief","Вўдомий злодўй"
"Counting House","Розрахункова палата"
"Sorting interactions...","Сортування взаїмодўй..."
"Travel","Подорож"
"legendary storyteller","легендарний оповўдач"
"the construction and use of the camshaft","спорудження та використання розподўльного вала"
"Acquire object","Отримати предмет"
"Ambitious","Амбўтний"
" constructed "," побудовано "
"decided to become a baby-snatcher, operating","вирўшив стати викрадачем дўтей ў промишляв"
"Requires ","Потребуї "
"stone","камўнь"
"Trees: ","Дерева: "
"Economically linked to you","Економўчно пов'язанў з вами"
"We should have made it there by now.","Ми вже мали б там бути."
"Description:","Опис:"
"I am together with my ","Я разом зў сво∙м "
"Mineral Remedies","Лўки з мўнералўв"
"maternal grandmother","бабуся по матерў"
" hanging from "," висить на "
"Train","Тренувати"
"Affects ability to move quickly and dodge while armored.","Впливаї на здатнўсть швидко пересуватися та ухилятися в обладунках."
"Blocking is done with a shield and works on any attack, including fire and natural attacks.  ","Блокування виконуїться щитом ў працюї проти будь-яких атак, включаючи вогонь та природнў атаки. "
"Center on fort","Центрувати на фортў"
"believes that those who sacrifice for others should be deeply respected","вважаї, що тў, хто жертвуї собою заради ўнших, заслуговують на глибоку повагу"
"engineering:optics:water-filled spheres","engineering:optics:сфери заповненў водою"
"Restore defaults","Вўдновити стандартнў"
"Cheesemaking","Сироробство"
" is ripped into loose shreds!"," розўрвана на шматки!"
"Popup: Butcher and craft","Спливаюче вўкно: М'ясник та ремесло"
" telling the tale quite well."," розповўдаї ўсторўю досить добре."
"Conversations","Розмови"
"This work order has not been validated by the manager.  A manager can be employed in the nobles and administrators menu, and they must have an assigned office where they will work to validate orders.","Цей виробничий заказ не був затверджений керўвником. Керўвника можна призначити в меню знатў та адмўнўстраторўв, ў вўн повинен мати владний кабўнет для роботи, щоб затверджувати замовлення."
"You have authored ","Ви створили "
"Grant of Citizenship","Надання громадянства"
"Set Glass Mood Building","Призначити скляну майстерню для натхнення"
"the construction and use of the beaker","виготовлення та використання склянки"
"Click an existing zone to select it.","Тицнўть на ўснуючу зону щоб обрати ∙∙."
"You are still surrounded by cackling.","Ви все ще чуїте кпини та регўт навколо."
"This artwork is a","Цей твўр"
"cooked flesh","приготована плоть"
"You can also access information from the [C:5:0:1]Citizens[C:7:0:0] button.","Ви також можете отримати доступ до ўнформацў∙ через кнопку [C:5:0:1]Громадяни[C:7:0:0]."
"Education","Освўта"
"Unassertive","Невпевнений"
"Why does it keep happening to me?  Why me?!","Чому воно й далў трапляїться зў мною? Чому я?!"
"Offering tribute","Пропозицўя данини"
"she","вона"
"I'm not optimistic.","Я не оптимўстичний."
"You must designate a dungeon","Ви повиннў позначити в'язницю"
" seems "," схоже "
"clear glass paste","паста з прозорого скла"
"Creature bodies...","Тўла ўстот..."
"You refused to name yourself","Ви вўдмовилися представитися"
"Writhing in agony!","Корчиться в агонў∙!"
"Dungeon","Пўдземелля"
" flawlessly, like someone out of a legend!"," бездоганно, як легенда!"
"I haven't heard anything like that.","Я нўчого такого не чув."
"Disdains tranquility","Зневажаї спокўй"
"Verbally struggle against looming existential crisis","Вголос бўдкаїться через наближення екзистенцўйно∙ кризи"
"Slumberous","Сонливий"
"Finalizing tissue templates...","Завершення шаблонўв тканин..."
"You can also unretire characters directly if they are still alive.  ","Ви також можете безпосередньо скасувати вўдставку персонажўв, якщо вони ще живў. "
" offended"," ображений"
"Specify image","Вказати зображення"
"Considers preacher","Вважаї проповўдником"
"is fat yet tiny","товстий, але крихўтний"
"Reclaimed/","Повернуто/"
" dye using "," фарби з використанням "
"The poetry enters","Поезўя переходить у"
"Allocating space...","Видўлення простору..."
"the Soul","Душа"
"Winded","Задихаїться"
"Track/Ramp (NSEW)","Спуск колў∙ (Пвн-Пвд-Сх-Зх)"
"Bound Servitude","Примусове служўння"
"Work details","Робочў деталў"
"savanna","савана"
"a great hunter","видатний мисливець"
"Nest box claimed by","Гнўздо зайняте"
"Greatly feared as a villain","Дуже бояться як лиходўя"
"free","вўльний"
" (2 of 3)"," (2 з 3)"
"Training Session","Тренування"
"Generally, almost every task will be available for every citizen, but you can both restrict both citizens and tasks. ","Як правило, майже кожне завдання буде доступне для кожного громадянина, але ви можете обмежувати як громадян, так ў завдання. "
"The game is open-ended and you can do whatever you choose.  If you'd like a goal, try to join a village hearth and improve your reputation. ","Гра ї вўльною, ў ви можете робити все, що захочете. Якщо ви хочете мати мету, спробуйте приїднатися до сўльського вогнища та покращити свою репутацўю. "
"the Area","Площа"
"accepting bribes for leniency","отримання хабарўв за поблажливўсть"
"You are asking for ","Ви просите "
"crushed","придушено"
" and spilling "," ў розливаючи "
"Name","Назва"
"Masterwork engraving","Шедевральне гравўювання"
"Shoot.  Requires a ranged weapon and ammunition.","Стрўляти. Потрўбна далекобўйна зброя та боїприпаси."
" was stolen"," було вкрадено"
"younger brother","молодший брат"
"I'm very angry.","Я дуже злий."
"Shoot weapon","Стрўляти з збро∙"
" body level change"," змўна рўвня тўла"
"All of your progress since the last","Весь ваш прогрес з моменту останнього"
"State feelings of exhilaration","Вўдчуваї пўднесення"
"Give a sermon promoting a value","Виголосити проповўдь на пўдтримку цўнностў"
"a known murderer","вўдомий душогуб"
"Food Hauling","Перевезення ∙жў"
"Centered on target","Центрований на цўлў"
"infamous preacher","сумнозвўсний проповўдник"
"fifth eldest child","п'ята дитина"
"Finish removing mining etc. orders.","Припинити скасування наказўв на копання тощо."
"famous hero","вўдомий герой"
"Martial training","Бойове тренування"
"the sun and seasons","сонце ў пори року"
" upon "," "
"You continue the story.","Ви продовжуїте ўсторўю."
"Diplomacy tree-fell count","Дипломатичний лўмўт зрубаних дерев"
"Mods install automatically when chosen during world creation.","Моди встановлюються автоматично, коли ∙х вибрано пўд час створення свўту."
"[C:6:0:1]Crafts[C:7:0:0] are an easy way to make a lot of trade goods quickly. ","[C:6:0:1]Ремўсничў вироби[C:7:0:0] - це простий спосўб швидко створити багато торгових товарўв. "
"Return to title menu","Повернутися до головного меню"
"You might want to check your preset volcanism for the value 100.  ","Варто перевўрити налаштування висот для цього рўвня 100.  "
"Saving divination sets...","Збереження наборўв ворожўнь..."
"Recounting legends...","Переказування легенд..."
"You have known each other your entire lives.","Ви знаїте одне одного все життя."
"All available witness information is presented for each case. ","Для кожно∙ справи надаїться вся доступна ўнформацўя вўд свўдкўв. "
"Click to recover (creates new mission)","Натиснўть, щоб повернути (створить нове завдання)"
"and an adjacent wall with an open floor above for the ramp to be usable.","ў сусўдня стўна з вўдкритою пўдлогою зверху, щоб пандус можна було використовувати."
"Sing","Спўвати"
"Bars: other materials","Злитки: ўншў матерўали"
"Thank you for protecting our wisdom.","Дякую, що захистив нашу мудрўсть."
"Converting to smoothing blueprint","Перетворення на креслення шлўфування"
"Campground","Табўр"
" of the "," з "
"Select another rectangle","Видўлўть ще один прямокутник"
"with the lead advancing along the main line of motion","з випередженням по лўнў∙ основного руху"
"Spring","Весна"
"Forging Workshop","Ковальня"
"No mechanism for target","Вўдсутнўй механўзм для пўдключення об'їкта"
"possible comrade","можливий товариш"
"the screw","гвинт"
"treasure hunter","шукач скарбўв"
"lye maker","лужник"
"Magma Glass Furnace","Магменна скловарна пўч"
"Multiple Constructions","Кўлька конструкцўй"
"That isn't funny.","Це не смўшно."
"Construction initiated.","Будўвництво розпочато."
"Very hungry","Дуже голодний"
"Horizontal keyboard scroll tiles (world, fast)","Горизонтальне прокручування клавўатурою клўтинок (свўт, швидко)"
"Temperate Freshwater Pool","Прўсна водойма помўрного поясу"
"Automatic","Автоматичний"
"Metal ores","Металевў руди"
" millstone"," жорно"
"abductions","викрадення"
"Such nostalgia!","Така ностальгўя!"
