"Archery","Tiro ao Arco"
" Prisoner"," Prisioneiro"
"the injured part","a parte ferida"
"Unknown Age","Era Desconhecida"
"Tropical Freshwater Swamp","PÉntano Tropical de µgua Fresca"
"Journey","Jornada"
"Negativity","Negatividade"
"Found the body.","Encontrou o corpo."
"Potter","Oleiro"
"Sculpted","Esculpido"
"Military Tactics","T†ticas Militares"
"the Market","O Mercado"
"a shop","uma loja"
"exhaustion","exaust∆o"
" of the two themes"," de dois temas"
"a legendary meal","uma refeiá∆o lend†ria"
"Saving flow guides...","A salvar guias de fluxo..."
"Persuasion","Persuaá∆o"
"What can you tell me about yourself?","Que me pode dizer acerca de si?"
"Surrender","Render"
"Temperate Freshwater Marsh","Pantanal Temperado de µgua Fresca"
"[C:1:0:1]Related Entities[C:7:0:0][B]","[C:1:0:1]Entidades Relacionadas[C:7:0:0][B]"
" pick up "," pegar "
"diseases","doenáas"
"Track (NSW)","Caminho (NSW)"
"Clothier","Alfaiate"
"I had a nightmare about my deceased animal training partner.","Tive um pesadelo acerca do animal parceiro de treino falecido."
"Blacksmith","Ferreiro"
"a leather clothing shop","uma loja de roupa em cabedal"
"It consists of ","consistem em "
" Statue"," Est†tua"
"embezzlement","desfalque"
"Vandalism","Vandalismo"
"First, ","Primeiro "
"territory","territ¢rio"
"an unknown population","uma populaá∆o desconhecida"
"Thief","Ladr∆o"
"the musical composition ","a composiá∆o musical "
"large sums","grandes somas"
"a weaponsmith's shop","uma loja de ferreiro de armas"
"You cannot perform here.","N∆o pode atuar aqui."
"child","crianáa"
"lord","senhor"
"fourteen","catorze"
"reaction time","tempo de reaá∆o"
"economic data"," dados econ¢micos"
"the target ","o alvo "
"fortress entrance","entrada da fortaleza"
" over the details."," sobre os detalhes."
"A murderous ghost.","Um fantasma assassino."
"macabre","macabro"
"the Height of the Sky","a Altura do CÇu"
"Floor Hatch","Escotilha"
" under an obscure ruler"," sob un l°der obscuro"
"eighth ","um oitavo de "
"a well","um poáo"
"torn","rasgado"
"the Devouring","o Devorar"
"Lowest Precision","Precis∆o M°nima"
"the Word","a Palavra"
"feelings of greed","sentimentos de ganÉncia"
"the author","o autor"
"skeletons","esqueletos"
"archaeology","arqueologia"
"Friendship","Amizade"
"physical features","caracter°sticas f°sicas"
"Aquifer (Light)","Aqu°fero (Leve)"
" become enraged!"," torna-se enraivecido!"
"Summer has arrived on the calendar.","O Ver∆o chegou no calend†rio."
"Teaching","Ensino"
"I was out visiting the library.","Estive a visitar a biblioteca."
" Floor Bars"," Barras de Ch∆o"
"pure","puro"
"Woodcutter","Lenhador"
"causation","causaá∆o"
"the surveying staff","o pessoal explorador"
"the Valve","a V†lvula"
" proud"," orgulhoso"
"Scheduled Sleep Bed","Cama de Dormir Agendada"
" in each line"," em cada linha"
"bars","barras"
" beautifully."," belamente."
"former squad","equipa antiga"
"Biography","Biografia"
"Corpse ","Corpo "
"Events","Eventos"
"What an odd glow!","Que brilho bizarro!"
"an unknown region","uma regi∆o desconhecida"
"the Creature","a Criatura"
"the Sky and Refraction","o CÇu e a Refraá∆o"
"feelings of vanity","sentimentos de vaidade"
"Mountain","Montanha"
"known bully","abusador conhecido"
"the encyclopedia","a enciclopÇdia"
" group from "," agrupar de "
"Spears","Lanáas"
"moose","alce"
"Prose","Prosa"
"overlord","senhor supremo"
" diplomat from "," diplomata de "
"Commendable!  Your loyalty and bravery cannot be denied.","Louv†vel! A sua lealdade e coragem n∆o podem ser negadas."
"It is good to see you here.","ê bom ver-te aqui."
"the wedge","a cunha"
"thirteen","treze"
" chests"," arcas"
"Teach ","Ensinar "
"They are so full of all those big words.","Est∆o t∆o cheios de palavras grandes."
"missing item","item em falta"
"prognosis","progn¢stico"
"house","casa"
"a long-dead corpse was convicted of a crime","um corpo morto Ö muito foi condenado por um crime"
"Bags (Plant)","Sacos (Planta)"
" stumble"," tropeáar"
"prime numbers","n£meros primos"
"interaction","interaá∆o"
"There is nothing so important that it is worth telling a lie.","N∆o h† nada t∆o importante que valha a pena contar uma mentira."
"Aquifer (Heavy)","Aq£ifero (Pesado)"
" elaborate"," elaborado"
"Attend Parley","Comparecer na Negociaá∆o"
" delicate"," delicado"
"Saving entities...","A salvar entidades..."
"parallelism ","paralelismo "
"Hive","Colmeia"
" has shared a rumor from abroad."," partilhou um rumor do estrangeiro."
"Archer","Arqueiro"
"the Monastery","o Mosteiro"
"the Vault","o Cofre"
"a ligament","um ligamento"
"the Discovery","a Descoberta"
"messenger","mensageiro"
"Meditate on ","Meditar sobre "
" well."," bem."
"incision","incis∆o"
"Loyalty has value, but you should always keep the broader picture in mind.","A lealdade tem valor, mas tambÇm se deve manter em mente o quadro maior."
"Serene","Sereno"
"octet","octeto"
"the Vessel","o Nav°o"
"Dealings","Neg¢cios"
"Fifth","Quinto"
"Underground Pool","Piscina SubterrÉnea"
"bruised","amassado"
"dubious ","d£bio "
" drinks "," bebe "
"twenty","vinte"
"Plans","Planos"
"long-long","longo-longo"
"Fairness","Justiáa"
"prophet","profeta"
"the Meaning","o Significado"
"the Group","o Grupo"
"the ghost of my lover","o fantasma do meu amante"
"Words","Palavras"
"a library","uma biblioteca"
"I had a nightmare about my deceased mother.","Tive um pesadelo acerca da minha m∆e falecida."
"monkey","macaco"
"finds the notion that one would persevere through adversity completely abhorrent","acha a noá∆o de uma pessoa perseverar atravÇs de adversidade completamente aberrante"
"is a narrative","Ç uma narrativa"
"Talented","Talentoso"
"member","membro"
"Letter","Carta"
"Saving buildings...","A salvar edif°cios..."
"strings","cordas"
"Some performers finish their act.","Alguns artistas terminam o seu ato."
"contemplating","contemplando"
"shop","loja"
"Flatterer","Bajulador"
"the concept of war","o conceito de guerra"
"Dirt","Terra"
"Poet","Poeta"
" from paternal grandmother"," da av¢ paterna"
" subtle"," subtil"
"haunted","assombrado"
" choose"," escolhe"
"the ghost of my animal training partner","o fantasma do meu animal parceiro de treino"
"Cause and Effect","Causa e Efeito"
" propelled away by the force of the blow!"," projetado com a foráa do golpe!"
"Siege Engineering","Engenharia de Cerco"
"diagonals","diagonais"
"Grand Master","Grande Mestre"
" is visiting."," est† a visitar."
"I slaughtered an animal.","Esquartejei um animal."
" half"," metade"
"High Master","Grande Mestre"
"I had a nightmare about my deceased sibling.","Tive um pesadelo acerca do meu irm∆o falecido."
"It has been long time since I've done something creative.","Passou j† muito tempo desde que fiz algo criativo."
"You could not find a partner.","N∆o conseguiu encontrar um parceiro."
" used poor tactics"," usou t†ticas pobres"
"the ghost of my child","o fantasma da minha crianáa"
"The guilt is almost unbearable!","A culpa Ç quase insuport†vel!"
"the journey of ","a viagem de "
"torture","tortura"
"warehouse","armazem"
"Track/Ramp (SE)","Caminho/Rampa (SE)"
"proof by contradiction","prova por contradiá∆o"
"the imported clothing market","o mercado de roupa de importaá∆o"
"Bridge","Ponte"
"Office","Escrit¢rio"
"Track/Ramp (N)","Caminho/Rampa (N)"
"Please maintain your dignity.","Por favor mantenha a sua dignidade."
"Saving mandates...","A salvar mandatos..."
"the Temple","o Templo"
"gave in to fear of death","cedeu ao medo da morte"
"Second","Segundo"
"the Underground","o SubterrÉneo"
"the Caverns","as Cavernas"
"Wall","Parede"
"Cunning","Ast£cia"
"owner","dono"
"southeast","sudeste"
"the Cause of Twilight","a Causa do Crep£sculo"
"Pillar","Pilar"
"Jeweler","Joalheiro"
"alliteration","aliteraá∆o"
" empty "," vazio "
"rumored intruder","suposto intruso"
"Beekeeper","Apicultor"
"Ignorance","IgnorÉncia"
"the Ocean","o Oceano"
"star catalogues","cat†logos de estrelas"
"Legendary","Lend†rio"
"Organize Combat Training","Organizar Treino de Combate"
"the Ice","o Gelo"
"the Theft","o Roubo"
" member"," membro"
"Subterranean Water","µgua SubterrÉnea"
"Leave Vacant","Deixar Vazio"
" is throwing a tantrum!"," est† a fazer birra!"
" crude"," bruto"
"Sabotage","Sabotar"
"the keep","a fortaleza"
"surgical models","modelos cir£rgicos"
"Is it really you?","ês mesmo tu?"
" Demonstration"," Demonstraá∆o"
"Insufferable!","Insuport†vel!"
"values self-control","valoriza auto-controle"
"heirloom","heranáa"
"Nature","Natureza"
"the Sewers","os Esgotos"
"I chained up a creature.","Acorrentei uma criatura."
"Paved Road","Estrada Pavimentada"
"Expulsion","Expuls∆o"
"a market square","uma praáa de mercado"
"The struggle for power must be balanced by other considerations.","A luta por poder deve ser sempre balanáada com outras consideraá‰es."
"the concept of ","o conceito de "
"the Origin of Rainbows","a Origem dos Arco-÷ris"
"Adept","Adeto"
"short-short","curto-curto"
"Eloquence","Eloquància"
"Granite","Granito"
"You have discovered a deep pit.","Descobriu um poáo profundo"
"Horizontal Axle","Eixo Horizontal"
"It's for the best.","ê para o melhor."
"occupation","ocupaá∆o"
"lover ","amante "
"starving","faminto"
"a tunnel","um t£nel"
"specific weapon","arma espec°fica"
" vaguely like the intended "," vagamente como intencionado "
"  Enjoy the hunt!"," Divirta-se na caáa!"
"Fill Service Order","Preencher Ordem de Serviáo"
"Observation","Observaá∆o"
"starved to death.","morreu de fome."
" looks"," parece"
" is crushed!"," Ç esmagado!"
" the words evocatively."," as palavras de forma evocativa."
" high"," alto"
"Embark preparations were not completed.","Preparaá‰es para instaurac∆o n∆o foram completadas."
"pipe section","secá∆o de tubo"
"You have discovered an expansive cavern deep underground.","Descobriu uma caverna extensa nas profundezas da terra."
"conspiracy to slow labor","conspiraá∆o de atrasar trabalho"
"I'm returning from my patrol.","Estou a regressar da minha patrulha."
"the Forest","a Floresta"
"the Fortress","a Fortaleza"
"murderous ghost","fantasma assass°no"
"the stanza","a estrofe"
"Combat Training","Treino de Combate"
"Loading crimes...","A carregar crimes..."
"My good friend.","Meu bom amigo."
"slimy ","viscoso "
"Conversation","Conversaá∆o"
"Machinery","Maquinaria"
"values peace over war","d† mais valor Ö paz que Ö guerra"
"Histories of ","Hist¢rias de "
"sixty","sessenta"
"burial","enterro"
"Intimidation","Intimidaá∆o"
"That's annoying.","Isso Ç irritante."
"spouse ","esposo "
"tavern sign","sinal de taberna"
"the Resurrection","a Ressurreiá∆o"
"Loading activities...","A carregar atividades..."
"coyote","coiote"
"Building site submerged","Zona de construá∆o submersa"
"Masterpiece","Obra-Prima"
"Some soil","Algum solo"
"a village nearby","uma aldeia perto"
"Transformation","Transformaá∆o"
" during "," durante "
"the Struggle","a Luta"
"It is raining ","Est† a chover "
"apprentice ","aprendiz "
"Secrets","Segredos"
"the Corpse","o Corpo"
" Cavern Floor"," Ch∆o de Caverna"
"vault","cofre"
"Discipline","Disciplina"
"No ammunition","N∆o h† muniá∆o"
"southwest","sudoeste"
"Wagon","Vag∆o"
"values martial prowess","valoriza destreza marcial"
"We must go back.","Devemos voltar para tr†s."
"Invalid Type","Tipo Inv†lido"
"the meat market","o mercado de carne"
"I don't have enough cabinets.","N∆o tenho arm†rios suficientes."
" steps in an intricate pattern"," pisa um padr∆o elaborado"
"Handling compatibility issues...","A tratar de problemas de compatibilidade..."
"been shot and killed.","foi alvejado e morto."
"rough gems","gemas em bruto"
" in the magma"," no magma"
"vandalism","vandalismo"
"the force","a foráa"
"the finale","o final"
"It is abhorrent to seek power over other people.","ê aberrante procurar poder sobre outra pessoas."
"Friends are future enemies.  I don't see the difference.  People do as they must.","Amigos s∆o futuros inimigos. N∆o vejo a diferenáa. As pessoas fazem o que devem fazer."
"Vast Amounts","Quantidades Vastas"
"mud bags as surgical models","sacos de lama como modelos cir£rgicos"
"Everything is so much easier when you just tell the truth.","Tudo Ç t∆o mais f†cil quando se conta simplesmente a verdade."
"Loyalty","Lealdade"
"The impertinent lava has defaced a ","A lava impertinente desfigurou um "
" low"," baixo"
"northeast","nordeste"
"Track (SE)","Caminho (SE)"
"armadillo","tatu"
"a corrupt agreement was formed","um acordo corrupto foi formado"
"quarter ","um quarto de "
"murdered","assassinado"
"Steal","Roubar"
" undulating"," ondulante"
"Eighteenth","DÇcimo oitavo"
" with a cunning plan"," com um plano ast£to"
"Copy","Copiar"
"toxicology","toxicologia"
"Kidnapping","Rapto"
"!  Limited supply","! Stock limitado"
" dancing well."," danáar bem."
"Listen to Sermon","Escutar o Serm∆o"
"Guard Path","Guardar Caminho"
"thirsty","com sede"
"farmer","lavrador"
"the process of economic data collection","o processo de coleta de dados econ¢micos"
" of the previous passage"," da frase anterior"
"Coordination","Coordenaá∆o"
", lightly tapping the target!",", batendo ligeiramente no alvo!"
"Never.","Nunca."
"[NAME:assemble ","[NAME:montar "
"Lead ","Liderar "
"Balance","Balanáo"
"Rebirth","Renascimento"
"I told somebody that I am being prevented from leaving.","Disse a alguÇm que me est∆o a proibir de partir."
"I could do without all of those creatures and that tangled greenery.","Podia passar sem estas criaturas todas e aquela vegetaá∆o enleada."
"Testing Arena","Arena de Testes"
"A few people were expelled","Algumas pessoas foram expulsas"
" having more trouble breathing!"," est† com mais dificuldade em respirar!"
"My request was approved.","O meu pedido foi aprovado."
" Slab"," Pedra"
"embriological development","desenvolvimento embri¢nico"
"the Invasion","a Invas∆o"
"Write about ","Escrever sobre "
"an angry ghost","um fantasma zangado"
"Track/Ramp (NSW)","Caminho/Rampa (NSW)"
"A masterwork of ","Uma obra-prima de "
"I hold the relationships I've forged myself over family ties I had no part in creating.","Dou mais importÉncia Ös relaá‰es que criei do que laáos de fam°lia nos quais n∆o tomei parte nenhuma a formar."
"the ghost of my friend","o fantasma do meu amigo"
"catacombs","catacumbas"
"Track (S)","Caminho (S)"
"You feel like you know the basic rules of ","Sente que sabe as regras b†sicas de "
"Windmill","Moinho de Vento"
"someone","alguÇm"
"a stone furniture shop","uma loja de mob°lia em pedra"
"isosceles triangles","triÉngulos is¢sceles"
"the Coup","o Golpe de Estado"
"the method of autopsy","o mÇtodo de aut¢psia"
"months","meses"
" dismount"," desmontar"
"trenches","trincheiras"
"light and color","luz e cor"
"the Shrine","o Sanctu†rio"
"alcoholic beverages","bebidas alco¢licas"
"No food available","N∆o h† comida dispon°vel"
"Sword","Espada"
"the ruffians","os rufias"
"the Bellows","os Foles"
"a bridge","uma ponte"
"Track (E)","Caminho (E)"
"horn","chifre"
"an unknown secret","um segredo desconhecido"
"the ghost of an acquaintance","o fantasma de um conhecido"
" septet"," septeto"
"song","caná∆o"
"marmot","marmota"
"The annual tribute from ","O tributo anual de "
"Mercenary","Mercen†rio"
"dreams of seeing the great natural places of the world","sonha em ver os grandes locais naturais do mundo"
"Siege Engine","M†quina de Cerco"
"Don't be afraid to do anything to get ahead in this world.","N∆o tenha medo de fazer o que tem de fazer para ter vantagem neste mundo."
"The dance continues.","A danáa continua."
" Floor Hatch"," Escotilha"
"Pilgrim","Peregrino"
"We should all work together.","Dev°amos trabalhar juntos."
"I think self-control is key.  Master yourself.","Acho que auto-controle Ç essencial. Mantenha-se mestre de si mesmo."
"triangle and circles","triÉngulos e c°rculos"
"It is snowing ","Est† a nevar "
"A form of ","Uma forma de "
"The performers","Os artistas"
"the Dissolution","a Dissoluá∆o"
"I was always irritated by family.","Estava sempre irritado com a fam°lia."
" keyboard.  "," teclado. "
"sister","irm∆"
"a formalized agreement","um acordo formalizado"
"murderer","assassino"
"the Military","os Militares"
"the abduction","o rapto"
"Skilled","H†bil"
"the Merchants","os Mercadores"
"technological evolution","evoluá∆o tecnol¢gica"
" image"," imagem"
"Twelfth","DÇcimo segundo"
"Always deal fairly.","Negoceie sempre de forma justa."
"a carpenter's shop","uma loja de carpintaria"
"is","Ç"
" has been founded "," foi fundado "
"Treasure","Tesouro"
"the ghost of a pet","o fantasma do meu animal de estimaá∆o"
"Membr","Membro"
"I don't have a shirt.","N∆o tenho uma camisa."
"I'm on an important mission.","Estou numa miss∆o importante."
"Civilization","Civilizaá∆o"
"hospital staff","pessoal de hospital"
"sadistic ghost","fantasma s†dico"
"the Desert","o Deserto"
"distant ","distante "
"frustrated","frustrado"
"I need to learn something new.","Preciso aprender algo novo."
"a new friend","um novo amigo"
"decided to become a mercenary, operating","decidiu tornar-se um mercen†rio, operando"
"Equipment","Equipamento"
"offered immortality","ofereceu imortalidade"
"teeth","dentes"
" explodes into gore!"," explode em entranhas!"
"Manners","Maneiras"
"You cannot mount ","N∆o pode montar "
"somebody","alguÇm"
"the Artifact","o Artefacto"
"pilgrim","peregrino"
"the Tunnels","os T£neis"
"I'm walking my patrol.","Estou a caminhar na minha patrulha."
"fair","justo"
"killer","matador"
"herbalist","ervan†rio"
"Bribery","Suborno"
" fled "," fugiu "
"Identify yourself!","Identifique-se!"
"a recapitulation","uma recapitulaá∆o"
"My punishment was reduced.","O meu castigo foi reduzido."
"smooth ","suave "
"I need time to contemplate.","Preciso de algum tempo para contemplar."
" item."," item."
"is a coward, completely overwhelmed by fear when confronted with danger","Ç um covarde, sendo completamente tomado por medo quando confrontado com perifo"
"dreams of attaining rank in society","sonha em obter posiá∆o na sociedade"
"the moon's path","o caminho da lua"
"an unknown artifact","um artefacto desconhecido"
"bone","osso"
"the Crank","a Engrenagem"
" quatrain"," quadra"
"grandmother","av¢"
"This is my favorite music.","Esta Ç a minha m£sica favorita."
"belief","crenáa"
"clear","claro"
"ethics and the state","Çtica e o estado"
"Thought","Pensamento"
"the glass lens","a lente de vidro"
"It's better to work alone when possible, I think.  Cooperation breeds weakness.","ê melhor trabalhar s¢ quanto poss°vel, penso eu. Cooperaá∆o cria fraqueza."
"I've been injured badly.","Fui ferido com gravidade."
"Fishery","Pescadaria"
"the Fall","a Queda"
" lies on the ground."," jaz no ch∆o"
"Archery Target","Alvo de Tiro ao Arco"
"artifact","artefacto"
"the Abduction","o Rapto"
"a series of variations","uma sÇrie de variaá‰es"
"climate zones","zonas climatÇricas"
" giving a creditable sermon."," dando um serm∆o cred°vel."
"the Rocks","as Rochas"
"Genius","GÇnio"
"Imported Clothing","Roupa Importada"
"chameleon","camale∆o"
" the story in vivid detail."," a hist¢ria com detalhes v°vidos."
"I had a nightmare about my deceased pet.","Tive um pesadelo acerca do meu animal de estimaá∆o falecido."
"a corruption conspiracy","uma conspiraá∆o de corrupá∆o"
"Poetry Recital","Recital de Poesia"
"the Dungeon","A Masmorra"
"Former ","Antigo "
"a lousy intellect","um intelecto pÇssimo"
"Messenger","Mensageiro"
" Wall Grate"," Grade de Parede"
"Baby","BÇbÇ"
"chain","corrente"
"historian","historiador"
" Casket"," Caix∆o"
"values sacrifice","valoriza sacrif°cio"
"Fourth","Quarto"
"tidal height","altura das marÇs"
"I talked to somebody.","Falei com alguÇm."
" even more sick!"," ainda mais doente!"
"We need to move beyond traditions.","Devemos ir alÇm de tradiá‰es."
"screams","grita"
" is ripped to shreds!"," Ç rasgado em farripas!"
"It's not my problem.","N∆o Ç o meu problema."
"the Mural Instrument","o Instrumento de Murais"
"pearl","pÇrola"
"occupations","ocupaá‰es"
"a road","uma estrada"
"presupposes success in any venture requiring ","pressup‰e sucesso em qualquer risco que requira "
"circles","c°rculos"
"hare","lebre"
"There's nothing like a good friend.","N∆o h† nada como um bom amigo."
"nostalgic","nostalgico"
"medical schools","escolas mÇdicas"
"the Coins","as Moedas"
"a castle tower","uma torre de castelo"
"bodily fluids","fluidos corporais"
"Wind Instrument","Instrumento de Sopro"
"section","seá∆o"
"Planters","Plantadores"
"hanging from ","pendurado de "
"Food ","Comida "
" Axle"," Eixo"
"the Joy","a Alegria"
"Somebody","AlguÇm"
"  The need for my task seems to have passed."," A necessidade da minha tarefa parece ter passado."
"alloys","ligas"
"I am so enraged!","Estou t∆o enraivecido!"
"They are outlaws.","S∆o foras-da-lei."
"Vacant Shop","Loja Dispon°vel"
"the death","a morte"
"Temperate Freshwater River","Rio de µgua Fresca Temperado"
"Unnamed ","Sem nome "
"ghost","fantasma"
"pleased with the trading","contente com o neg¢cio"
"a relative of the author","um parente do autor"
"and refused","e recusou"
"endemic disease","doenáa endÇmica"
"Organize ","Organizar "
"the Equipment","o Equipamento"
"the tumbler lock","o canh∆o de fechadura"
", but the attack is deflected by ",", mas o ataque Ç defletido por "
"medium precision","precis∆o mÇdia"
"through touch","por toque"
" musical instrument"," instrumento musical"
" facial expression"," express∆o facial"
"Sand Desert","Deserto de Areia"
"a bribery conspiracy","uma conspiraá∆o de suborno"
"The story continues.","A hist¢ria continua."
"the Marsh","o PÉntano"
"You have no appropriate ingredients.","N∆o tens ingrediente adequado algum."
" Animal Trap"," Armadilha de Animal"
"Saw ","Viu "
"Obsidian","Obsidiana"
"Pumps from the west","Bombas do oeste"
" in situations requiring "," em situaá‰es que pedem "
"I'm dehydrated.","Estou desidratado."
"Dance Competition","Competiá∆o de Danáa"
"Loading formations...","A carregar formaá‰es..."
"Closing Ceremony","Cerim¢nia de Encerramento"
"Government","Governo"
"Professional","Profissional"
"I had a nightmare about my deceased lover.","Tive um pesadelo acerca do meu amante falecido."
"Stone Furniture","Mob°lia de Pedra"
"Coins ","Moedas "
"bedrooms.","quartos."
"Track (NEW)","Caminho (NEW)"
"Saving effects...","A salvar efeitos..."
"You should only maintain loyalty so long as something more important is not at stake.","A lealdade deve ser mantida apenas enquanto algo mais importante n∆o est† em risco."
"My request was ignored.","O meu pedido foi ignorado."
"ardent ","ardente "
"the Poor","os Pobres"
" Pillar"," Pilar"
" has finished performing."," terminou o seu espet†culo."
"an unwillingness to accept death","uma resistància em aceitar a morte"
"Fishermen","Pescadores"
"lack of loyalty toward","falta de lealdade para com"
"The enemy!","O inimigo!"
"rope","corda"
"suffered minor injury","sofreu ferimentos menores"
"Glacier","Glaciar"
" speak"," fala"
"allegory","alegoria"
"Y Dimension","Dimens∆o Y"
"Plots","Tramas"
" an enemy."," um inimigo."
"Neighbors:","Vizinhos:"
"Such happiness!","Tanta felicidade!"
"a hillock","um pequeno monte"
"Ropes (Silk)","Cordas (Seda)"
"the idea of ","a ideia de "
"I was re-elected.","Fui re-eleito."
" Chest"," Peito"
"the Author","o Autor"
"niece","sobrinha"
"the Cavern","a Caverna"
"Loading squads...","A carregar esquadras..."
"justification","justificaá∆o"
"I'm going out to the tavern.","Vou atÇ Ö taberna."
"Economic Policy","Pol°tica Econ¢mica"
"Testing Arena (Adventurer)","Arena de Testes (Aventureiro)"
"Floor","Ch∆o"
"I had a nightmare about my deceased child.","Tive um pesadelo acerca da minha crianáa falecida."
"Watch Dance","Ver Danáa"
" on the second theme"," no segundo tema"
" aborted"," abortado"
"blood drained","sangue drenado"
"a vague agreement","um tratado vago"
" improved "," melhorado "
"intense","intenso"
" have married.  Congratulations!"," casaram. ParabÇns!"
"Interpersonal Conduct","Conduta Interpessoal"
"I need to pause and reflect upon myself.","Preciso de parar e refletir sobre mim."
"Woodworker","Marceneiro"
"the Artisans","os Artes‰es"
"  The plan worked."," O plano funcionou."
" steps in a figure-eight pattern"," pisa um padr∆o em forma de oito"
", the deity of ",", a divindade de "
" abilities"," habilidades"
"Button ","Bot∆o "
"Kiln","Forno"
"Outcast","Exilado"
"Five hundred or more people were expelled","Quinhentas ou mais pessoas foram expulsas"
"Play Make Believe","Brincar de Faz de Conta"
"I like to dress well.","Gosto de me vestir bem."
" a murderer."," um assassino."
"resentful","com ressentimento"
"the Holy City","a Cidade Santa"
"Autumn has come.","O Outono chegou."
" stands up."," levanta-se."
"Spear","Lanáa"
"yard","quintal"
"vigorous","vigoroso"
"personal interviews","entrevistas pessoais"
"the Religion","a Religi∆o"
"hardness","dureza"
"the verse paragraph","o par†grafo de verso"
"valves","v†lvulas"
"is incredibly skinny and very small","Ç incrivelmente magricela e muito pequeno"
"I did my combat drills.","Terminei os meus treinos de combate."
"the mead hall","o sal∆o de hidromel"
"I was out in a blizzard.","Estava na nevasca."
"Bar/Block ","Barra/Bloco "
" collapses into a lump of gore!"," colapsa num monte de entranhas!"
"Stone","Pedra"
"mechanisms","mecanismos"
"the Questioning","o Questionar"
"First Contact","Primeiro Contato"
"acute and chronic conditions","condiá‰es graves e cr¢nicas"
"the Law of Refraction","a Lei de Refraá∆o"
" of"," de"
"eye anatomy","anatomia do olho"
"Religion","Religi∆o"
"rancid","ranáoso"
"Unidentified","N∆o Identificado"
"I hate them.","Odeio-os."
"the retort","a retorta"
"rotten","podre"
" including "," incluindo "
" Throwing Competition"," Competiá∆o de Arremesso"
"Relations","Relaá‰es"
" keyboard"," teclado"
"scribe","escriba"
" in the lava"," na lava"
"Finalizing languages...","A finalizar l°nguas..."
"energetic","energÇtico"
"Tropical Saltwater River","Rio Tropical de µgua Salgada"
"a very good dining room","uma sala de refeiá‰es mui boa"
"casual ","casual "
"claims it as an heirloom in the name of the family ancestor ","toma posse como uma heranáa em nome da fam°lia do antepassado "
"chain ","cadeia "
"Change","Mudanáa"
"the Conviction","a Condenaá∆o"
" collection of outcasts from "," coleá∆o de exilados de "
"Comedy","ComÇdia"
"Cook","Cozinheiro"
"a food imports store","uma loja de comida de importaá∆o"
"active","ativo"
"squirrel","esquilo"
"market","mercado"
"surgeon","surgi∆o"
"Listen to Story","Escutar Hist¢ria"
"Rage","Raiva"
"a clothing imports store","uma loja de roupa de importaá∆o"
"The temple petition by ","A petiá∆o de templo de "
"the Thief","o Ladr∆o"
"Cold","Frio"
"Horizontal ","Horizontal "
"being shot","sendo alvejado"
"the Teacher","o Professor"
" lose hold of the "," perca controlo de "
"clockwise ","sentido dos ponteiros do rel¢gio "
"I'd love to travel and create art.","Adoraria viajar e criar arte."
"triangulation","triangulaá∆o"
"Dancer","Danáarino"
"the Horror","o Horror"
"the Underworld","o Mundo SubterrÉneo"
"infamous villain","vil∆o infame"
"the Kidnapping","o Rapto"
"llama","lama"
"Wrestling Competition","Competiá∆o de Luta Livre"
"Comedian","Comediante"
"blacksmith","ferreiro"
" aggressive"," agressivo"
"a bowyer's shop","uma loja de fabrico de arcos"
"believes that hard work is one of the highest ideals and a key to the good life","acredita que trabalho †rduo Ç um dos ideais mais elevados e a chave para uma boa vida"
"The sermon continues.","O serm∆o continua."
" Road"," Estrada"
"fifteen","quinze"
"Essay","Ensaio"
"the Insurrection","a Inssurreiá∆o"
"Inaccessible","Inacess°vel"
"Tell me about this area.","Conte-me acerca desta †rea."
"Saw that the object was missing.","Viu que o objeto estava sumido."
"the Caravan","a Caravana"
"Occurrences","Ocorràncias"
"the Alliance","a Alianáa"
"Study","Estudo"
"the chariot odometer","o od¢metros de carruagem"
"I was ","Fui "
"Two Powers","Dois Poderes"
"Get away from me!","Afaste-se!"
"Loading map data...","A carregar dados do mapa..."
"The quest for knowledge never ends.","A busca de conhecimento nunca acaba."
"It was inevitable.","Era inevit†vel."
"laboring","trabalhando"
" has brought back a rumor from abroad."," trouxe de volta um rumor do estrangeiro."
"a lover","um amante"
"I'm not planning a journey.","N∆o estou a planear uma viagem."
"metaphor","met†fora"
"Track/Ramp (NSE)","Caminho/Rampa (NSE)"
"Speaker","Orador"
"Area inaccessible","µrea inacess°vel"
"distant","distante"
"Saving units...","A salvar unidades..."
"Stone ","Pedra "
"geometric objects","objetos geomÇtricos"
"the ampoule","a ampolha"
"Adequate","Adequado"
"reproductive behavior","comportamento de reproduá∆o"
"Shield","Escudo"
"Honesty","Honestidade"
"improvised music, ","m£sica improvisada, "
"Stagnant salt water [","µgua salgada estagnada ["
" play"," peáa"
"Quiet","Sossegado"
"Embezzlement","Desfalque"
"Reclaim ","Reclamar "
"Throneroom","Sala do Trono"
"Make Believe","Fazer Crer"
" have returned."," voltou."
"high precision","alta precis∆o"
" witnesses"," testemunhas"
"the Place","o S°tio"
"the corruption conspiracy","a conspiraá∆o de corrupá∆o"
"Noble quarters","Aposentos de Nobres"
"sibling","irm∆o"
" in "," em "
"Loading tracking information...","A carregar informaá∆o de rastreamento..."
"The entire dance has a basic movement ","A danáa na sua totalidade tem um movimento b†sico "
"the Interrogation","o Interrogat¢rio"
"Saving projectiles...","A salvar projÇteis..."
" gives you "," d†-lhe "
