"its","øia"
" loudly percussive"," laýte perkuta"
" softly percussive"," mallaýte perkuta"
" aborted"," abortita"
" partially realized"," parte plenumita"
" energetic"," energia"
" passionate"," pasia"
" vivacious"," viveca"
" joyous"," øoja"
" proud"," fiera"
" flamboyant"," bunta"
" lively"," verva"
" spirited"," sprita"
" vigorous"," vigla"
" intense"," intensa"
" aggressive"," agresema"
" powerful"," potenca"
" sluggish"," malvigla"
" relaxed"," malstreæita"
" passive"," pasiva"
" subtle"," subtila"
" sensual"," malæasta"
" debauched"," diboæa"
" twisting"," tordiøanta"
" sprightly"," animita"
" sinuous"," sinua"
" repeated"," ripeta"
" counterclockwise"," kontraýhorloødirekta"
" clockwise"," horloødirekta"
" eighth"," okona"
" quarter"," kvarona"
" half"," duona"
" steps in a square pattern"," paþoj laý kvadrata skemo"
" steps in a circular pattern"," paþoj laý cirkla skemo"
" steps in a triangle pattern"," paþoj laý triangula skemo"
" steps in a figure-eight pattern"," paþoj laý ok-figura skemo"
" steps in an intricate pattern"," paþoj laý malsimpla skemo"
" move"," movo"
" turn"," turno"
" run"," kuro"
" leap"," salto"
" kick"," piedbato"
" left kick"," maldekstra piedbato"
" right kick"," dekstra piedbato"
" movement along the line of dance"," movado laý la linio danca"
" performed in succession"," interpretata sekve"
" performed in retrograde"," interpretata kankrire"
" with"," kun"
" is a "," estas "
"sacred","sankta"
" group"," grupo"
" solo"," sola"
"celebration","festo"
"solo ","sola "
"participation","partopreno"
"social","socia"
"performance","prezentado"
" partner"," kunulo"
"war","milito"
" for a single pair"," por sola paro"
" dancers"," dancistoj"
" pairs"," paroj"
" which grew out of the performances of "," kiu elkreskis el la prezentadoj de "
" originally devised by "," originale elpensita de "
"The form guides dancers during improvised performances.  ","La formo gvidas dancistojn dum improvizataj prezentadoj. "
"The rules of the form are applied by choreographers to produce individual dances which can be performed.  ","La regulojn de la formo aplikas ¶oreografoj por produkti unikajn dancojn, kiuj interpreteblas. "
" as the dancers act out "," dum la dancistoj aktas "
"The dance is accompanied by ","La danco estas akompanita de "
" as the dancer acts out "," dum la dancistoj aktas "
"any composition of ","iu ajn kompana¼o pri "
"The dancers perform ","La dancistoj interpretas "
"turning counterclockwise","turnante kontraûhorloødirekta"
"The dancer performs ","La dancisto interpretas "
"loosely mingled","loze miksita"
"in a double circle","en duopa cirklo"
"in a circle","en rondo"
"in several lines","en pluraj linioj"
"in a single line","en unu linio"
"along an intricate path","laý kompleksa vojo"
"along an improvised path","laý improvizita pado"
"along a counterclockwise circle","laû kontraûhorloødirekta cirklo"
"along a clockwise circle","laý horloødirekta cirklo"
"turning clockwise","turnante horloødirekta"
", moving ",", moviøante "
"slowly ","malrapide "
"slower and slower ","pli kaj pli malrapide "
"faster and faster ","pli kaj pli rapide "
"quickly ","rapide. "
"very quickly ","tre rapide "
"to the music's ","al la muzika "
" rhythm"," ritmo"
"with the music","per la muziko"
"The partners ","La partneroj "
"rarely make contact","malofte fari kontakton"
"maintain open contact","subteni malferman kontakton"
"dance closely","dancas proksime"
", communicating intent ",", komunikanta intenco "
"by pushing together","per kunpuþiøado"
" constantly"," konstante"
" briefly"," mallonge"
"by pulling away","per fortiriøado"
"constantly ","konstante "
"briefly ","mallonge "
"through touch","per takto"
"through a light touch","per milda takto"
"through visual cues","per vidaj indikoj"
"through spoken cues","per parolitaj indikoj"
"There are partner changes throughout the dance ","Ekzistas þanøoj de partneroj dum la tuta danco "
"with the lead turning out counterclockwise","kun la kondukanto turnante kontraýhorloødirekte"
"with the lead turning out clockwise","kun la kondukanto turnante horloødirekte"
"with the lead advancing against the main line of motion","kun la kondukanto antaýenirante kontraý la æefa linio de movo"
"with the lead advancing along the main line of motion","kun la kondukanto antaýenirante laý la æefa linio de movo"
"The dancers imitate the movement of the ","La dancistoj imitas la movado de la "
"This dance is a refined artform, with ","Æi tiu danco estas rafinita artformo, kun "
" special position"," speciala pozicio"
" specific move"," specifa movo"
" to be mastered.  "," por primajstri. "
"The entire dance has a basic movement ","La tuta danco havas bazan movadon "
"The","La"
" dance is"," danco estas"
" dance is punctuated by "," danco estas interpunktita per "
"graceful","gracia"
"calm","trankvila"
"grotesque","groteska"
"crude","kruda"
"refined","rafinita"
"understated","subtaksita"
"delicate","delikata"
"elaborate","ellabora"
"expressive","esprimiva"
"strong","forta"
"large","granda"
"weightless","senpeza"
"fluid","fluida"
"undulating","ondiøanta"
"soft","mola"
"jerking","skuanta"
"sharp-edged","akra"
"straight-lined","rekta"
"high","alta"
"low","malalta"
"loudly percussive","laýte perkuta"
"softly percussive","mallaýte perkuta"
"aborted","abortita"
"partially realized","parte plenumita"
"energetic","energia"
"vivacious","viveca"
"joyous","øoja"
"flamboyant","bunta"
"lively","verva"
"spirited","sprita"
"vigorous","vigla"
"intense","intensa"
"aggressive","agresema"
"powerful","potenca"
"sluggish","malvigla"
"relaxed","malstreæita"
"passive","pasiva"
"subtle","subtila"
"sensual","malæasta"
"debauched","diboæa"
"twisting","tordiøanta"
"sprightly","animita"
"sinuous","sinua"
"repeated ","ripeta "
"counterclockwise ","kontraýhorloødirekta "
"clockwise ","horloødirekta "
"eighth ","okona "
"quarter ","kvarona "
"half ","duona "
"turns","turnoj"
"facial expressions","vizaøaj esprimoj"
"hand gestures","mangestoj"
"straight walks","rektaj marþadoj"
"curved walks","kurbaj marþadoj"
"runs","kuroj"
"leaps","saltoj"
"kicks","piedbatoj"
"left kicks","maldekstraj piedbatoj"
"right kicks","dekstraj piedbatoj"
"leg lifts","levadoj de gamboj"
"left leg lifts","levadoj de maldekstraj gamboj"
"right leg lifts","levadoj de dekstraj gamboj"
"body level","korpa nivelo"
"body level changes","þanøoj de korpa nivelo"
"arm carriage","porto per brako"
"raised left arms","levitaj maldekstraj brakoj"
"raised right arms","levitaj dekstraj brakoj"
"raised arms","levitaj brakoj"
"spins","turniøoj"
"independent body movement","sendependa korpa movado"
"sway","balanciøo"
"forward bends","antaýen kliniøadoj"
"backward bends","malantaýen kliniøadoj"
"leftward bends","maldekstren kliniøadoj"
"rightward bends","dekstren kliniøadoj"
"footwork","piedmovado"
"movement along the line of dance","movado laý la linio danca"
", with ",", kun "
"large ","granda "
"moves","movas"
"performed in succession","interpretata sekve"
"performed in retrograde","interpretata kankrire"
"The dance begins with the ","La danco komenciøis per la "
"The dance enters a new section with the ","La danco komencas novan sekcion kun la "
"next ","sekva "
"creature","esta¼o"
"fourteen","dek kvar"
" million"," miliono da"
" thousand"," mil"
" hundred"," cent"
"thirty","tridek"
"forty","kvardek"
"fifty","kvindek"
"sixty","sesdek"
"seventy","sepdek"
"eighty","okdek"
"ninety","naýdek"
"Negative ","Negativa "
"Zeroth","Nula"
"First","Unua"
"Second","Dua"
"Third","Tria"
"Fourth","Kvara"
"Fifth","Kvina"
"Seventh","Sepa"
"Eighth","Oka"
"Ninth","Naýa"
"Tenth","Deka"
"Eleventh","Dekunua"
"Twelfth","Dekdua"
"Thirteenth","Dektria"
"Fourteenth","Dekkvara"
"Seventeenth","Deksepa"
"Nineteenth","Deknaýa"
"The impertinent lava has defaced a ","La impertinenta lafo difektis "
"The impertinent magma has defaced a ","La impertinenta magmo difektis "
" sculpture has melted!"," skulpta¼o estas fandita!"
"Digging designation cancelled: warm stone located.","Fosada instrukcio nuligita: varman þtonon lokalizis."
"Digging designation cancelled: damp stone located.","Fosada instrukcio nuligita: malseketan þtonon lokalizis."
"troll","trolo"
"viper","vipero"
"Shop","Butiko"
"Trade Depot","Komerca Stacidomo"
"Nest","Nesto"
"Nest Box","Nestoskatolo"
"Offering Place","Oferejo"
"Wagon","Kaleþo"
"Carpenter's Workshop","Æarpentista Metiejo"
"Farmer's Workshop","Kulturista Metiejo"
"Craftsman","Metiisto"
"Magma Forge","Magmoforøejo"
"'s Workshop","Metiejo"
"Siege Workshop","Metiejo de Sieøo"
"Leather Works","Manufakturo de Ledaj Varoj"
"Clothier","Tajloro"
"Tool","Ilo"
"Workshop","Metiejo"
"Zone","Areo"
"Farm Plot","Bedo"
"Glass Furnace","Vitroforno"
"Wood Furnace","Forno por Ligno"
"Magma Smelter","Magma Fandforno"
"Magma Glass Furnace","Magma Vitroforno"
"Magma Kiln","Magma Bakforno"
"Furnace","Forno"
"Pressure Plate","Premsentema Plato"
"Cage Trap","Insida¼o de Kaøo"
"Stone-Fall Trap","Insida¼o de Þtonfalo"
"Weapon Trap","Insida¼o de Armilo"
"Track Stop","Trakfino"
"Trap","Insida¼o"
"Siege Engine","Sieøarmo"
"Floor Hatch","Plankpordo"
"Wall Grate","Murkrado"
"Floor Grate","Plankokrado"
"Vertical Bars","Vertikalaj Stangoj"
"Floor Bars","Plankstangoj"
"Restraint","Ligil"
"Gear Assembly","Dentradaro"
"Horizontal Axle","Horizontala Akso"
"Vertical Axle","Vertikala Akso"
"Upright Spear/Spike","Starigata Lanco/Pikilo"
"Archery Target","Celtabulo"
"Screw Pump","Þraýbopumpilo"
"Water Wheel","Akvorado"
"Burial Receptacle","Entombigujo"
"Seat","Sidloko"
"Animal Trap","Kaptilo por Besto"
"Weapon Rack","Armilbretaro"
"Armor Stand","Rako por Arma¼o"
"Container","Ujo"
"Traction Bench","Ostorefiksejo"
"Dirt Road","Grunda Vojo"
"Paved Road","Pavimita Vojo"
"Glass Window","Vitra Fenestro"
"Gem Window","Gema Fenestro"
"Stockpile","Deponejo"
"Up Stair","Supren Þtuparo"
"Down Stair","Suben Þtuparo"
"Up/Down Stair","Supren/Suben Þtuparo"
"Track (N)","Trako (No)"
"Track (S)","Trako (Su)"
"Track (E)","Trako (Or)"
"Track (W)","Trako (Ok)"
"Track (NS)","Trako (No-Su)"
"Track (NE)","Trako (No-Or)"
"Track (NW)","Trako (No-Ok)"
"Track (SE)","Trako (Su-Or)"
"Track (SW)","Trako (Su-Ok)"
"Track (EW)","Trako (Or-Ok)"
"Track (NSE)","Trako (No-Su-Or)"
"Track (NSW)","Trako (No-Su-Ok)"
"Track (NEW)","Trako (No-Or-Ok)"
"Track (SEW)","Trako (Su-Or-Ok)"
"Track (NSEW)","Trako (No-Su-Or-Ok)"
"Track/Ramp (N)","Trako/Ramplo (No)"
"Track/Ramp (S)","Trako/Ramplo (Su)"
"Track/Ramp (E)","Trako/Ramplo (Or)"
"Track/Ramp (W)","Trako/Ramplo (Ok)"
"Track/Ramp (NS)","Trako/Ramplo (No-Su)"
"Track/Ramp (NE)","Trako/Ramplo (No-Or)"
"Track/Ramp (NW)","Trako/Ramplo (No-Ok)"
"Track/Ramp (SE)","Trako/Ramplo (Su-Or)"
"Track/Ramp (SW)","Trako/Ramplo (Su-Ok)"
"Track/Ramp (EW)","Trako/Ramplo (Or-Ok)"
"Track/Ramp (NSE)","Trako/Ramplo (No-Su-Or)"
"Track/Ramp (NSW)","Trako/Ramplo (No-Su-Ok)"
"Track/Ramp (NEW)","Trako/Ramplo (No-Or-Ok)"
"Track/Ramp (SEW)","Trako/Ramplo (Su-Or-Ok)"
"Track/Ramp (NSEW)","Trako/Ramplo (No-Su-Or-Ok)"
"Construction","Produktado"
"Display Furniture","Elmontra Meblo"
"Vacant Shop","Vaka Butiko"
"Exotic Clothing Shop","Butiko de Ekzotaj Vestoj"
"Clothing Shop","Butiko de Vestoj"
"Crafts Market","Bazaro de Artefarita¼oj"
"General Store","Øenerala Stokejo"
"Activity Zone #","Aktivecareo #"
" Lever"," Levilo"
"Custom Workshop","Agordita Metiejo"
" Door"," Pordo"
" Floor Hatch"," Plankpordo"
" Wall Grate"," Murkrado"
" Floor Grate"," Plankokrado"
"Vertical ","Vertikala "
" Bars"," j Stangoj"
" Floor Bars"," j Plankstangoj"
" Floodgate"," Kluzo"
" Rope"," Þnuro"
" Chain"," Æeno"
"Rough ","Malglata "
" Archery Target"," Celtabulo"
" Gear Assembly"," Dentradaro"
" Rollers"," Ruliloj"
"Horizontal ","Horizontala "
" Axle"," Akso"
" Support"," Apogilo"
" Pillar"," Kolono"
"Upright ","Rekte "
"Retracted ","Retirita "
"Spears","Lancoj"
"Spears/Spikes","Lancoj/Pikiloj"
" Casket"," Æerko"
" Sarcophagus"," Sarkofago"
" Coffin"," Æerko"
" Chair"," Seøo"
" Throne"," Trono"
" Animal Trap"," Kaptilo por Besto"
" Table"," Tablo"
" Cabinet"," Þranko"
" Weapon Rack"," Armilbretaro"
" Armor Stand"," Rako por arma¼o"
" Box"," Skatolo"
" Coffer"," Kofro"
" Chest"," Kesto"
"Dirt","Grundo"
" Road"," Vojo"
" Bridge"," Ponto"
" Statue"," Statuo"
" Slab"," Slabo"
"Glass","Vitra"
" Window"," Fenestro"
"Armor ","Þirma "
"Weapon ","Arma "
"Animal ","Besto "
"Food ","Manøa¼a "
"Furniture ","Meblo "
"Corpse ","Kadavro "
"Stone ","Þtona "
"Ammo ","Municio "
"Coins ","Moneroj "
"Bar/Block ","Stango/Bloko "
"Gem ","Gema "
"Leather ","Leda "
"Cloth ","Þtofa "
"Wood ","Ligna "
"Sheet ","Folia "
"Stockpile #","Deponejo #"
"it has a distinctly depressing moan","øi havas aparte deprimantan øemon"
" have hatched."," haæis."
"You've caught a ","Vi kaptis "
"Your trap was robbed of the ","Via kaptilo estis þtelata el la "
" closes."," fermas."
"You hear ","Vi aýdas "
"distant ","malproksima "
"nearby ","proksima "
" close."," fermas."
" opens."," malfermas."
" open."," malfermas."
" has constructed a masterpiece!"," produktis majstra¼o!"
" has been lost!"," perdis!"
"Home","Hejmo"
"Throneroom","Tronæambro"
"Entrance","Enirejo"
"Treasury","Fisko"
"Guard post","Pikedo"
"Tent","Tendo"
"Cloth Pit","Fosa¼o de Vestoj"
"Tanning Pit","Fosa¼o de Tanado"
"Cloth Clothing Pit","Fosa¼o de Þtofaj Vestoj"
"Leather Clothing Pit","Fosa¼o de Ledaj Vestoj"
"Bone Carving Pit","Fosa¼o de Ostotajlado"
"Gem Cutting Pit","Fosa¼o por Gemfacetado"
"Weaponsmithing Pit","Fosa¼o por Armilforøado"
"Bowmaking Pit","Fosa¼o de Arbalestofarado"
"Blacksmithing Pit","Fosa¼o por Øenerala Forøado"
"Armorsmithing Pit","Fosa¼o por Arma¼forøado"
"Metal Crafting Pit","Fosa¼o por Metalmetio"
"Leatherworking Pit","Fosa¼o de Ledvarfarado"
"Carpentry Pit","Fosa¼o de Æarpentado"
"Stoneworking Pit","Fosa¼o de Þtonlaborado"
"Fighting Pit","Fosa¼o por Batalado"
"Animal Workshop","Metiejo de Bestoj"
"Cloth Workshop","Metiejo de Þtofo"
"Tanning Workshop","Metiejo de Tanado"
"Cloth Clothing Workshop","Metiejo de Þtofaj Vestoj"
"Leather Clothing Workshop","Metiejo de Ledaj Vestoj"
"Bone Carving Workshop","Metiejo de Ostotajlado"
"Gem Cutting Workshop","Metiejo de Gemfacetado"
"Weaponsmithing Workshop","Metiejo de Armilforøado"
"Bowmaking Workshop","Metiejo de Arbalestfarado"
"Blacksmithing Workshop","Metiejo de Øenerala Forøado"
"Armorsmithing Workshop","Metiejo de Arma¼forøado"
"Metal Crafting Workshop","Metiejo de Metalmetio"
"Leatherworking Shop","Butiko de Ledaj Varoj"
"Carpentry Workshop","Metiejo de Æarpentado"
"Stoneworking Workshop","Metiejo de Þtonlaborado"
"Forging Workshop","Metiejo de Forøado"
"Depot","Stacidomo"
"Sand Collection","Sablokolektado"
"Clay Collection","Argilkolektado"
"Plant Gathering","Kolektado de Vegetaloj"
" Or "," Aý "
", Etc.",", Ktp."
"This is the ","Æi tio estas la "
" currency of "," valuto de "
" from the year "," el la jaro "
" under "," sub "
" from a period of no rule"," el periodo de ne regado"
"administrator","intendanto"
"administrators","intendantoj"
"head","kapoj"
"master","mastro"
"poor empathy","malbonan kunsenton"
" melody pipes"," melodiaj þalmoj"
"hunters","æasistoj"
"Surgical Scissors","¦irurgia Tondilo"
"an approximate value of the ratio of the circumference of a circle to its diameter, using the circumference of polygons and the method of exhaustion","aproksimuma valoro de la rilato de la cirkonferenco de cirklo al sia diametro, per la cirkonferenco de plurlateroj kaj la metodo de elæerpado"
"shop","butiko"
" due to persecution"," pro persekuto"
" try"," penas"
" tries"," penas"
" to remove "," por sin liberigi el "
" lock"," fiksas"
" locks"," fiksas"
" take"," prenas"
" takes"," prenas"
" down by the "," n per la "
" throw"," ¼etas"
" throws"," ¼etas"
" pinch"," pinæas"
" pinches"," pinæas"
" gouge"," forþiras"
" gouges"," forþiras"
" adjust"," aløustigas"
" adjusts"," aløustigas"
" the grip of "," la teno de "
" on "," æe "
" bend"," fleksas"
" bends"," fleksas"
" struggle"," baraktas"
" struggles"," baraktas"
" in vain against the grip of "," vane kontraý la tenon de "
" release"," lasas"
" releases"," lasas"
" loosen"," malstriktigas"
" loosens"," malstriktigas"
" the choke hold of "," la strangolado de "
" the joint lock of "," la artikolfiksado de "
" break"," rompas"
" breaks"," rompas"
" shake"," skuas"
" shakes"," skuas"
" around by the "," n æe la "
" is ripped away and remains in "," estas forþirita kaj restas "
" mouth"," buþo"
" grip"," teno"
" lose"," perdas"
" loses"," perdas"
" hold of the "," tenon je la "
"strangle","strangolas"
" out."," svenas."
"grab","prenas"
"grabs","prenas"
" miss "," maltrafas "
" misses "," maltrafas "
" has moved out of range!"," moviøis ekster la distanco!"
"strikes","frapas"
"strike","frapas"
"push","puþas"
"pushes","puþas"
" let"," lasas"
" lets"," lasas"
" drop away as "," forlasas kiel "
"attack","atakas"
"attacks","atakas"
" catch"," kaptas"
" catches"," kaptas"
" attack "," atakas "
" attacks "," atakas "
" but "," sed "
" scramble"," rampas"
" strike at "," frapas al "
" strikes at "," frapas al "
" but the shot is blocked!",", sed la trafo estas barita!"
" scrambles"," rampas"
" roll"," ruliøas"
" rolls"," ruliøas"
" jump"," saltas"
" jumps"," saltas"
" away"," fore"
" but the shot is ",", sed la trafo estas "
"deftly ","lerte "
"just barely ","nur apenaý "
"easily ","facile "
"parried","malhelpis"
" away from "," fore el "
" but the shot is blocked",", sed la trafo estas barita"
" block "," baras "
" blocks "," baras "
"effortlessly ","senpene "
"narrowly ","apenaý "
"deflected","fordirektis"
" bat "," batas "
" bats "," batas "
" aside"," flanken"
" out of the air"," el la aero"
"silently ","silente "
"The force bends the ","La forto fleksas la "
"The force twists the ","La forto tordas la "
"The force pulls the ","La forto tiras la "
" leap at "," saltas al "
" leaps at "," saltas al "
" charge at "," sturmas al "
" charges at "," sturmas al "
" looks "," aspektas "
"surprised by the ferocity of ","surprizita pro la feroceco de "
" onslaught!"," sturmo!"
" collide"," kolizas"
" collides"," kolizas"
" knocked over"," renversis"
" and tumble"," kaj falas"
" and tumbles"," kaj falas"
" backward"," malantaýen"
" bounce"," resaltas"
" bounces"," resaltas"
"You tangle together and tumble forward!","Vi enkmiksiøas kune, kaj falas antaýen!"
"They tangle together and tumble forward!","Ili enkmiksiøas kune, kaj falas antaýen!"
"You tangle together and fall over!","Vi enkmiksiøas kune, kaj falas!"
"They tangle together and fall over!","Ili enkmiksiøas kune, kaj falas!"
"specks","gutoj"
"dusting","filmo"
"spatter","aspergas"
"smear","þmiras"
"coating","tega¼o"
"covering","kovrante"
"myself","mi mem"
"my","mia"
"yourself","vi mem"
"were ","estis "
"will be ","estos "
"am ","estas "
"are ","estas "
"appearing","aperante"
"appeared","aperis"
"appears","aparas"
"appear","aperas"
"destroying","detruante"
"destroyed","detruis"
"destroys","detruas"
"destroy","detruas"
"speaking","parolante"
"spoke","parolis"
"speaks","parolas"
"speak","parolas"
"burned","brulis"
"burn","brulas"
"to ","al "
"feeling fond","sentanta tenerecon"
"feeling grim satisfaction","sentanta malican kontenton"
"in grief","funebre"
"feeling triumphant","sentanta triumfon"
"enraged","furiozan"
"feeling gaiety","sentanta gajo"
"joyful","øojegan"
"feeling love","sentanta amon"
"in acceptance","akceptante"
"feeling admiration","sentanta admiregon"
"in adoration","adorante"
"feeling affection","sentanta afekcion"
"in agony","agoniante"
"feeling alienated","sentanta fremdiøon"
"feeling ambivalent","hezitantan"
"anguished","doloregigan"
"feeling apathetic","sentanta apation"
"feeling aversion","sentantan abomenon"
"awed","admiran"
"feeling caring","sentanta kareson"
"in despair","malesperante"
"feeling dislike","sentanta malþatecon"
"displeased","malplezurigitan"
"empathetic","kunsenteman"
"feeling empty","sentanta malplenon"
"feeling enjoyment","sentanta øuon"
"feeling ferocious","sentanta ferocecon"
"feeling free","sentanta liberecon"
"feeling gratitude","sentanta dankemecon"
"feeling guilty","sentanta kulpon"
"taking hope","esperiøatan"
"feeling hopeless","sentanta senesperon"
"feeling loathing","sentanta abomenegon"
"pleased","plezurigitan"
"feeling rejected","sentanta malakcepton"
"feeling self-pity","sentanta memkompaton"
"feeling servile","servilan"
"sympathetic","simpatian"
"feeling tenderness","sentanta teneron"
"in doubt","dube"
"emotionless","sen emocion"
"I desire that ","Mi deziras tiun "
"Speaking as a representative of ","Parolante kiel reprezentano de "
", it is important that ",", gravas ke "
" be returned."," esti redonita."
"  It is the symbol of the "," Øi estas la simbolo de la "
"  It is a valuable treasure to us."," Øi estas valora trezoro por ni."
"  It should be brought to "," Øi estu alportita al "
"It would be wonderful if ","Estus mirinde se "
" found a lasting home within "," trovis daýran hejmon en "
" wants "," volas "
" returned"," revenis"
" returned to "," revenis al "
"Last I remember, I had it.","Lastfoje mi memoras, mi havis øin."
"Last I heard, I had it.","Lastfoje mi aýdis, mi havis øin."
"Last I heard, you held it.","Lastfoje mi aýdis, vi tenis øin."
"Last I saw, it was held by ","Lastfoje mi vidis, øi estis tenita de "
"Last I heard, it was held by ","Lastefoje mi aýdis, øi estis tenita de "
"Last I saw, it was in ","Lastfoje mi vidis, øi estis en "
"Last I heard, it was in ","Lastfoje mi aýdis, øi estis en "
"I have no idea where it is.","Mi havas ne ideon kie øi estas."
"  Knowing no mercy, "," Sciante nenian kompaton, "
"devoured ","konsumis "
"devoured our livestock","konsumis nian brutaron"
"stole ","þtelis "
"stole our treasures","þtelis niajn trezorojn"
"destroyed ","detruis "
"a mead hall","mieltrinka¼a halo"
"a keep","æefturo"
"a library","biblioteko"
"a tavern","drinkejo"
"a market","bazaro"
"a tomb","tombo"
"a dungeon","karcero"
"a tower","turo"
"prayed inside","preøis interne"
"disturbed","øenis"
"  This vile fiend "," Æi tiu malnobla malamiko "
"even ","eæ "
"murdered ","mortigis "
"has killed ","mortigis "
"has even killed ","eæ mortigis "
"was once","estis unufoje"
" my own "," mia propra "
", now twisted into monstrosity",", nun tordita al monstreco"
", now cursed",", nun malbenita"
"  Save us from this "," Savu nin de æi tiu "
"horror","hororo"
"traitor","perfidulo"
"  Beware!  It it said that only "," Atentu! Oni diras ke nur "
"  It is said that "," Oni diras ke "
"the library","la biblioteko"
"the treasury","la fisko"
"the throne room","la tronæambro"
"The library","La biblioteko"
"The treasury","La fisko"
"The throne room","La tronæambro"
"I worship ","Mi adoras "
"I worship no one.","Mi adoras neniun."
"an unknown creature","nekonata esta¼o"
" my "," mia "
"It is my misfortune that ","Estas mia malfeliæo, ke "
" a murderer."," murdinto."
" an enemy."," malamiko."
" a friend."," amiko."
" unstable."," malstabila."
" gladly not of the living."," feliæe ne el la vivantoj."
" of the living and must be killed."," el la vivantoj, kaj estas mortigenda."
" not of the living."," ne el la vivantoj."
" the same as me."," same kiel mi."
" an animal."," besto."
" a safe creature."," sendanøera esta¼o."
" a dangerous animal."," danøera besto."
" my prisoner."," mia malliberulo."
" my master."," mia majstro."
" my apprentice."," mia lernanto."
" my former master."," mia eksmajstro."
" my former apprentice."," mia ekslernanto."
" my traveling companion."," mia vijaøa kunulo."
" my lover."," mia amanto."
"I hate ","Mi malamas "
" my enemy."," mian malamikon."
" an intruder."," entrudulon."
" a monster."," monstron."
" a kindred spirit"," unu samideano"
" a close friend"," unu proksima amiko"
" a friend"," unu amiko"
", but that bond seems so thin now.",", sed tiu ligo nun aspektas tiel mallarøa."
"I ","Mi "
"loathe","abomenas"
"hate","malamas"
"never liked","neniam þatis"
" with every fiber of my being"," per æiu fibro de mia esto"
", and now we can all see why.",", kaj nun ni æiuj povas vidi la kialon."
" also"," ankaý"
"a legendary hero","legenda heroo"
"a great hero","grandioza heroo"
"a hero","heroo"
"so very brave","tiel kuraøa"
"brave","kuraøa"
", but those acts bring no forgiveness.",", sed tiuj agoj ne alportas pardonojn."
" reunited "," kunvenitaj "
" bravely put an end to "," kuraøe finigis "
"you.","vi."
" my partner"," mia partnero"
", but it means nothing now.",", sed øi nun signifas nenion."
"a legendary brawler","legenda luktisto"
"capable of such violence","kapabla de tiel perforto"
"well-known brawler","konata luktisto"
"prone to violence","ema al perforto"
"somewhat violent","iom perforta"
" started a fight with "," komencis batalon kontraý "
"a legendary thug","legenda brutulo"
"an infamous thug","fifamega brutulo"
"a well-known thug","tre konata brutulo"
"a known thug","konata brutulo"
"thuggish","bruta"
" bullied "," æikanis "
" did not name "," ne nomis "
" gave an unwelcome name."," donis malbonvenan nomon."
"feast","festas"
"feasts","festas"
" on the blood of the living!"," je la sango de la vivantoj!"
"a legendary brigand","legenda rabisto"
"an infamous brigand","fifamega rabisto"
"a noted brigand","fifama rabisto"
"a known brigand","konata rabisto"
"a brigand","rabisto"
" are dangerous outlaws."," estas danøeraj eksterleøuloj."
" robbed "," þtelis "
"a legendary villain","legenda fiulo"
"an infamous villain","fifamega fiulo"
"a noted villain","fifama fiulo"
"a known villain","konata fiulo"
"unhinged","perturbita"
" perpetrated a violent attack upon "," faris perfortan atakon al "
"a legendary preacher","legenda predikisto"
"a great preacher","bonega predikisto"
"a talented preacher","talenta predikisto"
"a skilled preacher","lerta predikisto"
"gives sermons, and may be a preacher","diras predikojn, kaj povus esti predikisto"
"a legendary storyteller","legenda rakontisto"
"a great storyteller","bonega rakontisto"
"a talented storyteller","talenta rakontisto"
"a skilled storyteller","lerta rakontisto"
"a storyteller, or at least tells stories","rakontisto, aý almenaý rakontas historiojn"
"a legendary poet","legenda poeto"
"a great poet","bonega poeto"
"a talented poet","talenta poeto"
"a skilled poet","lerta poeto"
"a poet, according to some","poeto, laý iuj"
"a legendary bard","legenda bardo"
"a great bard","bonega bardo"
"a talented bard","talenta bardo"
"a skilled bard","lerta bardo"
"a modest bard","modesta bardo"
"a legendary dancer","legenda dancisto"
"a great dancer","bonega dancisto"
"a talented dancer","talenta dancisto"
"a skilled dancer","lerta dancisto"
"something of a dancer","ioma dancisto"
" good for a deal now and then"," bona por unu transakcio iam kaj tiam"
", but you can't bargain your way out of this.",", sed vi ne povas aæeti vian elirejon de tio æi."
"a legendary quarreler","legenda kverelemo"
"infamously quarrelsome","fifamege kverelema"
"a noted quarreler","fifama kverelemo"
"known to be quarrelsome","konata por esti kverelema"
"somewhat quarrelsome","iom kverelema"
", but you can't argue your way out of this.",", sed vi ne povas disputi vian elirejon de tio æi."
"a legendary flatterer","legenda flatanto"
"an infamous flatterer","fifamega flatanto"
"a noted flatterer","fifama flatanto"
"a known flatterer","konata flatanto"
"something of a flatterer","ioma flatanto"
", but you can't talk your way out of this.",", sed vi ne povas paroli vian vojon el æi tio."
" a pleasure to speak with"," plezuro paroli kun"
", but now this stands between us.",", sed nun æi tio staras inter ni."
"a legendary hunter","legenda æasisto"
"a great hunter","bonega æasisto"
"a talented hunter","talenta æasisto"
"a skilled hunter","lerta æasisto"
"something of a hunter","ioma æasisto"
"a legendary killer","legenda mortiginto"
"an infamous killer","fifamega mortiginto"
"a noted killer","fifama mortiginto"
"a known killer","konata mortiginto"
"a killer","mortiginto"
" ended the days of "," finigis la tagojn de "
"a legendary murderer","legenda murdinto"
"an infamous murderer","fifamega murdinto"
"a noted murderer","fifama murdinto"
"a known murderer","konata murdinto"
"a murderer","murdinto"
" took the life of "," prenis la vivon de "
" are my comrades"," estas miaj kamaradoj"
" my comrade"," mia kamarado"
