"Seek Patient for Diagnosis","Шукаць пацыента для дыягностыкi"
"You continue the poem.","Вы працягваеце верш."
"I repent of my deeds.","Я раскайваюся ў сваiх учынках."
"will do available tasks anywhere","будзе выконваць загады ў любым месцы"
"Snatc","Скрасцi"
"Stolen [C:6:0:1]Artifacts[C:7:0:0] and kidnapped citizens can be recovered by preparing missions from this screen. ","Выкрадзеныя [C:6:0:1]Артэфакты[C:7:0:0] i грамадзяне могуць быць вернутыя, рыхтуючы мiсii з гэтага экрана. "
"seeking sanctuary","у пошуках свяцiлiшча"
"burn","палiць"
"Help somebody","Дапамагчы камусьцi"
"What do you want?","Чаго вы хочаце?"
"cloth","тканiна"
"enjoyment","уцеха"
"Importing world...","Iмпарт свету..."
"a natural inclination toward language","натуральная схiльнасць да моваў"
"Overall training","Агульная падрыхтоўка"
"Animal training","Дрэсiроўка жывёл"
"Unnamed pen/pasture","Безназоўны загон/выган"
"Tavern Keeper","Карчмар"
"Finish placing stockpiles.","Скончыць размяшчэнне складаў."
"Hunting assignment","Паляўнiчае заданне"
"Independent","Незалежны"
"In a martial trance!","У баявым трансе!"
"Chemistry","Хiмiя"
"costly ","дарагi "
"discourse on grammar","дыскурс аб граматыцы"
"There are two ways to make drinks for your residents.","Ёсць два спосабу прыгатавання напояў для жыхароў."
" weeping"," плача"
"Use ","Выкарыстаць "
"The dry season has come.","Надышоў сухi сезон."
" lovers"," палюбоўнiкi"
"Create a creature to begin.","Для пачатку стварыце iстоту."
"No work details","Нiякiх дэталяў працы"
"camp order missing parent -- unit will camp forever","загад лагераваць без бацькоўскага аб'екта - падраздзяленне будзе лагераваць вечна"
"exhilarated","вясёлы"
"It's up to you to choose whom to convict. ","Вам вырашаць, каго асудзiць. "
" enunciate"," прамаўляеце"
"Use the [C:5:0:1]Build[C:7:0:0] menu to place it in a room underground, just like the [C:6:0:0]Workshop[C:7:0:0].  Dig a new room first if you like.  ","Выкарыстоўвайце меню [C:5:0:1]Будаваць[C:7:0:0], каб размясцiць яго ў пакоi пад зямлёй, як рабiлi з [C:6:0:0]Майстэрняй[C:7:0:0]. Спачатку выкапайце новы пакой, калi хочаце. "
" and the severed part sails off in an arc!"," i адсечаная частка цела адлятае па дузе!"
"To get [C:6:0:1]Fuel[C:7:0:0] you need to make [C:6:0:1]Charcoal[C:7:0:0] with a [C:6:0:0]Wood Furnace[C:7:0:0], ","Каб атрымаць [C:6:0:1]Палiва[C:7:0:0], вам трэба зрабiць [C:6:0:1]Драўняны вугаль[C:7:0:0] з дапамогай [C:6:0:0]Дроўнай печы[C:7:0:0], "
"with ","з "
"To have a fully functioning [C:1:0:1]Tavern[C:7:0:0] you must have a [C:6:0:0]Stockpile[C:7:0:0] with [C:6:0:1]Booze[C:7:0:0] in it, preferably close by. ","Каб мець паўнавартасную [C:1:0:1]Карчму[C:7:0:0], у вас павiнен быць [C:6:0:0]Склад[C:7:0:0] з [C:6:0:1]Выпiўкай[C:7:0:0] у ёй, пажадана побач. "
"was swayed by the emotional appeal","быў пад уплывам эмацыянальнай прывабнасцi"
"Thoughts","Думкi"
"Dragonfire","Цмокава полымя"
"Popup: Zones","Успл. акно: Зоны"
"You'll begin by creating your world and watching the region's history unfold. ","Вы пачнеце са стварэння свайго свету i назiрання за развiццём падзей. "
"valued the law and refused","паважаў закон i адмовiўся"
"Present Participle","Цяперашнi час"
" tearing"," раздзiраючы"
"takes frequent interesting tangents","часта закранае цiкавыя тэмы"
"Recover ","Ачуняць "
" marched on "," рушыў далей "
"hero","герой"
"a lack of desire for vengeance","адсутнасць жадання помсты"
"or [C:6:0:1]Plants[C:7:0:0] there.  The number of [C:6:0:1]Drink[C:7:0:0] rations can be seen at the top of the screen.","або [C:6:0:1]Раслiны[C:7:0:0]. Колькасць [C:6:0:1]Напiткаў[C:7:0:0] можна ўбачыць у верхняй частцы экрана."
"I feel rejected.","Я адчуваю сябе адрынутым."
"Legendary hero","Легендарны герой"
"Values decorum","Цэнiць прыстойнасць"
"Saving artifacts...","Захаванне артэфактаў..."
"Broker cannot access depot","Брокер не мае доступ да дэпо"
"being unaffected by the comments","быўшы незакранутым каментарамi"
"Serve Customer","Абслужыць клiента"
"skilled hunter","дасведчаны паляўнiчы"
" impaled on "," насаджаны на "
"High willpower","Высокая сiла волi"
"Before you can create a military, you must appoint a [C:5:0:0]Militia Commander[C:7:0:0] ","Перш чым вы зможаце стварыць войска, вы павiнны прызначыць [C:5:0:0]Камандзiра апалчэння[C:7:0:0] "
"discourse on education","дыскурс аб адукацыi"
"anguished","пакутуе"
"Finish placing structures.","Скончыць размяшчэнне канструкцый."
"Subject revealed that in ","Падыспытны распавёў, што ў "
"Some [C:5:0:0]Administrators[C:7:0:0] will require [C:3:0:0]Offices[C:7:0:0] to perform their work. ","Некаторым [C:5:0:0]Адмiнiстратарам[C:7:0:0] для выканання сваёй працы спатрэбiцца [C:3:0:0]Офiс[C:7:0:0].        "
"Saving adventure data...","Захаванне дадзеных прыгод..."
"loyalty toward","вернасць да"
"High kinesthetic sense","Добрае пачуццё балансу"
"Crafts","Вырабы"
" the rest of"," рэшткi"
"Elevation ","Вышыня "
"Considered a brawler","Лiчыцца дэбашырам"
"Pet","гадаванец"
"embarrassed","пасаромлены"
"Storage path decrease (# of contained item cap)","Памяншэнне шляху складавання (# столь рэчаў)"
" facts surrounding case in order to elicit information."," факты вакол справы, каб атрымаць iнфармацыю."
"This important zone is where your citizens will gather to socialize.  Crucially, the meeting area is where locations such as taverns, temples, hospitals, and the like are established.","У гэтай важнай зоне Вашыя грамадзяне будуць збiрацца для гутарак ды спрэчак, выяснення зносiн ды прыемнага баўлення часу разам. Важна заўважыць, што да гэтага тыпу зон таксама адносяць карчмы, храмы, шпiталi, гiльдыi i некаторыя iншыя тыпы з'яднанняў."
"(now)","(цяпер)"
"with the water's flow.","з плынню вады."
"Extravagant","Экстравагантны"
"You've learned ","Вы навучылiся "
"Converting smoothing blueprint to regular","Пераўтварэнне плана згладжвання ў звычайны"
" to steal "," скрасцi "
"Current amount: ","Бягучая колькасць: "
" feel"," пачуваеце"
"Tanner","Гарбар"
"You wish to make an offering?  We love gifts.","Жадаеце зрабiць прапанову? Мы падарункi любiм."
"a skilled hunter","дасведчаны паляўнiчы"
"Resume construction","Аднавiць будаўнiцтва"
"feeling hopeless","адчуванне безнадзейнасцi"
"tree... life","дрэва... жыццё"
"admiration of power","захапленне ўладай"
" has claimed the position of "," заяўляе аб тым, што бярэ сабе пасаду "
"instrument","iнструмент"
"Erase a portion of this zone.","Сцерцi частку зоны."
"No messengers","Няма пасыльных"
"The topic being written about is ","Тэма, пра якую пiшуць "
"Drink (animal)","Напой (жывёльны)"
"Your citizens will eat at this zone.  When not assigned to a particular citizen, citizens without their own dining hall will eat here.  Tables and adjacent chairs should be included.","Вашыя грамадзяне будуць харчавацца ў гэтай зоне. Калi грамадзянiн не мае ўласнага месца для харчавання, то ён будзе iсцi для харчавання ў гэтую зону - зону агульнай сталовай. У ёй побач адно ад аднаго павiнны быць сталы ды крэслы."
"[Viewed]","[Прагледжана]"
"I don't feel agitated.","Я не ў захапленнi."
"Don't repeat","Не паўтараць"
"Are these gifts?  Do you wish to trade?","Гэта падарункi?  Цi вы хочаце гандляваць?"
"first assign a [C:3:0:0]Barracks[C:7:0:0] created from the [C:5:0:1]Zones[C:7:0:0] menu.","трэба прызначыць [C:3:0:0]Казармы[C:7:0:0], створаныя з меню [C:5:0:1]Зоны[C:7:0:0]."
"chronicle","хронiкi"
"works with menacing fury!","працуе з пагрозлiвай лютасцю!"
" crumbles over the "," рассыпаецца па "
"Unnamed museum","Безназоўны музей"
"Alternate history","Альтэрнатыўная гiсторыя"
"Milliseconds between macro instructions","Мiлiсекунды памiж iнструкцыямi макраса"
"Peace","Пацыфiзм"
"discourse on government","дыскурс аб урадзе"
" to the "," да "
"Respected as a hunter","Паважаны паляўнiчы"
"When a route has a steep descent, consider using powered [C:6:0:0]Rollers[C:7:0:0], extra curves, track ""stops"" between [C:6:0:0]Stops[C:7:0:0] with various friction settings, or a worker to guide the vehicle.","Калi на маршруце круты спуск, разгледзьце магчымасць выкарыстання прывадных [C:6:0:0]Ролiкаў[C:7:0:0], дадатковых паваротаў, ""тармазоў"" памiж [C:6:0:0]Прыпынакамi[C:7:0:0] з рознымi наладамi трэння або рабочага па  кiраваннi транспартным сродкам. "
"coffin","труна"
"Assigned","Прызначэнняў"
"dejected","прыгнечаны"
"Imported Wealth:","Iмпартавана:"
"Install colony when ready","Усталюйце калонiю, калi будзеце гатовыя"
"Set hauling routes for minecarts.","Наладзьце маршруты руху для ваганетак."
"Cloth (Desired): ","Тканiна (пажадана): "
"Toggle the forbidden status of the item.  Citizens will not use forbidden items or buildings.","Абярыце статус забароненасцi да карыстання рэчы. Грамадзяне не будуць карыстацца забароненымi рэчамi цi пабудовамi."
"fellow scholar ","таварыскi навукоўца "
"hiding ","утойвае "
"destroys","разбурае"
" and become a resident of "," i стаць жыхаром "
"Hero","Герой"
"office","офiс"
"We must not abandon ","Мы павiнны не кiдаць "
" collapses!"," руйнуецца!"
"Opening file...","Адкрыццё файла..."
"The geldables have been torn away!","Прычындалы былi адарваныя!"
"discourse on the nature of existence","дыскурс аб прыродзе iснавання"
"mortified","зняважаны"
" embraces "," абдымае "
"Scale interface to fit grid height/width","Маштабаваць iнтэрфейс адпаведна вышынi/шырынi"
"Frenetic","Шалёны"
" massacring "," распраўляецца "
"This doesn't scare me.","Гэта мяне не пужае."
"good idea to keep your fortress clean.","добрая iдэя падтрымлiваць сваю крэпасць у чысцiнi."
" shattering"," руйнуючы"
"Restarts if completed, checked monthly","Перазапуск пасля завяршэння, праверка штомесяц"
" and others"," i iншыя"
" via "," з дапамогай "
"Think abstractly","Думаць абстрактна"
"Ashery","Папяльнiк"
"If you dig down enough layers you will find a near infinite amount of [C:6:0:1]Boulders[C:7:0:0] of various ","Калi вы раскапаеце дастатковую колькасць пластоў унiз, вы знойдзеце амаль бясконцую колькасць розных [C:6:0:1]Валуноў[C:7:0:0], "
"swayable","калыхаючыся"
" plotted to steal "," планаваў скрасцi "
"bull","бык"
" in becoming a permanent part of the living world"," каб стаць часткай свету"
" item"," рэч"
"Wounds","Раны"
"Plants...","Раслiны..."
"Hard Work","Працавiтасць"
"aggravated","напружаны"
"Member","Чалец"
"That did not shock me.","Гэта мяне не ўзрушыла."
"Tough","Дужы"
"Throwing a tantrum!","Упаў у iстэрыку!"
"Spouse is nobility","Муж - шляхта"
"burning","палае"
"Ready to be split","Гатова да падзелу"
"disappointed","расчараваны"
"Infamous thief","Сумна вядомы злодзей"
"cloth... thread","тканiна... нiтка"
"Dig a stairwell on this level, going up or down.  Your selection must span multiple elevations.  Click on a tile, change elevations, and click again.","Выкапаць лесвiцу на гэтым узроўнi, вядучую ўверх цi ўнiз. Ваш выбар павiнен ахоплiваць некалькi вышынь. Нацiснiце на клетку, змянiце вышыню i нацiснiце яшчэ раз."
" from the dead"," з памёрлых"
"Blocks","Блокi"
"raw... green","грубае... зялёнае"
"and from the tile below the input tile.","i з клеткi пад уваходнай клеткай."
"Zoom in","Прыблiзiць"
"I'm lustful.","Я юрлiвы."
"Set the material used or other details of the task.","Прызначце матэрыял для выканання задання цi некаторыя iншыя падрабязнасцi."
"sky","неба"
"You lie on the ground.","Вы леглi на зямлю."
"Adding mud","Даданне глею"
"Famous fighter","Знакамiты баец"
"Link to ","Злучыць з "
"Philosophy","Фiласофiя"
"Digging a channel will mine out a floor or wall at the current level and dig out a ramp at the level ","Капанне канала прывядзе да выкопвання падлогi або сцяны на бягучым узроўнi i выкапання пандуса на гэтым узроўнi "
"I feel fond.","Я адчуваю пяшчотнасць."
"[C:6:0:1]Minecarts[C:7:0:0] that move too quickly around corners will spill their contents. ","[C:6:0:1]Ваганеткi[C:7:0:0], якiя занадта хутка рухаюцца на паваротах, пралiваюць змесцiва. "
"Charge attack: move toward your opponent","Атака рыўком: рухайся да свайго працiўнiка."
"You have no idea what's lurking out there.","Вы паняцця не маеце, хто там хаваецца."
"flooded","затоплены"
"Enable testing arena (on next title)","Уключыць тэставую арэну (наступны змест)"
"Empty animal traps","Пустыя пасткi для жывёл"
"Musical form","Музычны жанр"
"Thrill-seeker","Авантурнiк"
"Spring has arrived!","Надышла вясна!"
"Items...","Прадметы..."
"Bleeding","Крывацёк"
"Considers murderer","Лiчыць галаварэзам"
"Child is not present","Няма дзiцяцi"
"less than","меньш чым"
"Cage","Клетка"
"Set a normal traffic area, the default state.","Зона трафiку са звычайным прыярытэтам."
"Object","Аб'ект"
"Disdains friendship","Зневажае сяброўства"
"Do your duty.","Рабi тое, што павiнен рабiць."
"committing a depraved act","здзяйсняе распусныя ўчынкi"
"Trap Occupied:","Пастка занятая:"
"Citizens and long-term residents only","Толькi для грамадзян ды атрымаўшых доўгатэрмiновае права знаходжання"
"It ","Гэта "
" was the place for long-term scholarship."," было месцам для доўгатэрмiновага навучання."
"You must think you're really frightening.","Вы мусiць лiчыце, што сапраўды страшэнна выглядаеце."
" interrogator"," следчы"
"Hover over an alert icon to see the information. ","Навядзiце курсор на значок абвесткi, каб убачыць iнфармацыю. "
"Tranquility","Спакой"
"Very thirsty","Моцная смага"
"discourse on the nature of causation","дыскурс аб прыродзе прычыннасцi"
"Unnamed archery range","Безназоўны палiгон лучнiкаў"
"Multiple copies of the timeline found.","Знойдзена некалькi копiй часовай шкалы."
"feeling no avarice","не адчуваючы хцiвасцi"
" it"," яе"
" striking a menacing pose"," прымае пагрозлiвую паставу"
" (7 of 8)"," (7 з 8)"
"Create new world","Стварыць новы свет"
"Pure hate","Чыстая нянавiсць"
"Avarice","Скупасцi"
"Sunk into depression...","Упадае ў дэпрэсiю..."
"I'm excited.","Я ў захапленнi."
"You truly despise life, don't you?  ","Вы сапраўды пагарджаеце жыццём, цi не так? "
"With ","з "
"Spar","Спарынгаваць"
"Developed empathy","Развiтая эмпатыя"
"Left click for recenter and expand options.  Right click to dismiss.","Пстрыкнiце левай кнопкай мышы, каб адцэнтраваць i разгарнуць параметры. Пстрыкнiце правай каб закрыць."
"second eldest son","другi старэйшы сын"
"Select [C:5:0:1]Farmplot[C:7:0:0] from the [C:5:0:1]Build[C:7:0:0] menu.  It's in [C:5:0:1]Workshops[C:7:0:0] -> [C:5:0:1]Farming[C:7:0:0] -> [C:5:0:1]Farmplot[C:7:0:0].  Place the [C:6:0:0]Farmplot[C:7:0:0] on the subterranean soil.","Выберыце [C:5:0:1]Ляху[C:7:0:0] з меню [C:5:0:1]Будавання[C:7:0:0]. [C:5:0:1]Майстэрнi[C:7:0:0] -> [C:5:0:1]Гаспадарка[C:7:0:0] -> [C:5:0:1]Ляха[C:7:0:0]. Размесцiце [C:6:0:0]Ляху[C:7:0:0] на падземнай глебе."
"Trained","Намуштраваны"
"There is no need for celebration.","Няма чаго святкаваць."
"Overcautious","Звышасцярожны"
"Wait for Combat Training","Чакаць на баявую падрыхтоўку"
"Clear","Ачысцiць"
"I see your low race still revels in death.  ","Бачу што ваша нiжэйшая раса усё яшчэ ўпiваецца смерцю. "
"Wilderness irritation minimum (less = sooner)","Мiнiмум раздражнення дзiкай прыроды (менш = хутчэй)"
"Rough gem","Неапрацаваны самацвет"
" save"," захаваць"
"Saving local animal populations...","Захаванне мясцовых жывёл..."
"Thread (metal)","Нiткi (метал)"
"No established guild","Няма заснаванай гiльдыi"
"[C:6:0:1]Writing Material[C:7:0:0] for the [C:5:0:0]Scribes[C:7:0:0] to write on. ","[C:6:0:1]Пiсьмовых матэрыялаў[C:7:0:0] для [C:5:0:0]Пiсараў[C:7:0:0]. "
"Seek Commander","Шукаць камандзiра"
" to assassinate "," забiць "
"the kidnapping","выкраданне"
"Sometimes the adherents to a certain religion will demand that you build a [C:1:0:1]Temple[C:7:0:0] to their specific deity. ","Часам прыхiльнiкi пэўнай рэлiгii патрабуюць, каб вы пабудавалi [C:1:0:1]Храм[C:7:0:0] для iх пэўнага бажаства. "
"Related to civilization or other group","Звязана з цывiлiзацыяй цi iншай групай"
"glum","пануры"
"Gather any products","Збiраць усе прадукты"
" Military"," Войска"
"If points remain","Калi ачкi засталiся"
"anguish","туга"
"an amazing memory","надзвычайную памяць"
"Display","Вiтрына"
"Population: ~10000","Насельнiцтва: ~10000"
"Saving jobs...","Захаванне прац..."
"Has the aspect of one fey!","Выглядае натхнёным!"
"If you have a law enforcement administrator like a [C:5:0:0]Sheriff[C:7:0:0] or [C:5:0:0]Captain of the Guard[C:7:0:0], witnesses of crimes will make reports, which find their way here. ","Калi ў вас ёсць кiраўнiк праваахоўных ворганаў, напрыклад [C:5:0:0]Шэрыф[C:7:0:0] або [C:5:0:0]Капiтан гвардыi[C:7:0:0], сведкi злачынстваў будуць паведамляць каб дапамагчы. "
"In order to pursue the wealth of the earth, you must dig deeper! ","Каб валодаць багаццем зямлi, трэба капаць глыбей! "
"Unknown author","Невядомы аўтар"
"When deciding which guild to dedicate the [C:1:0:1]Guildhall[C:7:0:0] to, you can scroll over the names of the guilds ","Вырашаючы, якой гiльдыi прысвяцiць [C:1:0:1]Гiльдзалу[C:7:0:0], вы можаце праглядзець назвы гiльдый "
"Fellow athlete","Прыязны спартоўца"
"Companion","Спадарожнiк"
"and certain [C:6:0:0]Workshop[C:7:0:0] tasks.  You may find water underground.","i пэўныя загады [C:6:0:0]Майстэрняў[C:7:0:0]. Вы можаце паспрабаваць знайсцi ваду пад зямлёй."
" to give "," даць "
"Pray to ","Малiцца "
"Poor kinesthetic sense","Слабое адчуванне балансу"
"Economy population trigger 1","Эканомiка ад насельнiцтва Трыгер 1"
"Cannot find path","Не можа знайсцi шлях"
" (2 of 8)"," (2 з 8)"
"cringing","скурчваецца"
"Health","Стан"
"craftsman","рамеснiк"
"flying ","лятучы "
"I'm feeling randy today!","Я сёння ўзбуджаны!"
"To do this select the [C:5:0:1]Nobles and administrators[C:7:0:0] menu and click the add button to assign somebody. ","Каб зрабiць гэта, адкрыйце меню [C:5:0:1]Шляхта i адмiнiстратары[C:7:0:0] i нацiснiце гузiк ""Дадаць"", каб прызначыць каго - небудзь. "
"Famous preserver of the knowledge","Вядомы захавальнiк ведаў"
"the destruction of ","зруйнаванне "
"Offer as gift","Прапанаваць як падарунак"
"Claimed by your local government","Патрабуецца вашым мясцовым урадам"
"Baby+child cap","Столь колькасцi дзяцей"
" by "," ад "
"Pen/pasture","Загон/выган"
"Needs open space","Патрэбна адкрытая прастора"
"Jealousy","Зайздрасцi"
"Dead/Missing","Загiн./Знiк."
"'s "," - "
"awed","абамлеўшы"
"Name your group","Назавiце сваю групу"
"works furiously!","шалёна працуе!"
"The world created at the beginning of the game is active, and others may take an interest in your outpost as it grows. ","Свет, створаны ў пачатку гульнi - актыўны, i iншыя могуць зацiкавiцца вашай заставай па меры яе росту. "
"Resists sickness","Iмунiтэт"
"Set details for the assigned location.","Усталяваць дэталi для прызначанага месца."
"Completely dismayed!","Зусiм расчараваны!"
"speak","гаварыць"
"humanoid","гуманоiд"
"Meet their needs by providing [C:3:0:0]Meeting Areas[C:7:0:0] and [C:1:0:1]Locations[C:7:0:0] for socializing, worship, and study. ","Задавальняйце iх патрэбы, забяспечваючы [C:3:0:0]Зоны сустрэч[C:7:0:0] i [C:1:0:1]Месцы[C:7:0:0] для зносiн, набажэнстваў i вучобы. "
"Seed text","Пачатковы тэкст"
"Autumn has arrived on the calendar.","На каляндары цяпер восень."
"looks terrified","выглядае напалоханым"
"take from","складавання"
"feeling affection","пачуццё прыхiльнасцi"
"Save to new folder (same timeline)","Захаваць у новую тэчку (тая ж шкала часу)"
"Finished goods","Гатовыя вырабы"
" is torn apart!"," разарвана на кавалкi!"
"  Subject ","  Суб'ект "
" has discovered "," выявiў "
" playing with "," гуляюць з "
"Chopping trees","Павал лесу"
"discourse on medical ethics","дыскурс аб медыцынскай этыцы"
"Warning: stockpile has no type.","Увага: склад не мае тыпу."
"Population: ~400","Насельнiцтва: ~400"
"Expel","Адлучыць"
"shells","панцыры"
"Stop ","Прыпынак "
", being the rightful heir, has inherited the position of ",", як законны спадкаемец, наследуе пасаду  "
"Select a rectangle","Выбраць прастакутнiк"
"Overconfident","Саманадзейлiвы"
"Mining","Здабыча"
"Rough glass","Неапрацаванае шкло"
"Spikes","Шыпы"
"[C:3:0:0]Zones[C:7:0:0] can be assigned to special [C:1:0:1]Locations[C:7:0:0]. Usually one [C:3:0:0]Meeting Area[C:7:0:0] is sufficient, but [C:1:0:1]Locations[C:7:0:0] can span several [C:3:0:0]Zones[C:7:0:0]. ","[C:3:0:0]Зоны[C:7:0:0] можна прызначыць спецыяльным [C:1:0:1]Месцам[C:7:0:0]. Звычайна дастаткова адной [C:3:0:0]Зоны сустрэч[C:7:0:0], але [C:1:0:1]Месцы[C:7:0:0] могуць ахоплiваць некалькi [C:3:0:0]Зон[C:7:0:0]. "
"Child: ","Дзiця: "
"Member of hated group","Чалец ненавiснай групы"
"], [C:2:0:1]Ctrl+mouse wheel[C:7:0:0], or the indicated buttons.","], [C:2:0:1]Ctrl + кола мышы[C:7:0:0] або пазначаныя кнопкi."
" torturing "," катуе "
"herself","сябе"
"Total Power: ","Агульная моц: "
"grim satisfaction","у змрочным задавальненнi"
"Thin mist","Тонкая смуга"
"Bags (Yarn)","Торбы (пража)"
"Infamous killer","Сумна вядомы забойца"
"became parent","стаў бацькам"
"Beside ","Прыгнечаны "
"Remove this route.","Выдалiць маршрут."
"murder","забойства"
"Places","Месцы"
"Once the first leader is assigned, subsequent [C:5:0:0]Captain[C:7:0:0] positions will appear. ","Пасля прызначэння першага лiдэра, з'явяцца наступныя пазiцыi [C:5:0:0]Капiтана[C:7:0:0]. "
"Weapon rack","Зброевая стойка"
"Body detail plans...","Планы частак цела..."
"Keep working","Працягваць працаваць"
" and others have returned."," i iншыя вярнулiся."
"Fever","Лiхаманка"
"Caged Guest","Госць у клетцы"
" messenger"," пасыльны"
"Crawling around babbling!","Поўзае балбочучы!"
"Total quality","Агульная якасць"
"frightened","напалоханы"
"is very childish","вельмi па - дзiцячы"
"Commander","Камандзiр"
" line"," радку"
"table","стол"
"Patterns...","Шаблоны..."
"hearthpeople","давераныя асобы"
"was unafraid of","не баяўся"
"Waiting for construction...","Чакае будаўнiцтва..."
" are"," - "
"Make the appropriate workshop with [C:5:0:1]Workshops[C:7:0:0] -> [C:5:0:1]Crafts[C:7:0:0]. ","Зрабiце адпаведную майстэрню праз [C:5:0:1]Майстэрнi[C:7:0:0] -> [C:5:0:1]Рамёствы[C:7:0:0]. "
"Colony to Install","Калонiя для ўстаноўкi"
"Recovers quickly","Хутка ачуньвае"
"You do not have any stockpiles","У вас няма складаў"
"Slated for removal","Прызначана да выдалення"
"ex-spouse ","былы сужэнец "
"Core quality","Асноўная якасць"
"Loading...","Загрузка..."
"On","На"
"Be with friends","Бавiць час з сябрамi"
"Select a stockpile or","Выберыце склад або"
"Agitated Wilderness Creature","Усхваляваная дзiкая iстота"
" been stunned!"," аглушаны!"
"Hold left button to draw.","Зацiснiце левую кнопку, каб маляваць."
"It's great when we all get a chance to be merry together.","Як добра, калi мы ўсе маем магчымасць павесялiцца разам."
"Polite","Ветлiвы"
"or raise the [C:6:0:0]Bridge[C:7:0:0], locking you inside. ","або узняць[C:6:0:0]Мост[C:7:0:0], замыкаючы вас унутры. "
"Assign new display items","Прызначыць новыя элементы адлюстравання"
"Chant","Напець"
"Provide Position","Даць пасаду"
"Finish setting plant gathering orders.","Схаваць загады на збор раслiн."
"Noted thief","Адметны злодзей"
" and agreed"," i згадзiлiся"
"Change to blueprint-only mode.","Перайсцi ў рэжым планавання."
"Guild:","Гiльдыя:"
"Acquire object","Набыць рэч"
"discourse on ethics as applied to war","дыскурс аб этыцы ў дачыненнi да вайны"
"Ambitious","Амбiцыйны"
"Requires ","Патрабуе "
"stone","камень"
"Economically linked to you","Эканамiчна звязаны з вамi"
"We should have made it there by now.","Мы ўжо павiнны быць там."
"Description:","Апiсанне:"
" hanging from "," звiсае з "
"discourse on diplomacy","дыскурс аб дыпламатыi"
"elision","элiзiя"
"I do not have ","У мяне няма "
"Center on fort","Цэнтр на форт"
"Restore defaults","Па змаўчаннi"
"This poetry is so funny!","Гэтая паэзiя такая смешная!"
" is ripped into loose shreds!"," разарвана на маленькiя шматкi!"
" telling the tale quite well."," даволi добра распавядая байку."
"This work order has not been validated by the manager.  A manager can be employed in the nobles and administrators menu, and they must have an assigned office where they will work to validate orders.","Гэты працоўны загад не быў сцверджаны мэнэджарам. Апошняга можна прызначыць у меню ""шляхта i адмiнiстрацыя"". Ён павеiнен мець свой офiс, дзе ён будзе правяраць i сцвярджаць загады."
"Click an existing zone to select it.","Нацiснiце на зону, каб выбраць яе."
"You can also access information from the [C:5:0:1]Citizens[C:7:0:0] button.","Вы таксама можаце атрымаць доступ да iнфармацыi з дапамогай кнопкi [C:5:0:1]Жыхары[C:7:0:0]."
"Unassertive","Непрыкметны"
"Non-lethal","Несмяротна"
"Offering tribute","Прапануя аброк"
"she","яна"
"Leave this menu and recenter on this object.","Закрыйце меню ды iзноў звярнiце ўвагу на гэты аб'ект."
"You must designate a dungeon","Вы павiнны пазначыць падзямелле"
" seems "," здаецца "
"Creature bodies...","Целы iстот..."
"Writhing in agony!","Курчыцца ў агонii!"
"Dungeon","Падзямелле"
" flawlessly, like someone out of a legend!"," бездакорна, як з легенды!"
"Disdains tranquility","Зневажае спакой"
"destroying","разбурае"
"Slumberous","Санлiвасць"
"the embezzlement of","растрата"
"Finalizing tissue templates...","Завяршэнне шаблонаў трантаў..."
" offended"," пакрыўджаным"
"Specify image","Выбраць малюнак"
" and refused"," i адмовiўся"
"Considers preacher","Лiчыць прапаведнiкам"
"Semi-Wild","Паўдзiкi"
"is fat yet tiny","тоўсты, але маленькi"
"was unaffected by the comments and refused","на заўважыў каментароў i адмовiўся"
"The poetry enters","Паэзiя пераходзiць у"
"Allocating space...","Выдзяленне месца..."
"Winded","Засапцiўся"
"Work details","Дэталi працы"
"A hairy drunkard has come hither to once more disrespect the sanctity of life, I see.","Валасаты апiвайла прыйшоў сюды, каб зноў пагарджаць святасцю жыцця."
"Nest box claimed by","Курасадня занятая"
"Greatly feared as a villain","Выклiкаючы жудасць злыдзень"
"free","вольны"
"Set a high traffic area.  Use this in wide central passages.","Зона трафiку з высокiм прыярытэтам. Выкарыстоўвайце ў шырокiх цэнтральных праходах."
"Training Session","Трэнiроўка"
"Generally, almost every task will be available for every citizen, but you can both restrict both citizens and tasks. ","Як правiла, амаль усе задачы будуць даступныя для кожнага жыхара, але вы можаце абмежаваць i жыхароў, i задачы. "
" and spilling "," i пралiваючы "
"Name","Iмя"
"Chopping trees blueprint","План павалу лесу"
"All of your progress since the last","Увесь ваш прагрэс з апошняга"
"A plot","Змова"
"Finish removing mining etc. orders.","Скончыць скасаванне загадаў здабычы i гд."
"famous hero","знакамiты герой"
"Martial training","Вучыцца бою"
" upon "," на "
"You continue the story.","Вы працягваеце гiсторыю."
"Leave this menu and view this object's sheet.","Закрыйце меню ды паглядзiце характарыстыкi гэтага аб'екту.."
"Diplomacy tree-fell count","Дыпламатыя падлiку ўпаўшых дрэў"
"Mods install automatically when chosen during world creation.","Моды ўсталёўваюцца аўтаматычна пры выбары падчас стварэння свету."
"[C:6:0:1]Crafts[C:7:0:0] are an easy way to make a lot of trade goods quickly. ","[C:6:0:1]Рамёства[C:7:0:0] - гэта просты спосаб хутка зрабiць шмат гандлёвых тавараў. "
"Return to title menu","У галоўнае меню"
"Saving divination sets...","Захаванне прадказанняў..."
"All available witness information is presented for each case. ","Па кожным выпадку прадстаўлена ўся наяўная iнфармацыя сведак. "
"Click to recover (creates new mission)","Нацiснiце, каб аднавiць (стварае новую мiсiю)"
