"more presumptious","m†s presuntuoso"
"Most terrain-altering constructions can be found here, from walls and floors to bridges, ramps, stairs, and more.","Aqu° se pueden encontrar la mayor°a de las construcciones que alteran el terreno, desde muros y suelos hasta puentes, rampas, escaleras y mucho m†s."
"be fiery","ser ardiente"
"[C:1:0:1]Thirsty","[C:1:0:1] Sediento"
"There's nothing organized here.","No hay nada organizado aqu°."
"has a large body but is quite weak","tiene un gran cuerpo aunque es un poco dÇbil"
"Saving map data...","Guardando informaci¢n del mapa..."
" is too cold."," es demasiado fr°o."
"not one hour ago","hace no m†s de una hora"
"Z Levels Above Layer 4","Niveles Z Sobre la Capa 4"
"Grazing coefficient (higher = less grass)","Coeficiente de pastoreo (mayor = menos pasto)"
"A bookkeeper helps","Un contador ayuda "
"Using well","Usando bien"
"lady consort","se§ora consorte"
" brought back "," tra°do de vuelta "
"Self-Control","Autocontrol"
"You struggle for ","Luchas por "
"  Our hopes travel with you."," Nuestras esperanzas viajan con usted."
"The track stop's vehicle will take items from this stockpile.","El veh°culo de la parada de pista tomar† art°culos de este almacÇn."
"has rare but particularly exquisite turns of phrase","tiene raros pero particularmente exquisitos giros de frase"
"native","nativo"
"is very rigid","es muy r°gido"
"Buoyancy","Flotabilidad"
"Summarize the hold of ","Resumir la espera de "
"This is your apprentice.","Este es tu aprendiz."
"Seek Trigger for Mechanism","Buscar Activador para Mecanismo"
"Reproduction","Reproducci¢n"
"It won't fit in your ","No cabe en tu "
"dead unit convicted","unidad muerta condenada"
"Workers","trabajadores"
"has a negative view of those who exercise power over others","tiene una visi¢n negativa de aquellos que ejercen poder sobre los dem†s"
"Saves starting here will be grouped on the","Las partidas guardadas que comiencen aqu° se agrupar†n en el"
"raiding of ","asalto de "
" be returned."," ser regresado."
"Popup: Hold and climb","Ventana emergente: Sostener y escalar"
"been scalded to death.","ha sido calentado hasta morir."
"dancing ","baile "
"foot","pies"
"display object","objeto de visualizaci¢n"
"  The support of "," El apoyo de "
"Repaint this burrow.","Vuelve a pintar esta madriguera."
"Titan Attack Created Wealth Rating","El Ataque del Titan. Ratio de Riqueza Creado"
" live in the indicated locations above."," Viven en las ubicaciones indicadas arriba."
"frozen filth","mugre congelada"
"Ready to adventure!","≠Listo para la aventura!"
" prostrating itself before "," prostr†ndose ante "
" pass"," paso"
"the skulking vermin","la alima§a escurridiza"
"the Claim","el Reclamo"
"I feel such despair...","Siento tanta desesperaci¢n..."
"respected group","grupo respetado"
"because the group went too far away","porque el grupo fue demasiado lejos"
"great beast","gran bestia"
"bathe world in chaos","ba§ar el mundo en el caos"
"Plants","Plantas"
"On the item ","En el objeto "
"Instability.","Inestabilidad."
", but it is deflected by ",",pero es desviado por "
"Image information for ","Informaci¢n de la imagen para "
"We must be ready to sacrifice when the time comes.","Debemos estar listos para sacrificarnos cuando llegue el momento correcto."
"is very fat and extremely short","es muy gordo y extremadamente corto"
"Ocean region count fails by ","El recuento de la regi¢n oce†nica falla por "
" gave an unwelcome name."," di¢ un nombre inoportuno."
"tannable ","bronceable "
"profile","perfil"
"Craft Guild","Gremio de artesanos"
"stabbed out","apu§alado"
"finale","final"
"A great sadness is coming.","Se avecina una gran tristeza."
"The dance has reached the point where its accompaniment is at ","La danza ha llegado al punto donde su acompa§amiento est† en "
"*START REGION MAP SAVE*","*INICIAR MAPA DE REGI‡N GUARDAR*"
"We are rid of a nuisance.","Estamos libres de una molestia."
" yoke"," horquilla"
"rumored thief","ladr¢n rumoreado"
"the Bog","la CiÇnaga"
"a few hundred","unos pocos cientos"
"summer","verano"
"Distracted","Distraido"
"be triumphant","ser triunfante"
"an astonishing ability with languages and words","una sorprendente capacidad con los idiomas y palabras"
"Offer your service","Ofrecer tu servicio"
"Why are you traveling?","®Por quÇ viajas?"
"an abduction plot","un complot de secuestro"
"I enjoyed that.","Disfrute eso. "
"due to ","debido a "
"plot saboteur","saboteador de la trama"
" sculpture has melted!"," la escultura se ha derretido!"
"Did anybody flee the attack?","®Alguien huy¢ del ataque?"
"outside the fortress.","fuera de la fortaleza."
"Toggle whether the squad will train here.","Cambia si el equipo entrenar† aqu°."
"truth","verdad"
"Stone Crafting","Arte de Piedra"
"Deride flattery","Burlarse de los halagos"
"Feed Patients/Prisoners","Alimentar Pacientes/Prisioneros"
" in cooling magma"," Magma en enfriamiento"
"they are seen by a [C:5:0:0]Doctor[C:7:0:0]. ","son vistos por un [C:5:0:0]Doctor[C:7:0:0]. "
"a good memory","una buena memoria"
"This great hunt has saved us from a dangerous enemy!","≠Esta gran cacer°a nos ha salvado de un peligroso enemigo!"
"I find this somewhat admirable.","Encuentro esto algo admirable. "
"believed in the value of cooperation","cre°a en el valor de la cooperaci¢n"
"Use the [C:5:0:1]Zones[C:7:0:0] menu to select [C:3:0:0]Garbage Dump[C:7:0:0] and draw a rectangle over a cliff or hole and ","Use el men£ [C:5:0:1]Zonas[C:7:0:0] para seleccionar [C:3:0:0]Basurero[C:7:0:0] y dibuje un rect†ngulo sobre un acantilado o un agujero y "
"Invader death aversion (eight deaths)","Aversi¢n de invasores a la muerte (ocho muertes)"
"choice but to jump or scramble to another tile (or else be hit.)  Parrying is by weapon skill and only works on other weapons.  ","m†s remedio que saltar o desplazarse r†pidamente a otra casilla (y si no, ser golpeado). Contraatacar es una habilidad de armas y solo funciona contra otras armas. "
"the armillary sphere","la esfera armilar"
"has a habit of snapping ","tiene un habito de chasquear dedos "
"a satisfying acquisition","una adquisici¢n satisfactoria"
"more envious","m†s envidioso"
"doesn't really see the point of working hard","realmente no ve el punto de trabajar duro"
"the Armillary Sphere","la Esfera Armilar"
"Carve a gap in a smooth wall to allow your archers to fire upon invaders.","Haz un hueco en una pared lisa para permitir que tus arqueros disparen contra los invasores."
"Do not automate kitchen","No automatices la cocina"
"an underworld spire","una torre del inframundo"
"State feelings of resentment","Expresar sentimientos de resentimiento"
"View the leader's sheet.","Ver la ficha del l°der."
"Making armor","Fabricando armadura"
"tetrameter","tetr†metro"
"the People","la gente"
"falling","cayendo"
"striped ","a rayas "
"carpenter","carpintero"
" encounters if given a chance"," se encuentre si se le da una oportunidad"
"Skill 3","Habilidad 3"
"to paint the zone.","para pintar la zona."
"[NAME:forge ","[NAME:forja "
"No uniform","No uniforme"
"powerful","poderoso"
"doyen","decano"
"a temple complex","un complejo templario"
"  I'm returning on my own."," Estoy regresando por mi cuenta."
"is short and incredibly skinny","es corto y incre°blemente flaco"
"the beaker","el vaso"
"tied in a pony tail","atado en una cola de caballo"
"Disdains cunning","Desprecia la astucia"
"Unit lists: Sort by profession","Listas de unidades: Ordenar por profesi¢n"
"dyer","pintor"
" is skirmishing with us."," Est† peleando con nosotros."
" sluggish"," perezoso"
"Guard","Custodiar"
"Weight: ","Peso: "
"muscles","m£sculos"
"when a stranger advanced with a weapon","cuando un extra§o avanzo con un arma"
"No slabs engraved","Losas no grabadas"
" is my "," es mi "
"You have nothing left to remove.","No te queda nada que eliminar."
" releases"," liberaciones"
"fighting with ","luchando con "
"Inclined to abstract","propenso a lo abstracto"
"the Believer","el Creyente"
"raunchy","obsceno"
"the making of ","la fabricaci¢n de "
"the marriage of","el matrimonio de"
"Subterranean","subterr†neo"
"danger","peligro"
"rd","ro"
"the issue of their oneness with ","la cuesti¢n de su unidad con "
"sardonic","sarc†stico"
"None","Ninguno"
"Their strength has been challenged, and their hold has loosened.","Su fuerza se ha desafiado, y su aguante se ha aflojado."
"Meditate","Meditar"
"Really start a conflict with ","Realmente comienzar un conflicto con "
"You flinch.","Te estremeces."
"Aquifers can block the downward progress of your fortress, but it is possible to bypass them. ","Los acu°feros pueden bloquear el avance descendente de tu fortaleza, pero es posible sortearlos. "
"In The Beginning","Al principio"
" engaged me to assassinate "," me comprometi¢ a asesinar "
" came back from the dead"," regres¢ de la muerte"
"consolation","consolaci¢n"
"It is my misfortune that ","Es mi desgracia que "
"Partially webbed","parcialmente cubierto en tela de ara§a"
"can sometimes act without deliberation","a veces puede actuar sin deliberaci¢n"
"You have written ","Has escrito "
"kidnap","raptar"
"You don't believe anything relevant, unfortunately.","Desafortunadamente, no crees nada relevante."
"Laugh","Risa"
"Is it time to make music?","®Es hora de hacer m£sica?"
"chanter","cantor"
"rock","roca"
"wood burner","carbonero"
"What will you say about the refusal to give tribute?","®QuÇ dir†s sobre la negativa a rendir tributo?"
" pinches"," pellizcos"
"doesn't have any strong feelings about tradition","no tiene ning£n sentimiento fuerte sobre la tradici¢n"
"State feelings of acceptance","Expresar sentimientos de aceptaci¢n"
"evil being","ser maligno"
"Overall, the prose is not awful, but not very good either","Generalmente, la prosa no es pÇsima, pero tampoco muy buena"
"tavern","taverna"
"did not fear death and refused","no le temi¢ a la muerte y rechaz¢"
"Certain crimes are indicative of larger problems, so you should pay attention to them, and affected victims and family members get upset if crime is ignored.","Ciertos delitos son indicativos de problemas mayores, por lo que debe prestarles atenci¢n, y las v°ctimas afectadas y los miembros de la familia se molestan si se ignora el delito."
"insulted","insultado"
"has even killed ","incluso ha matado "
"Stubborness","terco"
"Paste","Pasta"
"Mortified","Mortificado"
"Preparing Arena...","Preparando Arena..."
"I'm very unhappy.","Estoy muy infeliz. "
"Behold, mortal.  I am ","Mira, mortal. Soy "
"State that this is your favorite dance","Manifestar que es tu baile favorito"
"My ","Mi "
"Rampage","Alboroto"
"the Algorithm","el Algoritmo"
"extremely high","extremadamente alto"
"Final tundra region count fails by ","La cuenta final de la tundra falla por "
"Melee, metal armor","Cuerpo a cuerpo, armadura de metal"
"The [C:6:0:0]Wagon[C:7:0:0] comes with some [C:6:0:1]Seeds[C:7:0:0], but as you might expect, these crops must be grown underground!","La [C:6:0:0]Carreta[C:7:0:0] viene con algunas [C:6:0:1]Semillas [C:7:0:0], pero como era de esperar, ≠estos cultivos deben cultivarse bajo tierra!"
"Another History","Otra Historia"
"This creature is a scholar.","Esta criatura es un erudito."
"Coal","Hulla"
"crystal glass gems","gemas de vidrio cristalino"
"would be deeply satisfied if everyone could live as one in complete harmony","estar°a profundamente satisfecho si todos pudieran vivir como uno en completa armon°a"
"mathematics","matem†ticas"
", but nothing can change the facts.",", Pero nada puede cambiar los hechos."
" performance troupe from "," compa§°a art°stica de "
" mechanisms"," mecanismos"
"lines which emerge when reading along certain prescribed paths across the body of the poem","l°neas que surgen cuando se lee a lo largo de ciertos caminos prescritos a travÇs del cuerpo del poema"
"Push track vehicle","Empujar el vehiculo de carretera"
"Liaison","Enlace"
"The handle is made from ","El mango est† hecho de "
"Cannot afford ","No puede costearse "
"Only a hero such as yourself can travel at night.  The bogeyman would get me.","S¢lo un heroe como t£ mismo puede viajar de noche. El bogeyman me atrapar°a."
"open war","guerra abierta"
"Saving announcements...","Guardando anuncios..."
"fearsome beast","bestia terror°fica"
"[C:6:0:1]Extreme pain","[C:6:0:1]Dolor extremo"
"This work order has been validated by the manager.","Esta orden de trabajo ha sido validad por el gerente."
"+Trained+","+Entrenado+"
"sorry","lo siento"
"Rear Compound","Compuesto trasero"
"elasticity","elasticidad"
"is muscular and very long","es musculoso/a y muy largo/a"
"Ice Track (NS)","V°a Congelada (NS)"
"State feelings of jolliness","Expresar sentimientos de alegr°a"
"I hope this mist passes.","Espero que esta bruma se acabe."
" meets them"," reune con ellos"
"Force Pumps","Bombas Manuales"
" (no library)"," (sin biblioteca)"
"weightless","ingr†vido"
"No mechanism for trigger","No hay mecanismo para activar"
"Tropical Dry Brdlf Forest","Bosque Tropical Seco Frond"
" seems to have correct format but could not find proper BPs in any caste, so not added"," Parece tener el formato correcto pero no se puedo encontrar los BPs adecuados en ninguna formulaci¢n, as° que no se a§adi¢"
"Play","Jugar"
"sees artful speech and eloquence as a wasteful form of deliberate deception and treats it as such","ve a los discursos ingeniosos y a la elocuencia como una forma in£til de enga§o deliberado y lo trata como tal"
"You can no longer be a ","No puedes continuar siendo un "
"Individual Skill Drill","Entrenamiento de Habilidad Individual"
"Trap Components","Componentes de Trampas"
"above and ","arriba y "
"Popup: Adventurer's log","Ventana emergente: Registro del aventurero"
"Roll all","Rodar todo"
"the sacrifice of ","el sacrificio de "
"totally clumsy","totalmente torpe"
"views tranquility as one of the highest ideals","ve la tranquilidad como uno de los ideales m†s nobles"
"layer","capa"
"Item Hauling","Transporte de Objetos"
"noted loyal soldier","soldado leal renombrado"
"is fat with an extremely broad body","es gordo con un cuerpo extremadamente ancho"
"the method of examining artifacts to determine how techniques have changed over time","el mÇtodo de examinar artefactos para determinar c¢mo las tÇcnicas han cambiado con el tiempo"
"was taken by a fey mood","tuvo un ataque de un humor extra§o"
"The selected stockpile will give items to here.","El almacÇn seleccionado dar† art°culos aqu°."
"can't land squarely","no puede aterrizar correctamente"
"the Ampoule","la Ampolla"
"to complain about","Quejarse sobre"
"The hatch is operated by a remote mechanism.  You cannot proceed.","La trampilla se acciona mediante un mecanismo remoto. No puedes continuar."
"It is snowing.","Est† nevando."
"Imported Food","Comida importada"
"More than a day's travel","A mas de un d°a de viaje"
"Cooperation","Cooperaci¢n"
"Click a tile to position the stop.","Haga clic en un cuadrado para colocar la parada."
"Removing fluids and spatter","Eliminando liquidos y salpicaduras"
"Hamlet","Aldea"
"Occupant","Ocupante"
"engineering:astronomy:orrery","ingenier°a:astronom°a:planetario"
"Record Keeper","Encargado del Registro/escribano"
"Lost in despair!","≠Perdido en la desesperaci¢n!"
" was crucial to the coup."," fue crucial para el golpe."
"I ate rotten food.","Com° comida podrida."
"Bolt thrower","Lanzavirotes"
"Herbalist","Herbologa"
"Acknowledge lack of regret","Reconocer la ausencia de arrepentimiento"
"The priesthood of ","el sacerdocio de "
"Screws","Tornillos"
" rejected)"," rechazado)"
"Short story","Historia corta"
"Toil","Esfuerzo"
"goddess","diosa"
"You do not have any farm plots.","No tienes ninguna plantaci¢n."
"the Sum of Squares","la Suma de Cuadrados"
"ripped off","arrancado"
"is ","es "
"swarm of ","enjambre de "
"Thank you for returning my treasure.","Gracias por devolverme mi tesoro."
" with disgust and would desecrate a so-called masterwork or two if "," con disgusto y profanar°a una llamada obra maestra o dos si "
"Failed to find CREATURE_CASTE_GRAPHICS creature ","Error al encontrar la criatura CREATURE_CASTE_GRAPHICS "
" was sanctified"," fue santificado"
"Leather goods shop","Tienda de art°culos de cuero"
"Masterfully trained","Magistralmente entrenado"
"is somewhat fearful in the face of imminent danger","es algo temeroso en la cara del peligro inminente"
"Final hill region count fails by ","El recuento final de la regi¢n de la colina falla por "
"Bags (Silk)","Bolsas (Seda)"
"the theme of ","el tema de "
" and some other small creatures."," y algunas otras criaturas peque§as."
"rough gems and glass","gemas en bruto y vidrio"
", now twisted into monstrosity",", ahora se torcio en una monstrocidad "
"emotions","emociones"
"You are forgiven.","Est†s perdonado."
"Early ","Temprano "
"Values hard work","Valora el trabajo duro"
"longevity","longevidad"
"On the faces of the object are ","En las caras del objeto hay "
"the forces of ","las fuerzas de "
"added a masterful chain","agreg¢ una cadena magistral"
"that great fortresses might be raised and tested in siege","que las grandes fortalezas deben ser erguidas y probadas bajo asedio"
"has an active imagination","tiene una imaginaci¢n activa"
"Abduct","Abducir"
"I had a nightmare about my deceased father.","Tuve una pesadilla sobre mi difunto padre."
"the role of state bias and propaganda in sources","el rol del sesgo del estado y propaganda en fuentes"
"sharing a personal insight with a sibling","compartir una visi¢n personal con un hermano"
"Select an identity.","Seleccione una identidad."
"rest","descansar"
"State minor feeling of eagerness","Expresar ligera sensaci¢n de ansia"
" withering away"," marchit†ndose"
"arousal","excitaci¢n"
"a metal craft shop","una tienda de artesan°a de metal"
"tends not to be swayed by emotional appeals","tiende a no ser influenciado por peticiones emocionales"
"Click in the play area","Haga clic en el †rea de juego"
"has a very broad body with little fat","tiene un cuerpo muy ancho con poca gordura"
"fellow order member ","compa§ero miembreo de la orden "
"You have been ordered to slay this creature.","Se te ha ordenado que mates a esta criatura."
"I wouldn't feel comfortable getting all dressed up.","No me gusta estar todo vestido"
"% and ","% y "
"Here you can travel great distances without having to move in the local mode.  You still become thirsty, hungry, and drowsy while traveling.  ","Aqu° puedes recorrer grandes distancias sin tener que desplazarte en modo local. Sigues teniendo sed, hambre y somnolencia mientras viajas. "
" crown"," corona"
"engineering:machine:lever","ingenier°a:m†quina:palanca"
"Happenings","Sucesos"
"Made a campfire","Hice una hoguera"
"Cut glass","Cristal tallado"
" push "," empujar "
"added masterful cloth","a§adida tela magistral"
"I bind myself to this place.","en este lugar permanecerÇ."
"Vertical ","Vertical "
"the scalpel","el bistur°"
"insurrection crushed","insurrecci¢n aplastada"
"Ice Upward Track (N)","V°a de AscensoCongelada (N)"
"Default embark width","Anchura de embarque predeterminada"
"the imprisonment","el aprisionamiento"
" - make at a workshop first"," - constr£yeme primero en un taller"
"Adventure awaits!  The party:","≠La aventura espera! El grupo:"
"baroness consort","baronesa consorte"
", and this dream was realized",", y su sue§o fue cumplido"
"Sacred to ","Sagrado para "
"Passing a few weeks to get things ready...","Pasando unas semanas para preparar las cosas..."
"chords","cuerda"
"Melted","Fundi¢"
"Pillaging","Saqueando"
"Sound...","Sonido..."
"I discussed my problems with my friend.","Discut° mis problemas con mi amigo."
"State feelings of agitation","Expresar sentimientos de agitaci¢n"
"No reports available","No hay informes disponibles"
"at","a"
"next to no creative talent","casi nada de talento creativo"
"filthy","asqueroso"
"Alerts","Alertas"
"Animal Embryos","Embriones Animales"
" (5 of 8)"," (5 de 8)"
"active performance preacher","activar el predicador "
"the unique decomposition of a number into products of its prime divisors","La descomposici¢n £nica de un n£mero en productos de sus divisores principales."
"has a very broad body but almost no fat","tiene un cuerpo muy ancho pero casi nada de gordura"
"Slow","Lento"
"1 food","1 comida"
"It is freezing.","Est† helado."
"singing","cantando"
"sees competition as reasonably important","ve la competici¢n como algo razonablemente importante"
"/Resting","/Descanso"
"This is the life for me.","Esto es la vida para m°."
"Valves","V†lvulas"
" : Special attack material missing state -- set to liquid"," : Ataque especial estado de material faltante -- Cambiado a liquido"
" is fantastic!"," ≠es fant†stico!"
"short phrases","frases cortas"
" to become a "," para convertirse en un "
"Values artwork","Valora el arte"
"chasm","abismo"
"guildhall petition accepted","petici¢n del gremio aceptada"
"not","no"
"rightward bends","inclinar hacia la derecha"
"after receiving a cut of corruptly-obtained funds","despuÇs de recibir una parte de los fondos obtenidos de forma corrupta"
"That was alarming.","Eso fue alarmante."
"Patched up nemesis record for nemid","Se corrigi¢ el registro de nÇmesis para nemid"
"died of old age.","muri¢ de viejo."
"Summer","Verano"
" never allows pauses to occur in conversation"," nunca permite pausas en una conversacion"
"I played with my pet.","JuguÇ con mi mascota."
"I'm sorry.  I can't go with you.","Lo siento, no puedo ir contigo."
"with flecks of","con motas de"
"Healthcare","Cuidado de la Salud"
"Extract from plants","Extracto de plantas"
" bellows"," fuelle"
"Squads should be assigned to a barracks.  The squad can be set to train, sleep, and store equipment there.","Los escuadrones deben ser asignados a un cuartel. El escuadr¢n se puede configurar para entrenar, dormir y almacenar equipos all°."
"This is the conversation menu.","Este es el men£ de conversaci¢n."
"Beware doubt.","Cuidado con la duda."
"Healing","Curaci¢n"
"thought of as two disjoint chords drawn from the fundamental division of the perfect fourth","considerado como dos acordes separados extra°dos de la divisi¢n fundamental de la cuarta perfecta"
"Leave editor and discard data","Salir del editor y descartar datos"
"hanging-lobed","l¢bulo colgante"
"[C:3:0:1].Dizziness","[C:3:0:1].Mareos"
"Foreground","primer plano"
"a kidnapping","un secuestro"
" max"," maximo"
"I could really use a drink.","Me vendria bien una copa."
"the Breach","el Incumplimiento"
"The stars are out","La estrellas han salido"
"You have selected a very large area.","Has seleccionado un †rea bastante grande."
"occasionally cracks ","grietas ocasionales "
"has a very broad body, with enormous lard pockets packed in with the giant muscles","tiene un cuerpo muy ancho, con enormes bolsas de grasa llenas con los m£sculos gigantes"
"Click the map to zoom in and choose your embark location.","Haga clic en el mapa para acercar y elegir su ubicaci¢n de embarque."
"Don't perform action","No realizar la acci¢n"
"sloth","perezoso"
"You do not have a weapon.","No tienes un arma."
"after a lack of abstract thinking","tras una falta de pensamiento abstracto"
" loosens"," afloja"
"How I long for some excitement in my life...","C¢mo anhelo un poco de emoci¢n en mi vida..."
"Excitement","Emoci¢n"
" has climbed out of depression."," ha salido de la depresi¢n."
"has a small build but is muscular and fat","tiene una complexi¢n peque§a pero musculosa y gorda"
"is long, muscular and fat","es largo, musculoso y gordo"
"Fondness","Cari§o"
"Temperate Brackish River","R°o Templado de Agua Salobre"
"the masterful ","el magistral "
" until you stop riding this projectile."," hasta que dejes de montar este proyectil."
"My spouse lost the baby.","Mi esposa perdi¢ el bebÇ."
" has shared many tales from beyond "," ha compartido muchas historias del m†s all† "
"an untitled work","un trabajo sin t°tulo"
"title screen, with their own active save.","pantalla de t°tulo, con su propio guardado activo."
"medicine:tool:bandages","medicina: herramienta: vendas"
"finds maintaining decorum a silly, fumbling waste of time","considera que mantener el decoro es una pÇrdida de tiempo tonta y torpe"
"Preserver of knowledge","Conservador del conocimiento"
"about ","sobre "
"Focus on living in harmony.","ConcÇntrate en vivir en armon°a."
"Inference","Inferencia"
"seeks out exciting and adventurous situations","busca situaciones excitantes y aventuras"
"  You are held in some esteem."," Se te tiene en cierta estima."
"the Monument","el Monumento"
"Some patients will need [C:6:0:1]Crutches[C:7:0:0] after they are treated. ","Algunos pacientes necesitar†n [C:6:0:1]Muletas[C:7:0:0] despuÇs de ser tratados. "
"Tell listener you don't work here","Decir al oyente que no trabajas aqu°"
"I had an intellectual discussion with an acquaintance.","Tuve una discusi¢n intelectual con un conocido."
" scrambles"," revuelve"
"sharing a personal insight with a child","compartir una visi¢n personal con un ni§o"
"tiny stationary","diminuto estacionario"
"spire","aguja"
"bypass","evitar"
"This organizational activity will branch into specific social events.","Esta actividad de la organizaci¢n se ramificar† en eventos sociales espec°ficos."
"can't fathom why anyone would want to live in an orderly and harmonious society","no puede entender por quÇ alguien querr°a vivir en una sociedad ordenada y armoniosa"
"was overcome by greed","fue superado por la codicia  "
"legendary preacher","predicador legendario"
":frame:frames",":marco:marcos"
"The item ","El objeto "
"Converting to gathering blueprint","Conversi¢n a plano de recolecci¢n"
" under "," de bajo "
"Drowsy","somnoliento"
"cursed demon","demonio maldito"
"dissection","disecci¢n"
"pessimistic","pesimista"
"The melody and counterpoint both have ","Tanto la melod°a como el contrapunto tienen "
" splint"," entablillar"
"This may take several minutes!","≠Esto puede tomar varios minutos!"
"Dry season","Estaci¢n seca"
"You have a weapon drawn.  Click to strap it.","Tienes un arma desenvainada. Haga clic para asegurarla."
"Tint ","Tinte "
"Our family's ancestor is ","El antepasado de nuestra familia es "
"has a short broad body but is kind of weak and skinny at the same time","tiene un cuerpo bajito y ancho pero es un poco dÇbil y delgado al mismo tiempo"
"daylight and seasons","luz del d°a y las estaciones"
"Although it is a grim reminder of the winter hardships to come, the supply caravan from ","Aunque es un sombr°o recordatorio de las penurias del invierno que se avecinan, la caravana de suministros de "
"State that this is fantastic","Manifestar que est† fant†stico"
"Staring off into space...","Mirando al espacio..."
"destroyed","destruido"
"Custom butcher object shape not found: ","No se encuentra la forma personalizada del objeto de carnicero: "
"State minor feeling of adoration","Expresar ligera sensaci¢n de adoraci¢n"
" Race"," Carrera"
"I'm very resentful.","Estoy muy resentido."
"received food","comida recibida"
" dedicated to the mastery of "," dedicado al dominio de "
"Failed to find compatible mod:","No se pudo encontrar el mod compatible:"
"beds","camas"
"nocked in","encoc¢ en"
"   * Requires a jug"," *Requiere una jarra"
"Some dozens live there","Docenas viven all°"
"I ate in a dining room.","Com° en un comedor."
"Animal Development","Desarrollo Animal"
"Memorialized","Conmemorado"
"  The defenders were led by "," Los defensores fueron liderados por "
"amazingly agile","increiblemente agil"
"Associated Organization: ","Organizaci¢n asociada: "
"The sun is low in the ","El sol est† bajo en el "
"low-voiced","voz baja"
" to entertain the world"," para entretener el mundo"
"being out in the sunshine again","estando fuera al sol de nuevo"
"active performance singer","cantante de actuaci¢n activa"
" led the attack"," lider¢ el ataque"
"being expelled","siendo expulsado"
"Available Skills","Habilidades Disponibles"
" out of the air"," fuera del aire"
"the worthlessness","la inutilidad"
"reward","recompensa"
"verse","verso"
"World debug","Depuraci¢n mundial"
"Late night","Tarde en la noche"
"Seek Slaughter Building","Buscar Matadero"
"Off map","Fuera del mapa"
"Wells","Pozos"
"animal trap","trampa de animales"
"mutilated ","mutilado "
"is very greedy","es muy codicioso"
"the Treasure","el tesoro"
" stiffens up when "," se estira cuando "
"chubby","regordete"
"The image ","La imagen "
"the embezzlement conspiracy","la conspiraci¢n de malversaci¢n"
"lizard","lagarto"
"education","educaci¢n"
" has promise."," promete."
"Explore the history of ","Explora la historia de "
"slightly swollen","ligeramente hinchado"
"favorite","favorito"
"the value of art","el valor del arte"
"received water","recibido agua"
"Masonry","Masoner°a"
"Unloaded","Descargado"
"desired vengeance and willingly complied","venganza deseada y voluntariamente cumplido"
"Strict population cap (includes births)","L°mite de poblaci¢n estricto (incluye nacimientos)"
"[C:7:0:1]Fishing[C:7:0:0]","[C:7:0:1]Pescando[C:7:0:0]"
"Workers cannot be assigned to this building.","No se pueden asignar Trabajadores a este Edificio"
" and put it in "," y ponlo en "
"Barrels","Barriles"
"doesn't see the attainment of knowledge as important","no le da importancia a la adquisici¢n del conocimiento"
"Interrogation Office","oficinas de interrogaci¢n "
"lines which can be read backwards as well as forwards","L°neas que pueden leerse tanto hacia atr†s como hacia delante."
"siege ammo","munici¢n de asedio"
" to shared worship of "," al culto compartido de "
"Ambush (thief)","Emboscada (ladr¢n)"
"Tooth","Diente"
"patrol","patrulla"
"The vegetation has been slightly perturbed.","La vegetaci¢n ha sido ligeramente alterada."
"(only this inactive copy will be deleted)","(s¢lo se eliminar† esta copia inactiva)"
"a restless haunt","una maldici¢n atormentadora"
"flights of fancy","ideas fantasiosas"
" capped"," A tope"
"A dark, menacing cloud towers above you, crowned by an anvil.","Una nube oscura y amenazadora se alza sobre ti, coronada por un yunque."
"Conquest","Conquista"
"bridge","puente"
"Apply cast","Aplicar yeso"
" mount "," montar "
" pulls"," tira"
"[C:5:0:1]Infection","[C:5:0:1]Infecci¢n"
" was dropped by "," fue dejado caer por "
"Unit sheet button","Bot¢n de hoja de unidad"
"Very low","Muy bajo"
"received the worship of","recibi¢ la adoraci¢n de"
"This is","êsto es"
"Create a new work order for this workshop.  Work orders are tasks that can repeat specified numbers of times and which can be given start conditions.  This is useful for automation.","Cree una nueva orden de trabajo para este taller. Las ¢rdenes de trabajo son tareas que se pueden repetir un n£mero espec°fico de veces y a las que se les pueden dar condiciones de inicio. Esto es £til para la automatizaci¢n."
"Acknowledge lack of hopelessness","Reconocer la ausencia de imposibilidad"
"was put to rest","Fue puesto a descansar"
"The new government was called ","El nuevo gobierno se llam¢ "
"Cavern Layer Passage Density Min","Densidad de Pasillos M°nima en Cavernas"
" says, """," dice, """
"Raid ","Ataque "
"the masterful engraving","el grabado magistral"
"Overall, the information is compiled masterfully","En general, la informaci¢n est† compilada magistralmente"
"If the fallen logs are accessible, everyone will help store them in the [C:6:0:0]Stockpile[C:7:0:0].  ","Si se puede acceder a los troncos ca°dos, todos ayudar†n a almacenarlos en el [C:6:0:0]AlmacÇn[C:7:0:0]. "
"Acknowledge lack of enthusiasm","Reconocer la ausencia de entusiasmo"
"Cancel this position's scheduled orders.","Cancele los pedidos programados de esta posici¢n."
"Sewers","Alcantarilla"
"I'm nervous.","Estoy nervioso. "
" concludes a performance."," concluye una actuaci¢n."
"Home","Hogar"
"you were","tu eres"
"On this mission","en esta misi¢n"
"to select which of these strings are ","para seleccionar cuales cuerdas son "
"is gigantic with huge muscles and hanging rolls of lard","es gigante, con enormes m£sculos y rollos de grasa colgantes"
"State feelings of great contempt","Expresar sentimientos de gran desprecio"
" refused to give a name"," se neg¢ a dar un nombre"
