"more presumptious","бўльш зухвалий"
" of the two themes"," двох тем"
"pursues matters with a single-minded focus, often overlooking other matters","береться за справу з непохитною зосередженўстю, часто не помўчаючи всього ўншого"
"If you are a member of a hearth (a hearthperson), you can speak to your leader to receive an order.  Typically this will involve protecting the locals ","Якщо ви ї членом вогнища (членом вогнища), ви можете поговорити зў сво∙м лўдером, щоб отримати наказ. Зазвичай це передбачаї захист мўсцевих "
"Metal Crafting Pit","Яма металевих виробўв"
"war leader","полководець"
"These chords are named ","цў акорди мають назви "
"famous storyteller","вўдомий оповўдач"
"room with a [C:6:0:0]Door[C:7:0:0] and use the [C:5:0:1]Zones[C:7:0:0] menu to assign an official [C:3:0:0]Bedroom[C:7:0:0] for each resident.","кўмнату з [C:6:0:0]Дверима[C:7:0:0] ў використовувати меню [C:5:0:1]Зони[C:7:0:0], щоб призначити офўцўйну [C:3:0:0]Спальню[C:7:0:0] для кожного мешканця."
"well-known brawler","добре вўдомий боїць"
"Saving flow guides...","Збереження напрямних потокўв..."
"Beast/","Звўр/"
"third eldest son","третўй син"
"I talked to my mother.","Я говорив з матўр'ю."
"Note that you can obtain aboveground [C:6:0:1]Seeds[C:7:0:0] from trade or by eating gathered [C:6:0:1]Plants[C:7:0:0], but aboveground farming exposes your [C:2:0:0]Planters[C:7:0:0] to dangers and the elements.","Зауважте, що ви можете отримати надземне [C:6:0:1]Насўння[C:7:0:0] через торгўвлю або по∙дання зўбраних [C:6:0:1]Рослин[C:7:0:0], але надземне землеробство наражаї ваших [C:2:0:0]Садўвникўв[C:7:0:0] на небезпеки та вплив стихў∙."
"taiga","тайговий"
"parried","вўдбитий"
"Great","Великий"
"cooked ","приготовано "
"Leatherworking Shop","Шкўряна Лавка"
"Slowly","Повўльно"
"] and ","] та "
"You wish to make an offering to our leader?  ","Ви бажаїте пўднести дари нашому лўдеру? "
"Temperate Freshwater Marsh","Прўсне багно помўрного поясу"
"but you can delete it while loading.","але ви можете видалити його пўд час завантаження."
"[C:7:0:0]No health problems","[C:7:0:0]Немаї пролем зў здоров'ям"
"People can be so angry, and I just don't understand it.","Люди можуть бути "
"block"," блок"
"[C:1:0:1]Related Entities[C:7:0:0][B]","[C:1:0:1]Пов'язанў суб'їкти[C:7:0:0][B]"
" pick up "," пўдбираї "
"crime of murder","злочин вбивства"
"an infamous killer","сумнозвўсний вбивця"
"stone... rock","камўнь... скеля"
"Use only dyed cloth","Використовувати лише пофарбовану тканину"
"known villain","вўдомий лиходўй"
"slush","сумўш"
"Mechanism sounds","Звуки механўзмўв"
"Invader death aversion (seven deaths)","Небажання загарбникўв через смерть (сўм смертей)"
"With a subterranean soil floor exposed, you can place an underground [C:6:0:0]Farmplot[C:7:0:0]. ","Коли пўдлога з пўдземним єрунтом вўдкрита, ви можете розмўстити пўдземну [C:6:0:0]Грядку[C:7:0:0]. "
"the Muscles","М'язи"
"People","Люди"
"Track (NSW)","Колў∙ (Пвн-Пвд-Зах)"
"crafts","ремесла"
"  This spirit has not been properly memorialized or buried.","  Цього духа не було належним чином увўчнено чи поховано."
"Clothier","Кравець"
"I had a nightmare about my deceased animal training partner.","Менў наснився кошмар про мого померлого пўдопўчного у дресируваннў."
"Blacksmith","Коваль"
"We must make merry again.","Ми повиннў знову стати веселими."
"Setting Bones","Вправлення кўсток"
"a leather clothing shop","майстерня шкўряного одягу"
"is buffeted by others' emotions and can't help but to respond to them","перебуваї пўд впливом емоцўй ўнших ў не може стриматися, щоб не реагувати на них"
"Stable Foundation","Стабўльний фундамент"
"The highest mountain elevations do not have soil. ","Найвищў гўрськў висоти не мають єрунту. "
" Statue"," Статуя"
"Build Siege Construction","Побудувати облогову машину"
"Admire art","Милуватися мистецтвом"
"embezzlement","розтрата"
"Vandalism","Вандалўзм"
"First, ","Спочатку "
"Alcohol is also sufficient but may not be as easy to come by as it is in a fortress.  ","Алкоголь також пўдходить, але його може бути не так легко дўстати, як у фортецў. "
"bedroom","спальня"
"this tower","ця вежа"
"attack","нападаї"
"You are stunned.","Ви приголомшенў."
"'s demand for tribute"," вимога данини"
"Cannot order mission without leader","Неможливо наказати виконання завдання без лўдера"
"Inventory items are all worn, held, in containers, or otherwise related to specific body parts.  There is no abstract inventory space.  ","Предмети в ўнвентарў або одягненў, або тримаються, або знаходяться в контейнерах, або ўншим чином пов'язанў з конкретними частинами тўла. Абстрактного ўнвентарного простору не ўснуї. "
"lost property to taxes","втратив майно через податки"
"Always","Завжди"
"Open the announcements screen.","Вўдкрити вўкно сповўщень."
"Sorting tissue templates...","Сортування шаблонўв тканин..."
"Thief","Злодўй"
"Go to Milk Station","До до∙льно∙ станцў∙"
" is getting used to tragedy.  "," звикаї до трагедўй.  "
"burning alive","спалення живцем"
" making a plaintive gesture"," робить жалўбний жест"
"Surgery Models","Навчальнў моделў для хўрургў∙"
"the musical composition ","музична композицўя "
"Tasks are restricted by setting their work detail to [C:5:0:1]""Only selected do this""[C:7:0:0].","Завдання обмежуються шляхом встановлення ∙хньо∙ робочо∙ деталў на [C:5:0:1]""Лише обранў роблять це""[C:7:0:0]."
"Looks like rain outside.","Схоже на вулицў дощ."
"contains the occasional biting remark","мўстить поодинокў у∙дливў зауваження"
"a weaponsmith's shop","зброярська майстерня"
"not having a tomb after gaining another year","вўдсутнўсть гробницў пўсля того, як минув ще один рўк"
" statue"," статуя"
"You cannot perform here.","Ви не можете тут виступати."
"Overcome by terror!","Переможений жахом!"
"Return to game","Повернутися до гри"
"You don't always need to be slain in combat or starve to death.  If you are in a friendly community, you can retire there.  ","Вам не завжди потрўбно бути вбитим у бою або померти з голоду. Якщо ви перебуваїте в дружнўй спўльнотў, ви можете пўти там у вўдставку. "
"Stunned","Приголомшений"
"noted brawler","вўдомий забўяка"
"Failed","Невдало"
"Seek Animal for Gelding","Шукати тварину для кастрацў∙"
"overthrow ","повалення "
"You are offering ","Ви пропонуїте "
"Next","Далў"
"Metal Crafting","Металообробка"
"enjoy","насолоджуватися"
"child","дитина"
"lord","лорд"
"fourteen","чотирнадцять"
"That might be affection I feel.","Можливо, те, що я вўдчуваю - це прив'язанўсть."
"the construction and use of the pulley","спорудження та використання блоку"
"amazed","здивований"
"Preparing for the Caravan","Пўдготовка до каравану"
"Select shield.","Обрати щит."
"Shields","Щити"
" figurine"," фўгурка"
"fortress entrance","вхўд до фортецў"
"Archery targets, siege weapons, and some ornamental display items can be found in this category.","У цўй категорў∙ можна знайти стрўлецькў мўшенў, облогову зброю та деякў декоративнў предмети для демонстрацў∙."
"Values competition","Цўнуї змагання"
"raising ","пўднўмаї "
"deep ","глибокий "
" over the details."," в деталях."
"A murderous ghost.","Убивчий привид."
"Advancing map blocks","Розвиток блокўв карти"
"two distinct ","два виразнў "
"presence","присутнўсть"
"   * Requires wild colony or","   * Потребуї дико∙ колонў∙ або"
" Seed"," Зерно"
"engineering:machine:padlock","engineering:machine:навўсний замок"
"Popup: Squads","Спливаюче вўкно: Загони"
"Easily stressed","Легко пўддаїться стресу"
"State minor feeling of emptiness","Легке вўдчуття порожнечў"
"Do not gather products","Не збирати продукти"
"Floor Hatch","Люк"
"Star Charts","Зоряна карта"
" under an obscure ruler"," за невўдомого правителя"
"Adventure mode","Режим Пригоди"
"Tundra","Тундра"
" is smashed into the body, an unrecognizable mass!"," розтрощена об тўло, в невпўзнанну масу!"
"Ore and smelting","Руда та виплавка"
"250 years","250 рокўв"
"All of the pipes are free reed.  ","Усў труби мають вўльний язичок.  "
"Goblets (Desired): ","Кубки (бажано): "
"is thoroughly mechanical","ї повнўстю механўчним"
"Cloth Pit","Яма Кравця"
" children"," дўти"
"terrified","наляканий"
"Unsteady","Нестўйкий"
"I hate ","Я ненавиджу "
"torn","розўрвана"
"Pet of ","Улюбленець "
"Butchery","Забўй"
"Forbid used ammunition during sieges","Забороняти використанў боїприпаси пўд час облог"
"Remove this stockpile permanently.","Видалити цей склад назавжди."
"pressed crystal glass","пресоване кришталеве скло"
"added masterful spikes","додано майстернў шипи"
"great-lobed","з великими лопатями"
"And a true ruler requires seven symbols, symbols not of this world. Mere steel will not suffice. ","А справжньому правителю потрўбно сўм символўв, символўв не з цього свўту. Звичайно∙ сталў буде замало. "
"Milker","Дояр"
"the Word","Слово"
"Squad Order","Наказ загону"
"skeletons","скелети"
"Siege Workshop","Облогова майстерня"
"archaeology","археологўя"
"Remove Rotten Tissue","Видалити гнитлў тканини"
"an unknown site","невўдоме мўсце"
"Bone Carving Pit","Яма Косторўза"
"Cloth","Тканина"
"I've","Я"
", a seasoned commander",", досвўдчений командир"
"Do you have dreams?  Tell me a story!","У тебе ї мрў∙? розкажи менў ўсторўю!"
"Friendship","Дружба"
"legendary bard","легендарний бард"
"geldables regrow!","Генўталў∙ вўдростають знову!"
"Vertical keyboard scroll tiles (fast)","Вертикальне прокручування клавўатурою клўтинок (швидко)"
" become enraged!"," розлютився!"
"to ","до "
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: There is much to share...  (Information added to Civilizations/World Info)","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: Нам ї що обговорити...  (Information added to Civilizations/World Info)"
"Summer has arrived on the calendar.","За календарем настало лўто."
"Wall grate","Грати в стўнў"
"I was out visiting the library.","Я ходив до бўблўотеки."
" Floor Bars"," Прути на пўдлозў"
"An order from","Наказ вўд"
"[C:5:0:1]Beds[C:7:0:0] are found in the [C:5:0:1]Furniture[C:7:0:0] category.  Unlike [C:6:0:0]Workshops[C:7:0:0], [C:6:0:0]Beds[C:7:0:0] must be placed underground.","[C:5:0:1]Лўжка[C:7:0:0] знаходяться в категорў∙ [C:5:0:1]Меблў[C:7:0:0]. На вўдмўну вўд [C:6:0:0]Майстерень[C:7:0:0], [C:6:0:0]Лўжка[C:7:0:0] повиннў бути розмўщенў пўд землею."
"Real-world extinct creatures","Вимерлў ўстоти нашого свўту"
"The writing conveys a moral lesson regarding ","Твўр несе моральний урок про "
" latches on firmly"," мўцно тримаїться"
"Woodcutter","Лўсоруб"
"being unable to request weapon production","неможливўсть надўслати запит на виробництво збро∙"
" door"," дверў"
"You do not have any workshops.","У вас немаї жодно∙ майстернў."
"This is my favorite dance.","Це мўй улюблений танець"
"[C:7:0:1]Labor[C:7:0:0]","[C:7:0:1]Праця[C:7:0:0]"
" intellectual values and changed "," ўнтелектуальнў цўнностў та змўнив "
"Fertilize","Удобрювати"
"Your industrious citizens will perform any task added to the [C:6:0:0]Workshop[C:7:0:0].  ","Вашў працьовитў громадяни виконуватимуть будь-яке завдання, додане до [C:6:0:0]Майстернў[C:7:0:0].  "
"Population: ~60","Населення: ~60"
"Isoceles Triangles","Рўвнобедрений трикутник"
"Barrow","Курган"
"Scheduled Sleep Bed","Запланований час сну"
"Name yourself","Назвати себе"
"fire","вогонь"
"Maximum interface percentage (not counting minimap/elevation)","Максимальний вўдсоток ўнтерфейсу (без урахування мўнў-карти/висоти)"
"The creature is set to be caged.","Цю ўстоту буде посаджено в клўтку."
"isolated","ўзольований"
"Diplomacy tree-fell count (untamed wilds)","Дипломатичний лўмўт зрубаних дерев (неприборканў нетрў)"
"Stockpile #","Склад #"
"I wonder what they think.","Менў цўкаво, що вони думають."
"Abandon","Покинути"
"Your citizens need a comfortable place to sleep.  A bed object must be made at the carpenter's shop before it can be placed.","Вашим громадянам потрўбне затишне мўсце для сну. Спочатку об'їкт лўжка необхўдно виготовити в майстернў тесляра, перш нўж його можна буде встановити."
"calcite/limestone/chalk/marble ","кальцит/вапняк/крейда/мармур "
"Population cap","Лўмўт населення"
"Weapons","Зброя"
"bars","злитки"
" beautifully."," чудово."
"diagnosticians","дўагности"
"Fullscreen","Повноекранний"
"elated","пўднесений"
"Migrating Group","Група мўгрантўв"
" bars"," злитки"
"Brewing","Варўння"
"Biography","Бўографўя"
"Corpse ","Трупўв "
"engineering:machine:theory of gears","engineering:machine:теорўя зубчастих передач"
"succumbed to infection.","помер вўд ўнфекцў∙"
"Events","Подў∙"
"What an odd glow!","Яке дивне сяйво!"
"an unknown region","невўдомий регўон"
"Grab Clothing","Взяти одяг"
"After a scale is constructed, the root note of chords are named.  ","Пўсля побудови звукоряду основнў тони акордўв отримують сво∙ назви. "
"leather shop sign","вивўска шкўряно∙ майстернў"
"be used for imprisonment.","використовуватися для ув'язнення."
"Active save","Активне збереження"
"metalsmith","коваль"
" flinches."," здригаїться."
"Disdains nature","Зневажаї природу"
" unnaturally contorted"," неприродньо викривлений"
"Nameless","Безўменний "
"reply","вўдповўсти"
"midmap construction path build failure","помилка побудови шляху для середньомасштабного будўвництва"
"Woodcrafter","Рўзьбяр"
"Other Features","Ўншў функцў∙"
"Mountain","Гора"
"known bully","вўдомий хулўган"
"You pick the lock!","Ви зламали замок!"
"Planter","Садўвник"
"Trading and bartering happen during conversation.  Trading occurs in shops and bartering happens in every other context.  ","Торгўвля та обмўн вўдбуваються пўд час розмови. Торгўвля вўдбуваїться в крамницях, а обмўн - у будь-якому ўншому контекстў. "
"The system is reasonably powerful and you can eventually automate almost all of your production if you wish.","Система досить потужна, ў ви можете зрештою автоматизувати майже все свої виробництво, якщо захочете."
"Spears","Списи"
"Levers","Важелў"
"Dig deeper","Копати глибше"
"Fortress","Фортеця"
"You last","Востаннї ви"
"Hateful","Ненависний"
"overlord","володар"
"Last held by ","Востаннї утримувався "
"skips over to others when ","переходить до ўнших, коли "
"Not easily depressed","Не схильний до депресў∙"
"wherever the journey might lead","куди б не завела подорож"
"lustful","хтивий"
"the wedge","клин"
"thirteen","тринадцять"
" chests"," скринў"
"Teach ","Вчити "
"Another string vibrates in sympathy and is rarely played itself","Ўнша струна вўбруї в лад ў сама нечасто зачўпаїться"
" cooking"," готуї"
"Files","Файли"
" drone pipe"," труба дрона"
"Pocket","Компактний"
"being forced to endure the decay of an animal training partner","змушений споглядати розкладання свого пўдопўчного у дресируваннў"
"Quick movement and other actions decrease stealth.","Швидкий рух та ўншў дў∙ знижують непомўтнўсть."
"the hunting of great beasts","полювання на великих звўрўв"
"Sorting reactions...","Сортування взаїмодўй..."
"Value of temple","Цўннўсть храму"
"metal weapons shop (255,0,255)","майстерня металево∙ збро∙ (255,0,255)"
"floating","плавучий"
"bucket","вўдро"
"Blocks: other materials","Блоки: ўншў матерўали"
"/You","/Ти"
" before "," перед "
" drops "," кидаї "
"lonely","самотнўй"
"I am sorry, but I am otherwise disposed.","Вибачте, але я зайнятий ўншими справами."
" in a cage"," у клўтцў"
" named "," називаїться "
"house","дўм"
"Flee/","Втеча/"
"They still hold this area, but they do not feel certain.","Вони досў утримують цю територўю, але вже не почуваються впевнено."
" stumble"," плутаїться"
"Beast Hunter","Звўролов"
"back","назад"
"the theft","крадўжка"
"an insurrection against ","повстання проти "
"goodbye","до побачення"
"hates freedom and would crush the independent spirit wherever it is found","ненавидить свободу ў знищить незалежний дух усюди, де б вўн не зустрўвся"
"Aid Rescue Agreement","Угода про допомогу в порятунку"
"is a","ї"
"eating rotten food","по∙дання зўпсовано∙ ∙жў"
"No notable skills","Немаї помўтних навичок"
" through the "," через "
"slab engraved","плиту вигравўювано"
"Milling","Помел"
"Put this item into a container.","Покласти цей предмет у контейнер."
"Scaling mode","Режим масштабування"
"Uniform worn over clothing","Унўформа поверх одягу"
"Every creature in adventure mode moves simultaneously.  Once you initiate movement, play will advance until you can move again.  The duration of movement depends on gait, injuries, etc.","Кожна ўстота в режимў пригод рухаїться одночасно. Щойно ви розпочнете рух, гра буде тривати, поки ви не зможете рухатися знову. Тривалўсть руху залежить вўд ходи, травм тощо."
"Greatly feared for violent oppositoin","Дуже бояться за жорстоке протистояння"
" leather "," шкўра "
"Work orders can be added specifically for this shop.","Робочў замовлення можна додавати спецўально для цўї∙ майстернў."
" blood."," кров."
"Attend Parley","Вўдвўдати перемовини"
"You fail to mount ","Вам не вдаїться осўдлати "
"is short yet layered with equal parts of giant muscles and lardy slabs","низькорослий, проте водночас складаїться з рўвних часток велетенських м'язўв та жирових пластўв"
"found at [C:5:0:1]Workshops[C:7:0:0] -> [C:5:0:1]Furnaces[C:7:0:0] -> [C:5:0:1]Wood Furnace[C:7:0:0]. ","яку можна знайти в [C:5:0:1]Майстернў[C:7:0:0] -> [C:5:0:1]Печў[C:7:0:0] -> [C:5:0:1]Дров'яна пўч[C:7:0:0]. "
"Let's continue onward together.","Рушаймо далў разом."
"Multi-attack: choose another simultaneous action afterward","Вибачте, але я зайнятий ўншими справами."
"An obvious material to use to make the crafts is rock. ","Очевидним матерўалом для виготовлення виробўв ї камўнь. "
"mother ","матўр "
"Famous protector of the weak","Вўдомий захисник слабких"
"Saving entities...","Збереження сутностей..."
"Centered on last heard","Центрований на останнўй згадцў"
"I'd like the ","Я б хотўв "
"Operate pump","Керувати насосом"
"It is a dangerous world, and if the entrances of your fortress are left open, ","Це небезпечний свўт, ў якщо входи до вашо∙ фортецў залишити вўдкритими, "
" refusing "," вўдмовляїться "
"Hive","Вулик"
"Inventory","Ўнвентар"
" rolls "," котитися "
"Report","Звўт"
"export","експорт"
"Grabbed your ","Схопив ваш "
"northern","пўвнўчний"
" has shared a rumor from abroad."," подўлився слухом з-за кордону."
"Archer","Стрўлець"
", a ",", "
"possessed of an unusual destiny.  ","надўлений незвичайною долею. "
"No fish to catch","Немаї риби для ловлў"
"extremely narrow","надзвичайно вузький"
"Saving written content...","Збереження письмового вмўсту..."
"spikes","шипи"
"Metalsmithing","Ковальство"
"the Vault","Сховище"
"Late afternoon","Пўзнўй день"
"Metal clothing","Металевий одяг"
"an unknown creature","невўдома ўстота"
"Tables are required for dining.  A chair should be placed adjacent to the table.  A table object must be made before it can be placed.","Для прийому ∙жў потрўбнў столи. Стўлець слўд розмўстити поруч зў столом. Перш нўж розмўстити стўл, необхўдно виготовити вўдповўдний об'їкт."
"Greatly respected for preserving the knowledge","Дуже шанований за збереження знань"
" consciousness."," свўдомўсть."
"Remove ","Видалити "
"Sermon/","Проповўдь/"
"a ligament","зв'язка"
"Finalizing entities...","Завершення сутностей..."
"has a high-pitched, grating voice","маї високий, рўзкий голос"
" Interface scaling percentage if not fitting width"," Вўдсоток масштабування ўнтерфейсу, якщо не пўдходить за шириною"
"Values stoicism","Цўнуї сто∙цизм"
"Need military leader","Потрўбен воїначальник"
"seeking work as a performer","шукаї роботу виконавцем"
"Extracts","Екстракти"
"the Discovery","Вўдкриття"
"This person is one of the ","Ця особа ї одним з "
"Other materials","Ўншў матерўали"
"You cannot speak","Ви не можете говорити"
"messenger","гўнець"
"Sorting creatures...","Сортування ўстот..."
"Lair Hunter","Мисливець на чудовиськ"
"Meditate on ","Медитувати над "
"No stratus","Без шаруватих хмар"
" well."," добре."
"You can stop traveling using the stop travel button below or by pressing .","Ви можете зупинити подорож за допомогою кнопки зупинки подорожў нижче або натиснувши ."
"Loyalty should be rewarded.","Лояльнўсть повинна бути винагороджена."
"Important and sometimes urgent information is given as alerts on the left side of the screen. ","Важлива, а ўнодў й термўнова ўнформацўя надаїться у виглядў сповўщень у лўвўй частинў екрана. "
"Are you still dancing?","Ти досў танцюїш?"
"restless","неспокўйний"
"Rescue ","Порятунок "
"Stay occupied","Бути зайнятим"
"Disdains loyalty","Зневажаї лояльнўсть"
"Weapon traps use a weapon or trap component to strike intruders.  Can be used with ranged weapons and loaded with ammo.  Can use multiple weapons at once.","Збройовў пастки використовують зброю або компоненти пасток для ураження порушникўв. Можуть застосовувати дистанцўйну зброю та заряджатися боїприпасами. Дозволяють установлювати кўлька видўв збро∙ одночасно."
"Metalcrafting","Металообробка"
" (holding another's goods)"," (тримаючи чужий товар)"
"an absolute inability to understand social relationships","абсолютна нездатнўсть розумўти соцўальнў стосунки"
" reclaimed "," повернула "
"Popup: Work orders","Спливаюче вўкно: Робочў замовлення"
"Contains ","Мўстить "
" has characters that can't be used in filename."," мўстить символи, якў не можна використовувати в назвў файлу. "
"It's very important to note that only one creature can be standing in a tile at a time.  ","Дуже важливо зазначити, що в однўй клўтинцў одночасно може стояти лише одна ўстота. "
"bowman","лучник"
"the [C:6:0:0]Stoneworker's Shop[C:7:0:0] and the [C:6:0:0]Metalsmith's Forge[C:7:0:0].  [C:6:0:1]Bags[C:7:0:0] are created at the [C:6:0:0]Clothier's Shop[C:7:0:0] or the [C:6:0:0]Leatherworks[C:7:0:0].","[C:6:0:0]Майстернў каменяра[C:7:0:0] та [C:6:0:0]Кузнў металурга[C:7:0:0]. [C:6:0:1]Мўшки[C:7:0:0] створюються в [C:6:0:0]Кравецькўй майстернў[C:7:0:0] або [C:6:0:0]Шкўрянўй майстернў[C:7:0:0]."
" training!"," тренування!"
"major","мажор"
" using "," використовуючи "
"eating at crowded table","°жа за людним столом"
"relation received personal chat","родич вислухав особисту розмову"
"You may find very unpleasant environs here.","Тут можна знайти вельми неприїмнў околицў."
"Group Name","Назва групи"
"narrow-chinned","вузькопўдборўдний"
"Animal Dissection","Розтин тварин"
"chieftain","вождь"
" toward "," до "
"gather information","збўр ўнформацў∙"
"Supernatural vengeance","Надприродна помста"
"noted ally","вўдомий союзник"
"the construction and use of the balance wheel","спорудження та використання балансира"
"Bolts nearby but assigned to squads: ","Болтўв поруч, але призначено загонам: "
"crime of attempted murder","злочин замаху на вбивство"
"Fifth","П'ятий"
" thread/dye available"," нитка/барвник ї в наявностў"
"Has a minor affect on all writing (poetry and prose.)","Незначно впливаї на все писемництво (поезўю та прозу)."
"Set bone","Вправити кўстку"
"Underground Pool","Пўдземне озеро"
"Change it to [SOUND:YES] for audio.","Змўнўть на [SOUND:YES] для аудўо."
"Heavily Forested","Густў лўси"
"bruised","забита"
"Child does the expelling","Дитина здўйснюї вигнання"
" is injected into the "," впорскуїться в "
"Select memorized content or a form of prose.","Виберўть заучуваний контент або форму прози."
" claimed "," заявила права на "
" drinks "," п'ї "
"twenty","двадцять"
"laugh","смўх"
"fourth eldest daughter","четверта дочка"
"This might require an answer.","Це може потребувати вўдповўдў."
"[C:7:0:1]Hospitals[C:7:0:0]","[C:7:0:1]Лўкарнў[C:7:0:0]"
"Treatment","Лўкування"
"Plans","Плани"
"Chop down tree","Зрубати дерево"
"draining","злив"
" table"," стўл"
"snatching","викрадення"
"Kitchen, Brew","Кухня, Броварництво"
"occupation and not return.  Your new holdings will","окупацў∙ та не повернуться. Вашў новў володўння будуть"
"Fairness","Справедливўсть"
"alarmed","стурбований"
"Channel mining","Прокладання каналу"
"I lost some property to taxes.","У мене вўдўбрали частину майна як податок."
"What will you say about the new leadership?","Що скажеш про нове керўвництво?"
"Even with your combined trade goods, such as they are, I can't ","Навўть з вашими спўльними торговими товарами, якими б жалюгўдними вони не були, я не можу "
"There's some food on the embark [C:6:0:0]Wagon[C:7:0:0], and you can trade for food, but you can also grow your own. ","На [C:6:0:0]Возў[C:7:0:0] для висадки ї трохи ∙жў, ў ви можете обмўняти ∙жу, але ви також можете вирощувати свою власну. "
"Why must they be so violent?","Навўщо ∙м бути такими жорстокими?"
"is somewhat uncomfortable around those that appear unusual or live differently from ","почуваїться дещо некомфортно серед тих, хто здаїться незвичним або живе ўнакше, нўж "
", although ",", хоча "
"It is done.","Готово."
"On ","На "
"In existential crisis!","В екзистенцўйнўй кризў!"
"strand body part","волокниста частина тўла"
"Portable ","Портативний "
"don't","не"
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: Let's discuss what we are willing to offer for your ","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: Обговорўмо, що ми готовў запропонувати за вашў "
"Words","Слова"
"Prepare writing material and assign scholars to a library.","Пўдготуйте приладдя для письма та призначте науковцўв до бўблўотеки."
"pressed clear glass","пресоване прозоре скло"
"I had a nightmare about my deceased mother.","Менў наснився кошмар про мою покўйну матўр."
"hearthperson","член вогнища"
"a poor memory","погана пам'ять"
"Popup: Strike","Спливаюче вўкно: Удар"
" is a family heirloom, and I will not part with it."," ї родинною релўквўїю, ў я не розлучуся з нею."
"after arriving at the destination","пўсля прибуття до мўсця призначення"
"Blocks: stone/clay","Блоки: камўння/глина"
"Hunter of ","Мисливець на "
"Make mechanisms here which are used to make levers, pressure plates, and gears.  You can also use mechanisms to link levers and pressure plates to other machinery.","Виготовляйте тут механўзми, якў використовуються для створення важелўв, нажимних плит ў шестерень. Ви також можете використовувати механўзми для з'їднання важелўв ў нажимних плит з ўншими механўзмами."
" Denied"," Вўдмовлено"
"Default low traffic path cost","Стандартна вартўсть шляху для низького трафўку"
"is vengeful and never forgets or forgives past grievances","мстивий, нўколи не забуваї ў не вибачаї минулих образ"
"You might want to check your maximum elevation value and other elevation parameters.  ","Варто перевўрити значення максимально∙ висоти та ўншў параметри рельїфу "
" the "," "
"The signs lead west.","Знаки ведуть на захўд."
"hunting.","полюї."
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: It's such a pleasant place you've carved out for yourselves...","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: Яке ж приїмне мўсце ви тут собў облаштували..."
"feels ","вўдчуваї "
"member","член"
"Letter","Лист"
"Do not automate other shops","Не здўйснювати автоматизацўю ўнших майстерень"
"sparring.","спарингуї."
"painting","живопис"
"Saving buildings...","Збереження будўвель..."
"Forge weapons and armor here, as well as most other metal objects from furniture to trap components.  Magma below the forge will power tasks.  You are responsible for placing the forge above the magma, but no other fuel is required.","Куйте тут зброю та обладунки, а також бўльшўсть ўнших металевих предметўв - вўд меблўв до компонентўв пасток. Магма пўд ковальнею забезпечуватиме роботу. Ви вўдповўдаїте за розмўщення ковальнў над магмою, але жодного ўншого палива не потрўбно."
"Some performers finish their act.","Деякў виконавцў завершили свўй номер."
"Centered on first heard","Центрований на першўй згадцў"
"abduction","викрадення"
"Gremlin opened cage","Гремлўн вўдкрив клўтку"
"Specify type","Вказати тип"
" was the place for a good drink."," було мўсцем для гарного напою."
"That was exasperating.","Це дратувало."
"[C:6:0:1]Buckets[C:7:0:0] (with a source of water), [C:6:0:1]Thread[C:7:0:0] for sutures, and [C:6:0:1]Cloth[C:7:0:0] for bandages. ","[C:6:0:1]Вўдра[C:7:0:0] (з джерелом води), [C:6:0:1]Нитки[C:7:0:0] для швўв та [C:6:0:1]Тканину[C:7:0:0] для пов'язок. "
"Retake door to forbid it.","Повернўть дверў, щоб заборонити ∙х."
"known enemy fighter","вўдомий ворожий боїць"
"contemplating","споглядання"
"is not bothered in the slightest by deviations from the norm or even extreme differences in lifestyle or appearance","абсолютно не зважаї на вўдхилення вўд норми чи навўть екстремальнў вўдмўнностў в способў життя чи зовнўшностў"
"Flatterer","Пўдлабузник"
"aversion","вўдраза"
"I have confidence in your abilities.","Я впевнений у ваших силах."
"Dirt","Грунтова"
"Poet","Поет"
" trees, butcher."," дерева, забўй."
"the Pyramid","Пўрамўда"
"As you know, we are at war.  You might be able to strike our enemies where our armies cannot reach.","Як ви знаїте, ми воюїмо. Можливо, ви зможете вдарити по наших ворогах там, куди не здатнў дўстатися нашў армў∙."
"  Are your farmplots working?  Make sure you are planting edible plants.","  Чи працюють вашў грядки? Переконайтеся, що ви саджаїте ∙стўвнў рослини."
"You might want to adjust the parameters governing volcanism.  ","Варто пўдкоригувати параметри, що вўдповўдають за вулканўзм. "
" Floodgate"," Шлюз"
" from paternal grandmother"," вўд бабцў по батьковўй лўнў∙"
"tiny hand-held","крихўтний ручний"
"play","п'їса"
"Eggs","Яйця"
"pressed potash","пресований поташ"
"chemistry:laboratory:glass funnel","chemistry:laboratory:скляна лўйка"
"Abandoned","Покинутий"
" choose"," обираї"
"Autosave frequency","Частота автозбереження"
"the ghost of my animal training partner","привид мого пўдопўчного у дресируваннў"
"Apprentice","Учень"
"a weapon or technique","зброя чи технўка"
"item","предмет"
"Wordsmith","Майстер слова"
