"more presumptious","anmaáender"
"often feels envious of others","ist oft neidisch auf andere"
"hedgehog","Igel"
", setting index to zero",", Index auf Null stellen"
"State feelings of great loathing","Gefhle von groáer Abscheu ausdrcken"
"Weapon","Waffe"
"Acknowledge lack of ferocity","Erkenne den Mangel an Wildheit an"
"doesn't often experience strong cravings or urges","hat nicht oft starke Gelste oder Verlangen"
"the Glacier","der Gletscher"
"Loading civilized populations...","Lade zivilisierte Bev”lkerung..."
"Let's go!","Los geht's!"
"It's interesting.","Das ist interessant."
"This poetry is so embarrassing!","Diese Dichtung ist so peinlich!"
"in insurrection against","im Aufstand gegen"
"civilization","Zivilisation"
"Tropical Grassland","tropische Ebenen"
"You failed to write anything.","Du hast nicht alles aufgeschrieben."
" was asked"," wurde gefragt"
"State feelings of delight","Gefhle der Freude angeben"
"raw clear glass","klares Rohglas"
" offers to pay homage to "," Angebote zur Ehrerweisung an "
"entity no longer rules","Einheit regiert nicht mehr"
"Refuse the adoption","Verweigerung der Annahme"
"losing a pet","ein Haustier verloren"
"Restarts if completed, checked seasonally","Neustart nach Abschluss, saisonale šberprfung"
"done","erledigt"
"wheelbarrows","Schubkarren"
"Grudge","Neid"
" truly splendid"," wahrhaft pr„chtig"
"is very small and fat","ist sehr klein ist und fett"
"covers its entire range from the ","deckt sein gesamtes Spektrum vom "
" caught up in "," verwickelt in "
" purchased "," gekauft "
"always stutters when ","stottert immer, wenn "
"fertility","Fruchtbarkeit"
" has been appointed to the position of "," wurde ernannt fr die Position des "
"speech","Sprache"
"moon","Mond"
"is incredibly tall and a bit skinny, with ill-defined muscles","ist unglaublich groá und ein bisschen dnn, mit undefinierten Muskeln"
"Eat or drink an item.","Gegenstand essen oder trinken."
"Plant Cloth","Pflanzen Stoff"
"I am not eager.","Ich bin nicht begierig."
"Abandoned house","verlassenes Haus"
" formerly owned by "," vormals im Besitz von "
" spits out "," spuckt aus "
"This isn't frustrating.","Das ist nicht frustrierend."
"Ask if anybody fled from this site","Fragen Sie, ob jemand von dieser Seite geflohen ist"
"bowl","Schssel"
"empathy","Mitgefhl"
"Every line of the poem has ","Jede Zeile des Gedichtes hat "
"That was a legendary hunt!","Das war eine legend„re Jagd!"
" thousand"," tausend"
" are on the march.  "," sind auf dem vormarsch. "
"Ambush (thief, skulking)","Hinterhalt (Dieb, versteckt)"
"Clothing Shop","Bekleidungsgesch„ft"
"Offer how much? (0-","Wie viel anbieten? (0-"
"doesn't really value merrymaking","legt nicht wirklich Wert auf Fr”hlichkeit"
"Obsession","Besessenheit"
"shares intimate details of ","teilt intime Details von "
"killing somebody","jemanden umbringend"
"There's nothing admirable about bullying others.","Es gibt nichts gr”áeres als andere zu mobben."
"State feelings of great exasperation","Gefhle groáer Verzweiflung ausdrcken"
"No Study","Kein Bro"
"person","Person"
"Poor memory","schlechtes Ged„chtnis"
"Empty cages","Leere K„fige"
" partially paralyzed!"," teilweise gel„hmt!"
"slaughtered","geschlachtet"
"stunned by divine power!","von g”ttlicher Macht geblendet!"
"This recitation","Diese Rezitation"
"Thief Target","Diebisches Ziel"
"No charge attack: no target","Kein Ansturm m”glich: Kein Ziel"
"Accept personality","Pers”nlichkeit akzeptieren"
"true name invocation","echter Namensaufruf"
"100 years","100 Jahre"
"a conspiracy to slow labor","eine Verschw”rung zur Verlangsamung der Arbeit"
"intelligent wilderness creature","intelligente Kreatur der Wildnis"
" times"," mal"
"No fog","kein Nebel"
"crime of kidnapping","Entfhrung"
"badly distracted by unmet needs","stark abgelenkt durch unerfllte Bedrfnisse"
"former mercenary","ehemaliger S”ldner"
"Enemy","Feind"
"Library","Bibliothek"
" and become a citizen of "," und werden Sie ein Brger von "
"Stonecrafting","Steinmetzarbeiten"
"It has been the same as ever.","Es ist alles beim Alten geblieben."
"Pull ","Ziehen "
"We have ","Wir haben "
"Interaction (user)","Interaktion (Benutzer)"
"grumpy","grummelig"
"Clothes","Kleidung"
" cabinet"," Schrank"
"Designate this zone as the top of a pond.  Citizens will bring buckets of water if the pond below isn't filled.","Bestimmen Sie diese Zone als oberen Teil eines Teichs. Die Brger bringen Eimer mit Wasser, wenn der Teich unten nicht gefllt ist."
"fearing of death","Todesangst"
"decline","Rckgang"
"settled in","eingezogen"
"eighth eldest son","acht„ltester Sohn"
"a talented storyteller","ein talentierter Geschichtenerz„hler"
"Scholar","Gelehrter"
"very good focus","sehr gute Konzentration"
" caretakers"," Hausmeister"
"Temperature Mesh Size","Temperatur Maschenweite"
"Dig only ore and gems selected.","Nur ausgew„hlte Erze und Edelsteine abbauen."
"Express your emotions (new menu)","Bringen Sie Ihre Gefhle zum Ausdruck (neues Men)"
"indulges the author's every whim","gibt jeder Laune des Autors nach"
"the sabotage of the activities of ","die Sabotage der Aktivit„ten von "
"to fill a role as a scholar","eine Rolle als Wissenschaftler auszufllen"
"Water does not trigger","Wasser l”st nicht aus"
"laughs in a distinct fashion when ","lacht auf eine bestimmte Art und Weise, wenn "
"My mother discussed their problems with me.","Meine Mutter besprach ihre Probleme mit mir."
" steps in a circular pattern"," Treppen mit kreisf”rmigen Muster"
" is "," ist "
"Persecution","Verfolgung"
"-bound ","-gebunden "
"The lyrics are my favorite poetry.","Die Texte sind meine Lieblingsgedichte."
" seem to know how to play the "," scheint zu wissen, wie man spielt das "
"No location assignments","Keine Standortzuweisungen"
"A thin layer of ","Eine dnne Schicht aus "
"I'd like a room.","Ich m”chte ein Zimmer."
"Dismiss the listener's argument","Das Argument des Zuh”rers zurckweisen"
"merchant","H„ndler"
"has a very broad body and is incredibly fat","hat einen sehr breiten K”rper und ist unglaublich dick"
"I talked to my father.","Ich sprach mit meinem Vater"
"right there","genau dort"
"The surrounding area is called ","Das umliegende Gebiet wird als "
"died in the heat.","in der Hitze gestorben."
"I'm so relieved.","Ich bin so erleichtert."
"Age of Fairy Tales","Zeitalter der M„rchen"
"glumness","Verdrieálichkeit"
"bring thralldom to the world","die Welt in die Knechtschaft bringen"
"Exertion","Anstrengung"
"very flimsy","sehr Fadenscheinig"
"has a menacing stare when ","hat einen bedrohlichen Blick, wenn "
"It's good to see you have companions to travel with on your adventures.","Es ist gut zu sehen, dass Sie Begleiter haben, mit denen Sie Ihre Abenteuer bestreiten k”nnen."
"I'm in charge of ","Ich bin verantwortlich fr "
" well-designed"," gut gestaltete"
"brewer","Brauer"
"Tell listener about ","Erz„hlen Sie dem Zuh”rer von "
"magma-safe ","magmasicher "
"doesn't seek out excitement","sucht nicht nach Aufregung"
"Drop Off Job Items","Auftragsgegenst„nde ablegen"
"is very ambitious, always looking for a way to better ","ist sehr ehrgeizig, immer auf der Suche nach einem Weg zur Verbesserung "
"is fat and very short","ist dick und sehr klein"
" cap"," Kappe"
"gouting","tropfend"
"the method of exhaustion","die Methode der Ersch”pfung"
"failed vermin colony deletion","fehlgeschlagene L”schung von Ungezieferkolonien"
"the depths of the world","die Abgrnde der Welt"
"Desired Evil Square Count in Large Subregions","SchlechterPlatz-Z„hler in groáen Unterregionen"
"Last interlude: ","Letzter Titel: "
"general imports sign","Schild fr allgemeine Einfuhren"
"counting house","Kontorhaus"
"is artfully suffused with what would otherwise be childish and immature material","ist kunstvoll durchdrungen von einem Material, das sonst kindisch und unreif w„re"
"be bright","hell sein"
"victory","Sieg"
"known dancer","bekannter T„nzer"
"(Charge) Tangle/tumble","(Angriff) Verwicklung/Stolpern"
"Intimidate: ","Einschchtern: "
"large","groáe"
"[C:6:0:0].Minor condensation","[C:6:0:0].Geringe Kondensation"
" into "," in "
"is very short, weak and skinny","ist sehr klein, schwach und dnn"
"Attempted to appeal","Versuchte Berufung"
"Don't bother trying to play on my emotions.","Versuch erst garnicht an meine Gefhle zu appelieren."
" and has gone without a drink for far, far too long"," und hat schon viel, viel zu lange nichts mehr getrunken"
"greatly respected for heroic acts","fr heldenhafte Taten hoch geachtet"
"more orderly","ordentlicher"
" became infatuated with "," verliebte sich in "
"many babies","viele Babys"
"You are a ","Du bist ein "
"Jewelry","Schmuck"
"Perhaps you'd be willing to trade ","Vielleicht w„rst du bereit zu handeln "
"Other Objects:","Andere Objekte:"
"I must not succumb to fear!","Ich darf mich nicht der Angst hingeben!"
"It would be so great to perform and make people happy.","Es w„re so toll, aufzutreten und Menschen glcklich zu machen."
"Values truth","Sch„tzt die Wahrheit"
" tell"," erzaehlt"
"dismay","Bestrzung"
" when there's a lull in conversation"," wenn eine Gespr„chsflaute herrscht"
"[Laughs uproariously]  You had me ","[Lacht brllend] Du hast mich "
"Need bag containing powder suitable for cast application","Ben”tige Beutel mit Pulver, das fr Gipsanwendungen geeignet ist"
"a great ability to focus","eine groáe F„higkeit zur Konzentration"
"Might I interest you in ","Drfte ich Sie interessieren fr "
"The selected stockpile will take items from here.","Das ausgew„hlte Vorratslager nimmt Objekte von hier."
"A skilled warrior is a beautiful sight to behold.","Ein gebter Krieger ist wunderbar anzusehen."
"How are you enjoying the adventure?","Wie gef„llt Ihnen das Abenteuer?"
"wax ","Wachs "
"] from play.","] aus dem Spiel."
"from the prisons of","aus den Gef„ngnissen von"
" refused "," abgelehnt "
"Crawling around crazed!","Verrckt herumkriechen!"
"misinformed about taxable room","Fehlinformationen ber den steuerpflichtigen Raum"
"has been harassing people over in ","bel„stigt die Leute drben in "
"a leather goods shop","ein Lederwarengesch„ft"
"is incredibly broad-bodied","ist unglaublich breit gef„chert"
"Add new work detail","Neue Arbeitsdetails hinzufgen"
"Animal birth","Geburt eines Tiers"
"appeared","erschienen"
"No access to ","Kein Zugang zu "
"Fat","Fett"
"has killed ","hat get”tet "
"A vile monster from the bowels of the earth has been preying on our people.","Ein abscheuliches Monster aus den Eingeweiden der Erde hat es auf unser Volk abgesehen."
"after a dream","nach einem Traum"
" plotted to frame "," auf den Rahmen aufgetragen "
"Bone meal","Knochenmehl"
"Open stockpile mode","™ffne den Vorratslagermodus"
"Bold","Khn"
"High","Hoch"
"Feet","Fsse"
"Desired Good Square Count in Large Subregions","GuterPlatz-Z„hler in groáen Unterregionen"
"by a ","von einem "
"has an angular chin","hat ein winkeliges Kinn"
"Attempted Embezzlement","Versuchte Veruntreuung"
"Music...","Musik..."
"I love the ribald lyrics.","Ich liebe die deftigen Texte."
"[C:6:0:1].Moderate swelling","[C:6:0:1].M„áige Schwellung"
"more prone to stress","anf„lliger fr Stress"
"the incorporation of ","die Einbeziehung von "
"the impalement of ","die Pf„hlung von "
"green glass ","Grnes Glas "
"general ill feelings over past historical events","allgemeine Missstimmung ber vergangene, historische Ereignisse"
" in the "," im "
"Running around crazed!","Wie verrckt herumlaufen!"
" to establish "," zu etablieren "
"highlight boundaries between worlds","die Grenzen zwischen den Welten hervorheben"
" around by the "," herum durch "
"An abridged chronicle (","Eine verkrzte Chronik ("
" escalated attack on "," eskalierte Attacke auf "
"Horrifying screams come from the darkness below!","Furchteinfl”áende Schreie klingen aus der Dunkelheit herauf."
"Blacksmith's shop","Schmiedewerkstatt"
"Desert","Wste"
"I was evicted.","Ich wurde hinausgeworfen."
"ivory/tooth ","Elfenbein/Zahn "
"does not really value skills related to fighting","legt keinen groáen Wert auf k„mpferische F„higkeiten"
"'s corpse","Die Leiche"
"a sensory nerve","ein Sinnesnerv"
"The signs lead southeast.","Die Schilder zeigen nach Sdosten."
"Accept Counteroffer","Gegenangebot annehmen"
" less sluggish."," weniger tr„ge."
"a nameless identity","eine namenlose Identit„t"
"Change to standard gather mode.","Wechseln Sie in den Standard-Sammelmodus."
"parent","Eltern"
"not having enough cabinets","nicht gengend Schr„nke zu haben"
"I don't understand why they have to be that way.","Ich verstehe nicht warum sie so sein mssen."
" has moved out of range!"," ist auáerhalb der Reichweite!"
"You have nothing with which to interact.","Du hast nichts, mit dem du interagieren kannst."
"Randomize background","Hintergrund zuf„llig w„hlen"
"Isolated","Isoliert"
"noted killer","bekannter M”rder"
"due to envy of those that live on","aus Neid auf diejenigen, die auf der Erde leben"
"poor empathy","mangelndes Einfhlungsverm”gen"
", the forces of ",", die Kr„fte der "
" inhabiting "," bewohnt "
"The names are ","Die Bezeichnungen sind "
"Difficulty","Schwierigkeit"
"waterskin","Wasserschlauch"
"Gelder","Kastrierer"
" Downward Stairway"," abw„rts fhrende Treppe"
"Toggle the melt status of the item.  Items are melted at any smelter.","Schalten Sie den Schmelzstatus des Gegenstands um. Gegenst„nde werden in jedem Schmelzofen geschmolzen."
"Dismiss the large red alert","Beende den roten Alarm"
"Life isn't fair, and sometimes you have to do what you have to do, but working toward a balance isn't a bad thing.","Das Leben ist nicht gerecht und manchmal muss man tun, was man eben tun muss, aber auf einen Ausgleich hinzuarbeiten ist keine schlechte Sache."
"encyclopedia","Enzyklop„die"
"Quality","Qualit„t"
"Overshares","šberschussanteile"
"skulking","Versteckte"
"Chests and coffers are used in personal bedrooms for storing non-clothing objects.  They are also used in some zone-based locations like taverns, hospitals, and libraries for storing useful materials.  A box object must be made before it can be placed.","Truhen und Schatullen werden in pers”nlichen Schlafzimmern zur Aufbewahrung von Gegenst„nden, die keine Kleidung sind, verwendet. Sie werden auch in einigen zonenbasierten Orten wie Tavernen, Krankenh„usern und Bibliotheken zur Aufbewahrung ntzlicher Materialien verwendet. Ein Kistenobjekt muss hergestellt werden, bevor es platziert werden kann."
"Dismiss minor feeling of fear","Entlasse ein kleines Gefhl der Angst"
"Large","Groá"
"first ","erste "
"One way is to simply re-designate the damp stone for mining in order to build a 3x3 room around the stairs. ","Eine M”glichkeit besteht darin, den feuchten Stein einfach fr den Abbau neu zu kennzeichnen, um einen 3x3-Raum um die Treppe herum zu bauen. "
"Kills","Morde"
"No alert","Kein Alarm"
"been burned alive.","lebendig verbrannt worden."
"Engraving melted","Gravur geschmolzen"
"dutiful","pflichtbewusst"
"Slaughtered","Geschlachtet"
"the Village","das Dorf"
" collides"," kollidiert"
"Chase Opponent (Same Square)","Verfolgung des Gegners (gleiches Feld)"
"armies","Armeen"
"I am not burning with lust.","Ich brenne nicht vor Lust."
"Conflict Defense","Konfliktverteidigung"
"Preferred notes in the fundamental scale are named.  ","Bevorzugte T”ne in der Grundtonleiter werden benannt. "
"Loading armies...","Lade Armeen..."
"I received food.","Ich habe Essen bekommen."
"Dismiss minor feeling of fright","Leichte Angstgefhle verwerfen"
"far","weit"
"less vain","weniger eitel"
"What will you say about the tribute stoppage?","Was werden Sie ber die Einstellung der Ehrung sagen?"
"Really quit?  The character will live on","Wirklich aufgeben? Der Charakter wird weiterleben"
"has a tendency to talk to inanimate objects","neigt dazu, mit leblosen Gegenst„nden zu sprechen"
"Froze to death","Zu Tode gefroren"
"fled into","geflchtet in"
"'s angry","wtend"
"ask that ","bitten, dass "
"The rope is ","Das Seil ist "
"Autobiography","Autobiographie"
"prowess","F„higkeiten"
" was looted"," geplndert wurde"
"I found ","Ich fand "
"hates those who wield power over others","hasst diejenigen, die Macht ber andere ausben"
"Former apprentice","Ehemaliger Auszubildender"
"has the highest regard for loyalty","sch„tzt die Loyalit„t am meisten"
"a great bard","ein groáer Barde"
"noted storyteller","bekannter Geschichtenerz„hler"
"Let there be peace between ","Lasst Frieden herrschen zwischen "
"This site is the capital of ","Diese St„tte ist die Hauptstadt von "
"Hey...  that sounds like a great idea!","Hey... das klingt nach einer tollen Idee!"
"rugged","zerklftet"
"workshop to ","Werkstatt zu "
"That seems fair.  You have yourself a deal.","Das scheint Fair. Wir sind im Gesch„ft."
"a broker with appraisal skill.","ein Kaufmann mit Beurteilungsf„higkeit"
"Died in the year ","Gestorben im Jahr "
"an iron will","ein eiserner Wille"
"Dungeon Cell","Kerkerzelle"
"Ramp","Rampe"
"Where is your identity from?","Woher stammt deine Identit„t?"
"Grab Animal Trap","Nimm Tier Falle"
"Parchment","Pergament"
"coral paste","Korallenpaste"
"I don't feel contempt.","Ich spre keine Verachtung."
" preach"," predigen"
" Savagery Weighted Range ("," Wildheit gewichtete Reichweite ("
"an animal","ein Tier"
"was slaughtered","wurde geschlachtet"
"quicker to love","schneller zu lieben"
"indiv choice, ranged","freie Auswahl, Fernkampf"
"harassment","bel„stigung"
"Repairing squad info for Unit #","Truppeninformationen fr Einheit reparieren #"
"a time before time","eine Zeit vor der Zeit"
" string by stopping it against the neck.  "," Saite, indem man sie gegen den Hals h„lt. "
" sharp-edged"," scharfkantig"
"Symbol of ","Das Symbol der "
"bears untold amounts of fat over a gigantic frame","tr„gt ungeheure Mengen an Fett auf einem gigantischen K”rperbau"
"Such total rapture!","Was fr eine Entrckung!"
"arranged ","vereinbart "
"are joined in melody","sind in der Melodie vereint"
"Shared","geteilt"
"Such freedom I feel!","Ich fhle mich so frei!"
"Practice skill","Fertigkeit ben"
"Ghostly ","Gespenstisch "
"Strongest Odor: ","Strengster Geruch: "
"a embezzlement conspiracy","eine Verschw”rung zur Veruntreuung"
"report","Bericht"
"Serve ","dienen "
"after being unable to hear eloquent speech","nachdem er nicht in der Lage war, eine beredte Rede zu h”ren"
" was waged by "," wurde durchgefhrt von "
" home safely."," sicher nach Hause."
"State feelings of satisfaction","Gefhle der Zufriedenheit angeben"
"  Despite the interrogation"," Trotz des Verh”rs"
"vigilant","wachsam"
"non-economic ","nicht-wirtschaftlich "
"Poor intuition","Schwache Intuition"
"is very tall and fat","ist sehr groá und fett"
"Large gem","Groáer Edelstein"
"is muscular with an extremely broad body","ist muskul”s und hat einen extrem breiten K”rper"
"into the mercenary service of","in den S”ldnerdienst von"
" spouse's miscarriage"," Fehlgeburt des Ehepartners"
"a little difficulty with words","ein wenig Schwierigkeiten mit Worten"
"I'm not sure.","Ich bin mir nicht sicher."
"a previous conquest","eine frhere Eroberung"
"Several people were expelled","Mehrere Personen wurden ausgewiesen"
"No automatic fish cleaning","Keine automatische Reinigung der Fische"
" blowpipe"," Blasrohr"
" from the side"," von der Seite"
"[C:4:0:1]Compound fracture of ","[C:4:0:1]Zusammengesetzte Frakturen von "
"discipline","Disziplin"
"Toggle whether this creature will be gelded at a farmer's workshop when the opportunity arises.","Schalten Sie ein, ob diese Kreatur bei einem Bauern kastriert werden soll, wenn sich die Gelegenheit ergibt."
"Our people have been tormented by a fearsome foe.","Unsere Leute wurden durch einen angsteinfl”áenden Gegner schikaniert."
"here again.","wieder hier."
"Invader death aversion (ten+ deaths)","Angst vor dem Tod durch Eindringlinge (zehn oder mehr Todesf„lle)"
"is affronted by the whole notion of maintaining decorum and finds so-called dignified people disgusting","ist von der ganzen Idee der Aufrechterhaltung des Anstands beleidigt und findet so genannte wrdige Menschen ekelhaft"
"It makes them look even more sick.","Das l„sst Ihn noch kr„nker aussehen."
"Job cancellation","Annullierung des Auftrags"
"through their legend but will not be","durch ihre Legende, aber sie werden nicht"
"uneven pillars","unebene S„ulen"
"forgetful guard","vergesslicher W„chter"
"Be extravagant","Extravagant sein"
"The well is dry.","Der Brunnen ist trocken."
"the Student","der Student"
"Foiled Corruption Conspiracy","Vereitelte Korruptionsverschw”rung"
"Refuse request to become a ","Ablehnung des Antrags auf Aufnahme in die "
"This is my new home.","Das ist mein neues Heim."
"Crushed","Zerquetscht"
"moves quickly from subject to subject","bewegt sich schnell von Thema zu Thema"
"this market","dieser Markt"
" has been abandoned."," wurde aufgegeben."
"a few","ein paar"
" linked to "," verbunden mit "
"rainbows","Regenbogen"
"Mathematics","Mathematik"
"respected","Anerkannt"
"has a clear, deep voice","hat eine klare, tiefe Stimme"
"Back to main menu","Zurck zum Hauptmen"
"There has been one already!","Es hat bereits einen gegeben!"
"manages an artful inclusion here and there of childish material","schafft es, hier und da kunstvoll kindliches Material einzubauen"
"praying","betet"
"I sense you're wavering.","Ich spre, dass Sie z”gern."
"no relationship","keine Beziehung"
"Nervous","Nerv”s"
"Give into pain","Gibt sich dem Schmerz hin"
"be brought to safety","in Sicherheit gebracht werden"
"Tell listener that nothing has changed","Der Person sagen, dass sich nichts ge„ndert hat"
"exec generic","generische Fhrungskraft"
"I'm not feeling aggravated.","Ich fhle mich nicht ver„rgert."
"Make terrified outburst regarding fleeing conflict","Ausbruch von Angst vor der Flucht vor einem Konflikt"
"] or hold the middle mouse button and drag the view.","] oder halten Sie die mittlere Maustaste gedrckt und ziehen Sie die Ansicht."
"the Diagonal","die Diagonale"
"Interaction (target)","Interaktion (Ziel)"
"Cleaning game objects...","Reinigung von Spielobjekten..."
"Artifact construction begun","Artefaktbau begonnen"
"desires little for ","wnscht sich wenig fr "
"Agreed to build guildhall","Einigung ber den Bau eines Gildehauses"
"raspy-voiced","kratzstimmig"
"Recent thoughts","Gedanken (Jetzt)"
"you should keep your weird thoughts to yourself.","Du solltest deine seltsamen Gedanken lieber fr dich behalten."
"cannot get punishment tool","kann kein Werkzeug zur Bestrafung erhalten"
"State feelings of great happiness","Gefhle groáen Glcks ausdrcken"
"A careless farmer has defaced a ","Ein unvorsichtiger Bauer verunstaltete ein "
"neighbor ","Nachbar "
"Farmer","Bauer"
"Acknowledge lack of excitement","Best„tigen Sie fehlende Aufregung"
"journey","Reise"
"has a thin body with very little fat","hat einen schlanken K”rper mit sehr wenig Fett"
" known for "," bekannt fr "
"I am not held in awe.","Ich habe keine Ehrfurcht."
"Caravan","Karawane"
"Prefer zones for water drinking","Bevorzuge Zonen fr das Trinken von Wasser"
"Verbally struggle against great agony","Mit Worten gegen groáe Qualen ank„mpfen"
"stopped responding to the outside world","nicht mehr auf die Auáenwelt reagierte"
"Encrust ","Verziert "
"almost never sick","fast nie krank"
"skink","Skink"
" demand of submission from "," Aufforderung zur Vorlage von "
"in play interaction ","Interaktion im Spiel "
"Custom settings","Individuelle Einstellungen"
"Let us stop this pointless fighting!","Lasst uns mit diesen sinnlosen K„mpfen aufh”ren!"
" sound"," klingen"
"Our people have been pestered by skulking villains.","Unser Volk wurde von heimtckischen Schurken bel„stigt."
"Creature stolen object","Gegenstand gestohlen von Kreatur"
"temple agreement abandoned","Tempelabkommen aufgegeben"
"the dark brooding of","das dunkle Grbeln von"
"sprightly","rstig"
"more cruel","grausamer"
"high-cheekboned","hohe Wangenknochen"
"jealousy","Eifersucht"
"  I tire of this pointless skirmishing.","  Ich habe genug von diesem sinnlosen Gepl„nkel."
"carries massive amounts of fat, especially for one so short","tr„gt groáe Mengen an Fett, vor allem fr seine so kleine Gr”áe"
" Chair"," Stuhl"
"I encountered a fascinating conundrum recently.","Ich habe letzlich ein faszinierendes R„tsel entdeckt."
" masterfully!"," meisterhaft!"
"opposition","Opposition"
"To recenter, press ","Zum Zentrieren, drcken Sie "
"concise","pr„zise"
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]:  Although we do not always see eye to eye (ha!), I bid you farewell.  May you someday embrace nature as you embrace the rocks and mud.","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]:  Obwohl wir nicht immer einer Meinung sind (ha!), verabschiede ich mich von Ihnen. M”gest du eines Tages die Natur umarmen, wie du die Felsen und den Schlamm umarmst."
"making of a masterful improvement","Herstellung einer meisterhaften Verbesserung."
"Gem shape not found: ","Edelsteinform nicht gefunden: "
"absolutely no feel for music at all","absolut kein Gespr fr Musik"
"there was a ceremony","gab es eine Zeremonie"
"Dirt roads do not require materials, but the dirt road may quickly be overgrown by plants.","Fr unbefestigte Wege werden keine Materialien ben”tigt, aber der unbefestigte Weg kann schnell von Pflanzen berwuchert werden."
"(Adventure) Night Creature Attack","(Abenteuer) Angriff einer Nachtkreatur"
"This object is showing some wear.  ","Dieses Objekt weist einige Gebrauchsspuren auf. "
"It was very hard to sleep with the noise.","Es war sehr schwer zu schlafen bei diesem L„rm."
"Created in DF ","Erstellt in DF "
"boiling salt","kochendes Salz"
"infamous enemy fighter","berchtigter feindlicher K„mpfer"
"Choose a uniform for the","W„hlen Sie eine Uniform fr die"
"I'm glum.","Ich bin deprimiert."
"rescued","gerettet"
"rough... color","raue... Farbe"
"I could really use a good meal.","Ich k”nnte ein gutes Essen gebrauchen."
"relation gave personal chat","Beziehung gab pers”nliches Gespr„ch"
"more inclined to the practical","eher dem Praktischen zugeneigt"
"weasel","Wiesel"
"Invader death aversion (one death)","Abneigung gegen Tod von Eindringlingen (ein Tod)"
"The music enters ","Die Musik beginnt "
"petitioning for citizenship","Antrag auf Einbrgerung"
"narrow","eng"
"slept without proper room","schlief ohne richtigen Raum"
"Digging Implements","Grabungsger„te"
" expelled "," vertrieben "
"tax collector succeeded","Der Steuereintreiber war erfolgreich"
"incredibly upturned","unglaublich nach oben gebogenen"
"Treasure of ","Der Schatz von "
"having a drink without using a goblet, cup or mug","ein Getr„nk zu sich nehmen, ohne einen Kelch, eine Tasse oder einen Becher zu benutzen"
"an unknown construction","eine unbekannte Konstruktion"
"I'm very doubtful.","Ich bin sehr skeptisch."
"The counterpoint melody has ","Die kontrapunktische Melodie hat "
"Summarize the many troubles","Fassen Sie die vielen Probleme zusammen"
" is ruined."," ist zerst”rt."
"Unnamed zone","Unbenannte Zone"
"wide-set","auseinanderstehend"
"This object is mangled.  ","Dieses Objekt ist verstmmelt. "
" pump to send water into a chamber, ultimately supplying air to blow"," Pumpe, um Wasser in eine Kammer zu leiten, die schlieálich Luft zum Blasen liefert"
"having to conduct an official meeting in a bedroom","eine offizielle Sitzung in einem Schlafzimmer abhalten zu mssen"
"(Wrestle) Takedown","(Ringkampf) Bodenkampf"
"The passage","Der Durchgang"
"less cheerful","weniger heiter"
"valuing the law","Bewertung des Gesetzes"
"authentic","authentische"
"Remove","Entferne"
"Treason","Verrat"
"This item is a symbol of a noble or administrator.","Dieser Gegenstand ist ein Symbol fr einen Adligen oder Verwalter."
"I'm feeling very dejected.","Ich fhle mich sehr niedergeschlagen."
"Brawler","Schl„ger"
"Greatly respected for hunting treasure","Als Schatzj„ger hoch angesehen"
"has an incredibly broad body with some muscle and fat on it","hat einen unglaublich breiten K”rper mit ein paar Muskeln und Fett"
"is greatly disturbed by quiet and a peaceful existence","wird durch Ruhe und ein friedliches Leben stark gest”rt"
"troublesome poltergeist","l„stiger Poltergeist"
" in the middle of "," in der Mitte von "
"Accept appearance","Aussehen akzeptieren"
"having an intellectual discussion with an acquaintance","eine intellektuelle Diskussion mit einem Bekannten zu fhren"
"Blacksmithing Pit","Schmiedekunstgrube"
" persecuted "," Verfolgt "
"pushes","schubst"
"open structure","offene Struktur"
"The musician blows over a single reed at one end","Der Musiker bl„st ber ein einzelnes Rohrblatt an einem Ende"
"Create a new work order.  Work orders are like workshop jobs but they are assigned to shops automatically and can be activated with various conditions.","Erstellen Sie einen neuen Arbeitsauftrag. Arbeitsauftr„ge sind wie Werkstattauftr„ge, aber sie werden den Werkst„tten automatisch zugewiesen und k”nnen mit verschiedenen Bedingungen aktiviert werden."
"Claim this site for yourself (group naming menu)","Diese Seite fr sich beanspruchen (Men Gruppennamen)"
"celebration","Feier"
"If you see brown downward triangles under your character, you will move very slowly and should try to stand if you are able.  ","Wenn Sie unter Ihrem Charakter braune, nach unten gerichtete Dreiecke sehen, bewegen Sie sich sehr langsam und sollten versuchen, sich aufzurichten, wenn Sie dazu in der Lage sind. "
"new order","neue Aufgabe"
"incredibly straight","unglaublich gerade"
" coins"," Mnzen"
"to start a family","um eine Familie zu grnden"
"  You are a"," Du bist ein"
"striking a menacing pose","macht eine bedrohliche Pose"
"Eat","Essen"
"is stingy with resources on projects and refuses to expend any extra effort","geizt mit den Ressourcen fr Projekte und weigert sich, zus„tzliche Anstrengungen zu unternehmen"
"slightly hooked","etwas hakenf”rmig"
"Open the place information menu.","™ffnen Sie das Men mit den Standortinformationen."
"Misc. Object User","Benutzer sonstiger Gegenst„nde"
