"more presumptious","bardziej arogancki"
"disdains even the best advice of associates and family, relying strictly on ","lekcewaæy nawet najlepsze rady wsp¢àpracownik¢w i rodziny, polegaj•c wyà•cznie na "
"will be ","b©dzie "
"the compilation of many summaries into a single text","kompilacja wielu streszcze‰ w jeden tekst"
"processable ","przetwarzalny "
" years of membership"," lat czàonkostwa"
"Removing stairs/ramp/constructions","Usuwanie schod¢w/ramp/konstrukcji"
"I slaughtered an animal.","Zaræn•àem zwierz©."
"History length","Wiek òwiata"
"Walking spreads spatter","Chodzenie powoduje rozpryski"
"called the ","zwany "
"The vegetation is bent here.","RoòlinnoòÜ jest tutaj wygi©ta."
"[C:3:0:0]Zones[C:7:0:0] are areas you designate where your citizens will work, socialize, rest, or perform specific duties. ","[C:3:0:0]Strefy[C:7:0:0] to wyznaczone przez ciebie obszary, gdzie twoi obywatele b©d• pracowaÜ, spotykaÜ si©, odpoczywaÜ, czy wykonywaÜ okreòlone obowi•zki. "
"a raid","ataku"
"Died after colliding with an obstacle","Zgin•à po zderzeniu z przeszkod•"
"have small lobes","maj• maàe pàaty"
" half"," p¢ànuta"
"the proclamation of a series of oppressive edicts upon ","ogàoszenie serii opresyjnych edykt¢w na "
"High Master","Mistrzowski"
"The easiest way to move is to left click in the play area.  Your character will path to the target tile if possible.","Najprostszym sposobem poruszania si© jest klikni©cie lewym przyciskiem myszy w obszarze gry. Twoja postaÜ dotrze do wybranego pola, jeòli b©dzie to moæliwe."
"not going to take much more of this","nie zniesie tego dàuæej"
"philosophy:aesthetics:nature of beauty","filozofia:estetyka:natura pi©kna"
" get"," "
"the path of the moon","òcieæka ksi©æyca"
"considering","Rozwaæaàem"
"I yelled at somebody in charge.","Nakrzyczaàem na kogoò u wàadzy."
"[C:5:0:1].Butchered","[C:5:0:1].Zaræni©ty"
"I had a nightmare about my deceased sibling.","Miaàem koszmar o moim zmaràym rodze‰stwie."
"is very long, muscular and fat","jest bardzo dàugi, umi©òniony i gruby"
"Failed to find vanilla interface header.","Nie znaleziono nagà¢wka interfejsu waniliowego."
"greater than","wi©cej niæ"
"add fills","dodaÜ wypeànienia"
"It has been long time since I've done something creative.","Min•à bardzo dàugi czas odk•d zrobiàem coò kreatywnego."
"I'm not much of a decision maker.","Nie jestem typem osoby decyzyjnej."
"You could not find a partner.","Nie mogàeò znale´Ü partnera."
"finds the idea of fair-dealing foolish and cheats when ","uwaæa ide© uczciwego post©powania za gàupi• i oszukuje, gdy "
" used poor tactics"," zastosowaà sàab• taktyk©"
"Disengaged","Wolny"
"maintain balance in universe","utrzymywaÜ r¢wnowag© we wszechòwiecie"
"Nobody is free, and it is pointless to act as if you are.","Nikt nie jest wolny i to bez sensu udawaÜ, æe jest inaczej."
"the ghost of my child","duch mojego dziecka"
"be made with skill","byÜ wykonane umiej©tnie"
"That sounds just like the ","To brzmi dokàadnie tak, jak "
"The guilt is almost unbearable!","Poczucie winy jest prawie nie do zniesienia!"
" was a "," byà "
"Agreement concluded","Umowa zako‰czona"
"Unnamed underground area","Nienazwany obszar podziemny"
" over the latter's romantic relationship"," nad romantycznym zwi•zkiem tego ostatniego"
"Merchant company","Kompania kupiecka"
" adjusts"," dostosowuje si©"
"a legendary drink","legendarny nap¢j"
"You have selected a savage area.","Wybraàeò dziki obszar."
" has sprung from ambush!"," wyszedà z zasadzki!"
"State opinion that this is the life for you","Stwierdzenie, æe to jest æycie dla ciebie"
"Drain aquarium","Opr¢ænianie akwarium"
"Biter","Gryz•cy"
"Needs: ","Potrzeby: "
"I have fallen for ","Daàem si© nabraÜ "
"A migrant has decided to brave this terrifying miserable place.","Migrant zdecydowaà si© stawiÜ czoàa temu przeraæaj•cemu, n©dznemu miejscu."
"the journey of ","podr¢æ "
"after taking heavy losses in battle","po poniesieniu ci©ækich strat w bitwie"
"discourse on the nature of events","dyskusja na temat natury wydarze‰"
"tallow ","à¢j "
"torture","tortura"
"How will you respond to the invocation?","Jak odpowiesz na wezwanie?"
".  This menu will also show you how stealthfully you are moving.",". To menu pokaæe ci jak dobrze si© skradasz."
"torn out","wyrwany"
"Doubt","W•tpliwoòÜ"
"warehouse","magazyn"
"I must withdraw!","Musz© si© wycofaÜ!"
"woodworker","cieòla"
"Now we will live under ","Teraz b©dziemy æyÜ pod "
"the construction and use of mural instruments","budowa i wykorzystanie instrument¢w muralowych"
"Untamed wilds","Nieokieàznana dzicz"
"State feelings of great vengefulness","Stan uczucia wielkiej mòciwoòci"
"Ha ha ha...  You're funny!","Ha ha ha...  Jesteò zabawny!"
"an infamous murderer","niesàawny morderca"
"being reunited with a loved one","ponowne poà•czenie z ukochan• osob•"
"Squad member","Czàonek druæyny"
"Track/Ramp (SE)","Tor/Rampa (SE)"
"the World's Shape","Ksztaàt òwiata"
"  After enduring an interrogation"," Po zako‰czeniu przesàuchania"
"A diplomat could not complete a meeting and has left unhappy.","Dyplomata nie m¢gà doko‰czyÜ spotkania i wyszedà niezadowolony."
"happiness","szcz©òcie"
"interrupts others during conversations when ","przerywa innym podczas rozm¢w, gdy "
"the Moving Sun","Poruszaj•ce si© Sào‰ce"
"Do not avoid a necessary conflict today.","Nie unikaj dziò koniecznego konfliktu."
"Popup: Wrestle","Podgl•d: Siàuj si©"
"more of a thrill seeker","poszukiwaczem wraæe‰"
"Overall, the poetry is masterful","Og¢lnie rzecz bior•c, poezja jest mistrzowska"
"Not enough mountain cave locations after location check","Niewystarczaj•ca liczba lokalizacji jaski‰ g¢rskich po sprawdzeniu lokalizacji"
"the imported clothing market","rynku z importowan• odzieæ•"
"Bridge","Most"
"Office","Biuro"
"along a clockwise circle","po zgodnym ruchem wskaz¢wek zegara kole"
"Track/Ramp (N)","Tor/Rampa (N)"
"Late ","P¢´ny "
"Please maintain your dignity.","Prosz© zachowaj godnoòÜ."
"I had a drink without using a goblet.","Piàem bez uæycia kielicha."
"Saving mandates...","Zapisywanie polece‰..."
"being tormented in nightmares by a dead animal training partner","dr©czony w koszmarach przez martwego zwierz©cego partnera treningowego"
"is incredibly muscular and very thin","jest niewiarygodnie umi©òniony i bardzo cienki"
"Open the objects menu.","Otw¢rz menu obiekt¢w."
"the Temple","ówi•tynia"
"commonly winks as a form of greeting","cz©sto mruga jako forma powitania"
"crushed an insurrection in ","zmiaædæyà powstanie w "
"I'm concentrating on something.","Skupiam si© na czymò."
"Through ","Przez "
"stone ","kamie‰ "
"is slow","jest powolny"
"becomes completely helpless in stressful situations","staje si© caàkowicie bezradny w stresuj•cych sytuacjach"
"abducting somebody","uprowadzenie kogoò"
"being unable to be extravagant for so long","niezdolnoòÜ do bycia ekstrawaganckim przez tak dàugi czas"
"gave in to fear of death","poddaà si© strachowi przed òmierci•"
" the breath."," oddech."
"the former apprenticeship of","poprzedni staæ"
"Construct building","Budowa budynku"
"Display Furniture","Meble Wystawne"
"--- Logging Plant ","--- Zakàad pozyskiwania drewna "
"Doors/hatches","Drzwi/wàazy"
"  Allies surrounding ","  Sojusznicy otaczaj•cy "
"another","inny"
"repeating in each stanza","powtarzaj•ce si© w kaædej zwrotce"
"not a half hour ago","nie wi©cej niæ p¢à godziny temu"
"Suggest talking to ","Zaproponuj rozmow© z "
"Change tab or highlight selection","Zmiana zakàadki lub zaznaczenia"
"less lustful","mniej poæ•dliwy"
"Text mode is not supported for now","Tryb tekstowy nie jest obecnie obsàugiwany"
"Second","Drugi"
"the volcano","wulkan"
"Dioptras","Dioptry"
"I was far away.","To byào daleko st•d."
"the Underground","podziemie"
"slightly protruding","lekko wytrzeszczone"
"rough gem graphics","Surowa grafika klejnot¢w"
"You last spoke ","Ostatnio m¢wiàeò "
"Promise of Position","Obietnica Pozycji"
"Autosave the game after embark","Automatycznie zapisz gr© po wyjòciu"
"depravity","deprawacja"
"Sluggish","ólamazarny"
"(Adventure) Awaken","(Przygoda) Przebudzony"
" guildhall"," gildia"
"both","oba"
"Enterprise","Przedsi©biorczoòci"
"the Caverns","Kawerny"
"Checking directory structure...","Sprawdzanie struktury katalog¢w..."
"Add new burrow","Dodaj nor©"
"Popup: The world","Wyskakuj•ce okno: ówiat"
"Wall","óciana"
"What will you say about the incident?","Co powiesz o incydencie?"
"been found dead.","zostaà znaleziony martwy."
"Spread rumor of the occupation of ","Rozpowszechnianie plotek o okupacji "
"I'm confused.  Did you want something?","Jestem zdezorientowany. Chciaàeò czegoò?"
" suspended the construction of "," zawiesià budow© "
"No Artifact/","Brak Artefaktu/"
"There are no named objects here.","Nie ma tu nazwanych obiekt¢w."
"Cunning","PrzebiegàoòÜ"
"completely swollen","zupeànie spuchni©ty"
" for "," dla "
" are plagued by bandits.  The gang"," s• n©kane przez bandyt¢w. Gang"
"owner","wàaòciciel"
"the comparison of the anatomy of creatures","por¢wnanie anatomii stworze‰"
"folded sheet protector","ochraniacz na zàoæon• kartk©"
"If you want to offer your condolences, ","Jeòli chcesz oferowaÜ swoje kondolencje, "
"prevented from leaving","uniemoæliwione opuszczenie"
"War buddy","Towarzysz broni"
"terrific","przeraæaj•cy"
"Farming/Related","Rolnictwo/Powi•zane"
"Skirmishing","Potyczki"
"mathematics:geometry:existence of incommensurable ratios","matematyka:geometria:istnienie stosunk¢w niewsp¢àmiernych"
"Minecart rollers can vary in length.","Rolki wagonik¢w mog• si© r¢æniÜ w dàugoòci."
"You were","Byàeò"
"mathematics:geometry:area enclosed by line and parabola","matematyka:geometria:obszar ograniczony lini• i parabol•"
"They suspected the involvement of ","Podejrzewali udziaà "
"is utterly fearless when confronted with danger, to the point of lacking common sense","jest caàkowicie nieustraszony w obliczu niebezpiecze‰stwa, aæ do braku zdrowego rozs•dku"
"being near to a conflict","bycie blisko konfliktu"
"Left click on an alert for recentering options, and right click to dismiss an alert.","Kliknij lewym przyciskiem myszy, by pokazaÜ opcje wycentrowania, i prawym aby odrzuciÜ ostrzeæenie."
"southeast","poàudniowy wsch¢d"
"[C:3:0:1]Cleaned","[C:3:0:1]Oczyszczony"
"Unknown bar graphics material: ","Nieznany materiaà graficzny paska: "
"Unit lists: Sort by job","Listy jednostek: Sortuj wedàug zadania"
"Personal freedom must be tempered by other considerations.","Osobista wolnoòÜ powinna byÜ àagodzona innymi wartoòciami."
"boiling green glass","wrz•ce zielone szkào"
"The world generator is having trouble placing forests.  ","Generator òwiata ma problemy z rozmieszczeniem las¢w. "
"Reputation:","Reputacja:"
"Standing orders","Staàe rozkazy"
"Such a relief!","Co za ulga!"
"the Cause of Twilight","Przyczyna zmierzchu"
"is muscular and extremely thin","jest umi©òniony i ekstremalnie cienki"
"Cloth (Silk)","Materiaà (Jedwab)"
"Quit without saving","Wyjd´ z gry bez zapisania"
"Not ambitious","Maào ambitny"
"unglazed ","nieszkliwiony "
"breaking away","odàamuj•c"
" was seen being passed to a thief!"," zostaà przekazany zàodziejowi!"
"Although my own insignificant beliefs lie elsewhere,","Chociaæ moje wàasne, nieistotne przekonania jest zupeànie inne,"
"Jeweler","Jubiler"
"Values power","Ceni moc"
"Shot and killed","Zastrzelony i zabity"
"alliteration","aliteracja"
"Dirt road","Wydeptana droga"
"Being traded","Jest handlowany"
"Forbid your death items during sieges","PorzuÜ twoje przedmioty martwych podczas obl©æe‰"
" empty "," opr¢æniasz "
"Forbid other non-hunted dead","PorzuÜ innych nieupolowanych martwych"
"rumored intruder","rzekomy intruz"
"defeated","pokonany"
"exec crucified","ukrzyæowany"
"The vomit falls away into the underworld.","Wymiociny spadaj• do podziemi."
"Seems a pleasant enough ","Wydaje si©, æe to doòÜ przyjemny "
"legendary flatterer","legendarny pochlebca"
"Beekeeper","Pszczelarz"
"[C:7:0:0]Vision somewhat impaired","[C:7:0:0]Cz©òciowe niedowidzenie"
"This is so humiliating.","To bardzo upokarzaj•ce."
"Ignorance","Ignorancja"
"Saving interactions...","Zapisywanie interakcji..."
"You gain possession of the ","Wchodzisz w posiadanie "
"[C:3:0:1].Slight numbness","[C:3:0:1].Lekkie odr©twienie"
"dining halls.","stoà¢wki."
"twenty thousand","dwadzieòcia tysi©cy"
"Assign a station order.  The soldiers will stand near the point selected and engage any hostile creatures that come near.","Przypisz rozkaz trzymania pozycji. Ωoànierze b©d• staÜ w pobliæu wybranego punktu i atakowaÜ wszystkie wrogie stworzenia, kt¢re si© zbliæ•."
"diagnostician","diagnostyk"
"exceptionally prepared ","wyj•tkowo przygotowany "
"Thread (silk)","NiÜ (jedwab)"
"Site government","Lokalne wàadze"
" into the "," do "
"are","s•"
"Be with family","ByÜ z rodzin•"
"surveying by triangulation","pomiary triangulacyjne"
"is dour as a rule","jest z reguày ponury"
"Underworld spire","Iglica podziemna"
"the Ocean","Ocean"
"Movement","Ruch "
"Fortification carving blueprint","Schemat rze´bienia fortyfikacji"
" training methods."," metody szkoleniowe."
"Retracted ","Wycofany "
"Population: ~10","Populacja: ~10"
" fairly"," sprawiedliwie"
"the construction and use of the blast furnace","budowa i zastosowanie wielkiego pieca"
" pairs"," pary"
"Don't travel alone at night, or the bogeyman will get you.","Nie podr¢æuj samotnie noc•, albo upi¢r ci© dopadnie."
"acquired favorite animal as pet","nabyà ulubione zwierz© jako pupila"
"Tired","Zm©czony"
"The throne room","Sala tronowa"
"be broad","mieÜ szeroki zakres"
" (Rusty)"," (Zardzewiaày)"
"the Grassland","à•ka"
"knocked out by cavein","znokautowany przez caveina"
"star catalogues","katalogi gwiazd"
"What will you say?","Co powiesz?"
"Conquer and occupy","Podbij i okupuj"
"A force of evil has arisen in the world.","Siày zàa przybyày do tego òwiata."
" bed"," à¢æko"
"neither favored","ani faworyzowany"
"the reliability of sources","wiarygodnoòÜ ´r¢deà"
"Keybindings","Skr¢ty klaw."
"famous treasure hunter","sàynny poszukiwacz skarb¢w"
"State that it is for the best","StwierdziÜ, æe tak b©dzie najlepiej"
" appears to acquiesce."," zdaje si© zgadzaÜ."
"the tower","wieæy"
"Legendary","Legendarny"
" ranged weapons"," bro‰ dystansowa"
"Organize Combat Training","Zorganizuj Trening Walki"
"Preliminary cleaning...","Wst©pne czyszczenie..."
"Your unfortunate citizens are taken to the [C:1:0:1]Hospital[C:7:0:0] when injured.  There they will rest and given water until ","W razie obraæe‰ twoi niefortunni obywatele zostan• zabrani do [C:1:0:1]Szpitala[C:7:0:0]. B©d• tutaj odpoczywaÜ i dostawaÜ wod© aæ "
" speaking with "," rozmawia z "
"Make sure your parameters and raw objects have adequate vegetation.  ","Upewnij si©, æe parametry i surowe obiekty maj• odpowiedni• roòlinnoòÜ. "
"bone doctor","lekarz od koòci"
"Thrower","Miotacz"
"Vomit","Wymioty"
" values romance"," wartoòci romans"
"Grab Ammunition","We´ Amunicj©"
"Imported food market","Rynek importowanej æywnoòci"
"Generating items...","Generowanie przedmiot¢w..."
"No squads available","Brak dost©pnych oddziaà¢w"
"is broad and muscular","jest szeroki i umi©òniony"
"was not afraid and refused","nie baà si© i odm¢wià"
"is broad and fat","jest szeroka i tàusta"
"the Ice","L¢d"
"You can do this from the Nobles and Administrators menu.","Moæesz to zrobiÜ przy pomocy menu Szlachta i Administratorzy."
"That wasn't amazing.","To nie byào wspaniaàe."
"This work order is checking its conditions for activation.","To zlecenie pracy sprawdza warunki do aktywacji."
"Normal strike","Normalne uderzenie"
"World name","Nazwa òwiata"
"Your trap was robbed of the ","Twoja puàapka zostaàa okradziona z "
" religion of "," religia "
"astronomy:phases of the moon","astronomia:fazy ksi©æyca"
"the Theft","kradzieæ"
"Scales are constructed from ","Wagi s• zbudowane z "
"in order to be rescued","aby zostaÜ uratowanym"
"Polish stones","Polerowanie kamieni"
"Made","Popeànià "
", position ",", pozycja "
" own"," posiadaÜ"
"willing to trade","ch©tny do handlu"
"the infiltration of ","infiltracja "
"The rhyme","Rym"
"Grand Mausoleum","Wielkie Mauzoleum"
"Save to timeline folder: ","Zapisz do folderu linii czasowej: "
"The vomit burns away in the lava.","Wymiociny spalaj• si© w lawie."
"I was cried on by an unhappy worshipper.","Pàakaà nade mn• nieszcz©òliwy wyznawca."
"Others were too nervous to make the journey to this miserable fortress.","Inni byli zbyt zestresowani, by udaÜ si© do tej nieszcz©snej fortecy."
"I'm ","Jest "
" in a rigid posture"," w sztywnej postawie"
"[C:4:0:1]Autumn","[C:4:0:1]Jesie‰"
"High stamina","Wysoka wytrzymaàoòÜ"
"There are several kinds of [C:3:0:0]Zones[C:7:0:0], which you can see in the panel on the left.","Jest kilka rodzaj¢w [C:3:0:0]Stref[C:7:0:0], kt¢re moæesz zobaczyÜ na panelu po lewej"
" Upward Track (NE)"," ócieæka w g¢r© (NE)"
"less confident","mniej pewny siebie"
"Maximum Natural Cave Size","Maksymalny naturalny rozmiar jaskini"
"'s abandonment"," porzucenie"
" member"," czàonek"
"This is ","To jest "
" is thinking about something"," myòli o czymò"
" by a "," przez "
"You are too kind.","Jesteò zbyt miày."
"lust","æ•dza"
"Subterranean Water","Woda Podziemna"
"to refuse consolation","odm¢wiÜ pocieszenia"
"What?","Co?"
"value ","ceniÜ "
" was most often depicted as a "," byà najcz©òciej przedstawiany jako "
"Popup: Stocks","Wyskakuj•ce okno: Zapasy"
"was killed by a vehicle","zostaà zabity przez pojazd"
"is weak with little fat and just incredibly thin overall","jest sàaby, z odrobin• tàuszczu i po prostu og¢lnie niewiarygodnie chudy"
"your more ethical works.  We've come to trade.","twoje bardziej etyczne prace. Przyszliòmy handlowaÜ."
"Leave Vacant","Zostaw Wakat"
"Megabeast","Megabestia"
"member to give orders,","oddziaàu aby wydaÜ rozkazy,"
" is throwing a tantrum!"," wpada w furi©!"
" crude"," surowy"
"tracheotomy surgery","chirurgia tracheotomii"
"Water Source","çr¢dào wody"
"Reaction","Reakcja"
"Unnamed barracks","Nienazwane koszary"
"plant part","cz©òÜ roòliny"
"'s claim"," roszczenie"
"Hopeful","Peàen nadziei"
"as a ","jako "
" is dead?"," nie æyje?"
"Sorting creature bodies...","Sortowanie ciaà stworze‰..."
"Sabotage","SabotowaÜ"
"Medical School","Szkoàa medyczna"
"Let us leave as soon as possible.","OpuòÜmy to miejsce tak szybko jak to moæliwe."
"the keep","donæonie"
"There are no fewer than ","Jest ich nie mniej niæ "
"It's worrisome.","To niepokoj•ce."
"Range: ","Zasi©g: "
"Gregarious","Dusza towarzystwa"
"has an incredibly short body but still manages to be very fat","ma niewiarygodnie kr¢tkie ciaào, ale mimo to jest bardzo gruby"
"an awful bedroom","okropna sypialnia"
"somewhat short","troch© niski"
"philosophy:logic:direct inference","filozofia:logika:bezpoòrednie wnioskowanie"
"engineering:machine:camshaft","inæynieria:maszyna:waàek rozrz•du"
"nearly fuse-lobed","prawie lamelkowe"
"Werebeast Attack Population Rating","Ocena populacji po ataku bestii"
"discord","niezgoda"
"an enemy of","wrogiem"
"Skip tutorial","Pomi‰ samouczek"
" with a hundred or more others"," z setk• lub wi©cej innych os¢b"
"Create a performance troupe together (group naming menu)","Stw¢rzcie razem zesp¢à artystyczny (menu nazewnictwa grup)"
"Considers bully","Uwaæa za chuligana"
" flattering remarks in order to elicit information."," pochlebstwa w celu uzyskania informacji."
"Rescue Agreement","Umowa o Ratunku"
", including ","w tym "
"Forbid your citizens from using an item or building.","Powstrzymaj twoich obywateli przed uæywaniem przedmiotu lub budowli."
" did not name "," nie nazwaà "
"leather goods shop sign","szyld sklepu z wyrobami sk¢rzanymi"
"have no tomb","nie maj• grobu"
", led by ",", dowodzona przez "
"mathematics:geometry:area of circle","matematyka:geometria:pole koàa"
"suffocated.","uduszony."
" in which the former emerged victorious"," w kt¢rym ten pierwszy odni¢sà zwyci©stwo"
"I'm so distressed about this!","Bardzo mnie to martwi!"
"myxolydian","miksolidyjska"
"medicine:theory:pulmonary circulation","medycyna:teoria:kr•æenie pàucne"
"engineering:horology:water clock","inæynieria:zegarmistrzostwo:zegar wodny"
"bitterness","gorycz"
"[C:7:0:1].Moderate pain","[C:7:0:1].Umiarkowany b¢l"
"State that it is terrific","Stwierdzenie, æe jest wspaniaày"
"surgical models","modele chirurgiczne"
"Is it really you?","To naprawd© ty?"
"I really don't see this working out.","Naprawd© nie widz©, æeby to wypaliào."
" box"," box"
"in order to find sanctuary","w celu znalezienia schronienia"
"build as it proceeds","budowaÜ w miar© post©p¢w"
"relations","relacje"
"Beast guzzles drink","Bestia æàopie nap¢j"
"a murderer","morderca"
"the grid and the months of the year are shown down the left side.  To assign different orders ","cz©òci siatki, a miesi•ce roku s• pokazane wzdàuæ lewej. Aby przypisaÜ r¢æne rozkazy "
"Saving art forms...","Zapisywanie artystycznych form..."
" Demonstration"," Pokaz"
"Insufferable!","Nieznoòny!"
"Glassmaking","Wyrabianie Szkàa"
"does not care about fairness","nie dba o sprawiedliwoòÜ"
"the scarcity of cages and chains","niedob¢r klatek i àa‰cuch¢w"
"DOOR USED BY INTRUDER","DRZWI UΩYTE PRZEZ INTRUZA "
"the abandonment of ","porzucenie "
"incommensurable ratios","niewsp¢àmierne wsp¢àczynniki"
"values self-control","ceni samokontrol©"
"Upright ","Pionowo "
"Values sacrifice","Ceni poòwi©cenie"
"I feel no remorse.","Nie czuj© wyrzut¢w sumienia."
"see the great natural sites","Zobacz wspaniaàe naturalne miejsca"
"heirloom","pami•tka"
"Goals","Cele"
"finds ","znaleziska "
"Track carving blueprint","Schemat rze´bienia tor¢w"
"The instrument has flue pipes and free reed pipes.  ","Instrument posiada piszczaàki i wolne stroiki. "
"There is writing in the book, but you cannot read.","W ksi•æce jest pismo, ale nie moæna go odczytaÜ."
" recited "," wyrecytowane "
"Refuse to share this information","Odm¢w udost©pnienia tych informacji"
"State minor feeling of happiness","Niewielkie uczucie szcz©òcia"
"broad","szeroki"
"Seek Animal for Taming","Szukaj Zwierz©cia do Oswajania"
"I was accosted by ","Zostaàem zaczepiony przez "
"Nature","Natura"
"artwork defaced","zniszczone dzieào sztuki"
" always "," zawsze "
"more dutiful","bardziej obowi•zkowy"
"Peddler","Handlarz"
"extremely short","niezwykle niski"
"Offer listener your position as ","Zaoferuj sàuchaczowi swoj• pozycj© jako "
"Track/Spoor","óled´/Trop"
"This insidious evil is ","To podst©pne zào jest "
"forced to drink bloody water","zmuszony do picia krwawej wody"
"Failed to find vanilla descriptors header.","Nie udaào si© znale´Ü nagà¢wka podstawowych opis¢w."
"Where are their forces?  Are there patrols or guards?","Gdzie s• ich siày? Maj• patrole albo straæ?"
"the Sewers","Kanaày"
"I chained up a creature.","Przywi•zaàem stworzenie àa‰cuchem."
"The world generator is having trouble placing mountain caves.  ","Generator òwiata ma problemy z umieszczaniem g¢rskich jaski‰. "
"Paved Road","Wybrukowana Droga"
"Stray ","Zabà•kany "
" sees these tendencies as an impediment to the quest for power"," postrzega te tendencje jako przeszkod© w d•æeniu do wàadzy"
"Expulsion","Wydalenie"
"a market square","plac targowy"
"I feel such unbearable sadness...","Czuj© taki dojmuj•cy smutek..."
"Brooding darkly...","Rozmyòlaj•c ponuro..."
"pestered by flying micro vermin","dr©czony przez lataj•ce mikro szkodniki"
"active sermon refuse value","aktywna wartoòÜ odmowy kazania"
" mind after forming an initial idea"," umysà po sformuàowaniu wst©pnego pomysàu"
"cracks ","p©kni©cia "
"At one with ","W jednoòci z "
"I made ","Zrobiàem "
"There is no specific information for this activity.","Brak konkretnych informacji o tej aktywnoòci."
" has a well-defined multi-passage structure: "," ma dobrze zdefiniowan• struktur© wieloprzebiegow•: "
"the impersonation of ","podszywanie si© pod "
"after being unable to admire art","po braku moæliwoòci podziwiania sztuki"
"destroyed building","zniszczony budynek"
"you want to dump using the [C:5:0:1]Dump Designation[C:7:0:0] tool.","co chcesz wyrzuciÜ, uæywaj•c narz©dzia [C:5:0:1]Przeznaczenie do zrzutu[C:7:0:0]."
"Grab Shear Unit","We´ Jednostk© do Golenia"
" sadism"," sadyzm"
" leg armor"," pancerz na nogi"
"This is my fight too.","To r¢wnieæ moja walka."
"How affectionate I am!","jaki jestem czuày!"
"Replace all","Zast•p wszystko"
"Bottom Layer (Forces Magma)","Warstwa dolna (Wymusza magm©)"
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]:  On behalf of the Merchants' Guild, let me extend greetings to your people.  There is much to discuss.","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]:  W imieniu Gildii Kupc¢w, pozw¢l mi przywitaÜ wasz lud.  Jest wiele rzeczy do om¢wienia."
"Tell a joke","Opowiedz æart"
"has a thin frame but it is loaded with muscles and great layers of fat","jest sàabo zbudowany, ale napakowany warstwami mi©òni  i tàusczu"
"The struggle for power must be balanced by other considerations.","D•æenie do pot©gi musi byÜ r¢wnowaæone przez inne rzeczy."
"Chairs are required for offices to function, and a chair next to a table is the preferred dining arrangement.  A chair/throne object must be made before it can be placed.","Krzesàa s• niezb©dne do funkcjonowania biur, poza tym krzesào obok stoàu jest preferowan• aranæacj• jadalni. Obiekt krzesàa/tronu musi zostaÜ wytworzony wczeòniej, zanim moæe byÜ umieszczony."
"Consoler","Pocieszyciel"
"This object ","Ten przedmiot "
" pipes"," kobza"
"The musician uses a ","Muzyk korzysta z "
"Forbid floor/wall cleaning during sieges","Zakaæ czyszczenia podà¢g/òcian podczas obl©æe‰"
"There's fighting!","Toczy si© walka!"
"has a touch of humor","ma odrobin© humoru"
"From the [C:5:0:1]Library Info Menu[C:7:0:0] you can assign [C:5:0:0]Scholars[C:7:0:0] who discuss their interests with the inhabitants, ","Z [C:5:0:1]Menu Informacji Biblioteki[C:7:0:0] moæesz przypisaÜ [C:5:0:0]Uczonych[C:7:0:0] kt¢rzy b©d• prowadzili dyskusje z mieszka‰cami, "
"To the northwest","Na p¢ànocny zach¢d"
" imprisoned"," uwi©ziony"
"I feel so restless!","Czuj© si© taki niespokojny..."
"Temple Complex, ","Kompleks òwi•tynny, "
" Track (S)"," Tor (S)"
" was created"," zostaà utworzony"
"Fishing","ùowienie"
"Economy population trigger 2","2. poziom wzrostu ekonomii przez populacj©"
"Bookbinder","Introligator"
"marshals","marszaàkowie"
" have compound fractures"," ma zàoæone p©kni©cia"
"confused","zdezorientowany"
" cemented a bond of friendship amidst the horror of combat"," scementowaà wi©´ przyja´ni poòr¢d horroru walki"
"Languages...","J©zyki..."
"Decent Quarters","Przyzwoite kwatery"
"putting on a","zakàadanie"
"the concept of ","koncept "
"Paved road","Wybrukowana droga"
"Unswayed by emotions","Niewzruszony emocjami"
"the Origin of Rainbows","Pochodzenie t©czy"
"The signs lead southwest.","Znak prowadzi na poàudniowy zach¢d."
" (militant worshippers)[R]"," (wojuj•cy czciciele)[R]"
" finds dignified society to be stifling and silly when properly considered"," znajduje, æe godna spoàecznoòÜ jest dusz•ca i gàupia, jeòli odpowiednio si© nad tym zastanowiÜ"
"has a round chin","ma zaokr•glony podbr¢dek"
"There's some value in leisure, but one also has to engage with other aspects of life.","Jest pewna wartoòÜ w odpoczynku, ale trzeba teæ angaæowaÜ si© w inne aspekty æycia."
"exacerbation","zaostrzenie"
"Adept","Umiej©tny"
"a worker of","pracownik"
"government","rz•d"
"Jump","Skocz"
"short-short","kr¢tki-kr¢tki"
" to eradicate monsters"," wyeliminowaÜ potwory"
"is refreshingly witty","jest odòwieæaj•co dowcipny"
"If your [C:6:0:0]Refuse Stockpile[C:7:0:0] starts to fill up you can create a [C:3:0:0]Dump Zone[C:7:0:0]. ","Jeòli tw¢j [C:6:0:0]Magazyn Odpadk¢w[C:7:0:0] zaczyna si© wypeàniaÜ moæesz stworzyÜ [C:3:0:0]Stref© Wysypiska[C:7:0:0]. "
"being unable to advance the study of ","nie b©d•c w stanie rozwijaÜ bada‰ nad "
"decaplets","dziesi©cioraczki"
"discuss research topic","om¢wienie tematu bada"
"stomps ","tupni©cia "
"Eloquence","Elokwencja"
"There is a library there","Jest tu biblioteka"
"Granite","Granit"
"You have discovered a deep pit.","Odkryàeò gà©bok• dziur©."
