"more presumptious","mer‚szebb"
"Verbally struggle against existential crisis","Szavakkal kzdeni az egzisztenci lis v ls g ellen"
"Affects healing rate of damaged tissues.","Befoly solja a s‚rlt sz”vetek gy¢gyul si sebess‚g‚t."
"is lanky with ill-defined muscles","ny£l nk, ‚s az izmai nem t£l j¢l kirajzol¢dnak"
"economic policy","gazdas gpolitika"
"Courtyard","Udvar"
"I am not pleased.","Nem vagyok el‚gedett."
"Cannot appoint","Nem lehet kinevezni"
"deride","kig£nyolni"
"Warehouse","Rakt r"
"lake","t¢"
"Baby+child cap","Csecsem‹- ‚s gyermek sapka"
"a bath","egy frd‹"
" superiorly prepared"," kiv l¢an el‹k‚sz¡tett"
"cousin","unokatestv‚r"
"dark","s”t‚t"
" by ","  ltal "
"Pen/pasture","Kert/legel‹"
"Fortune has favored you, and ","A szerencse mell‚d  llt, ‚s "
"the division of the world into climate zones","a vil g ‚ghajlati ”vezetekre val¢ feloszt sa"
"Needs open space","Ny¡lt t‚r szks‚ges"
"stopped ruling from","nem uralkodik t”bb‚"
"metal","f‚m"
"where","ahol"
"Histories","T”rt‚netek"
"is incredibly long and skinny","hihetetlenl hossz£ ‚s v‚kony"
"the hunt","a vad szat"
"medicine:method:surgery scraping","gy¢gy szat:m¢dszer:seb‚szeti kapar s"
"A recital of ","Egy el‹ad s "
"Jealousy","Irigys‚g"
"the Phases","a f zisok"
"Charge ","V d "
"meal container","‚telt rol¢"
"How will you ask?","Hogyan fogod megk‚rdezni?"
"an agreement to construct a guildhall for ","meg llapod s egy c‚hterem ‚p¡t‚s‚r‹l "
"Dead/Missing","Halott/Eltûnt"
"awed","el mult"
"the Hospital","a k¢rh z"
"Name your group","Nevezd el a csoportodat!"
" cases"," esetek"
"works furiously!","‹rlt temp¢ban dolgozik!"
"careens forward as a rant","t‚p zva sz guld el‹re, mint egy dh”ng‹ kirohan s"
"has a short broad body but is very frail","testalkata r”vid ‚s sz‚les, de nagyon t”r‚keny"
"boiled.","f‹zve."
"The world created at the beginning of the game is active, and others may take an interest in your outpost as it grows. ","A j t‚k elej‚n l‚trehozott vil g akt¡v, ‚s ahogy az el‹‹rs”d n”vekszik, m sok is ‚rdekl‹dni kezdenek ir nta. "
"Singer","nekes"
"failed insurrection ","sikertelen felkel‚s "
"Failed to find vanilla buildings header.","Nem sikerlt megtal lni a ,,vanilla buildings"" fejl‚cet."
"by pulling away","elh£z¢d ssal"
"Enemy/merchant production trigger 2","Ellens‚ges/keresked‹i termel‚s ind¡t¢esem‚ny 2"
"Beware a hidden plan.","Vigy zz a rejtett tervre!"
"We have been under siege by an ancient force of nature.","Egy ‹si term‚szeti er‹ ostrom al  vett minket."
" on your right"," a jobb oldalon"
"Build Structure","p¡t‚si szerkezet"
"be made sweetly","legyen ‚des"
"died in the heat","a h‹s‚gben halt meg"
"ancestor","‹se"
"Resists sickness","Ellen ll a betegs‚geknek"
"A few hundred live there","N‚h ny sz zan ‚lnek ott"
"the relationship between the moon and the tides","a Hold ‚s az  rap ly k”z”tti ”sszefgg‚s"
"Alternatively, you can reduce the number of high, medium or low rainfall squares required.","Alternat¡vak‚nt cs”kkentheted a szks‚ges magas, k”zepes vagy alacsony csapad‚kmennyis‚gû n‚gyzetek sz m t."
"The webs make it impossible to stand.","A h l¢k miatt lehetetlen  llni."
"Loving","Szeretettel"
"being forced to eat a beloved creature to survive","arra k‚nyszerlni, hogy a t£l‚l‚s ‚rdek‚ben megegye egy szeretett l‚nyt"
"assassin","b‚rgyilkos"
"Set details for the assigned location.","A kijel”lt helysz¡n adatait  ll¡tsa be."
"Finally, ","V‚gre, "
"Completely dismayed!","Teljesen le vagyok d”bbenve!"
"is quite comfortable with others that have a different appearance or culture","el‚g j¢l megf‚r m sokkal, akik kls‹leg vagy kultur lisan elt‚rnek t‹le"
"viewed displayed item","megtekintett elem"
"So true, so true.","Ez annyira igaz, annyira igaz."
"What will you say about the trouble?","Mit fogsz mondani a bajr¢l?"
"A thousand live there","Ezer ember ‚l ott"
"You already know the will of ","M r ismered az akarat t "
"speak","besz‚lni"
"leading an unexciting life for so long","oly sok ig unalmas ‚letet ‚lve"
"The reunion of ","A tal lkoz¢ "
"history:form:biography","t”rt‚nelem:ûrlap:‚letrajz"
"Clicking delete will instantly delete!","A ,,T”rl‚s"" gombra kattintva az adatok azonnal t”rl‹dnek!"
":Station ",":µllom s "
" culture, "," kult£ra, "
"more lust-prone","akik hajlamosabbak a k‚jre"
", producing sound.]",", hangot keltve.]"
"Portable mode","Hordozhat¢ zemm¢d"
"such a loyal soldier","egy ilyen hûs‚ges katona"
"general suspicion"," ltal nos gyan£"
"No Beasts","Nincsenek vad llatok"
"mathematics:numbers:infinite primes","matematika:sz mok:v‚gtelen sz m£ pr¡msz mok"
"Meet their needs by providing [C:3:0:0]Meeting Areas[C:7:0:0] and [C:1:0:1]Locations[C:7:0:0] for socializing, worship, and study. ","Kiel‚g¡tsk ig‚nyeiket azzal, hogy [C:3:0:0]tal lkoz¢helyeket[C:7:0:0] ‚s [C:1:0:1]helysz¡neket[C:7:0:0] biztos¡tunk sz mukra a t rsas gi ‚let, az istentisztelet ‚s a tanul s c‚lj ra. "
"Seed text","Kiindul¢ sz”veg"
" pump is used to supply air to the instrument.]"," a szivatty£t a mûszer leveg‹ell t s ra haszn lj k.]"
"bled to death","elv‚rzett"
"Killed by falling rocks","Sziklaoml s  ldozata lett"
"Afterward","Ut na"
"Autumn has arrived on the calendar.","A napt r szerint bek”sz”nt”tt az ‹sz."
"*START REGION DIM SAVE*","*REGIONµLIS FNYERŠ-MEGTAKARÖTµS INDÖTµSA*"
"Enemy/merchant population trigger 2","Ellens‚ges/keresked‹i n‚pess‚g 2. kiv lt¢ esem‚ny"
"Houses","H zak"
"This is your traveling companion.","Ez az utaz si t rsad."
"Assigned to ","Kijel”lve: "
"This party member is currently automated in tactical mode.","Ez a csapattag jelenleg automatikus zemm¢dban van."
" page "," oldal "
"prefers to be alone","ink bb egyedl van"
"philosophy:ethics:applied medical","filoz¢fia:etika:alkalmazott orvostudom ny"
"gained relative","rokon lett"
"Choose a symbol for the burrow.","V lassz egy szimb¢lumot az reghez!"
"You cannot jump while in the air.","A leveg‹ben nem lehet ugrani."
"looks terrified","rettenetesen n‚z ki"
"tower","torony"
"take from","sz rmazik"
"a very loyal soldier","egy rendk¡vl hûs‚ges katona"
"is appalled by merrymaking, parties and other such worthless activities","megd”bbenve szeml‚li a mulats gokat, a partikat ‚s az ehhez hasonl¢ ‚rtelmetlen tev‚kenys‚geket"
"Announce that you are hunting in your lair","Jelentsd be, hogy a barlangodban vad szol"
", based in",", sz‚khelye:"
"Yes, I can serve you when we're both there.","Igen, akkor tudok seg¡teni, ha mindketten ott vagyunk."
"learning about ","megismer‚se "
"Searching ","Keres‚s "
"I will not bow before you.","Nem fogok meghajolni el‹tted."
"Choose your own skills, equipment, and animals.","V laszd ki a saj t k‚pess‚geidet, felszerel‚sedet ‚s  llataidat!"
"to offer condolences","r‚szv‚tet nyilv n¡tani"
"feeling affection","szeretetet ‚rezni"
"more than ","t”bb mint "
": unsupported file or audio format.",": nem t mogatott f jl- vagy hangform tum."
"fracture classification","t”r‚soszt lyoz s"
"offer condolences","r‚szv‚tet nyilv n¡tani"
" voice has a tendency to trail off when "," a hangja hajlamos elhalv nyulni, amikor "
"Save to new folder (same timeline)","Ment‚s £j mapp ba (ugyanazon az id‹vonalon)"
"caravan from ","lak¢kocsi "
"I feel such remorse!","Annyira bûntudatom van!"
"It makes me so grouchy!","Ett‹l olyan morcos leszek!"
" relaxed"," nyugodt"
"an unbreakable will","t”rhetetlen akarat"
"formal reasoning","form lis ‚rvel‚s"
"obsessive","megsz llott"
"Finished goods","K‚szterm‚kek"
"Fracture Treatment","T”r‚skezel‚s"
" is torn apart!"," sz‚tt‚p‹d”tt!"
"Push Object","Objektum elkld‚se"
"the Traveler","az Utaz¢"
"I believe...  something.","Azt hiszem...  valamit."
"  Subject ","  T rgy "
"I love the light lyrics.","Im dom a k”nnyed dalsz”vegeket."
"is incredibly short but somehow packs in an enormous amount of fat","hihetetlenl r”vid, de valahogy m‚gis hatalmas mennyis‚gû zs¡rt tartalmaz"
"the baby-snatching","a csecsem‹rabl s"
"Invader death aversion (four deaths)","A betolakod¢k hal l nak elkerl‚se (n‚gy hal leset)"
"scuttled","elsllyesztett‚k"
"noted dancer","neves t ncos"
" has discovered "," felfedezve "
" playing with "," j t‚k "
"  Offloading units...  ","  Egys‚gek  tvitele...  "
"the action of the siphon","a szifon mûk”d‚se"
"Visitor shared rumor(s)","A l togat¢  ltal megosztott pletyka(k)"
"You first heard this ","Ezt el‹sz”r itt hallottad "
"stopped working for","nem dolgozik t”bb‚ a"
"Underground River","F”ldalatti foly¢"
"[C:3:0:1]Winter","[C:3:0:1]T‚l"
"The slab reads ""","A t bl n ez  ll: ,,"
"Chopping trees","F k kiv g sa"
"You will be rewarded.","Meg fogod kapni a jutalmadat."
"learned written content","elsaj t¡tott ¡r sbeli ismeretek"
" looses a roaring laughter, fell and terrible!"," ord¡t¢ nevet‚st hallat, m‚lyet ‚s retteneteset!"
"Ice Downward Track (S)","J‚glejt‹ (S)"
"legendary fighter","legend s harcos"
"broken open","felnyitott k"
"has a narrow, jutting","keskeny, kiugr¢"
"moves","mozdulatok"
"Your engraver has carved a track through a ","A metsz‹mûv‚szed egy v g st v‚sett egy "
"has abandoned any attempt at self-control and finds the whole concept deeply offensive","m r feladta az ”nuralomra ir nyul¢ minden k¡s‚rletet, ‚s az eg‚sz elk‚pzel‚st m‚lyen s‚rt‹nek tartja"
"known protector of the weak","a gyeng‚k ismert v‚delmez‹je"
"tameable small creature ","szel¡d¡thet‹ kis l‚ny "
"With them ","Velk egytt "
"No lust      <->      Lustful","Nincs v gy <-> V gyakoz¢"
"Start Water Job Drink Area","V¡z - Munka - Ital - Terlet"
"by the attackers.","a t mad¢k  ltal."
"You just aren't as convincing as you think you are.","Egyszerûen nem vagy annyira meggy‹z‹, mint ahogy azt gondolod."
"Affects attempts to calm people or to respond passively in arguments.","Hat ssal van azokra a k¡s‚rletekre, amikor az ember megpr¢b lja megnyugtatni a t”bbieket, vagy vit k sor n passz¡van reag l."
"adds fills","kit”lt‚seket ad hozz "
"Mace","Buzog ny"
"the Flight","a repl‚s"
"discourse on medical ethics","a gy¢gy szati etika t rgyal sa"
"our people","munkat rsaink"
"Warning: stockpile has no type.","Figyelem: a ,,stockpile"" t¡pus n‚lkli."
"The temple petition for ","A templom k‚relme a "
"An end and a new beginning.","Egy v‚g ‚s egy £j kezdet."
"mist","k”d"
" remains put off by deliberate merrymaking"," tov bbra is idegenkedik a sz nd‚kos mulatoz st¢l"
"loading","bet”lt‚s"
"the straight-beam balance","az egykaros m‚rleg"
"I discussed my problems with my child.","Megbesz‚ltem a probl‚m imat a gyermekemmel."
"retrieve ","lek‚rdez‚s "
"Bring up your reunion with ","Besz‚lj az oszt lytal lkoz¢r¢l "
"Population: ~400","Lakoss g: ~400 f‹"
"State minor feeling of amazement","Enyhe meglepet‚s ‚rz‚se"
"Unchain pet","A h zi llat elenged‚se"
"Expel","Kiz r s"
"tender","p ly zati ki¡r s"
"(Adventure) Made item","(Kaland) K‚sz¡tett t rgy"
" with wrestling"," a birk¢z ssal"
"shells","h‚jak"
"Choose or create a parameter set to make a custom world.","Egy‚ni vil g l‚trehoz s hoz v lassz vagy hozz l‚tre egy param‚terk‚szletet."
"Paths","™sv‚nyek"
"My artwork was defaced.","A mûvemet megrong lt k."
"was buried alive","‚lve eltemett‚k"
"grand guildhall","nagy v rosh za"
"Stop ","µllj! "
"weapon","fegyver"
"general"," ltal nos"
", being the rightful heir, has inherited the position of ",", aki a t”rv‚nyes ”r”k”s, meg”r”k”lte a "
"Select a rectangle","V lasszon ki egy t‚glalapot"
"exiled after conviction","¡t‚let ut n sz mûzt‚k"
"Animal trained","Kik‚pzett  llat"
"the acceptance of a petition for a temple for ","egy templom ‚p¡t‚s‚re ir nyul¢ pet¡ci¢ elfogad sa "
", appointed by ",", akit kinevezett "
"GLACIER REJECTION","A gleccser visszah£z¢d sa"
"Overconfident","T£l magabiztos"
"after being unable to take it easy","miut n nem tudott nyugodtan venni a dolgokat"
"torment","k¡nz s"
"crime of theft","lop s bûncselekm‚nye"
"offer","aj nlat"
"Mining","B ny szat"
"the rampage of","a tombol sa"
"This is your jailor.","Itt a b”rt”n‹r”d."
"is very small with ill-defined muscles","nagyon kicsi, ‚s az izmai nem j¢l kirajzol¢dnak"
"Take careful stock of your own stores. ","Gondosan vegye sz mba a saj t k‚szleteit. "
"Rough glass","Csiszolatlan veg"
"the spherical astrolabe","a g”mb alak£ asztrol bium"
"Dance","T nc"
"Contemptible!","Megvetend‹!"
", looks to your thriving economy for its future prosperity and has been incorporated into your holdings.",", j”v‹beli j¢l‚t‚t a ti vir gz¢ gazdas gotokt¢l fgg‹v‚ tette, ‚s m r a birtokotok r‚sz‚v‚ v lt."
"brawl with","vereked‚s"
"[C:7:0:1]Evaluated","[C:7:0:1]Kisz m¡tva"
" hundred"," sz z"
"Spikes","Tsk‚k"
"myself","‚n magam"
"Perfect","T”k‚letes"
"How will you respond to the offer of service?","Hogyan fog reag lni a szolg ltat saj nlatra?"
"[C:3:0:0]Zones[C:7:0:0] can be assigned to special [C:1:0:1]Locations[C:7:0:0]. Usually one [C:3:0:0]Meeting Area[C:7:0:0] is sufficient, but [C:1:0:1]Locations[C:7:0:0] can span several [C:3:0:0]Zones[C:7:0:0]. ","[C:3:0:0]Z¢n k[C:7:0:0] rendelhet‹k hozz  speci lis [C:1:0:1]Helysz¡nekhez[C:7:0:0]. µltal ban egy [C:3:0:0]tal lkoz¢hely[C:7:0:0] elegend‹, de a [C:1:0:1]helysz¡nek[C:7:0:0] t”bb [C:3:0:0]z¢n ra[C:7:0:0] is kiterjedhetnek. "
"vile monster from the bowels of the earth","a f”ld m‚ly‚b‹l el‹b£j¢ gonosz sz”rnyeteg"
"active performance simulated instrument","akt¡v teljes¡tm‚nyû szimul lt hangszer"
"the Library","a k”nyvt r"
" animated "," anim lt "
"  However, ","  Azonban, "
"is incredibly muscular and broad-bodied","hihetetlenl izmos ‚s sz‚les testalkat£"
"after being extravagant","miut n pazarl¢an k”lt”tt"
"The work has a single chapter.  ","A mû egyetlen fejezetb‹l  ll.  "
"Child: ","Gyerek: "
"Track/Ramp (SEW)","P lya/felhajt¢ (SEW)"
"stopped being the mother of","m r nem az anyja"
"left the service of","kil‚pett a szolg latb¢l"
"Member of hated group","Egy gyûl”lt csoport tagja"
"[C:3:0:1]Partially paralyzed","[C:3:0:1]R‚szleges b‚nul s"
"No partner","Nincs partner"
"], [C:2:0:1]Ctrl+mouse wheel[C:7:0:0], or the indicated buttons.","], [C:2:0:1]Ctrl+eg‚rker‚k[C:7:0:0], vagy a jelzett gombok."
" torturing "," k¡nz s "
"How will you respond to the request to cease hostilities?","Hogyan fog reag lni az ellens‚gesked‚s beszntet‚s‚re ir nyul¢ k‚r‚sre?"
"grown ","feln‹tt "
"is not driven and rarely feels the need to pursue even a modest success","nem hajtja semmi, ‚s ritk n ‚rez szks‚g‚t arra, hogy ak r egy szer‚ny sikert is el‚rjen"
"No floor space","Nincs alapterlet"
"herself","‹ maga"
"Total Power: ","Teljes teljes¡tm‚ny: "
"sharing a friend's personal insight","egy bar tom szem‚lyes gondolatainak megoszt sa"
"widely-spaced","sz‚les t vols g£"
"Ask listener to join you in a rescue","K‚rd meg a hallgat¢t, hogy csatlakozzon hozz d egy ment‹akci¢ban"
"grim satisfaction","keserû el‚gt‚tel"
"[C:7:0:1]Sensory nerve damage","[C:7:0:1]rz‹ideg-k rosod s"
"I acquired something.","Szereztem valamit."
"sweet","‚des"
"Thin mist","V‚kony k”d"
"Bags (Yarn)","T sk k (fonalb¢l)"
"naturalist:observation:reproductive behavior","term‚szetkutat¢:megfigyel‚s:szaporod si viselked‚s"
"Wait Order","V rakoz si sorrend"
"clear glass gems"," tl tsz¢ veggy”ngy”k"
"Infamous killer","H¡rhedt gyilkos"
".  The proposal ",".  A javaslat "
"long phrases","hossz£ mondatok"
"shell ","h‚j "
"Unknown cheese graphics material: ","Ismeretlen sajtos grafikai anyag: "
"became parent","szl‹ lett"
"Beside ","Emellett "
"Remove this route.","T vol¡tsd el ezt az £tvonalat."
"and there is no hard feeling between our peoples.","‚s n‚peink k”z”tt nincs harag."
"(enter name here)","(¡rja be ide a nevet)"
" until "," am¡g "
"Can you tell me the way to ","Meg tudn d mondani, hogyan jutok el "
"Different Fractures","Kl”nb”z‹ t”r‚sek"
" by a trap"," egy csapda  ltal"
"burned in dragonfire","s rk nytûzben el‚gett"
"the notion of relapse","a visszaes‚s fogalma"
"murder","gyilkoss g"
"Affects ability to block melee and ranged attacks with a shield.","Befoly solja a k”zelharci ‚s t vols gi t mad sok pajzzsal val¢ h r¡t s nak k‚pess‚g‚t."
"Places","Helyek"
"I'm quite exasperated.","El‚g ideges vagyok."
"Be warned that shooting a projectile currently has a long recovery time, so you may be subject to attack after you fire.  ","Figyelj arra, hogy a l”ved‚k kil”v‚se jelenleg hossz£ visszat”lt‚si id‹vel j r, ¡gy a l”v‚s ut n t mad snak tehetsz ki magad.  "
"    --> Emotionally obsessive","    --> rzelmileg megsz llott"
"monster slayer","sz”rnyvad sz"
"Fog/Rain/Snow","K”d/Es‹/H¢"
"has many worshippers here","itt sok h¡ve van"
"insult","s‚rt‚s"
" is no longer enraged."," m r nem dh”s."
"Once the first leader is assigned, subsequent [C:5:0:0]Captain[C:7:0:0] positions will appear. ","Miut n kijel”lt‚k az els‹ vezet‹t, megjelennek a k”vetkez‹ [C:5:0:0]kapit ny[C:7:0:0] poz¡ci¢k. "
"fox","r¢ka"
"looted treasure from","a [helysz¡n]b‹l elrabolt kincs"
"Weapon rack","Fegyvertart¢"
"stopped traveling with","nem utazik t”bb‚"
"caught sneaking last stand","rajtakapt k, ahogy a Last Stand-be osont"
"southern","d‚li"
" possessions."," vagyont rgyak."
"Body detail plans...","A karossz‚ria r‚szletes tervei..."
"capable of such violence","ilyen er‹szakra k‚pes"
"Decent","J¢"
" has something to say"," van mondanival¢ja"
"I am not feeling patient.","Nincs trelmem."
"the fell mood of","a komor hangulat"
"Keep working","Folytasd a munk t!"
"interacted with pet","kapcsolatba l‚pett a h zi llattal"
"discussing ","megvitat sa "
"The world generator is having trouble placing deserts and badlands.  ","A vil ggener tornak gondjai vannak a sivatagok ‚s a siv rs gok elhelyez‚s‚vel. "
"after being kept from alcohol","miut n elvont k t‹le az alkoholt"
"snaps ","pattint sok "
" and others have returned."," ‚s m sok is visszat‚rtek."
"A competition","Egy verseny"
"gives sermons, and may be a preacher","pr‚dik l, ‚s lehet, hogy pr‚dik tor"
" own dead mother"," saj t elhunyt ‚desanyja"
"Fever","L z"
"virtually never sick","szinte soha nem betegszik meg"
"milkable ","tejtermel‹ "
"Caged Guest","A ketrecbe z rt vend‚g"
" masterfully constructed by "," mesteri m¢don megalkotta: "
"No one even considered making the journey to such a cursed death-trap this season.","Ebben a szezonban senki sem gondolt arra, hogy elinduljon egy ilyen  tkozott hal lcsapd ba."
"the relationship between the area of a circle and its radius, involving the ratio of the circumference of the circle to its diameter","a k”r terlete ‚s sugara k”z”tti ”sszefgg‚s, amely mag ban foglalja a k”r kerlet‚nek ‚s  tm‚r‹j‚nek ar ny t"
"a force","egy er‹"
"Cloth shop","Sz”vetbolt"
"Crawling around babbling!","K£szk l ‚s babr l!"
"Several hundred live there","T”bb sz zan ‚lnek ott"
" pick"," v laszt s"
"Total quality","Teljes k”rû min‹s‚gbiztos¡t s"
"You will know my ferocity!","Megtapasztalod majd a kegyetlens‚gemet!"
"Both holding ","Mindk‚t r‚szesed‚s "
"Verbally struggle against great grief","Szavakkal kzdeni a m‚ly f jdalom ellen"
"Counting House Offices","Sz mviteli irod k"
" grate"," r cs"
"the cease of occupation of","a megsz ll s megszûn‚se"
"tends to be very focused during conversations","besz‚lget‚sek sor n  ltal ban nagyon figyelmes"
"State minor feeling of enjoyment","Enyhe ”r”m‚rzet"
"frightened","megr‚mlt"
"is very childish","nagyon gyerekes"
"cloth to","sz”vet a"
"I hear that ","égy hallottam, hogy "
"I'm not disappointed.","Nem vagyok csal¢dott."
"Pickup equipment","Rakod¢berendez‚sek"
"dismiss","elutas¡t"
"is very skinny and extremely long","nagyon v‚kony ‚s rendk¡vl hossz£"
"is extremely short with little muscle","rendk¡vl alacsony termetû ‚s kev‚s izomzattal rendelkezik"
"Commander","Parancsnok"
" is conflicted by this since "," ez ellentmond sba hozza ‹t, mivel "
"rumored enemy fighter"," ll¡t¢lagos ellens‚ges vad szg‚p"
" demanded treasure from "," kincset k”vetelt "
"Hard work is bested by luck, connections and wealth every time.","A kem‚ny munk t minden alkalommal fellm£lja a szerencse, a kapcsolatok ‚s a vagyon."
" line"," sor"
" as a means of torture"," k¡nz si eszk”zk‚nt"
"How can society function without loyalty?  We must be able to have faith in each other.","Hogyan mûk”dhetne a t rsadalom hûs‚g n‚lkl?  K‚pesnek kell lennnk b¡zni egym sban."
"the Blast Furnace","a nagyolvaszt¢"
"Acknowledge lack of insult","Ismerje el, hogy nem volt sz¢ s‚rt‚sr‹l"
"Eat not the fruits of your labor.","Ne edd meg a munk d gym”lcs‚t!"
"table","t bl zat"
"faster and faster ","egyre gyorsabban "
"abandon","elhagyni"
"the feeding of ","az etet‚se "
"died of thirst.","szomjan halt meg."
"kinesthetic sense","kinestetikus ‚rz‚k"
"restless haunt","nyugtalan k¡s‚rtetj rta hely"
"Patterns...","Mint k..."
"perfect ","t”k‚letes "
"population of a few dozen","n‚h ny tucat f‹s n‚pess‚g"
"slightly low","kiss‚ alacsony"
"No migrants","Nincsenek bev ndorl¢k"
"In Awe","Csod lattal"
"Ice Upward Track (NS)","J‚g felfel‚ vezet‹ p lya (NS)"
" confessed and"," beismerte, ‚s"
"Acknowledge lack of empathy","Ismerje el az emp tia hi ny t"
"Ambush (nature)","Lesben ll s (term‚szet)"
"hearthpeople","tûzhelyn‚p"
"Chronicles by age","Koroszt lyok szerinti kr¢nik k"
".  How do you like the sound of that?",".  Mit sz¢lsz ehhez?"
"Can it all end so quickly?","Lehet, hogy mindez ilyen gyorsan v‚get ‚r?"
"State feelings of great bliss","Hozz j rul a m‚ly boldogs g ‚rz‚s‚hez"
"was unafraid of","nem f‚lt a"
"Waiting for construction...","V rjuk az ‚p¡tkez‚s megkezd‚s‚t..."
"mathematics:notation:syncopated algebra","matematika:jel”l‚s:szink¢p s algebra"
" as extravagantly as possible, displaying a magnificent image to the world"," a lehet‹ legextravag nsabb m¢don, hogy a vil gnak csod latos k‚pet mutasson mag r¢l"
" are"," a k”vetkez‹k"
" hacked "," felt”rt‚k "
"visit","l togat s"
"How I long for the beautiful spectacle of war!","Milyen nagyon v gyom a h bor£ gy”ny”rû l tv ny ra!"
"State feelings of great ferocity","Hatalmas vad llatias ‚rzelmeket kelt"
"The agreement to establish a temple for ","A meg llapod s egy templom l‚trehoz s r¢l "
"Use ability.","K‚pess‚g haszn lata."
"State feelings of optimism","Az optimizmus ‚rz‚s‚nek kifejez‚se"
"Tropical Brackish Pool","Tr¢pusi enyh‚n s¢s vizû medence"
"less prone to discord","kev‚sb‚ hajlamos a visz lyra"
"being denied citizenship","az  llampolg rs g megtagad sa"
"Creating the world","A vil g megalkot sa"
"somewhat thin","kiss‚ v‚kony"
" but did not ultimately agree"," de v‚gl nem jutottak meg llapod sra"
"Org: ","Szervezet: "
"Make the appropriate workshop with [C:5:0:1]Workshops[C:7:0:0] -> [C:5:0:1]Crafts[C:7:0:0]. ","Hozd l‚tre a megfelel‹ mûhelyt a [C:5:0:1]Mûhelyek[C:7:0:0] -> [C:5:0:1]K‚zmûvess‚g[C:7:0:0] £tvonalon. "
"my mother","any m"
"Embark!","Induljunk!"
"'s possession of ","... birtok ban "
"Yield in terror","Retteg‚sben megadni mag t"
"Colony to Install","Telep¡tend‹ kol¢nia"
"Gift a (large) pet or mount (new menu)","Aj nd‚kozz egy (nagy) h zi llatot vagy lovat (£j men)"
"accelerates as it proceeds","halad s val egyre gyorsul"
" stand","  llv ny"
"Recovers quickly","Gyorsan fel‚pl"
" could get away with it"," meg£szhatn "
"committed vandalism","sz nd‚kos rong l s"
"The treasury","A kincst r"
"Leave/","Kil‚p‚s/"
"slept on dirt","a f”ld”n aludt"
"remorse","bûnb nat"
"a poor setting","egy szeg‚nyes k”rnyezet"
"a dining hall","egy ‚tkez‹"
"Confirm and save uniform","Az egyenruha j¢v hagy sa ‚s ment‚se"
" Language"," Nyelv"
"HILLS REJECTION","A HILLS ELUTASÖTµSA"
"hungry","‚hes"
"put to rest","v‚get vetni"
"If you obtain any magical powers during your adventure, you will find them in this menu.  ","Ha a kalandod sor n b rmilyen m gikus er‹t szerezn‚l, azokat ebben a menben tal lod meg.  "
"hammer","kalap cs"
" anvil"," kov cst‹"
"You do not have any stockpiles","Nincs k‚szleted"
"is very weak and incredibly skinny","nagyon gyenge ‚s hihetetlenl sov ny"
"I was nauseated by the sun.","A nap l tv ny t¢l h nyingerem lett."
"I seek to rescue ","Meg akarom menteni "
"Ambush (resident)","Ambush (helyi lakos)"
"body of relation rotted","a kapcsolat alapja elrothadt"
"the harmonic series","a harmonikus sorozat"
"I cannot be overwhelmed by grief!","Nem hagyom, hogy a b nat elbor¡tson!"
" Track (NEW)"," Sz m (éJ)"
"Social Welfare","Szoci lis j¢l‚t"
"in the future","a j”v‹ben"
"Slated for removal","Leszerel‚sre tervezett"
"That was a great hunt!","Ez egy remek vad szat volt!"
"was brought to the justice of","az igazs gszolg ltat s el‚  ll¡tott k"
"plays rapid runs","gyors futamokat j tszik"
"ex-spouse ","volt h zast rs "
"It is drinking the blood of the living.","Az ‚l‹k v‚r‚t issza."
" out frequently"," gyakran kint"
"slightly thin-irised","kiss‚ v‚kony ¡riszû"
"You worship this figure.","Te im dod ezt a szem‚lyt."
"Bolts nearby and available: ","A k”zelben tal lhat¢ ‚s el‚rhet‹ csavarok: "
"Bring up the journey together","Besz‚ljk meg egytt az utaz st!"
"syncopate","szink¢p lni"
" refined"," kifinomult"
"is muscular","izmos"
"My spouse shared a personal insight with me.","A h zast rsam megosztott velem egy szem‚lyes gondolatot."
"  It started at ","  Az eg‚sz akkor kezd‹d”tt, amikor "
"Core quality","Alapvet‹ min‹s‚g"
"State minor feeling of joviality","Enyhe vid ms g‚rzet"
"gave water","vizet adott"
"Loading events...","Esem‚nyek bet”lt‚se..."
"Tree House","Fah z"
"Loading...","Bet”lt‚s..."
"On","A"
"Grant ","T mogat s "
"This type is restricted from cooking.","Ez a t¡pus nem alkalmas f‹z‚sre."
"You have","Neked van"
"smashing up a building","egy ‚plet lerombol sa"
"overall trade sentiments are terrible.","A kereskedelmi hangulat ”sszess‚g‚ben borzalmas."
"You must appoint a","Kineveznie kell egy"
"Performing social actions","T rsadalmi kezdem‚nyez‚sek megval¢s¡t sa"
"Be with friends","L‚gy a bar taiddal"
"revolution","forradalom"
"Welcome to the arena!  Here you can test mods or just play around.","šdv”z”ljk az ar‚n ban!  Itt kipr¢b lhatod a modokat, vagy egyszerûen csak j tszadozhatsz."
"Select a stockpile or","V lasszon ki egy k‚szletet, vagy"
"Agitated Wilderness Creature","Izgatott vadonbeli l‚ny"
"State that it was good","Mondd, hogy j¢ volt"
"Easy","K”nnyû"
"crops 3 (100,60,20), rows","term‚nyek 3 (100,60,20), sorok"
"At least ","Legal bb "
"The force pulls the ","Az er‹ megh£zza a "
"No item to wear","Nincs mit felvenni"
" been stunned!"," elk bult!"
"the persecution of ","az ld”z‚se "
""", a ",""", egy "
"Timber","Fûr‚sz ru"
