"World","Mundo"
"with an inscrutable goal","con un objetivo inescrutable"
" from the dead"," de la muerte"
", once more,",", una vez mas,"
"the death of ","la muerte de "
" in a cage"," en una jaula"
"the fall of ","la caída de "
" into a deep chasm"," en un abismo profundo"
"the passing of ","el paso de "
"the death in the dark of ","la muerte en la oscuridad de "
"the starvation of ","el hambre de "
"the dehydration of ","la deshidratación de "
"the burning of ","la quema de "
" in magma"," en magma"
"the boiling of ","el hervimiento de "
"the melting of ","el derretimiento de "
"the condensation of ","la condensación de "
"the freezing of ","la congelación de "
"the heat-induced death of ","la muerte inducida por el calor de "
"the encasement of ","el encierro de "
" in cooling lava"," en enfriar lava"
" in cooling magma"," Magma en enfriamiento"
" in ice"," en hielo"
" in a "," en un "
"'s fire","fuedo de"
"the scalding of ","la escaldadura de "
" in a magma mist"," en una nube de magma"
"the crushing of ","el aplastamiento de "
" under a drawbridge"," debajo de un puente levadizo"
" under a collapsing ceiling"," bajo un techo colapsado"
" by falling rocks"," por una caída de rocas"
"the shooting of ","el rodaje de "
"the mortal wounding of ","la herida mortal de "
"the fatal illness of ","la enfermedad fatal de "
"the hacking of ","el pirateo de "
"the execution of ","la ejecución de "
"the beheading of ","la decapitación de "
"the crucifixion of ","la crucifixión de "
"the burial of ","el entierro de "
"the leaving of ","la marcha de "
"the drowning of ","el ahogamiento de "
"the feeding of ","la alimentación de "
"the killing of ","la asesinato de "
"the slaughter of ","la matanza de "
"the scuttling of ","el hundimiento de "
"the draining of ","el drenado de "
" blood"," sangre"
"the murder of ","el asesinato de "
" by a trap"," por una trampa"
" by a vehicle"," por un vehículo"
" by a flying object"," por un objeto volador"
"the collapse of ","el colapso de "
" after an attack by "," después de un ataque de "
" after an attack by a "," después de un ataque de un "
" after an attack"," después de un ataque"
" attack with "," ataca con "
"the vanishment of ","la desaparición de "
"the putting to rest of ","la puesta en reposo de "
"the collision of ","la colisión de "
" with an obstacle"," con un obstáculo"
", after the death strike by ",", después de la huelga de muerte por "
", after the death strike by a ",", despues de una muerte servida por un "
"the impalement of ","el empalamiento de "
" on spikes"," en pinchos"
"the scaring of ","el miedo de "
" to death "," hasta la muerte "
"the leap of ","el salto de "
" from a great height"," de una gran altura"
"was","fue"
"were","fueron"
" through the efforts of "," medio de los esfuerzos de "
"the reunion of ","la reunión de "
" abducted "," abducido "
" was abducted"," fue abducido"
"the abduction of ","el secuestro de "
"lost a hist fig entry","perdió una entrada de una figura histórica"
" in"," en"
"began wandering","comenzó a deambular"
"became a scout","se convirtió en un explorador"
"began hunting great beasts","comenzó a cazar grandes bestias"
"decided to become a baby-snatcher, operating","decidido a volverse un robaniños, operando"
"decided to become a mercenary, operating","decidió convertirse en un mercenario, activo"
"decided to become a thief, operating","Decidido a convertirse en un ladrón, operando"
"gave up being a ","renuncié a ser un "
" to become a "," para convertirse en un "
"became a ","se volvió un "
"stopped being a ","dejó de ser un "
" around"," alrededor"
" out of"," fuera de"
" the wilds"," la selva"
"the loss of a hist fig entry","la pérdida de la entrada de una hist fig"
"the wandering","la deambulación"
"the scouting","el escultismo"
"the hunting of great beasts","la cacería de grandes bestias"
"the baby-snatching","el robo de bebés"
"the mercenary operation","la operación mercenaria"
"the thievery","el robo"
"the career change from ","el cambio de carrera de "
"the start as a ","el comienzo como un "
"the giving up on being a ","la renuncia a ser un "
" throughout"," a través de"
", based in",", basado en"
"arose from","surgió de"
"was discarded in","fue descartado en"
"was buried in","fue enterrado en"
"was entombed in","se sepultó en"
" within "," dentro de "
"raising","levantamiento"
"discarding","descartando"
"entombment","entierro"
"was denied an apprenticeship under","fue denegado ser aprendiz de"
" due to "," debido que "
" jealousy"," celos"
" as the latter prefers to work alone"," pues el último prefiere trabajar solo"
" prefers to work alone"," prefiere trabajar en soledad"
"denial of apprenticeship","negación de aprendizaje"
"under ","debajo "
"aroused general suspicion","levantó recelo general"
" after "," después "
"appearing not to age","apareciendo sin edad"
"general suspicion","recelo general"
"was taken by a fey mood","tuvo un ataque de un humor extraño"
"withdrew from society","retirado de la sociedad"
"was possessed","fue poseído"
"began to skulk and brood","comenzó a remolonear y lamentarse"
"was taken by a fell mood","fue tomado por un bajón de animo"
"became crazed","enloqueció"
"went berserk","se volvió violento"
"stopped responding to the outside world","dejo de responder al mundo exterior"
"the fey mood of","el estado de ánimo espiritual de"
"the withdrawal from society of","la retirada de la sociedad de"
"the possession of","la posesion de"
"the dark brooding of","el oscuro cálculo de"
"the fell mood of","el humor abrumador de"
"the melancholy of","la melancolía de"
"the insanity of","la locura de"
"the rampage of","el alboroto de"
"the catatonia","la catatonia"
"visited","visitó"
"departed to","partió a"
"moved to study in","movido a estudiar en"
"fled into","huido en"
"settled in","asentado en"
"fled to","huyó a"
"the area around ","el área de alrededor "
"visit","visitar"
"studies","estudios"
"settling","asentamiento"
"wandering","deambulante"
" into"," en"
" into the area around"," en el area de alrededor"
" to"," a"
"gave birth to","dio a luz a"
"sired","engendrado"
"was born to","nació para"
"received the worship of","recibió la adoración de"
"the causes of historical events","las causas de los acontecimientos históricos"
"became romantically involved with","estar románticamente envuelto con"
"was imprisoned by","fue aprisionado por"
"imprisoned","aprisionado"
"became the master of","se volvió maestro de"
"began an apprenticeship under","se volvió aprendiz de"
"began traveling with","comenzó a viajar con"
"ceased being the master of","dejó de ser el maestro de"
"ceased being the apprentice of","dejó de ser aprendiz de"
"became the owner of","se volvió el dueño de"
"became the former spouse of","se convirtió en ex cónyuge de"
"became the deceased spouse of","se convirtió en el cónyuge fallecido de"
"was sired by","es hijo(a) de"
"became the parent of","se convirtió en padre de"
"began worshipping","comenzó a adorar"
"became the pet of","se convirtió en mascota de"
"became the spouse of the deceased ","se convirtió en el cónyuge del difunto "
"stopped being the mother of","dejado de ser la madre de"
"stopped being the father of","dejado de ser el padre de"
"stopped being the child of","dejó de ser el hijo de"
"lost the worship of","perdió la adoración de"
"ended the romantic relationship with","puso fin a la relación romántica con"
"was no longer imprisoned by","Ya no fue encarcelado por"
"no longer imprisoned","ya no está encarcelado"
"stopped being the master of","dejó de ser el señor de"
"stopped being the apprentice of","dejó de ser el aprendiz de"
"stopped being the owner of","dejó de ser el propietario de"
"stopped being the parent of","dejó de ser el padre de"
"lost faith in","perdió la fe en"
"stopped being the pet of","dejó de ser la mascota de"
"started working at","empezó a trabajar en"
"ruled from","gobernado desde"
"started hanging out at","empezó el pasar el rato en"
"took up residence in","ocupó residencia en"
"took up residence","ocupó residencia"
"laired within","relajado dentro"
"was imprisoned in","fue encarcelado en"
"stopped working at","dejó de trabajar en"
"stopped ruling from","dejó de gobernar desde"
"stopped hanging out at","dejó de pasar el rato en"
"moved out of","salió de"
"escaped from","escapó de"
" taught "," enseñó "
" learned"," aprendido"
"the learning of ","el aprendizaje de "
" from the teaching of "," de la enseñanza de "
"the moment when ","el momento cuando "
" changed "," cambiado "
" changed"," cambiado"
" from a "," desde un "
" into a "," en un "
"the transformation of ","la transformación de "
" fooled "," engañó "
" into believing "," en creer "
" assumed the identity "," asumió la identidad "
"the impersonation of ","la personificación de "
"members of ","miembros de "
"collaborated to create","colaboraron para crear"
"compelled the creation of","obligó a la creación de"
" the position of "," la posición de "
" as a matter of course"," por rutina"
", pushed by a wave of popular support",", impulsado por una ola de apoyo popular"
" with threats of violence"," con amenazas de violencia"
" through force of argument"," por fuerza de argumento"
"popularly-supported creation","creación apoyada popularmente"
"collaborative creation","creacion colaborativa"
"forcible creation","creación forzosa"
"audacious creation","audaz creación"
" of the position of "," de la posición de "
"formed a false friendship where each used the other for information","se formó una falsa amistad donde cada uno usaba el otro para información"
"formed a friendship","formó una amistad"
" formed a false friendship with "," formó una amistad falsa con "
" in order to extract information"," para poder extraer información"
" formed a friendship"," formó una amistad"
" toppled the government of "," derrocó al gobierno de "
" and assumed control"," y asumió el control"
" in power"," en poder"
"  The support of "," El apoyo de "
" was crucial to the coup."," fue crucial para el golpe."
" expelled "," expulsó "
" recruited "," reclutado "
" received the title of "," recibió el título de "
" given to all new members"," dado a todos los nuevos miembros"
"attaining sufficient skill with ","adquirir suficiente habilidad con "
"a weapon or technique","un arma o técnica"
"a melee weapon or technique","un arma cuerpo a cuerpo o técnica"
"a ranged weapon","un arma a distancia"
"the axe","el hacha"
"the sword","la espada"
"the mace","la maza"
"the spear","la lanza"
"the crossbow","la ballesta"
"the pike","la pica"
"the whip","el látigo"
"the bow","el arco"
"the blowgun","la cerbatana"
"the tooth","el diente"
"the shield","el escudo"
"dodging","esquivar"
"serving in combat","sirviendo en combate"
"participating in ","participando en "
" battles"," batallas"
"slaying an enemy","matando a un enemigo"
" enemies"," enemigos"
"being a member for a year","ser miembro por un año"
" years of membership"," años de membresía"
"the bestowal of the title of ","la concesión del título de "
" dissolved"," disuelto"
"the dissolution of ","la disolución de "
" purchased "," comprado "
"standard","estándar"
", which ",", cual "
" received"," recibió"
"the purchase of ","la compra de "
" equipment by "," equipo por "
"had a feast hall added to","se le añadió un salón de fiestas"
"had the fortifications improved of","si se hubieran mejorado las fortificaciones de"
"had a dungeon constructed within","hizo construir una mazmorra dentro"
"the addition of ","la suma de "
"a feast hall","un salón de fiestas"
"a gated courtyard","un patio cerrado"
"improved fortifications","fortificaciones mejoradas"
"rebuilt","reconstruido"
"inherited","heredado"
"purchased","comprado"
" formerly owned by "," anteriormente propiedad de "
"rebuilding","reconstrucción"
"inheritance","herencia"
"purchase","compra"
"preached to ","predicado a "
", urging love be shown to ",", instando a que se muestre amor a "
", inveighing against ",", investigando contra "
"the sermon of ","el sermón de "
"urging love between ","instando al amor entre "
"setting ","ajustes "
" persecuted "," perseguido "
" was expelled"," fue expulsado"
" with a thousand or more others"," con mil o más otros"
" with five hundred or more others"," con quinientos o más otros"
" with a hundred or more others"," con cien o más personas"
" with dozens of others"," con docenas de otros"
" with many others"," con muchos otros"
" with some others"," con algunos otros"
"A thousand or more people were expelled","Mil o más personas fueron expulsadas"
"Five hundred or more people were expelled","Quinientas o más personas fueron expulsadas"
"A hundred or more people were expelled","Un centenar o más de personas fueron expulsadas"
"Dozens of people were expelled","Decenas de personas fueron expulsadas"
"Several people were expelled","Varias personas fueron expulsadas"
" and some others"," y algunos otros"
" were expelled"," fueron expulsados"
" and others were"," y otros fueron"
" expelled"," expulsado"
"A few people were expelled","algunas personas fueron expulsadas"
"Somebody was expelled","Alguien fue expulsado"
" property was confiscated"," la propiedad fue confiscada"
"Most property was confiscated","La mayor parte de la propiedad fue confiscada"
" were destroyed"," fueron destruidos"
"Several major structures were destroyed","Varias estructuras importantes fueron destruidas."
" along with several smaller sacred sites"," junto con varios sitios sagrados más pequeños"
"Several","Varias"
" sacred sites were desecrated"," lugares sagrados fueron profanados"
" along with smaller sacred sites"," junto con sitios sagrados más pequeños"
"Some","Algunos"
"some","Algunos"
"the persecution of ","la persecución de "
" breached "," violado "
"the breach of ","el incumplimiento de "
"several groups","varios grupos"
", including ",", incluido "
" swore to support "," juró apoyar "
" in war if the latter did likewise."," en la guerra si éste hiciera lo mismo."
"the alliance between ","la alianza entre "
" ransomed "," rescatado "
" was sent to "," fue enviado a "
"the ransom of ","el rescate de "
" sold "," vendido "
"the sale of ","la venta de "
" sabotaged the activities of "," saboteado las actividades de "
"the sabotage of the activities of ","el sabotaje de las actividades de "
" was recognized and arrested"," fue reconocido y arrestado"
" was arrested"," fue detenido"
"  After being interrogated"," Después de ser interrogado"
" implicated "," implicado "
" but did not reveal everything"," pero no reveló todo"
"  Despite the interrogation"," A pesar del interrogatorio"
" refused to reveal anything and was released."," se negó a revelar nada y fue puesto en libertad."
"  After enduring an interrogation"," Después de soportar un interrogatorio"
" was released."," fue lanzado."
"the arrest and interrogation of ","el arresto y el interrogatorio de "
" attempted to frame "," intentó enmarcar "
" at the behest of "," a instancias de "
" with fabricated evidence, but nothing came of it."," con pruebas fabricadas, pero no resultó nada."
" with fabricated evidence in "," con pruebas fabricadas en "
"after being recognized and arrested","después de ser reconocido y arrestado"
"due to ongoing surveillance as the plot unfolded, ","debido a la vigilancia continua a medida que se desarrollaba el complot, "
"due to ongoing surveillance on ","debido a la vigilancia continua sobre "
"the contact ","el contacto "
"a coconspirator, ","un coconspirador, "
"the target ","el objetivo "
" as the plot unfolded, "," a medida que se desarrollaba la trama, "
" confessed and"," confesado y"
"wrongfully ","indebidamente "
"convicted ","convicto "
"as a go-between in a conspiracy to commit ","como intermediario en una conspiración para cometer "
"the corrupt ","el corrupto "
" with fabricated evidence"," con pruebas fabricadas"
" through the machinations of "," a través de las maquinaciones de "
" and sentenced to death"," y sentenciado a muerte"
" sentenced to "," sentenciado a "
" hammerstroke"," golpe de martillo"
" beaten"," vencido"
" and exiled"," y exiliado"
" and would have been imprisoned but for lack of accommodations"," y habría sido encarcelado pero por falta de alojamiento"
" and imprisoned for a term of "," y encarcelado por un período de "
"one month","un mes"
"months","meses"
"one year","un año"
"more than ","más que "
"years","años"
" during interrogation"," durante el interrogatorio"
" revealed nothing during interrogation."," no reveló nada durante el interrogatorio."
"wrongful ","ilegal "
"conviction of ","convicción de "
" was enslaved by"," fue esclavizado por"
" was imprisoned by"," fue aprisionado por"
", appointed by ",", nombrado por "
"a mercenary for","un mercenario para"
"an enemy of","un enemigo de"
"a criminal in the eyes of","un criminal a los ojos de"
"a member of","un miembro de"
"a former member of","un antiguo miembro de"
"a former mercenary of","un mercenario retirado de"
"a former slave of","un antiguo esclavo de"
"a former prisoner of","un antiguo prisionero de"
"a worker of","un trabajador de "
"a claimant for ","un reclamante por "
"ceased to be a ","dejó de ser un "
"ceased to be ","dejó de ser "
"left the service of","dejó el servicio de"
"made peace with","hizo las paces con"
"was brought to the justice of","fue llevado a la justicia de"
"left","izquierda"
"escaped from the slavery of","escapó de la esclavitud de"
"escaped from the prisons of","escapó de las prisiones de"
"stopped working for","dejó de trabajar para"
"ceased to be a claimant for ","dejó de ser un reclamante por "
"the status of","el estatus de"
"the marriage of","el matrimonio de"
"the belief of","la creencia de"
"the romantic relationship between","una relación romántica entre"
"the imprisonment by","el encarcelamiento por"
"the imprisonment of","el aprisionamiento de"
"the apprenticeship of","el aprendizaje de"
"the master-apprentice relationship of","la relación entre maestro y aprendiz de"
"the companionship of","la compañía de"
"the former apprenticeship of","el antiguo aprendizaje de"
"the former master-apprentice relationship of","la antigua relación entre maestro y aprendiz de"
"as the child of","como hijo de"
"as the parent of","como el padre de"
"as the owner of","como el dueño de"
"of","de"
"by","por"
"under","debajo"
"over","sobre"
"the termination of","el fin de"
"the divorce of","el divorcio de"
"the loss of faith of","la pérdida de fe de"
"the end of the romantic relationship between","el fin de la relaciones románticas entre"
"the end of the imprisonment by","el fin del encarcelamiento por"
"the end of the imprisonment of","el fin del encarcelamiento de"
"the end of the apprenticeship of","el fin del aprendizaje de"
"the end of the master-apprentice of","el fin del maestro-aprendiz de"
"the end of the companionship of","el fin de la compañía de"
"as the pet of","como la mascota de"
"the working of","el trabajo de "
"the seat of power of","el asiento de poder de"
"the hanging-out of","la convivencia de"
"the residence of","la residencia de"
"the lair of","la guarida de"
"at","a"
"the cease of occupation of","el cese de ocupación de"
"the removal of the seat of power of","la supresión de la esde del poder de"
"the stoppage of hanging-out of","la interrupción de salir de"
"the moving out of","la mudanza de"
"the escape of","el escape de"
"from","desde"
"the false friendship of ","la falsa amistad de "
"the friendship of ","la amistad de "
"the expulsion of ","la expulsión de "
"the recruitment of ","la contratación de "
"the appointment","el nombramiento"
"the election","la elección"
"the selection","la elección"
"the ascension","la ascensión"
"the entry","la entrada"
"the rise","el ascenso"
"the crimes","los crimenes"
"the acceptance","la aceptación"
"the status","el estatus"
"the enslavement","la esclavización"
"the imprisonment","el aprisionamiento"
"the work","el trabajo"
"the claim","la reclamación"
"as a ","como un "
"to the position of ","a la posición de "
"into the mercenary service of","como mercenario de"
"as an enemy of","como un enemigo de"
"in the eyes of","en los ojos de"
"as a member of","como miembro de"
"as a former member of","como antiguo miembro de"
"as a former mercenary of","como mercenario retirado de"
"as a former slave of","como antiguo esclavo de"
"as a former prisoner of","como antiguo prisionero de"
"for","para"
"the loss of status of","la pérdida de estatus de"
"the removal of","la sustitución de"
"the departure of","la salida de"
"the fall of","la caída de"
"the peace-making of","la firma de la paz de"
"the end of the membership of","el fin de lala afiliación de"
"the end of the former membership of","el fin de la afiliación pasada de"
"the end of the former mercenary status of","el fin del estatus de mercenario retirado"
"the end of the former enslavement of","el fin de la esclavitud pasada de"
"the end of the former imprisonment of","el fin del encarcelamiento pasado de"
"the end of work","el fin del trabajo"
"the end of the claim of","el fin de la proclamación de"
"from the position of ","desde la posición de "
"from the mercenary service of","desde el servicio mercenario de"
"with","con"
"from the slavery of","desde la esclavitud de"
"from the prisons of","desde la cárcel de"
" made contact with "," hizo contacto con "
"the first contact of ","el primer contacto de "
" rejected contact with "," contacto rechazado con "
"the rejection of contact by ","el rechazo de contacto por "
" concluded"," concluido"
", cementing bonds of mutual trust",", estableciendo contratos de mutuo acuerdo"
" with a positive outcome"," con un resultado positivo"
" fairly"," bastante"
" in an unsatisfactory fashion"," en una moda instisfactoria"
" in failure"," en fracaso"
" with miserable outcome"," con resultados miserables"
"the brilliant","el brillante"
"the positive","el positivo"
"the fair conclusion","la conclusión justa"
"the unsatisfactory conclusion","la conclusión insatisfactoria"
"the failure","el fracaso"
"the miserable failure","el fallo miserable"
" proposed by "," propuesto por "
" was rejected by "," fue rechazado por "
"the rejection of ","el rechazo de "
" concluded "," concluido "
"an agreement","un acuerdo"
"a sabotage plot","un complot de sabotaje"
"an abduction plot","un complot de secuestro"
"an assassination plot","un complot de asesinato"
"a theft deal","un trato de robo"
"corrupt dealing","trato corrupto"
"a citizenship agreement","un acuerdo ciudadano"
"a parley","un parley"
"a residency agreement","un acuerdo de residencia"
"a promise of position","una promesa de posición"
"an insurrection mission","una misión de insurrección"
"an adventure","una aventura"
"a guide agreement","un acuerdo de guía"
"a journey to safety","un viaje a un lugar seguro"
"bound service","servicio obligado"
"a performance tour","una gira de actuación"
"a foiled embezzlement conspiracy","una conspiración de malversación de fondos frustrada"
"a foiled corruption conspiracy","una conspiración de corrupción frustrada"
"a foiled bribery conspiracy","una conspiración de soborno frustrada"
"an agreement to establish a temple","un acuerdo para establecer un templo"
"an agreement to establish a guildhall","un acuerdo para establecer un gremio"
"an infiltration plot","un complot de infiltración"
"a framing plot","una trama de encuadre"
"a war starting plot","un plan de inicio de guerra"
"because the group travelled too slowly","porque el grupo viajaba muy lentamente"
"after arriving at the destination","después de llegar a su destino"
"because of a leadership change at the site","debido a un cambio en el liderazgo en el lugar"
"because the group went too far away","porque el grupo fue demasiado lejos"
"after an adoption","después de una adopción"
" was accepted by "," fue aceptado por "
"the conclusion of ","la conclusión de "
"corrupt dealings","tratos corruptos"
"the acceptance of ","la aceptación de "
" became embroiled in a dispute over "," verse envuelto en una disputa sobre "
"the dispute between ","la disputa entre "
" accepted an offer of peace from "," aceptó una oferta de paz desde "
"the acceptance of an offer of peace from ","la aceptación de una acuerdo de paz desde "
" rejected an offer of peace from "," rechazado un acuerdo de paz desde "
"the rejection of an offer of peace from ","el rechazo de un acuerdo de paz desde "
"the body","el cuerpo"
"the bodies","los cuerpos"
"added to a gruesome sculpture","añadido a una escultura espantosa"
"added to a grotesque pillar","añadido a un pilar grotesco"
"added to a grisly mound","añadido a un montón horripilante"
"flayed and the skin stretched over ","desollado y la piel extendida sobre "
"animated","animado"
"hung from a ","colgado de un "
"horribly mutilated","horriblemente mutilado"
"impalement on ","empalamiento en "
"construction of a gruesome sculpture from","construcción de una escultura espantosa desde"
"construction of a grotesque pillar from","construcción de un pilar grotesco desde"
"construction of a grisly mound from","construcción de un montón horripilante desde"
"display on ","mostrar en "
" of the skins of"," de las piles de"
"animation of","animación de"
"hanging from a ","colgando de una "
"horrible mutilation of","horrible mutilación de"
" lost a diplomat at "," perder un diplomático en "
"They suspected the involvement of ","Ellos sospecharon el enredo de "
"the loss of a diplomat of ","la pérdida de un diplomático de "
" with the possible involvement of "," con el posible enredo de "
" voided all agreements with "," invalidó todos los acuerdos con "
"the voiding of agreements with ","la invalides de los acuerdos con "
"made a fortune","hizo una fortuna"
"did well","hizo bien"
"lost a fortune","perdida una fortuna"
"did poorly","lo hizo mal"
"broke even","se rompió en partes iguales"
" gambling"," juego"
" and went further into debt"," y se endeudó más"
" and went into debt"," y se endeudó"
"masterful ","magistral "
"skillful ","hábil "
"disastrous ","desastroso "
"unfortunate ","desafortunado "
" trading "," comercio "
"favorable ","favorable "
"unfavorable ","desfavorable "
"trading of ","comercio de "
"goods","bienes"
" armor"," armadura"
" leg armor"," armadura de pierna"
" hand armor"," armadura de mano"
" foot armor"," armadura de pie"
" helmets"," cascos"
" bodywear"," vestimenta"
" legwear"," mallas"
" handwear"," ropa de mano"
" footwear"," calzado"
" headwear"," sombrero"
" ammunition"," munición"
" weapons"," armas"
" ranged weapons"," armas a distancia"
" anvils"," yunques"
" thread"," hilo"
" cloth"," tela"
" quivers"," carcajes"
" backpacks"," mochilas"
" flasks"," petacas"
" bags"," bolsas"
" tables"," mesas"
" cabinets"," armarios"
" chairs"," sillas"
" boxes"," cajas"
" beds"," camas"
" crafts"," artesanía"
"a caravan from ","una caravana de "
" delivered tribute to "," entregado tributo a "
"merchants from ","mercaderes de "
" visited "," visitado "
" and were never heard from again"," y nunca se supo nada de nuevo"
" and suffered great hardships"," y sufrió/sufrieron grandes dificultades"
".  They reported a seizure of goods",". Reportaron un decomiso de bienes"
".  They reported irregularities with their goods",". Reportaron irregularidades con sus bienes"
".  They were greatly offended by the locals",". Ellos se ofendieron mucho por los lugareños"
"ill-fated ","desafortunado "
"tragic ","trágico "
"terrible ","terrible "
"costly ","costoso/a "
"visit of merchants","visita de mercaderes"
"tribute delivery","entrega de tributo"
" was hidden in "," fue escondido en "
" was stored"," fue almacenado"
"the concealment of ","la ocultación de "
"the storing of ","el almacenamiento de "
" was acquired"," fue adquirido"
"the acquisition of ","la adquisición de "
" was inherited"," fue heredado"
" was offered"," fue ofrecido"
"the inheritance of ","la herencia de "
"the offering of ","la ofrenda de "
" was sanctified"," fue santificado"
" was claimed"," fue reclamado"
" was made a family heirloom"," se volvió una reliquia familiar"
" was made"," fue hecho"
" a symbol of "," un símbolo de "
" an official symbol"," un símbolo oficial"
"the sanctification of ","la santificación de "
"the claiming of ","la reclamación de "
"the making of ","la fabricación de "
" into a family heirloom"," en una reliquia familiar"
"a poetic form","una poesía de "
" was created by "," fue creado por "
"a dance form","un baile de "
"a work","un trabajo"
" was authored by "," fue escrito por "
"the authoring of ","la autoría de "
" received its name"," recibió su nombre"
" was created"," fue creado"
"the naming of ","el nombramiento de "
" acquired a copy of "," adquirió una copia de "
" made a copy of the original "," hizo una copia del original "
" was recovered"," fue recuperado"
" and brought to "," y traído a "
"the theft of ","el robo de "
"the recovery of ","la recuperación de "
"the looting of ","el saqueo de "
"the confiscation of ","la confiscación de "
" was recovered by "," fue descubierto por "
" was dropped by "," fue dejado caer por "
"the discardment of ","el desecho de "
" held "," lleva a cabo "
"a story recital","un recital de historia"
"a performance of ","una actuación de "
"a dance","un baile"
"there was a performance","hubo una actuación"
" as part of "," como parte de "
" held by "," llevado a cabo por "
"the performance","la presentación"
"a dance competition","una competición de baile"
"a competition involving ","una competencia que involucra "
"a music competition","una competición musical"
"a poetry competition","una competición de poesía"
"a foot race","una carrera a pie"
"a flying race","una carrera de vuelo "
" race"," carrera"
"a wrestling competition","una competencia de pelea"
" throwing competition"," competición de lanzamiento"
"a gladiatory competition","Una competición de gladiadores"
"there was a competition","hubo una competencia"
" competitors"," competidores"
" including "," incluyendo "
"Competing were ","Compitiendo eran "
"Victory was spread among ","La victoria se extendió entre "
" winners"," ganadores"
"The victory was shared by ","La victoria fue compartida por "
" was the victor."," fue el ganador."
" held a procession"," celebró una procesión"
"there was a procession","hubo una procesión"
"  It started at "," Empezó en "
" and returned there after following its route."," y regresó allí después de seguir su ruta."
" and ended at "," y terminó en "
"  It ended at "," termino en "
"a procession held by ","una procesion en poder de "
" held a ceremony"," llevó a cabo una ceremonia"
"there was a ceremony","allí hubo una ceremonia"
"a ceremony held by ","una ceremonia llevada a cabo por "
"Only the barest fragments of this amazing story have been uncovered.  It is one of the great untold tales of our times.  ","Solo se han descubierto los fragmentos más simples de esta increíble historia. Es uno de los grandes cuentos no contados de nuestros tiempos. "
"It is still shrouded in mystery.  ","Todavía está envuelto en el misterio. "
"Its nature is still an intriguing puzzle to the learned.  ","Su naturaleza sigue siendo un enigma intrigante para los sabios. "
"Many facts are still unclear to historians.  ","Muchos hechos aún son confusos para los historiadores "
"A few issues still trouble scholars, but the picture is fairly clear.  ","Algunos problemas siguen preocupando a los estudiosos, pero el panorama es bastante claro. "
" was a "," fue un "
" was a legendary "," era un legendario "
" could be found within "," se podía encontrar sin "
" were a population within "," había una población dentro de "
" was a"," eso fue"
" civilization of "," civilización de "
" religion of "," religión de "
" bandit gang from "," banda de bandidos de "
"versatile mercenary","mercenario versátil"
"shadowy military","militar sombrío"
"company","empresa"
"band","banda"
" performance troupe from "," compañía artística de "
" collection of outcasts from "," colección de marginados de "
" merchant company from "," empresa comercial de "
" group from "," un grupo de "
" linked to "," vinculado a "
" devoted to worship"," dedicado a la adoración"
" devoted to the worship of "," dedicado a la adoración de "
" known for "," conocido por "
" dedicated to the mastery of "," dedicado al dominio de "
"kicking","patear"
"striking","llamativo"
"biting","mordiendo"
"wrestling","pelear"
"their use of ","su uso de "
" centered around the worship of various beings"," centrado alrededor de la adoración de varios seres"
" centered around the worship of "," centrado en el culto a "
"goddess","diosa"
"god","dios"
"deity","deidad"
", a force",", una fuerza"
" which permeates "," que impregna "
" which was said to permeate "," que se decía que impregnaba "
" was hired "," fue contratado "
"to fight in ","pelear en "
"as a scout","como explorador"
" fought in "," luchó en "
" in defense of "," en defensa de "
", an assault on ",", un asalto a "
"[C:3:0:1]Related Historical Figures[C:7:0:0][B]","[C:30:1]Figuras Históricas Relacionadas[C:7:0:0][B]"
"object of ","objeto de "
"ardent ","ardiente "
"faithful ","fiel "
"dubious ","dudoso "
"worship","adorar"
"lover","amante"
"prisoner","prisionero"
"imprisoner","encarcelado"
"apprenticeship","aprendizaje"
"traveling companion","compañero de viaje"
"former master","antiguo maestro"
"former apprentice","antiguo aprendiz"
"owner","dueño"
"former spouse","ex cónyuge"
"deceased spouse","cónyuge fallecido"
"[C:1:0:1]Related Entities[C:7:0:0][B]","[C:1:0:1]Entidades Relacionadas[C:7:0:1][B]"
" to present"," presentar"
" until "," hasta "
"former mercenary","mercenario retirado"
"member","miembro"
"former member","antiguo miembro"
"slave","esclavo"
"former slave","antiguo esclavo"
"former prisoner","antiguo prisionero"
"worker","trabajador"
"former worker","antiguo trabajador"
"claim to ","dice que "
" (associated civilization)[R]"," (civilización asociada)[R]"
" (militant worshippers)[R]"," (adoradores militantes)[R]"
" (religious worshippers)[R]"," (adoradores religiosos)[R]"
"legendary hero","héroe legendario"
"famous hero","héroe famoso"
"greatly respected for heroic acts","muy respetado por actos heróicos"
"respected for heroic acts","respetado por actos heróicos"
"legendary brawler","luchador legendario"
"famous brawler","luchador famoso"
"noted brawler","luchador renombrado"
"known brawler","luchador conocido"
"rumored brawler","luchador rumoreado"
"legendary intruder","intruso legendario"
"infamous intruder","intruso infame"
"known intruder","intruso conocido"
"rumored intruder","intruso rumoreado"
"legendary monster","monstruo legendario"
"infamous monster","monstruo infame"
"noted monster","monstruo renombrado"
"known monster","moustro conocido"
"rumored monster","monstruo rumoreado"
"legendary brigand","bandolero legendario"
"infamous brigand","bandolero infame"
"noted brigand","bandolero renombrado"
"known brigand","bandolero conocido"
"rumored brigand","bandolero rumoreado"
"legendary bully","matón legendario"
"infamous bully","matón infame"
"noted bully","matón renombrado"
