"more presumptious","domìçlivØjç¡"
"been killed by falling rocks.","byl zabit padaj¡c¡ sk lou."
"State that listener's hunt saved you from an enemy","Uv‚st, §e posluchaŸ…v lov tØ zachr nil pýed nepý¡telem"
"Leather shop","Ko§edØlnì obchod"
"[C:6:0:1]Related Sites[C:7:0:0][B]","[C:6:0:1]Souvisej¡c¡ m¡sta[C:7:0:0][B]"
"Clear this recenter hotkey location.","Vymazat toto m¡sto pro vycentrov n¡."
"My friend shared a personal insight with me.","M…j pý¡tel se mnou sd¡lel osobn¡ postýeh."
"the freeing of ","osvobozen¡ "
"Tavern Keeper","Hospodskì"
"the failure","ne£spØch"
"Finish placing stockpiles.","DokonŸit umisœov n¡ skladiçœ."
"I am so happy.","Jsem tak çœastnì."
"Hunting assignment","Loveck‚ pýiýazen¡"
"State that listener saved you from an enemy","Uv‚st, §e tØ posluchaŸ zachr nil pýed nepý¡telem"
"medical ethics","l‚kaýsk  etika"
"a legendary bard","legend rn¡ bard"
"Independent","Nez vislì"
"build as the performance proceeds","nar…stat v pr…bØhu proveden¡"
"It concerns ","Tìk  se "
"In a martial trance!","V bojov‚m transu!"
"Chemistry","Chemie"
"Dead Grass","Mrtv  tr va"
"playing","hran¡"
" has slipped into depression..."," propadl depresi..."
"costly ","n kladn‚ "
"in","v"
"after being unable to find an artifact","pot‚, co se mu nepodaýilo naj¡t artefakt"
" and found nothing"," a nic nenaçel"
"the Stationary Sun","Nehybn‚ Slunce"
"X Dimension","RozmØr X"
"getting into an argument","dostat se do h dky"
"cavern","jeskynØ"
"discourse on grammar","diskuze o gramatice"
"There are two ways to make drinks for your residents.","Existuj¡ dva zp…soby, jak vyr bØt n poje pro vaçe obyvatele."
" weeping"," pl Ÿe"
"Seasons and the Sun","RoŸn¡ obdob¡ a Slunce"
"after practicing a craft","po vykon v n¡ ýemesla"
"Indulge heartily.","Dopýej si z plnìch sil."
"Use ","Pou§ij "
", but let us move on.",", ale pojÔme d l."
" still views loyalty in a dim light, at least in the abstract"," st le pohl¡§¡ na loajalitu v negativn¡m svØtle, alespoå v abstraktn¡ rovinØ"
"The dry season has come.","Pýiçlo obdob¡ sucha."
"The villages ","Vesnice "
"We founded ","Zalo§ili jsme "
"chinchilla","ŸinŸila"
"planter","sazeŸ"
"Invasion/","Invaze/"
" have been known to hunt out there."," tam bìvaj¡ v¡d ni pýi lovu."
" absolutely detests "," naprosto nesn ç¡ "
"I am sorry.  There is no room for you here.","Je mi l¡to. Nen¡ tu pro tebe m¡sto."
"Pet adopts owner","Mazl¡Ÿek si osvojil majitele"
"Merchants leaving now","Obchodn¡ci odch zej¡"
"righteous","spravedlivì"
"stranger advancing with weapon","cizinec postupuj¡c¡ se zbran¡"
"examples of triples of large whole numbers which, when taken together, are the lengths of the sides of a right triangle","pý¡klady trojic velkìch celìch Ÿ¡sel, kter  tvoý¡ d‚lky stran pravo£hl‚ho troj£heln¡ka"
" lovers"," milenci"
" in the wilds"," v divoŸinØ"
" is the "," je "
"State feelings of great optimism","Vyj dýit velkì optimismus"
"The force twists the "," Ta s¡la krout¡ "
" to trade."," k obchodov n¡."
"Fortress mode item","PýedmØt z re§imu Pevnosti"
"Tricky strike","Z ludnì £der"
"[C:6:0:0].Serious freezing","[C:6:0:0].V §n‚ zmrznut¡"
"State feelings of great emptiness","Vyj dýit velkou pr zdnotu"
"Create a creature to begin.","Vytvoý tvora pro zaŸ tek."
"Floor (remembered)","Podlaha (zapamatovan )"
"ribald","sprost‚"
"the Rebellion","Povst n¡"
"dying","um¡raje"
"dislikes receiving advice, preferring to keep ","nem  r d rady, radØji si nech v  "
"happened","stalo"
"quite poor focus","dost çpatn  koncentrace"
"south","jih"
"No work details","¦ dn‚ pracovn¡ pýiýazen¡"
"Praise ","Chval "
"Furnace Operation","Obsluha pece"
"hundreds","stovky"
"Loading machines...","NaŸ¡t n¡ stroj…..."
"[NAME:make ","[NAME:vyrobit "
"Release joint lock of ","Uvolnit kloubn¡ z mek "
"medicine:theory:acute and chronic conditions","medic¡na:teorie:akutn¡ a chronick‚ stavy"
"Wrestling involves specific attacking body parts and specific target body parts.  ","Z pasen¡ zahrnuje konkr‚tn¡ £toŸ¡c¡ Ÿ sti tØla a konkr‚tn¡ c¡lov‚ Ÿ sti tØla.  "
" bounces"," odr §¡ se"
"has a tall, thin body with little fat","m  vysok‚, huben‚ tØlo s m lo tukem"
"I live to serve...  my dear master...","¦iji, abych slou§il... m…j drahì mistýe..."
" in the water"," ve vodØ"
"* Place archery targets for better training","* Um¡stØte terŸe pro lepç¡ tr‚nink"
"Milling Burrow","Mlìnsk  nora"
"Keep your own counsel today.","Dnes si nech rady pro sebe."
"synchysis","synchìza"
"geological cartography","geologick  kartografie"
"fishermen","ryb ýe"
"animated ","o§ivenì "
"is weak and skinny yet has a large build overall","je slabì a hubenì, ale celkovØ m  velkou postavu"
"Filter the unit list by name or job.","Filtrovat seznam jednotek podle jm‚na nebo povol n¡."
"No automatic slaughter","¦ dn‚ automatick‚ por §en¡"
" a family matter"," rodinn  z le§itost"
"extract-bearing fish ","ryb¡ extrakt "
" values harmony as an intellectual concept"," si cen¡ harmonie jako intelektu ln¡ho konceptu"
"Other Jobs","Ostatn¡ pr ce"
"is incredibly small, weak and skinny, so as to be almost nothing","je neuvØýitelnØ malì, slabì a hubenì - t‚mØý nic ne§ kost a k…§e"
"camp order missing parent -- unit will camp forever","t bor ztratil sv‚ho v…dce -- jednotka zde bude t boýit nav§dy"
"mid","stýed"
"very good creativity","velmi dobr  kreativita"
"exhilarated","rozjaýenì"
"noted monster","zn m  pý¡çera"
"I feel so guilty.","C¡t¡m se tak provinile."
"great deal of stress","velk‚ mno§stv¡ stresu"
"It's up to you to choose whom to convict. ","Je na v s, koho odsoud¡te. "
"costumes","kostìmy"
" enunciate"," vyslovit"
"Refuse Hauling","Odvoz odpadu"
"Use the [C:5:0:1]Build[C:7:0:0] menu to place it in a room underground, just like the [C:6:0:0]Workshop[C:7:0:0].  Dig a new room first if you like.  ","Pou§ijte nab¡dku [C: 5: 0: 1] Stavba [C: 7: 0: 0], abyste ji um¡stili do m¡stnosti pod zem¡, stejnØ jako [C: 6: 0: 0]D¡lna [C: 7: 0: 0]. Pokud chcete, vykopte novou m¡stnost. "
"the Circumference","Obvod"
"A bolt thrower can be freely turned by the","VrhaŸ çipek lze volnØ ot Ÿet"
"top","horn¡"
"talented hunter","talentovanì lovec"
" due to religious persecution"," kv…li n bo§ensk‚mu pron sledov n¡"
"musical instrument","hudebn¡ n stroj"
", taking over my duties and responsibilities?",", pýevz¡t m‚ povinnosti a odpovØdnosti?"
" and the severed part sails off in an arc!"," a oddØlen  Ÿ st smØýuje obloukem jjinam!"
"crime","zloŸin"
"Execute criminal","Poprava zloŸince"
"great powers had returned to the world","velmoci se vr tily do svØta"
"To get [C:6:0:1]Fuel[C:7:0:0] you need to make [C:6:0:1]Charcoal[C:7:0:0] with a [C:6:0:0]Wood Furnace[C:7:0:0], ","K z¡sk n¡ [C:6:0:1]Paliva[C:7:0:0] mus¡ç vyrobit [C:6:0:1]DýevØn‚ uhl¡[C:7:0:0] v [C:6:0:0]DýevØn‚ peci[C:7:0:0], "
"with "," s "
"I visited with my pet.","Navçt¡vil jsem sv‚ho mazl¡Ÿka."
"has an incredibly broad body that is somewhat weak with only a little fat on it","m  neuvØýitelnØ çirok‚ tØlo, ponØkud slab‚, s jen malìm mno§stv¡m tuku"
"Bring comfort to someone today.","Pýines dnes nØkomu £tØchu."
" is characteristic of the form.  "," je charakteristick‚ pro tuto formu.  "
"a trade agreement","obchodn¡ dohoda"
"meat","maso"
"Move keyboard cursor up and left","Posunout kurzor nahoru a doleva"
"To have a fully functioning [C:1:0:1]Tavern[C:7:0:0] you must have a [C:6:0:0]Stockpile[C:7:0:0] with [C:6:0:1]Booze[C:7:0:0] in it, preferably close by. ","Aby [C:1:0:1]Hospoda[C:7:0:0] plnØ fungovala, mus¡ m¡t pobl¡§ [C:6:0:0]SkladiçtØ[C:7:0:0] s [C:6:0:1]Alkoholem[C:7:0:0]. "
"is moderately paced","m  stýedn¡ tempo"
"Secondary Select","Sekund rn¡ vìbØr"
".  They were greatly offended by the locals",".  Byli hluboce ura§eni m¡stn¡mi"
"a previous duel","minul‚mu souboji"
"be energetic","bìt energick "
" thread "," vl kno "
"Metal Furniture","Kovovì N bytek"
"probing","sondov n¡"
"was swayed by the emotional appeal","byl ovlivnØn emocion ln¡ vìzvou"
" lowered to the ground"," sklopen‚ k zemi"
"and more by talking to the other inhabitants you find in the world.  ","a dalç¡ informace, kter‚ z¡sk te pýi rozhovorech s ostatn¡mi obyvateli, kter‚ najdete ve svØtØ. "
"personal punishment delayed","osobn¡ trest odlo§en"
" reunited "," znovu spojil "
"Seek Blood Suck Victim","Hledat obØœ vys t¡ krve"
"dabbling training partner","zaskakuj¡c¡ tr‚ningovì partner"
"I'm not miserable.","Nejsem b¡dnì."
"was entombed in","byl ulo§en do hrobu v"
" throwing competition"," vrhaŸsk  soutØ§"
"Thoughts","Myçlenky"
"In the rush of excitement, you've forgotten where you were going to go.","Ve v¡ru nadçen¡ jsi zapomnØl, kam jsi mØl nam¡ýeno."
"often tells pointless stories when ","Ÿasto vypr v¡ nesmysln‚ pý¡bØhy, kdy§ "
"Dragonfire","DraŸ¡ oheå"
" bellows to pressurize air, ultimately blowing it"," mØchy k natlakov n¡ vzduchu, kterì n slednØ proud¡"
"Easy strike","Snadnì £der"
"Seventh","Sedm "
"apprentice","uŸeå"
" body becomes very still"," tØlo znehybn¡"
"Popup: Zones","Vyskakovac¡ okno: Z¢ny"
"Animals, Slaughter","Zv¡ýata: Porazit"
"Conversations, like movement, take place over time.  If you engage in a conversation, you'll generally wait for a reply before you can act again. ","Rozhovory, stejnØ jako pohyb, prob¡haj¡ v Ÿase.  Pokud se zapoj¡ç do rozhovoru, obvykle mus¡ç poŸkat na odpovØÔ, ne§ m…§eç znovu jednat. "
"Capital","Hlavn¡ mØsto"
"the relation between refraction and the half chord","vztah mezi lomem svØtla a poloviŸn¡ tØtivou"
"'s annoyed, "," je podr §dØnì, "
"hospital laboratories","nemocniŸn¡ laboratoýe"
"You'll begin by creating your world and watching the region's history unfold. ","Na zaŸ tku si vytvoý¡te sv…j svØt a budete sledovat, jak se vyv¡j¡ historie regionu. "
"has a very serious tone","m  velmi v §nì t¢n"
"Do not mix similar food in barrels","Nem¡chejte podobn‚ j¡dlo v sudech"
"Lay quest to retrieve ","Ulo§it £kol z¡skat "
"was executed","byl popraven"
" retch"," zvracet"
"valued the law and refused","ctil z kon a odm¡tl"
"is given to rough-and-tumble brawling, even to the point of starting fights for no reason","m  sklony k drsnìm rvaŸk m, a§ do t‚ m¡ry, §e zaŸ¡n  bitky bez d…vodu"
"we are willing to ask that you cap your tree-fells at ","jsme ochotni po§ dat, abyste omezili k cen¡ strom… na "
"Present Participle","Pý¡tomn‚ pý¡Ÿest¡"
"Tissue layer not added because no BP found: ","Vrstva tk nØ nepýid na, proto§e nebyla nalezena Ÿ st tØla: "
"Raid of ","N jezd na "
"Your lack of possession of ","Vaçe nedostateŸn‚ vlastnictv¡ "
"I played make believe.","Hr l jsem si na nØco."
" look past illicit acts"," pýehl¡§el(a) nez konn‚ Ÿiny"
"Attacker was victorious.","étoŸn¡k zv¡tØzil."
" steps in a triangle pattern"," krok… v troj£heln¡kov‚m vzoru"
"I accept your offer.","Pýij¡m m tvou nab¡dku."
"You have learned the power ""","NauŸil ses moc \"
"16 x 16","16 x 16"
" tearing"," trh n¡"
"takes frequent interesting tangents","Ÿasto odb¡h  zaj¡mavìmi odboŸkami"
"Recover ","Z¡skat zpØt "
"games","hry"
"Your inventory","Tv…j invent ý"
"does not feel the slightest need to reciprocate favors that others do for ","nec¡t¡ sebemenç¡ potýebu opl cet laskavosti, kter‚ pro nØj ostatn¡ udØlaj¡ "
"the work","pr ce"
" marched on "," pochodovala na "
"provide opportunities for acts of valor","poskytovat pý¡le§itosti k hrdinskìm Ÿin…m"
"hero","hrdina"
"a lack of desire for vengeance","nedostatku touhy po pomstØ"
"or [C:6:0:1]Plants[C:7:0:0] there.  The number of [C:6:0:1]Drink[C:7:0:0] rations can be seen at the top of the screen.","nebo [C:6:0:1]Rostliny[C:7:0:0]. PoŸet z sob [C:6:0:1]N poj…[C:7:0:0] vid¡ç nahoýe na obrazovce."
"I feel rejected.","C¡t¡m se odm¡tnutì."
"[C:6:0:1]Hungry","[C:6:0:1]Hladovì"
"Legendary hero","Legend rn¡ hrdina"
"Workers dump skulls","Pracovn¡ci vyhazuj¡ lebky"
"anvil","kovadlina"
"suits of ","sady "
"Provide directions to ","Poskytnout smØr k "
"Espionage","æpion §"
"paternal grandfather","dØdeŸek z otcovy strany"
"processes","procesy"
"extremely long","extr‚mnØ dlouhì"
"Values decorum","Sluçn‚ chov n¡"
" bandit gang from "," banditsk  skupina z "
"viewed item in own display","prohl‚dl si pýedmØt ve vlastn¡m vystaven¡"
" created by "," vytvoýenì "
"Saving artifacts...","Ukl d n¡ artefakt…..."
"Thousands live there","¦ij¡ tam tis¡ce"
"is broad-bodied, muscular and fat","m  çirok‚, svalnat‚ a tlust‚ tØlo"
"Tower Top","Vrchol vØ§e"
"Leather Clothing Pit","Ko§en  odØvn¡ j ma"
"the Triangles","Troj£heln¡ky"
"Martial trance","Bojovì trans"
"Ask how strong this group's hold over its lands is","Zeptat se, jak siln  je kontrola t‚to skupiny nad jej¡ zem¡"
" (activity cancelled)"," (Ÿinnost zruçena)"
"State minor feeling of admiration","Vyj dýit m¡rnì obdiv"
"North","Sever"
"handwear","rukavice"
"abandoned (75,50,20), border (50,50,50)","opuçtØn‚ (75,50,20), okraj (50,50,50)"
"Broker cannot access depot","Obchodn¡k bez pý¡stupu na tr§içtØ"
"Loading belief systems...","NaŸ¡t n¡ vØrouk..."
"having pleased a noble","potØçen¡ çlechtice"
"greet","pozdravit"
" my neighbor."," m…j soused."
"withdrew from society","se st hl ze spoleŸnosti"
"Overall, this is a terrible compilation of information","CelkovØ je to hrozn  kompilace informac¡"
"being unaffected by the comments","nebyl ovlivnØn pozn mkami"
" is fine."," je dobrì."
"Easy shot","Snadnì vìstýel"
"Serve Customer","Poslu§ Z kazn¡kovi"
"a dispute over the ownership of ","sporu o vlastnictv¡ "
"Yes, let's go.","Ano, jdeme."
"Number of Non-Mountain Caves","PoŸet ne-horskìch jeskyn¡"
"no material","§ dnì materi l"
" as a dance form"," jako taneŸn¡ forma"
"Start a performance.  This can take several turns to complete.","ZaŸ¡t vystoupen¡. DokonŸen¡ m…§e trvat nØkolik tah…."
"an agreement to retrieve ","dohoda o vyzvednut¡ "
" sutures on "," stehy na "
"Get ","Vz¡t "
"skilled hunter","zruŸnì lovec"
" impaled on "," nap¡chnuto na "
"suicide drowned","sebevra§edn‚ utonut¡"
"Drop this item.","Upustit tento pýedmØt."
"I could not find anybody in charge to complain at.","Nenaçel jsem nikoho z veden¡, komu bych si postØ§oval."
"Hammer Lord","P n kladiva"
"the classification of alkali and acids","klasifikace z sad a kyselin"
"High willpower","Vysok  v…le"
"No controllable entity definitions available","Nejsou dostupn‚ definice ovladatelnìch entit"
"Before you can create a military, you must appoint a [C:5:0:0]Militia Commander[C:7:0:0] ","Ne§ m…§eç vytvoýit arm du, mus¡ç jmenovat [C:5:0:0]velitele milice[C:7:0:0] "
"is very frail with an extremely tall and skinny body","je velmi kýehkì, s extr‚mnØ vysokìm a hubenìm tØlem"
"would flee even the most necessary battle to avoid any form of physical confrontation","utekl by i z nejnutnØjç¡ bitvy, jen aby se vyhnul fyzick‚mu stýetu"
"You have nothing left to throw.","U§ nem te co h zet."
"Salt water [","Slan  voda ["
"You are bound to me!","Jsi ke mnØ pýipout n(a)!"
"prime divisors","prvoŸ¡seln‚ dØlitele"
"discourse on education","diskuze o vzdØl n¡"
"anguished","trìznØnì"
"Finish placing structures.","DokonŸit umisœov n¡ staveb."
"Subject revealed that in ","Subjekt odhalil, §e v "
"coasts","pobýe§¡"
"Sorting items...","Tý¡dØn¡ pýedmØt…..."
"Chop","K cet"
"Loading incidents...","NaŸ¡t n¡ incident…..."
"is assertive","je asertivn¡"
"Some [C:5:0:0]Administrators[C:7:0:0] will require [C:3:0:0]Offices[C:7:0:0] to perform their work. ","NØkteý¡ [C:5:0:0]Administr toýi[C:7:0:0] potýebuj¡ k pr ci vlastn¡ [C:3:0:0]Kancel ýe[C:7:0:0]. "
"Saving adventure data...","Ukl d n¡ dat dobrodru§stv¡..."
"Never Married","Nikdy ne§enatì / nevdan "
"Quits easily <-> Too stubborn","Snadno se vzd  <-> Pý¡liç tvrdohlavì"
"disastrous ","katastrof ln¡ "
"loyalty toward","loajalita v…Ÿi"
"a great deal of patience","velk  m¡ra trpØlivosti"
"yelling at somebody in charge","kýiŸel na nØkoho zodpovØdn‚ho"
" brought battle to "," pýinesl boj do "
"High kinesthetic sense","Vysokì kinestetickì smysl"
"burned up in a magma mist","shoýel v magmatick‚ mlze"
"Distressed","Utr penì"
"Crafts","üemesln  d¡lna"
"history:form:autobiographical adventure","historie:forma:autobiografick‚ dobrodru§stv¡"
"Page secondary selector down","Sekund rn¡ str nka dol…"
"The citizenship petition of ","Petice o obŸanstv¡ od "
"Not enough low altitude locations after erosion: ","Nedostatek n¡zkìch vìçek po erozi: "
"creation of a masterful illustration","vytvoýen¡ mistrovsk‚ ilustrace"
"Must embark on map.","Mus¡te vyrazit na mapØ."
"Loading a unit chunk","NaŸ¡t n¡ Ÿ sti jednotky"
"Siege Operating","Obsluha obl‚hac¡ch stroj…"
"You might want to check your preset elevations for the elevation 400.  ","Mo§n  bys mØl zkontrolovat pýednastaven‚ vìçky pro hodnotu 400. "
"Horizontal keyboard scroll tiles (world)","Horizont ln¡ posun kl vesnic¡ (svØt)"
"Legwear","Kalhoty"
"Armorsmith","Zbroj¡ý"
"Breath attack","étok dechem"
" has guzzled some "," vypil nØkolik "
"talking with a sibling","mluvil se sourozemcem"
"Could not find path","Nelze naj¡t cestu"
"The guides here will suggest other possible avenues of play. ","Pr…vodci zde v m navrhnou dalç¡ mo§n‚ zp…soby hran¡. "
"makes trills","dØl  trylek"
"You reorganize your possessions.","Pýeuspoý d ç sv‚ vØci."
"quatrain","kvartet"
"population of a few thousand","populac¡ nØkolika tis¡c"
"State minor feeling of regret","Vyj dýit m¡rnou l¡tost"
"unbelievably strong","neuvØýitelnØ silnì"
"in order to be brought to safety","aby byl dopraven do bezpeŸ¡"
" the rest of"," zbytek z"
"the cheese market","sìrovì trh"
" (not your values)"," (neodpov¡d  tvìm hodnot m)"
"How fragile we are...","Jak kýehc¡ jsme..."
"You tangle together and fall over!","Zamot te se do sebe a pad te!"
"camel","velbloud"
"unfortunate ","neçœastn‚ "
"Undead Hunt","Lov nemrtvìch"
"Diagnosis","Diagnostika"
"All of that practice is misspent effort.","Vçechna ta praxe je promarnØn  n maha."
"doctor","l‚kaýem"
"Ruins","Ruiny"
"succession","posloupnost"
"is tall, thin and very muscular","je vysokì, hubenì a velmi svalnatì"
"a poor dining room","çpatn‚ j¡delny"
"Elevation ","Nadmoýsk  vìçka "
"Dress wound","Oçetýit r nu"
"We banded up as ","Spojili jsme se jako "
"Dissection","Pitva"
".  Their aggressive order must not be allowed to flourish.",".  Jejich agresivn¡ ý d nesm¡ bìt ponech n r…st."
"the preparation and use of dedicated hospitals","pý¡prava a pou§¡v n¡ specializovanìch nemocnic"
"Considered a brawler","Pova§ovanì za rv Ÿe"
" drone pipes produce"," bourd¢nov‚ p¡çœaly vytv ýej¡"
"Pet","Mazl¡Ÿek"
"This is so embarrassing...","To je tak trapn‚..."
"embarrassed","rozpaŸitì"
"Storage path decrease (# of contained item cap)","Sn¡§en¡ cesty skladu (limit poŸtu ulo§enìch pýedmØt…)"
" bow is drawn across the string"," smyŸec je veden pýes strunu"
" facts surrounding case in order to elicit information."," fakta kolem pý¡padu, aby z¡skal(a) informace."
"This important zone is where your citizens will gather to socialize.  Crucially, the meeting area is where locations such as taverns, temples, hospitals, and the like are established.","Tato d…le§it  z¢na je m¡stem, kde se budou obŸan‚ sch zet ke spoleŸenskìm setk n¡m. Jde pýedevç¡m o hostince, chr my, nemocnice a podobnØ."
"Reasoning","Uva§ov n¡"
"How will you respond to the accusation?","Jak odpov¡ç na obvinØn¡?"
"good drink","dobrì n poj"
"(now)","(nyn¡)"
"You must reflect on your actions.","Mus¡ç se zamyslet nad svìmi Ÿiny."
" developed an athletic rivalry"," si vytvoýili atletickou rivalitu"
"combustible materials","hoýlav‚ materi ly"
"with the water's flow.","se smØrem toku vody."
"admire owned arranged building","obdivovat vlastn¡ upravenou budovu"
"Keyboardist","Klav¡rista"
"Extravagant","Extravagantn¡"
"Competent","Zp…sobilì"
"is grateful when others help ","je vdØŸnì, kdy§ mu ostatn¡ pomohou "
"Climate Zones","Klimatick  p sma"
"Trusts you","D…vØýuje ti"
"Claim your dead","Z¡skat sv‚ mrtv‚"
"the concept of death","koncept smrti"
" batters "," bije "
"exec buried alive","pohýben¡ za§iva"
"You've learned ","NauŸil jsi se "
"Cage small animal","D t mal‚ zv¡ýe do klece"
" cancels "," ruç¡ "
"Weapon ","Zbraå "
"Converting smoothing blueprint to regular","Pýevod pl nu vyhlazov n¡ na bØ§nì"
"Star Brightness","Jas hvØzd"
" to steal "," za £Ÿelem kr de§e "
"Current amount: ","Aktu ln¡ Ÿ stka: "
"I had an intellectual discussion with my spouse.","Vedl jsem intelektu ln¡ rozhovor se svìm partnerem."
"holds nature to be of greater value than most aspects of civilization","pova§uje pý¡rodu za cennØjç¡ ne§ vØtçinu aspekt… civilizace"
" feel"," c¡tit"
"I feel no hatred.","Nec¡t¡m nen vist."
"incredibly quick to heal","neuvØýitelnØ rychle se hoj¡"
"Tropical Ocean","Tropickì oce n"
"Inaccessible from first stop","Nedostupn‚ z prvn¡ zast vky"
"after being unable to wander","pot‚, co nemohl putovat"
"mole","krtek"
"I told the story of ","Vypr vØl jsem pý¡bØh o "
"narrative","pý¡bØh"
"Animal trap robbed","Past na zv¡ýe vykradena"
"I formed a bond with my animal training partner.","Vytvoýil jsem pouto se svìm cviŸnìm zv¡ýetem."
" when "," kdy§ "
"Tanner","Ko§eluh"
"often share an underlying meaning","Ÿasto sd¡lej¡ skrytì vìznam"
"active sermon promote value","aktivn¡ k z n¡ - prosazov n¡ hodnoty"
"This is humiliating.","Tohle je poni§uj¡c¡."
" vibrate, producing the sound of the instrument.]"," vibruj¡ a vytv ýej¡ zvuk n stroje.]"
"That doesn't make me unhappy.","To mØ neŸin¡ neçœastnìm."
" Track (NSEW)"," Cesta (S-J-V-Z)"
"very high","velmi vysokì"
"is weak, short and skinny","je slabì, malì a hubenì"
"You wish to make an offering?  We love gifts.","Chcete n m udØlat nab¡dku? Milujeme dary."
" looks around nervously and leans forward, speaking quietly."," se nerv¢znØ rozhl‚dne a naklon¡ se dopýedu, tiçe promluv¡."
" from father"," po otci"
"very strong","velmi silnì"
"Social Awareness","Soci ln¡ vn¡mavost"
" murdered "," zavra§dil "
"Tropical Freshwater Lake","Tropick‚ sladkovodn¡ jezero"
"a skilled hunter","zruŸnì lovec"
"or stirring up trouble with a neighboring hearth.  ","nebo vyvol n¡ pot¡§¡ se sousedn¡m domovem.  "
"the crystal lens","kýiçœ lov  ŸoŸka"
" maintains possession of the "," udr§uje dr§en¡ "
"surveying for engineering","in§enìrsk  geod‚zie"
"[C:7:0:0]No treatment scheduled","[C:7:0:0]¦ dn  l‚Ÿba nen¡ napl nov na"
"Claim this site for yourself and ","Zabrat toto m¡sto pro sebe a "
"Start Medical Aid","ZaŸ¡t l‚kaýskou pomoc"
"Resume construction","Obnovit stavbu"
"is incredibly tall and fat","je neuvØýitelnØ vysokì a tlustì"
"specks","skvrny"
" rhythm is made from "," rytmus je tvoýen "
"feeling hopeless","c¡t¡c¡ beznadØj"
"live ","§iv‚ "
"No charge attack: target shares your location","Nelze prov‚st vìpad: c¡l je na tv‚ pozici"
"State feelings of great interest","Vyj dýit velkì z jem"
"less open-minded","m‚nØ otevýenì"
"after seeing a great beast","po spatýen¡ velk‚ bestie"
"?  How curious...","? Jak podivn‚..."
" that tribute would no longer be offered "," §e tribut u§ nebude poskytov n "
"tree... life","strom... §ivot"
"admiration of power","obdiv k moci"
"Name this building.","Pojmenovat tuto budovu."
"aborted","pýeruçenìmi"
"legendary murderer","legend rn¡ vrah"
"Loading local animal populations...","NaŸ¡t n¡ m¡stn¡ch populac¡ zv¡ýat..."
" has claimed the position of "," pýihl sil se o pozici "
"sees romance as one of the highest ideals","pova§uje romantiku za jeden z nejvyçç¡ch ide l…"
"instrument","n stroj"
"No, I'm not grouchy.","Ne, nejsem mrzutì."
"Inspect the route.","Prohl‚dnout trasu."
"after dreaming of ","po snØn¡ o "
"Erase a portion of this zone.","Vymazat Ÿ st t‚to z¢ny."
"No messengers","¦ dn¡ poslov‚"
"The topic being written about is ","T‚ma, o kter‚m se p¡çe, je "
"Forbidden area","Zak zan  oblast"
"Mechanical Clocks","Mechanick‚ hodiny"
"is incredibly short, skinny and frail","je neuvØýitelnØ malì, hubenì a kýehkì"
"Drop Kill at Butcher","Odlo§it zabit‚ zv¡ýe u ýezn¡ka"
"Decent Study","Sluçn  pracovna"
", but what does that mean now?",", ale co to teÔ znamen ?"
"a wonderful drink","£§asn‚ho n poje"
"Do not be reckless.","NebezhlavØ neriskuj."
"the theory that the sun moves around the world","teorie, §e Slunce ob¡h  kolem svØta"
"thinks that the pursuit of the skills of warfare and fighting is a low pursuit indeed","pova§uje usilov n¡ o bojov‚ dovednosti za skuteŸnØ n¡zk‚"
" words"," slov"
"Right click on people to initiate conversations.  You can click the indicated button or press ","Kliknut¡m pravìm tlaŸ¡tkem myçi na lidi zah j¡ç rozhovor.  M…§eç kliknout na oznaŸen‚ tlaŸ¡tko nebo stisknout "
"It is freezing cold!","Je mraziv  zima!"
"That doesn't insult me.","To mØ neur §¡."
"bear","medvØd"
"Carpenter's Workshop","Truhl ýsk  D¡lna"
" ring"," prsten"
"Drink (animal)","N poje (zv¡ýata)"
"I got caught in dust underground.","Pod zem¡ mØ zas hl prach."
"egg","vejce"
"TOO MANY REGIONS","PüÖLIæ MNOHO REGIONÞ"
" (minor)"," (malì vliv)"
"'s cessation of tribute to "," zastavil tribut "
" is mangled beyond recognition.  "," je zohaven k nepozn n¡.  "
"Catch live fish","Chytit §ivou rybu"
"somewhat narrow","ponØkud £zkì"
"'s been surprised"," byl pýekvapen"
"  I am a little confused.","  Jsem trochu zmatenì/ ."
"I am not contented.","Nejsem spokojenì."
"For the most freedom.  All features are accessible but you'll receive no direction.","Pro nejvØtç¡ svobodu.  Vçechny prvky jsou dostupn‚, ale nedostanete § dn‚ veden¡."
"Optimistic","Optimistickì"
"the status","status"
"Here","Zde"
"How I long for civilization...","Jak tou§¡m po civilizaci..."
" (no temple)"," (§ dnì chr m)"
"Your citizens will eat at this zone.  When not assigned to a particular citizen, citizens without their own dining hall will eat here.  Tables and adjacent chairs should be included.","Vaçi obŸan‚ budou j¡st v t‚to z¢nØ. Pokud nen¡ pýidØleno konkr‚tn¡mu obŸanovi, stravuj¡ se zde obŸan‚ bez vlastn¡ j¡delny. SouŸ st¡ by mØly bìt stoly a §idle."
"surprising of","pýekvapen¡ "
"Ice Upward Track (SE)","Ledov  stoupaj¡c¡ cesta (J-V)"
"You have a room here, and you can stay longer if you like.","M ç tu pokoj a m…§eç z…stat d‚le, pokud chceç."
"a legendary","legend rn¡"
"Take the middle path.","Zvol stýedn¡ cestu."
"Fidelity","VØrnost"
"[Viewed]","[Zobrazeno]"
"I am awoken to ","Byl jsem probuzen k "
