"its","suo"
"I am returning it to ","Lo sto restituendo a "
"I will return it to ","Lo restituirï a "
"I am escaping from danger which threatened my former home.","Sto scappando dal pericolo che minacciava la mia precedente casa."
"I'm on an important mission.","Ho un'importante missione."
"I'm returning from my patrol.","Sto tornando dal pattugliamento."
"I'm just out for a stroll.","Sto solo facendo una passeggiata."
"I was just out for some water.","Ero solo andato a prendere un po' d'acqua."
"I was out visiting the temple.","Ero in visita al tempio."
"I was out visiting the shrine.","Ero in visita al santuario."
"I was just out at the tavern.","Ero fuori, alla locanda."
"I was out visiting the library.","Ero fuori a visitare la biblioteca."
"I'm walking my patrol.","Sto pattugliando."
"I'm going out for some water.","Vado a prendere dell'acqua."
"I'm going to visit the temple.","Vado a visitare il tempio."
"I'm going to visit the shrine.","Vado a visitare il santuario."
"I'm going out to the tavern.","Sto andando alla locanda."
"I'm going to visit the library.","Vado a visitare la biblioteca."
"I'm not planning a journey.","Non sto pianificando un viaggio."
" trades directly with no fewer than "," commercia direttamente con non meno di "
" other major settlements."," altri importanti insediamenti."
"  The largest of these is ","  Il pió grande di questi ä "
" engages in trade with "," commercia con "
"There are ","Ci sono "
" villages which utilize the market here."," villaggi che utilizzano il mercato qui."
"The villages ","I villaggi "
"The village ","Il villaggio "
" is the only other settlement to utilize the market here."," ä l'unico altro insediamento che usa questo mercato."
" utilize the market here."," utilizza il mercato qui."
"This place is insulated from the rest of the world, at least in terms of trade.","Questo luogo ä isolato dal resto del mondo, almeno in termini di commercio."
"The people of ","Il popolo di "
" go to "," vai a "
" to trade."," per commerciare."
" other villages which utilize the market there."," altri villaggi che utilizzano il mercato lç."
" is the only other settlement to utilize the market there."," ä l'unico altro insediamento che usa questo mercato."
" also utilize the market there."," anche loro usano il mercato lç."
"There's nothing organized here.","Non c'ä nulla di organizzato qui."
"Where?","Dove?"
"That's me.  I'm right here.","Sono io.  Sono proprio qui."
"Yes, master.  Ask and I shall obey.","Sç, padrone.  Chiedete e obbedirï."
"Ask me when I've returned to my home!","Chiedimelo quando sarï tornato a casa!"
"I'd rather not say.","Preferirei non dirlo."
"mother","madre"
"father","padre"
"parent","genitore"
"son","figlio"
"daughter","figlia"
"child","bambino"
"grandmother","nonna"
"grandfather","nonno"
"grandparent","nonno"
"grandchild","nipote"
"brother","fratello"
"sister","sorella"
"sibling","fratello"
"half-brother","fratellastro"
"half-sister","sorellastra"
"half-sibling","fratellastro"
"aunt","zia"
"uncle","zio"
"niece","nipote"
"nephew","nipote"
"cousin","cugino"
", is it really you?",", sei davvero tu?"
" as a means of torture"," come mezzo di tortura"
"Dear","Caro"
"Is it really you?","Sei davvero tu?"
" has returned"," ä tornato"
"An item has returned!","Un oggetto ä tornato!"
"I don't remember what I believe...","Non ricordo in cosa credo..."
"your very own","il vostro personale"
"get your","prendi il tuo"
"try","prova"
"authentic","autentico"
"real","reale"
"all the way","fino in fondo"
"clear","chiaro"
"the great","il grande"
"faraway","lontano"
"right here","proprio qui"
"fair","fiera"
"here","qui"
"!  Best price in town","! Il miglior prezzo in cittÖ"
"!  Limited supply","! Fornitura limitata"
"!  Today only","! Solo oggi"
"a village nearby","un villaggio nelle vicinanze"
"just outside town","appena fuori cittÖ"
"the surrounding area","l'area circostante"
" was "," era "
" were "," erano "
"tanned","conciato"
"cut","tagliato"
"made","fatto"
" right here in "," proprio qui in "
"town","paese"
"the settlements","gli insediamenti"
" out to the "," verso il "
"northwest","nord-ovest"
"northeast","nord-est"
"southwest","sud-ovest"
"southeast","sud-est"
"some of my kind ","alcuni dei miei simili "
"some of our kind ","alcuni dei nostri simili "
"out to the ","verso il "
"Great","Grande"
"Splendid","Splendido"
"Good","Buono"
"Decent","Decente"
"Fantastic","Fantastico"
"Excellent","Eccellente"
"right there","proprio lç"
"there","lç"
"Might I interest you in ","Posso tentarvi con "
"Are you interested in ","Siete interessati a "
"my good ","mio caro "
"man","uomo"
"woman","donna"
"person","persona"
"my friend","mio amico"
"Stop!  This isn't happening!","Basta!  Non ä possibile!"
"We yield!  We yield!","Ci arrendiamo!  Ci arrendiamo!"
"I yield!  I yield!","Mi arrendo!  Mi arrendo!"
"We will fight no more.","Non combatteremo pió."
"I will fight no more.","Non combatterï pió."
"Never!","Giammai!"
"You first, coward!","Prima tu, codardo!"
"Okay!  I'll do it.","D'accordo!  Lo farï."
" spits out "," sputa fuori "
"Over my dead body!","Sul mio cadavere!"
"I am compelled to continue!","Sono costretto a continuare!"
"You know, I think you're right.","Sai, credo che tu abbia ragione."
"I have been so foolish.  Yes, I agree.","Sono stato cosç sciocco.  Sç, sono d'accordo."
"Yes, I can see it clearly now.","Sç, ora lo vedo chiaramente."
"Maybe you're right.","Forse hai ragione."
"Although my own insignificant beliefs lie elsewhere,","Anche se le mie convinzioni insignificanti risiedono altrove,"
"Ignoring that I don't quite concur...  ","A parte il fatto che non sono del tutto d'accordo...  "
"Even if I don't change my mind,","Anche se non cambio idea,"
"Despite some minor reservations...  ","Nonostante alcune piccole riserve...  "
"Though I cannot agree fully on a slight technicality,","Anche se non posso essere pienamente d'accordo per un piccolo cavillo,"
"you are so clever I must concede!","sei proprio intelligente, devo ammetterlo!"
"I admire how brilliant you are!","Ammiro la tua genialitÖ!"
"I must say that is a truly insightful observation!","Devo dire che ä un'osservazione davvero perspicace!"
"I confess your stunning argument overwhelms me!","Confesso che la tua sbalorditiva argomentazione mi travolge!"
"I am overmastered by your presence!","Sono sopraffatto dalla vostra presenza!"
"we can both agree you are by far the most persuasive!","siamo entrambi d'accordo che sei di gran lunga il pió persuasivo!"
"no one can deny your genius!","nessuno puï negare il tuo genio!"
"you needn't indulge my trivial thoughts!","non devi assecondare i miei pensieri banali!"
"I am so nearly swayed by your greatness alone that we can simply assign you the victory!","Sono cosç influenzato dal tuo splendore che possiamo assegnarti la vittoria a tavolino!"
"Do I look like I need to calm down?!","Ti pare che abbia bisogno di calmarmi?!"
"  I'll show you calm!","  Ti mostrerï la calma!"
"  Get away from me!","  Allontanati da me!"
"You calm down!","Datti una calmata!"
"Spare me the compliments.","Risparmiami i complimenti."
"Don't tell me to calm myself.","Non dirmi di calmarmi."
"Thank you for your kind words.","Grazie per le tue gentili parole."
"You're right.  I need to relax.","Hai ragione.  Ho bisogno di rilassarmi."
"I assure you I am already calm.  Look to yourself.","Ti assicuro che sono giÖ calmo.  Guarda te stesso."
"Ha ha ha...  You're funny!","Ahahah...  Sei divertente!"
"Don't waste my time.","Non farmi perder tempo."
"You mock me?!","Ti prendi gioco di me?"
"Insufferable!","Insopportabile!"
"How dare you?!","Come ti permetti?"
"You dare to flatter me?!","Osi adularmi?"
"Base flattery!","Bassa adulazione!"
"  I will settle this my way.","  Risolverï la questione a modo mio."
"  This conversation is over.","  Questa conversazione ä finita."
"You insult me with your derision","Mi insulti con la tua derisione"
"You insult me with your flattery","Mi insulti con le tue adulazioni"
", but let us move on.",", ma andiamo avanti."
"Fine.  Let's drop the argument.","Bene.  Lasciamo perdere la discussione."
"Well, there must be something else to discuss.","Beh, ci dev'essere altro di cui discutere."
"If you insist so strongly, we can move on.","Se insisti cosç tanto, possiamo andare avanti."
"You are right.","Hai ragione."
"How gracious!","Che gentile!"
"Let's drop the argument.","Lasciamo perdere la discussione."
"There must be something else to discuss.","Ci dev'essere qualcos'altro di cui discutere."
"Let's move on.","Andiamo avanti."
"Yes, let's move on.","Sç, andiamo avanti."
"Ha!","AH!"
"Huh?","Ah?"
"Ack!","Noo!"
"Uh...","Uhm..."
"How unreasonable!","Che irragionevolezza!"
"Were you trying to make an argument?","Stavi cercando di litigare?"
"Give me a break.","Dammi tregua!"
"Are you being serious?","Stai facendo sul serio?"
"What?","Cosa?"
"Wait, what?","Aspetta, cosa?"
"What did you just say?","Cos'hai appena detto?"
"Forgive me, but","Perdonami, ma"
"Am I supposed to engage with that?","Dovrei impegnarmi con quello?"
"You must be joking.","Starai scherzando."
"I've heard it all now!","Adesso le ho sentite tutte!"
"That's absurd!","‘ assurdo!"
"that is the stupidest statement I have ever heard.","ä l'affermazione pió stupida che abbia mai sentito."
"don't waste my time with this drivel.","non farmi perdere tempo con queste sciocchezze."
"really, I've been over all this nonsense before.","davvero, ho giÖ affrontato certe assurditÖ."
"I couldn't follow your rambling.","Non riuscivo a seguire le tue farneticazioni."
"I'm having trouble taking you seriously.","Ho difficoltÖ a prenderti sul serio."
"nobody could possibly believe that.","nessuno ci potrebbe mai credere."
"it would amaze me if somebody actually thought that.","mi stupirebbe se qualcuno lo pensasse davvero."
"there's just no way you can believe something so stupid.","non ä possibile credere a una cosa cosç stupida."
"the things some people think just boggle the mind.","le cose che alcune persone pensano lasciano senza parole."
"you should keep your weird thoughts to yourself.","dovresti tenere per te i tuoi strani pensieri."
"that isn't at all convincing.","non ä affatto convincente."
"I'm appalled.","Sono sconcertato."
"Shameful.","Vergognoso."
"You're wrong.","Ti sbagli."
"Unbelievable.","Incredibile."
"Really.","Veramente."
"It's wrong.","‘ sbagliato."
"I guess I'm not sure.","Non credo di esserne sicuro."
"I don't know what to say.","Non so cosa dire."
"I don't want to argue.","Non voglio discuterne."
"I just don't know.","Non lo so."
"I disagree.","Non sono d'accordo."
"I cannot agree.","Non mi trovo d'accordo."
"That's wrong.","‘ sbagliato."
"That's not right.","Non ä giusto."
"I beg to differ.","Mi permetto di dissentire."
"Pause to consider.","Soffermati a considerare."
"You are thinking about this all wrong.","Ci stai pensando in modo sbagliato."
"Stop and reflect.","Fermati e rifletti."
"I don't agree.","Non sono d'accordo."
"Just think about it.","Pensaci."
"I sense you're wavering.","Sento che stai vacillando."
"I require a substantive reply.","Esigo una risposta concreta."
"You must be convinced.","Devi esserne convinto."
"No, I mean it.","No, sul serio."
"I must insist.","Devo insistere."
"Well, I believe...  something else.","Beh, credo... qualcos'altro."
"I believe...  something.","Credo... qualcosa."
"Help!  Save me!","Aiuto!  Salvatemi!"
"I must withdraw!","Mi devo ritirare!"
"I do not know!  My instructions come from ","Non lo so!  Le mie istruzioni provengono da "
"I have no master, but ","Non ho un padrone ma "
" sometimes has need for my services."," a volte ha bisogno dei miei servigi."
"I serve ","Servo "
"I serve no one.","Non servo nessuno."
" asks that I look past illicit acts in my official capacities"," mi chiede di guardare, in veste ufficiale, oltre gli atti illeciti compiuti"
" demands a portion of my official funds"," richiede una parte dei miei fondi ufficiali"
"I sent ","Ho mandato "
"ask that ","chiedilo "
"demand a portion of the official funds from ","richiedere una parte dei fondi ufficiali da "
"I asked that ","L'ho chiesto "
"I demand a portion of the official funds from ","Richiedo una parte dei fondi ufficiali da "
" sent me to "," mi ha mandato a "
" look past illicit acts"," guardare oltre gli atti illeciti"
" asked me"," mi ha chiesto"
"I asked ","Ho chiesto "
" told me to ask "," mi ha detto di chiedere "
" told me to tell "," mi ha detto di dire "
" to ask "," chiedere "
" to tell "," per dire "
"Through ","Attraverso "
"I told ","Ho detto "
" was asked"," ä stato chiesto"
" to grant an important position"," per concedere un'importante posizione"
" when one came available."," quando ä disponibile."
" engaged me to obtain "," mi ha incaricato di ottenere "
" to engage "," impegnarsi "
"I engaged ","Mi sono impegnato "
" to obtain "," ottenere "
" sent me to engage "," mi ha incaricato di "
" engaged me to assassinate "," mi ha ingaggiato per assassinare "
" engaged me to abduct "," mi ha ingaggiato per sequestrare "
" engaged me to sabotage the activities of "," mi ha ingaggiato per sabotare le attivitÖ di "
" engaged me to infiltrate "," mi ha ingaggiato per infiltrarmi "
"I decided to frame ","Ho deciso d'incastrarlo "
" engaged me to frame "," mi ha ingaggiato per incastrare "
" engaged to induce a war of "," ingaggiato per indurre una guerra di "
"I do not scheme.","Non sto tramando."
"You just aren't as convincing as you think you are.","Non sei cosç convincente come pensi di essere."
"You must think you're really frightening.","Devi pensare di essere davvero spaventoso."
"I have nothing to say to you.","Non ho nulla da dirvi."
"Fool!","Sciocco!"
"What is this madness?  Calm yourself!","Cos'ä questa follia?  Calmati!"
"You flinch.","Sussulti."
" flinches."," sussulta."
"You are unperturbed.","Sei imperturbabile."
" appears unperturbed."," sembra imperturbato."
"That was compelling!","‘ stato avvincente!"
" appears to acquiesce."," sembra acconsentire."
"It is not convincing.","Non ä convincente."
" appears unconvinced."," non sembra convinto."
"called the ","detto il "
" is one of the fundamental dance moves.  "," ä una delle fondamentali mosse di danza.  "
" the fundamental dance move.  "," la mossa di danza fondamentale.  "
" the fundamental dance position.  "," la posa di danza fondamentale.  "
" is one of the fundamental dance positions.  "," ä una delle fondamentali pose di danza.  "
"First, ","Innanzitutto, "
"Finally, ","Alla fine, "
"Then ","Dopo "
"There","Lç"
" should be"," dovrebbe essere"
" a series of "," una serie di "
" graceful"," grazioso"
" serene"," sereno"
" calm"," calmo"
" grotesque"," grottesco"
" crude"," grezzo"
" refined"," raffinato"
" understated"," sminuito"
" delicate"," delicato"
" elaborate"," elaborato"
" expressive"," espressivo"
" strong"," forte"
" large"," largo"
" weightless"," leggerissimo"
" fluid"," fluido"
" undulating"," ondulato"
" soft"," morbido"
" jerking"," scattante"
" sharp-edged"," tagliente"
" straight-lined"," rettilineo"
" high"," al"
" low"," bass"
" loudly percussive"," fortemente percussivo"
" softly percussive"," dolcemente percussivo"
" aborted"," interrotto"
" partially realized"," parzialmente realizzato"
" energetic"," energetico"
" passionate"," appassionato"
" vivacious"," vivace"
" joyous"," gioioso"
" proud"," fiero"
" flamboyant"," appariscente"
" lively"," brillante"
" spirited"," animato"
" vigorous"," vigoroso"
" intense"," intenso"
" aggressive"," aggressivo"
" powerful"," potente"
" sluggish"," fiacco"
" relaxed"," rilassato"
" passive"," passivo"
" subtle"," acuto"
" sensual"," sensuale"
" debauched"," dissoluto"
" twisting"," contorcendo"
" sprightly"," arzillo"
" sinuous"," sinuoso"
" repeated"," ripetuto"
" counterclockwise"," in senso antiorario"
" clockwise"," in senso orario"
" eighth"," ottavo"
" quarter"," quarto"
" half"," mezzo"
" steps in a square pattern"," passi in uno schema quadrato"
" steps in a circular pattern"," passi in uno schema circolare"
" steps in a triangle pattern"," passi in uno schema a triangolo"
" steps in a figure-eight pattern"," passi in uno schema a otto"
" steps in an intricate pattern"," passi in uno schema intricato"
" move"," muoversi"
" turn"," girare"
" facial expression"," espressione facciale"
" hand gesture"," cenno con la mano"
" straight walk"," cammino dritto"
" curved walk"," cammino curvo"
" run"," corsa"
" leap"," balzo"
" kick"," calcio"
" left kick"," clic sinistro"
" right kick"," clic destro"
" leg lift"," solleva gamba"
" left leg lift"," solleva gamba sinistra"
" right leg lift"," solleva gamba destra"
" body level"," livello corporeo"
" body level change"," variazione del livello corporeo"
" arm carriage"," trasporto a mano"
" raised left arm"," braccio sinistro alzato"
" raised right arm"," braccio destro alzato"
" raised arm"," braccio alzato"
" spin"," ruota"
" independent body movement"," movimento indipendente del corpo"
" sway"," "
" forward bend"," piegamento in avanti"
" backward bend"," piegamento all'indietro"
" leftward bend"," curva a sinistra"
" rightward bend"," curva a destra"
" footwork"," gioco di gambe"
" movement along the line of dance"," movimento sulla falsariga di danza"
" shadowed"," ombreggiato"
" performed in succession"," eseguiti in successione"
" performed in retrograde"," eseguito in retrogrado"
" mirrored"," specchiato"
" by group members"," dai membri del gruppo"
" from the lead"," dalla guida"
" from the follower"," dal seguace"
" with"," con"
" is a "," ä un "
"sacred","sacro"
" group"," gruppo"
"group ","gruppo "
"celebration","celebrazione"
"participation","partecipazione"
"social","sociale"
"performance","esibizione"
" partner"," compagno"
"war","guerra"
" for a single pair"," per una sola coppia"
" dancers"," danzatori"
" pairs"," coppie"
" originating in "," originari di "
" which grew out of the performances of "," che ä nato dalle esibizioni di "
" originally devised by "," originariamente ideato da "
"The form guides dancers during improvised performances.  ","La forma guida i danzatori durante le esibizioni improvvisate.  "
"The rules of the form are applied by choreographers to produce individual dances which can be performed.  ","Le regole della forma sono applicate dai coreografi per produrre danze individuali che possono essere eseguite.  "
" as the dancers act out "," mentre i danzatori recitano "
"The dance is accompanied by ","La danza ä accompagnata da "
" as the dancer acts out "," mentre il danzatore recita "
"any composition of ","qualsiasi composizione di "
"The dancers perform ","I danzatori si esibiscono in "
"turning counterclockwise","ruotando in senso antiorario"
"The dancer performs ","Il danzatore si esibisce "
"loosely mingled","mescolati alla rinfusa"
"in a double circle","in un doppio cerchio"
"in a circle","in cerchio"
"in several lines","su pió righe"
"in a single line","su singola riga"
"along an intricate path","lungo un percorso intricato"
"along an improvised path","lungo un percorso improvvisato"
"along a counterclockwise circle","lungo un cerchio in senso antiorario"
"along a clockwise circle","lungo un cerchio in senso orario"
"turning clockwise","ruotando in senso orario"
", moving ",", in movimento "
"very slowly ","molto lentamente "
"slowly ","lentamente "
"slower and slower ","sempre pió lento "
"faster and faster ","sempre pió veloce "
"quickly ","rapidamente "
"very quickly ","molto rapidamente "
"to the music's ","alla musica "
" rhythm"," ritmo"
"with the music","con la musica"
"The partners ","I compagni "
"maintain open contact","mantieni un contatto aperto"
"dance closely","danza vicino"
", communicating intent ",", comunicando intento "
" constantly"," costantemente"
" briefly"," brevemente"
"by pulling away","allontanandosi"
"constantly ","costantemente "
"briefly ","brevemente "
"through touch","attraverso il tatto"
"through a light touch","attraverso un tocco leggero"
"through visual cues","attraverso spunti visivi"
"through spoken cues","attraverso spunti vocali"
"There are partner changes throughout the dance ","Ci sono cambi di compagno durante la danza "
"with the lead turning out counterclockwise","con il filo che gira in senso antiorario"
"with the lead turning out clockwise","con il filo che gira in senso orario"
"with the lead advancing against the main line of motion","con il filo che avanza contro la linea di movimento principale"
"with the lead advancing along the main line of motion","con il filo che avanza lungo la linea principale di movimento"
"The dancers imitate the movement of the ","I danzatori imitano il movimento del "
"This dance is a refined artform, with ","Questa danza ä una raffinata forma d'arte, con "
" special position"," posizione speciale"
" specific move"," mossa specifica"
" to be mastered.  "," essere padroneggiata.  "
"The entire dance has a basic movement ","L'intera danza ha un movimento di base "
"The","La"
" dance is"," danza ä"
" dance is punctuated by "," danza ä punteggiata da "
"graceful","grazioso"
"serene","sereno"
"calm","calma"
"grotesque","grottesco"
"crude","grezzo"
"refined","raffinato"
"understated","sottovalutato"
"delicate","delicato"
"elaborate","elaborato"
"expressive","espressivo"
"strong","forte"
"large","grande"
"weightless","senza peso"
"fluid","fluido"
"undulating","ondulato"
"soft","morbido"
"jerking","scattante"
"sharp-edged","tagliente"
"straight-lined","rettilineo"
"high","alto"
"low","basso"
"loudly percussive","fortemente percussivo"
"softly percussive","delicatamente percussivo"
"aborted","interrotto"
"partially realized","parzialmente realizzato"
"energetic","energico"
"vivacious","vivace"
"joyous","gioioso"
"flamboyant","appariscente"
"lively","animato"
"spirited","animato"
"vigorous","vigoroso"
"intense","intenso"
"aggressive","aggressivo"
"powerful","potente"
"sluggish","fiacco"
"relaxed","rilassato"
"passive","passivo"
"subtle","acuto"
"sensual","sensuale"
"debauched","dissoluto"
"twisting","torsione"
"sprightly","arzillo"
"sinuous","sinuoso"
"repeated ","ripetuto "
"counterclockwise ","in senso antiorario "
"clockwise ","in senso orario "
"eighth ","ottavo "
"quarter ","quarto "
"half ","mezzo "
"turns","giri"
"facial expressions","espressioni facciali"
"hand gestures","gesti delle mani"
"curved walks","cammini curvi"
"runs","corse"
"leaps","balzi"
"kicks","calci"
"left kicks","calci sinistri"
"right kicks","calci destri"
"leg lifts","sollevamenti delle gambe"
"left leg lifts","sollevamenti della gamba sinistra"
"right leg lifts","sollevamenti della gamba destra"
"body level","livello corporeo"
"body level changes","cambiamenti a livello corporeo"
"arm carriage","trasporto a mano"
"raised left arms","braccia sinistre alzate"
"raised arms","braccia alzate"
"spins","roteazioni"
"independent body movement","movimento indipendente del corpo"
"sway","oscillare"
"forward bends","piegamenti in avanti"
"backward bends","piegamenti all'indietro"
"leftward bends","piegamenti verso sinistra"
"rightward bends","piegamenti verso destra"
"footwork","lavoro di piedi"
"movement along the line of dance","movimento sulla falsariga di danza"
" of the lead"," della guida"
" of the follower"," dei seguaci"
", with ",", con "
"partially realized ","parzialmente realizzato "
"aborted ","interrotto "
"large ","grande "
"moves","si muove"
"movement ","movimento "
"shadowed","oscura"
"performed in succession","eseguita in successione"
"performed in retrograde","eseguita in retrogrado"
"mirrored","specchiato"
"The dance begins with the ","La danza comincia con il "
"The dance enters a new section with the ","La danza entra in una nuova sezione con il "
"next ","prossimo "
"passage","passaggio"
"introduction","introduzione"
"exposition","esposizione"
"recapitulation","riepilogo"
"synthesis","sintesi"
"verse","verso"
"chorus","coro"
"bridge-passage","bridge"
"variations","variazioni"
" of the music.  "," della musica.  "
" section is distinct.  "," sezione ä distinta.  "
"to the ","alla "
"creature","creatura"
"There are partner changes ","Ci sono cambi di compagno "
"There is a basic movement ","C'ä un movimento di base "
"This","Questa"
" section is"," sezione ä"
" section is punctuated by "," sezione ä punteggiata da "
"negative ","negativo "
"one","uno"
"two","due"
"three","tre"
"four","quattro"
"five","cinque"
"six","sei"
"seven","sette"
"eight","otto"
"nine","nove"
"ten","dieci"
"eleven","undici"
"twelve","dodici"
"thirteen","tredici"
"fourteen","quattordici"
"fifteen","quindici"
"sixteen","sedici"
"seventeen","diciassette"
"eighteen","diciotto"
"nineteen","diciannove"
" billion"," miliardo"
" million"," milione"
" thousand"," mille"
" hundred"," cento"
"twenty","venti"
"thirty","trenta"
"forty","quaranta"
"fifty","cinquanta"
"sixty","sessanta"
"seventy","settanta"
"eighty","ottanta"
"ninety","novanta"
"Negative ","Negativo "
"Zeroth","Zeresimo"
"First","Primo"
"Second","Secondo"
"Third","Terzo"
"Fourth","Quarto"
"Fifth","Quinto"
"Sixth","Sesto"
"Seventh","Settimo"
"Eighth","Ottavo"
"Ninth","Nono"
"Tenth","Decimo"
"Eleventh","Undicesimo"
"Twelfth","Dodicesimo"
"Thirteenth","Tredicesimo"
"Fourteenth","Quattordicesimo"
"Fifteenth","Quindicesimo"
"Sixteenth","Sedicesimo"
"Seventeenth","Diciassettesimo"
"Nineteenth","Diciannovesimo"
"The impertinent lava has defaced a ","La lava impertinente ha deturpato una "
"The impertinent magma has defaced a ","Il magma impertinente ha deturpato una "
" merchant company from "," compagnia di mercanti da "
"A ","Una "
" sculpture has melted!"," scultura si ä sciolta!"
"Digging designation cancelled: warm stone located.","Designazione di scavo annullata: pietra calda individuata."
"Digging designation cancelled: damp stone located.","Designazione di scavo annullata: pietra umida individuata."
"Item submission failed: service unavailable.","Invio oggetto fallito: servizio non disponibile."
"Shop","Negozio"
"Trade Depot","Deposito commerciale"
"Nest","Nido"
"Nest Box","Nido artificiale"
"Offering Place","Luogo d'offerta"
"Wagon","Carro"
"Carpenter's Workshop","Bottega del Carpentiere"
"Farmer's Workshop","Bottega del Contadino"
"Craftsman","Artigiano"
"'s Forge","Forgia"
"Magma Forge","Forgia di magma"
"'s Workshop","Bottega di "
"Siege Workshop","Bottega delle Armi d'assedio"
"Leather Works","Pelletteria"
"Clothier","Confezionista"
"'s Shop","Negozio di"
"Tool","Strumento"
"Workshop","Bottega"
"Farm Plot","Terreno agricolo"
"Glass Furnace","Forno per Vetro"
"Wood Furnace","Fornace a legna"
"Magma Smelter","Fonderia di magma"
"Magma Glass Furnace","Forno di Magma per Vetro"
"Magma Kiln","Forno di Magma"
"Furnace","Fornace"
"Pressure Plate","Piastra a pressione"
"Cage Trap","Trappola a Gabbia"
"Stone-Fall Trap","Trappola a caduta di pietre"
"Weapon Trap","Trappola ad armi"
"Track Stop","Fermata Binario"
"Trap","Trappola"
"Siege Engine","Macchina d'assedio"
"Floor Hatch","Botola"
"Wall Grate","Grata a parete"
"Floor Grate","Grata a pavimento"
"Vertical Bars","Sbarre verticali"
"Floor Bars","Sarre a pavimento"
"Restraint","Contenzione"
"Gear Assembly","Gruppo ingranaggi"
"Horizontal Axle","Asse orizzontale"
"Vertical Axle","Asse verticale"
"Upright Spear/Spike","Lancia/punta dritta"
"Archery Target","Bersaglio di tiro con l'arco"
"Screw Pump","Pompa a vite"
"Water Wheel","Ruota idraulica"
"Burial Receptacle","Recipiente per sepoltura"
"Seat","Seduta"
"Animal Trap","Trappola per animali"
"Weapon Rack","Rastrelliera per armi"
"Armor Stand","Supporto per armatura"
"Container","Contenitore"
"Traction Bench","Panca di trazione"
"Dirt Road","Strada sterrata"
"Paved Road","Strada selciata"
"Glass Window","Finestra di vetro"
"Gem Window","Finestra di gemme"
"Stockpile","Scorta"
"Up Stair","Scala in Su"
"Down Stair","Scala in Gió"
"Up/Down Stair","Scala in Su/Gió"
"Track (N)","Binario (N)"
"Track (S)","Binario (S)"
"Track (E)","Binario (E)"
"Track (W)","Binario (O)"
"Track (NS)","Binario (NS)"
"Track (NE)","Binario (NE)"
"Track (NW)","Binario (NO)"
"Track (SE)","Binario (SE)"
"Track (SW)","Binario (SO)"
"Track (EW)","Binario (EO)"
"Track (NSE)","Binario (NSE)"
"Track (NSW)","Binario (NSO)"
"Track (NEW)","Binario (NEO)"
"Track (SEW)","Binario (SEO)"
"Track (NSEW)","Binario (NSEO)"
"Track/Ramp (N)","Binario/Rampa (N)"
"Track/Ramp (S)","Binario/Rampa (S)"
"Track/Ramp (E)","Binario/Rampa (E)"
"Track/Ramp (W)","Binario/Rampa (O)"
"Track/Ramp (NS)","Binario/Rampa (NS)"
"Track/Ramp (NE)","Binario/Rampa (NE)"
"Track/Ramp (NW)","Binario/Rampa (NO)"
"Track/Ramp (SE)","Binario/Rampa (SE)"
"Track/Ramp (SW)","Binario/Rampa (SO)"
"Track/Ramp (EW)","Binario/Rampa (EO)"
"Track/Ramp (NSE)","Binario/Rampa (NSE)"
"Track/Ramp (NSW)","Binario/Rampa (NSO)"
"Track/Ramp (NEW)","Binario/Rampa (NEO)"
"Track/Ramp (SEW)","Binario/Rampa (SEO)"
"Track/Ramp (NSEW)","Binario/Rampa (NSEO)"
"Construction","Costruzione"
"Display Furniture","Mobile da esposizione"
"Vacant Shop","Negozio vacante"
"Exotic Clothing Shop","Negozio d'abbigliamento esotico"
"Clothing Shop","Negozio d'abbigliamento"
"Crafts Market","Mercato di Oggetti d'artigianato"
"General Store","Emporio"
"I feel passion.","Provo passione."
"I feel regret.","Provo rammarico."
"Activity Zone #","Zona di attivitÖ #"
" Lever"," Leva"
"Custom Workshop","Bottega personalizzata"
" Door"," Porta"
" Floor Hatch"," Botola"
" Floor Grate"," Grata a pavimento"
"Vertical ","Verticali "
" Bars"," Barre"
" Floor Bars"," Sbarre a pavimento"
" Floodgate"," Paratoia"
" Rope"," Corda"
" Chain"," Catena"
"Shared","Condiviso"
"Rough ","Ruvido "
" Archery Target"," Bersaglio di tiro con l'arco"
" Gear Assembly"," Gruppo ingranaggi"
" Rollers"," Rulli"
"Horizontal ","Orizzontale "
" Axle"," Asse"
" Support"," Supporto"
" Pillar"," Pilastro"
"Upright ","Eretto "
"Retracted ","Ritirato "
"Spears","Lance"
"Spears/Spikes","Lance/Spuntoni"
" Casket"," Bara"
" Sarcophagus"," Sarcofago"
" Coffin"," Feretro"
" Chair"," Sedia"
" Throne"," Trono"
" Animal Trap"," Trappola per animali"
" Table"," Tavolo"
" Cabinet"," Armadietto"
" Weapon Rack"," Rastrelliera per armi"
" Armor Stand"," Supporto per armatura"
" Box"," Scatola"
" Coffer"," Forziere"
" Chest"," Cassa"
"Dirt","Sporco"
" Road"," Strada"
" Bridge"," Ponte"
" Statue"," Statua"
" Slab"," Lastra"
"Glass","Vetro"
" Window"," Finestra"
"Armor ","Armatura "
"Weapon ","Arma "
"Animal ","Animale "
"Food ","Cibo "
"Furniture ","Mobile "
"Corpse ","Cadavere "
"Refuse ","Rifiuti "
"Stone ","Pietra "
"Ammo ","Munizione "
"Coins ","Monete "
"Bar/Block ","Barra/Blocco "
"Gem ","Gemma "
"Finished Goods ","Prodotti Finiti "
"Leather ","Cuoio "
"Cloth ","Stoffa "
"Wood ","Legna "
