"more presumptious","aanmatigender"
"Armor ","Pantser "
"stammers when ","stottert wanneer "
"Constant training","Voortdurende training"
"be stately","statig zijn"
"a series of ","een reeks van "
"food storage ","voedselopslag "
"is fat and very tall","is dik en zeer lang"
" stanza"," strofe"
"was crushed under a collapsing ceiling","werd verpletterd onder een instortend plafond"
"The beats are named ","De tellen heten "
"Soil","Grond"
"boiling filth","kokende viezigheid"
"Change the frequency that the conditions are checked.","Wijzig hoe vaak de voorwaarden worden gecontroleerd."
"broke even","speelde quitte"
"I had a bath with soap!","Ik nam een bad met zeep!"
"rumored flatterer","vermeende vleier"
"stopped being the father of","niet langer de vader van"
"Collect clay","Klei verzamelen"
"discourse on the nature of time","verhandeling over de aard van tijd"
"[C:7:0:1]Crutch required","[C:7:0:1]Kruk vereist"
"Chain Drives","Kettingaandrijvingen"
"You no longer assume a submissive posture.","Je neemt niet langer een onderdanige houding aan."
"is selected","is geselecteerd"
"geography:theory:origin of rainfall from evap condense","geografie:theorie:oorsprong van regenval door verdamping en condensatie"
"SMALL ISLAND","KLEIN EILAND"
"[C:6:0:1]Placed in traction","[C:6:0:1]In tractie geplaatst"
"Refuse ","Afval "
" corrupted "," corrupt "
"most high priests","de meeste hogepriesters"
"slightly sunken","licht ingevallen"
"Strike","Slaan"
" grotesque"," grotesk"
"Ice Upward Track (NEW)","IJsspoor omhoog (NOW)"
"the water cycle","de waterkringloop"
"been found dead, badly crushed.","dood gevonden, zwaar verpletterd."
" with a shameworthy performance."," met een beschamende uitvoering."
"very long ","zeer lang "
"Bled to death","Doodgebloed"
"No charge attack: target is on the ground","Geen stormaanval: doelwit ligt op de grond"
"State feelings of frustration","Frustration uiten"
"The written portion consists of ","Het geschreven deel bestaat uit "
"started working at","begon te werken bij"
"is long with a frail body","is lang met a kwetsbaar body"
" (to "," (naar "
"finely-crafted","vakkundig vervaardigd"
"Resentful","Wrokkig"
" is conflicted by this for more than one reason"," is hierover om meer dan ‚‚n reden innerlijk verdeeld"
"the concealment of ","het verbergen van "
"could afford to learn a lesson or two, though open conflict would be unwise.","zou best een lesje kunnen leren, al zou openlijk conflict onverstandig zijn."
"punished somebody with tool","strafte iemand met gereedschap"
"at ","bij "
"I am consumed by hatred.","Ik word verteerd door haat."
"more fearless","onverschrokkener"
"passage","doorgang"
", but now this stands between us.",", maar nu staat dit tussen ons in."
"Land's status elevated","Status van land verhoogd"
"State minor feeling of repentance","Licht gevoel van repentance uiten"
"Mouse-context scrollbar up","Muiscontext schuifbalk omhoog"
"Pet loses dead owner","Huisdier verliest overleden eigenaar"
"known preserver of knowledge","bekende behoeder van kennis"
"medicine:method:autopsy","geneeskunde:methode:autopsie"
"Forest region count fails by ","Telling bosregio mislukt met "
"Humorless","Humorloos"
"How may I serve you?","Waarmee kan ik je van dienst zijn?"
"Site Cap After Civ Creation","Locatielimiet na beschavingsaanmaak"
"Enjoyment","Genot"
"is consumed by overpowering feelings of jealousy","wordt verteerd door overweldigende gevoelens van jaloezie"
"the end of the former membership of","het einde van het voormalige lidmaatschap van"
"a storyteller, or at least tells stories","een verhalenverteller, of vertelt tenminste verhalen"
"No relationships","Geen relaties"
"considering demand","eis overwegen"
"[C:6:0:0].Moderate bruising","[C:6:0:0].Matige kneuzing"
"No witnesses","Geen getuigen"
"I was unable to request weapon production.","Ik kon geen wapenproductie aanvragen."
"Finish setting tree chopping orders.","Boomkapopdrachten instellen voltooien."
"near favorite animal","bij lievelingsdier"
"Must be inside","Moet binnen zijn"
"statue","standbeeld"
"Foiled Bribery Conspiracy","Verijdelde omkopingssamenzwering"
"Subterranean Magma","Ondergronds magma"
"Number of beasts","Aantal beesten"
"is short and very skinny","is kort en zeer mager"
"Toggle cloud view.","Wolkenweergave wisselen."
"There is a long-ranging patrol ","Er is een verre patrouille "
"Fail the struggle against great horror","Verlies de strijd tegen grote afschuw"
"on the floor ","op de vloer "
"Ah, wonderful.  Thank you for your business.","Ah, prachtig. Dank voor je klandizie."
"Change standard selections to blueprints.","Wijzig standaardselecties naar blauwdrukken."
"Dismiss minor feeling of anguish","Licht gevoel van zielsangst wegwuiven"
"sharing a personal insight with an acquaintance","een persoonlijk inzicht delen met een kennis"
"entertaining citizens and visitors.","burgers en bezoekers vermaken."
"unmet needs","onvervulde behoeften"
"State minor feeling of gaiety","Licht gevoel van vrolijkheid uiten"
"You can also demand your opponent yield using a conversation option. ","Je kunt je tegenstander ook via een gespreksoptie eisen dat hij/zij zich overgeeft. "
", moving "," verplaatst "
"Evil cloud","Kwade wolk"
" to the living world"," naar de levende wereld"
"Unknown convict.","Onbekende veroordeelde."
"Deceased","Overleden"
"ABORT NOW and I'll look over my parameters.","NU AFBREKEN en ik kijk mijn parameters na."
"I was cried on by an unhappy citizen.","Een ongelukkige burger huilde tegen mij uit."
"ethics as applied to war","ethiek toegepast op oorlog"
"Types of Muscles","Soorten spieren"
"deeply sunken","diep ingevallen"
"Acknowledge lack of aggravation","Gebrek aan ergernis erkennen"
"Monster slayer","Monsterdoder"
"Assume Control","Controle overnemen"
"Major River: ","Grote rivier: "
"Affects response to jokes.","Be‹nvloedt de reactie op grappen."
"[C:3:0:1]Stunned","[C:3:0:1]Verdoofd"
"number","nummer"
"is impervious to the effects of stress","is ongevoelig voor de effecten van stress"
"raucous","luidruchtig"
"handler","verzorger"
"It's such a pleasure to serve you.","Het is zo'n genoegen je van dienst te zijn."
"There's nothing to be indignant about.","Er is niets om verontwaardigd over te zijn."
"situation","situatie"
"was killed by spikes","werd door spiesen gedood"
"Outdoor access","Toegang tot buiten"
"due to a shared scholarly interest","vanwege een gedeelde wetenschappelijke interesse"
"This is truly horrifying.","Dit is werkelijk afschuwelijk."
"You can recognize a high priest when this is a temple complex.","Je kunt een hogepriester herkennen zodra dit een tempelcomplex is."
"Types of Nerves","Soorten zenuwen"
"in order to pursue scholarship","om wetenschap na te streven"
"fathom you ending up with the items you desire.","begrijpen dat je uiteindelijk de voorwerpen krijgt die je verlangt."
"There is a great keep there","Daar staat een grote burcht"
"treachery","verraad"
" numerous series of"," talrijke reeksen van"
"I am so grateful!","Ik ben zo dankbaar!"
"Verbally struggle against terror","Verbaal tegen terreur strijden"
"added a masterful handle","voegde een meesterlijk handvat toe"
"Blood of the living (sensed)","Bloed van de levenden (waargenomen)"
"You can place floors for functional reasons or to enhance the appearance of the fortress.  Requires boulder, block, or wood.","Je kunt vloeren plaatsen om functionele redenen of om het uiterlijk van het fort te verbeteren. Vereist rotsblok, blok of hout."
"been found solidified.","gestold gevonden."
"Don't update","Niet bijwerken"
"Placing megabeasts...","Megabeesten plaatsen..."
"It is noon.","Het is middag."
"clear glass","helder glas"
"exec burned alive","executie levend verbrand"
"the dissolution of ","de ontbinding van "
"the display of war and hunting trophies","het tentoonstellen van oorlogs- en jachttrofee‰n"
"Spread rumor of the insurrection","Verspreid gerucht over de opstand"
"covering","bedekking"
"[C:7:0:1]Shelter[C:7:0:0]","[C:7:0:1]Beschutting[C:7:0:0]"
"Very Low","Zeer laag"
"The sun will set soon.  Be careful that the bogeyman doesn't get you.","De zon zal spoedig ondergaan. Pas op dat de boeman je niet te pakken krijgt."
"You have discovered a river.","Je hebt een rivier ontdekt."
" through "," door "
"sharing one of mother's personal insight","het delen van een persoonlijk inzicht van moeder"
"Set hunter ammunition","Jagersmunitie instellen"
"Wind Instrumentalist","Blaas Instrumentalist"
"examples of triples of small whole numbers which, when taken together, are the lengths of the sides of a right triangle","voorbeelden van drietallen kleine gehele getallen die samen de lengten van de zijden van een rechthoekige driehoek vormen"
"Infamous enemy fighter","Beruchte vijandelijke strijder"
"torturing ","martelen "
"famous protector of the weak","beroemde beschermer van de zwakken"
"You butcher ","Je slacht "
"an initial caesura","een eerste cesuur"
"Background","Achtergrond"
" planted"," geplant"
"Finish Game","Spel be‰indigen"
"the water-powered sawmill","de door water aangedreven zaagmolen"
"Do this by selecting [C:5:0:1]Workshops[C:7:0:0] -> [C:5:0:1]Farming[C:7:0:0] -> [C:5:0:1]Fishery[C:7:0:0].","Doe dit door [C:5:0:1]Werkplaatsen[C:7:0:0] -> [C:5:0:1]Landbouw[C:7:0:0] -> [C:5:0:1]Visserij[C:7:0:0] te selecteren."
" since "," sinds "
"Dismount","Afstijgen"
"Alternatively, you can reduce the number of mid-level elevation squares required.","Als alternatief kun je het aantal vereiste middelhoge vakken verlagen."
"bruising","kneuzing"
"hated","gehaat"
"mud","modder"
" broke up"," ging uit elkaar"
"the burning of ","het verbranden van "
"Unknown book","Onbekend boek"
"been found boiled.","kokend gevonden."
"Former prisoner","Voormalige gevangene"
"Do this if you want to keep the old save.","Doe dit als je de oude opslag wilt behouden."
" reciting nonsensical words and sounds"," het voordragen van nonsenswoorden en -klanken"
"Bowmaking Workshop","Bogenmakerswerkplaats"
"is stout","is stevig"
"housekeepers","huishouders"
"town yards (100,50,10)","stadspleinen (100,50,10)"
"begins to talk in a monotone when ","begint monotoon te praten wanneer "
"is long and very fat","is lang en zeer dik"
"shadow clocks","schaduwklokken"
"When speaking to somebody, you'll choose what to say, and then time will pass while you are speaking and waiting for a reply.  ","Wanneer je met iemand spreekt, kies je wat je zegt. Daarna verstrijkt er tijd terwijl je spreekt en op antwoord wacht.  "
"Affects attacks with hand-like appendages.","Be‹nvloedt aanvallen met handachtige ledematen."
"This is distressing.","Dit is verontrustend."
" was recognized and arrested"," werd herkend en gearresteerd"
"has a strong sense of duty","heeft een sterk plichtsgevoel"
"Accept the loss and move on.","Het verlies accepteren en doorgaan."
"You are a wanderer of the wilderness.","Je bent een zwerver van de wildernis."
"Load ballista","Ballista laden"
" plotted to abduct "," beraamde een ontvoering van "
"Overall, the choreography is not awful, but not very good either","Al met al is de choreografie niet vreselijk, maar ook niet erg goed"
"is a complete scatterbrain, unable to focus on a single matter for more than a passing moment","is een complete warhoofd, niet in staat zich langer dan een kort moment op ‚‚n zaak te concentreren"
"Toggle whether the stockpile allows plant and animal-based objects, regardless of other settings.","Schakel in of de voorraadplaats plantaardige en dierlijke objecten toestaat, ongeacht andere instellingen."
"Provide the location of specific place","Geef de locatie van een specifieke plek"
"Accept background","Achtergrond accepteren"
"Click a tile to be a corner of the ","Klik op een tegel die een hoek wordt van de "
"Here you can create squads, fill their positions, assign equipment and schedules, and give specific orders.","Hier kun je eskadrons maken, hun posities vullen, uitrusting en roosters toewijzen, en specifieke bevelen geven."
"Back to title menu","Terug naar titelmenu"
"In the ","In de "
"nobody to punish for failed mandate","niemand om te straffen voor mislukt mandaat"
"Head for Edge","Naar rand gaan"
"ripped","gescheurd"
"Your strength has been broken.","Je kracht is gebroken."
"Invite listener to join ","Nodig de luisteraar uit om zich aan te sluiten bij "
"Spouse: ","Echtgenoot: "
"confidence","zelfvertrouwen"
"being forced to eat vermin to survive","gedwongen worden ongedierte te eten om te overleven"
"Need civilization military leader","Militaire leider van beschaving nodig"
"Learn ","Leren "
"  Perhaps some of your friends here can remind you.","  Misschien kunnen enkele van je vrienden hier je eraan herinneren."
"After a scale is constructed, notes are named according to degree.  ","Nadat een toonladder is opgebouwd, worden noten benoemd naar hun graad.  "
"Normal","Normaal"
"0 = Can use any shop","0 = Kan elke werkplaats gebruiken"
"I was beat somebody with the hammer.","Ik heb iemand met de hamer geslagen."
"an infamous thug","een beruchte schurk"
"This visitor has come ","Deze bezoeker is gekomen "
"has a long, thin frame with little fat","heeft a lang, dun frame met little dik"
"present different views of the same subject","presenteer verschillende visies op hetzelfde onderwerp"
"cunning","sluwheid"
"has a very broad body but it is frail with very little fat on it","heeft a zeer breed body but it is kwetsbaar met heel weinig vet"
"Low","Laag"
"Sea Foam","Zeeschuim"
", Crafts",", Ambachten"
"boss","baas"
"Each passage","Elke passage"
" shakes"," schudt"
"State feelings of zeal","Ijver uiten"
"This work order is ready to activate.","Deze werkopdracht is klaar om te activeren."
"filth","vuil"
"harmonic minor","harmonisch mineur"
"is very short yet muscular and fat","is zeer kort maar gespierd en dik"
"the passing of corruptly-obtained funds by ","het doorgeven van corrupt verkregen middelen door "
"We should be making better progress.","We zouden betere voortgang moeten boeken."
"near hated vermin","bij gehaat ongedierte"
"Uhh...  nevermind.","Eh... laat maar."
"We can no longer travel together.","We kunnen niet langer samen reizen."
" is a waste of time."," is tijdverspilling."
"dull","saai"
"a table of chord lengths indexed by angle","een tabel van koordlengten ge‹ndexeerd op hoek"
"is very fat","is zeer dik"
"Handwear","Handbekleding"
"Well dry","Put droog"
"nevermind","laat maar"
"limb/body ","ledemaat/lichaam "
"Some migrants have arrived at this unhappy place.","Er zijn enkele migranten aangekomen op deze ongelukkige plek."
"surveying by triangulation for the purpose of allocating land","landmeting door triangulatie voor het toewijzen van land"
"Do not keep everything for yourself.","Houd niet alles voor jezelf."
"Buildings...","Gebouwen..."
"Finalizing material templates...","Materiaalsjablonen afronden..."
"rant","tirade"
"coating","laag"
"Flee from Opponent (Climb)","Vluchten voor tegenstander (klimmen)"
"Throw by ","Gooien door "
" has cooked a masterpiece!"," heeft een meesterwerk gekookt!"
" level"," niveau"
"was too ambitious to accept death and agreed","was te ambitieus om de dood te accepteren en stemde in"
", the door on your left",", de deur links van je"
"This is such an outrage!","Dit is zo'n schande!"
"is at a free tempo","heeft een vrij tempo"
"waste (0,20,0)","afval (0,20,0)"
"empathetic","empathisch"
", Paste",", Pasta"
"Sorting text...","Tekst sorteren..."
"Usable armor","Bruikbare bepantsering"
"** Loading Fortress **","** Fort laden **"
"You can see how many worshippers of each deity live in your fortress by scrolling over their names. ","Je kunt zien hoeveel aanbidders van elke godheid in je fort wonen door over hun namen te scrollen. "
"State feelings of great annoyance","Sterke ergernis uiten"
"Artifacts completed","Artefacten voltooid"
"is broad-bodied, though weak and skinny","is breed-bodied, though zwak en mager"
"Negotiator","Onderhandelaar"
" leather/dye available"," leer/verf beschikbaar"
"biography","biografie"
"Block","Blok"
"attacked","aangevallen"
"Land holder production trigger ","Productietrigger landeigenaar "
"smashed","verpletterd"
"The sky above you is completely gray, with dark cloud pillars pressing through it.","De hemel boven je is volledig grijs, met donkere wolkenzuilen die erdoorheen drukken."
"passing a portion of corruptly-obtained funds","het doorgeven van een deel van corrupt verkregen middelen"
"Your bookkeeper needs to work in an office to improve precision","Je boekhouder moet in een kantoor werken om de nauwkeurigheid te verbeteren"
"This artwork appears on a ","Dit kunstwerk staat op een "
"Easier throw","Makkelijker gooien"
"[C:6:0:0].Minor blistering","[C:6:0:0].Lichte blaarvorming"
"selected positions.","geselecteerde posities."
", originating in ",", afkomstig uit "
"You fill your ","Je vult je "
"Make the bed","Het bed opmaken"
" is made from "," is gemaakt van "
"Historical Cycles","Historische cycli"
"the Economy","de Economie"
"shocked","geschokt"
"has a very thin, frail body without visible traces of fat","heeft a zeer dun, kwetsbaar body without visible traces of dik"
"gloomy","somber"
"crossbow","kruisboog"
"angry","boos"
"consumed","verteerd"
"Animals, Trainer","Dieren, trainer"
"the construction and use of surgical needles","de bouw en het gebruik van chirurgische naalden"
"The","De"
"From there, you can build your wealth, export goods, and attract more migrants until ","Van daaruit kun je je rijkdom opbouwen, goederen exporteren en meer migranten aantrekken totdat "
"An Ocean Wave","Een oceaangolf"
"interacted with community pillar","interactie met gemeenschapspilaar"
"has no sense of vengeance or retribution","heeft geen gevoel voor wraak of vergelding"
"the Region","de Regio"
"Endgame event 2","Eindspelsevenement 2"
"On display","Tentoongesteld"
" dye"," kleurstof"
"stabbed","gestoken"
"I feel no terror.","Ik voel geen angst."
"Survival","Overleven"
"Strange mood","Vreemde stemming"
"How great it is to be surrounded by family!","Wat heerlijk om door familie omringd te zijn!"
"was too proud to accept death and agreed","was te trots om de dood te accepteren en stemde in"
"Misrepresented","Verkeerd voorgesteld"
"revenge","wraak"
"What will you say about your family?","Wat wil je zeggen over je familie?"
"embezzling funds from position","middelen verduisteren uit positie"
"Dyer","Verver"
"pending","in behandeling"
"Food","Voedsel"
"  Get away from me!","  Blijf uit mijn buurt!"
"I am not exhilarated.","Ik ben niet opgetogen."
"I don't feel like telling you about it.","Ik heb geen zin om je erover te vertellen."
"Statue","Standbeeld"
"the method of comparing and contrasting different cultures","de methode om verschillende culturen te vergelijken en contrasteren"
"Multiple orders","Meerdere opdrachten"
"No access","Geen toegang"
"What is the meaning of it all?!","Wat is de betekenis van dit alles?!"
"sketches","schetsen"
"If it were in a cage of some kind...  As it stands, I can't accept something that wriggles and writhes so.","Als het in een soort kooi zat... Zo kan ik iets dat zo kronkelt en spartelt niet aannemen."
"there was a competition","er was een wedstrijd"
"Amber","Barnsteen"
"Cave-in","Instorting"
"You are currently yielded.  Click to stop yielding.","Je geeft je momenteel over. Klik om te stoppen met overgeven."
"sleeping without a proper room","slapen zonder geschikte kamer"
"by achieving higher and higher harmonics","door steeds hogere harmonischen te bereiken"
"pressed grime","samengeperst vuil"
"the use of specialized surgical instruments","het gebruik van gespecialiseerd chirurgisch instrumentarium"
"this spire","deze spits"
"The topic being considered is ","Het onderwerp dat wordt overwogen is "
"Read","Lezen"
"Skill 8","Vaardigheid 8"
"Build a temple complex","Een tempelcomplex bouwen"
"How annoying!","Wat irritant!"
"Several major structures were destroyed","Meerdere grote bouwwerken werden vernietigd"
"Values harmony","Waardeert harmonie"
"is a friendly individual","is een vriendelijk individu"
"show","tonen"
"Nickname position (legends mode)","Bijnaampositie (legendemodus)"
"Guided by ","Geleid door "
"Leave menu and recenter the view on the time.","Menu verlaten en de weergave opnieuw op de tijd centreren."
"the establishment of a guildhall for ","de stichting van een gildehal voor "
"arrived at person","aangekomen bij persoon"
"food import store (128,192,128), border (128,128,128)","voedselimportwinkel (128,192,128), rand (128,128,128)"
"Fill ","Vul "
"Peace/","Vrede/"
"Most property was confiscated","Het meeste bezit werd in beslag genomen"
" laughs very loudly whenever "," lacht zeer luid wanneer "
", no workers",", geen arbeiders"
"Preparing material data...","Materiaalgegevens voorbereiden..."
"Use the gear assembly to connect axles and machinery together.  Gear assemblies can be disengaged temporarily by linking them to levers.","Gebruik de tandwielconstructie om assen en machines met elkaar te verbinden. Tandwielconstructies kunnen tijdelijk worden ontkoppeld door ze aan hendels te koppelen."
"Seek Bad Mood Building","Gebouw zoeken voor vreemde stemming"
"Aging items","Voorwerpen laten verouderen"
"chemistry:laboratory:glass vial","scheikunde:laboratorium:glazen flesje"
"State feelings of confusion","Verwarring uiten"
"[C:7:0:1]Has been sutured","[C:7:0:1]Is gehecht"
" forward bend"," voorwaartse buiging"
"Historical figure deaths","Doden van historische figuren"
"Clothesmaking","Kleding maken"
"Everything is all piling up at once!","Alles stapelt zich tegelijk op!"
"economic cartography","economische cartografie"
" the poem to life with this flawless recitation."," het gedicht tot leven met een foutloze presentatie."
"synthesis","synthese"
" and am returning to "," en keer terug naar "
"Wild animal gave birth","Wild dier heeft geworpen"
"The musician blows through a double reed in each pipe","De muzikant blaast door een dubbelriet in elke pijp"
"Nest Box","Nestkast"
" need to match perfectly"," moeten perfect overeenkomen"
"I can accept this.","Ik kan dit accepteren."
"I admire this.","Ik bewonder dit."
"finds blind honesty foolish","vindt blinde eerlijkheid dwaas"
"Place item in tomb","Voorwerp in graf plaatsen"
"The partnership is one-sided.","Het partnerschap is eenzijdig."
" struck by a ball of flames!"," getroffen door een vuurbal!"
"appointed by ","benoemd door "
"Finish setting hauling routes.","Transportroutes instellen voltooien."
"the Shrubland","het struikland"
"respects the development of skill","respecteert de ontwikkeling van vaardigheid"
"Relieved","Opgelucht"
"A day's travel","Een dagreis"
"It was fantastic.","Het was fantastisch."
"Easy throw","Gemakkelijke worp"
"State minor feeling of satisfaction","Licht gevoel van satisfactie uiten"
"Keep building after placement","Blijf bouwen na plaatsing"
"(Charge) Collision","(Stormaanval) Botsing"
" engraving "," gravure "
"the reunion of ","de hereniging van "
"offered revenge upon ","bood wraak aan op "
"logs","logboeken"
"two thousand","tweeduizend"
"A section of the cavern has collapsed!","Een deel van de grot is ingestort!"
"Accuse the speaker of being a troublemaker","Beschuldig de spreker ervan een onruststoker te zijn"
"No precise attack: enraged","Geen precieze aanval: woedend"
"seized livestock from","nam vee in beslag van"
"has no ambition whatsoever","heeft totaal geen ambitie"
"hospital","ziekenhuis"
"Feared as a murderer","Gevreesd als moordenaar"
"I'm a true ","Ik ben een ware "
"hypothetical syllogisms","hypothetische syllogismen"
"really susceptible to disease","erg vatbaar voor ziekte"
"I am wracked by doubts!","Ik word gekweld door twijfel!"
"I murdered ","Ik vermoordde "
"I don't have enough weapon racks.","Ik heb niet genoeg wapenrekken."
"disgusted","walging"
"has a small build and is weak and skinny","heeft een klein postuur en is zwak en mager"
"'s surprised, ","s verrast, "
"How will you respond to this dismissal?","Hoe reageer je op deze afwijzing?"
"Others were too nervous to make the journey to this unhappy fortress.","Anderen waren te nerveus om de reis naar dit ongelukkige fort te maken."
"Death...","Dood..."
"the relationship between the length of the altitude of a right triangle and the lengths of the segments into which it divides the hypotenuse","de relatie tussen de lengte van de hoogte van een rechthoekige driehoek en de lengten van de segmenten waarin deze de schuine zijde verdeelt"
" (no burrow)"," (geen gebied)"
"Cull dead units at","Dode eenheden ruimen bij"
"talking with mother","praten met moeder"
"the fatal illness of ","de dodelijke ziekte van "
"Reclaim/unretire","Herclaimen/terugkeren"
"The form guides poets during improvised performances.  ","De vorm leidt dichters tijdens ge‹mproviseerde uitvoeringen.  "
"values hard work","hecht waarde aan hard werken"
"caught in dust","gevangen in stof"
"Crutch-walker","Krukloper"
"a poor bedroom","een slechte slaapkamer"
"In Vegetation","In vegetatie"
"conical bore","conische boring"
"Current top guildhall location:","Huidige hoogste gildehalllocatie:"
"Artifact/","Artefact/"
"Put ","Leg "
" sacred sites were desecrated"," heilige plaatsen werden ontwijd"
"You settle in this location...","Je vestigt je op deze locatie..."
"Author: ","Auteur: "
"wooden furniture shop (255,0,0)","houten-meubelwinkel (255,0,0)"
"Select item.","Voorwerp selecteren."
"Evening","Avond"
"bored","verveeld"
"I adopted a new pet.","Ik adopteerde een nieuw huisdier."
"d slightly favored","d licht bevoordeeld"
"is very tall yet somewhat weak","is zeer lang maar somewhat zwak"
"being unable to reach a room for tax collection","geen kamer kunnen bereiken om belasting te innen"
" with "," met "
"Parley with ","Onderhandelen met "
"flatter their counterpart","hun tegenhanger vleien"
"sheep","schaap"
"rumored quarreler","vermeende ruziemaker"
"Dismount to ","Afstijgen naar "
"Pit/Pond","Put/Vijver"
" to grant an important position"," om een belangrijke positie te verlenen"
"I'm not sure exactly where to look.","Ik weet niet precies waar ik moet zoeken."
"sparse","schaars"
"master of beasts","meester van beesten"
"Historical figures ","Historische figuren "
"the criminals","de misdadigers"
"the Festival","het Festival"
"mathematics:geometry:basic objects","wiskunde:meetkunde:basale objecten"
"I consider laws to be more of a suggestion than anything.","Ik beschouw wetten vooral als een suggestie."
"Downward stair (remembered)","Trap omlaag (onthouden)"
"I'm feeling great!","Ik voel me geweldig!"
"Fail the struggle against great misery","Verlies de strijd tegen grote ellende"
"HATCH TAKEN BY INVADERS","LUIK GENOMEN DOOR INDRINGERS"
" break"," breken"
"Duplicate Object: ","Dubbel object: "
" into"," in"
"chanting","chanten"
"dozens of","tientallen"
"the construction and use of the force pump","de bouw en het gebruik van krachtpomp"
"the Flask","de Fles"
"siege engineer","belegeringsingenieur"
" with many others"," met vele anderen"
"axe","bijl"
"has a small build yet is strapped with massive amounts of muscle and lard","heeft een klein postuur maar is strapped met massive amounts of muscle en lard"
"Sloppy      <->       Orderly","Slordig      <->       Ordelijk"
"Specify a new image","Nieuwe afbeelding specificeren"
"(no other folders will be deleted)","(er worden geen andere mappen verwijderd)"
"flattery","vleierij"
" made a journey to "," maakte een reis naar "
"propositional logic","propositielogica"
"temple","tempel"
" often drums "," trommelt vaak met "
"as a citizen of","als burger van"
"Ask how listener is feeling","Vraag hoe de luisteraar zich voelt"
"drinking goo","slijm drinken"
"Forbid toppled building items","Verbied omgevallen gebouwvoorwerpen"
"Shop Specific","Winkelspecifiek"
"likes to stretch ","rekt graag "
"I feel despair.","Ik voel wanhoop."
"is skinny and incredibly long","is mager en ongelooflijk lang"
"wind instrument consisting of ","blaasinstrument bestaande uit "
"Ceremony","Ceremonie"
"Stringed Instrumentalist","Snaar Instrumentalist"
"is incredibly short","is ongelooflijk klein"
"Freedom","Vrijheid"
"tends to stretch out when ","strekt zich meestal uit wanneer "
"the Lie","de Leugen"
"Move keyboard cursor down (z), aux","Toetsenbordcursor omlaag (z), secundair verplaatsen"
"Cruel","Wreed"
"military surveying","militaire landmeting"
"Temperate Shrubland","Gematigd struikland"
"Only members can visit (if guild established)","Alleen leden kunnen bezoeken (als gilde is opgericht)"
" less dizzy."," minder duizelig."
"How have your sturdy charges fared in your absence? ","Hoe is het je stevige beschermelingen vergaan tijdens je afwezigheid? "
"Reliability","Betrouwbaarheid"
"engineering:machine:trip hammer","ingenieurskunde:machine:valhamer"
"No positions available","Geen posities beschikbaar"
"maceman","knotsdrager"
"population of nearly one hundred thousand","bevolking van bijna honderdduizend"
"Wallowing in misery!","Zwelgen in ellende!"
" toppled"," omvergeworpen"
"The work has ","Het werk heeft "
"glides from note to note","glijdt van noot naar noot"
"worry","zorgen"
"in order to be with the master","om bij de meester te zijn"
"doesn't cling tightly to ideas and is open to changing ","klampt zich niet stevig vast aan idee‰n en staat open voor verandering van "
" Creature Seed: "," Wezenseed: "
"Balancing and Completion","Balans en voltooiing"
"Ashamed","Beschaamd"
"Door","Deur"
"It has come to pass.","Het is geschied."
"excited","opgewonden"
"wrathful","toornig"
"Set conditions for ","Voorwaarden instellen voor "
"Masterwork food","Meesterlijk voedsel"
"inclusion","inclusie"
"Linguistic Ability","Taalvaardigheid"
"Low Light","Weinig licht"
"the Angles","de hoeken"
"engineering:machine:water-powered piston bellows","ingenieurskunde:machine:door water aangedreven zuigerbalg"
"(Wrestle) Adjust grip","(Worstelen) Greep aanpassen"
" joined with "," sloot zich aan bij "
"Badlands","Woestenij"
"Custom uniform","Aangepast uniform"
"Subterranean Chasm","Ondergrondse kloof"
"Accepting","Accepterend"
"the construction and use of the hourglass","de bouw en het gebruik van zandloper"
"is very skinny and even more tall","is zeer mager en even more lang"
"This is such a hardship for me!","Dit is zo zwaar voor mij!"
"have slightly thin irises","heeft enigszins dunne irissen"
"has an extremely thin body with very litte fat on it","heeft an extreem dun body met zeer litte dik"
"liquid container","vloeistofhouder"
"the fiery bowels of the earth","de vurige ingewanden van de aarde"
"Orderly","Ordelijk"
"whim","gril"
"as a symbol of everlasting peace","als symbool van eeuwige vrede"
"known brawler","bekende vechtersbaas"
"Allow floor/wall cleaning","Vloer-/muurreiniging toestaan"
"Make sure your parameters and presets can support mid-elevation, low-to-mid rainfall, low-to-mid drainage, non-freezing areas.  ","Zorg dat je parameters en presets gebieden met gemiddelde hoogte, lage tot gemiddelde regenval, lage tot gemiddelde drainage en vorstvrije gebieden kunnen ondersteunen.  "
"geography:cartography:distance scale","geografie:cartografie:afstandsschaal"
"a tendon","een pees"
"is very weak despite being very large overall","is zeer zwak despite being zeer groot overall"
" Upward Track (E)"," Spoor omhoog (O)"
"Make sugar, flour, and various useful slurries here.  Powered version of the quern.  Must be hooked to a windmill or water wheel to function.","Maak hier suiker, meel en verschillende nuttige brijen. Aangedreven versie van de handmolen. Moet aan een windmolen of waterrad worden gekoppeld om te werken."
"State minor feeling of aversion","Licht gevoel van afkeer uiten"
"Loading entities...","Entiteiten laden..."
"Maceman","Knotsdrager"
"the Savanna","de Savanne"
"destruction","vernietiging"
"I will not lose hope.","Ik zal de hoop niet verliezen."
"There was no thrill in it.","Er zat geen spanning in."
" by fooling "," door te misleiden "
"is incredibly muscular and fat, with a large build overall","is ongelooflijk gespierd en dik, met a groot build overall"
"candles","kaarsen"
"You are winded.","Je bent buiten adem."
"Collect sand","Zand verzamelen"
