"more presumptious","anmaáender"
"Lye Making","Laugen-Herstellung"
"The world generator is having trouble placing tundra regions.  ","Der Weltgenerator hat Probleme beim Platzieren von Tundra-Regionen. "
"are ","sind "
" performed in succession"," nacheinander durchgefhrt"
"Obstinate","Hartn„ckig"
"This is driving me to agitation.","Das treibt mich zur Weiáglut."
" by a dead pet"," durch ein totes Tier"
"to attain rank in society","den gesellschaftlichen Rang zu erreichen"
" and even forget"," und vergisst sogar"
"armored ","gepanzert "
"I've been on a long patrol.","Ich war auf einer lange Patrouille."
"!  Praise the miners!","!  Gelobt seien die Bergleute!"
"Engraving ","gravieren "
"somebody first","jemand zuerst"
"portal","Portal"
"doesn't feel strongly about the law","sich nicht ber das Gesetz schert"
"Population: ~4000","Bev”lkerung: ~4000"
"the end of the imprisonment of","das Ende der Inhaftierung von"
"armorsmith's shop sign","Schild der Rstungsschmiede"
"Good memory","Gutes Ged„chtnis"
"Colors...","Farben..."
"I drank water mixed with ichor.","Ich habe Wundwasser getrunken."
"a peace agreement","ein Friedensabkommen"
"relax","entspannen"
"withered ","verwelkt "
"I feel ","Ich fhle "
"Cannot travel through site","Kann nicht durch den Ort reisen"
"soldiering.","Soldaten zu sein."
" is brawling under the influence!"," Schl„gereien unter Alkoholeinfluss!"
"profession","Beruf"
"drinking without goblet","Trinken ohne Kelch"
"an astonishing memory","eine erstaunliche Erinnerung"
"the leap of ","der Sprung von "
"learned poetic form","erlernte dichterische Form"
" is sitting down"," setzt sich hin"
" the perfect phrasing."," die perfekte Formulierung."
"Add a condition to the work order that checks the amount of some item.","Fgen Sie dem Arbeitsauftrag eine Bedingung hinzu, die die Menge eines bestimmten Artikels berprft."
"after being unable to practice a skill","nachdem sie eine F„higkeit nicht ausben konnten"
"dining in ","Essen in "
"Hang from ","H„ngt von "
"An acquaintance shared a personal insight with me.","Ein Bekannter teilte mir eine pers”nliche Erkenntnis mit."
"If you right click in the play area, you'll open a context-sensitive menu of actions.  This lets you select a destination more carefully.","Wenn Sie mit der rechten Maustaste in den Speilbereich klicken, ”ffnet sich ein kontextsensitives Aktionsmen. So k”nnen Sie ein Ziel genauer ausw„hlen."
"I'm so miserable.","Ich bin so unglcklich."
"saved","gerettet"
"Monarch arrived early","Monarch ist frhzeitig angekommen"
"an infamous villain","eine berchtigter B”sewicht"
"I'm leaving ","Ich verlasse "
"Performance occur over a period of time related to the specific art form or piece.  You can interrupt the performance as it unfolds, commit to finishing it and wait for its completion, or continue in steps.  ","Die Auffhrung erstreckt sich ber einen Zeitraum, der mit der jeweiligen Kunstform oder dem jeweiligen Kunstwerk zusammenh„ngt. Sie k”nnen die Auffhrung w„hrend ihres Verlaufs unterbrechen, sich dazu verpflichten, sie zu Ende zu sehen und auf ihre Beendigung zu warten, oder sie schrittweise fortsetzen. "
"The Past","Die Vergangenheit"
" knocked over"," umgestoáen"
" refusal to identify to "," Ablehnung zum identifizieren zu "
" in search of adventure"," auf der Suche nach Abenteuer"
" (improper building)"," (unsachgem„áer Bau)"
"a room","ein Zimmer"
"Acknowledge lack of loneliness","Fehlen von Einsamkeit anerkennen"
"loathing","Verabscheuung"
"Carpentry Pit","Schreinereigrube"
" religious opposition to the adversary's inherent association with "," religi”ser Widerstand gegen die dem Gegner innewohnende Verbindung mit "
" stinks!"," stinkt!"
"gaiety","Heiterkeit"
"Each line has ","Jede Zeile hat "
" gouges"," h”hlt aus"
"greeting ","Gruá "
"faraway","entlegen"
"Catch live land animal","Lebendes Landtier fangen"
"underworld","Unterwelt"
"The dancers perform ","Die T„nzer fhren vor "
" must pay homage to "," muss Ehre erweisen fr "
"Loading active historical figures...","Lade aktive historische Figuren..."
"Gleeful","Fr”hlich"
"condensed.","kondensiert."
"Hide an item or building from your view.  Citizens will still use it.","Verstecken Sie ein Item oder ein Geb„ude. Die Brger werden es trotzdem benutzen."
"being tormented in nightmares by a dead friend","in Albtr„umen von einem toten Freund gequ„lt zu werden"
"Well, let's see...","Nun, mal sehen..."
"Rough ","Rau "
"Move selector right","Bewege Zeiger nach rechts"
" considers tranquility preferable to tumult, conceptually"," h„lt Ruhe fr besser als Tumult, konzeptionell"
".  You are a stranger here.","Du bist hier ein Fremder."
"Tropical Saltwater Lake","tropischer Salzsee"
"zealous","Eifrig"
"no sphere","abgrenzungslos"
"work if suited","Arbeiten, wenn es angemessen ist"
"Ask about listener's family","Fragen Sie nach der Familie des Zuh”rers"
"slower and slower ","langsamer und langsamer "
" has revealed the presence of "," hat das Vorkommen von "
"current events","aktuelle Ereignisse"
"Seek Food Item","Lebensmittel suchen"
"Arena: Create creature","Arena: Erschaffe eine Kreatur"
"I was considering the demands I've made.","Ich berlegte die Forderungen, die ich gemacht habe."
"is tiny yet incredibly muscular and lardy","ist winzig, aber unglaublich muskul”s und fettig"
"vessel","Gef„á"
" strings"," Seile"
"A foolish builder defaced a ","Eine t”richte Baumeister verunstaltete ein "
"Affection","Zuneigung"
"is very long and frail","ist sehr lang und zerbrechlich"
"was willing to accept eventual death and refused","war bereit, den Tod in Kauf zu nehmen und lehnte ab"
"Highly Loyal","Hohe Loyalit„t"
"members of ","Mitglieder von "
"Ask about somebody (new menu)","Fragen Sie nach jemandem (neues Men)"
"Armor ","Rstung "
"stammers when ","stottert, wenn "
"Constant training","Konstantes Training"
"be stately","herrschaftlich sein"
"food storage ","Essenslager "
"is fat and very tall","ist dick und sehr groá"
" stanza"," Strophe"
"The beats are named ","Die Beats haben Namen "
"Soil","Boden"
"boiling filth","kochender Schlamm"
"Change the frequency that the conditions are checked.","ndern Sie die H„ufigkeit, mit der die Bedingungen berprft werden."
"broke even","kostendeckend"
"I had a bath with soap!","Ich habe ein Seifenbad genommen!"
"rumored flatterer","angeblicher Schmeichler"
"stopped being the father of","nicht mehr der Vater von"
"Collect clay","Lehm/Ton sammeln"
"discourse on the nature of time","Diskurs ueber das Wesen der Zeit"
"Chain Drives","Kettenantriebe"
"You no longer assume a submissive posture.","Du nimmst keine unterwrfige Haltung mehr ein."
"is selected","ist ausgew„hlt"
"SMALL ISLAND","KLEINE INSEL"
"[C:6:0:1]Placed in traction","[C:6:0:1]In Traktion versetzt"
"Refuse ","Abfall "
" corrupted "," korrumpiert "
"most high priests","die meisten Hohenpriester"
"slightly sunken","leicht eingesunken"
"Strike","Schlag"
" grotesque"," grotesk"
"Ice Upward Track (NEW)","Eis Weg Aufw„rts (NEU)"
"been found dead, badly crushed.","wurde tot aufgefunden, schwer zerquetscht."
" with a shameworthy performance."," mit einer beschaemenden Leistung."
"very long ","sehr lang "
"Attribute cap perc less than 100, set to 100","Attribut cap perc kleiner als 100, auf 100 setzen"
"No charge attack: target is on the ground","Kein Ansturm m”glich: Dein Ziel liegt am Boden"
"State feelings of frustration","Gefhle der Frustration angeben"
"The written portion consists of ","Der schriftliche Teil besteht aus "
"started working at","begann seine Arbeit bei"
"is long with a frail body","ist lang mit einem gebrechlichen K”rper"
" (to "," (zu "
"Resentful","Nachtragend"
" is conflicted by this for more than one reason"," ist aus mehr als einem Grund damit nicht einverstanden"
"the concealment of ","die Verheimlichung von "
"could afford to learn a lesson or two, though open conflict would be unwise.","k”nnte es sich leisten, ein oder zwei Lektionen zu lernen, obwohl ein offener Konflikt unklug w„re."
"punished somebody with tool","jemanden mit Werkzeug bestraft"
"at ","im "
"I am consumed by hatred.","Ich bin vom Hass aufgezehrt."
"more fearless","furchtloser"
"passage","Durchgang"
", but now this stands between us.",", aber jetzt steht dies zwischen uns."
"Land's status elevated","Status des Landes erh”ht"
"State minor feeling of repentance","Geringes Gefhl der Reue angeben"
"Pet loses dead owner","Haustier verliert seinen verstorbenen Besitzer"
"known preserver of knowledge","bekannter Bewahrer des Wissens"
"Humorless","humorlos"
" was"," war"
"How may I serve you?","Wie kann ich Ihnen dienen?"
"Site Cap After Civ Creation","Platzbegrenzung nach Civ-Erstellung"
"Enjoyment","Vergngen"
"is consumed by overpowering feelings of jealousy","wird von berw„ltigenden Gefhlen der Eifersucht verzehrt"
"the end of the former membership of","das Ende der frheren Mitgliedschaft in der"
"a storyteller, or at least tells stories","ein Geschichtenerz„hleroder zumindest erz„hlt er Geschichten"
"No relationships","Keine Beziehung"
"considering demand","unter Bercksichtigung der Nachfrage"
"[C:6:0:0].Moderate bruising","[C:6:0:0].M„áige Prellungen"
"No witnesses","keine Zeugen"
"I was unable to request weapon production.","Ich war nicht in der Lage, Waffenproduktionen anfordern."
"Finish setting tree chopping orders.","Beenden Sie die Festlegung von Auftr„gen zum F„llen von B„umen."
"near favorite animal","in der N„he des Lieblingstiers"
"statue","Skulptur"
"Foiled Bribery Conspiracy","Vereitelte Bestechungsverschw”rung"
"Subterranean Magma","Unterirdische magma"
"Number of beasts","Anzahl der Bestien"
"is short and very skinny","ist klein und sehr dnn"
"Toggle cloud view.","Wolkenansicht ein-/ausschalten."
"There is a long-ranging patrol ","Es gibt eine weitreichende Patrouille "
"Fail the struggle against great horror","Im Kampfes gegen den groáen Horror scheitern"
"on the floor ","auf dem Boden "
"Ah, wonderful.  Thank you for your business.","Ah, wunderbar. Vielen Dank fr Ihren Einkauf."
"Dismiss minor feeling of anguish","Geringfgige Angstgefhle vernachl„ssigen"
"entertaining citizens and visitors.","Brger und Besucher zu unterhalten."
"unmet needs","Bedrfnisse"
"State minor feeling of gaiety","Zustand geringes Gefhl der Fr”hlichkeit"
"You can also demand your opponent yield using a conversation option. ","Du kannst Deinen Gegner auch ber eine Gespr„chsoption zum Nachgeben auffordern. "
", moving ",", bewegen "
"Evil cloud","B”se Wolke"
" to the living world"," in die lebendige Welt"
"Unknown convict.","Unbekannter Verurteilter."
"Deceased","verstorben"
"I was cried on by an unhappy citizen.","Ich wurde von einem unglcklichen Brger angeschriehen."
"deeply sunken","tief eingesunken"
"Acknowledge lack of aggravation","Erkenne das Fehlen von Verschlimmerung an"
"Monster slayer","Monsterschl„chter"
"Assume Control","šbernimm die Kontrolle"
"Affects response to jokes.","Beeinflusst die Reaktion auf Witze."
"[C:3:0:1]Stunned","[C:3:0:1]Bet„ubt"
"is impervious to the effects of stress","ist unempfindlich gegenber den Auswirkungen von Stress"
"raucous","heiser"
"It's such a pleasure to serve you.","Es ist ein Vergngen, Ihnen zu dienen."
"There's nothing to be indignant about.","Es gibt keinen Grund zur Emp”rung."
"was killed by spikes","wurde von Spikes get”tet"
"Outdoor access","Zugang im Freien"
"due to a shared scholarly interest","durch ein gemeinsames wissenschaftliches Interesse"
"This is truly horrifying.","Das ist wirklich schrecklich."
"in order to pursue scholarship","um ein Stipendium zu erhalten"
"fathom you ending up with the items you desire.","Sie k”nnen sich nicht vorstellen, dass Sie am Ende die gewnschten Artikel bekommen."
"There is a great keep there","Dort gibt es einen groáen Bergfried"
"treachery","Verrat"
"I am so grateful!","Ich bin so dankbar!"
"Verbally struggle against terror","Verbaler Kampf gegen den Terror"
"added a masterful handle","einen meisterlichen Griff hinzugefgt"
"Blood of the living (sensed)","Blut der Lebenden (wahrgenommen)"
"You can place floors for functional reasons or to enhance the appearance of the fortress.  Requires boulder, block, or wood.","Sie k”nnen B”den fr funktionale Zwecke oder zur Verbesserung des Aussehens der Festung einbauen. Erfordert Felsen, Quader oder Holz."
"been found solidified.","wurde verfestigt gefunden."
"Don't update","Nicht updaten"
"Placing megabeasts...","Megabeasts platzieren..."
"clear glass","Klarglas"
"exec burned alive","bei lebendigem Leib verbrannt"
"the dissolution of ","die Aufl”sung von "
"the display of war and hunting trophies","die Ausstellung von Kriegs- und Jagdtroph„en"
"Spread rumor of the insurrection","Verbreitung von Gerchten ber den Aufstand"
"covering","Abdeckung"
"Very Low","Sehr wenig"
"The sun will set soon.  Be careful that the bogeyman doesn't get you.","Die Sonne wird bald untergehen. Passt auf, dass euch der Buhmann nicht erwischt."
"You have discovered a river.","Ihr habt einen Fluss entdeckt."
" through "," ber "
"sharing one of mother's personal insight","eine der pers”nlichen Einsichten der Mutter teilen"
"Set hunter ammunition","J„germunition festlegen"
"examples of triples of small whole numbers which, when taken together, are the lengths of the sides of a right triangle","Beispiele fr Dreiergruppen von kleinen ganzen Zahlen, die zusammengenommen die Seitenl„ngen eines rechtwinkligen Dreiecks ergeben"
"Infamous enemy fighter","Berhmter feindlicher K„mpfer"
"torturing ","foltern "
"famous protector of the weak","berhmter Beschtzer der Schwachen"
"You butcher ","Du schlachtest "
"Background","Hintergrund"
" planted"," gepflanzt"
"Finish Game","Beende Spiel"
"Do this by selecting [C:5:0:1]Workshops[C:7:0:0] -> [C:5:0:1]Farming[C:7:0:0] -> [C:5:0:1]Fishery[C:7:0:0].","Do this by selecting [C:5:0:1]Workshops[C:7:0:0] -> [C:5:0:1]Ackerbau[C:7:0:0] -> [C:5:0:1]Fishery[C:7:0:0]."
" since "," seit "
"Dismount","Absteigen"
"bruising","verletzend"
"hated","gehasst"
"mud","Schlamm"
" broke up"," aufgel”st"
"Unknown book","Unbekanntes Buch"
"been found boiled.","wurde gekocht aufgefunden."
"Former prisoner","Ehemaliger H„ftling"
"Do this if you want to keep the old save.","Fahre fort um den alten Spielstand zu behalten."
" reciting nonsensical words and sounds"," Rezitieren unsinniger W”rter und Laute"
"Bowmaking Workshop","Bogenmacher Werkstatt"
"is stout","ist gedrungen"
"housekeepers","Hausangestellte"
"town yards (100,50,10)","Stadtg„rten (100,50,10)"
"begins to talk in a monotone when ","beginnt in einem monotonen Tonfall zu sprechen, wenn "
" of 20)"," von 20)"
"is long and very fat","ist lang und sehr dick"
"When speaking to somebody, you'll choose what to say, and then time will pass while you are speaking and waiting for a reply.  ","Wenn Sie mit jemandem sprechen, w„hlen Sie aus, was Sie sagen m”chten, und dann vergeht Zeit, w„hrend Sie sprechen und auf eine Antwort warten. "
"Affects attacks with hand-like appendages.","Beeinflusst Angriffe mit Hand„hnlichen Gliedmaáen."
"This is distressing.","Das ist beunruhigend."
" was recognized and arrested"," wurde erkannt und verhaftet"
"[B]The ","[B]Die "
"has a strong sense of duty","hat ein ausgepr„gtes Pflichtbewusstsein"
"Accept the loss and move on.","Akzeptiere den Verlust und mache weiter."
"You are a wanderer of the wilderness.","Du bist ein Wanderer der Wildnis."
" plotted to abduct "," geplant, zu entfhren "
"is a complete scatterbrain, unable to focus on a single matter for more than a passing moment","ist ein kompletter Schussel, unf„hig, sich l„nger als einen Augenblick auf eine einzige Sache zu konzentrieren"
"Toggle whether the stockpile allows plant and animal-based objects, regardless of other settings.","Schaltet um, ob das Vorratslager pflanzliche und tierische Objekte zul„sst, unabh„ngig von anderen Einstellungen."
" is conflicted by this part of "," ist durch diesen Teil von "
"Provide the location of specific place","Geben Sie den Standort eines bestimmten Ortes an"
"Accept background","Hintergrund akzeptieren"
"Here you can create squads, fill their positions, assign equipment and schedules, and give specific orders.","Hier k”nnen Sie Trupps erstellen, ihre Positionen besetzen, Ausrstung und Zeitpl„ne zuweisen und spezifische Befehle erteilen."
"Back to title menu","Zurck zum Titelmen"
"nobody to punish for failed mandate","niemand fr ein gescheitertes Mandat zu bestrafen"
"ripped","zerrissen"
"Your strength has been broken.","Deine Kraft ist gebrochen."
"Invite listener to join ","Zuh”rer zur Teilnahme einladen "
"Spouse: ","Ehepartner: "
"Learn ","Lernen "
"  Perhaps some of your friends here can remind you."," Vielleicht k”nnen einige Ihrer Freunde hier Sie daran erinnern."
"After a scale is constructed, notes are named according to degree.  ","Nachdem eine Tonleiter konstruiert wurde, werden die Noten nach ihrer Stufe benannt. "
"0 = Can use any shop","0 = Kann jede Werkstatt benutzen"
"I was beat somebody with the hammer.","Ich schlug jemand mit dem Hammer."
"an infamous thug","ein berchtigter Verbrecher"
"even-even","gerade-gerade"
"This visitor has come ","Der Besucher ist gekommen "
"has a long, thin frame with little fat","hat eine lange, dnne Statur mit wenig Fett"
"cunning","gerissen"
"has a very broad body but it is frail with very little fat on it","hat einen sehr breiten K”rper, aber er ist zerbrechlich und hat nur sehr wenig Fett angesetzt"
"Low","Wenig"
"Sea Foam","Meeresschaum"
", Crafts",", kunsthandwerk"
"boss","Chef"
" shakes"," schttelt"
"State feelings of zeal","Gefhle des Eifers"
"This work order is ready to activate.","Dieser Arbeitsauftrag kann aktiviert werden."
"filth","dreck"
"harmonic minor","harmonisches Moll"
"is very short yet muscular and fat","ist sehr klein jedoch muskul”s und fett"
"the passing of corruptly-obtained funds by ","die Weitergabe von korrupt erlangten Geldern durch "
"We should be making better progress.","Wir sollten bessere Fortschritte machen."
"near hated vermin","in der N„he von verhasstem Ungeziefer"
"Uhh...  nevermind.","Uhh...  vergiss es."
"We can no longer travel together.","Wir k”nnen nicht l„nger zusammen reisen."
" is a waste of time."," ist Zeitverschwendung."
"dull","trb"
"is very fat","ist sehr dick"
"Handwear","Handschuhe"
"Well dry","Trockener Brunnen"
"nevermind","nichtsdestotrotz"
"limb/body ","Gliedmaáen/K”rper "
"Some migrants have arrived at this unhappy place.","Einige Migranten sind an diesem unglcklichen Ort angekommen."
"Buildings...","Geb„ude..."
"Finalizing material templates...","Finalisierung Materialvorlagen..."
"rant","schimpfen"
"coating","Beschichtung"
"Flee from Opponent (Climb)","Fliehe vor Gegner (Aufstieg)"
" has cooked a masterpiece!"," hat ein Meisterwerk gekocht!"
"was too ambitious to accept death and agreed","war zu ehrgeizig, um den Verlust zu akzeptieren und stimmte zu"
", the door on your left",", die Tr zu Ihrer Linken"
"This is such an outrage!","Das ist ein solcher Skandal!"
"is at a free tempo","ist in einem freien Tempo"
".   Perhaps I'll finally make my fortune!",".   Vielleicht mache ich endlich mein Glck!"
"empathetic","einfhlsam"
"Sorting text...","Text sortieren..."
"Usable armor","Nutzbare Rstung"
"** Loading Fortress **","** Laden der Festung **"
"You can see how many worshippers of each deity live in your fortress by scrolling over their names. ","Du kannst sehen, wie viele Anbeter der einzelnen Gottheiten in deiner Festung leben, indem du ber ihre Namen scrollst. "
"State feelings of great annoyance","Gefhle von groáer Ver„rgerung angeben"
"Artifacts completed","Fertiggestellte Artefakte"
"is broad-bodied, though weak and skinny","ist breit gebaut, aber schwach und dnn"
"Negotiator","Vermittler"
"biography","Biografie"
"attacked","angegriffen"
"smashed","zertrmmert"
"passing a portion of corruptly-obtained funds","Weitergabe eines Teils der durch Bestechung erlangten Mittel"
"Your bookkeeper needs to work in an office to improve precision","Ihr Buchhalter muss in einem Bro arbeiten, um die Genauigkeit zu verbessern"
"This artwork appears on a ","Dieses Kunstwerk erscheint auf einer "
"[C:6:0:0].Minor blistering","[C:6:0:0].Leichte Blasenbildung"
"selected positions.","ausgew„hlte Positionen."
"You fill your ","Du fllst dein "
"Make the bed","Das Bett machen"
"shocked","schockiert"
"has a very thin, frail body without visible traces of fat","hat einen sehr dnnen, gebrechlichen K”rper ohne sichtbare Spuren von Fett"
"gloomy","trbsinnig"
"crossbow","Armbrust"
"angry","zornig"
"consumed","verbraucht"
"Animals, Trainer","Tiere, Trainer"
"From there, you can build your wealth, export goods, and attract more migrants until ","Von dort aus k”nnen Sie Ihren Wohlstand aufbauen, Waren exportieren und weitere Migranten anziehen, bis "
"An Ocean Wave","Eine Meereswelle"
"interacted with community pillar","mit der Gemeinschaftss„ule interagiert"
"has no sense of vengeance or retribution","keinen Sinn fr Rache oder Vergeltung hat"
" dye"," Farbe"
"stabbed","erstochen"
"I feel no terror.","Ich spre keine Angst."
"Strange mood","Seltsame Stimmung"
"How great it is to be surrounded by family!","Wie groáartig es ist von der Familie umgeben zu sein!"
"was too proud to accept death and agreed","war zu stolz, den Verlust zu akzeptieren und stimmte zu"
"Misrepresented","Falsch dargestellte"
"revenge","Rache"
"embezzling funds from position","Veruntreuung von Geldern aus der Position"
"Dyer","F„rber"
"pending","ausstehend"
"Food","Essen"
"  Get away from me!","  Lassen Sie mich in Ruhe!"
"I am not exhilarated.","Ich bin nicht erheitert."
"I don't feel like telling you about it.","Ich fhle mich nicht danach dir etwas darber zu erz„hlen."
"Statue","Skulptur"
"the method of comparing and contrasting different cultures","die Methode des Vergleichs und der Gegenberstellung verschiedener Kulturen"
"Multiple orders","Mehrere Auftr„ge"
"No access","Kein Zugang"
"What is the meaning of it all?!","Was hat das alles fr einen Sinn?!"
"sketches","notiert"
"If it were in a cage of some kind...  As it stands, I can't accept something that wriggles and writhes so.","W„re es in irgendeiner Art K„fig... So wie es jetzt ist, kann ich nichts akzeptieren, das sich windet und zappelt."
"Amber","Bernstein"
"Cave-in","Einsturzgefahr"
"You are currently yielded.  Click to stop yielding.","Du hast derzeit nachgegeben. Klicke, um das Nachgeben zu beenden."
"sleeping without a proper room","Schlafen ohne eigenes Zimmer"
"by achieving higher and higher harmonics","durch Erzielung immer h”herer Harmonischer"
"pressed grime","gepresster Schlamm"
"this spire","diese Turmspitze"
"The topic being considered is ","Das Thema, um das es geht, ist "
"Read","Lesen"
"Skill 8","F„higkeit 8"
"How annoying!","Wie nervig!"
"Several major structures were destroyed","Mehrere wichtige Geb„ude wurden zerst”rt"
"Values harmony","Sch„tzt Harmonie"
"is a friendly individual","ist eine freundliche Person"
"show","zeigen"
"Nickname position (legends mode)","Position des Spitznamens (legends mode)"
"Guided by ","Gefhrt von "
"the establishment of a guildhall for ","die Einrichtung einer Gildenhalle fr "
"arrived at person","bei der Person angekommen"
"Fill ","Flle "
"Peace/","Frieden/"
"Most property was confiscated","Das meiste Eigentum wurde beschlagnahmt"
" laughs very loudly whenever "," lacht sehr laut, wenn "
", no workers",", keine Arbeiter"
"Preparing material data...","Vorbereiten der Materialdaten..."
"Seek Bad Mood Building","Schlechte-Laune-Geb„ude suchen"
"Aging items","Alternde Gegenst„nde"
"State feelings of confusion","Gefhle der Verwirrung angeben"
"[C:7:0:1]Has been sutured","[C:7:0:1]Wurde gen„ht"
" keyboard allows the musician to select the pitch of the instrument.]"," Tastatur kann der Musiker die Tonh”he des Instruments ausw„hlen]."
" forward bend"," nach vorne beugen"
"Historical figure deaths","Tode historischer Figuren"
"Clothesmaking","Kleidungsherstellung"
"Everything is all piling up at once!","Alles stapelt sich auf einmal!"
" the poem to life with this flawless recitation."," das Gedicht zum Leben mit dieser fehlerlosen Rezitation."
"synthesis","Synthese"
" and am returning to "," und kehre zurck zu "
"Wild animal gave birth","Wildtier hat Nachwuchs bekommen"
"The musician blows through a double reed in each pipe","Der Musiker bl„st durch ein Doppelrohrblatt in jeder Pfeife"
"Nest Box","Nistkasten"
"I can accept this.","Das kann ich akzeptieren."
"I admire this.","Ich bewundere das."
" struck by a ball of flames!"," von einer Flammenkugel getroffen!"
"appointed by ","Ernannt von "
"Finish setting hauling routes.","Beenden Sie die Festlegung der Transportwege."
"the Shrubland","das Buschland"
"respects the development of skill","respektiert die Entwicklung von F„higkeiten"
"Relieved","Erleichtert"
"A day's travel","Eine Tagesreise"
"It was fantastic.","Das war fantastisch."
"State minor feeling of satisfaction","Geringes Gefhl der Zufriedenheit angeben"
"is in ","ist in "
"Keep building after placement","Weiterbauen nach der Platzierung"
"(Charge) Collision","(Ladung) Kollision"
" engraving "," graviert "
"the reunion of ","die vereinigung von "
"offered revenge upon ","bot Rache an "
"logs","Staemme"
"A section of the cavern has collapsed!","Ein Abschnitt der H”hle ist zusammengebrochen!"
"Accuse the speaker of being a troublemaker","Beschuldige den Sprecher ein Unruhestifter zu sein"
"seized livestock from","beschlagnahmtes Vieh aus"
"has no ambition whatsoever","hat keinerlei Ambitionen"
"hospital","Krankenhaus"
"Feared as a murderer","gefrchteter M”rder"
"I'm a true ","Ich bin ein wahrer "
"really susceptible to disease","wirklich anf„llig fr Krankheiten"
"I am wracked by doubts!","Ich bin von Zweifeln geplagt!"
"I murdered ","Ich ermordete "
"I don't have enough weapon racks.","Ich habe nicht gengend Waffenst„nder."
"disgusted","angeekelt"
"has a small build and is weak and skinny","hat einen kleinen K”rperbau und ist schwach und dnn"
"'s surprised, ","berrascht, "
"Others were too nervous to make the journey to this unhappy fortress.","Andere waren zu nerv”s, um die Reise zu dieser unglcklichen Festung anzutreten."
"Death...","Tod..."
"the relationship between the length of the altitude of a right triangle and the lengths of the segments into which it divides the hypotenuse","die Beziehung zwischen der L„nge der H”he eines rechtwinkligen Dreiecks und den L„ngen der Segmente, in die es die Hypotenuse teilt"
" (no burrow)"," (kein Bereich)"
" has been missing for a week."," ist seit einer Woche verschwunden."
"Cull dead units at","Tote Einheiten beseitigen bei"
"talking with mother","im Gespr„ch mit Mutter"
"the fatal illness of ","die t”dliche Krankheit von "
"Reclaim/unretire","Rckforderung/Rckzug"
"values hard work","sch„tzt harte Arbeit"
"caught in dust","im Staub gefangen"
"Crutch-walker","Krckenl„ufer"
"a poor bedroom","ein schlechtes Schlafzimmer"
"In Vegetation","In der Vegetation"
"conical bore","kegelf”rmige Bohrung"
"Artifact/","Artefakt/"
"Put ","Legen "
" sacred sites were desecrated"," heilige Orte wurden gesch„ndet"
"You settle in this location...","Lasse dich an diesem Standort nieder..."
"Author: ","Autor: "
"Evening","Abend"
"bored","gelangweilt"
"I adopted a new pet.","Ich habe ein neues Haustier adoptiert."
"is very tall yet somewhat weak","ist sehr groá jedoch etwas schwach"
"being unable to reach a room for tax collection","einen Raum fr die Steuererhebung nicht erreichen zu k”nnen"
" with "," mit "
"sheep","Schaf"
"rumored quarreler","angeblicher Streithahn"
" missing plural string"," fehlende Pluralbezeichnung"
"Pit/Pond","Grube/Teich"
" to grant an important position"," einen wichtigen Posten zu vergeben"
"I'm not sure exactly where to look.","Ich bin mir nicht sicher, wo genau ich suchen soll."
"sparse","sp„rlich"
"master of beasts","Meister der Bestien"
"Historical figures ","Historische Figur "
"the criminals","die Verbrecher"
"I consider laws to be more of a suggestion than anything.","Ich halte Gesetze eher fr ein Vorschlag als alles andere."
"Downward stair (remembered)","Abw„rtstreppen (erinnert)"
"I'm feeling great!","Ich fhle mich groáartig!"
"Fail the struggle against great misery","Im Kampf gegen groáes Elend scheitern"
"HATCH TAKEN BY INVADERS","VON EINDRINGLINGEN EINGENOMMENE LUKE"
" break"," brechen"
"Duplicate Object: ","Objekt duplizieren: "
" into"," in"
"""This place is dangerous.  Steel yourself against ancient enemies.  Try not to let yourself be surrounded, and remain standing.  Enter and vanquish!  Or slip in unseen.  Securing the treasure is all that matters.""",",,Dieser Ort ist gef„hrlich. Rste dich gegen uralte Feinde. Versuche, nicht umzingelt zu werden, und bleibe aufrecht. Betritt den Ort und besiege sie! Oder schleiche ungesehen hinein. Die Sicherung des Schatzes ist alles, was z„hlt."""
"chanting","singend"
"dozens of","Dutzende von"
"the construction and use of the force pump","Die Produktion und Verwendung der Kraft-Pumpe"
"the Flask","Die Flasche"
"siege engineer","Belagerungsingenieur"
" with many others"," mit vielen anderen"
"axe","Axt"
"has a small build yet is strapped with massive amounts of muscle and lard","hat einen kleinen K”rperbau, jedoch mit riesigen Mengen an Muskeln und Fett"
"Specify a new image","Ein neues Bild festlegen"
"(no other folders will be deleted)","(andere Ordner werden nicht gel”scht)"
"flattery","Schmeichelei"
" made a journey to "," machte eine Reise nach "
"was ","war "
"temple","Tempel"
"as a citizen of","als Brger von"
"Ask how listener is feeling","Fragen Sie, wie sich der Zuh”rer fhlt"
"drinking goo","Schmalz trinken"
"Shop Specific","Spezifisches Gesch„ft"
"likes to stretch ","dehnt sich gerne "
"I feel despair.","Ich bin verzweifelt."
"is skinny and incredibly long","ist dnn und unglaublich lang"
"Ceremony","Zeremonie"
"Stringed Instrumentalist","Streich Instrumentalist"
"is incredibly short","ist unglaublich klein"
"Freedom","Freiheit"
"tends to stretch out when ","neigt dazu, sich zu strecken, wenn "
"Cruel","Grausam"
"Temperate Shrubland","gem„áigtes Buschland"
"Only members can visit (if guild established)","Nur Mitglieder k”nnen besuchen (wenn die Gilde gegrndet wurde)"
" less dizzy."," weniger schwindelig."
