"more presumptious","pli bravaæa"
"active performance storyteller","aktiva prezentista rakontisto"
"rough ","malglata "
"gem cutter shop (0,255,0)","gemfacetista butiko (0,255,0)"
"How's life here?","Kiel estas la vivo æi tie?"
"You fail to grab the ","Vi malsukcesas preni la "
"eating rotten food","manøi putran manøa¼on"
" through the "," tra la "
"Tavern keeper!  ","Gardisto de taverno!  "
"Milling","Muelado"
" and lordship of "," kaj sinjoreco de "
"sheet","folio"
"numerous series of","multnombraj serioj el"
"lines which can be read orthogonally across the standard lines","versoj, kiuj eblas orte legi tra la normaj versoj"
"history:sourcing:basic reliability","historio:fonto:baza fidendeco"
".  Will you have us?",". Æu vi havos nin?"
"Aquifer (Heavy)","Akvejo (Plena)"
" elaborate"," ellabora"
"[C:5:0:1]Pale","[C:5:0:1]Helaæa"
" blood."," sango."
"enjoys being in crowds","øuas esti en homamasojn"
"couplet","duversa strofo"
"Persuader","Persvadanto"
"Let's continue onward together.","Ni daýrigu plu kune."
"I can't take it!","Mi ne povas elteni øin!"
"stoicism","stoikecon"
"seeing ","vidi "
"mother ","patrino "
" delicate"," delikata"
"fairness","justecon"
"I'd like the ","Mi þatus la "
"quite quick to heal","tre rapida por resaniøi"
"parallelism ","paralelismo "
" refusing "," nea "
"Hive","Abelujo"
"Sometimes I just don't like somebody.","Iufoje mi nur ne þatas iun."
"mastered skill","tutlernis kapablon"
"receiving a higher rank of nobility","ricevi superan nobelan rangon"
"Hospitals","Malsanulejoj"
"Cavern Layer Passage Density Max","Maksimuma Paseja Denso de Kavernega Tavolo"
"Ice Up/Down Stairway","Glaca Supren/Suben Þtuparejo"
"Mint ","Bati "
"philosophy:logic:hypothetical syllogisms","filozofio:logiko:hipotezaj silogismoj"
" has shared a rumor from abroad."," aldonis famon el ekstero."
"Archer","Pafanto"
"ate favorite animal while starving","manøis plej preferatan beston kiam malsatmortonta"
"-stringed instrument","-kordinstrumento"
"[C:7:0:1:]Received ","[C:7:0:1:]Ricevis "
"sharply hooked","akre hoka"
"extremely narrow","ege mallarøa"
"I would love to join ","Mi amus aliøi "
"a talented poet","talenta poeto"
"Saving written content...","Savante skribitan enhavon..."
"spikes","pikiloj"
"Metalsmithing","Forøado"
"ship of the ","þipo de la "
"self","mem"
" bids you farewell!"," adiaýas vin!"
"an unknown creature","nekonata esta¼o"
"divine ","dia "
" dead."," mortinta."
"Start Hunt","Komenci Æaso"
"Ice Track (NE)","Glaca Trako (No-Or)"
"I feel so wronged.","Mi min sentas tiel malrespektita."
"I thought about my tomb.","Mi pensis pri mia tombo."
"a ligament","ligamento"
"How admirable!","Kia admirinda!"
"distrusted","malfidita"
"a deep well of patience","grandan fonton de pacienco"
"City","Urbo"
"died after colliding with an obstacle.","mortis post kolizi kun baro."
"[C:3:0:1]Dizzy","[C:3:0:1]Distriøema"
"Finalizing entities...","Finante entojn..."
"a legendary dining room","legenda manøoæambro"
" Interface scaling percentage if not fitting width"," Interfaco-skalada procento, se nekongrua larøo"
" performance of "," prezentado de "
"Values stoicism","Estimas stoikecon"
"seeking work as a performer","celante laboro pri interpretisto"
"Extracts","Ekstraktoj"
"LACK OF LOW-LYING CAVES","MANKO SUBAJN KAVERNOJN"
"  The defenders hired "," La defendantoj dungis "
"Ice Track (NSW)","Glaca Trako (No-Su-Ok)"
"frail","malfortika"
"This person is one of the ","Æi tiu homo estas unu el la "
"Acknowledge lack of despair","Agnoski mankon de malespero"
"messenger","sendito"
"Sorting creatures...","Ordigante esta¼ojn..."
"raided","rudeniris"
"Lair Hunter","Nestegæasisto"
"Meditate on ","Mediti pri "
" well."," bone."
"mathematics:algebra:finite summation formulas","matematiko:algebro:formuloj de finia sumo"
"Disconnected","Malkonektita"
"Loyalty should be rewarded.","Lojaleco devus esti rekompencita."
"Standard","Norma"
" are my comrades"," estas miaj kamaradoj"
"Are you still dancing?","Æu vi ankoraý dancas?"
"restless","maltrankvilan"
" Square Count"," Æeloj"
"Rescue ","Savi "
"incision","tranæado"
"marriage","edzeco"
"Loyalty has value, but you should always keep the broader picture in mind.","Lojaleco havas valoron, sed oni æiam devus teni la plej ampleksan bildon en la menso."
"Stay occupied","Okupiøi"
"Disdains loyalty","Malestimas fidelecon"
" is hot enough already."," estas sufiæa varma jam."
"Serene","Serenaj"
"octet","stanco"
"Reveal All Historical Events","Malkaþu Æiujn Historiajn Eventojn"
"Metalcrafting","Metalmetio"
"more obsessive","pli obseda"
"I had an intellectual discussion with my lover.","Mi havis intelektan diskuton kun mia amanto."
"an absolute inability to understand social relationships","absolutan malkapablon kompreni sociajn rilatojn"
" reclaimed "," rehavita "
"Contains ","Enhavas "
"Headwear","Kapvestoj"
"bowman","pafarkisto"
"admire building","admiri konstrua¼on"
"is utterly humorless","estas tute senhumura"
" training!"," dresita!"
"What's this about proper living?","Kio estas æi tio pri øuste vivi?"
"major","æefa"
"Not enough high altitude locations after erosion","Ne sufiæe da lokoj de alta alteco post erozo"
" for a mug."," por taso."
"philosophy:aesthetics:value of art","filozofio:estetiko:valoro de la arto"
"tall","alta"
"Ice Track (NEW)","Glaca Trako (No-Or-Ok)"
"I'm ambivalent.","Mi estas hezitanta."
" using "," uzante "
"request ignored","peto ignorita"
"eating at crowded table","manøi æe homplena tablo"
"Base flattery!","Fia flatado!"
"narrow-chinned","mallarømentona"
"Animal Dissection","Sekcado de Bestoj"
"chieftain","estro"
"Supernatural vengeance","Supernatura venøo"
"the construction and use of the balance wheel","la produktado kaj la uzado de la balanciero"
"dimeter","dusilaba"
"crime of attempted murder","krimo de provita murdo"
"Fifth","Kvina"
"I had an intellectual discussion with my friend.","Mi havis intelektan diskuton kun mia amiko."
"a turn-around after ","turniøo post "
"Underground Pool","Subtera Lageto"
"Heavily Forested","Tre Densa"
"bruised","kontuzita"
"Wedges","Kojnoj"
"in a double circle","en duopa cirklo"
"I'm so regretful.","Mi estas tiel bedaýrinta."
"zombie ","zombio "
"dubious ","duba "
" is injected into the "," injektis en la "
" claimed "," pretendis "
" drinks "," drinkas "
"twenty","dudek"
"Equip/always","Kunhava¼o/æiam"
"fourth eldest daughter","kvara plej aøa filino"
"Agree completely","Konsenti tute"
"This might require an answer.","Æi tio povus bezoni respondon."
"tragic ","tragedia "
"[C:7:0:1]Hospitals[C:7:0:0]","[C:7:0:1]Malsanulejoj[C:7:0:0]"
"makes","igas"
"less orderly","malpli ordema"
"They consider you a key figure in the opposition.","Ili konsideras vin þlosila figuro en la opozicio."
"Chop down tree","Faligu arbon"
"more likely to brawl","pli ema interbati"
"a killer","mortiginto"
"draining","drenado"
" table"," tablo"
"the reasons why gears are effective","la kialoj pri kiuj la dentradoj efikas"
"long-long","longa-longa"
"Society flourishes when law breakers are punished.","Socio floras kiam punitaj estas la rompintoj de leøoj."
"Kitchen, Brew","Kuirejo, Bierfari"
"philosophy:logic:analogical inference","filozofio:logiko:analogia konkludo"
"Fairness","Justeco"
"alarmed","alarmsenton"
"conflict","kontraýado"
"I lost some property to taxes.","Mi perdis iun poseda¼on al impostoj."
"The stockpile records are ","La registroj pri deponejoj estas "
"Hardness","Dureco"
" is to blame!"," kulpas!"
"prophet","profeto"
"oil-bearing ","þtonole-hava "
"Why must they be so violent?","Kial ili devas esti tiel violenta?"
"monometer","unusilaba"
"is somewhat uncomfortable around those that appear unusual or live differently from ","estas iom malkomforta æirkaý tiuj, kiuj þajnas nekutimaj aý vivas malsame ol "
"You heat the ","Vi varmigas la "
", although ",", kvankam "
"It is done.","Øi estas farita."
"the ghost of my lover","la fantomo de mia amanto"
"On ","sur "
"I feel so rejected.","Mi sentas tian malakcepton."
"strand body part","fibra korpoparto"
"Ice Downward Track (SW)","Glaca Malsupren Trako (Su-Ok)"
"don't","ne"
"very smooth","tre glata"
"Grassy Up/Down Stairway","Herba Supren/Suben Þtuparejo"
"Oh, no,","Ho, ve,"
"noisy","brua"
" are dangerous outlaws."," estas danøeraj eksterleøuloj."
"Merchants have arrived and are unloading their goods.","Komercistoj alvenis kaj estas malþarøante iliajn varojn."
"body part","korpoparto"
"a library","biblioteko"
"pressed clear glass","kunpremita klara vitro"
"uneven-even","nepara-para"
"Asylum","Azilo"
"astronomy:geocentric model","astronomio:tercentra modelo"
"I had a nightmare about my deceased mother.","Mi havis inkubsonøon pri mia forpasinta matro."
"Dwarves, for example, require non-evil, non-good, unsavage mountain squares that aren't surrounded by the ocean.  ","Dvarfoj, ekzemple, bezonas æelojn ne malbonajn, ne bonajn, ne sovaøajn kaj montajn, kiuj ne estas æirkaýitaj de la oceano. "
"hearthperson","kor'ulo"
"a poor memory","malbonan memoron"
"monkey","simio"
"Move keyboard cursor up (z)","Movi klavar-kursoron supren (z)"
" detriment"," malutilo"
"The rest of the vomit falls away into the chasm.","La resto de la vomita¼o forfalas en la abismon."
"That makes me angry.","Tio min faras kolera."
"Intimidator","Minacanto"
"You shouldn't whittle your life away on working.","Oni ne devu eluzi sian vivon laborante."
"I suppose this would be a joyous occasion.","Mi supozas, ke tio æi estus øojega okazo."
"finds the notion that one would persevere through adversity completely abhorrent","trovas tute abomeninda la nocion, ke oni persistus tra malprospero"
"extravagance","eksterirecemo"
"feels best when everyone gets along without any strife or contention","sentas sin plej bone kiam æiuj interkonsentas sen ajna malpaco aý disputo"
"Hunter of ","Æasisto de "
"astronomy:precession of equinoxes","astronomio:precesio de ekvinoksoj"
"Default low traffic path cost","Defaýlta kosto por malalto-trafika vojo"
"Unbelievable.","Nekredeble."
"plant ","vegetala "
"is vengeful and never forgets or forgives past grievances","estas venøema kaj neniam forgesas aý pardonas pasintajn plendoj"
"Tracker","Spuristo"
"You might want to check your maximum elevation value and other elevation parameters.  ","Vi eble volas kontroli vian maksimuman altecan valoron kaj aliajn altitudajn parametrojn. "
" the "," la "
"hunting.","æasanta."
"lines don't","versoj ne"
"feels ","sentas "
"Minimum Number of Mid-Elevation Squares","Minimuma Nombro da Mezalte Altitudaj Æeloj"
"Talented","Talenta"
"member","membro"
"Grab Kill","Preni Æasakiron"
"Letter","Letero"
"minecarts","vagonetoj"
"No, that's not annoying.","Ne, tio ne æagrenas."
"wrongful ","malprava "
"sparring.","ekzercluktante."
"refined","rafinita"
"painting","pentrarto"
"Saving buildings...","Savante konstrua¼ojn..."
"strings","kordoj"
"wrestling","lukto"
"Some performers finish their act.","Iuj interpretistoj finas siajn aktojn."
"the Wedge","la Kojno"
"I'm quite optimistic.","Mi estas tre optimisma."
"Acknowledge lack of awe","Agnoski mankon de admiro"
"Specify type","Specifi tipon"
"That was exasperating.","Tio estis malpacienciga."
"A poetry recital","Deklamado de poezia¼o"
"Retake door to forbid it.","Repreni pordon por malpermesi øin."
" (cannot individually drill)"," (ne povas individue simuli)"
"known enemy fighter","konata malamika batalisto"
"contemplating","kontemplante"
"shop","butiko"
"them","ilia"
"is not bothered in the slightest by deviations from the norm or even extreme differences in lifestyle or appearance","estas tute ne øenita de devioj de la normo aý eæ ekstremaj diferencoj en vivstilo aý aspekto"
" strike"," frap"
"Flatterer","Flatisto"
"aversion","abomeno"
"Pistons","Piþtoj"
"I have confidence in your abilities.","Mi fidas viajn kapablojn."
"I burn with such passion!","Mi brulas de tia pasio!"
"to the ","al la "
"You have selected a large area.","Vi elektis grandan areon."
"[C:1:0:0]Drowsy","[C:1:0:0]Dormema"
"I ","Mi "
"spoke","parolis"
"Dirt","Grundo"
"Poet","Poeto"
" trees, butcher."," arboj, buæisto."
"the Pyramid","la Piramido"
" to the ground from over-exertion."," al la grundo pro super-klopodo."
" things orderly"," jn a¼ojn ordigitaj"
"You might want to adjust the parameters governing volcanism.  ","Vi eble volas aløustigi la parametrojn por difini vulkanismon. "
", and now we can all see why.",", kaj nun ni æiuj povas vidi la kialon."
" Floodgate"," Kluzo"
"Ice Downward Track (NEW)","Glaca Malsupren Trako (No-Or-Ok)"
"harsh","malmola"
" subtle"," subtila"
"play","ludi"
"Eggs","Ovoj"
"pressed potash","kunpremita potaso"
"chemistry:laboratory:glass funnel","¶emio:laboratorio:vitro funelo"
"Abandoned","Forlasita"
"nightmares","inkubsonøojn"
" bowl is attached to the neck to provide additional overtones.  "," bovlo estas aligita al la kolo provizi pliajn supratonojn. "
"haunted","hantita"
"leftward bends","maldekstren kliniøadoj"
"I need to perfect my skills.","Mi bezonas perfetigi miajn kapablojn."
"State feelings of great acceptance","Deklari sentojn de granda akcepto"
"is weak and extremely long","estas malforta kaj ege longa"
" choose"," elektas"
"clean-shaven","razegita"
"be made expressively","esti farita esprimante"
"Autosave frequency","Aýtokonservada frekvenco"
"Forms of ","Formoj de "
"the ghost of my animal training partner","la fantomo de mia dres-kunulo"
"Apprentice","Lernanto"
"This is nothing.","Æi tio estas nenio."
"item","a¼o"
"Wordsmith","Vortomajstro"
"Rainfall and Rivers","Precipita¼o kaj Riveroj"
"Number","Nombro"
" propelled away by the force of the blow!"," propulsita for de la forto de la bato!"
"Siege Engineering","Inøenierarto de Sieøo"
"terrifying wilderness monster","timiga savaøeja monstro"
"Max Megabeast Caves","Maks' Supermonstraj Kavernoj"
" splits in gore!"," dividas en sangego!"
" pump"," pumpilo"
"How embarrassing!","Kia honteto!"
"very splayed out","tre disvastiøita"
"Weapon Trap","Insida¼o de Armilo"
" because you are starving to death."," æar vi estas malsatmortonta."
"a legendary storyteller","legenda rakontisto"
"Acknowledge lack of fear","Agnoski mankon de timego"
" ransomed "," æantaøis "
"atmospheric refraction","atmosfera refrakto"
"I prey on the blood of civilized creatures.","Mi predas la sangon de civilizitaj esta¼oj."
"wrestler","luktisto"
"Self-Examination","Memobservado"
" Barrel"," Barelo"
"died in a cage","mortis en kaøo"
"unrotten ","neputra "
"I'm very averse to this.","Mi estas tre abomenanta al tio æi."
"I laugh in the face of death!","Mi ridas al la vizo de la morto!"
"Farming (Fields)","Kulturado (Kampoj)"
"The lyrics of the accompaniment are so embarrassing!","La kantoteksto de la akompana¼o estas tiel hontinda!"
"You might want to adjust the parameters governing elevation.  ","Vi eble volas aløustigi la parametrojn por difini altitudon. "
"I'm not gleeful.","Mi ne estas gajega."
"is extremely long with muscle and fat in equal measure","estas ege longa kun muskolo kaj graso en egala mezuro"
"Methods","Metodoj"
"cultural history","kulturhistorio"
"stagnant pool","stagna naøejo"
"Acknowledge lack of elation","Agnoski mankon de øojo"
"whip","vipilo"
"Emotional obsessive","Emocie obsedema"
"visited","vizitis"
" try"," penas"
"the unexpected death of somebody","la neatendita ies morto"
"It's my mess.","Øi estas mia fuþa¼o."
"Loading schedules...","Þargante horarojn..."
"The world generator is having trouble placing low-lying caves.  ","La mondogenerilo havas problemon por loki subajn kavernojn. "
"massacring ","hombuæante "
"Cultural history","Kulturhistorio"
"drowsy","dormema"
"Acknowledge lack of unhappiness","Agnoski mankon de malfeliæo"
"Envious","Enviema"
"being away from animals for so long","tiel longe esti for de bestoj"
"stars","steloj"
"a large deficit of willpower","grandan nesufiæon da volforto"
"Comparative Anatomy","Kompara Anatomio "
"vengeful","venøeman"
"Grand Master","Granda Majstro"
"is quick to anger","estas rapida koleriøi"
"I slept in the mud.","Mi dormis sur la koto."
"Not enough low-lying cave locations after location check","Ne sufiæe da lokoj de suba kaverno post kontrolo pri lokoj"
"sleeping on the floor","dormanta sur la planko"
" is visiting."," vizitas."
"died in a trap","mortis en insida¼o"
"disdains even the best advice of associates and family, relying strictly on ","malestimas eæ la plej bonajn konsilojn de partneroj kaj familio, fidante strikte je "
"will be ","estos "
"processable ","prilaborebla "
"I slaughtered an animal.","Mi buæis beston."
"History length","Longo de historio"
"Walking spreads spatter","Marþi disvastiøas þpruca¼ojn"
"called the ","nomiøita la "
"The vegetation is bent here.","La vegeta¼aro estas fleksita æi tie."
"a raid","atakado"
"Died after colliding with an obstacle","Mortis post kolizi kun baro"
" half"," duona"
"the proclamation of a series of oppressive edicts upon ","la proklamo de serio de subpremaj ediktoj sur "
"High Master","Æefmajstro"
"philosophy:aesthetics:nature of beauty","filozofio:estetiko:naturo de la belo"
" get"," akiras"
"the path of the moon","la vojo de la luno"
"considering","prepinsanta"
"I yelled at somebody in charge.","Mi kriis al iu respondeculo."
"[C:5:0:1].Butchered","[C:5:0:1].Buæata"
"I had a nightmare about my deceased sibling.","Mi havis inkubsonøon pri mia forpasinta gefrato."
"It has been long time since I've done something creative.","Estas longe ekde mi faris ion krean."
"I'm not much of a decision maker.","Mi ne estas tiel decidanto."
"You could not find a partner.","Vi ne povis trovi kunulon."
"maintain balance in universe","konservi ekvilibron en universo"
"Nobody is free, and it is pointless to act as if you are.","Neniu estas libera, kaj estas sencele agi kiel oni estus tia."
"the ghost of my child","la fantomo de mia infano"
"be made with skill","esti farita per lertecon"
"That sounds just like the ","Tio sonas same kiel la "
"The guilt is almost unbearable!","La kulposento estas preskaý neeltenebla!"
" over the latter's romantic relationship"," super la romantika rilato de æi-lasta"
" adjusts"," aløustigas"
"a legendary drink","legendan drinka¼on"
" has sprung from ambush!"," elsaltis el embusko!"
"Biter","Mordanto"
"Release choke of ","Lasi strangolon de "
"Needs: ","Bezonoj: "
"I have fallen for ","Mi ekamis "
"discourse on the nature of events","diserta¼o pri la naturo de la eventoj"
"torture","torturo"
"I must withdraw!","Mi devas retiriøi!"
"woodworker","lignolaboristo"
"Now we will live under ","Nun ni vivos sub "
"the construction and use of mural instruments","la produktado kaj la uzado de la muraj instrumentoj"
"Untamed wilds","Sovaøejoj"
"Ha ha ha...  You're funny!","Ha ha ha... Vi estas amuza!"
"an infamous murderer","fifamega murdinto"
"being reunited with a loved one","esti rekunvenita kun karulo"
"Track/Ramp (SE)","Trako/Ramplo (Su-Or)"
"the World's Shape","la Monda Formo"
"happiness","feliæo"
"the Moving Sun","la Mova Suno"
"proof by contradiction","pruvo per disputo"
"Overall, the poetry is masterful","Entute, la poezia¼o estas majstra"
"Not enough mountain cave locations after location check","Ne sufiæe da lokoj de monta kaverno post kontrolo pri lokoj"
"the imported clothing market","la bazaro de importitaj vestoj"
"Bridge","Ponto"
"Office","Oficejo"
"along a clockwise circle","laý horloødirekta cirklo"
"Track/Ramp (N)","Trako/Ramplo (No)"
"Late ","Malfrua "
"is a nervous wreck","estas nervoza ¶aozo"
"Please maintain your dignity.","Bonvolu konservi vian dignon."
"I had a drink without using a goblet.","Mi trinkis drinka¼on ne uzante pokalon."
"Saving mandates...","Savante komisiojn..."
"being tormented in nightmares by a dead animal training partner","esti turmentita, en inkubsonøoj, de mortinta dres-kunulo"
"the Powers","la Potencoj"
"I'm concentrating on something.","Mi koncentras min pri io."
"Through ","tra "
"stone ","þtono "
"is slow","estas malrapida"
"becomes completely helpless in stressful situations","fariøas tute senpova dum streæitaj situacioj"
"being unable to be extravagant for so long","tiel longe ne povi esti ekstravaganca"
"Display Furniture","Elmontra Meblo"
"another","alia"
"not a half hour ago","antaý ne pli, ol duonhoro"
"less lustful","malpli voluptema"
"Second","Dua"
"Dioptras","Dioptroj"
"I was far away.","Mi estis for malproksime."
"slightly protruding","iomete protrudanta"
"You last spoke ","Vi laste parolis "
"Promise of Position","Promeso de Posteno"
"Autosave the game after embark","Aýtokonservu la ludon post ekloøo"
"depravity","malvirto"
":pipes:pipes",":þalmoj:þalmoj"
"Sluggish","Inerteta"
" guildhall"," gildejo"
"Enterprise","Entrepreno"
"Wall","Muro"
"been found dead.","trovita mortinta."
" suspended the construction of "," haltigis la starigo de "
"Cunning","Malico"
"completely swollen","tute þvelita"
" for "," por "
"owner","propriulo"
"the comparison of the anatomy of creatures","la komparado pri la anatomio de esta¼oj"
"If you want to offer your condolences, ","Se vi volas oferi viajn kondolencojn, "
"War buddy","Militkamarado"
"Farming/Related","Kulturado/Rilata"
"Skirmishing","Batalo"
"mathematics:geometry:existence of incommensurable ratios","matematiko:geometrio:ekzisto de nekunmezureblaj rilatoj"
"You were","Vi estis"
"mathematics:geometry:area enclosed by line and parabola","matematiko:geometrio:areo enfermita de linio kaj parabolo"
"build a fire","kontrui lignofajron"
"is utterly fearless when confronted with danger, to the point of lacking common sense","estas tute sentima kiam konfrontite de danøero, øis la punkto de manko de prudento"
"being near to a conflict","esti proksima al konflikto"
"southeast","sudoriente"
"[C:3:0:1]Cleaned","[C:3:0:1]Purigis"
"Personal freedom must be tempered by other considerations.","Persona libero devas esti moderigita de aliaj konsideroj."
"boiling green glass","bolanta verda vitro"
"The world generator is having trouble placing forests.  ","La mondogenerilo havas problemon por loki arbarojn. "
"Gwargh!","Gvarg!"
"Such a relief!","Kia malpezigo!"
"the Cause of Twilight","la Kaýzo de Krepusko"
"Pillar","Kolono"
"is muscular and extremely thin","estas dikmuskola kaj ege mallarøa"
"Cloth (Silk)","Vestoj (Silkaj)"
"Not ambitious","Ne ambicia"
"unglazed ","neglazurita "
"breaking away","disirante"
"Although my own insignificant beliefs lie elsewhere,","Kvankam miaj propraj nesignifaj kredoj kuþas aliloke,"
"very low","tre malaltan"
"Jeweler","Juvelisto"
"Values power","Estimas potecon"
"alliteration","aliteracio"
" empty "," malplenigas "
" partner"," kunulo"
"defeated","malvenkita"
"Seems a pleasant enough ","Þajnas, ke sufiæe agrabla "
"Beekeeper","abelisto"
"This is so humiliating.","Æi tio estas tiel humiliganta."
"Strangle ","Strangoli "
"dining halls.","manøejoj"
"diagnostician","santaksisto"
"exceptionally prepared ","escepte preparita "
"Site government","Registaro de loøloko"
"Be with family","Esti kun familio"
"surveying by triangulation","termezurado per triangulado"
"is dour as a rule","kutime estas malgaja"
"Retracted ","Retirita "
" fairly"," egale"
"the construction and use of the blast furnace","la konstruado kaj la uzado de la fornego"
" pairs"," paroj"
"Tired","Laca"
"The throne room","La tronæambro"
"be broad","esti ampleksa"
" (Rusty)"," (S-prkt)"
"the Grassland","la Herbejo"
"star catalogues","stelaj katalogoj"
"the reliability of sources","la fidendeco de fontoj"
"Keybindings","Klavligoj"
"Legendary","Legenda"
"Organize Combat Training","Organizi Ekzercadon Batalan"
"Make sure your parameters and raw objects have adequate vegetation.  ","Certiøu, æu viaj parametroj kaj krudaj objektoj havas taýgan vegeta¼aron. "
"bone doctor","ostokuracisto"
"Thrower","¬etanto"
"has a strong tendency toward privacy","havas fortan emon al privateco"
" values romance"," aprezas enamiøon"
"Grab Ammunition","Preni Municion"
"Generating items...","Generante a¼ojn..."
"That wasn't amazing.","Æi tio ne estis mirinda."
"Normal strike","Normala frapo"
"Your trap was robbed of the ","Via kaptilo estis þtelata el la "
"astronomy:phases of the moon","astronomio:fazoj de la luno"
"the Equinoxes","la Ekvinksoj"
"Made","Farita"
" own"," propra"
"willing to trade","vola komerci"
"the infiltration of ","la enfiltriøado de "
" pitch.  "," tonalton.  "
"Grand Mausoleum","Grandioza Maýzoleo"
"I was cried on by an unhappy worshipper.","Ploris sur mi malfeliæa adoranto."
"I'm ","Mi statas "
"[C:4:0:1]Autumn","[C:4:0:1]Aýtumno"
"High stamina","Alta eltenemo"
" Upward Track (NE)"," Supren Trako (No-Or)"
"less confident","malpli memfida"
"Maximum Natural Cave Size","Maksimuma Grando de Naturaj Kavernoj"
" member"," membro"
"This is ","Æi tio estas "
" by a "," de "
"You are too kind.","Vi estas tro afabla."
"lust","volupto"
"Subterranean Water","Subtera Akvo"
"to refuse consolation","rifuzi konsolon"
"What?","Kio?"
"value ","estimi "
"medicine:theory:prognosis","medicino:teorio:prognozo"
"your more ethical works.  We've come to trade.","viaj pli etikaj verkoj. Ni venis komerci."
" crude"," kruda"
"tracheotomy surgery","tra¶eotomia ¶irurgio"
"Reaction","Reakcio"
"Hopeful","Esperplena"
" is dead?"," estas mortinta?"
"Sorting creature bodies...","Ordigante esta¼ajn korpojn..."
"Sabotage","Sabotita"
"Medical School","Medicina Lernejo"
"the keep","la æefturo"
"There are no fewer than ","Estas ne malpli ol "
"It's worrisome.","Øi estas koncerniganta."
"Range: ","Intervalo: "
"Gregarious","Societema"
"an awful bedroom","malbonega dormoæambro"
"somewhat short","iom malaltstatura"
"philosophy:logic:direct inference","filozofio:logiko:rekta konkludo"
"engineering:machine:camshaft","inøenierarto:maþino:kamþafto"
"Werebeast Attack Population Rating","Kvanto de Loøantaro por Hombesta Atako"
"discord","malagordo"
"Skip tutorial","Salti lernilon"
" with a hundred or more others"," kun cent aý pli aliaj"
"Create a performance troupe together (group naming menu)","Krei prezentistan trupon kune (menuo pri nomado de grupo)"
", including ",", inkluzive "
"Similar Triangles","Similaj Trianguloj"
" did not name "," ne nomis "
"leather goods shop sign","pendoþildo de butiko de ledaj varoj"
"have no tomb","havi nenian tombon"
"mathematics:geometry:area of circle","matematiko:geometrio:areo de cirklo"
"I'm so distressed about this!","Mi estas tiel angora pri tio æi!"
"medicine:theory:pulmonary circulation","medicino:teorio:pulma cirkulado"
"bitterness","amaro"
"surgical models","¶irurgiaj modeloj"
"Is it really you?","Æu estas vere vi?"
"I really don't see this working out.","Mi vere ne antaývidas æi tion funkciante."
" box"," ujo"
"build as it proceeds","konstrui dum øi daýrigas"
"a murderer","murdinto"
" Demonstration"," Demonstrado"
"Insufferable!","Netolereble!"
"Glassmaking","Vitrofarado"
"the scarcity of cages and chains","la malabundo de kaøoj kaj katenoj"
"DOOR USED BY INTRUDER","PORDO UZITA DE ENTRUDULO"
"incommensurable ratios","nekunmezureblaj rilatoj"
"Upright ","Rekte "
"Values sacrifice","Estimas sindonemon"
"I feel no remorse.","Mi sentas neniom da rimorso."
"heirloom","hereda¼o"
" stands"," standoj"
"Goals","Celoj"
"The instrument has flue pipes and free reed pipes.  ","La instrumento havas lip- kaj anæofajfilojn kun anæoj liberaj. "
" recited "," deklamis "
"broad","sta"
"Seek Animal for Taming","Seræi Beston por Aldomigado"
"I was accosted by ","Aliris al mi "
"Nature","Naturo"
"finds the humor in most situations","trovas la humuron en la plej multaj situacioj"
"more dutiful","pli obeema"
"Peddler","Kolportisto"
"extremely short","ege mallonga"
"Track/Spoor","Vojo:"
"forced to drink bloody water","trudita trinki sangan akvon"
" time"," tempo"
"Where are their forces?  Are there patrols or guards?","Kie estas iliaj fortoj? Ekzistas patroloj aý gardistoj?"
"I chained up a creature.","Mi enkatenigis esta¼on."
"The world generator is having trouble placing mountain caves.  ","La mondogenerilo havas problemon por loki montajn kavernojn. "
"Paved Road","Pavimita Vojo"
"I feel such unbearable sadness...","Mi sentas tian neelteneblan triston..."
"pestered by flying micro vermin","koleretigita de flugantaj minifibestoj"
" mind after forming an initial idea"," n opinion post formado de komenca ideo"
"I made ","Mi faris "
"There is no specific information for this activity.","Ne ekzistas specifaj informo por æi-aktiveco."
"mathematics:geometry:properties of chords","matematiko:geometrio:propra¼oj de la þnuroj"
"after being unable to admire art","post ne povi admiri belarton"
"destroyed building","detruis konstrua¼on"
"Grab Shear Unit","Preni Unuon por Lantondado"
" sadism"," sadismo"
"This is my fight too.","Æi tiu estas ankaý mia batalo."
"How affectionate I am!","Kia afekcia mi estas!"
"Replace all","Anstataýigu æiujn"
"Bottom Layer (Forces Magma)","Funda Tavelo (Devigas Magmon)"
"Acknowledge lack of suspicion","Agnoski mankon de suspekto"
"The struggle for power must be balanced by other considerations.","La lukto por potenco devas esti ekvilibra je aliaj konsideroj."
"Consoler","Konsolanto"
" pipes"," þalmoj"
"The musician uses a ","La muzkisto uzas "
"There's fighting!","Ekzistas batalo!"
" imprisoned"," malliberigita"
"I feel so restless!","Mi estas tiel maltrankvila!"
" Track (S)"," Trako (Su)"
" was created"," estis kreita"
"Fishing","Fiþkaptado"
"Economy population trigger 2","Loøantara ellasilo de ekonomio 2"
"outrage","indignego"
"Bookbinder","Bindisto"
"marshals","marþaloj"
" have compound fractures"," havas kompleksajn frakturojn"
"confused","konfuzitan"
"Languages...","Lingvojn..."
"Decent Quarters","Deca Loøejo"
"putting on a","sumeti "
"the concept of ","la koncepto de "
"Unswayed by emotions","Malemas kortuþiti"
