"its","его"
"disdaining the law","презирая закон"
"respect of","уважение"
"fear of","страх"
"love of","любовь к"
"loyalty toward","лояльность"
"trust of","доверие"
"the efforts of co-conspirators to further the plot","усилия сообщников по дальнейшему развитию заговора"
"loathed abuses of power and refused","ненавидел злоупотребления властью и отказался"
"valued the law and refused","уважал закон и отказался"
"fearing of death","страх смерти"
"being afraid","будучи напуганным"
"feelings of vanity","тщеславие"
"feelings of greed","жадность"
"being swayed by the emotional appeal","находится под влиянием эмоционального порыва"
"a desire for vengeance","желание отомстить"
"an unwillingness to accept death","нежелание принять смерть"
"had no respect for","не уважал"
"was unafraid of","не боялся"
"hated","ненавидел"
"felt no loyalty to","не был предан"
"distrusted","доверяли"
"and refused","и отказался"
"  Allies surrounding "," Союзники окружают "
" raised their suspicions and the plan was foiled."," что-то заподозрили, и план был раскрыт."
"  The plan failed."," План не сработал."
", as ",", как "
" attempted to corrupt "," пытался коррумпировать "
" subordinated "," подчинялся "
" corrupted "," коррумпирован "
"spouse ","супруг "
"lover ","любовник "
"childhood friend ","друг детства "
"comrade-in-arms ","товарищ по оружию "
"fellow scholar ","дружественный учёный "
"fellow artist ","дружественный художник "
"fellow athlete ","дружественный спортсмен "
"mother ","мать "
"father ","отец "
"master ","наставник "
"apprentice ","ученик "
"companion ","спутник "
"ex-spouse ","бывший супруг "
"guildmate ","согильдиец "
"fellow company member ","дружественный член группы "
"troupemate ","участник труппы "
"fellow order member ","дружественный член ордена "
"fellow believer ","дружественный верующий "
"neighbor ","сосед "
" in order to secure embezzled funds in "," в целях обеспечения сохранности растраченных средств в "
" in order to have someone to act on plots and schemes in "," для того, чтобы найти исполнителей своих коварных планов в "
" in order to have law enforcement look the other way in "," чтобы стража смотрела в другую сторону "
" as a member of "," в качестве члена "
" toward the fulfillment of plots and schemes in "," к выполнению замышляемых планов в "
" in order to have an agent in "," чтобы иметь агента в "
"the wilds","дебрях"
"the corruption of ","коррумпирование "
"the failed attempt by ","неудачная попытка "
" to corrupt "," коррумпировать "
"Subject revealed that in ","Субъект сообщил, что в "
"a corrupt agreement was formed","сформировано коррупционное соглашение"
"an unknown party","неизвестная группа"
", and ",", и "
" concocted "," продуманный "
"a embezzlement conspiracy","скрытие растраты"
"a corruption conspiracy","коррупционный заговор"
"a bribery conspiracy","скрытие подкупа"
" plotted to infiltrate "," планировал внедриться "
" in order to "," чтобы "
"prepare a coup","подготовить переворот"
"instill terror","внушить ужас"
"initiate sabotage","начать диверсию"
"steal treasures","украсть сокровища"
" approached by "," подошел "
" to handle the matter directly or through another party"," решать вопрос напрямую или через посредника"
" under the influence of "," под влиянием "
" plotted to frame "," планировал подставить "
" for "," для "
"production order violation","нарушение приказа о производстве"
"export prohibition violation","нарушение запрета на экспорт"
"job order violation","нарушение приказа о работе"
"a conspiracy to slow labor","заговор для замедления работ"
"murder","убийством"
"disorderly conduct","хулиганство"
"building destruction","разрушение строения"
"bribery","взятка"
"embezzlement","растрата"
"vandalism","вандализм"
"theft","кража"
"robbery","ограбление"
"espionage","шпионаж"
"treason","измена"
"blood-drinking","вампиризм"
"attempted theft","попытка кражи"
"attempted murder","покушение на убийство"
"kidnapping","похищение"
"attempted kidnapping","попытка похищения"
" by fooling "," обманом "
" plotted to induce a war of "," планировал спровоцировать войну "
" upon "," на "
" plotted to sabotage the activities of "," планировал подрывать деятельность "
" via "," с помощью "
" plotted to abduct "," планировал похитить "
" plotted to assassinate "," планировал убить "
" plotted to steal "," планировал украсть "
" promised "," обещал "
" to give "," чтобы дать "
" a position"," должность"
" began "," начал "
"passing a portion of corruptly-obtained funds","передан как часть незаконно полученных средств"
"embezzling funds","растрата средств"
"accepting bribes in exchange for leniency","принятие взятки в обмен на снисходительность"
" aided "," способствовал "
" in becoming a permanent part of the living world",", становясь постоянной мира смертных,"
".  The ritual took place in ",". Ритуал был выполнен в "
" using "," используя "
".  The ritual involved ",". Ритуал включал "
" agreed to a parley with "," согласился на переговоры с "
" made an agreement with "," заключили соглашение с "
", becoming a resident of ",", став жителем "
" to study"," чтобы заниматься наукой"
" to work as a mercenary"," чтобы работать наёмником"
" to entertain the citizenry"," чтобы развлекать жителей"
" to eradicate monsters"," чтобы истреблять монстров"
", becoming a citizen of ",", став гражданином "
" joined with "," присоединился к "
" to help rescue ",", чтобы помочь спасти "
" to oust ",", чтобы изгнать "
" to entertain the world"," чтобы развлечь мир"
" to live a life of adventure",", чтобы жить жизнью полной приключений"
" after being compelled to serve"," после того как был заставлен служить"
" as a guide"," в качестве проводника"
" to find ",", чтобы найти "
" in order to be brought to safety",", чтобы отвести в безопасное место"
" agreed to establish "," согласились основать "
"a grand guildhall","великий зал гильдии"
"a guildhall","зал гильдии"
"a temple complex","храмовый комплекс"
"a temple","храм"
"the formation of a corrupt agreement","заключения коррупционного соглашения"
"the embezzlement conspiracy","скрытие растраты"
"the corruption conspiracy","скрытие коррупции"
"the bribery conspiracy","скрытие взятки"
" concocted by "," проработан "
"the plot of ","заговор "
" to infiltrate "," проникнуть "
" to frame "," чтобы подставить "
" to induce a war of "," чтобы вызвать войну "
" to abduct "," похитить "
" to assassinate "," убить "
" to steal "," украсть "
"the promise by ","обещание "
" of"," из"
"the passing of corruptly-obtained funds by ","передача незаконно полученных средств "
"the embezzlement of","растрата"
"the bribery of","дача взятки"
"the permanent joining by ","постоянное присоединение "
" to the living world"," в мир смертных"
"the parley between ","переговоры между "
"the agreement between ","соглашение между "
" and become a resident of "," и становится жителем "
" and become a citizen of "," и становится гражданином "
"the joining of ","присоединение "
" in bound service"," в связанное служение"
"the agreement by ","соглашение "
" to establish "," основать "
" has revealed the presence of "," выявил наличие "
"Nameless","Безымянный"
"Unidentified","Неопознанный"
"A plot","Заговор"
"Sabotage","Диверсия"
"Abduct","Поихищение"
"Assassinate","Убийство"
"Steal","Кража"
"Corrupt","Коррупция"
"Provide Position","Предоставление должности"
"Attempted Embezzlement","Попытка растраты"
"Attempted Espionage","Попытка шпионажа"
"Attempted Bribery","Попытка подкупа"
"Infiltrate","Проникновение"
"Frame","Подставить"
"Start War","Начать войну"
" between "," между "
", agreed in ",", согласились в "
"Boss","Босс"
"philosophy:metaphysics:mind body","философия:метафизика:сознание и тело"
"Membr","Член"
"Crrpt","Кррпц"
"Assas","Убца"
"Snatc","Похит"
"Sabtr","Дврснт"
"Framr","Пдстав"
"Asset","Агент"
"Maps and the World","Карты мира"
"the Caravan","Караван"
"Squabbling","Распри"
"the Agreement","Соглашение"
"Tragedy","Трагедия"
"the Parabolic Mirror","Параболическое зеркало"
"Interrogation Report: ","Протокол допроса: "
"acquired item","приобретенный предмет"
"Subject confessed to ","Субъект признался в совершении "
"multiple crimes","нескольких преступлений"
"the crime","преступления"
"the production order violation","нарушении приказа о производстве"
"the export prohibition violation","нарушении запрета экспорта"
"the job order violation","нарушении приказа о работе"
"the conspiracy to slow labor","сокрытии медленной работы"
"the murder","убийстве"
"the kidnapping","похищении"
"the theft","кража"
"the robbery","гребёже"
"Unfortunately, no new pertinent information was revealed.","К сожалению, не удалось получить никакой существенной информации."
"Subject revealed that ","Субъект сообщил, что "
"being nameless","будучи безымянным"
" is in fact an assumed identity.  Subject's true name is "," на самом деле выдуманное имя. Настоящее имя субъекта - "
"Subject has used ","Субъект использовал "
"likes to stretch ","любит вытягиваться "
" as an alias"," в качестве псевдонима"
"a nameless identity","безымянная сущность"
" in the past."," в прошлом."
"Met with subject.  ","Встретился с субъектом.  "
"Attempted to make","Пытался сделать"
"Made","Сделал"
" intimidating remarks in order to elicit information."," угрожающие замечания, чтобы получить нужную информацию."
" flattering remarks in order to elicit information."," лестные замечания, чтобы получить нужную информацию."
"Appealed","Апеллировал "
"Attempted to appeal","Попытался апеллировать "
" to shared worship of "," к совместному поклонению "
" in order to elicit information."," чтобы получить нужную информацию."
" to subject's "," к "
"belief in harmony","вере в гармонию"
"belief in cooperation","вере в сотрудничество"
"belief in the truth","вере в истину"
"belief in the law","вере в закон"
"Built","Добился"
"Attempted to build","Пытался добиться"
" rapport in order to elicit information."," доверия, чтобы получить нужную информацию."
"Misrepresented","Исказил"
"Attempted to misrepresent","Пытался исказить"
" facts surrounding case in order to elicit information."," факты, чтобы получить нужную информацию."
"  Subject ","  Субъект "
"acquiesced to the argument","проигнорировал аргумент"
"was naturally inclined to speak","был разговорчив"
"had a trusting nature and agreed","проявил доверие и согласился"
"spurning the value of harmony","оспаривая ценность гармонии"
"spurning the value of cooperation","оспаривая ценность сотрудничества"
"spurning the value of honesty","оспаривая ценность честности"
"spurning the law","усомнившись в законе"
" interrogator"," следователь"
"valued harmony","ценил гармонию"
"believed in the value of cooperation","верил в ценность сотрудничества"
"valued honesty","ценил честность"
"value the law","уважал закон"
"being intellectually stubborn","будучи упрямым"
"being a natural loner","будучи по натуре одиночкой"
"a distrustful nature","недоверчивая натура"
"spurning the truth","оспаривая ценность истины"
"  Subject naively complied."," Субъект наивно подчинился."
"was intellectually stubborn and refused to listen","был интеллектуально упрям и отказывался слушать"
"was a natural loner and refused to listen","был по натуре одиночкой и отказывался слушать"
"had a distrustful nature and refused to listen","имел недоверчивую натуру и отказывался слушать"
"valuing harmony","ценя гармонию"
"a belief in the value of cooperation","вера в ценность сотрудничества"
"valuing the truth","ценя истину"
"spurned harmony and refused to listen","отвергая гармонию и отказываясь слушать"
"spurning the value of cooperation and refused to listen","отвергая ценность сотрудничества и отказываясь слушать"
"spurning the truth and refused to listen","отвергая правду и отказываясь слушать"
"spurned the law and refused to listen","отверг закон и отказался слушать"
"an acquiescing nature","замкнутая натура"
"being inclined to converse","склонен к общению"
"being trusting by nature","доверчивый по природе"
" and refused"," и отказался"
"  Subject was cagey and refused to comply."," Субъект был скрытен и отказался подчиняться."
"  In retrospect, interrogator may have completely misjudged subject's character."," Если подумать, возможно следователь глубоко ошибся в оценке характера субъекта."
"You wish to make an offering to our leader?  ","Что вы хотите предложить нашему лидеру?  "
"You wish to make an offering?  We love gifts.","Хотите что-то предложить?  Мы любим подарки."
"I am a merchant, yes.  You see, I wish to trade.  Which of my goods do you desire?","Я торговец, да.  Видите ли, я не прочь поторговать.  Который из моих товаров вам приглянулся?"
"What do you want?","Чего вы хотите?"
"Leave it to the besotted dullard to miss the finer points of discourse.  I'm leaving.  Do reflect.","Оставьте пьяным тупицам упускать тонкости бесед.  Я ухожу.  Обдумайте это."
"Excess Weight: ","Перегруз: "
"were added for the counteroffer:","были добавлены для контрпредложения:"
"The following fortress goods","Следующие товары крепости"
"available is ","доступно "
"Amount of ","Количество "
"Once a beautiful tree, and now?  ","Раньше это было прекрасным деревом, а сейчас?..  "
"I am beside myself with grief.  Perhaps we will show you how they suffered.","Я вне себя от горя.  Мы заставим вас почувствовать, как они страдали."
"You truly despise life, don't you?  ","Вы поистине презираете жизнь, не так ли?  "
"Are these gifts?  Do you wish to trade?","Это подарок?  Или хотите поторговаться?"
"wish to trade or to make an offering to our leader?","хотите торговать или сделать подношение нашему лидеру?"
"to be rapidly losing patience","быстро теряет терпение"
"willing to trade","готов торговать"
"pleased with the trading","доволен торговлей"
"0 = Can use any shop","0 = Можно использовать любую мастерскую"
"One-time order, conditions checked daily","Одноразовый заказ, условия проверяются ежедневно"
"not","не"
"exactly","ровно"
"less than","меньше чем"
"greater than","больше чем"
"at most","максимум"
"at least","как минимум"
"Restarts if completed, checked yearly","Перезапускать после завершения, проверяется ежегодно"
" has adopted "," выбрал хозяином "
"Can you lead me to battle and a warrior's death?","Вы можете повести меня в бой, к воинской смерти?"
"Gathering fruit and leaves blueprint","План сбора плодов и листьев"
"Engraving smoothed floors and walls","Гравировать на сглаженных стенах и полах"
"Channel mining","Раскопка канала"
"Converting mining blueprint to regular","Преобразование чертежа раскопок в обычный"
"Chopping trees","Рубка деревьев"
"Converting chopping blueprint to regular","Преобразование плана вырубки в обычный"
"Creature trigger settings","Настройка переключения существами"
"I serve ","Я служу "
"I sent ","Я послал "
" demands a portion of my official funds"," требует часть моих официальных фондов"
"Make cloth into clothing and tools here, such as bags and ropes.","Из ткани здесь делают одежду и инструменты, такие как мешки и веревки."
"What is this madness?  Calm yourself!","Что за безумие?  Успокойся!"
"Fool!","Глупец!"
"I have nothing to say to you.","Мне нечего сказать вам."
"You must think you're really frightening.","Вы, должно быть, думаете, что можете меня напугать."
"Your most valuable objects can be placed for display in rooms to increase their value and to entertain passing citizens.  A pedestal or display case must be made before it can be placed.","Ваши самые ценные предметы могут быть выставлены на всеобщее обозрение в комнатах, чтобы повысить их ценность и развлечь проходящих мимо граждан. Прежде чем их можно будет разместить, необходимо изготовить подставку или витрину."
"social","общественный"
"turning clockwise","поворачиваясь по часовой стрелке"
"What an odd glow!","Какое странное свечение!"
"I am sorry, but I am otherwise disposed.","Извините, но я вынужден не согласиться."
"I really don't like this.","Мне это очень не нравится."
"Palette not found","Палитра не найдена"
"occupation","оккупация"
"criminal","преступник"
"treasure","сокровище"
"incident","инцидент"
"rumor","слух"
"the destruction of ","разрушение "
"building","постройка"
"conspiracy to slow labor","заговор для замедления работ"
"diplomacy","дипломатия"
"artifact","артефакт"
"blood","кровь"
"work","работе"
"trade","торговлей"
"drink","питьё"
"intruder","нарушитель"
"position","должность"
"exile","изгнанник"
"has a very deep voice","имеет очень глубокий голос"
"finds artwork boring","считает искусство скучным"
"values tradition","ценит традиции"
"Route ","Маршрут "
"high ","высокий "
"exalted ","возвышенный "
"high priest","первосвященник"
"high priests","первосвященники"
"holy ","святой "
"sacred ","священный "
"priest","священник"
"priests","священники"
"Bar/Block","Слиток/блок"
"Ghostly ","Призрак "
" Corpse"," труп"
" images"," изображения"
"Professional","Профессиональный"
"Help!  Save me!","Помогите!  Спасите меня!"
"I don't agree.","Я не согласен."
"ghost","привидение"
"active dance form","текущая танцевальная форма"
"the starvation of ","голодание "
"Cannot find path","Не удалось найти путь"
"Maximum number of sites","Максимальное количество поселений"
"former member","бывший член"
"Lever Operation","Управление рычагами"
"visiting","посещение"
"ripped off","оторвана"
"unprepared ","сырой "
"Plant growth (?)","Рост растений (?)"
"large pots/food storage","большие горшки/склад еды"
"minecarts","вагонетки"
"wheelbarrows","тачки"
"other large tools","другие крупные инструменты"
"sand bags","мешки песка"
"Wood","Дерево"
"Plant cloth","Растительная ткань"
"Bone","Кость"
"Tooth","Зуб"
"Horn","Рог"
"Pearl","Жемчуг"
"Shell","Панцирь"
"Leather","Кожа"
"Silk","Шёлк"
"Yarn","Пряжа"
"Amber","Янтарь"
"Coral","Коралл"
"Green glass","Зеленое стекло"
"Clear glass","Прозрачное стекло"
"Crystal glass","Хрустальное стекло"
"Standard","Простой"
"Well-crafted","Хорошего качества"
"Finely-crafted","Замечательного качества"
"Superior quality","Превосходного качества"
"Exceptional","Необыкновенный"
"Masterwork","Шедевр"
"Fresh raw hide","Свежая сырая шкура"
"Rotten raw hide","Гнилая сырая шкура"
"Soap","Мыло"
"Pearlash","Перлаш"
"Ash","Пепел"
"Potash","Поташ"
"Coal","Уголь"
"Crystal Glass","Хрусталь"
"Clear Glass","Прозрачное стекло"
"Green Glass","Зелёное стекло"
"Plant Cloth","Растительная ткань"
"Wax","Воск"
"Allow plant/animal","Разрешить растительное/животное"
"Allow non-plant/animal","Разрешить не-растительное/животное"
"[B]Pass this treasure into our possession, and we shall depart in peace.","[B]Передайте это сокровище в наше владение, и мы уйдем с миром."
"You honor ","Ваша честь "
" with the presentation of "," с показом "
"Villains!  The seizure of ","Негодяи! Захват "
" will not go unanswered."," не останется без ответа."
" is a great treasure.  We respect that this is no mere trade."," это великое сокровище. Мы понимаем, что это больше чем просто сделка."
"Your fortress of ","Ваша крепость "
"Merchants from ","Торговцы из "
"Insufficient resources were available to use additional parallelism.","Недостаточно ресурсов для использования дополнительного параллелизма."
"Overall training","Общая подготовка"
"Domesticated","Одомашненный"
"Expert","Эксперт"
"Knowledgeable","Опытный"
"General familiarity","Общее ознакомление"
"A few facts","Несколько фактов"
"Trainer","Тренер"
"Select a trainer for ","Выберите тренера для "
"Any trainer","Любой тренер"
"Any unassigned trainer","Любой неназначенный тренер"
"Citizens","Жители"
"Pets/Livestock","Питомцы и скот"
"Overall Training","Общая подготовка"
"Slaughterability","Забиваемость"
"I feel only contempt.","Я чувствую только презрение."
"Living","Живой"
"Side","Сторона"
"Dead/Missing","Погибли"
"Job","Работа"
"Adopted somebody","Усыновил кого-то"
"a sermon","проповедь"
"Owned","Находящийся в собственности"
"Being traded","Быть проданным"
"Ready for slaughter","Готовый к убою"
"Available as pet","Доступно как питомец"
"Unavailable as pet","Недоступно как питомец"
"Uninterested in an owner","Не заинтересован в хозяине"
"Train (to make a pet) or slaughter","Тренировать (чтобы сделать питомцем) или забивать"
"Hunting assignment","Назначение охоты"
"My punishment was delayed.","Моё наказание было отложено."
"Arena side","Сторона арены"
"All tasks","Все задачи"
"Animals","Животные"
"Food","Пища"
"Furniture/siege ammo","Мебель/осадные боеприпасы"
"Corpses","Трупы"
"Refuse","Отходы"
"Stone","Камень"
"Ammo","Снаряды"
"Coins","Монеты"
"Bars/blocks","Слитки/блоки"
"Gems","Самоцветы"
"Finished goods","Готовые товары"
"Cloth","Ткань"
"Weapons/trap comps","Компоненты оружия/ловушек"
"Armor","Броня"
"Sheet","Лист бумаги"
"Additional options","Дополнительные настройки"
"Empty cages","Пустые клетки"
"Empty animal traps","Пустые силки"
"Prepared meals","Готовая еда"
"Usable weapons","Пригодное оружие"
"Unusable weapons","Непригодное оружие"
"Usable armor","Пригодные доспехи"
"Unusable armor","Непригодные доспехи"
"Unprepared fish","Сырая рыба"
"Egg","Яйцо"
"Plants","Растения"
"Drink (plant)","Напиток (растительный)"
"Drink (animal)","Напиток (животный)"
"Cheese (plant)","Сыр (растительный)"
"Cheese (animal)","Сыр (животный)"
"Seeds","Семена"
"Fruit/leaves","Плоды/листья"
"Milled plant","Перемолотое растение"
"Bone meal","Костная мука"
"Fat","Жир"
"Paste","Встав."
"Pressed material","Прессованные материалы"
"Extract (plant)","Экстракт (растительный)"
"Extract (animal)","Экстракт (животный)"
"Misc. liquid","Др. жидкости"
"Item types","Типы предметов"
"Body parts","Части тела "
"Skulls","Черепа"
"Bones","Кости"
"Shells","Панцири"
"Teeth","Зубы"
"Horns/hooves","Рога/копыта"
"Hair/wool","Волосы/шерсть "
"Stone/clay","Камень/глина"
"Type","Тип"
"Metal","Металлы"
"Other materials","Другие материалы"
"Bars: other materials","Бруски: другие материалы"
"Bars: metal","Слитки: метал"
"Blocks: other materials","Блоки: другие материалы"
"Blocks: metal","Блоки: металлические"
"Blocks: stone/clay","Блоки: камень/глина"
"Metal ores","Металлические руды"
"Economic","Промышленный"
"Other stone","Прочее"
"Clay","Глина"
"Rough glass","Необработанное стекло"
"Cut glass","Граненное стекло"
"Rough gem","Необработанный самоцвет"
"Cut gem","Огранённый самоцвет"
"Cut stone","Ограненный камень"
"Gem","Самоцвет"
"Thread (silk)","Нить (шёлковая)"
"Thread (plant)","Нить (растительная)"
"Thread (yarn)","Нить (пряжа)"
"Thread (metal)","Нить (металлическая)"
"Cloth (silk)","Ткань (шёлковая)"
"Cloth (plant)","Ткань (растительная)"
"Cloth (yarn)","Ткань (вязаная)"
"Cloth (metal)","Ткань (металлическая)"
"Paper","Бумага"
"Parchment","Пергамент"
"Weapons","Оружие"
"Trap components","Компоненты ловушки"
"Body","Тело"
"Head","Голова"
"Feet","Ступни"
"Hands","Руки"
"Legs","Ноги"
"Shield","Щит"
"Core quality","Базовое качество"
"Total quality","Общее качество"
"Structures","Структуры"
"Select materials for the ","Выберите материалы для "
"Amount needed: ","Необходимое количество: "
"Dist: ","Дист: "
"Select a merchant group to trade with:","Выберите торговую группу для торговли с:"
"feeling guilty","чувство вины"
"Greetings from the outer lands.  ","Привет вам из внешних земель.  "
"Greetings from the Mountainhomes.  ","Привет вам из Горного Дома.  "
"Your efforts are legend there.  Let us trade!","Ваши усилия легендарны.  Поторгуем?"
"Greetings.  The ","Приветствуем.  "
"craftsman","ремесленник"
"ship of the ","ство "
" is unparalleled.  Let's make a deal!"," уникально.  Перейдём к делу!"
"Greetings.  We are enchanted by ","Приветствуем.  Мы очарованы "
"your more ethical works.  We've come to trade.","вашей высокоэтической работой.  Давайте торговать."
"A hairy drunkard has come hither to once more disrespect the sanctity of life, I see.","Ты, волосатая пьянь, снова пришёл сюда, чтобы оскорбить святость жизни."
"These goods are too heavy and cheap for me to consider.","Эти товары слишком тяжелы и дешевы, чтобы я мог их рассматривать."
"I cannot take so much -- and at such cost!","Я не могу взять так много - да по такой цене!"
"Do not tempt me!  My beasts of burden cannot possibly haul such a load.","Не искушай меня!  Мои вьючные животные не могут тащить такой груз."
"I wish I could take so much, but my animals...","Я бы взял всё это, но мне жаль наших животных..."
"I must make a profit.  There is simply not enough value here.","Я должен получать прибыль.  Здесь просто не хватает ценности."
"I won't trade at a loss.","Я не торгую себе в убыток."
"Please understand the journey must be profitable.  Perhaps you'd consider tossing in a little extra?","Пожалуйста, поймите, что путешествие должно быть прибыльным.  Может быть, вы подумали бы о том, чтобы добавить немного больше?"
"Your childish games have made me tired.  Perhaps next time I visit you'll take this seriously.","Ваше ребячество утомляет.  Надеюсь, в следующий раз вы будете серьёзнее."
"You'll need more goods to make this arrangement.  ","Вам понадобится больше товаров, чтобы заключить это соглашение.  "
"All I see here is not enough.","Всего, что я вижу здесь, недостаточно."
"Even with your combined trade goods, such as they are, I can't ","Даже с учётом всех ваших товаров, какие у вас тут есть, я не могу "
"fathom you ending up with the items you desire.","понять, что в конечном итоге из этого вы хотите."
"Ah, wonderful.  Thank you for your business.","Прекрасно, с вами приятно иметь дело."
"I will see that our leader gets this offering.","Я посмотрю как наш лидер примет это предложение."
"You are too kind.","Вы слишком добры."
"Take what you wish.  I can't stop you.","Берите, что хотите.  Вас не остановить."
"This would please us greatly.  What do you offer?","Это нас радует.  Что вы предлагаете?"
"[Laughs uproariously]  You had me ","[Хохочет] Вы меня "
"going there.  Obviously, your copious wit is matched only by your industry!","удивили.  Похоже, ваша мудрость может сравниться только с вашей производством!"
"Yes, and trade we will!  Simply tell me ","Да, давайте торговать!  Просто скажите, "
"what interests you and what you're prepared to offer in exchange.","что вас интересует и что вы можете предложить взамен."
"Ah, but my goods are not free!  What do you offer in trade?","Ах, но мои товары не бесплатны! Что вы можете предложить в обмен?"
"These _are_ fine items, aren't they?  Now, ","Какие прекрасные вещи, не правда ли?  Теперь, "
"what do offer for them?","что вы предложите взамен?"
"For me?  At no price?  I can accept your offer, or perhaps you wish to trade.","Для меня?  Бесплатно?  Я могу принять ваше предложение, или, может быть, вы захотите обменяться."
"My stones, are you giving me those?  Do you ","О мои камни, вы даёте мне это?  Вы "
"It is a rude bauble, fit only for your kind.","Эта безделушка подходит только для таких, как ты."
"I see your low race still revels in death.  ","Вижу, ваша низшая раса всё так же наслаждается смертью.  "
"That poor, gentle creature...","Бедное нежное создание..."
" seems "," похоже "
"ecstatic with the trading","в экстазе от торговли"
"very happy about the trading","очень рад торговле"
"not going to take much more of this","больше не вынесет этого"
"unwilling to trade","не желает торговать"
"Contains ","Содержит "
"Trader Profit: ","Выгода торговца: "
"Trader Loss: ","Убытки торговца: "
"Allowed Weight: ","Доступный вес: "
"Mark all","Пометить все"
"Unmark all","Снять отметку со всех"
"Seize","Захватить"
"Accept Counteroffer","Принять встречное предложение"
"Offer as gift","Предложить в качестве подарка"
"My apologies, but we're still unloading.","Приношу свои извинения, но мы пока разгружаемся."
"We'll be ready soon!","Мы почти готовы!"
"There are no merchants present with which to trade.","Нет торговца, с которым можно поторговать."
"Inaccessible","Недоступно"
"Distance: ","Расстояние: "
"The air around the object seems warped as if it were very hot, yet the item is cool to the touch.","Воздух вокруг предмета кажется скрученным от жара, но сам предмет прохладен на ощупь."
"Restarts if completed, checked seasonally","Перезапускать после завершения, проверяется каждый сезон"
"Restarts if completed, checked monthly","Перезапускается после завершения, проверяется ежемесячно"
"Restarts if completed, checked daily","Перезапускается после завершения, проверяется ежедневно"
"One-time order","Одноразовый заказ"
"Restarts if completed, conditions checked yearly","Перезапускается после завершения, условия проверяются ежегодно"
"Restarts if completed, conditions checked seasonally","Перезапускается после завершения, условия проверяются каждый сезон"
"Restarts if completed, conditions checked monthly","Перезапускается после завершения, условия проверяются ежемесячно"
"Restarts if completed, conditions checked daily","Перезапускается после завершения, условия проверяются ежедневно"
"No material","Нет материала"
"Satisfied for next check","Подходит для следующей проверки"
"Not satisfied for next check","Не подходит для следующей проверки"
"must first be completed","сначала должно быть завершено"
"must first be activated","сначала нужно активировать"
"Suggested conditions","Предлагаемые условия"
"Can use any shop","Может использовать любую мастерскую"
" shop(s)"," мастерская(ие)"
" shop"," мастерская"
" max"," максимум"
" blood."," кровью."
"There are no active work orders.","Нет активных заказов."
"A manager is required to coordinate","Требуется менеджер для руководства"
"work orders.","заказы на работу."
"All work orders must be validated","Все заказы должны быть подтверждены"
"by the manager before they become","менеджером до того, как они станут"
"active.","активный."
"appointed by ","назначенный "
"Creatures","Существа"
"Places","Места"
"Objects","Объекты"
"less inclined to create","менее склонен создавать"
"Farm plots","Грядки"
"You do not have any farm plots.","У вас нет грядок."
"Workshops are placed using the building menu at the bottom of the screen.","Мастерские размещаются с помощью меню строительства внизу экрана."
"You do not have any workshops.","У вас нет мастерских."
"You do not have any stockpiles","У вас нет складов."
"Stockpiles can be placed using the stockpile menu at the bottom of the screen.","Склады можно размещать с помощью меню складов в нижней части экрана."
"You do not have any locations.","У вас нет мест."
"Locations can be created from zones.","Места можно создавать из зон."
"You do not have any zones.","У вас нет зон."
"Zones can be added using the zone menu at the bottom of the screen.","Зоны можно добавлять с помощью меню зон в нижней части экрана."
" planted"," посажено"
" to harvest"," для сбора"
" task"," задача"
"% occupied","% занято"
"Unnamed location","Неназванное местоположение"
"Hospital","Госпиталь"
" guildhall"," зал гильдии"
"Library","Библиотека"
"Tavern","Таверна"
"Temple","Храм"
" assigned"," назначен"
" patient"," терпеливый"
"Unknown location","Неизвестное место"
"Water source","Источник воды"
"Fishing","Рыбалка"
"Gather fruit","Сбор плодов"
"Garbage dump","Мусорная свалка"
"Pen/pasture","Загон/пастбище"
"Pit/pond","Яма/пруд"
"Sand","Песок"
"Meeting area","Место собраний"
"Animal training","Дрессировка животных"
"Bedroom","Спальня"
"Dining hall","Обеденный зал"
"Office","Кабинет"
"Archery range","Стрельбище"
"Barracks","Казармы"
"Dormitory","Общежитие"
"Dungeon","Темница"
"Tomb","Гробница"
" squads assigned"," заключенный"
" imprisoned"," заключенный"
" available"," доступный"
" present"," подарок"
"Some soil","Немного почвы"
" to start a new life"," начать новую жизнь"
"Written content","Написанное"
"Named objects","Названное"
"Symbols","Символы"
"There is no written content here.","В крепости ничего не написано."
"Prepare writing material and assign scholars to a library.","Подготовьте письменные принадлежности и назначьте ученых в библиотеку."
"Writing materials include paper and parchment sheets.","К письменным принадлежностям относятся бумага и листы пергамента."
"Use these to make scrolls and quires.","Используйте их для изготовления свитков и костров."
"Libraries are a location that can be created at a zone.","Библиотеку можно создать из зоны."
"There are no named objects here.","В крепости нет названых объектов."
"Citizens, especially soldiers, will rarely name items.","Жители, в особенности солдаты, нечасто дают названия вещам."
