"more presumptious","ngÕo mÕn h½n"
"Stop leading animal","Ng×ng dçn d¡t ğµng v§t"
" has a slouching posture"," có tß thª khom lßng"
"hooked","kho¢m"
"Track/Ramp (SW)","Ğß¶ng ray/D¯c (Tây Nam)"
"is tall and thin with incredible muscles","cao và g¥y v¾i c½ b¡p phi thß¶ng"
" was bent toward supernatural vengeance upon "," d°n tâm trí vào sñ báo thù siêu nhiên ch¯ng lÕi "
"as a scout","v¾i tß cách là trinh sát"
"Are these gifts?  Do you wish to trade?","Ğây là quà t£ng sao? Ngß½i mu¯n giao d¸ch chÑ?"
"engineering","kÛ thu§t"
"  Perhaps some of the people here will be worth talking to before you continue on your way."," Có l¨ mµt vài ngß¶i · ğây ğáng ğ¬ nói chuy®n trß¾c khi ngß½i tiªp tøc cuµc hành trình cüa mình."
"turned child away from sanctuary","xua ğu±i trë nhö khöi thánh ğ¸a"
"  Try building a butcher's shop and slaughtering some livestock."," ThØ xây mµt cØa hàng m± th¸t và giªt m± mµt s¯ gia súc."
" Bridge"," C¥u"
"is very tall and muscular","r¤t cao l¾n và vÕm vŞ."
"Yes","Có"
"in order to find a relative","ğ¬ tìm mµt ngß¶i thân"
"engineering:construction:wood lamination","KÛ thu§t:Xây dñng:Ghép g² nhi«u l¾p"
"unburied at battlefield","Chßa chôn c¤t tÕi chiªn trß¶ng"
"Hematite","Qu£ng hematite"
" own dead father"," Cha ruµt ğã chªt"
"first assign a [C:3:0:0]Barracks[C:7:0:0] created from the [C:5:0:1]Zones[C:7:0:0] menu.","trß¾c tiên phäi phân công mµt [C:3:0:0]Doanh TrÕi[C:7:0:0] ğßşc tÕo t× [C:5:0:1]menu Khu Vñc[C:7:0:0]."
"really poor focus","sñ t§p trung cñc kÏ kém"
"Please guide me to ","Làm ½n dçn ğß¶ng cho ta ğªn "
"legendary brawler","Ğ¤u sî huy«n thoÕi"
"How will ","B¢ng cách nào "
"This is the attack menu.  Here you can strike creatures with an item or body part, or you can initiate a dodge or parry movement.  ","Ğây là menu t¤n công. TÕi ğây bÕn có th¬ t¤n công sinh v§t b¢ng mµt v§t ph¦m ho£c bµ ph§n c½ th¬, ho£c bÕn có th¬ thñc hi®n mµt ğµng tác né tránh ho£c ğŞ ğòn. "
"chronicle","biên niên sØ"
"works with menacing fury!","làm vi®c v¾i sñ phçn nµ ğáng sş!"
"Area and Circumference","Di®n tích và Chu vi"
"strong breeze","làn gió mÕnh"
"State feelings of great amusement","Cäm th¤y thích thú tµt ğµ."
"the unsatisfactory conclusion","kªt lu§n không thöa ğáng"
"Toggle whether this creature will be slaughtered at a butcher's shop when the opportunity arises.","Chuy¬n ğ±i xem li®u sinh v§t này có b¸ giªt m± tÕi lò m± khi có c½ hµi hay không."
"skips around a lot","nhäy nhót nhi«u"
"Detailed mode","Chª ğµ chi tiªt"
"Leather Clothing Workshop","Xß·ng Qu¥n áo Da"
"Try to keep an open mind.","Hãy c¯ g¡ng giæ mµt tâm trí c·i m·."
"You can make a variety of objects using three different types of glass.  You can also collect sand in bags from a task originating here, if you have a sand collection zone.  Glassmaking requires fuel.","BÕn có th¬ chª tÕo nhi«u loÕi v§t ph¦m b¢ng ba loÕi kính khác nhau. BÕn cûng có th¬ thu th§p cát vào túi t× mµt tác vø b¡t ngu°n t× ğây, nªu bÕn có khu vñc thu th§p cát. Chª tác thüy tinh yêu c¥u nhiên li®u."
"am ","là "
"hf is dead","hf ğã chªt"
"Apologize for being otherwise occupied","Xin l²i vì ğã b§n vi®c khác"
"Forge ","Lò rèn "
"Sorting music...","Ğang s¡p xªp âm nhÕc..."
"It fills one with awe.","Ği«u ğó khiªn ngß¶i ta kinh sş."
"an agreement was cancelled","Mµt thöa thu§n b¸ hüy bö"
"grating-voiced","gi÷ng chói tai"
"Ask about other groups with a stake in this site","Höi v« các nhóm khác có quy«n lşi tÕi ğ¸a ği¬m này"
"Claim ","Yêu C¥u "
"I desire that ","Ta khát khao r¢ng "
"escaped from the prisons of","tr¯n thoát khöi nhà tù cüa"
" in prison."," trong tù."
"A battle!","Mµt tr§n chiªn!"
" counterclockwise"," ngßşc chi«u kim ğ°ng h°"
"cheesemaker","Ngß¶i làm phô mai"
"Ally: ","Ğ°ng minh: "
"pillaging of ","cuµc cß¾p phá cüa "
"Need splint","C¥n n©p."
"being tormented in nightmares by a dead pet","B¸ mµt thú cßng ğã chªt giày vò trong ác mµng"
" into an obstacle and "," vào chß¾ng ngÕi v§t và "
" will be recognized."," s¨ ğßşc công nh§n."
" crumbles over the "," vŞ vøn trên "
"Select ","Ch÷n "
" (no archery target)"," (không có bia b¡n cung)"
" Track (N)"," Ğß¶ng ray (B¡c)"
"I slept on a pile of driftwood.","Tôi ğã ngü trên mµt ğ¯ng g² trôi dÕt."
"less of a thrill seeker","ít thích mÕo hi¬m h½n"
"Unnamed museum","Bäo tàng không tên"
"being unable to petition for citizenship","Không th¬ xin nh§p t¸ch"
"Anguished","Ğau kh± tµt cùng."
"Library Tree","Cây Thß Vi®n"
"  You have attracted some positive interest."," BÕn ğã thu hút ğßşc mµt s¯ sñ quan tâm tích cñc."
"Drop Kill out Front","Ğ£t Con M°i HÕ Gøc Ra Ngoài"
".  What happened to bring us to this?",". Ği«u gì ğã xäy ra ğ¬ ğßa chúng ta ğªn bß¾c ğß¶ng này?"
" agreed to "," ğã ğ°ng ı v¾i "
"sparkle","l¤p lánh"
"edible processed plants market (255,200,200)","chş thñc ph¦m thñc v§t ğã chª biªn (255,200,200)"
"It would be hard to care less.","Ta chÆng th¬ th¶ ½ h½n ğßşc næa."
"Extract from land animal","Chiªt xu¤t t× ğµng v§t ğ¤t li«n"
"the Sphere","Hình c¥u"
"Make sure your parameters and presets have adequate squares of this kind.  ","Hãy ğäm bäo các thông s¯ và cài ğ£t sÇn cüa bÕn có ğü các loÕi ô vuông này. "
" plectra"," các miªng gäy"
"Alternate history","L¸ch sØ thay thª"
"I drank water without a well.","Tôi ğã u¯ng nß¾c mà không có giªng."
"Your death","Cái chªt cüa bÕn"
"Milliseconds between macro instructions","S¯ mili giây giæa các l®nh macro"
"purulent ","có mü "
"specific armor","Giáp cø th¬."
"non-absorbent ","không th¤m hút "
"Believe","Tin tß·ng"
"Peace","Hòa bình"
"Sieger Mill","Kë bao vây qu¥n thäo"
" thrust a spire of slade up from the underworld, naming it "," ğ¦y mµt ng÷n tháp slade lên t× lòng ğ¤t, ğ£t tên nó là "
"feeling free","cäm th¤y tñ do"
"next to no empathy","g¥n nhß không có sñ ğ°ng cäm"
"In this part of the poem, the end rhymes don't need to match perfectly.  ","Trong ph¥n này cüa bài th½, các v¥n cu¯i không c¥n kh¾p hoàn häo. "
"discourse on government","Lu§n bàn v« chính quy«n"
"State feelings of great irritation","Cäm th¤y bñc bµi khôn cùng."
" to the "," v« phía "
"A spattering of ","Mµt v®t b¡n tung tóe "
"became the master of","tr· thành chü nhân cüa"
"Certainly.  It would be terrible to leave someone to fend for themselves after sunset.","Ch¡c ch¡n r°i. Th§t t°i t® nªu bö m£c ai ğó tñ lo li®u sau khi m£t tr¶i l£n."
"I was not able to bring up the lack of jobs.","Tôi ğã không th¬ nêu lên v¤n ğ« thiªu vi®c làm."
"Counterstrike","Phän công"
"Respected as a hunter","Ğßşc kính tr÷ng nhß mµt thş sån"
"a foiled embezzlement conspiracy","mµt âm mßu bi¬n thü b¸ phá vŞ"
"An honored visitor!  What would you like?","Mµt v¸ khách quı! Ngß½i mu¯n gì?"
"heavy losses in battle","Thi®t hÕi n£ng n« trong tr§n chiªn"
"When a route has a steep descent, consider using powered [C:6:0:0]Rollers[C:7:0:0], extra curves, track ""stops"" between [C:6:0:0]Stops[C:7:0:0] with various friction settings, or a worker to guide the vehicle.","Khi mµt tuyªn ğß¶ng có ğµ d¯c l¾n, hãy cân nh¡c sØ døng [C:6:0:0]Rollers[C:7:0:0] có ğµng c½, thêm các khúc cua, các ği¬m ""d×ng"" trên ğß¶ng ray giæa các [C:6:0:0]Stops[C:7:0:0] v¾i cài ğ£t ma sát khác nhau, ho£c mµt công nhân ğ¬ hß¾ng dçn phß½ng ti®n."
"coffin","quan tài"
"Assigned","Ğã chï ğ¸nh"
" not be able to guide you personally.  It is the best I can do."," không th¬ ğích thân dçn ğß¶ng cho ngß½i. Ğó là t¤t cä nhæng gì ta có th¬ làm."
"a very clumsy kinesthetic sense","mµt cäm giác v§n ğµng r¤t vøng v«"
"House","Mµt ngôi nhà"
"I'm relieved.","Tôi nh© nhõm."
"I could not find the hammer.","Tôi không th¬ tìm th¤y cái búa."
"dejected","th¤t v÷ng"
"Models","Mçu hình"
"Imported Wealth:","Tài sän Nh§p kh¦u:"
"blacksmith's shop sign","bi¬n hi®u ti®m thş rèn"
"'s fire","s ng÷n lØa"
"free rooms","các cån phòng mi­n phí"
"Acknowledge lack of nostalgia","Xác nh§n sñ thiªu v¡ng hoài ni®m"
"ethics as it regards the benefit of the state","ğÕo ğÑc xét v« lşi ích cüa qu¯c gia"
"No available colony","Không có thuµc ğ¸a khä døng"
"pearlash paste","Bµt nhão b° tÕt ng÷c trai"
"Process plants and work with livestock here.  Milk and shear animals, make cheese, and spin thread.","Chª biªn thñc v§t và làm vi®c v¾i v§t nuôi tÕi ğây. V¡t sæa và xén lông ğµng v§t, làm phô mai và kéo sşi."
"Crossbow","Nö"
"runs","nhæng bß¾c chÕy"
"Ask for a cease to hostilities","Yêu c¥u ch¤m dÑt thù ğ¸ch"
"The temperature cannot be judged.","Không th¬ ğánh giá nhi®t ğµ."
"flask","bình nhö"
"Mural Instruments","NhÕc cø g¡n tß¶ng"
"Acknowledge lack of confusion","Th×a nh§n không có sñ b¯i r¯i"
"Install colony when ready","Cài ğ£t ğàn ong khi sÇn sàng"
"tends to ask others for help with difficult decisions","có xu hß¾ng nh¶ ngß¶i khác giúp ğŞ trong các quyªt ğ¸nh khó khån"
"There is no intelligence information yet.","Chßa có thông tin tình báo."
"active musical form","th¬ nhÕc ğang hoÕt ğµng"
"Set hauling routes for minecarts.","Ğ£t tuyªn ğß¶ng v§n chuy¬n cho xe ğ¦y mö."
"Cloth (Desired): ","Väi (Mong mu¯n): "
"calling","thiên chÑc"
"Toggle the forbidden status of the item.  Citizens will not use forbidden items or buildings.","Chuy¬n ğ±i trÕng thái c¤m cüa v§t ph¦m. Th¥n dân s¨ không sØ døng các v§t ph¦m ho£c công trình b¸ c¤m."
"View this item's sheet.","Xem bäng thông tin cüa v§t ph¦m này."
"Tint thread ","Nhuµm sşi "
"color","màu s¡c"
"fellow scholar ","ğ°ng h÷c giä "
"Generating world using parameter set ","Ğang tÕo thª gi¾i b¢ng bµ tham s¯ "
"!  Best price in town","! Giá t¯t nh¤t th¸ tr¤n"
"hiding ","¦n n¤p "
"destroys","phá hüy"
"Natural savagery","Ğµ hoang dã tñ nhiên"
" and become a resident of "," và tr· thành cß dân cüa "
"Hero","Anh hùng"
"Seek Building for Ammunition","Tìm Công Trình C¥n ĞÕn Dßşc"
"anesthesia","Gây mê."
"after embezzling funds","sau khi bi¬n thü quÛ"
"a drink in the tavern to let the people you meet know who you are.","mµt ch¥u rßşu trong quán ğ¬ nhæng ngß¶i bÕn g£p biªt bÕn là ai."
"This is your lover.","Ğây là ngß¶i yêu cüa bÕn."
" meets with "," g£p gŞ "
"office","vån phòng"
"What will you do about it?","Ngß½i s¨ làm gì v« chuy®n ğó?"
"mathematician","Nhà toán h÷c"
"Leisurely    <->     Frenetic","Thong thä <-> Nôn nóng"
"Upright weapons are a nasty place for intruders to fall upon.  Can also be linked to levers or pressure plates to raise them into intruders.","Vû khí dñng ğÑng là mµt n½i kinh khüng cho nhæng kë xâm nh§p r½i vào. Cûng có th¬ ğßşc liên kªt v¾i c¥n gÕt ho£c t¤m áp lñc ğ¬ nâng chúng lên t¤n công nhæng kë xâm nh§p."
"Need empty cage","C¥n l°ng r²ng"
"We must not abandon ","Chúng ta không ğßşc t× bö "
"Bake clay objects here, as well as a few other useful materials.  Clay can also be collected here if you have a clay collection zone.  All tasks require fuel aside from clay collection.","Nung các v§t ph¦m b¢ng ğ¤t sét tÕi ğây, cûng nhß mµt vài v§t li®u hæu ích khác. Ğ¤t sét cûng có th¬ ğßşc thu th§p tÕi ğây nªu bÕn có khu vñc thu th§p ğ¤t sét. T¤t cä các tác vø ğ«u yêu c¥u nhiên li®u, ngoÕi tr× vi®c thu th§p ğ¤t sét."
" collapses!"," ğ± søp!"
"Opening file...","Ğang m· t®p..."
"In Custody","Ğang b¸ giam giæ."
"Retorts","Các Bình Chßng C¤t C± Ng²ng"
"beasts","các dã thú"
"Entertain people with ","Giäi trí cho m÷i ngß¶i b¢ng "
"dragonfire","h½i th· r°ng"
"unfocused by unmet needs","m¤t t§p trung b·i các nhu c¥u chßa ğßşc ğáp Ñng"
"[C:3:0:1]Sluggish","[C:3:0:1]Ch§m chÕp"
"The geldables have been torn away!","Bµ ph§n sinh døc ğã b¸ xé toÕc!"
"Bone Carver","Thş kh¡c xß½ng"
"discourse on the nature of existence","lu§n vån v« bän ch¤t cüa sñ t°n tÕi"
"To the west","V« phía tây"
" to take up my position"," ğ¬ nh§m chÑc"
"mortified","X¤u h± tµt ğµ"
"drop","Bö xu¯ng"
"frozen lye","Dung d¸ch ki«m ğông lÕnh"
" embraces "," ôm l¤y "
"No charge attack: you are in uncontrolled flight","Không th¬ t¤n công xông t¾i: bÕn ğang bay không ki¬m soát"
"splint","n©p"
"1/2 day's travel","NØa ngày ğß¶ng"
"Scale interface to fit grid height/width","Ği«u chïnh tÖ l® giao di®n ğ¬ v×a v¾i chi«u cao/rµng lß¾i"
"Everybody has their own way of life.","Ai cûng có l¯i s¯ng riêng cüa mình."
"a child was turned away from sanctuary","mµt ğÑa trë b¸ xua ğu±i khöi n½i trú ¦n"
"I feel alienated.","Ta cäm th¤y b¸ xa lánh."
"Frenetic","Cu°ng loÕn"
"astronomy:height of tides vs moon and sun","Thiên vån h÷c:Ğµ cao thüy tri«u so v¾i m£t trång và m£t tr¶i"
"been slaughtered.","b¸ thäm sát."
"sharing a personal insight with the spouse","Chia së mµt hi¬u biªt cá nhân v¾i bÕn ğ¶i"
"Such misery!","Th§t là kh¯n kh±!"
" massacring "," tàn sát "
"I bow to no one.","Ta không cúi ğ¥u trß¾c b¤t cÑ ai."
"dance","khiêu vû"
"Seek Hunting Target","Tìm Møc Tiêu Sån B¡n"
" tribute from "," c¯ng nÕp t× "
"being forced to endure the decay of a sibling","B¸ buµc phäi ch¸u ğñng sñ phân hüy cüa mµt ngß¶i anh ch¸ em"
"Blowgun","ng Tiêu"
"This doesn't scare me.","Ği«u này không làm tôi sş hãi."
"Preaching","Giäng ğÕo"
"is somewhat weak and has a body that is incredibly broad","h½i yªu ¾t và s· hæu thân hình b« thª mµt cách ğáng kinh ngÕc."
"good idea to keep your fortress clean.","ı tß·ng hay ğ¬ giæ cho pháo ğài cüa bÕn sÕch s¨."
"Wind Patterns","Các Ki¬u Gió"
"Nobody could be punished for failing to obey my commands.","Không ai có th¬ b¸ tr×ng phÕt vì không tuân l®nh cüa tôi."
"medicine:method:fracture treatment","Y h÷c: Phß½ng pháp: Ği«u tr¸ gãy xß½ng"
"mouse","chuµt nh¡t"
" has imposed a ban on certain exports."," ğã áp ğ£t l®nh c¤m ğ¯i v¾i mµt s¯ m£t hàng xu¤t kh¦u."
"Exposed ","Lµ thiên "
"a cloth shop","Mµt cØa hàng väi vóc"
":bellows:bellows",":¯ng th±i:các ¯ng th±i"
"There is writing on this item which you have not read.","Có chæ viªt trên v§t ph¦m này mà bÕn chßa ğ÷c."
"At all pitches, the","— m÷i cao ğµ,"
"flying object","v§t th¬ bay"
" shattering"," vŞ vøn"
"Restarts if completed, checked monthly","Kh·i ğµng lÕi nªu hoàn thành, ki¬m tra h¢ng tháng"
"Vanished","Biªn m¤t"
"Capture Small Pet","B¡t thú cßng nhö"
" breached "," ğã b¸ xuyên thüng "
" and others"," và nhæng ngß¶i khác"
"Its nature is still an intriguing puzzle to the learned.  ","Bän ch¤t cüa nó vçn là mµt câu ğ¯ h¤p dçn ğ¯i v¾i các h÷c giä. "
"had ambitions for which death is only a small obstacle","Có tham v÷ng mà cái chªt chï là mµt tr· ngÕi nhö"
"The hate burns within me.","N²i cåm h¶n ğang thiêu ğ¯t trong ta."
"eight thousand","tám nghìn"
"specify your attack more precisly. ","chï ğ¸nh ğòn t¤n công cüa bÕn chính xác h½n. "
"Magma Kiln","Lò Nung G¯m Magma"
"A criminal could not be properly punished.","Mµt tên tµi phÕm ğã không th¬ b¸ tr×ng phÕt ğúng mÑc."
" via "," thông qua "
"the enslavement","sñ nô d¸ch"
" is the only other settlement to utilize the market there."," là khu ğ¸nh cß duy nh¤t khác sØ døng chş · ğó."
"less disdainful of advice","ít coi thß¶ng l¶i khuyên h½n"
"I feel such shame.","Tôi cäm th¤y x¤u h± vô cùng."
"This isn't distressing.","Ği«u này không gây phi«n muµn."
"[C:6:0:0].Heavy bruising","[C:6:0:0].B¥m tím n£ng"
"Think abstractly","Suy nghî tr×u tßşng"
"Nearby site linked economically","Ğ¸a ği¬m lân c§n ğßşc liên kªt kinh tª"
"Go to Cage","Ğªn L°ng"
"Ashery","Xß·ng tro"
"Mechanical Compasses","La bàn c½ khí"
"Enemy moved out of range","Kë ğ¸ch ğã di chuy¬n khöi t¥m"
"(Combat) Stunned","(Chiªn ğ¤u) B¸ choáng"
"If you dig down enough layers you will find a near infinite amount of [C:6:0:1]Boulders[C:7:0:0] of various ","Nªu bÕn ğào sâu ğü t¥ng, bÕn s¨ tìm th¤y mµt lßşng g¥n nhß vô hÕn [C:6:0:1]Boulders[C:7:0:0] thuµc nhi«u "
"swayable","D­ b¸ lung lay"
"population of one hundred thousand","dân s¯ mµt tråm nghìn ngß¶i"
" own appearance and talents"," ngoÕi hình và tài nång cüa bän thân"
" plotted to steal "," âm mßu trµm c¡p "
"Custom Detail","Chi tiªt Tùy chïnh"
"Seek Gelding Building","Tìm Công Trình Thiªn"
"Your ","Cüa bÕn "
"bull","bò ğñc"
"a friend","Mµt ngß¶i bÕn"
"audacious creation","sñ sáng tÕo táo bÕo"
"Everything just so in its proper place!","M÷i thÑ ğ«u phäi ğâu vào ğ¤y, ğúng v¸ trí cüa nó!"
"Succumbed to infection","Chªt vì nhi­m trùng"
" in becoming a permanent part of the living world"," trong vi®c tr· thành mµt ph¥n vînh vi­n cüa thª gi¾i sñ s¯ng"
" item"," v§t ph¦m"
"the construction and use of the ampoule","vi®c xây dñng và sØ døng ¯ng tiêm"
"began dreaming of crafting a masterwork","b¡t ğ¥u m½ ß¾c chª tác mµt ki®t tác"
"Wounds","Vªt thß½ng"
"Plants...","Thñc v§t..."
"bring death to the world","mang cái chªt ğªn thª gi¾i"
"-bearing ","#NAME? "
" buried "," b¸ chôn "
"Are you sure?","BÕn có ch¡c không?"
"Cranks","Tay quay"
"sees guile and cunning as indirect and somewhat worthless","coi sñ ranh mãnh và xäo quy®t là gián tiªp và ph¥n nào vô giá tr¸"
"prefers that everyone live as harmoniously as possible","thích m÷i ngß¶i s¯ng hòa thu§n nh¤t có th¬"
"the word","t×"
"Hard Work","Lao ğµng c¥n cù"
"Siege operators","Ngß¶i v§n hành khí tài công thành"
"Below Average","Dß¾i MÑc Trung Bình"
"tolerance for differences","Khoan dung v¾i sñ khác bi®t"
"Pusillanimous - Overconfident","Hèn nhát - Quá tñ tin"
"traction bench","ghª kéo giãn"
"aggravated","bñc tÑc"
"Negotiation","Ğàm phán"
"Member","Thành viên"
"There's nothing to be dejected about.","ChÆng có gì ğáng phäi chán nän."
" Downward Track (NSE)"," Ğß¶ng ray ği xu¯ng (B¡c-Nam-Ğông)"
"You aren't wielding a ranged weapon.","Ngß½i không ğang c¥m vû khí t¥m xa."
"That did not shock me.","Ği«u ğó không làm tôi kinh ngÕc."
"the funnel","ph­u"
"more cautious","th§n tr÷ng h½n"
"sabotage actor","phá hoÕi ğ¯i tßşng"
"How incredibly satisfying!","Th§t là thöa mãn vô cùng!"
"writing container","v§t chÑa vån bän"
"quite swollen","khá sßng t¤y"
"(Wrestle) Joint lock","(Ğ¤u v§t) Khóa kh¾p"
"Back to title","V« màn hình chính"
"The residency petition of ","Ğ½n xin cß trú cüa "
"Tough","Kiên cß¶ng"
"Throwing a tantrum!","Ğang n±i c½n th¸nh nµ!"
"Generating inorganics...","Ğang tÕo vô c½..."
"advisor","C¯ v¤n"
"Spouse is nobility","Vş/ch°ng là quı tµc"
"through visual cues","qua tín hi®u th¸ giác"
" nearly "," g¥n nhß "
"Number of sites: ","S¯ lßşng ğ¸a ği¬m: "
"usable thief","Tên trµm có th¬ lşi døng"
"lousy intuition","trñc giác kém cöi"
"is swayed by emotional appeals","b¸ lay ğµng b·i nhæng l¶i kêu g÷i cäm xúc"
"more gregarious","hòa ğ°ng h½n"
"the method of proof by contradiction","phß½ng pháp chÑng minh phän chÑng"
"the inheritance of ","vi®c th×a kª "
"You may be invaded very early by powerful foes.","BÕn có th¬ s¨ b¸ nhæng kë thù hùng mÕnh xâm lßşc t× r¤t s¾m."
"burning","ğang cháy"
"Ready to be split","SÇn sàng ğ¬ chia tách"
"disappointed","th¤t v÷ng"
"Animal Hauling","V§n Chuy¬n Ğµng V§t"
"I'm content.","Tôi mãn nguy®n."
"hillocks","ğ°i nhö"
" into an obstacle!"," vào chß¾ng ngÕi v§t!"
"Infamous thief","Kë trµm khét tiªng"
"cloth... thread","väi... sşi"
"splayed out","v¬nh ra"
"desires citizenship.","mong mu¯n có quy«n công dân."
"Dig a stairwell on this level, going up or down.  Your selection must span multiple elevations.  Click on a tile, change elevations, and click again.","Ğào mµt giªng c¥u thang · c¤p ğµ này, ği lên ho£c xu¯ng. Lña ch÷n cüa bÕn phäi träi rµng nhi«u ğµ cao. Nh¤p vào mµt ô, thay ğ±i ğµ cao, r°i nh¤p lÕi."
"tell","k¬"
"There's so much to be done!","Có quá nhi«u vi®c phäi làm!"
"Organizer","Ngß¶i T± ChÑc"
"subtle","kín ğáo"
"a noted killer","mµt sát thü có tiªng"
"the construction and use of water-filled sphere as a lens","vi®c chª tÕo và sØ døng quä c¥u nß¾c làm th¤u kính"
"being disturbed during sleep by loud noises","B¸ qu¤y r¥y trong gi¤c ngü b·i tiªng °n l¾n"
"mathematics:algebra:balancing and completion","toán h÷c:ğÕi s¯:cân b¢ng và hoàn thành"
"a horrible bedroom","Mµt phòng ngü kinh khüng"
"Acknowledge lack of misery","Th×a nh§n không có kh¯n kh±"
"holds the idea of competition among the most important and would encourage it wherever possible","coi vi®c cÕnh tranh là mµt trong nhæng ği«u quan tr÷ng nh¤t và s¨ khuyªn khích nó b¤t cÑ khi nào có th¬"
"talks to inanimate objects when ","nói chuy®n v¾i ğ° v§t vô tri khi "
" and placed "," và ğ£t "
"play with toy","ch½i v¾i ğ° ch½i"
"State feelings of sympathy","Bày tö cäm xúc thông cäm"
"the ransom of ","sñ chuµc lÕi cüa "
"disease and fouled water","b®nh t§t và nß¾c ô nhi­m"
"has a long, thin frame strapped with incredible muscles","s· hæu vóc dáng dài, g¥y, cu°n cuµn c½ b¡p ğáng kinh ngÕc."
"Bone Carving","ChÕm Kh¡c Xß½ng"
" from the dead"," t× cõi chªt"
"focused","t§p trung"
"a world-wide cycle involving precipitation, oceans, rivers and other forms of water","Mµt chu trình toàn c¥u bao g°m mßa, ğÕi dß½ng, sông ngòi và các dÕng nß¾c khác."
"Mount and pets","Thú cßŞi và v§t nuôi"
" reverted to a wild state!"," ğã tr· lÕi trÕng thái hoang dã!"
"Blocks","Kh¯i"
"Any","B¤t kÏ"
"raw... green","thô... xanh"
"has little interest in joking around","ít hÑng thú v¾i vi®c ğùa cşt"
"How will you respond to the demand for tribute?","BÕn s¨ phän h°i thª nào v« yêu c¥u c¯ng nÕp?"
"Insurrection in ","Kh·i nghîa tÕi "
" Name Seed: "," Mã hÕt gi¯ng tên: "
"and from the tile below the input tile.","và t× ô bên dß¾i ô ğ¥u vào."
"Zoom in","Phóng to"
"the Liquids","Các Ch¤t Löng"
"Leapt from a great height","Nhäy t× ğµ cao l¾n xu¯ng"
"I'm lustful.","Tôi ğ¥y døc v÷ng."
"You must yield!","Ngß½i phäi ğ¥u hàng!"
"Of ","Cüa "
" fine"," tinh xäo"
"Became ","Ğã tr· thành "
" fooled "," ğã b¸ l×a "
"I shared a personal insight with my lover.","Tôi ğã chia së mµt suy nghî cá nhân v¾i ngß¶i yêu."
" is performed "," ğßşc trình di­n "
"Biting","C¡n Xé"
"is fat and extremely tall","béo và cñc kÏ cao l¾n."
"an infiltration mission","mµt nhi®m vø thâm nh§p"
"Set the material used or other details of the task.","Ğ£t v§t li®u sØ døng ho£c các chi tiªt khác cüa nhi®m vø."
"I care so much!","Ta quan tâm ğªn nhß¶ng nào!"
"is to","phäi"
"stole our treasures","ğánh c¡p kho báu cüa chúng ta"
"You cannot fell trees in the arena.","BÕn không th¬ ch£t cây trong ğ¤u trß¶ng."
"I must take my leave.","Ta phäi cáo t×."
"sky","B¥u tr¶i"
"struck","b¸ ğánh trúng"
"is incredibly long yet is also weak and skinny","vô cùng dài nhßng cûng yªu ¾t và khÆng khiu."
"the scalding of ","sñ böng nß¾c sôi cüa "
"the Construction","Công Trình"
"deans","Các vi®n trß·ng"
"order","m®nh l®nh"
"The hold menu also allows you to lead and mount pets.  You can claim stray animals as pets here too.  To name your new pets, use the talk menu.  ","Menu bám cûng cho phép bÕn dçn d¡t và cßŞi thú cßng. BÕn cûng có th¬ nh§n ğµng v§t hoang dã làm thú cßng tÕi ğây. Ğ¬ ğ£t tên cho thú cßng m¾i cüa bÕn, hãy sØ døng menu trò chuy®n. "
"sees others as selfish and conniving","Coi ngß¶i khác là ích kÖ và xäo quy®t"
"moon phases","Các pha M£t trång"
"Workers ignore bodies","Công nhân bö qua các thi th¬"
"dirt","Ğ¤t"
"creation of a masterful image set","vi®c tÕo ra mµt bµ hình änh b§c th¥y"
"tanner","Thş thuµc da"
"You lie on the ground.","BÕn n¢m xu¯ng ğ¤t."
"Ask about the surrounding area","Höi v« khu vñc xung quanh"
" rightward bend"," nghiêng ngß¶i sang phäi"
"You can find water in wells in towns, or in rivers.  Salt and brackish waters are not safe for drinking.  ","BÕn có th¬ tìm th¤y nß¾c · giªng trong các th¸ tr¤n, ho£c · sông. Nß¾c m£n và nß¾c lş không an toàn ğ¬ u¯ng. "
"Fed to beasts","B¸ ném cho dã thú ån"
"Move selector down","Di chuy¬n con trö xu¯ng"
"Somebody has better ","Ai ğó có sñ s¡p xªp t¯t h½n "
"Bestiary","Sinh v§t"
"Adding mud","Thêm bùn"
"nothingness","Hß vô"
"the issue of their godlessness","v¤n ğ« v« sñ vô th¥n cüa chúng"
"is extremely short, weak and thin","cñc kÏ ng¡n, yªu ¾t và mänh khänh"
"drinking vomit","U¯ng ch¤t nôn"
"a coup","mµt cuµc ğäo chính"
"Magma Forge","Lò Rèn Magma"
"round-chin","c¢m tròn"
"You have struck ","BÕn ğã chÕm trúng "
"individual happiness","HÕnh phúc cá nhân"
"Famous fighter","Chiªn binh n±i danh"
"Link to ","Liên kªt ğªn "
"eight","tám"
"** Starting New Outpost **","** B¡t ğ¥u Ti«n ğ°n m¾i **"
"State feelings of great enjoyment","Cäm th¤y thích thú mãnh li®t."
"deer","hß½u"
"greatly respects those that observe decorum and maintain their dignity","R¤t tôn tr÷ng nhæng ngß¶i tuân thü phép t¡c và giæ gìn ph¦m giá cüa mình."
"Philosophy","Triªt h÷c"
"All is not as it seems.","M÷i thÑ không nhß vë ngoài cüa chúng."
